	xmlid	date	title	author	roman
551	6452442.xml	1750	Recueil des statuts, lettres patentes, édits, déclarations du Roy. arrests... sentences... rendus au profit de la communauté des maîtres et marchands chaudronniers... de Paris... recueillis et mis en ordre par... Toussaint-Joseph Charlot,...	A-UNKNOWN	other
7284	5469217.xml	1750	Les Mensonges imprimez, par M. Arrouet de Voltaire, de l'Académie française. Nouvelle édition, avec des remarques et des notes	Voltaire 	other
1963	6467137.xml	1750	Histoire générale du Pont-Neuf en six volumes in-folio, proposée par souscription [par J.-B. Dupuis-Demportes]	Dupuis-Demportes	other
2627	6529811.xml	1750	Origine de l'image miraculeuse de Notre-Dame de Gray	A-UNKNOWN	other
8332	6566384.xml	1750	Oeuvres de Monsieur de Campistron, de l'Academie françoise. Nouvelle édition, — Tome 3	Campistron	other
6449	6115299.xml	1750	Méthode indiquée par M. Boyer, médecin ordinaire du roy... envoyé par ordre de Sa Majesté à Beauvais	Boyer	other
1286	6245806.xml	1750	Lettres sur l'esprit de patriotisme, sur l'idée d'un roy patriote et sur l'état des partis qui divisoient l'Angleterre, lors de l'avénement de Georges I	Bolingbroke	other
7612	5454718.xml	1750	La science du maître d'hôtel confiseur	Menon 	other
2746	6255291.xml	1750	Histoire des Arabes sous le gouvernement des califes, par M. l'abbé de Marigny...	Marigny	other
5421	6565412.xml	1750	"Sistème [""sic""] de M. Linnaeus sur la génération des plantes..."	Linné	other
6358	5451501.xml	1750	Ode au roi de Prusse	Bourette	other
171	6375577.xml	1750	Recueil de pieces d'eloquence, présentées à l'Académie françoise, pour les prix qu'elle distribuë — Tome 3	A-UNKNOWN	other
8672	5629676.xml	1750	Lettre pour la défense et la conservation des parties les plus essentielles à l'homme et à l'état (par Jean Baget)	Baget	other
3730	6569719.xml	1750	Ordonnances d'Abbeville, sur le faict de la justice et abréviation des procès au pays de dauphiné, faites par le Roy nostre sire, dauphin de Viennois, comte de Valentinois et Dyois...	François 	other
836	5525123.xml	1750	Alphabet pour les enfans, contenant les 8 leçons de la méthode de M. de Launay pour aprendre à lire le françois et le latin	Pipoulain-Delaunay 	other
4091	5834076.xml	1750	Lettre à Mme D***. En dépit de l'Impertinent	A-UNKNOWN	other
2062	5660499.xml	1750	Lettre à M. ...... sur la force du naturel, comédie de M. Méricault Destouches	A-UNKNOWN	other
6150	6530796.xml	1750	Remercîment sincère à un homme charitable	Voltaire 	other
1662	6112862.xml	1750	Mémoire pour le sieur de La Bourdonnais, avec les pièces justificatives	A-UNKNOWN	other
514	5860881.xml	1750	Tancrède, tragédie (paroles de Danchet, musique de Campra). (Paris, Académie royale de musique, 7 novembre 1702.)	Danchet	other
7831	6581151.xml	1750	Élémens d'hippiatrique, ou Nouveaux principes sur la connoissance et sur la médecine des chevaux — Tome 2,Partie 2	Bourgelat	other
5803	6359838.xml	1750	Manière de teindre un drap blanc en verd, nommé verd de Saxe	A-UNKNOWN	other
4932	5772338.xml	1750	Cléopâtre	Marmontel	other
1040	6584182.xml	1750	Recueil de pieces d'eloquence, présentées à l'Académie françoise, pour les prix qu'elle distribuë — Tome 4	A-UNKNOWN	other
3252	5819751.xml	1750	Aristomène, tragédie, par M. Marmontel. [Comédiens ordinaires du Roy, 30 avril 1749]	Marmontel	other
3035	5474996.xml	1750	Le rhinocéros, poème en prose divisé en six chants	Guiard de Servigné	other
5881	9601363.xml	1750	Ordonnance de Louis XIV, roy de France et de Navarre, sur le fait des cinq grosses fermes	Louis 	other
4796	5455401.xml	1750	Les festes vénitiennes	Danchet	other
8836	6551883.xml	1750	Oeuvres de Monsieur de Campistron, de l'Academie françoise. Nouvelle édition, — Tome 1	Campistron	other
3210	6230528.xml	1750	Pièces amusantes en vers et en proses	A-UNKNOWN	other
4824	5698498.xml	1750	Jugement souverain et en dernier ressort, rendu par Mgr l'archevesque de Tours,... président en la chambre souveraine tenue à l'archevêché de Tours et... les juges députés de ladite chambre, le 11 juin 1750, sur l'appointement en droit prononcé le 25 août 1749	A-UNKNOWN	other
4340	6438597.xml	1750	Préservatif contre les faux principes et les maximes dangereuses établies par M. de Montgeron pour justifier les secours violens qu'on donne aux convulsionnaires. [Par l'abbé Hervieux de La Boissière et l'abbé de La Molère.]	La Molère	other
1135	6471521.xml	1750	Nouvelles Fontaines domestiques approuvées par l'Académie royale des sciences. (Par Amy.)	Amy	other
2325	6359823.xml	1750	"Manière de teindre un drap blanc en vert, nommé ""vert de Saxe"""	A-UNKNOWN	other
7478	5464080.xml	1750	Les Reclusières de Vénus, allégorie. (Par Blanchet de Pravieux.)	Blanchet de Pravieux	other
7443	1025064.xml	1750	La femme n'est pas inférieure à l'homme	Puisieux	other
5954	6465654.xml	1750	Lettres de Montmartre, par M. Jeannot Georgin	Coustelier	other
4846	6549851.xml	1750	Oeuvres de Monsieur de Campistron, de l'Academie françoise. Nouvelle édition, — Tome 2	Campistron	other
4297	5620033.xml	1750	Ode sur la mort de M. Lévesque de Pouilly, lieutenant des habitans de la ville de Reims. [Signé : de Saulx.]	Saulx	other
4220	6381330.xml	1750	Lettres sur la peinture. A un amateur.	Baillet de Saint-Julien	other
5775	6526581.xml	1750	Lettres sur la peinture. A un amateur.	Baillet de Saint-Julien	other
8585	5688138.xml	1750	L'éloge du poème lirique de l'opéra de Zoroastre de la composition de M. de Cahusac et de la musique de M. Rameau, ou Dissertation historique et phisique sur cet opéra	A-UNKNOWN	other
6038	6471520.xml	1750	Nouvelles Fontaines domestiques approuvées par l'Académie royale des sciences. 1re édition. (Par Amy.)	Amy	other
8391	6313360.xml	1750	Lettres de Montmartre	Jouin	other
7079	6322606.xml	1750	Recueil de pieces d'eloquence, présentées à l'Académie françoise, pour les prix qu'elle distribuë — Tome 1	A-UNKNOWN	other
1233	6465082.xml	1750	Statuts de la communauté des maîtres et marchands grainiers, maîtresses et marchandes grainières, de la ville, fauxbourgs, et banlieue de Paris, avec les édits de création, lettres patentes...	A-UNKNOWN	other
1262	5679526.xml	1750	La Mort du maréchal comte de Saxe, poème par M. d'Arnaud,...	Arnaud	other
5732	6220565.xml	1751	Réponse de M. Aubert, docteur en médecine, aux écrits de M. Navier	Aubert	other
8685	5853795.xml	1751	La Henriade, travestie en vers burlesques [par Fougeret de Monbron]...	Fougeret de Montbron	other
8880	6251373.xml	1751	Histoire littéraire du règne de Louis XIV — Tome 3	Lambert	other
5239	5815723.xml	1751	Zoroastre	Mehegan	other
6000	6424213.xml	1751	Histoire littéraire du règne de Louis XIV — Tome 2	Lambert	other
1137	6516521.xml	1751	Épître à M. Moreau, premier chirurgien à l'Hôtel-Dieu de Paris, par M. Le Roy	Le Roy	other
5612	6240351.xml	1751	Coriolan, tragédie représentée pour la premiere fois sur le Théatre françois, le 10. janvier 1748	Mauger 	other
1130	6581898.xml	1751	Preuves de la religion de Jésus-Christ contre les spinosistes et les déistes — Partie 1,Tome 1	François	other
3078	6291555.xml	1751	Mêlange de differentes pieces de vers et de prose — Tome 3	Pope	other
2560	5696176.xml	1751	Observations sur le droit des patrons, et des seigneurs de paroisse aux honneurs dans l'église	Boucher d'Argis	other
3838	6275410.xml	1751	Sermon pour la consolation des cocus	A-UNKNOWN	other
8073	6240352.xml	1751	Coriolan, tragédie représentée pour la premiere fois sur le Théatre françois, le 10. janvier 1748	Mauger 	other
3841	6240584.xml	1751	Reponse aux Observations sur l'Esprit des loix	Risteau	other
2562	6379176.xml	1751	Explication des ouvrages de peinture et de sculpture de messieurs de l'Académie de S. Luc, dont l'exposition a été ordonnée par M. le marquis de Voyer,... — 1753	A-UNKNOWN	other
3856	5802020.xml	1751	Les colifichets	Baret	other
5591	5772716.xml	1751	Cénie	Montier Des Longschamps	other
2032	6535400.xml	1751	Mémoire en la cause pour les prieur et religieux du couvent et hôpital de la Charité... à Paris, défendeurs, contre Me Louis Joubert,... et demoiselle Anne-Louise Langlois, son épouse... demandeurs. [Signé : Me Coquereau, avocat.]	Coquereau	other
6545	6281963.xml	1751	Explication des ouvrages de peinture et de sculpture de messieurs de l'Académie de S. Luc, dont l'exposition a été ordonnée par M. le marquis de Voyer,... — 1764	A-UNKNOWN	other
5937	5602759.xml	1751	Principes du droit politique — Tome 1	Burlamaqui	other
8817	6102070.xml	1751	Epitre à Messieurs du Clergé	A-UNKNOWN	other
7437	5499169.xml	1751	Catalogue des livres de feu Monsieur Mariot, avocat aux conseils du Roy	A-UNKNOWN	other
7964	5403566.xml	1751	Supplément au mémoire du sieur de La Bourdonnais	A-UNKNOWN	other
6583	6566434.xml	1751	Preuves de la religion de Jésus-Christ contre les spinosistes et les déistes — Partie 2,Tome 1	François	other
3137	6261015.xml	1751	Lettres de la Fillon	Coustelier	other
1148	5440901.xml	1751	Ode sur la naissance de Monseigneur le duc de Bourgogne	Soret	other
2653	5425396.xml	1751	Coup d'oeil sur les ouvrages modernes, ou Réponses aux observations sur la littérature de M. L. D. L. P.	Palissot de Montenoy	other
2659	6213202.xml	1751	Thèses de mathématiques, de géométrie, de trigonométrie rectiligne, et de fortifications qui seront soutenues au collège de Louis le Grand le vendredy 25 de Juin 1751...	A-UNKNOWN	other
1213	5620011.xml	1751	Épître au roy sur l'établissement de l'École royale militaire	Laurès	other
2854	5401460.xml	1751	Epitre à Monsieur de Fontenelle, au mois d'août 1751	A-UNKNOWN	other
3342	5818311.xml	1751	"Remerciement à M. B** auteur des lettres sur la peinture, vulgairement appelées ""La Critique du Salon"", et imprimées, à Genève en 1750"	A-UNKNOWN	other
7935	6214831.xml	1751	"Réfutation d'un libelle intitulé : ""La voix du sage et du peuple"""	Gaultier	other
6266	6101691.xml	1751	Lettre sur les sourds et muets	Diderot	other
320	5606631.xml	1751	Observations sur les deux mémoires à consulter distribués par la famille du sieur Dupleix	A-UNKNOWN	other
3725	5602780.xml	1751	Principes du droit politique — Tome 2	Burlamaqui	other
984	5846426.xml	1751	Ode sur la naissance de Monseigneur le duc de Bourgogne. [Signé : Disson.]	Disson	other
6082	6357167.xml	1751	Histoire de la félicité	Voisenon	other
3735	6335719.xml	1751	La guirlande, ou Les fleurs enchantées, acte de ballet [paroles de M. Marmontel, musique de M. Rameau], représenté pour la première fois par l'Académie royale de musique à la suite des Indes galantes, le mardy 21 septembre 1751	Marmontel	other
54	5861244.xml	1751	Bibliothèque lorraine, ou Histoire des hommes illustres qui ont fleuri en Lorraine, dans les Trois Évêchés, dans l'archevêché de Trèves, dans le duché de Luxembourg, etc.	Calmet	other
3294	6529385.xml	1751	Dictionnaire philosophique ou Introduction a la connoissance de l'homme	Chicaneau de Neuville	other
5836	5813025.xml	1751	Catalogue des estampes gravées d'après Rubens	Hecquet	other
5512	5448766.xml	1751	Étrennes littéraires	Chevrier	other
6741	5606374.xml	1751	Supplément au mémoire du sieur de La Bourdonnais	A-UNKNOWN	other
7611	6335718.xml	1751	La guirlande, ou Les fleurs enchantées, acte de ballet [paroles de M. Marmontel, musique de M. Rameau], représenté pour la première fois par l'Académie royale de musique à la suite des Indes galantes, le mardy 21 septembre 1751	Marmontel	other
2879	6476937.xml	1751	Mêlange de differentes pieces de vers et de prose — Tome 1	Pope	other
2383	5785794.xml	1751	Encyclopédie ou Dictionnaire raisonné des sciences, des arts et des métiers, recueilli des meilleurs auteurs et particulièrement des dictionnaires anglois de Chambers, d'Harris, de Dyche, etc. par une société de gens de lettres, mis en ordre et publié par M. Diderot, et quant à la partie mathématique par M. d'Alembert... Dix volumes in-folio dont deux de planches... proposés par souscription	Diderot	other
934	6291628.xml	1751	Mêlange de differentes pieces de vers et de prose — Tome 2	Pope	other
8650	5469341.xml	1751	La guirlande, ou Les fleurs enchantées, acte de ballet [paroles de M. Marmontel, musique de M. Rameau], représenté pour la première fois par l'Académie royale de musique à la suite des Indes galantes, le mardy 21 septembre 1751	Marmontel	other
1319	6567381.xml	1751	Preuves de la religion de Jésus-Christ contre les spinosistes et les déistes — Tome 2	François	other
1156	6579976.xml	1751	Preuves de la religion de Jésus-Christ contre les spinosistes et les déistes — Tome 3	François	other
6083	5860167.xml	1751	La Mort de Polieucte, poëme par M. Mentelle	Mentelle	other
2127	5493344.xml	1751	Catalogue des livres de Monsieur le Président Crozat de Tugny. Dont la vente qui se fera au commencement du mois d'Aout 1751, au plus offrant et dernier enchérisseur, sera indiquée par affiche	A-UNKNOWN	other
6085	5818167.xml	1751	L'art de peinture	Dufresnoy	other
2446	5815770.xml	1751	Lettre sur les tableaux tirés du cabinet du roy et exposés au Luxembourg depuis le 14 octobre 1750	A-UNKNOWN	other
8476	6530575.xml	1751	La Monogamie, ou l'Unité dans le mariage, ouvrage dans lequel on entreprend d'établir... l'exacte... conformité des trois loix, de la nature, de Moïse et de Jésus-Christ sur ce sujet, par M. de Prémontval. Dédié aux dames par son épouse... — Tome 1	Le Guay de Prémontval	other
5947	5451654.xml	1751	A Monseigneur le Dauphin	Bourette	other
849	6529154.xml	1751	Système du philosophe chrétien, par M. de Cramezel,...	Cramezel	other
4988	6215696.xml	1751	Explication des ouvrages de peinture et de sculpture de messieurs de l'Académie de S. Luc, dont l'exposition a été ordonnée par M. le marquis de Voyer,... — 1762	A-UNKNOWN	other
5170	5401457.xml	1751	Les hommages du Parnasse présentés au Roy à l'occasion de la naissance de Monseigneur le duc de Bourgogne	Gaubier de Barrault	other
7198	5629402.xml	1751	Lettre de monsieur Goulard, conseiller du Roy, maire de la ville d'Alet	Goulard	other
4910	6261672.xml	1751	Histoire littéraire du règne de Louis XIV — Tome 1	Lambert	other
4884	5425136.xml	1751	Au Roi, sur la naissance de M. le Duc de Bourgogne	Roy	other
4881	6527571.xml	1751	La Monogamie, ou l'Unité dans le mariage, ouvrage dans lequel on entreprend d'établir... l'exacte... conformité des trois loix, de la nature, de Moïse et de Jésus-Christ sur ce sujet, par M. de Prémontval. Dédié aux dames par son épouse... — Tome 3	Le Guay de Prémontval	other
4579	5788173.xml	1751	Oraison funébre de trés-haut et trés-excellent seigneur monseigneur Maurice de Saxe	Lorenz	other
4869	5817506.xml	1751	Les Indes dansantes	Favart	other
7196	6269402.xml	1751	Lettres choisies de M. de La Rivière, gendre de M. le comte de Bussi-Rabutin — Tome 2	La Rivière	other
5099	6346010.xml	1751	Introduction à la langue latine par la voie de la traduction	Chompré	other
3991	5435302.xml	1751	La passion du jeu, poëme, par M. l'abbé ***	A-UNKNOWN	other
8280	6260874.xml	1751	Lettres choisies de M. de La Rivière, gendre de M. le comte de Bussi-Rabutin — Tome 1	La Rivière	other
7804	6468516.xml	1751	Positiones anatomicae et chirurgicae [quas tueri conabitur C. G. Bertrand Parisiis in regiis chirurgorum scholis, die 31a decembris 1751]	Bertrand	other
1467	5606563.xml	1751	Mémoire pour le sieur de La Gotinais, capitaine de vaisseau dans les Indes	Houdret	other
4752	5402399.xml	1751	Sur la naissance de Monseigneur le duc de Bourgogne	Aubert	other
4172	5414536.xml	1751	Cantique nouveau en l'honneur de la naissance de Notre-Seigneur Jésus-Christ	A-UNKNOWN	other
5158	9601420.xml	1751	Traité des matières criminelles suivant l'ordonnance du mois d'août 1670 — 2	Du Rousseaud de La Combe	other
7127	5425135.xml	1751	Le refuge sacré	Le Tenneur	other
7099	5629038.xml	1751	Réponse de M. G*** Docteur en Méd. résident à V*** à la lettre de M. Olivier, privilégié du Roi pour la guérison des Rétentions d'urine	A-UNKNOWN	other
5035	5472527.xml	1751	La guirlande, ou Les fleurs enchantées, acte de ballet [paroles de M. Marmontel, musique de M. Rameau], représenté pour la première fois par l'Académie royale de musique à la suite des Indes galantes, le mardy 21 septembre 1751	Marmontel	other
719	6527580.xml	1751	La Monogamie, ou l'Unité dans le mariage, ouvrage dans lequel on entreprend d'établir... l'exacte... conformité des trois loix, de la nature, de Moïse et de Jésus-Christ sur ce sujet, par M. de Prémontval. Dédié aux dames par son épouse... — Tome 2	Le Guay de Prémontval	other
1702	5436815.xml	1751	Épître d'Héloïse a Abélard	Pope	other
1497	5766514.xml	1752	Abailard et Eloïse	Guys	other
8580	6204405.xml	1752	Paralléle de l'expédition d'Alexandre dans les Indes avec la conquête des mêmes contrées par Tahmas-Kouli-Khan	Bougainville	other
6769	9601649.xml	1752	Conférence de l'ordonnance de Louis XIV du mois d'août 1669, sur le fait des eaux et forêts — Tome 1	Gallon	other
2667	5626378.xml	1752	Éloge de M. Julien Offroy La Mettrie,... prononcé par S. M. le roi de Prusse [Frédéric II] dans son Académie, à Berlin	Frédéric 	other
6921	6105170.xml	1752	Épitre de Mr. de V*** à monseigneur l'archevêque de Paris,...	Voltaire 	other
2915	5651680.xml	1752	Alzate, ou Le préjugé détruit	Gazon-Dourxigné	other
5021	5835550.xml	1752	Catalogue des tableaux, la plus grande partie originaux de Breugle, Bartholomée, Tintoret, Le Sueur, Fontenay...	A-UNKNOWN	other
5777	6442581.xml	1752	Vie de M. le marquis de Fabert, maréchal de France — Tome 1	Barre	other
421	5424175.xml	1752	Ode sur les désastres arrivés à Saint-Domingue et sur la mort de mon frère causée par le tremblement de terre du 21 novembre 1751	Gouraud	other
1029	6148892.xml	1752	État de la France, dans lequel on voit tout ce qui regarde le gouvernement ecclésiastique, le militaire, la justice, les finances, le commerce, les manufactures, le nombre des habitants, et en général tout ce qui peut faire connaître à fond cette monarchie. Extrait des mémoires dressés par les intendants du royaume, par ordre du roi, Louis XIV,... avec des mémoires historiques sur l'ancien gouvernement de cette monarchie jusqu'à Hugues Capet,... On y a joint une nouvelle carte de la France	Boulainvilliers	other
8422	5544145.xml	1752	Observations sur la tragedie du Duc de Foix de Mr de Voltaire.	La Morlière	other
3802	5403930.xml	1752	Voyage historique de l'Amérique méridionale fait par ordre du roi d'Espagne — Tome 2	Juan y Santacilia	other
5811	6375518.xml	1752	Entretiens d'un avocat au Parlement d'Aix, et d'un religieux Augustin, sur le monachisme de St Augustin	A-UNKNOWN	other
8524	5451925.xml	1752	A Monseigneur le Dauphin	Bourette	other
4588	5424090.xml	1752	Vers présentés au Roy, par M. l'abbé Pinget,...	Pinget	other
5355	5423938.xml	1752	A monseigneur le Dauphin, sur sa convalescence. Ode	Lénaut	other
823	5545564.xml	1752	Le voyage de St-Cloud par mer et par terre	Lottin	other
2922	5651619.xml	1752	Alzate, ou Le préjugé détruit	Gazon-Dourxigné	other
5710	6546468.xml	1752	Le Secret des nouvelles teintures de Saxe... par J. H. G. Justi. Traduit de l'allemand sur l'original imprimé à Vienne 1751	Justi	other
5575	6583782.xml	1752	Lettre sur les nouveaux bains médicinaux	Caillot	other
7937	6468511.xml	1752	Positiones anatomicae et chirurgicae [quas tueri conabitur J. Bérard Parisiis in regiis chirurgorum scholis, die 3a octobris 1752]	Bérard	other
7711	9604021.xml	1752	Traité de la vente des immeubles par décret — Tome 1	Héricourt du Vatier	other
1526	9603843.xml	1752	Édits, déclarations et arrests (du Conseil d'État et de la Cour des aides de Montauban) concernant la jurisdiction et la jurisprudence de la Cour des aides et finances de Montauban	A-UNKNOWN	other
5515	5408321.xml	1752	Voyage historique de l'Amérique méridionale fait par ordre du roi d'Espagne — Tome 1	Juan y Santacilia	other
1779	5661075.xml	1752	"Parallèle de ""Catilina"" et de ""Rome sauvée"""	Dupuy-Demportes	other
4449	6468039.xml	1752	Essai sur la comédie moderne, où l'on réfute les nouvelles observations de M. Fagan, au sujet des condamnations prononcées contre les comédiens.	Meslé	other
1699	5533815.xml	1752	Détail historique de la ville d'Orléans	Jousse	other
375	6282968.xml	1752	Reflexions critiques sur les différentes écoles de peinture.	Argens	other
5461	5462055.xml	1752	Hector	Peloux de Clairfontaine	other
4129	6502092.xml	1752	Reflexions critiques sur les différentes écoles de peinture	Argens	other
1545	5425124.xml	1752	A son éminence Monseigneur le cardinal de Tencin, sur le retablissement de sa santé	Roussy	other
5451	9601158.xml	1752	Traité de la vente des immeubles par décret — Tome 2	Héricourt du Vatier	other
929	6536725.xml	1752	Discours sur les avantages des sciences et des arts	Borde	other
4154	5846861.xml	1752	Élémens de mathématiques, par M. Rivard,... 4e édition...	Rivard	other
1234	6219082.xml	1752	Essai sur la peinture, la sculpture et l'architecture	Bachaumont	other
4684	5414637.xml	1752	Vers sur la maladie et la convalescence de Monseigneur le Dauphin	Marmontel	other
2159	5625243.xml	1752	Abailard et Eloise	Guys	other
2224	6248043.xml	1752	Science des princes, ou Considerations politiques sur les coups d'Etat	Naudé	other
6797	5846309.xml	1752	Les Oeuvres de Mr de Maupertuis	Maupertuis	other
4963	5488345.xml	1752	Recueil de pensées ingénieuses tirées des anciens poètes latins	Berthelin	other
2286	5787503.xml	1752	Relation de ce qui s'est passé pendant la maladie de Mme la duchesse de Rochechouart	Gourlin	other
330	5825646.xml	1752	Lettre de M. Grimm sur Omphale, tragédie lyrique, reprise par l'Académie royale de musique le 14 janvier 1752	Grimm	other
8533	6104952.xml	1752	Épitre de M*** à Mr son frère au sujet de sa Thèse de Bachelier en Médecine	A-UNKNOWN	other
2626	5457811.xml	1752	Antipater, tragédie de M. Portelance, représentée sur le théâtre des Comédiens françois ordinaires du Roi, le 25 novembre 1751, et la critique de cette tragédie, faite par l'auteur	Portelance	other
790	5403513.xml	1752	Cantique sur la naissance du Sauveur...	A-UNKNOWN	other
2624	5448811.xml	1752	Récréation galante composée de plusieurs piéces en vers et en prose	Charon 	other
1430	5423944.xml	1752	Le lys et la rose, fable allégorique, a madame la Dauphine, sur la convalescence de monseigneur le Dauphin	Lénaut	other
1464	5401464.xml	1752	Poème sur la mort de Son Altesse sérénissime Monseigneur le duc d'Orléans	Barbellion	other
4495	6216964.xml	1752	L'esprit des nations — Tome 1	Espiard	other
188	5745820.xml	1752	Le gouverneur	La Morlière	other
675	6529024.xml	1752	L'esprit des nations — Tome 2	Espiard	other
1416	5426023.xml	1752	Couplets sur la convalescence de Mgr. le Dauphin	A-UNKNOWN	other
8691	6274601.xml	1752	Réplique à la critique ou Libelle de M. Aubert, médecin à Chaalons sur Marne	Navier	other
608	5819220.xml	1752	Ce qu'on a dit, ce qu'on a voulu dire. Lettre a madame Folio	Marin	other
724	5787580.xml	1752	Discours sur la prise d'habit de Madame la Comtesse de Rupelmonde, aux Carmélites de la rue de Grenelle, le 8 octobre 1751, par M. Poulle,...	Poulle	other
574	6459784.xml	1752	Traduction du discours latin prononcé par le pere J. B. Geoffroy, de la Compagnie de Jesus, sur la convalescence de monseigneur le Dauphin, le mardy vingt-six septembre 1752	Geoffroy	other
8218	6269069.xml	1752	Reflexions d'un franciscain, avec une lettre préliminaire, adressées a monsieur *** auteur en partie du Dictionnaire encyclopédique.	Fruchet 	other
2351	5425133.xml	1752	A Monseigneur le Dauphin, le langage du coeur	Renout	other
7211	6468596.xml	1752	"Réflexions sur les vaisseaux de cuivre, de plomb et d'étain et division de l'extrait du livre intitulé ""Nouvelles Fontaines domestiques""... par M. Amy,..."	Amy	other
181	6468599.xml	1752	Nouvelles Fontaines filtrantes approuvées par l'Académie royale des sçiences	Amy	other
3020	5706664.xml	1752	Méthode aisée et peu coûteuse de traiter avec succès plusieurs maladies épidémiques, comme la suette, la fièvre milliaire, les fièvres pourprées, etc., par M. de Meyserey,...	Meyserey	other
8690	5434601.xml	1752	Vaudeville sur la convalescence de Monseigneur le Dauphin	C J	other
4885	6468136.xml	1752	Vie de M. le marquis de Fabert, maréchal de France — Tome 2	Barre	other
3825	5542467.xml	1752	Varon, tragédie	Grave	other
835	5425123.xml	1752	A Monseigneur le Dauphin	Roy	other
3134	5426015.xml	1752	Epistre à Mgr. le Duc de Bourgogne	A-UNKNOWN	other
1999	9601493.xml	1752	Conférence de l'ordonnance de Louis XIV du mois d'août 1669, sur le fait des eaux et forêts — Tome 2	Gallon	other
5886	5421219.xml	1752	Idyle sur la naissance de Notre-Seigneur, Jesus-Christ	A-UNKNOWN	other
577	5474784.xml	1752	La source, la force et le véritable esprit des loix	Cattaneo	other
3065	6471522.xml	1752	"Extrait du livre intitulé ""Nouvelles Fontaines domestiques""... ou Description des vaisseaux nécessaires dans les cuisines et sans danger pour l'eau et la préparation des aliments... par M. Amy,..."	Amy	other
4831	5400956.xml	1752	Dictionnaire portatif des beaux-arts, ou Abrégé de ce qui concerne l'architecture, la sculpture, la peinture, la gravure, la poésie et la musique	Lacombe	other
3987	5772302.xml	1752	Rhadamisthe et Zenobie	Crébillon	other
2964	5407359.xml	1752	Idyle sur la naissance de Notre-Seigneur Jésus-Christ	A-UNKNOWN	other
2002	5502493.xml	1752	Le retour du printemps	Degardein de Ville-Maire	other
6036	5468520.xml	1752	Apologie de l'abbé De Prade, à Messieurs les docteurs de Sorbonne, avec une analyse du livre intitulé L'Esprit des loix	A-UNKNOWN	other
1126	5675556.xml	1752	Le Poirier, opéra comique, par M. Vadé... [Théâtre de la Foire S. Laurent, 7 août 1752.]	Vadé	other
4306	5425149.xml	1752	La maladie et la convalescence de Monseigneur le Dauphin	Raoult	other
6865	5457817.xml	1752	"Adam et Ève, tragédie dédiée à l'Académie françoise, nouvelle édition, revue et corregée [""sic""] par l'auteur..."	Tanevot	other
480	6565005.xml	1752	L'Abondance, ou Véritable pierre philosophale	La Jutais	other
6957	5426099.xml	1752	A madame la Dauphine	Dubois	other
