filename	au-name	au-birth	au-death	title	au-gender	firsted-yr	printSource-yr	form	spelling	data-capture	token count	vols_count	size	bgrf	author_wikidata	title_wikidata	lang	publisher	distributor	distribution_date	copyright_status	digitalSource_Title	digitalSource_Ref	digitalSource_Publisher	digitalSource_Date	printSource_title	printSource_author	printSource_pubPlace	printSource_publisher	printSource_date	resp_datacapture	resp_encoding
Arnaud_Batilde	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Bathilde ou l'héroïsme de l'amour, anecdote historique par M. d'Arnaud	M	1767	1773	heterodiegetic	historical	semi-automatic transcription	15703	1	short	67.14	Q548610	0	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2021	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LesSacrificesDeLAmour	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	Le Jay	1773	unknown	Amelie Probst
Arnaud_Clary	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Clary ou le retour à la vertu récompensé	M	1767	1773	mixed	modern	semi-automatic transcription	14372	1	short	67.15	Q548610	0	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LesSacrificesDeLAmour	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	Le Jay	1773	unknown	Amelie Probst
Arnaud_Epoux	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Les époux malheureux	M	1783	1803	autodiegetic	modern	semi-automatic transcription	76960	2	medium	83.15	Q548610	0	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Les Époux malheureux ou Histoire de Monsieur et Madame de ***	https://www.frantext.fr/repository/frantext	Frantext	unknown	Les Époux malheureux ou Histoire de Monsieur et Madame de ***	François-Thomas-Marie de Baculard d'Arnaud	unknown	Laporte	1803	frantext	Johanna Konstanciak
Arnaud_Fanny	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Fanny, histoire anglaise	M	1764	1773	autodiegetic	modern	semi-automatic transcription	17786	1	short	64.14	Q548610	0	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LesSacrificesDeLAmour	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	Le Jay	1773	unknown	Amelie Probst
Arnaud_Julie	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Julie ou l'heureux repentir	M	1767	1773	heterodiegetic	historical	semi-automatic transcription	17134	1	short	67.16	Q548610	0	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LesSacrificesDeLAmour	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	Le Jay	1773	unknown	Amelie Probst
Arnaud_Lucie	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Lucie et Mélanie ou les deux sœurs généreuses	M	1767	1773	heterodiegetic	modern	semi-automatic transcription	13026	1	short	67.17	Q548610	0	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LesSacrificesDeLAmour	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	Le Jay	1773	unknown	Amelie Probst
Arnaud_Matinees	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Les matinées	M	1798	1799	heterodiegetic	historical	semi-automatic transcription	76569	3	medium	99.43	Q548610	0	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Les matinées	https://books.google.de/books?id=srQ5AAAAcAAJ	Google Books	2009	Les matinées, nouvelles anecdotes	François-Thomas-Marie de Baculard d'Arnaud	Paris	l'imprimerie de Vatar-Jouannet	1799	googlebooks	Amelie Probst
Arnaud_Nancy	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Nancy ou les malheurs de l'imprudence et de la jalousie	M	1767	1773	heterodiegetic	historical	semi-automatic transcription	17520	1	short	67.18	Q548610	0	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2021	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LesSacrificesDeLAmour	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	Le Jay	1773	unknown	Amelie Probst
Arnaud_Sargines	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Sargines, nouvelle	M	1772	1773	heterodiegetic	modern	semi-automatic transcription	22149	1	short	72.11	Q548610	0	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LesSacrificesDeLAmour	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	Le Jay	1773	unknown	Amelie Probst
Arnaud_Selicourt	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Sélicourt, nouvelle	M	1769	1773	heterodiegetic	modern	semi-automatic transcription	18765	1	short	69.13	Q548610	0	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LesSacrificesDeLAmour	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	Le Jay	1773	unknown	Amelie Probst
Arnaud_Sidney	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Sidney et Volsan	M	1766	1773	autodiegetic	modern	semi-automatic transcription	18068	1	short	66.9	Q548610	0	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LesSacrificesDeLAmour	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	Le Jay	1773	unknown	Amelie Probst
Arnaud_Zenothemis	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Zénothémis	M	1773	1773	heterodiegetic	historical	semi-automatic transcription	18689	1	short	73.9	Q548610	0	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LesSacrificesDeLAmour	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	Le Jay	1773	unknown	Amelie Probst
BarbeMarbois_Parisienne	François Barbé-Marbois	1745	1837	La Parisienne en province	M	1769	1769	heterodiegetic	historical	semi-automatic transcription	28983	1	short	69.14	Q708732	0	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2021	https://creativecommons.org/publicdomain/zero/1.0/deed.en	La Parisienne en province . Ouvrage national. Par M...	https://gallica.bnf.fr/ark:/12148/bpt6k6382224v	Bibliothèque national de France	2013	La Parisienne en province. Ouvrage national. Par M.....	François marquis de Barbé-Marbois	Amsterdam, Paris	veuve Duchesne	1769	gallica	Johanna Konstanciak
Barthe_Femme	Nicolas Thomas Barthe	1736	1785	La jolie femme ou la femme du jour	M	1769	1769	heterodiegetic	historical	semi-automatic transcription	62820	1	medium	69.15	Q3340819	0	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2021	https://creativecommons.org/publicdomain/zero/1.0/deed.en	La Jolie Femme, Ou La Femme Du Jour.	https://www.digitale-sammlungen.de/de/view/bsb10088194	Bayerische Staatsbibliothek	2009	La jolie femme, ou la femme du jour.	Nicolas-Thomas Barthe	Lyon, Rouen, Paris	Deville, Abraham Lucas, Le Jay	1769	Münchener DigitalisierungsZentrum	Johanna Konstanciak
Bastide_Maison	Jean François Bastide	1724	1798	La Petite Maison	M	1762	1879	heterodiegetic	modern	semi-automatic transcription	6933	1	short	62.9	Q3165946	Q19187345	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	La Petite Maison	https://fr.wikisource.org/wiki/La_Petite_Maison	Wikisource	2017	La Petite Maison	Jean-François de Bastide	Paris	Librairie des Bibliophiles	1879	Wikisource contributors	Henning Gebhard, Johanna Konstanciak
Beauharnais_Lettres	Fanny de Beauharnais	1737	1813	Lettres de Stéphanie	F	1778	1778	epistolary	historical	double keying, semi-automatic transcription	130171	3	long	78.12	Q446559	0	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Lettres de Stéphanie , roman historique, en trois parties.	gallica, https://gallica.bnf.fr/ark:/12148/bpt6k5795955s, https://gallica.bnf.fr/ark:/12148/bpt6k57386640	Bibliothèque national de France	2009, 2010, 2009	Lettres de Stéphanie.	Fanny de Beauharnais	Paris	unknown	1778	"double keying by ""Jiangsu"", China"	Julia Dudar
Beaumont_Belle	Jeanne-Marie Leprince de Beaumont	1711	1776	La Belle et la Bête	F	1756	1806	heterodiegetic	modern	semi-automatic transcription	5599	1	short	56.19	Q466788	Q60193373	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Contes moraux pour l’instruction de la jeunesse: La Belle et la Bête	https://fr.wikisource.org/wiki/Contes_moraux_pour_l%E2%80%99instruction_de_la_jeunesse/La_Belle_et_la_B%C3%AAte	Wikisource	2021	Contes moraux pour l'instruction de la jeunesse	Jeanne Marie Leprince de Beaumont	Paris	Barba	1806	Wikisource contributors	Henning Gebhard, Johanna Konstanciak
Beaumont_Clarice	Jeanne-Marie Leprince de Beaumont	1711	1780	La nouvelle Clarice	F	1767	1767	epistolary	historical	double keying	135446	2	long	67.36	Q466788	0	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	"La nouvelle Clarice, histoire véritable, par Mme Le Prince [""sic""] de                        Beaumont"	https://gallica.bnf.fr/ark:/12148/bpt6k6550212p, https://gallica.bnf.fr/ark:/12148/bpt6k65436683/	Bibliothèque national de France	2013, 2013	La nouvelle Clarice, histoire véritable	Jeanne-Marie Leprince de Beaumont	Lyon, Paris	P. Bruyset-Ponthus	1767	"double keying by ""Jiangsu"", China"	Julia Dudar, Christof Schöch
Beaumont_Prince	Jeanne-Marie Leprince de Beaumont	1711	1776	Le Prince Chéri	F	1756	1806	heterodiegetic	modern	semi-automatic transcription	4674	1	short	56.19	Q466788	Q106165259	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Contes moraux pour l’instruction de la jeunesse: Le Prince Chéri	https://fr.wikisource.org/wiki/Contes_moraux_pour_l%E2%80%99instruction_de_la_jeunesse/Le_Prince_Ch%C3%A9ri	Wikisource	2021	Contes moraux pour l'instruction de la jeunesse	Jeanne Marie Leprince de Beaumont	Paris	Barba	1806	Wikisource contributors	Henning Gebhard, Johanna Konstanciak
Beckford_Vathek	William Beckford	1760	1844	Vathek: conte arabe	M	1787	1787	heterodiegetic	modern	semi-automatic transcription	35155	1	short	87.25	Q361026	Q54548	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	VathekConteArabe	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/, https://fr.wikisource.org/wiki/Vathek/%C3%89dition_1787_Paris	txtlab	2016	Vathek, conte arabe	William Beckford	Paris	Poinçot	1787	unknown	Amelie Probst
Bellin_Nuit	Louis François Marie Bellin de La Liborlière	1774	1847	La Nuit anglaise	M	1799	1799	heterodiegetic	historical	semi-automatic transcription	47041	2	short	99.44	Q3261946	0	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2021	https://creativecommons.org/publicdomain/zero/1.0/deed.en	La Nuit Anglaise, Ou Les Aventures, jadis un peu extraordinaires, mais                        aujourd'hui toutes simples et très-communes De M. Dabaud, Marchand De La Rue                        St.-Honoré, A Paris	https://gdz.sub.uni-goettingen.de/id/PPN879346302, https://gdz.sub.uni-goettingen.de/id/PPN879346396	Staats- und Universitätsbibliothek Göttingen	2017, 2017	La nuit anglaise ou aventures jadis un peu extraordinaires, mais                        aujourd'hui toutes simples et très communes de M. Dabaud, marchand de la rue                        Saint-Honoré, à Paris	Louis François Marie Bellin de La Liborlière	Hambourg, Brunswick, Paris, Londres, Leipzig, Berlin, Francfort sur le Mein, Manheim, Basle, Breslau	P. F. Fauche et Compagnie, Pougens, rue St. Thomas du Louvre No. 246., J. de Boffes libraire, GerardStreet N.7, Soho, Dulau et Comp. Wardour-Street. Soho Square, Rabenhorst, lib., Mettra, lib., bureau du Journal françois., Fontaine, lib., Decker, lib., G. T. Korn jun. lib.	1799	Niedersächsische Staats- und Universitätsbibliothek Göttingen	Johanna Konstanciak
Benoist_Elisabeth	Françoise-Albine Benoist	1724	1809	Elisabeth	F	1766	1766	epistolary	historical	double keying	84754	3	medium	66.11	Q3086371	0	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Elisabeth, roman. Par madame ***…	https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001100158141, https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001200044084, https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001200044092	Bibliothèque numérique de Lyon	unknown	Elisabeth, roman. Par madame ***	Françoise-Albine Puzin de la Martinière Mme Benoist	Amsterdam	Arkstée & Merkus	1766	"double keying volume 3 by ""Jiangsu"", China"	Julia Dudar
Benouville_Pensees	Bonne-Charlotte Bénouville	unknown	unknown	Les pensées errantes	F	1758	1758	epistolary	historical	double keying	39065	1	short	58.8	0	0	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Les pensées errantes ; avec quelques lettres d'un Indien : par madame de                        ***	https://gallica.bnf.fr/ark:/12148/bpt6k6260293p	Bibliothèque national de France	2012	Les pensées errantes ; avec quelques lettres d'un Indien	Henriette de Marans	London	Hardy	1758	"double keying by ""Jiangsu"", China"	Julia Dudar
Bernardin_Chaumiere	Jacques Henri Bernardin de Saint-Pierre	1737	1814	Chaumière Indienne	M	1791	1829	heterodiegetic	modern	semi-automatic transcription	13551	1	short	91.43	Q361976	Q42187814	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	La Chaumière indienne	https://www.frantext.fr/	Frantext	unknown	La Chaumière indienne	Jacques-Henri Bernardin de Saint-Pierre	unknown	unknown	1829	frantext	Johanna Konstanciak
Bernardin_Paul	Jacques Henri Bernardin de Saint-Pierre	1737	1814	Paul et Virginie	M	1787	1806	homodiegetic	modern	semi-automatic transcription	64366	1	medium	88101	Q361976	Q2293012	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Paul et Virginie	https://www.ebooksgratuits.com/details.php?book=1682	Ebooks Libres & Gratuits	2008	Paul et Virginie	Jacques-Henri Bernardin de Saint Pierre	Paris	P. Didot l'aîné	1806	Ebooks libres et gratuits contributors	Julia Dudar
Berquin_Enfants	Arnaud Berquin	1747	1791	L'ami des Enfants	M	1782	1845	mixed	modern	semi-automatic transcription	38322	1	short	82.14	Q350566	Q42185919	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LAmiDesEnfants	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	L'ami des enfants	Arnaud Berquin	Paris	Didier	1845	unknown	Amelie Probst
Blanchard_Philetas	Pierre Blanchard	1772	1856	Philétas	M	1800	1800	autodiegetic	historical	semi-automatic transcription	27292	1	short	00.50	Q21416437	0	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Philétas,: roman pastoral	https://books.google.de/books?id=G-UFAAAAQAAJ	Google Books	2007	Philétas, roman pastoral, par Pierre Blanchard.	Pierre Blanchard	Paris	Cailleau	1800	googlebooks	Johanna Konstanciak
Boismortier_Histoire	Suzanne Bodin de Boismortier	1722	1799	Histoire de Jacques Féru	F	1766	1766	homodiegetic	historical	semi-automatic transcription	7294	1	short	66.12	Q3505914	0	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2023	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Histoire de Jacques Seru et de valeureuse demoiselle Agathe Mignard ;                        écrite par un ami d'iceux avec des airs notés	https://gallica.bnf.fr/ark:/12148/bpt6k63560161	Bibliothèque national de France	2012	Histoire de Jacques Feru, et de valeureuse Damoiselle Agathe Mignard;                        Ecrite par un Ami d'iceux.	Suzanne Bodin de Boismortier	La Haye, Paris	Cuissart	1766	gallica	Johanna Konstanciak
Boufflers_Reine	Stanislas de Boufflers	1738	1815	La Reine de Golgonde	M	1760	1761	autodiegetic	modern	semi-automatic transcription	4444	1	short	61.6	Q918355	0	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	La Reine de Golgonde	https://www.frantext.fr/	Frantext	unknown	La Reine de Golgonde	Stanislas-Jean de Boufflers	unknown	unknown	1761	frantext	Johanna Konstanciak
Brument_Henriette	Brument	unknown	unknown	Henriette de Wolmar	U	1768	1768	heterodiegetic	historical	semi-automatic transcription	20729	1	short	68.17	0	0	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Henriette De Wolmar, Ou la Mere Jalouse De Sa Fille Histoire Veritable ;                        Pour servir de suite à la Nouvelle Héloise par J. J. R.	https://opendata.uni-halle.de//handle/1981185920/44901	Halle (Saale): Universitäts- und Landesbibliothek Sachsen-Anhalt	2010	Henriette de Wolmar, ou la mere jalouse de sa fille, histoire veritable,                        Pour servir de suite à la Nouvelle Héloïse, Par J. J. R.	Brument	Geneve, Paris	Delalain, Valade	1768	Universitäts- und Landesbibliothek Sachsen-Anhalt	Johanna Konstanciak
CastilhonJL_Zingha	Jean-Louis Castilhon	1721	1798	Zingha, reine d'Angola	M	1769	1769	heterodiegetic	historical	semi-automatic transcription	42517	1	short	69.23	Q3166691	0	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Zingha, reine d'Angola : histoire africaine... ([Reprod.]) / par M. L.                        Castilhon	https://gallica.bnf.fr/ark:/12148/bpt6k85830z	Bibliothèque national de France	2007	Zingha, reine d'Angola. Histoire Africaine, en deux parties.	Jean-Louis Castilhon	Paris	Lacombe	1769	gallica	Johanna Konstanciak
CastilhonJ_Robert	Jean Castilhon	1720	1799	Histoire de Robert le Diable, duc de Normandie; et de Richard sans peur, son fils	M	1769	1769	heterodiegetic	modern	semi-automatic transcription	56536	1	medium	69.22	Q2363786	0	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Histoire de Robert le Diable, Duc de Normandie ; et de Richard Sans                        Peur, son fils	https://intertextual-hub.uchicago.edu/philologic/hub18thcfrench/navigate/517/	The Intertextual Hub	unknown	Histoire de Robert le Diable, Duc de Normandie ; et de Richard Sans                        Peur, son fils	Jean Castilhon	Paris	Lacombe	1769	Hub18thcFrench	Henning Gebhard, Johanna Konstanciak
Cazotte_Diable	Jacques Cazotte	1719	1792	Le Diable amoureux	M	1772	1871	autodiegetic	modern	semi-automatic transcription	26070	1	short	72.17	Q425373	Q1994609	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Le Diable amoureux	https://fr.wikisource.org/wiki/Le_Diable_amoureux	Wikisource	2021	Le Diable amoureux	Jacques Cazotte	Paris	Henri Plon	1871	Wikisource contributors	Amelie Probst
