,Text in Benoist_Elisabeth,Text in B,Location in Benoist_Elisabeth,Location in B
Crebillon_Atheniennes_0," capable d'écouter la raison; MAIS, JE SUIS SI SÛRE DE LA sagesse de ta conduite, quand",ou de ne me voir qu'avec lui; MAIS JE SUIS SI SÛRE DE LA joie que cette nouvelle vous ,"(226451, 226478)","(142977, 143003)"
Crebillon_Atheniennes_1,"te la nature, si, pour sauver LE SECRET DE MON CŒUR, JE NE me condamnois au silence: cro",tter que vous y eûssiez saisi LE SECRET DE MON CŒUR. JE NE doutais pas qu'en prenant pou,"(313358, 313386)","(142977, 143003)"
Crebillon_Atheniennes_2,", vous devez la connaître sur CE QUE JE VOUS EN AI DIT. Elle n'a d'autres travers, q","i qu'il me semble que, malgré CE QUE JE VOUS EN AI DIT dans des temps plus heureux, ","(421889, 421913)","(142977, 143003)"
Crebillon_Conte_0," incapable de détour. Mais, s'IL ÉTAIT POSSIBLE QUE CE NE FÛT qu'un artifice de sa part, je",'avait très-vivement aimée: s'IL ÉTAIT POSSIBLE QUE CE NE FÛT que la vanité du prince qui l,"(229393, 229424)","(170929, 170960)"
Crebillon_Conte_1,"; mais si tu avais été témoin DE CE QUI VIENT DE SE PASSER il y a une heure, tu me trouv","Je suis si confuse, seigneur, DE CE QUI VIENT DE SE PASSER, dit l'oie à Schézaddin, que ","(288968, 288996)","(170929, 170960)"
Doppet_Memoires_0,"e marier, que j'étais réfolue DE PASSER LE RESTE DE MES JOURS auprès de lui, et dans l'état",on abjuration dans le dessein DE PASSER LE RESTE DE MES JOURS au fond d'un cloître. La vie ,"(376845, 376876)","(42213, 42244)"
Dorat_Malheurs_0,ra inspirées monsieur Patibe; IL N'EN FAUT PAS DAVANTAGE POUR DÉTERMINER UN médecin peu scrupuleux à rass,"fait gracieux; et quelquefois IL N'EN FAUT PAS DAVANTAGE POUR DÉTERMINER. UN homme qui balbutie, a toujour","(393849, 393894)","(8596, 8642)"
Dorat_Malheurs_1,", vous devez la connaître sur CE QUE JE VOUS EN AI DIT. Elle n'a d'autres travers, q","vous savez ce que j'en pense, CE QUE JE VOUS EN AI DIT; vous savez avec quelle chale","(421889, 421913)","(8596, 8642)"
Dulaurens_Imirce_0," quittée, je trouvai chez moi UNE LETTRE DE MON GRAND-PÈRE, QUI me marquait de partir sur le ","rivait à son père, elle reçut UNE LETTRE DE MON GRAND-PÈRE, QUI lui mandait l'aventure de ma ","(35916, 35949)","(42028, 42061)"
Florian_Estelle_0," je sçais que j'asssige celui QUI M'EST PLUS CHER QUE LA VIE.... 
Il faut que la vertu ait","r même à oublier un sentiment QUI M'EST PLUS CHER QUE LA VIE, je vous tromperois, je me tr","(239278, 239308)","(35452, 35482)"
Genlis_Adele_0,"ait aussi vive que la mienne, IL N'EST POINT DE SACRIFICE QUE TU NE me fisses. J'ai éprouvé cent ","ime! Vous le savez, mon père; IL N'EST POINT DE SACRIFICES QUE JE NE fisse avec transport pour ell","(5062, 5099)","(1279024, 1279062)"
Genlis_Adele_1,"que amie, que tu dois sçavoir TOUT CE QUI SE PASSE DANS MON CŒUR, comme Dieu même. Sois donc i"," ... Vous ne pouvez concevoir TOUT CE QUI SE PASSE DANS MON CŒUR, non; quoique vous le connais","(204768, 204802)","(1279024, 1279062)"
Gerard_Comte_0,"e sa jouissance peut affliger CEUX QUI NOUS ONT DONNÉ LE JOUR. O vertu, quel sacrifice tu e", ce culte filial qu'on doit à CEUX QUI NOUS ONT DONNÉ LE JOUR; s'ils leur font aimer par la,"(60366, 60397)","(285081, 285112)"
Kimber_Thompson_0,"de ce que mon mari me promet, JE VOUDRAIS DE TOUT MON CŒUR QUE tes espérances du côté du che", peine qu'on la sauve du feu? JE VOUDRAIS DE TOUT MON CŒUR QUE tu eusses un état à lui donne,"(136307, 136339)","(225194, 225226)"
Laclos_Liaisons_0,"érité, mais moins dangereuse. JE LE CONNAIS ASSEZ, POUR ÊTRE SÛRE que l'on peut tout attendre d","uspecte, d'une petite maison. JE LE CONNAIS ASSEZ, POUR ÊTRE SÛRE qu'il ne s'en servira que pou","(89837, 89872)","(52020, 52055)"
Laclos_Liaisons_1," ou de la félicité de ta vie, JE NE CROIS PAS QU'IL ME SOIT PERMIS DE te laisser ignorer tout ce qu"," aurez sues d'elle, mais dont JE NE CROIS PAS QU'IL ME SOIT PERMIS DE vous instruire, lui ont fait ","(177945, 177984)","(52020, 52055)"
Lagrave_Sophie_0,"mie, que tu dois sçavoir tout CE QUI SE PASSE DANS MON CŒUR, comme Dieu même. Sois donc i","r. 
Je ne puis te dire, mon amIE, CE QUI SE PASSE DANS MON cœur à cette idée; il semble q","(204773, 204802)","(55158, 55187)"
Lagrave_Zabeth_0," puis le promettre, vous même VOUS NE VOUDRIEZ PAS FAIRE LE MALHEUR de ma vie, en me forçant d'ép"," mère, patience et constance. VOUS NE VOUDRIEZ PAS FAIRE LE MALHEUR d'une fille aimable qui mérit","(194468, 194505)","(168045, 168082)"
Lagrave_Zabeth_1,"ui protestoit qu'il le ferait ENFERMER POUR LE RESTE DE SES JOURS. 
Le chevalier effrayé que l'",", vont être punis. L'une sera ENFERMÉE POUR LE RESTE DE SES JOURS, et l'autre va partir pour le","(201919, 201954)","(168045, 168082)"
Lagrave_Zabeth_2,"que amie, que tu dois sçavoir TOUT CE QUI SE PASSE DANS MON CŒUR, comme Dieu même. Sois donc i",tourne..... Je ne puis rendre TOUT CE QUI SE PASSE DANS MON CŒUR! cœur! Pauvre Zabeth!... La t,"(204768, 204802)","(168045, 168082)"
LaPlace_Collection_0,"tience est égale à la tienne; JE NE SAIS CE QUE C'EST, MAIS JE n'eus jamais tant d'envie de ",de me faire entrer à l'Opéra? JE NE SAIS CE QUE „C'EST; MAIS JE me souviens que madame la com,"(426369, 426401)","(248421, 248454)"
