,Text in Prevost_Manon,Text in B,Location in Prevost_Manon,Location in B
Lagrave_Sophie_1,"e Boulogne, et, prenant droit DE CE QUI S'Y ÉTAIT PASSÉ LA VEILLE pour se rapprocher de mon con","'elle. Enfin, elle a paru: une LÉGÈRE CONFUSION DE CE QUI S'ÉTAit passé la veille, se laissai","(188793, 188828)","(147099, 147130)"
Lagrave_Zabeth_0,"igée jusqu'à pleurer, et vous NE ME DITES PAS UN SEUL MOT DE vos peines ! » Elle ne me rép","se mit à boire et à fumer. Il NE DIT PAS UN SEUL MOT DE la journée, et finit par s'en","(32909, 32939)","(147615, 147640)"
Lagrave_Zabeth_1," y en avait beaucoup encore à LA VOIR DANS L'ÉTAT OÙ ELLE ÉTAIT en ma présence, sans lui dire"," de sa tante: elle ne pouvait LA VOIR DANS L'ÉTAT OÙ ELLE ÉTAIT, sans éprouver la plus vive d","(58490, 58523)","(147615, 147640)"
LaPlace_Collection_0, ; mais l'opinion que j'avais DE LA BONTÉ DE SON CŒUR ET l'intérêt de Manon soutinrent,"t-elle; je puis vous répondre DE LA „BONTÉ DE SON CŒUR, ET de la sincérité de ses „senti","(82435, 82461)","(425388, 425416)"
Lesuire_Aventurier_0,"t proférer moi-même une seule PAROLE, NOUS ÉTIONS L'UN ET L'AUTRE DANS UNE des plus tristes situations d","nocence et une franchise sans PAREILLES. NOUS ÉTIONS, L'UN ET L'AUTRE, DANS UN âge bien digne d'indulgence: ","(293417, 293461)","(47773, 47821)"
Lesuire_Aventurier_1, me voir employer à son usage TOUT CE QUE JE PUS IMAGINER DE moins incommode. J'échauffais,n n'est plus vrain; j'ajoutai TOUT CE QUE JE PUS IMAGINER DE plus convaincant pour prouver,"(325439, 325469)","(47773, 47821)"
Loaisel_Ainsi_0,à l'infamie ; mais j'étais né POUR LES COURTES JOIES ET LES LONGUES DOULEURS. La fortune ne me délivra d'u,"paré de toi? Hélas! Je naquis POUR LES COURTES JOIES ET LES LONGUES DOULEURS. L'abandon, tous les maux son","(111158, 111204)","(244479, 244525)"
Louvet_Annee_0,"de voir ici souvent monsieur, AJOUTA-T-IL EN SE TOURNANT VERS MOI ; faites bien votre profit d'","s été fille. N'ayez pas peur, AJOUTA-T-IL, EN SE TOURNANT VERS MOI: je sais qu'il est fier, je n","(113367, 113402)","(318962, 318998)"
Marmontel_Contes_0, deux mains pour y développer CE QUI SE PASSAIT DANS MON CŒUR. Je n'osais rappeler ce que j,aisser éclater sur mon visage CE QUI SE PASSAIT DANS MON CŒUR! Vous auriez vu bien autre ch,"(29222, 29253)","(203328, 203359)"
Merard_Bergeries_0, deux mains pour y développer CE QUI SE PASSAIT DANS MON CŒUR. Je n'osais rappeler ce que j,"i je ne t'ai pas avoué plutôt CE QUI SE PASSAIT DANS MON CŒUR, c'est que je craignais tes r","(29222, 29253)","(95713, 95744)"
Mercier_Jezennemours_0,au travers de la porte qui c'éTAIT ET CE QU'ON VOULAIT DE LUI. Je fus obligé de me nommer ;,"n enchantement, il vit où il éTAIT, ET CE QU'ON VOULAIT DE LUI. Indigné, il n'en devint quep","(146523, 146554)","(25381, 25413)"
Mirabeau_Rideau_0,"ns offices auprès d'eux ; et, CE QUE JE N'AURAIS PAS ATTENDU DE lui, il m'offrit quelque arge","impatience prodigieuse; mais, CE QUE JE N'AURAIS PAS ATTENDU DE celle de Rose, elle ne perdit","(79039, 79072)","(166114, 166147)"
Nerciat_Felicia_0,"elle de Lescaut. « Bourreau ! LUI DIS-JE EN METTANT L'ÉPÉE À LA MAIN, où est Manon ? qu'en as-tu f","e nuit avec Mme de Kerlandec, LUI DIS-JE EN METTANT L'ÉPÉE À LA MAIN.---Il saute en arrière, se dé","(101784, 101822)","(416109, 416147)"
Popeliniere_Daira_0,"n si violente qu'elle me rend LE PLUS INFORTUNÉ DE TOUS LES HOMMES. J'AI tout employé, à Paris, pour o","e part du monde qu'il habite, LE PLUS INFORTUNÉ DE TOUS LES HOMMES, J'AI cru mieux faire, de flatter j","(5045, 5087)","(80135, 80177)"
Prevost_Monde_0,ous rendîmes dans un carrosse UN PEU AU-DESSOUS DE LA PORTE DE l'hôpital. Nous n'y fûmes pas,"esur le quai du grand sérail, UN PEU AU-DESSUS DE LA PORTE DE la marine. Un reste de jour, ","(164802, 164834)","(669222, 669253)"
Prevost_Monde_1," l'envie de les renouveler. « NON, LUI DIS-JE, IL NE FAUT PAS l'irriter par une brusquerie ","ez juste sur notre situation. NON, LUI DIS-JE; IL NE FAUT PAS nous en faire un ennemi: son ","(205223, 205254)","(669222, 669253)"
Prevost_Monde_2,e manière qui me fit juger de CE QUI SE PASSAIT DANS SON CŒUR. « Mais quel moyen prendrons-,"pes. Si je ne lisais pas tout CE QUI SE PASSAIT DANS SON CŒUR, j'en connaissais si parfaite","(265275, 265306)","(669222, 669253)"
Retif_AntiJustine_0,"ce de me demander deux louis. JE LES LUI DONNAI SUR-LE-CHAMP. 
« Mais prenez garde, lui di","lle aura pour ses épingles. » JE LES LUI DONNAI SUR-LE-CHAMP, et nous partîmes... Vous sav","(8249, 8279)","(72067, 72097)"
Retif_Paysanne_0,"reste-t-il à faire pour elle, APRÈS TOUT CE QUE JE LUI AI sacrifié ? Cependant elle m'a","de Mlle Manon, je veux dire d'APRÈS TOUT CE QUE JE LUI AI conté, tantôt en l'excusant, ","(100822, 100849)","(3821, 3848)"
Retif_Paysanne_1,retour ne tarderait point : c'EST CE QUI FAIT QUE JE NE vous vois point ici sans inqu,aurez un parti à prendre... C'EST CE QUI FAIT QUE JE NE pense point du tout au consei,"(237999, 238024)","(3821, 3848)"
