,Text in Benouville_Pensees,Text in B,Location in Benouville_Pensees,Location in B
Kimber_Thompson_0,"our moi je nomme avares, ceux QUI NE SONT BONS QUE POUR EUX, de quelque manière qu'ils se","s d'avec ces gens intéressés, QUI NE SONT BONS QUE POUR EUX seuls, qui ne connoissent poi","(41421, 41450)","(695694, 695723)"
Laclos_Liaisons_0,teur immédiat de toutes choses; ET QUAND JE LUI DEMANDAIS POURQUOI il avait fait les Plantes empo,"e ça me faisait de la peine ; ET QUAND JE LUI DEMANDAIS POURQUOI, IL me disait que non ; mais je v","(148300, 148337)","(65303, 65341)"
Lagrave_Zabeth_0,"des, qui veulent avoir tout à LA FOIS LES PLAISIRS DE LA VOLUPTÉ, et la gloire de la vertu, se","frais et touffus, offraient à-LA-FOIS LES PLAISIRS DE LA SOCIÉTÉ et des promenades agréables. ","(6059, 6093)","(142089, 142123)"
Lagrave_Zabeth_1,"l n'y a donc que l'indifférencE QUI NOUS METTE À L'ABRI DE TOUS Ces maux, pourquoi la regarder ","ur cette dernière demeure{?K} QUI NOUS MET À L'ABRI DE TOUS LES maux .... Les hommes, avec in","(70268, 70303)","(142089, 142123)"
Lagrave_Zabeth_2,le sans me rendre plus heureux; JE NE PUIS NI NE VEUX ÊTre son Sujet. Ainsi il faut do,"alheur d'une fille charmante. JE NE PUIS, NI NE VEUX ÊTRE plus long-temps témoin des od","(155715, 155741)","(142089, 142123)"
LaPlace_Collection_0,ais tu dois être déjà convaincU DE TOUT CE QUE JE VIENS de te dire; aussi j'en parle m," que César nous fit le détail DE TOUT CE QUE JE VIENS DE raconter, et qu'il nous suppl","(173726, 173752)","(157188, 157214)"
Lesuire_Crime_0," de ne m'en point offenser, c'EST TOUT CE QUE JE PUIS FAIRE POUR LE service du Public. Au reste, ","r, qu'il en jouira noblement. C'EST “TOUT CE QUE JE PUIS FAIRE, POUR le “présent; mais, par la suit","(1115, 1152)","(656934, 656973)"
Marmontel_Contes_0," de ne m'en point offenser, c'EST TOUT CE QUE JE PUIS FAIRE POUR le service du Public. Au rest","e lieutenance d'infanterie, c'EST TOUT CE QUE JE PUIS FAIRE POUR vous. Jacquaut lui répondit a","(1115, 1149)","(352138, 352172)"
Marmontel_Contes_1,mauvaise Turque; et je bénis lE CIEL DE M'AVOIR FAIT NAÎTRE DANS un climat où l'on est très-per,", anéanti, et se plaignant au CIEL DE L'AVOIR FAIT NAÎTRE DANS UN siècle si dépravé. Et où étai","(103831, 103866)","(352138, 352172)"
Merard_Bergeries_0, tu dois être déjà convaincu dE TOUT CE QUE JE VIENS DE TE DIre; aussi j'en parle moins pou,"Marton; repasse en ton esprit TOUT CE QUE JE VIENS DE TE DIRE. 
marton, seule. 
Ah! pour le","(173729, 173760)","(100828, 100859)"
Mercier_Jezennemours_0,font toute la puissance: mais CE N'ÉTAIT RIEN ENCORE AUPRÈS DE CE QUI devait suivre. Quels vils esc,mblable! Monval me disait que CE N'ÉTAIT RIEN ENCORE AUPRÈS DE CE QU'IL avait vu; que du côté de la W,"(10868, 10907)","(244823, 244864)"
Morelly_Naufrage_0,rais espérer d'adoucissement. IL N'EN EST PAS DE MÊME DES CHOSES que l'on peut corriger ou cha,rdons pas à la perdre de vue. IL N'EN EST PAS DE MÊME DES CŒURS que la Nature a faits pour go,"(12824, 12858)","(120806, 120839)"
Nerciat_Aphrodites_0,"ne m'en point offenser, c'est TOUT CE QUE JE PUIS FAIRE POUR LE service du Public. Au reste, ","ux quêteur un baiser humide. 
) VOILÀ TOUT CE QUE JE PUIS FAIRE pour son service. 
Belamour. 
","(1119, 1152)","(366946, 366980)"
Prevost_Manon_0,"er de la modération au milieu DE TOUTES LES FAVEURS DE LA FORTUNE! 
(C 2) Je n'avais garde de l",ignes de notre sort jouissent DE TOUTES LES FAVEURS DE LA FORTUNE ! » Ces réflexions me pénétra,"(44797, 44832)","(256266, 256301)"
Retif_Paysanne_0,"l'on a observées à mon Baptême, ET DE TOUT CE QUI S'EST PASsé à ce sujet. C'est Ferdinand","ès chère sœur, de ce mariage, ET DE TOUT CE QUI S'EST PASSÉ, tracé par une plume meilleur","(164407, 164436)","(249856, 249885)"
Riccoboni_LettresAdelaide_0,"un peu. 
Pourrai-je dire enfin: JE NE VEUX PLUS VOUS VOIR? Je viens percer un cœur que j'"," cœur inconstant; je le répète, JE NE VEUX PLUS VOUS VOIR. Je romprai tous les liens qui ","(83164, 83193)","(78665, 78694)"
Riccoboni_LettresFanni_0," de ne m'en point offenser, c'EST TOUT CE QUE JE PUIS FAIRE pour le service du Public. Au"," m'inquiéter, me chagriner, c'EST TOUT CE QUE JE PUIS FAIRE. Ah! Pourquoi vous ai-je aimé","(1115, 1144)","(57805, 57834)"
Riccoboni_MissJenny_0,j'ai „cru le mériter; à présenT JE NE „SUIS PLUS DIGNE DE VOus; mais „le monstre qui m'a t,"rompé, vain, léger, infidèle, JE NE SUIS PLUS DIGNE DE TOI; mais que ton cœur généreux s","(61237, 61267)","(367059, 367087)"
Rousseau_Emile_0,"ire, sont devenus si communs, QUE CE N'EST PAS LA PEINE DE fatiguer les yeux par une lec",as peuple est si peu de chose QUE CE N'EST PAS LA PEINE DE le compter. L'homme est le mê,"(4459, 4487)","(584956, 584984)"
Rousseau_Emile_1,"ce qu'il doit durer toujours. JE NE CONNAIS RIEN DE PLUS EXTRAVAGANT que cette façon de raisonner,",n qui révolte ne profite pas. JE NE CONNAIS RIEN DE PLUS INEPTE que ce mot: vous l'avais bien,"(21595, 21633)","(584956, 584984)"
Rousseau_Emile_2,te parlerais pas d'autre chose. IL EST VRAI QUE JE N'AI Pas la même facilité pour m'exp,"iné, mais sur ce que j'ai vu. IL EST VRAI QUE JE N'AI PAS renfermé mes expériences dans","(174296, 174323)","(584956, 584984)"
Rousseau_Julie_0," de ne m'en point offenser, c'EST TOUT CE QUE JE PUIS FAIRE POUR le service du Public. Au rest",n de ton crédit renaissant: c’EST TOUT CE QUE JE PUIS FAIRE POUR que la fête ne se fasse pas s,"(1115, 1149)","(1311519, 1311553)"
Sade_Aline_0,j'ai „cru le mériter; à présenT JE NE „SUIS PLUS DIGNE DE VOus; mais „le monstre qui m'a t,"résisté ma mère, et cependant JE NE SUIS PLUS DIGNE DE VOUS. Nos chairs vont reposer et s","(61237, 61267)","(1581072, 1581101)"
Segur_Correspondance_0," de ne m'en point offenser, c'EST TOUT CE QUE JE PUIS FAIRE pour le service du Public. Au","brasse de tout mon cœur; et c'EST TOUT CE QUE JE PUIS FAIRE, affligée comme je le suis. 
","(1115, 1144)","(56493, 56522)"
Senac_Emigre_0," de ne m'en point offenser, c'EST TOUT CE QUE JE PUIS FAIRE pour le service du Public. Au"," état, et le médecin désespère. C'EST TOUT CE QUE JE PUIS Faire que de rester un quart d'","(1115, 1144)","(750528, 750557)"
Tiphaigne_Galligenes_0,rais espérer d'adoucissement. IL N'EN EST PAS DE MÊME DES CHOSES que l'on peut corriger ou cha,elque abondant qu'ils saient. IL N'EN EST PAS DE MÊME DES CLIMATS qui inclinent au froid. Ils d,"(12824, 12858)","(162818, 162853)"
Voisenon_Histoire_0,"nt oui, et qui pis est, Romain. IL ME PARAÎT, LUI DIS-JE, QUE VOus traitez la chose assez légè","egarde comme mon bienfaiteur. IL ME PARAÎT, LUI DIS-JE, QUE VOUS voulez lui marquer votre réco","(204320, 204354)","(39554, 39588)"
