,Text in Charriere_Femmes,Text in B,Location in Charriere_Femmes,Location in B
Genlis_Chevaliers_0," compromettre personne; mais, DANS UNE HEURE, AU PLUS TARD, JE vous dirai positivement le no",rbre; elle reviendra sûrement DANS UNE HEURE AU PLUS TARD. JE ne répondis rien à cette expl,"(71825, 71857)","(119605, 119636)"
Genlis_Chevaliers_1,"e sens jusqu'au fond de l'âme CE QUE VOUS AVEZ FAIT POUR MOI. 
Un jour, elle lui dit: -Il ","que j'ai souffert, après tout CE QUE VOUS AVEZ FAIT POUR MOI, vous n'avez plus le droit de","(78217, 78247)","(119605, 119636)"
Kimber_Thompson_0,"rce, et elle se laisse tomber SUR UNE CHAISE QUI SE TROUVE DERRIÈRE ELLE. Des sanglots étouffent sa vo"," un grand cri, tomba évanouie SUR UNE CHAISE QUI SE TROUVA DERRIÈRE ELLE: pour moi sortant de ma létha","(60204, 60246)","(469730, 469772)"
Laclos_Liaisons_0, on n'a rien à lui reprocher; MAIS IL N'EN EST PAS DE MÊME des auteurs de sa fortune; et,me charge de la faire naître. MAIS IL N'EN EST PAS DE MÊME de Mme de Tourvel : cette fem,"(121474, 121502)","(302458, 302486)"
Lagrave_Sophie_0,"l avec Emilie; mais avec vous JE SERAI LE PLUS FORTUNÉ DES HOMMES, pourvu que vous vous trouvie","s arrangement sont pris, et avANT PEU DE JOURS, JE SERAI LE PLUS fortuné des hommes. Oui, mon a","(94472, 94507)","(227697, 227732)"
LaPlace_Lydia_0,"i avait amené celle-ci, c'est UNE LETTRE QUE JE REÇUS, IL Y A QUELQUES jours, de cette petite comtes","enfin rougir mon héros. 
Mais UNE LETTRE QUE JE REÇUS, IL Y A QUELQUES mois, et dont l'auteur est tr","(131560, 131600)","(2224, 2264)"
Louvet_Fin_0," vous pouvez mieux l'imaginer QUE JE NE PUIS LE DIRE. THÉOBALD, en un mot, était homme et Al","gnolle, désolée, désolée plus QUE JE NE PUIS LE DIRE, CRIAIT en vain: «J'étais allée chez ","(33837, 33869)","(20276, 20306)"
Marmontel_Incas_0,mérique avec Emilie; car elle NE DOUTE PAS QUE CE NE FÛT là son projet et qu'il ne dût,"les déployées. Il regarde; et NE DOUTANT PAS QUE CE NE FÛT le vaisseau de Pizarre: "" les","(131243, 131269)","(272949, 272977)"
Mercier_Jezennemours_0,"l avec Emilie; mais avec vous JE SERAI LE PLUS FORTUNÉ DES HOMMES, pourvu que vous vous trouvie"," seul mot de votre bouche, et JE SERAI LE PLUS FORTUNÉ DES HOMMES, et vous ne vous repentirez j","(94472, 94507)","(136494, 136529)"
Morelly_Naufrage_0,'a rien à lui reprocher; mais IL N'EN EST PAS DE MÊME DES auteurs de sa fortune; et qui,rdons pas à la perdre de vue. IL N'EN EST PAS DE MÊME DES cœurs que la Nature a faits p,"(121479, 121506)","(120806, 120833)"
Nerciat_Felicia_0,"éveillée par cet indiscret. 
-CE N'EST PAS DE CELA QU'IL S'AGIT, Joséphine. Peu importe mon s","vous et d'un père... » (etc., CE N'EST PAS DE CELA QU'IL S'AGIT... Écoutez maintenant, mesdam","(13340, 13373)","(522178, 522211)"
Prevost_Monde_0,"n cousin, celui-ci va trouver LA FEMME DE CHAMBRE DE SA MÈRE, qui avait été sa nourrice et","erchait. Il reconnut aisément LA FEMME-DE-CHAMBRE DE SA MÈRE, et cette vue acheva de le me","(93374, 93404)","(136263, 136293)"
Retif_Paysanne_0, on n'a rien à lui reprocher; MAIS IL N'EN EST PAS DE MÊME des auteurs de sa fortune; et,us ai quittée sans inquiétude : MAIS IL N'EN EST PAS DE MÊme d'Ursule et d'Edmond ! J'éc,"(121474, 121502)","(879938, 879966)"
Riccoboni_MylordRivers_0,"nd l'autre s'avance, et vient AU MILIEU DU TUMULTE ET DU BRUIT ramener la paix et le bon ord","s souhaite, vainement cherche AU MILIEU DU TUMULTE ET DU BRUIT. Les avantages produits par l","(207129, 207161)","(72698, 72730)"
Rousseau_Emile_0,"éveillée par cet indiscret. 
-CE N'EST PAS DE CELA QU'IL S'AGIT, Joséphine. Peu importe mon s","une homme sera moins aimable, CE N'EST PAS DE CELA QU'IL S'AGIT ici: je sais seulement qu'il ","(13340, 13373)","(602863, 602896)"
Sade_Aline_0,", c'est vrai, allais-je dire; IL NE FAUT PAS SE CONTENTER DE louvoyer, il faut, à force de","me, et sur-tout la nécessité; IL NE FAUT PAS SE CONTENTER DE crier aux hommes, que la vert","(177457, 177487)","(635009, 635039)"
Sade_Aline_1,ssible de dire: voilà le fils DU COMTE ET DE LA COMTESSE DE Horst; voilà celui de Henri e," héritière légitime des biens DU COMTE ET DE LA COMTESSE DE Kerneuil. 
Ces résolutions pr","(181772, 181801)","(635009, 635039)"
Senac_Emigre_0,"r leur nom. Quant à Voltaire, IL NE SE DONNAIT PAS LA PEINE DE se tromper lui-même, il lui s","es affaires, à peine écoutait-IL, IL NE SE DONNAIT PAS LA PEINe de parler, il aurait eu trop","(151376, 151408)","(706808, 706840)"
Tiphaigne_Galligenes_0, on n'a rien à lui reprocher; MAIS IL N'EN EST PAS DE MÊME DES auteurs de sa fortune; et qui,"sucs, quelque abondant qu'ils SAIENT. IL N'EN EST PAS DE MÊME DES climats qui inclinent au froi","(121474, 121506)","(162810, 162845)"
Voltaire_Candide_0,"n cousin, celui-ci va trouver LA FEMME DE CHAMBRE DE SA MÈRE, qui avait été sa nourrice et","n de physique expérimentale à LA FEMME DE CHAMBRE DE SA MÈRE, petite brune très jolie et t","(93374, 93404)","(3356, 3386)"
Voltaire_Candide_1," comme par une autre, je sois LE PLUS HEUREUX DE TOUS LES HOMMES. 
-Vous ne m'en paraissez pas", ; avançons ; vous allez être LE PLUS HEUREUX DE TOUS LES HOMMES. Quel plaisir auront Los Padr,"(99391, 99425)","(3356, 3386)"
