,Text in Dorat_Malheurs,Text in B,Location in Dorat_Malheurs,Location in B
Benoist_Elisabeth_1,"vous savez ce que j'en pense, CE QUE JE VOUS EN AI DIT; vous savez avec quelle chale",", vous devez la connaître sur CE QUE JE VOUS EN AI DIT. Elle n'a d'autres travers, q","(98270, 98294)","(393849, 393894)"
Benouville_Pensees_0,"u'il soit possible de l'être; MAIS CELA NE SUFFIT PAS, IL FAUT être honnête, et ne point acc","de l'esprit et du discernement, MAIS CELA NE SUFFIT PAS, IL FAut mettre beaucoup dans la Soc","(97793, 97825)","(123535, 123567)"
Cazotte_Ollivier_0,"ers Paris; tout me manque, et JE NE SAIS TROP CE QUE JE désir. Je suis bien heureuse ","-je pense qu'oui, Barin; mais JE NE SAIS TROP CE QUE JE puis lui avoir dit; je crois ","(182403, 182428)","(65669, 65694)"
Constant_Laure1_0," ordres; et pendant ce temps, JE NE CROIS PAS QUE VOUS AYEZ découvert en moi la moindre a",des chimères dans les romans: JE NE CROIS PAS QUE VOUS AYEZ la satisfaction d'en trouver ,"(85825, 85854)","(118270, 118299)"
Constant_Laure2_0,"vous savez ce que j'en pense, CE QUE JE VOUS EN AI DIT; vous savez avec quelle chale","as. Je ne sais de Mr. de St. ANGE QUE CE QUE JE VOUS En ai dit, je n'ai pas cherché ","(98270, 98294)","(177790, 177814)"
Cottin_Claire_0,sister toujours? Je frémis de CE QUI SE PASSE DANS MON CŒUR. Que mon sentiment est tyrann,"m'a vue, mais qu'il sait tout CE QUI SE PASSE DANS MON CŒUR. J'avais espéré pourtant l'ar","(182626, 182655)","(140015, 140044)"
Crebillon_Atheniennes_0,"raître d'autant plus délicat, QUE JE SUIS L'HOMME DU MONDE QUI sens le plus vivement l'amert",lus même j'ai sujet de penser QUE JE SUIS L'HOMME DU MONDE À QUI elle voudrait se donner le mo,"(5040, 5072)","(800639, 800673)"
Crebillon_Atheniennes_1," ne m'est pas indifférent, et JE SUIS BIEN AISE DE VOUS DIRE que j'ai la méchanceté en hor","que vous l'ayez moins encore, JE SUIS BIEN AISE DE VOUS DIRE qu'avec tout le desoeuvrement","(152556, 152586)","(800639, 800673)"
Crebillon_Conte_0,"nes, je ne l'ai jamais aimée, JE NE SUIS PAS ASSEZ HEUREUX POUR vous en offrir le sacrifice. ","ne me montrezplus vos doutes. JE NE SUIS PAS ASSEZ HEUREUX POUR en avoir, madame, repartit le","(146233, 146266)","(249330, 249363)"
Crebillon_Nuit_0,"imera cette femme là. Mais de TOUT CE QUE JE VIENS DE VOUS citer, rien n'a été sérieux q"," propose... 
CIDALISE. 
Après TOUT CE QUE JE VIENS DE VOUS dire, ce serait à moi une ass","(221159, 221187)","(51203, 51231)"
Diderot_Jacques_0,"peut-être il vous toucherait, SI VOUS POUVIEZ LIRE AU FOND DE MON âme, si vous pouviez savoir c","x sur vous et vous parler. Ah SI VOUS POUVIEZ LIRE AU FOND DE MON cœur, et voir combien mes fau","(146531, 146566)","(268849, 268884)"
Diderot_Religieuse_0,"e voulut s'armer de courroux; MES YEUX SE REMPLIRENT DE LARMES, JE lui montrai ladi, et elle n'e","'étrangler ; je les regardai, MES YEUX SE REMPLIRENT DE LARMES. JE demandai le crucifix à baiser","(46230, 46266)","(167596, 167632)"
Dorat_Sacrifices_0,ois aussi loin que l'amour... JE NE SAIS CE QUE JE VEUX; mais je sais que mon agitati," c'est de lui écrire et de... JE NE SAIS CE QUE JE DIS; mais vous êtes indulgent, n'","(122739, 122764)","(9699, 9723)"
Dorat_Sacrifices_1,"peut-être il vous toucherait, SI VOUS POUVIEZ LIRE AU FOND DE MON âme, si vous pouviez savoir c","et le temps de votre absence. SI VOUS POUVIEZ LIRE AU FOND DE MON cœur, et savoir à quel point ","(146531, 146566)","(9699, 9723)"
Dorat_Sacrifices_2,"ers Paris; tout me manque, et JE NE SAIS TROP CE QUE JE désir. Je suis bien heureuse ",e ne sais plus ce que je dis; JE NE SAIS TROP CE QUE JE deviendrai: mais ce que je sa,"(182403, 182428)","(9699, 9723)"
Dorat_Sacrifices_3,"e ne sont plus vos lettres, c'EST VOUS, VOUS SEULE QUE JE VEUX; et si vous résistez à mes pr","ait de trahir mon amant; et c'EST À VOUS, À VOUS SEUL, QUE JE VEUX être fidèle. 
PARTIE 2 LETTRE","(214728, 214760)","(9699, 9723)"
Ducray_Cinquante_0," autres. Oui, monsieur, après CE QUE JE SAIS, CE QUE J'AI VU, ce qu'on m'a ditau bal, détr",".--Mon dieu, monsieur, je dis CE QUE JE SAIS, CE QUE J'AI ENTENDU, ce que j'ai vu. Vous avez vu","(141417, 141447)","(10756, 10791)"
Fievee_Dot_0, donc que vous lui avez fait? EST-CE QUE VOUS N'ÊTES PAS BIEN avec lui? Non qu'il m'ait ten,"si des chagrins?-Oui, madame.-EST-CE QUE VOUS N'ÊTES PAS BIEN dans cette maison?-Si, madame","(106705, 106736)","(42810, 42841)"
Fourqueux_Zely_0,ha jamais de l'âme de Sidley. TOUT CE QUE JE VOUS AI DIT m'a été confirmé par les pers," étions convenus “ensemble de TOUT CE QUE JE VOUS AI “DIT, et nous ne voulions que vous","(74597, 74623)","(42162, 42189)"
Fourqueux_Zely_1,! ... et je l'assasine! Mille FOIS J'AI ÉTÉ SUR LE POINT DE lui avouer ma faute; j'ai été,"ort à “vos affaires, et vingt FOIS J'AI ÉTÉ “SUR LE POINT DE vous obliger à m'en “faire co","(168428, 168457)","(42162, 42189)"
Genlis_Adele_0,"ire, qui ne signifie rien, et QU'IL NE VOUS EST PAS PERMIS DE mal interpréter. Moi! De la t","geux; vous savez mieux encore QU'IL NE VOUS EST PAS PERMIS DE disposer de votre cœur, et qu","(447, 478)","(1245816, 1245847)"
Genlis_Adele_1,utes sans préférence décidée. JE NE PUIS VOUS EXPRIMER À QUEL POINT cette idée adoucit mes maux. ,"ans une cruelle agitation, et JE NE PUIS VOUS EXPRIMER À QUEL POINT je vous plains; si vous n'avi","(64199, 64236)","(1245816, 1245847)"
Genlis_Adele_2,sister toujours? Je frémis de CE QUI SE PASSE DANS MON CŒUR. Que mon sentiment est tyrann,"Vous ne pouvez concevoir tout CE QUI SE PASSE DANS MON CŒUR, non; quoique vous le connais","(182626, 182655)","(1245816, 1245847)"
Genlis_Chevaliers_0," du mari sont peu fréquentes; MAIS DE TEMPS EN TEMPS ILS RECOMMENCENT, et je me résigne. à présent ","ses pleurs ne coulaient plus, MAIS DE TEMPS EN TEMPS IL FRÉMISSAIT, et regardait avec effroi aut","(92696, 92735)","(51858, 51894)"
Genlis_Chevaliers_1,e son ignorance rend heureux! JE N'EN AI PAS EU LA FORCE. Cependant l'image de Madame ,onnu mes sentiment pour vous: JE N'EN AI PAS EU LA FORCE... voilà le tort que je me re,"(168722, 168748)","(51858, 51894)"
Gerard_Comte_0,"amie, tous ces tourments sont AU FOND DE MON CŒUR! JE NE le verrai donc plus! Ma lettr","s d'attendrissement portoient AU FOND DE MON CŒUR JE NE sais quoi de doux, que j'euss","(145081, 145107)","(204140, 204165)"
Laclos_Liaisons_0,exte là me donne de l'humeur. JE NE SAIS PAS POURQUOI JE M'Y SUIS arrêtée; il me déplaît... en ,"tait toute autre chose : mais JE NE SAIS PAS POURQUOI JE ME SUIS toujours mise à trembler, et ","(173901, 173936)","(401680, 401714)"
Lagrave_Sophie_0,exte là me donne de l'humeur. JE NE SAIS PAS POURQUOI JE M'Y SUIS arrêtée; il me déplaît... en ,oup de ressemblance avec sa sœUR. JE NE SAIS PAS POURQUOI JE ME suis mis dans la tête que Monr,"(173901, 173936)","(71413, 71447)"
Lagrave_Sophie_1, résister toujours? Je frémis DE CE QUI SE PASSE DANS MON CŒUR. Que mon sentiment est tyrann,"
M. de Beauregard ne se doute NULLEMENT DE CE QUI SE PASSE DANs mon cœur. Il a pris son appa","(182623, 182655)","(71413, 71447)"
Lagrave_Sophie_2,"n la haine. Alors, saisissant UNE DE SES MAINS QUE JE COUVRE DE baisers, calmez-vous, lui dis","pour vous regarder. En disant CES MOTS, JE PRIS UNE DE SES MAINS, que je couvris de mille baise","(191167, 191200)","(71413, 71447)"
Lagrave_Zabeth_0, mots sacrés sont toujours au FOND DE MON CŒUR; IL EST IMPOSSIBLE qu'ils s'en effacent. Dès que," car j'en sens autant dans le FOND DE MON CŒUR. 
IL EST IMPOSSIBLE de rendre ce qui se passait d","(52894, 52929)","(339690, 339726)"
Lagrave_Zabeth_1,sister toujours? Je frémis de CE QUI SE PASSE DANS MON CŒUR. Que mon sentiment est tyrann,e..... Je ne puis rendre tout CE QUI SE PASSE DANS MON CŒUR! cœur! Pauvre Zabeth!... La t,"(182626, 182655)","(339690, 339726)"
LaPlace_Collection_0,"e aimera cette femme là. Mais DE TOUT CE QUE JE VIENS DE VOUS citer, rien n'a été sérieux q","t qu'elle vous avait informée DE „TOUT CE QUE JE VIENS DE VOUS apprendre. Jugez, „mademoisel","(221156, 221187)","(337639, 337671)"
LaPlace_Collection_1,"amant, juge de mon effroi, et DE TOUT CE QUI SE PASSAIT EN moi à cette proposition! J'ai","sse, dès lors, l'aveu sincère DE TOUT CE QUI SE PASSAIT DANS mon âme. Ce ne fut point le d","(327747, 327775)","(337639, 337671)"
Leonard_Lettres_0,ois aussi loin que l'amour... JE NE SAIS CE QUE JE VEUX; mais je sais que mon agitati, Ayez pitié de mon égarement! JE NE SAIS CE QUE JE VEUX; je ne me reconnais plus; tou,"(122739, 122764)","(16132, 16157)"
Leonard_Lettres_1,"s-je, hélas! Je n'en ai plus, JE NE VOIS PLUS QU'À TRAVERS UN NUAGE les devoirs formidables qui m",! les sanglots me suffoquent! JE NE VOIS PLUS QU'À TRAVERS UN NUAGE de pleurs.... ô Faldoni! adie,"(150432, 150469)","(16132, 16157)"
Lesuire_Aventurier_0," ordres; et pendant ce temps, JE NE CROIS PAS QUE VOUS AYEZ découvert en moi la moindre a", je lui ressemble; “cependant JE NE CROIS PAS QUE VOUS M'AYEZ “jamais vue.“ Je rougis encor,"(85825, 85854)","(488884, 488915)"
Lesuire_Aventurier_1,"ue vous me cachez, sur lequel VOUS NE VOULEZ PAS QUE JE VOUS interroge? Cruel! Vous me gla","ton le plus déterminé, que si VOUS “NE VOULEZ PAS QUE JE VOUS serve, comme “ci-devant, vous","(286425, 286455)","(488884, 488915)"
Lesuire_Crime_0, ou plutôt de votre triomphe. QU'EST-CE DONC QUE CELA VEUT DIRE? Pas la moindre rumeur! Paris,"“--„Hé “bien, a repris l'oncle, QU'EST-CE DONC “QUE CELA VEUT DIre? Quoi! chez moi, “en ma pré","(175728, 175761)","(703037, 703071)"
Lesuire_Crime_1,"Rien n'ébranlait sa fidélité; UNE BOURSE DE VINGT-CINQ LOUIS LE désarma, tout fut applani: il","lontiers l'enfant, accompagné D'UNE BOURSE DE VINGT-CINQ LOUIS. ON le baptisa. Je fus le parrein;","(188927, 188960)","(703037, 703071)"
Loaisel_Ainsi_0,"ié, honneur, préjugé, gloire, TOUT CE QUI ME FUT, TOUT CE QUI devait m'être sacré! Hélas! T"," votre foi qui m'appartenait, TOUT CE QUI FUT, TOUT CE QUI me semblait devoir être toujo","(198320, 198351)","(188970, 188998)"
Loaisel_Ainsi_1,"sensation douce et délicieuse DU BEAU, DU BON, DE L'HONNÊTE, ET n'ont plus d'organes pour sen","servent la raison, la science DU BEAU, DU BON, DE L'HONNÊTE ET du vrai; si tu n'en peux fair","(267909, 267942)","(188970, 188998)"
Louvet_Annee_0," Dans l'excès de mon trouble, JE LA SERRAI DANS MES BRAS; ET comme inspiré par l'amour, pa","ait de prendre ses couleurs. (JE LA SERRAI DANS MES BRAS.)-ET moi, désormais l'esclave du v","(46776, 46806)","(253396, 253427)"
Louvet_Fin_0," ordres; et pendant ce temps, JE NE CROIS PAS QUE VOUS AYEZ découvert en moi la moindre a",donc?—Une jeune personne dont JE NE CROIS PAS QUE VOUS AYEZ entendu parler.—Vous l'appele,"(85825, 85854)","(81681, 81710)"
Louvet_Fin_1,"j'accuse le comte, il s'élève DU FOND DE MON CŒUR UNE VOIX SECRÈTE QUI le justifie. Peut-être a-t-il",ependant j'entendais s'élever DU FOND DE MON CŒUR UNE VOIX SECRÈTE QUI me criait que la marquise aur,"(132988, 133028)","(81681, 81710)"
Louvet_Fin_2,sité de vous en instruire. Je VOUS RÉPÈTE CE QUE JE VOUS AI DÉJÀ DIT; j'avais un désirs de repos q," compte, je suis bien aise de VOUS RÉPÉTER CE QUE JE VOUS AI DÉJÀ DIT cent fois: je ne me consolera","(183650, 183688)","(81681, 81710)"
Marmontel_Belisaire_0,"t là que je rencontrai Sidley POUR LA PREMIÈRE FOIS; ELLE ÉTAIT VEUVE, et n'avait pas vingt ans. Ju","lus, dans sa jeunesse, la vit POUR LA PREMIÈRE FOIS, ELLE ÉTAIT TRIOMPHANTE et couronnée de gloire: il se","(44345, 44384)","(87572, 87617)"
Marmontel_Contes_0," l'être? Si elle est honnête, COMME VOUS LE DITES ET COMME JE le crois, à quels dangers ne ","malaisé.-si nous nous aimions,COMME VOUS LE DITES, ET COMME JE ne le crois pas, le miracle s","(267304, 267335)","(190060, 190092)"
Marmontel_Contes_1," vous. Ne vous alarmez point. AU NOM DE L'AMOUR LE PLUS TENDRE, ayez du courage. Je crois qu","ère? Je frémis: rassurez-moi, AU NOM DE L'AMOUR LE PLUS TENDRE. "" -vous lui répondîtes, sans","(334749, 334781)","(190060, 190092)"
Mercier_Jezennemours_0,"ent, M De Syrcé l'accompagne: JE NE VOUS EN DIS PAS DAVANTAGE. Je suis pénétrée de terreur.","ous connaître réciproquement. JE NE VOUS EN DIS PAS DAVANTAGE...-monsieur, reprit Jezennemo","(323805, 323836)","(304444, 304475)"
Mirabeau_Conversion_0,irons de l'hôtel; j'y serai à TOUTES LES HEURES DU JOUR ET DE LA NUIT: si vous pouvez me ménager un,"une permission indéfinie pour TOUTES LES HEURES DU JOUR ET DE LA NUIT, et la consigne de paraître a","(334390, 334429)","(38362, 38401)"
Nerciat_Aphrodites_0,"mper; cela crie vengeance, et JE NE CONÇOIS PAS COMMENT, APRÈS UN pareil tour, vous avez la bon","Valcreux. 
Voilà, par exemple, CE QUE JE NE CONÇOIS PAS. COMMENT, Après une douzaine de réalités ","(11999, 12034)","(311713, 311750)"
Nerciat_Etourdi_0,ois aussi loin que l'amour... JE NE SAIS CE QUE JE VEUX; mais je sais que mon agitati,"rsées. Je ne suis plus à moi, JE NE SAIS CE QUE JE VEUX. Suspendue entre deux mouveme","(122739, 122764)","(144034, 144059)"
Nerciat_Felicia_0,"elle, au chevalier De Gérac. 
IL M'EST VENU L'IDÉE LA PLUS SINGULIÈRE, la plus hardie. Je veux l'ex",pour celle d'Éléonore ; alors IL M'EST VENU L'IDÉE LA PLUS FOLLE. La répugnance de passer pour,"(187010, 187049)","(173769, 173803)"
Nerciat_Felicia_1,"imera cette femme là. Mais de TOUT CE QUE JE VIENS DE VOUS citer, rien n'a été sérieux q"," persécuter. Si vous aviez su TOUT CE QUE JE VIENS DE VOUS révéler, auriez-vous eu la cr","(221159, 221187)","(173769, 173803)"
Retif_Paysanne_0,es discours les plus étudiés. JE NE DIS PAS UN MOT QUI NE fût profondément senti. D'abo,ut que je sois. Car je sais quE JE NE DIS PAS UN MOT QUI ne soit écouté. Si je ne puis ,"(46137, 46164)","(809994, 810021)"
Riccoboni_LettreJuliette_0,C'est une enchanteresse. Elle NE DIT PAS UN MOT QUI NE SOIT UN trait à retenir; elle n'a pas,"fatiguent par leurs soins, et NE DISENT PAS UN MOT QUI NE SOIT UN fade compliment. Il nous a do","(39056, 39088)","(2726, 2761)"
Riccoboni_LettresFanni_0,sister toujours? Je frémis de CE QUI SE PASSE DANS MON CŒUR. Que mon sentiment est tyrann,"vilain visage qui décèle tout CE QUI SE PASSE DANS MON CŒUR; ma joie me trahiroit, on la ","(182626, 182655)","(113921, 113950)"
Riccoboni_MissJenny_0,"'a fait frémir... écrivez-moi QUE VOUS M'AIMEZ, QUE VOUS M'AIMEREZ TOUJOURS; écrivez-le moi sans cesse. C","us de me dire, de me répéter, QUE VOUS M'AIMEZ, QUE VOUS M'AIMEREZ TOUJOURS "" ! Après avoir baigné de ses","(271929, 271974)","(40499, 40544)"
Rosny_Firmin_0,sister toujours? Je frémis de CE QUI SE PASSE DANS MON CŒUR. Que mon sentiment est tyrann,ut avoir aimé pour se figurer CE QUI SE PASSA DANS MON CŒUR lorsque je reçus les témoigna,"(182626, 182655)","(58607, 58636)"
Rousseau_Julie_0,Et pourquoi? Peut-être elle n'EST POINT COUPABLE; C'EST MOI SEULE QUI LE SUIS! Je rougis de l'être! ... il ,"rmes. Que dis-je, hélas! il n’EST POINT COUPABLE; C’EST MOI SEULE QUI LE SUIS; tous mes malheurs sont mon o","(134232, 134279)","(134569, 134616)"
Rousseau_Julie_1,"du duc De , à Ladi Sidley. 
c'EST DE TOUS LES HOMMES LE PLUS dissipé, le plus frivole en a","d, malgré vos préjugés, qu’il EST DE TOUS LES HOMMES LE PLUS digne d’elle, et peut-être le","(208340, 208370)","(134569, 134616)"
Sade_120_0," me prouvât le contraire. Que DIS-JE! JE NE L'AI JAMAIS AIMÉE; je me trompais moi-même, tou"," quelque chose là-dessous, te DIS-JE, JE NE L'AI JAMAIS AIMÉ, le vieux Gardien, il est méc","(100953, 100984)","(199152, 199182)"
Sade_Aline_0,"amie, tous ces tourments sont AU FOND DE MON CŒUR! JE NE le verrai donc plus! Ma lettr", quelle voix se fait entendre AU FOND DE MON CŒUR…. JE NE sais quel organe secret sembl,"(145081, 145107)","(12246, 12273)"
Sade_Justine_0,"re amitié, et je m'en plains! JE NE SAIS PLUS NI CE QUE je dis, ni ce que je veux; je","s connaissance... 
Oh madame, JE NE SAIS PLUS NI CE QUE dit, ni ce que fit cet homme ","(149044, 149069)","(103891, 103916)"
Sade_Philosophie_0,"en plains! Je ne sais plus ni CE QUE JE DIS, NI CE QUE JE veux; je suis bien digne de p","ors de moi... Je ne sais plus CE QUE JE DIS, NI CE QUE JE fais... quelle ivresse s'empa","(149063, 149090)","(34368, 34395)"
Segur_Correspondance_0,"re la nôtre. Voilà, monsieur, CE QUE JE VOUS AI DIT CENT FOIS, et ce qu'il ne faudrait jama","reusement beaucoup trop tard. CE QUE JE VOUS AI DIT CENT FOIS, je vous le répéterai: dès le","(16878, 16909)","(531172, 531203)"
Segur_Correspondance_1,"e aimera cette femme là. Mais DE TOUT CE QUE JE VIENS DE VOUS citer, rien n'a été sérieux q","ien. Vous pouvez être assurée DE TOUT CE QUE JE VIENS DE VOUS conter, je le tiens d'un ami ","(221156, 221187)","(531172, 531203)"
Senac_Emigre_0,"s le savez, de n'avoir jamais RIEN DE CACHÉ L'UNE POUR L'AUTRE, ET d'adoucir ainsi nos peines. L","d'elle. Je sais que vous n'aveZ RIEN DE CACHÉ L'UNE POUR L'AUTRE, et je vous demande cependant, ","(57398, 57434)","(544658, 544694)"
Senac_Emigre_1,sister toujours? Je frémis de CE QUI SE PASSE DANS MON CŒUR. Que mon sentiment est tyrann,car un volume ne contiendrait PAS CE QUI SE PASSE DANS MON cœur et dans mon esprit. Le pl,"(182626, 182655)","(544658, 544694)"
Souza_Adele_0,"imera cette femme là. Mais de TOUT CE QUE JE VIENS DE VOUS citer, rien n'a été sérieux q",si inattendu. Je lui racontai TOUT CE QUE JE VIENS DE VOUS dire; il s'attendrit avec moi,"(221159, 221187)","(82387, 82415)"
Tiphaigne_Galligenes_0,sister toujours? Je frémis de CE QUI SE PASSE DANS MON CŒUR. Que mon sentiment est tyrann, ne puis-je „t'expliquer tout CE QUI SE PASSE DANS „MON CŒUR; mais je ne le conçois pas „m,"(182626, 182655)","(52539, 52569)"
Voltaire_Princesse_0,"er amant, juge de mon effroi, ET DE TOUT CE QUI SE PASSAIT en moi à cette proposition! J",rmer de l'état de votre santé ET DE TOUT CE QUI SE PASSAIT à Babylone ; il comptait reve,"(327744, 327772)","(66132, 66160)"
