,Text in Genlis_Adele,Text in B,Location in Genlis_Adele,Location in B
bible_0,tenir toujours sur ses genoux TOUT LE TEMPS QUE NOUS AVONS ÉTÉ en voiture. Elle est arrivée ,"ui est à nous ne s’est perdu, TOUT LE
TEMPS QUE NOUS AVONS ÉTÉ avec eux, lorsque nous étions","(97670, 97702)","(1228009, 1228041)"
bible_1,"est agréable, elle est située SUR LE BORD DE LA MER, ET l'on y trouve une quantité de","ce que
celle du sable qui est SUR LE BORD DE LA MER.

30 ET la sagesse de Salomon surpass","(780708, 780733)","(1228009, 1228041)"
bible_2,ur d'être élevé loin des yeux DE SON PÈRE ET DE SA MÈRE; son devoir est de les chérir,"très belle ; et après la mort DE SON PÈRE ET DE SA MÈRE, Mardochée
l’avait prise pour","(1292579, 1292604)","(1228009, 1228041)"
bible_3,ez perdue et que vous m'ôtez. IL EST VRAI QUE JE VOUS AI caché le secret le plus impor," la courroie des souliers.

8 IL EST VRAI QUE JE VOUS AI baptises d’eau ; mais il vous","(1361249, 1361275)","(1228009, 1228041)"
Cazotte_Diable_0,"nt reconnaissant et touché de CE QUE VOUS AVEZ FAIT POUR MOI. 
Je me fis saigner hier, je ",us avez même mis des grâces à CE QUE VOUS AVEZ FAIT POUR MOI ; mais comme vous étiez payé ,"(609376, 609406)","(24621, 24651)"
Cazotte_Ollivier_0,"une antipathie invincible dès LA PREMIÈRE FOIS QUE JE LE VIS, et, pour mon malheur, je pro","vi pour lui porter la parole. LA PREMIÈRE FOIS QUE JE LE VIS sortantde son palais, suivi d","(812814, 812844)","(107179, 107209)"
Charriere_Femmes_0,"vous en ferez un grand homme; CEPENDANT, PERMETTEZ-MOI DE VOUS DIRE QUE j'ai cru remarquer quelques c","ni à moi que cela arriverait. CEPENDANT, PERMETTEZ-MOI DE VOUS DIRE QUE l'on pourrait vous chicaner s","(115203, 115244)","(54222, 54263)"
Charriere_Femmes_1,"ement reconnaissant et touché DE CE QUE VOUS AVEZ FAIT POUR MOI. 
Je me fis saigner hier, je ","nt, que je sens jusqu'au fond DE L'ÂME CE QUE VOUS AVEZ FAIT POUR MOI. 
Un jour, elle lui dit: -Il ","(609373, 609406)","(54222, 54263)"
Charriere_Lausanne_0,"quatre vingt lieues de Paris, POUR LA PREMIÈRE FOIS DE SA VIE, ELLE est si occupée des préparatif","a l'air encore tout effrayée. POUR LA PREMIÈRE FOIS DE SA VIE ELLE a mal passé la nuit, et je la","(749498, 749535)","(88751, 88787)"
Charriere_Lausanne_1,"désirs d'en savoir davantage: TOUT CE QUE JE PUIS VOUS DIRE, répondit-il, c'est que ce je","ule dont je sois susceptible. TOUT CE QUE JE PUIS VOUS DIRE, madame, touchant milord, c'e","(805345, 805374)","(88751, 88787)"
Charriere_Lausanne_2," son père, de notre aventure. JE REVINS AU BOUT D'UNE DEMI-HEURE. Eh bien, me dit le prince, q","es avoir mille fois entendus, JE REVINS AU BOUT D'UNE DEMI-HEURE en demander l'explication. Je","(1080164, 1080198)","(88751, 88787)"
Constant_Laure1_0,"présentation de ce spectacle. POUR MOI, JE VOUS AVOUE QUE JE n'avais pas d'idée d'un tel e","estie qui demande la louange. POUR MOI, JE VOUS AVOUE QUE JE ne cesse de penser à lui: il ","(227149, 227179)","(176200, 176230)"
Constant_Laure2_0,"rions incapables de la faire. ADIEU, MA CHÈRE AMIE; JE VOUS QUITTE POUR lire avec Adèle, qui dans ce ","re pour prendre congé de lui: ADIEU, MA CHÈRE AMIE, JE VOUS QUITTE POUR l'être qui m'intéresse le plu","(99598, 99639)","(12055, 12096)"
Constant_Laure2_1,"désirs d'en savoir davantage: TOUT CE QUE JE PUIS VOUS DIRE, répondit-il, c'est que ce je"," heureux qui se présente, c'esT TOUT CE QUE JE PUIS VOUS DIre; il faut bien vous laisser ","(805345, 805374)","(12055, 12096)"
Constant_Laure2_2,. du moins j'en ai bien peur. JE NE SUIS PAS TROP CONTENTE DU comte de Belmire; je comprend," conclura rien contre sa fille. JE NE SUIS PAS TROP CONTENTE du mien, il n'est pas achevé; ","(924008, 924039)","(12055, 12096)"
Cottin_Claire_0,... je ne puis vous dépeindre TOUT CE QUI S'EST PASSÉ DANS MON ÂME DEPUIS HIER; certainement j'ai un autre c,e le temps : il me semble que TOUT CE QUI S'EST PASSÉ DANS MON ÂME DEPUIS HIER n'a pu avoir lieu dans un esp,"(341904, 341952)","(137283, 137331)"
Crebillon_Atheniennes_0,e vous écrirai avec le détail QUE VOUS ÊTES EN DROIT D'ATTENDRE DE ma confiance et de ma tendre ,"arler avec toute la franchise QUE VOUS ÊTES EN DROIT D'ATTENDRE DE moi, je ne lui vois d'autres ","(1067, 1103)","(458777, 458813)"
Crebillon_Atheniennes_1,idée d'un bonheur plus grand; MAIS IL N'EN EST PAS MOINS VRAI que son état n'est qu'une vég,"in de se croire ce sentiment; MAIS IL N'EN EST PAS MOINS VRAI et qu'elle l'a, et qu'il est ","(118519, 118550)","(458777, 458813)"
Crebillon_Atheniennes_2,"u'elle exprime est gravé pour JAMAIS DANS LE FOND DE MON ÂME... SI vous m'aimez, ma sœur, conser",ire une loi de le renfermer à JAMAIS DANS LE FOND DE MON CŒUR. Vous connaissez l'impétüosit,"(162508, 162544)","(458777, 458813)"
Crebillon_Atheniennes_3,"'aime point et qu'il méprise. AH, JE NE LE VOIS QUE TROP à présent, nous faisons nous-","nstances m'ont forcée d'être? AH! JE NE LE VOIS QUE TROP, et malheureusement je le voi","(208833, 208859)","(458777, 458813)"
Crebillon_Conte_0,"nulle espèce de rancune, mais QU'IL NE LUI EST PAS POSSIBLE DE compter sur l'affection d'une",r à me demander des sentiment QU'IL NE LUI EST PAS POSSIBLE DE m'inspirer. Plaire à quelqu'u,"(283058, 283090)","(219461, 219493)"
Crebillon_Conte_1," mes discours? ...-Ah, maman, JE CROIS TOUT CE QUE VOUS DITES...-pourquoi donc ne me le pro",ner la facilité avec laquelle JE CROIS TOUT CE QUE VOUS ME DITES? Ah! Que je crains que sûr d',"(478325, 478356)","(219461, 219493)"
Crebillon_Conte_2,"plus rien de caché pour vous; MAIS VOUS SAVEZ QUE JE NE SUIS PAS précipitée dans mes jugement,","à! Visir, vous me connaissez, MOI, VOUS SAVEZ QUE JE NE SUIS PAS tracassier; faites-moi un pla","(604048, 604082)","(219461, 219493)"
Crebillon_Nuit_0,; je n'osais réfléchir à tout CE QUI VENAIT DE SE PASSER; JE craignais d'interroger mon cœ," Persuadée cependant qu'après CE QUI VENAIT DE SE PASSER, JE retrouverois sans peine auprè","(808206, 808236)","(125999, 126029)"
Crebillon_Nuit_1,"lis et le chevalier D'Herbain DANS CE PETIT CABINET QUE VOUS CONNAISSEZ; ET là, nous avons lu avec un pla","imaginable, à passer avec moi DANS CE PETIT CABINET QUE VOUS CONNAISSEZ, ET qui donne sur le jardin. Elle","(923060, 923105)","(125999, 126029)"
Diderot_Jacques_0,"z que des éloges: d'ailleurs, EN VÉRITÉ, JE CROIS QUE JE NE critiquerai jamais une invent","is. » Le marquis ajoutait : « EN VÉRITÉ, JE CROIS QUE JE NE me repens de rien ; et que ce","(55639, 55668)","(270934, 270963)"
Diderot_Neveu_0,"rien de caché pour vous; mais VOUS SAVEZ QUE JE NE SUIS PAS précipitée dans mes jugement,","ut un malheureux instant, car VOUS SAVEZ QUE JE NE SUIS PAS sujet à avoir du sens commun,","(604053, 604082)","(28545, 28574)"
Diderot_Neveu_1,"présent, mais je sens combien TOUT CE QUE VOUS VENEZ DE DIRE EST juste et raisonnable, et je v","ez-vous ? 
MOI.---Je rêve que TOUT CE QUE VOUS VENEZ DE DIRE EST plus spécieux que solide. Mai","(1249560, 1249594)","(28545, 28574)"
Diderot_Religieuse_0,"ersoient sur leurs chaises en LEVANT LES YEUX ET LES MAINS AU CIEL, et la plus jeune de toutes f","uelque chose de pointu ; » et LEVANT LES YEUX ET LES MAINS AU CIEL, j'ajoutai en versant un torr","(253971, 254007)","(174240, 174276)"
