,Text in Nerciat_Felicia,Text in B,Location in Nerciat_Felicia,Location in B
Cottin_Claire_0,u'il soit la cause directe de TOUT CE QUI VIENT DE SE PASSER et qu'à cet égard elle ait li,i-même... Je voulais t'écrire TOUT CE QUI VIENT DE SE PASSER ; mais je ne le puis : ma mai,"(36100, 36130)","(110485, 110515)"
Crebillon_Atheniennes_0,"omme vous. Telle est la force DE L'EMPIRE QUE VOUS AVEZ SUR MOI. Oui, belle Félicia, vous me ","z-vous de joüir en souverain, DE L'EMPIRE QUE VOUS AVEZ SUR MOI, sans en abuser en tyran: car","(337179, 337212)","(253705, 253738)"
Crebillon_Atheniennes_1, furent tomber sur l'ottomane DANS LES BRAS L'UN DE L'AUTRE ET reprirent haleine en attendan," dont nous nous étions jettés DANS LES BRAS L'UN DE L'AUTRE, ET qui n'avait été pour chacun d","(353496, 353528)","(253705, 253738)"
Crebillon_Conte_0,"alier, lui répondis-je ; mais IL N'EN SERA NI PLUS NI MOINS, vous ne saurez pas encore pa","dant long-temps je l'ai fait, IL N'EN SERA NI PLUS NI MOINS. Ma fille qui était née avec ","(361549, 361578)","(267328, 267357)"
Crebillon_Conte_1, quel singulier hasard tandis QUE DE LA MEILLEURE FOI DU MONDE je veux m'empresser à secouri," l'impatience d'être heureux (QUE DE LA MEILLEURE FOI DU MONDE, il prenait pour de l'amour) ","(383005, 383037)","(267328, 267357)"
Crebillon_Nuit_0,"s retournée, riant aux larmes DE CE QUI VENAIT DE SE PASSER. Son air humilié redoubla mes","te. Elle me parut si humiliée DE CE QUI VENAIT DE SE PASSER, que je crus qu'étant aussi s","(316999, 317028)","(134705, 134734)"
Diderot_Jacques_0,"s, d'officiers, de musiciens, EN UN MOT DE TOUT CE QUI pouvait contribuer à nous fai",", du penchant à la tendresse, EN UN MOT, DE TOUT CE QUI nous livre à la séduction des","(321642, 321666)","(184313, 184338)"
Diderot_Neveu_0,"ment. Lambert, ce jour-là, s'éTAIT INTRODUIT, JE NE SAIS COMMENT, DANS LA maison ; cependant l'évanouis","us, que je lui donnais. Il s'éTAIT INTRODUIT, JE NE SAIS COMMENT, DANS QUELQUES maisons honnêtes, où il avait","(20958, 21001)","(4895, 4944)"
Diderot_Religieuse_0," persécuter. Si vous aviez su TOUT CE QUE JE VIENS DE VOUS révéler, auriez-vous eu la cr",ent comme à vous ; je lui dis TOUT CE QUE JE VIENS DE VOUS écrire ; et ce qui regardait ,"(421103, 421131)","(74277, 74305)"
Dorat_Malheurs_0,pour celle d'Éléonore ; alors IL M'EST VENU L'IDÉE LA PLUS FOLLE. La répugnance de passer pour,"elle, au chevalier De Gérac. 
IL M'EST VENU L'IDÉE LA PLUS SINGULIÈRE, la plus hardie. Je veux l'ex","(173769, 173803)","(187010, 187049)"
Dorat_Malheurs_1," persécuter. Si vous aviez su TOUT CE QUE JE VIENS DE VOUS révéler, auriez-vous eu la cr","imera cette femme là. Mais de TOUT CE QUE JE VIENS DE VOUS citer, rien n'a été sérieux q","(421103, 421131)","(187010, 187049)"
Dorat_Sacrifices_0,"m'avez joué un tour, friponne JE NE SUIS POINT LA DUPE DE ce hasard auquel vous imputez","ner ses regards vers ma loge, JE NE SUIS POINT LA DUPE DE son petit dédain simulé. Quel","(101621, 101648)","(147572, 147599)"
Dorat_Sacrifices_1,"ence, s'appliquait aux leçons ET NE DEMANDAIT PAS MIEUX QUE DE s'exercer. Il était ravissant","lle a déjà chassé le marquis, ET NE DEMANDAIT PAS MIEUX QUE DE me rappeler; vous jugez comme","(352752, 352784)","(147572, 147599)"
Fievee_Dot_0,"n mot, la femme de Sylvino, l'UN DES PLUS BEAUX CAVALIERS DE PARIS, était impardonnable de lui f",habitude de regarder en frère UN DES PLUS BEAUX CAVALIERS DE PARIS. Souvent aussi il me sollicit,"(26963, 26999)","(9352, 9388)"
Florian_Galatee_0,u'il soit la cause directe de TOUT CE QUI VIENT DE SE PASSER et qu'à cet égard elle ait li,"mpêche de rapporter à ton ami TOUT CE QUI VIENT DE SE PASSER, en mettant le nom de celle q","(36100, 36130)","(71461, 71491)"
Fourqueux_Zely_0,erment d'une ardeur éternelle QUE POUR LA PREMIÈRE FOIS DE MA VIE j'avais le bonheur de ne pas ,"nt de mal; et si “vous voulez QUE, POUR LA PREMIÈRE FOIS “DE MA VIE, je vous aie obligation, “fai","(75492, 75527)","(71437, 71474)"
Genlis_Adele_0,"ue je souhaitais qu'il gardât LE SILENCE ; ET PRENANT LA PAROLE, JE dis au comte que je m'afflige","s parler. Je gardai un moment LE SILENCE, ET PRENANT LA PAROLE: JE suis touché, lui dis-je, de l","(500562, 500599)","(950682, 950718)"
Genlis_Chevaliers_0,"ents ainsi pris avec Monrose, JE NE M'OCCUPAI PLUS QUE DES MOYENS DE bien envelopper le chevalier ","rbare; mais je dissimulai, et JE NE M'OCCUPAI PLUS QUE DES MOYENS DE ravir ce qu'il me refusait si","(318389, 318427)","(224337, 224375)"
Genlis_Chevaliers_1,n ; il me serra dans ses bras AVEC LES EXPRESSIONS DE LA PLUS VIVE tendresse ; mais j'y répondis,"s remerciement à Isambard, et AVEC LES EXPRESSIONS DE LA PLUS VIVE et de la plus tendre réconnai","(504945, 504981)","(224337, 224375)"
Gerard_Comte_0,"n pas d'un diable, continua-t-IL EN SE TOURNANT DU CÔTÉ DE ses compagnons, c'est une cha"," par mille endroits, ajouta-t-IL EN SE TOURNANT DU CÔTÉ DE Madame De Veymur et du cheval","(267026, 267054)","(545878, 545906)"
Jacquin_Parisiennes_0,"ais qu'on fera bien de lire. 
IL FAUT SI PEU DE CHOSE POUR bouleverser une jeune tête qu"," comme la source du Bonheur. 
IL FAUT SI PEU DE CHOSE POUR occuper notre cœur, qu'il est","(22311, 22339)","(147547, 147575)"
Jacquin_Parisiennes_1,"e le serrais contre mon sein, AVEC LES DÉMONSTRATIONS DE LA PLUS VIVE inquiétude. L'adolescent me c",du père de mon amie) me reçut AVEC LES DÉMONSTRATIONS DE LA PLUS VIVE tendresse: instruit de mon tr,"(298567, 298606)","(147547, 147575)"
Jacquin_Parisiennes_2,"i ne voulait que son bonheur. IL NE FAISAIT RIEN SANS MON ATTACHE, il n'avait pas une pensée sa",confident etamp; son conseil: IL NE FAISAIT RIEN SANS MON ATTACHE: je l'aurois fait changer en ,"(317558, 317593)","(147547, 147575)"
Laclos_Liaisons_0,e à ma surprise en disant que SI ELLE AVAIT EU LA BONTÉ DE tolérer quelques infidélités ,"vai le moment de lui demander SI ELLE AVAIT EU LA BONTÉ DE m'instruire de mon sort, et j","(196028, 196056)","(103618, 103646)"
Laclos_Liaisons_1,"il paraissait fort au fait de CE QUI VENAIT DE SE PASSER. NOUS avions sans doute négligé, da"," : mais je l'assurai qu'après CE QUI VENAIT DE SE PASSER, NOUS pouvions être sans façon et, ","(453503, 453535)","(103618, 103646)"
Lagrave_Sophie_0, furent tomber sur l'ottomane DANS LES BRAS L'UN DE L'AUTRE ET reprirent haleine en attendan," coulaient aussi. Nous tombâmeS DANS LES BRAS L'UN DE L'AUTRE, et, pour la première fois depu","(353496, 353528)","(42568, 42601)"
Lagrave_Zabeth_0,; qu'il soit la cause directe DE TOUT CE QUI VIENT DE SE PASSER et qu'à cet égard elle ait li," devez être étonné, monsieur, DE TOUT CE QUI VIENT DE SE PASSER vis-à-vis de vous? La mission","(36097, 36130)","(297683, 297716)"
Lagrave_Zabeth_1,"ir, prenons un parti mitoyen. JE NE VEUX PAS QUE VOUS VOUS épuisiez ; vous ne voulez pas","ez ainsi.--Taisezvous, Clara; JE NE VEUX PAS QUE VOUS VOUS mêliez de mes affaires. Est-c","(338601, 338629)","(297683, 297716)"
LaPlace_Collection_0,u'il soit la cause directe de TOUT CE QUI VIENT DE SE PASSER et qu'à cet égard elle ait li,"ns à votre rang, et regardons TOUT CE QUI VIENT DE SE PASSER, comme non avenu. 
Ce discour","(36100, 36130)","(134710, 134740)"
LaPlace_Collection_1,tu viens de me sauver la vie. JE NE PUS M'EMPÊCHER DE RIRE DE l'importance que je voyais at,"ondit-il, ce serait dommage„! JE NE PUS M'EMPÊCHER DE RIRE DE cette saillie; mais je lui di","(87077, 87108)","(134710, 134740)"
LaPlace_Collection_2,"out de bon le père principal, JE SENS QUE JE NE POURRAIS RÉSISTER au désir d'en faire et de m'e","n, et des peines „auxqu-elles JE SENS QUE JE NE POURRAIS RÉSISTER. „Je sais bien que ces plaisi","(301649, 301684)","(134710, 134740)"
LaPlace_Collection_3,"s retournée, riant aux larmes DE CE QUI VENAIT DE SE PASSER. Son air humilié redoubla mes","urait par moi la connaissance DE CE QUI VENAIT DE SE PASSER, et que je n'entretiendrois m","(316999, 317028)","(134710, 134740)"
Lesuire_Aventurier_0,"e, malgré les griefs, donnait AUSSI DE LA MEILLEURE FOI DU MONDE des marques d'un vif intérêt."," qui, de leur côté, croyaient AUSSI, DE LA MEILLEURE FOI DU MONDE, les hommes d'une espèce au d","(258525, 258559)","(547996, 548031)"
Lesuire_Aventurier_1,t des délices extraordinaires QUE JE N'AI PAS EU LE BONHEUR de connaître. Quand on est bi,êt. Il a la force de faire ce QUE JE N'AI PAS EU LE BONHEUR d'exécuter; il tire en l'air ,"(320777, 320806)","(547996, 548031)"
Lesuire_Crime_0,"ous dire... À table, placés l'UN VIS-À-VIS DE L'AUTRE, NOUS NE mangeâmes presque pas. Je sen",. Nous sommes trop avancés “l'UN VIS-À-VIS DE L'AUTRE; NOUS NE “pouvons plus nous voir que l,"(65708, 65740)","(200426, 200458)"
Lesuire_Crime_1,"s délices extraordinaires que JE N'AI PAS EU LE BONHEUR DE connaître. Quand on est bien,"," par terre, de Gênes à Lyon, oÙ JE N'AI PAS EU LE BONHEUR de te trouver, mon ami, ni le ","(320781, 320809)","(200426, 200458)"
Louvet_Annee_0,"prévenue, pouvait me seconder MAL. JE NE VIS RIEN DE MIEUX À FAIRE QUE DE détourner quelque pièce essen"," commencements, ne finît fort MAL. JE NE VIS RIEN DE MIEUX À FAIRE QUE DE donner au cocher du marquis l","(165597, 165640)","(45537, 45580)"
Louvet_Fin_0," secouant avec fureur, venez, DITES-MOI CE QUE VOUS AVEZ FAIT cette nuit.---Un coup de foud"," pendant un siècle! Monsieur, DITES-MOI CE QUE VOUS AVEZ FAIT ensemble… Parlez… Tandis que ","(88652, 88683)","(339408, 339439)"
Maistre_Voyage_0,"m'avez joué un tour, friponne JE NE SUIS POINT LA DUPE DE ce hasard auquel vous imputez","rrompue vivement:--«Non, non, JE NE SUIS POINT LA DUPE DE votre bienveillance supposée:","(101621, 101648)","(88216, 88243)"
Marmontel_Contes_0,"e, rien ne m'y fera renoncer. JE NE VOUS DEMANDE QU'UNE GRÂCE, C'EST DE ne pas me mépriser quand vous",", vous mériter mieux que moi! JE NE VOUS DEMANDE QU'UNE GRÂCE, C'EST DE vouloir bien accepter ces pré","(339377, 339418)","(51284, 51325)"
Marmontel_Contes_1,sorte l'amour dont il brûlait DE LA MEILLEURE FOI DU MONDE. IL espérait de la surprendre agr,": il s'endormait sur sa vertu DE LA MEILLEURE FOI DU MONDE.-IL avait raison, sans doute; et ","(483820, 483852)","(51284, 51325)"
Merard_Bergeries_0,t toujours demeurés mes amis. IL EST VRAI QUE JE N'AI JAMAIS FAIT de mauvais choix. Je ne parle,"ie! Après t'avoir offensée... IL EST VRAI QUE JE N'AI JAMAIS CESSÉ de t'aimer. L'ambition, et no","(391589, 391624)","(13257, 13293)"
Mercier_Jezennemours_0,erment d'une ardeur éternelle QUE POUR LA PREMIÈRE FOIS DE MA VIE j'avais le bonheur de ne pas ,"c une grâce et un enjouement, QUI POUR LA PREMIÈRE FOIS DE MA VIE, me fit rire de bon cœur en p","(75492, 75527)","(105251, 105286)"
Mercier_Jezennemours_1,tu viens de me sauver la vie. JE NE PUS M'EMPÊCHER DE RIRE DE l'importance que je voyais at," que me causait son discours, JE NE PUS M'EMPÊCHER DE RIRE DE ce singulier contraste. Allon","(87077, 87108)","(105251, 105286)"
Montesquieu_Arsace_0," gracieux en même temps, sont LA CHOSE DU MONDE LA PLUS RARE ; que j'ai seule la taille sv","ouvernement, il serait arrivé LA CHOSE DU MONDE LA PLUS TRISTE: que ses sujets auraient eu u","(4938, 4968)","(70179, 70211)"
Nerciat_Aphrodites_0,ttre du noir sur le blanc ?---TOUT CELA EST BEL ET BON ; MAIS alors pourquoi prendre la pei,"aut être juste. 
Mad. Durut. 
TOUT CELA EST BEL ET BON.--MAIS est-il juste aussi que cette ","(128788, 128819)","(94557, 94588)"
Nerciat_Aphrodites_1,"... Armez-vous de courage. 
« DÈS QUE JE FUS EN ÉTAT DE sortir, je me rendis chez Ami","is ma disgrâce était prononcée. DÈS QUE JE FUS EN ÉTAT de marcher, on me signifia que","(409339, 409364)","(94557, 94588)"
Prevost_Manon_0,"e nuit avec Mme de Kerlandec, LUI DIS-JE EN METTANT L'ÉPÉE À LA MAIN.---Il saute en arrière, se dé","elle de Lescaut. « Bourreau ! LUI DIS-JE EN METTANT L'ÉPÉE À LA MAIN, où est Manon ? qu'en as-tu f","(416109, 416147)","(101784, 101822)"
Prevost_Monde_0," trouver en dormant ; j'avais PASSÉ MES BRAS AUTOUR DE LUI ; JE LE serrais contre mon sein, avec","e j'arrosai de mes larmes; et PASSANT LES BRAS AUTOUR DE LUI, JE LE tins étroitement embrassé, pe","(298505, 298541)","(158021, 158058)"
Prevost_Monde_1,"plus sage que moi, répliqua-t-IL, APRÈS UN MOMENT DE RÉFLEXION, VOUS avez deviné tout ce que je pe","entre hommes: ou bien, reprit-IL APRÈS UN MOMENT DE RÉFLEXION, VOUS me trahirez, si vous l'aimez ","(337043, 337081)","(158021, 158058)"
Puttelange_Roi_0,"it à ses plaisirs, et surtout IL N'EST PAS HORS DE PROPOS DE se ménager pour une féconde j","ontre tout, c'est avoir tort. IL N'EST PAS HORS DE PROPOS DE marquer ici, que la gent sace","(41573, 41603)","(14393, 14423)"
Riccoboni_LettresFanni_0,"ntant qu'il ne l'était guère. NON, JE NE LE VEUX PAS... JE vous boude... vous deviez du ","imer comme cela. Non, milord, NON, JE NE LE VEUX PAS. JE suis fâchée, je boude: allons","(539926, 539954)","(9278, 9304)"
Rousseau_Emile_0,"e, rien ne m'y fera renoncer. JE NE VOUS DEMANDE QU'UNE GRÂCE, C'EST de ne pas me mépriser quand v", j'ai cette femme en horreur: JE NE VOUS DEMANDE QU'UNE GRÂCE; C'EST que je ne la revoye jamais. F,"(339377, 339415)","(1410144, 1410182)"
Rousseau_Julie_0,"en le baisant avec transport, TU VOIS QUE JE NE SUIS PAS le père principal.---Je n'y s","raitée que cela, et cependant TU VOIS QUE JE NE SUIS PAS trop mal encore. Mon ange, tu","(300964, 300990)","(647585, 647611)"
Rousseau_Julie_1,"s, en accordant même que les êTRES FORMÉS D'UN MÊME SANG NE DOIVENT point serrer entre eux les no","uniquement des organes, deux êTRES FORMÉS D’UN MÊME SANG NE DOIVENT-ils pas avoir entre eux une p","(538066, 538103)","(647585, 647611)"
Sade_120_0,"ais qu'on fera bien de lire. 
IL FAUT SI PEU DE CHOSE POUR BOULEVERSER une jeune tête que je ne pus ","la le motif de ses plaintes ; IL FAUT SI PEU DE CHOSES POUR DÉPLAIRE à un libertin, tant y ce qu'i","(22311, 22351)","(248396, 248434)"
Sade_120_1,"enchantement que le chevalier SE MIT À ME RACONTER CE QU'ON VA LIRE dans le chapitre suivant. 
CH"," tout étant disposé la Duclos SE \[]MIT À RACONTER CE QU'ON VA LIRE : ""Il venait d'arriver chez m","(172446, 172483)","(248396, 248434)"
Sade_120_2,"blait beaucoup. Il en prenait POUR LE COUP TOUT LE MONDE À TÉMOIN, et l'on fut, en effet, forcé","dit tant, on en fit tant, que POUR-LE-COUP, TOUT LE MONDE PARTIT et nos libertins ne furent se","(375060, 375095)","(248396, 248434)"
Sade_Aline_0,erment d'une ardeur éternelle QUE POUR LA PREMIÈRE FOIS DE MA VIE j'avais le bonheur de ne pas ,"e besoin que j’en ai est tel, QUE POUR LA PREMIÈRE FOIS DE MA VIE, je ne sais pas même si je vo","(75492, 75527)","(1430279, 1430314)"
Sade_Infortunes_0,erment d'une ardeur éternelle QUE POUR LA PREMIÈRE FOIS DE MA VIE j'avais le bonheur de ne pas ,"aël en se remettant, j'ai cru QUE POUR LA PREMIÈRE FOIS DE MA VIE, j'échouerais en les obtenant","(75492, 75527)","(188585, 188620)"
Sade_Justine_0,u'il soit la cause directe de TOUT CE QUI VIENT DE SE PASSER et qu'à cet égard elle ait li,"ame, vous ici m'écriai-je. 
--TOUT CE QUI VIENT DE SE PASSER est mon ouvrage, me répondit ","(36100, 36130)","(581044, 581074)"
Segur_Correspondance_0," persécuter. Si vous aviez su TOUT CE QUE JE VIENS DE VOUS révéler, auriez-vous eu la cr",". Vous pouvez être assurée de TOUT CE QUE JE VIENS DE VOUS conter, je le tiens d'un ami ","(421103, 421131)","(541513, 541541)"
Souza_Adele_0,"ais qu'on fera bien de lire. 
IL FAUT SI PEU DE CHOSE POUR bouleverser une jeune tête qu"," ils paraissaient heureux; et IL FAUT SI PEU DE CHOSE POUR troubler le bonheur, que j'ai","(22311, 22339)","(113627, 113655)"
Voisenon_Histoire_0,tu viens de me sauver la vie. JE NE PUS M'EMPÊCHER DE RIRE DE l'importance que je voyais at," quoi est le génie des maris. JE NE PUS M'EMPÊCHER DE RIRE DE cette peinture, sur-tout dans","(87077, 87108)","(48373, 48404)"
