,Text in Sade_Justine,Text in B,Location in Sade_Justine,Location in B
Sade_Infortunes_10," il était impossible qu'elles MOURUSSENT DE FAIM. ELLE LUI CITA LA FILLE D'UNE DE LEURS VOISINES, QUI, S'ÉTANT ÉCHAPPÉE DE LA MAISON PATERNELLE, ÉTAIT AUJOURD'HUI RICHEMENT entretenue et bien plus heure","oint d'exemple que des filles MOURUSSENT DE FAIM ; ELLE LUI CITA LA FILLE D'UNE DE LEURS VOISINES, QUI S'ÉTANT ÉCHAPPÉE DE LA MAISON PATERNELLE, ÉTAIT MAINTENANT RICHEMENT entretenue par un fermier gén","(7728, 7870)","(6932, 7073)"
Sade_Infortunes_11,"émir. 
Les deux jeunes filles SE SÉPARÈRENT DONC, SANS AUCUNE PROMESSE DE SE REVOIR, DÈS QUE LEURS INTENTIONS SE TROUVAIENT SI DIFFÉRENTES. JULIETTE QUI ALLAIT, PRÉTENDAIT-ELLE, DEVENIR UNE GRANDE DAME, CONSENTIRAIT-ELLE À RECEVOIR UNE PETITE fille dont les inclinations v","sait l'éloge. 
Les deux sœurs SE SÉPARÈRENT DONC SANS AUCUNE PROMESSE DE SE REVOIR, DÈS QUE LEURS INTENTIONS SE TROUVAIENT SI DIFFÉRENTES. JULIETTE QUI ALLAIT, PRÉTENDAIT-ELLE, DEVENIR UNE GRANDE DAME, CONSENTIRAIT-ELLE À REVOIR UNE PETITE fille défît les inclinations ","(8609, 8821)","(7403, 7612)"
Sade_Infortunes_12,"s basses seraient capables de LA DÉSHONORER ? ET DE SON CÔTÉ, JUSTINE VOUDRAIT-ELLE RISQUER SES MŒURS DANS LA SOCIÉTÉ D'UNE CRÉATURE PERVERSE QUI ALLAIT DEVENIR VICTIME DE LA CRAPULE ET DE LA DÉBAUCHE PUBLIQUE ? Toutes deux se firent donc ","vertueuses et basses allaient LA DÉSHONORA, ET DE SON CÔTÉ JUSTINE VOUDRAIT-ELLE RISQUER SES MŒURS DANS LA SOCIÉTÉ D'UNE CRÉATURE PERVERSE QUI ALLAIT DEVENIR VICTIME DE LA CRAPULE ET DE LA DÉBAUCHE PUBLIQUE ? Chacune chercha donc des re","(8894, 9073)","(7672, 7848)"
Sade_Infortunes_13,"ois, pourquoi me rejette-t-on AUJOURD'HUI ? HÉLAS C'EST QUE JE SUIS ORPHELINE ET PAUVRE ; C'EST QUE JE N'AI PLUS DE RESSOURCES DANS LE MONDE, ET QUE L'ON N'ESTIME LES GENS QU'EN RAISON DES secours et des agréments que ","rquoi donc me repousse-t-elle AUJOURD'HUI ?... HÉLAS, C'EST QUE JE SUIS ORPHELINE ET PAUVRE... C'EST QUE JE N'AI PLUS DE RESSOURCE DANS LE MONDE ET QU'ON N'ESTIME LES GENS QU'EN RAISON DES secours, ou des agréments que","(9630, 9788)","(8391, 8549)"
Sade_Infortunes_14," cela, l'interprète des dieux LUI AVAIT PASSÉ LA MAIN SOUS LE MENTON, EN LUI DONNANT UN BAISER BEAUCOUP TROP MONDAIN POUR UN HOMME D'ÉGLISE, JUSTINE, QUI NE L'AVAIT QUE TROP COMPRIS, LE REPOUSSA EN LUI DISANT : --MONSIEUR, JE NE VOUS DEMANDE NI L'AUMÔNE NI UNE PLACE DE SERVANTE ; IL Y A TROP PEU DE TEMPS QUE JE QUITTE UN ÉTAT AU-DESSUS DE CELUI QUI PEUT FAIRE DÉSIRER CES DEUX GRÂCES pour être réduite à les implo","en disant cela le saint homme LUI AVAIT PASSÉ LA MAIN SOUS LE MENTON EN LUI DONNANT UN BAISER BEAUCOUP TROP MONDAIN POUR UN HOMME D'ÉGLISE, JUSTINE QUI NE L'AVAIT QUE TROP COMPRIS SE RETIRA FORT VITE, EN LUI DISANT : --MONSIEUR, JE NE VOUS DEMANDE NI L'AUMÔNE, NI UNE PLACE DE SERVANTE, IL Y A TROP PEU DE TEMPS QUE JE QUITTE UN ÉTAT AU-DESSUS DE CELUI QUI PEUT FAIRE SOLLICITER CES DEUX GRÂCES, pour en être encore réduite ","(11353, 11708)","(8974, 9338)"
Sade_Infortunes_15,"e créature, et la malheureuse JUSTINE, DEUX FOIS REPOUSSÉE DÈS LE PREMIER JOUR QU'ELLE EST CONDAMNÉE À L'ISOLISME, ENTRE DANS UNE MAISON OÙ ELLE VOIT UN ÉCRITEAU, LOUE UN PETIT CABINET garni au cinquième, le paye d","te, la chasse brutalement, et JUSTINE, DEUX FOIS REPOUSSÉE DÈS LE PREMIER JOUR QU'ELLE EST CONDAMNÉE À L'ISOLISME, ENTRE DANS UNE MAISON OÙ ELLE VOIT UN ÉCRITEAU, LOUE UNE PETITE CHAMBRE garnie, la paye d'avance et s","(11966, 12120)","(9569, 9725)"
Sade_Infortunes_16,"'instant, le cœur, la fortune ET LA CONFIANCE DE M. DE CORVILLE, CONSEILLER D'ÉTAT, HOMME DANS LE PLUS GRAND CRÉDIT ET À LA VEILLE D'ENTRER DANS LE MINISTÈRE ? LA CARRIÈRE FUT ÉPINEUSE, ON N'EN DOUTE ASSURÉMENT PAS : C'EST PAR L'APPRENTISSAGE LE PLUS HONTEUX ET LE PLUS DUR QUE CES DEMOISELLES-LÀ FONT LEUR CHEMIN ; ET TELLE EST DANS LE LIT D'UN PRINCE AUJOURD'HUI, QUI PORTE PEUT-ÊTRE ENCORE SUR ELLE LES MARQUES HUMILIANTES DE LA BRUTALITÉ DES LIBERTINS entre les mains desquels sa j","instant, le cœur, la richesse ET LA CONFIANCE DE M. DE CORVILLE, CONSEILLER D'ÉTAT, HOMME DANS LE PLUS GRAND CRÉDIT ET À LA VEILLE D'ENTRER DANS LE MINISTÈRE... 
LA ROUTE FUT ÉPINEUSE... ON N'EN DOUTE ASSURÉMENT PAS, C'EST PAR L'APPRENTISSAGE LE PLUS HONTEUX ET LE PLUS DUR, QUE CES DEMOISELLES-LÀ FONT LEUR CHEMIN, ET TELLE EST DANS LE LIT D'UN PRINCE AUJOURD'HUI QUI PORTE PEUT-ÊTRE ENCORE SUR ELLE LES MARQUES HUMILIANTES DE LA BRUTALITÉ DES LIBERTINS dépravés, entre les mains des","(12691, 13116)","(10321, 10745)"
Sade_Infortunes_17," la vieille... un confesseur, UNE RELIGIEUSE, UNE CAMARADE... IL ME FAUT DES PREUVES SÛRES. 
--IL NE TIENT QU'À VOUS DE VOUS LES PROCURER, MADAME, répondit Juliette en rougiss","s ces couvents un aumônier... UNE RELIGIEUSE, UNE CAMARADE... IL ME FAUT DES PREUVES SÛRES. 
--IL NE TIENT QU'À VOUS DE VOUS LES PROCURER, MADAME... 
Et la Du Buisson, s'étant","(14005, 14120)","(11536, 11651)"
Sade_Infortunes_18,"us retirer dans un troisième, AVEC UNE COMMODE, UN TRUMEAU, UNE SERVANTE ; ET L'ART QUE VOUS AUREZ ACQUIS CHEZ MOI VOUS DONNERA, DE QUOI VOUS PROCURER LE RESTE. 
Ces recommandations faites,","vous retirer dans une chambre AVEC UNE COMMODE, UN TRUMEAU, UNE SERVANTE, ET L'ART QUE VOUS AUREZ ACQUIS CHEZ MOI VOUS DONNERA DE QUOI VOUS PROCURER LE RESTE. 
La Du Buisson s'empara du p","(14651, 14780)","(12147, 12274)"
Sade_Infortunes_19," pour le crime, au moins doit-ELLE ALLER AU GRAND ET RENONCER À LANGUIR DANS UN ÉTAT SUBALTERNE, QUI, EN LUI FAISANT FAIRE LES MÊMES FAUTES, EN L'AVILISSANT ÉGALEMENT, NE LUI RAPPORTE PAS, À BEAUCOUP PRÈS, LE MÊME PROFIT. Elle plaît à un vieux seigne","our le crime, au moins devait-ELLE ALLER AU GRAND, ET RENONCER À LANGUIR DANS UN ÉTAT SUBALTERNE QUI EN LUI FAISANT FAIRE LES MÊMES FAUTES, EN L'AVILISSANT ÉGALEMENT, NE LUI RAPPORTAIT PAS À BEAUCOUP PRÈS LE MÊME PROFIT. Elle plut à un vieux seigneu","(16489, 16679)","(13963, 14152)"
Sade_Infortunes_20,"e plus une de ces créatures a PROUVÉ SA MALHONNÊTETÉ, PLUS ON EST ENVIEUX D'ÊTRE SUR SA LISTE ; IL SEMBLE QUE LE DEGRÉ DE SON AVILISSEMENT ET DE SA CORRUPTION DEVIENNE LA MESURE DES SENTIMENTS QUE L'ON OSE AFFICHER POUR ELLE. 
JULIETTE VENAIT D'ATTEINDRE SA VINGTIÈME ANNÉE, LORSQU'UN certain comte de Lorsange, ge","lus une de ces malheureuses a PROUVÉ SA MALHONNÊTETÉ, PLUS ON EST ENVIEUX D'ÊTRE SUR SA LISTE, IL SEMBLE QUE LE DEGRÉ DE SON AVILISSEMENT ET DE SA CORRUPTION DEVIENNE LA MESURE DES SENTIMENTS QUE L'ON OSE AFFICHER POUR ELLE. 
JULIETTE VENAIT D'ATTEINDRE SA VINGTIÈME ANNÉE LORSQU'UN comte de Lorsange, gentilhomm","(17257, 17511)","(14727, 14979)"
Sade_Infortunes_21,"sura le reste de sa fortune s'IL VENAIT À MOURIR AVANT ELLE ; LUI DONNA UNE MAISON, DES GENS, UNE LIVRÉE, ET UNE SORTE DE CONSIDÉRATION DANS LE MONDE, QUI PARVINT EN DEUX OU TROIS ANS À FAIRE OUBLIER SES DÉBUTS. 
CE FUT ICI QUE LA MALHEUREUSE JULIETTE, OUBLIANT TOUS LES SENTIMENTS DE SA naissance et de sa bonne éduc"," fortune qui allait à huit, s'IL VENAIT À MOURIR AVANT ELLE, LUI DONNA UNE MAISON, DES GENS, UNE LIVRÉE, ET UNE SORTE DE CONSIDÉRATION DANS LE MONDE QUI PARVINT EN DEUX OU TROIS ANS À FAIRE OUBLIER SES DÉBUTS. CE FUT ICI OÙ LA MALHEUREUSE JULIETTE OUBLIANT TOUS LES SENTIMENTS DE SA naissance honnête et de sa bo","(17738, 17995)","(15265, 15517)"
Sade_Infortunes_22,"i le précipitait au tombeau. 
REDEVENUE LIBRE ET COMTESSE, MME DE LORSANGE REPRIT SES ANCIENNES HABITUDES ; MAIS SE CROYANT QUELQUE CHOSE DANS LE MONDE, ELLE MIT à sa conduite un peu moins d'","s de son abominable forfait. 
REDEVENUE LIBRE ET COMTESSE, MME DE LORSANGE REPRIT SES ANCIENNES HABITUDES MAIS SE CROYANT QUELQUE CHOSE DANS LE MONDE, ELLE Y MIT un peu plus de décence ; ce n","(19217, 19348)","(15951, 16082)"
Sade_Infortunes_23,"ite un peu moins d'indécente. CE N'ÉTAIT PLUS UNE FILLE ENTRETENUE, C'ÉTAIT UNE RICHE VEUVE QUI DONNAIT DE JOLIS SOUPERS, CHEZ LAQUELLE LA COUR ET la ville étaient trop heureus"," mit un peu plus de décence ; CE N'ÉTAIT PLUS UNE FILLE ENTRETENUE, C'ÉTAIT UNE RICHE VEUVE QUI DONNAIT DE JOLIS SOUPERS, CHEZ LAQUELLE LA VILLE ET la cour étaient trop heureuse","(19389, 19505)","(16108, 16225)"
Sade_Infortunes_24,"ses ; femme décente en un mot ET QUI NÉANMOINS COUCHAIT POUR DEUX CENTS LOUIS, ET SE DONNAIT POUR CINQ CENTS PAR MOIS. 
JUSQU'À VINGT-SIX ans, Mme de Lorsange fit enco","rop heureuses d'être admises, ET QUI NÉANMOINS COUCHAIT POUR DEUX CENTS LOUIS ET SE DONNAIT POUR CINQ CENTS PAR MOIS. JUSQU'À VINGT-SIX ans elle fit encore de brilla","(19579, 19686)","(16273, 16378)"
Sade_Infortunes_25," heureusement, la malheureuse JULIETTE SE NOIRCIT DE DEUX NOUVEAUX CRIMES SEMBLABLES AU PREMIER ; L'UN POUR VOLER UN DE SES AMANTS QUI LUI AVAIT CONFIÉ UNE SOMME CONSIDÉRABLE, ignorée de la famille de cet","e, la malheureuse et coupable JULIETTE, SE NOIRCIT DE DEUX NOUVEAUX CRIMES SEMBLABLES AU PREMIER, L'UN POUR VOLER UN DE SES AMANTS QUI LUI AVAIT CONFIÉ UNE SOMME CONSIDÉRABLE que toute la famille de cet h","(19993, 20137)","(16661, 16805)"
Sade_Infortunes_26,"ange joignait trois ou quatre INFANTICIDES. LA CRAINTE DE GÂTER SA JOLIE TAILLE, LE DÉSIR DE CACHER UNE DOUBLE INTRIGUE, TOUT LUI FIT PRENDRE LA RÉSOLUTION d'étouffer dans son sein la p","rsange joignait deux ou trois INFANTICIDES ; LA CRAINTE DE GÂTER SA JOLIE TAILLE, LE DÉSIR DE CACHER UNE DOUBLE INTRIGUE, TOUT LUI FIT PRENDRE LA RÉSOLUTION de se faire avorter plusieurs","(20454, 20579)","(17170, 17296)"
Sade_Infortunes_27," que lui procurent ses vertus LE DÉDOMMAGENT BIENTÔT DE L'INJUSTICE DES HOMMES. 
TEL ÉTAIT DONC L'ÉTAT DES AFFAIRES DE MME DE LORSANGE, LORSQUE M. DE CORVILLE, ÂGÉ DE CINQUANTE ans, jouissant du crédit et d","tes qu'il retire de sa pureté LE DÉDOMMAGENT BIENTÔT DE L'INJUSTICE DES HOMMES. 
TEL ÉTAIT DONC L'ÉTAT DES AFFAIRES DE MME DE LORSANGE LORSQUE M. DE CORVILLE, ÂGÉ DE CINQUANTE ans et jouissant du crédit qu","(21733, 21879)","(18509, 18654)"
Sade_Infortunes_28,"crédit et de la considération QUE NOUS AVONS PEINTS PLUS HAUT, RÉSOLUT DE SE SACRIFIER ENTIÈREMENT POUR CETTE FEMME ET DE LA FIXER À JAMAIS À LUI. SOIT ATTENTION, SOIT PROCÉDÉS, soit politique de la part de","te ans et jouissant du crédit QUE NOUS AVONS PEINT PLUS HAUT, RÉSOLUT DE SE SACRIFIER ENTIÈREMENT POUR CETTE FEMME, ET DE LA FIXER DÉCIDÉMENT À LUI. SOIT ATTENTION, SOIT PROCÉDÉS, soit sagesse de la part de M","(21928, 22074)","(18682, 18830)"
Sade_Infortunes_29,"soit procédés, soit politique DE LA PART DE MME DE LORSANGE, IL Y ÉTAIT PARVENU, ET IL Y AVAIT QUATRE ANS QU'IL VIVAIT AVEC ELLE, ABSOLUMENT COMME AVEC UNE ÉPOUSE LÉGITIME, lorsque l'acquisition d'une ",", soit procédés, soit sagesse DE LA PART DE MME DE LORSANGE, IL Y ÉTAIT PARVENU ET IL Y AVAIT QUATRE ANS QU'IL VIVAIT AVEC ELLE ABSOLUMENT COMME AVEC UNE ÉPOUSE LÉGITIME, lorsqu'une terre superbe qu'","(22091, 22232)","(18845, 18984)"
Sade_Infortunes_30,"auberge la société cahotante. IL PARAISSAIT QU'IL N'Y AVAIT PLUS PERSONNE DANS LA VOITURE, LORSQU'UN CAVALIER DE MARÉCHAUSSÉE, DESCENDANT DU PANIER, REÇUT DANS SES BRAS D'UN DE SES CAMARADES ÉGALEMENT PLACÉ dans le même lieu, une fille ","e toute la société voyageuse. IL PARAISSAIT QU'IL N'Y AVAIT PLUS PERSONNE DANS LA VOITURE LORSQU'UN CAVALIER DE MARÉCHAUSSÉE, DESCENDANT DU PANIER, REÇUT DANS SES BRAS, D'UN DE SES CAMARADES ÉGALEMENT NICHÉ dans la même place, une jeune","(23249, 23425)","(19866, 20042)"
Sade_Infortunes_31," il s'agit de meurtre, de vol ET D'INCENDIE ; MAIS JE VOUS AVOUE QUE MON CAMARADE ET MOI N'AVONS JAMAIS CONDUIT DE CRIMINEL AVEC AUTANT DE RÉPUGNANCE ; C'EST LA CRÉATURE LA PLUS DOUCE, ET QUI PARAÎT LA PLUS HONNÊTE. 
--AH, AH DIT M. DE CORVILLE, NE POURRAIT-IL PAS Y AVOIR LÀ quelques-unes de ces bévues o"," il s'agit de vol, de meurtre ET D'INCENDIE, MAIS JE VOUS AVOUE QUE MON CAMARADE ET MOI N'AVONS JAMAIS CONDUIT DE CRIMINEL AVEC AUTANT DE RÉPUGNANCE ; C'EST LA CRÉATURE LA PLUS DOUCE ET QUI PARAÎT LA PLUS HONNÊTE... 
--AH, AH, DIT M. DE CORVILLE, NE POURRAIT-IL PAS Y AVOIR LÀ quelqu'une de ces bévues ordi","(24381, 24626)","(20679, 20925)"
Sade_Infortunes_32,"prendre un peu de nourriture, MME DE LORSANGE, QUI NE POUVAIT S'EMPÊCHER DE PRENDRE À ELLE LE PLUS VIF INTÉRÊT, ET QUI SANS DOUTE SE DISAIT À ELLE-MÊME : « CETTE créature, peut-être innocente","urriture à cette malheureuse, MME DE LORSANGE QUI NE POUVAIT S'EMPÊCHER DE PRENDRE À ELLE LE PLUS VIF INTÉRÊT, ET QUI SANS DOUTE SE DISAIT À ELLE-MÊME : « CETTE misérable créature peut-être ","(25450, 25581)","(21911, 22041)"
Sade_Infortunes_33,"ire de ma vie, madame, dit la BELLE INFORTUNÉE, EN S'ADRESSANT À LA COMTESSE, C'EST VOUS OFFRIR L'EXEMPLE LE PLUS FRAPPANT DES MALHEURS DE L'INNOCENCE, C'EST ACCUSER LA main du ciel, c'est se plaind"," de ma vie, madame, dit cette BELLE INFORTUNÉE EN S'ADRESSANT À LA COMTESSE, EST VOUS OFFRIR L'EXEMPLE LE PLUS FRAPPANT DES MALHEURS DE L'INNOCENCE. C'EST ACCUSER LA providence, c'est s'en plaind","(26078, 26216)","(22566, 22701)"
Sade_Infortunes_34,"es yeux de cette intéressante FILLE, ET APRÈS LEUR AVOIR DONNÉ COURS UN INSTANT, ELLE COMMENÇA SON RÉCIT DANS CES TERMES : --VOUS ME PERMETTREZ DE CACHER MON NOM ET MA NAISSANCE, MADAME ; SANS ÊTRE ILLUSTRE, ELLE EST HONNÊTE, ET JE N'ÉTAIS PAS DESTINÉE À L'HUMILIATION ou vous me voyez réduite. Je ","ance des yeux de cette pauvre FILLE, ET APRÈS LEUR AVOIR DONNÉ COURS UN INSTANT ELLE COMMENÇA SON RÉCIT DANS CES TERMES. 
--VOUS ME PERMETTREZ DE CACHER MON NOM ET MA NAISSANCE, MADAME, SANS ÊTRE ILLUSTRE, ELLE EST HONNÊTE, ET JE N'ÉTAIS PAS DESTINÉE À L'HUMILIATION, d'où la plus grande partie d","(26435, 26673)","(22851, 23087)"
Sade_Infortunes_35," dans les commencements de ma MALHEUREUSE SITUATION, DE TOUS LES PROPOS HORRIBLES QUI ME FURENT TENU, JE NE VOUS CITERAI QUE CE QUI M'ARRIVA CHEZ M. DUBOURG, UN DES PLUS RICHES TRAITANTS DE LA CAPITALE. La femme chez qui je logeais","tés que j'éprouvai dans cette MALHEUREUSE SITUATION, DE TOUS LES PROPOS HORRIBLES QUI ME FURENT TENUS, JE NE VOUS CITERAI QUE CE QUI M'ARRIVA CHEZ M. DUBOURG, L'UN DES PLUS RICHES TRAITANTS DE LA CAPITALE. On m'avait adressée à lui co","(27142, 27313)","(23601, 23775)"
