,Text in Kimber_Thompson,Text in B,Location in Kimber_Thompson,Location in B
Constant_Laure2_0,"re complètement satisfait. 
C'EST AVEC LES PLUS GRANDS REGRETS QUE JE m'en suis séparé pour aller a","ai par mon air tranquille. 
C'EST AVEC LES PLUS GRANDS REGRETS QUE JE vais m'éloigner de mon cher s","(556597, 556636)","(11393, 11432)"
Crebillon_Atheniennes_0,"e indifférence, permettez-moi DE VOUS DIRE CE QUE JE PENSE. Je crois que dès le premier ",", au reste, vous me permettez DE VOUS DIRE CE QUE JE PENSE, les sens de Théodote ont ave","(706859, 706887)","(361153, 361181)"
Crebillon_Atheniennes_1,sse d'amour pour nous occuper LA PLUS GRANDE PARTIE DE LA NUIT à parler ensemble de notre bo,idice à Alcibiade. J'ai pâssé LA PLUS GRANDE PARTIE DE LA NUIT à faire des réflexions qui m',"(743944, 743976)","(361153, 361181)"
Crebillon_Conte_0,"usique, nous passâmes le jour DE LA FAÇON DU MONDE LA PLUS gracieuse. Il y eut le lendem","ensible, s'il n'eût pas pensé DE LA FAÇON DU MONDE LA PLUS extraordinaire, sur ce mouvem","(563212, 563240)","(2391, 2419)"
Crebillon_Conte_1,", de former l'heureuse union, APRÈS LAQUELLE IL AVAIT SOUPIRÉ SI LONG-TEMPS. J'appris toutes ces particul","upportable cette tranquillité APRÈS LAQUELLE IL AVAIT SOUPIRÉ SI LONG-TEMPS. Sombre et rêveur,cherchant p","(598565, 598610)","(2391, 2419)"
Crebillon_Conte_2,montrai ce congé. Il me reçut DE LA FAÇON DU MONDE LA PLUS polie; je n'en fus pas surpri,"e des mines, et de me lorgner DE LA FAÇON DU MONDE LA PLUS vive et la plus indécente. Je","(629022, 629050)","(2391, 2419)"
Crebillon_Nuit_0,"amp; de mes chagrins actuels. TOUT CE QUE VOUS VENEZ DE DIRE, s'écria M. Bellair, ne me pe",". 
Assûrément, si vous croyez TOUT CE QUE VOUS VENEZ DE ME DIRE, vous avez jusques à présent ","(354331, 354361)","(19052, 19085)"
Crebillon_Nuit_1,es amoureuses. C'est pourquoi JE PRIS LA LIBERTÉ DE LUI DEMANDER s'il sçavoit ce qui lui avait,"ndre dire que j'étais haï, et JE PRIS LA LIBERTÉ DE LUI DEMANDER si c'était ainsi qu'elle pard","(678136, 678170)","(19052, 19085)"
Diderot_Jacques_0,"tant, contre notre ordinaire, QUE NOUS EÛMES BIEN DE LA PEINE à gagner nos apartemens. Sir ",n peut apprendre. Le fait est QUE NOUS EÛMES BIEN DE LA PEINE à regagner le village. Le fai,"(244495, 244526)","(376326, 376357)"
Diderot_Jacques_1,"étaient une excuse suffisante DE TOUT CE QUE VOUS AVEZ FAIT. 
Deux jours après l'arrivée ",ien obtenu qui vous dédommage DE TOUT CE QUE VOUS AVEZ FAIT pour elle. » ( Ici Jacques se,"(347138, 347167)","(376326, 376357)"
Diderot_Jacques_2, sans en perdre l'esprit; car JE SUIS LE PLUS MALHEUREUX DE TOUS LES hommes. L'Irlande est ma patr,"nt de tous les valets, et que JE SUIS LE PLUS MALHEUREUX DE TOUS LES maîtres ? 
JACQUES N'est-il p","(603696, 603734)","(376326, 376357)"
Diderot_Supplement_0,e campagne où il se proposait DE PASSER LE RESTE DE SES JOURS. Je ne pus me dispenser de l',"vêtements dans le vaisseau et DE PASSER LE RESTE DE SES JOURS parmi eux, et qu'il craint bi","(395844, 395875)","(64948, 64979)"
Dorat_Sacrifices_0,"lère contre vous, mon enfant: TOUT CE QUE JE VOUS DEMANDE, C'EST DE me confier votre embarras, af","é-je l'acheter de la mienne. 
TOUT CE QUE JE VOUS DEMANDE, C'EST DE solliciter mon retour chez mo","(173286, 173323)","(364273, 364310)"
Ducray_Cinquante_0,"amp; de mes chagrins actuels. TOUT CE QUE VOUS VENEZ DE DIRE, s'écria M. Bellair, ne me pe"," mon indignation?...--Madame, TOUT CE QUE VOUS VENEZ DE ME DIRE est tellement obscur pour moi","(354331, 354361)","(163354, 163387)"
Ducray_Cinquante_1,"uérir de ses idées de crainte DE TOUS LES MALHEURS QUI POUVAIENT M'ARRIVER. 
Un jour mon père me tira à ","nse, et me faisait sentir que DE TOUS LES MALHEURS QUI POUVAIENT M'ARRIVER, celui de le fuir, de me sépa","(505534, 505578)","(163354, 163387)"
Ducray_Cinquante_2," 
Il me fit aussi le récit de TOUT CE QUI LUI ÉTAIT ARRIVÉ DEPUIS notre séparation, j'eus la jo",jeûna; puis Jeannette raconta TOUT CE QUI LUI ÉTAIT ARRIVÉ DEPUIS sa séparation de Cécile. Les ,"(641910, 641945)","(163354, 163387)"
Dulaurens_Imirce_0," à celles de sa chère Serene, IL NE ME FUT PAS POSSIBLE DE RÉSISTER davantage. Quand ils furent p"," par quinze paysans, auxquels IL NE ME FUT PAS POSSIBLE DE RÉSISTER. Le curé, qui était un dur et","(733630, 733667)","(40592, 40629)"
Fievee_Dot_0,"lère contre vous, mon enfant: TOUT CE QUE JE VOUS DEMANDE, C'EST DE me confier votre embarras, af",t où ma bouche le prononçait. TOUT CE QUE JE VOUS DEMANDE EST DE ne pas voir Suzette avant que,"(173286, 173323)","(38001, 38035)"
Fievee_Dot_1,"llait me répliquer, lorsqu'on VINT AVERTIR QUE LE DÎNER ÉTAIT SERVI. Nous nous mîmes à table: il "," pas du tout. Heureusement on VINT AVERTIR QUE LE DÎNER ÉTAIT SERVI. 
""J'ai des torts envers vous","(242326, 242363)","(38001, 38035)"
Florian_Galatee_0,"ce. 
Il me fit aussi le récit DE TOUT CE QUI LUI ÉTAIT ARRIVÉ DEPUIS notre séparation, j'eus la jo","ellule, et leur fit le détail DE TOUT CE QUI LUI ÉTAIT ARRIVÉ DEPUIS leur séparation. Ce récit fut","(641907, 641945)","(102612, 102650)"
Genlis_Adele_0,"Walter, malgré la distraction QUE LUI CAUSAIT LA MALADIE DE SA FILLE, a eu autant de soin de vous ","eri, d'abord par l'inquiétude QUE LUI CAUSAIT LA MALADIE DE SA FILLE, et par la crainte affreuse q","(254737, 254775)","(245218, 245256)"
Genlis_Adele_1,"rlaient plus qu'à l'ordinaire DE CE QUI S'ÉTAIT PASSÉ ENTRE NOUS, etamp; commençaient à nous é","alis venait de lui faire part DE CE QUI S'ÉTAIT PASSÉ ENTRE NOUS, et je ne pouvais deviner le ","(263245, 263279)","(245218, 245256)"
Genlis_Adele_2,e soir même. Il m'en témoigna SA RÉCONNAISSANCE DE LA MANIÈRE LA PLUS affectueuse; il me prit dans ,"xplication, Charles m'exprima SA RÉCONNAISSANCE DE LA MANIÈRE LA PLUS touchante, ensuite il me lais","(334823, 334862)","(245218, 245256)"
Genlis_Adele_3,"amp; de mes chagrins actuels. TOUT CE QUE VOUS VENEZ DE DIRE, s'écria M. Bellair, ne me pe","présent, mais je sens combien TOUT CE QUE VOUS VENEZ DE DIRE est juste et raisonnable, et ","(354331, 354361)","(245218, 245256)"
Genlis_Chevaliers_0,"net, d'où je pouvais entendre TOUT CE QUI SE PASSAIT DANS LA salle. Il n'y avait pas long-","qu'il pouvait voir facilement TOUT CE QUI SE PASSAIT DANS LA chambre, par le moyen d'une p","(96865, 96895)","(51408, 51438)"
Genlis_Chevaliers_1,ait ordinairement mon emploi. LE LENDEMAIN DE MON ARRIVÉE JE FUS envoyé chez un marchand en dé,"le deuil et la consternation. LE LENDEMAIN DE MON ARRIVÉE, JE FUS chez la reine Hermengarde, où","(138868, 138902)","(51408, 51438)"
Genlis_Chevaliers_2,semblées comme à l'ordinaire; MAIS AU BOUT DE QUELQUES JOURS JE fus encore obligé de me restr,"t je n'entendis rien d'abord; MAIS AU BOUT DE QUELQUES JOURS, JE distinguai quelque bruit: alo","(461325, 461358)","(51408, 51438)"
Genlis_Chevaliers_3," perdre l'esprit; car je suis LE PLUS MALHEUREUX DE TOUS LES HOMMES. L'Irlande est ma patrie, mon",répétois qu'elle me laisserat LE PLUS MALHEUREUX DE TOUS LES HOMMES: là-dessus elle tira de sa po,"(603704, 603741)","(51408, 51438)"
Genlis_Chevaliers_4,"gleterre, je lui fis moi-même LE RÉCIT DE TOUT CE QUI M'ÉTAIT arrivé depuis l'instant fatal","ment pour Olivier, et lui fit LE RÉCIT DE TOUT CE QUI S'ÉTAIT passé entre eux; elle insista","(745109, 745140)","(51408, 51438)"
Gerard_Comte_0,"rlaient plus qu'à l'ordinaire DE CE QUI S'ÉTAIT PASSÉ ENTRE NOUS, etamp; commençaient à nous é",Personne ne se défiait encore DE CE QUI S'ÉTAIT PASSÉ ENTRE NOUS; et les raisonnement que form,"(263245, 263279)","(766764, 766798)"
Jacquin_Parisiennes_0,"s l'intervalle de la réponse, JE FIS TOUT CE QUE JE PUS POUR empêcher mon père de faire au",dans une inquiétude mortelle: JE FIS TOUT CE QUE JE PUS POUR rappeler ses sens égarés: je ,"(496530, 496560)","(47123, 47153)"
Jacquin_Parisiennes_1," Bellair, à Miss Suckey, avec LE DÉTAIL DE TOUT CE QUI M'ÉTAIT arrivé; je le leur recommanda","couvrir! 
J'entrai alors dans LE DÉTAIL DE TOUT CE QUI S'ÉTAIT passé depuis la première nouv","(511854, 511886)","(47123, 47153)"
Laclos_Liaisons_0,"loi, ne vous eussent portés à CE QUE VOUS AVEZ FAIT. JE VOUS pardonne; mais dans la persua",faut bien que j'approuve tout CE QUE VOUS AVEZ FAIT ; JE VOUS aime trop pour ne pas prendre,"(39378, 39408)","(271852, 271883)"
Lagrave_Sophie_0,s sans pouvoir rendre si-bien CE QUI SE PASSE DANS NOS CŒURS. Notre sexe moins familiarisé," Beauregard, qui est bien loin D'IMAGINER CE QUI SE PASSE DAns nos cœurs. Le changement qu","(746757, 746787)","(111119, 111149)"
Lagrave_Zabeth_0,"qui la vit partir, aussi bien QUE TOUT LE RESTE DE LA MAISON, sans rien soupçonner de ce q","persuader M. de Saint-Silvain QUE TOUT LE RESTE DE LA MAISON: enfin, il fallut paraître. E","(85533, 85563)","(46364, 46394)"
Lagrave_Zabeth_1,"hauffe le cœur, qui dédommage DE TOUS LES MAUX DE LA VIE! Tulies ensemble tout le genr",sibilité! ... C'est la source DE TOUS LES MAUX DE LA VIE! .. La mienne m'a perdue ... ,"(695870, 695896)","(46364, 46394)"
Lagrave_Zabeth_2,"esse en lui faisant un salut, IL LA PRIT PAR LA MAIN POUR la faire sortir. Madame Dauln","s. En disam{??} t{??}es mots, IL LA PRIT PAR LA MAIN POUR {??}'emmener. Elle fit des cr","(723399, 723426)","(46364, 46394)"
LaPlace_Collection_0,"oit en abondance de mes yeux, LES SEULES PAROLES QUE JE PUS PRONONCER DANS les intervalles de mes mouvem","las! j'ai tout perdu„, furent LES SEULES PAROLES QUE JE PUS PRONONCER DANS ma douleur: je les répétai so","(469972, 470016)","(205743, 205787)"
LaPlace_Collection_1,"ncier, la nature de ma dette, EN UN MOT TOUT CE QUI POUVAIT les instruire de mon affaire.","es, mépris pour le chevalier, EN UN MOT TOUT CE QUI POUVAIT tourmenter mon esprit et mon ","(471996, 472025)","(205743, 205787)"
LaPlace_Collection_2,"t en lambeaux autour de moi. 
IL Y AVAIT DÉJÀ LONG-TEMPS QUE JE N'AVAIS PLUS de souliers; mais les pieds m","imes bientôt la vie commune. 
IL Y AVAIT DÉJÀ LONG-TEMPS QUE JE N'AVAIS REÇU de lettres du chevalier de Be","(540423, 540469)","(205743, 205787)"
Lesuire_Aventurier_0,"ait un homme de quarante ans, QUI AVAIT PASSÉ TOUTE SA VIE DANS le commerce, où il avait remp","ait produire sur une personne QUI AVAIT PASSÉ TOUTE SA VIE DANS un souterrain. 
Je me plaisoi","(62444, 62477)","(377425, 377458)"
Lesuire_Aventurier_1,", etamp; apercevant la bride; FIT UN GRAND ÉCLAT DE RIRE. OH, oh, dit-il, voilà tout le my",", qui était entrée avec elle, FIT UN GRAND ÉCLAT DE RIRE. „OH! tel maître, telle servante, ","(193461, 193491)","(377425, 377458)"
Lesuire_Aventurier_2,"s l'intervalle de la réponse, JE FIS TOUT CE QUE JE PUS POUR empêcher mon père de faire au",mais.“Cette menace m'effraya; JE FIS TOUT CE QUE JE PUS POUR la faire changer de résolutio,"(496530, 496560)","(377425, 377458)"
Lesuire_Crime_0,"t chagrine etamp; „alarmée, j'AI FAIT CE QUE J'AI PU POUR „MODÉRER ses soupçons; mais ma sincéri",iré qu'il la fixât sur moi. J'AI FAIT CE QUE J'AI PU POUR ATTIRER ses regards. Son œil s'est ar,"(297908, 297944)","(44206, 44241)"
Lesuire_Crime_1,"ez-moi, d'abord, Monsieur, de VOUS REMERCIER DE „TOUT MON CŒUR DES bons traitement que „j'ai reç","e, c'est de “signer mon nom. JE VOUS REMERCIE, “DE TOUT MON CŒUR, Des soins que vous “avez bien v","(424956, 424992)","(44206, 44241)"
Louvet_Annee_0,", nous firent mille caresses, NOUS PASSÂMES LE RESTE DE LA JOURNÉE dans la joie. Pour moi, si j'","scendîmes dans la cuisine, où NOUS PASSÂMES LE RESTE DE LA JOURNÉE. Quelle soirée! Mon cher Faub","(743329, 743365)","(165932, 165968)"
Louvet_Fin_0,"'en fallut pour lui baiser la MAIN, QUE JE MOUILLAI DE MES LARMES, il me laissa seul pour me re","être ton amant! 
Je tenais sa MAIN, QUE JE MOUILLAI DE MES LARMES; ses larmes tombaient sur ma ","(216744, 216779)","(8796, 8831)"
Louvet_Fin_1,"on que d'entendre le grec, ou TOUT CE QUE VOUS VOUDREZ, JE SUIS en état de vous prêter le col","e. 
Mademoiselle!… vous direz TOUT CE QUE VOUS VOUDREZ, JE SUIS très curieuse de voir votre i","(457885, 457918)","(8796, 8831)"
Maistre_Voyage_0,de etamp; de bassesse; etamp; JE NE VOUDRAIS „PAS POUR TOUT AU MONDE vous y contraindre: au lieu q,"ns l'esprit de mes lecteurs. 
JE NE VOUDRAIS PAS, POUR TOUT AU MONDE, qu'on me soupçonnât d'avoir ","(55511, 55549)","(59909, 59947)"
Marmontel_Belisaire_0,"prenant ce qui s'est passé, j'ATTENDRAI QUE VOUS SOYEZ EN ÉTAT DE me rendre cet argent. Ce poid","la parole de vos ancêtres, en ATTENDANT QUE VOUS SOYEZ EN ÉTAT DE faire honneur à vos garants. ","(176790, 176825)","(61015, 61050)"
Marmontel_Contes_0," il entra en fureur, etamp; j'EUS TOUTES LES PEINES DU MONDE À L'EMPÊCHER DE partir sur le champ pour alle","ur horrible, et qu'elle avait EU TOUTES LES PEINES DU MONDE À L'EMPÊCHER DE prendre un parti violent. Le ","(344784, 344830)","(134619, 134664)"
Marmontel_Contes_1,"iqueurs, nous nous séparâmes. JE NE FUS PAS LONG TEMPS SANS m'apercevoir qu'avec la compa","e vous en répons, mon ami, et JE NE FUS PAS LONG-TEMPS À M'EN apercevoir. Je le traitais d'","(455073, 455102)","(134619, 134664)"
Marmontel_Contes_2,"l'instant de tous mes papiers DE TOUT CE QUE J'AVAIS DE PLUS précieux. 
Je le fis manger à","acrés, pour me détacher enfin DE TOUT CE QUE J'AVAIS DE PLUS cher au monde; mais cette fol","(711930, 711960)","(134619, 134664)"
Mercier_Jezennemours_0,"er tout ce que nous avions. A PEINE AVAIS-JE EU LE TEMPS DE prendre mon habit, que la por",dans la profondeur du bois. à-PEINE AVAIS-JE EU LE TEMPS DE regarder pourquoi il prenait ,"(735459, 735488)","(224088, 224117)"
Morelly_Naufrage_0,"amp; de mes chagrins actuels. TOUT CE QUE VOUS VENEZ DE DIRE, s'écria M. Bellair, ne me pe","ois rien compris, sage Ami, à TOUT CE QUE VOUS VENEZ DE ME DIRE, si vous ne m'aviez précédemm","(354331, 354361)","(352248, 352281)"
Nerciat_Aphrodites_0,"i-tôt que ma lettre, je crois QUE „J'AURAI LE BONHEUR DE VOUS Y VOIR. Je suis „votre affectionnée ","dame, il durera tout le temps QUE J'AURAI LE BONHEUR DE VOUS VOIR. 
La Marquise, sans humeur. 
","(497394, 497432)","(199232, 199267)"
Nerciat_Etourdi_0, trouvé dans un tel embarras; JE N'OSAIS LEVER LES YEUX SUR ELLE; un transport de joie mêlé de,"yen placé vis-à-vis sa fille. JE N'OSAIS LEVER LES YEUX SUR ELLE, et ne pouvais pas en même te","(257654, 257688)","(112678, 112712)"
Popeliniere_Daira_0,e rendre service à la patrie. JE N'AI „PAS JUGÉ À PROPOS DE VOUS envoyer à „l'Université; vous, qui n'ont que vous pour but. JE N'AI PAS JUGÉ À PROPOS DE VOUS en informer dans l'incertitud,"(54008, 54042)","(56651, 56684)"
Prevost_Manon_0,"s de quel côté il était allé, JE RETOURNAI SUR LE CHAMP AU LOGIS, etamp; sans entrer dans la m",minuer beaucoup ma tristesse. JE RETOURNAI SUR-LE-CHAMP AU LOGIS. J'embrassai Manon avec ma te,"(305303, 305337)","(31746, 31780)"
Puttelange_Roi_0,"olère, il fut sur le point de LUI PASSER SON ÉPÉE AU TRAVERS DU CORPS; mais vu l'indignité du sujet","avait déjà crevé trois chevaux, LUI PASSA SON ÉPÉE AU TRAVERS DU CORps. Lorsque le roi, étonné de ","(764373, 764412)","(83382, 83420)"
Retif_AntiJustine_0,quit entièrement de la vérité DE CE QUE JE LUI AVAIS DIT. Il m'en félicita; mais en mê,"ent. Elle se ressouvint alors DE CE QUE JE LUI AVAIS DIT, qu'elle pourrait se laisser ","(614148, 614174)","(100637, 100663)"
Retif_Paysanne_0, peine qu'on la sauve du feu? JE VOUDRAIS DE TOUT MON CŒUR QUE tu eusses un état à lui donne,"s sortirez seule... Au reste, JE VOUDRAIS DE TOUT MON CŒUR QUE quelque imprudent fît cette é","(225194, 225226)","(273982, 274014)"
Retif_Paysanne_1,"entra en fureur, etamp; j'eus TOUTES LES PEINES DU MONDE À L'EMPÊCHER DE partir sur le champ pour alle",uvé tant de perfection. J'avaiS TOUTES LES PEINES DU MONDE À M'EMPÊCHER de rire. Enfin... tout se pass,"(344788, 344830)","(273982, 274014)"
Reveroni_Pauliska_0,"te d'une assez grande maison, QUE JE RECONNUS BIENTÔT POUR UN DE ces endroits où on prend des ","cienne maîtresse du Baron, et QUE JE RECONNUS BIENTÔT POUR UNE DE ses victimes. Je passai trois","(320753, 320787)","(51639, 51674)"
Reveroni_Pauliska_1," plus violente, je l'accablai DE TOUT LE POIDS DE MON CORPS. Il fut quelque-temps sans po",es coups. Je tirai en arrière DE TOUT LE POIDS DE MON CORPS et à plusieurs reprises. Alor,"(459665, 459694)","(51639, 51674)"
Riccoboni_MissJenny_0," qui, à mon avis, intéressoit LE BONHEUR DU RESTE DE SA VIE; j'avais formé depuis la pert",atisfaction de son cœur. Tout LE BONHEUR DU RESTE DE SA VIE serait sacrifié au plaisir d',"(708305, 708334)","(459674, 459703)"
Rosny_Firmin_0,"cet excellent ami, etamp; que JE LUI FIS LE DÉTAIL DE TOUTES mes folies, depuis le premier","e satisfaire sa curiosité, et JE LUI FIS LE DÉTAIL DE TOUT ce qui s'était passé. Je vous","(151528, 151558)","(44460, 44488)"
Rosny_Firmin_1," Bellair, à Miss Suckey, avec LE DÉTAIL DE TOUT CE QUI M'ÉTAIT ARRIVÉ; je le leur recommandai comme"," 
Ici je lui fis, à mon tour, LE DÉTAIL DE TOUT CE QUI M'ÉTAIT ARRIVÉ depuis notre séparation, et j","(511854, 511893)","(44460, 44488)"
Rousseau_Emile_0,e fois pour m'être amusé avec DES JEUNES GENS QUI NE SONT PAS en âge; etamp; j'ai perdu de ,"rarement perdues dans le cœur DES JEUNES GENS QUI NE SONT PAS tout à fait corrompus. 
«Je m","(161709, 161740)","(707660, 707691)"
Rousseau_Emile_1,"t chagrine etamp; „alarmée, j'AI FAIT CE QUE J'AI PU POUR „modérer ses soupçons; mais m", seul qui m'en peut guérir. J'AI FAIT CE QUE J'AI PU POUR atteindre à la vérité; mais s,"(297908, 297935)","(707660, 707691)"
Rousseau_Emile_2,"e indifférence, permettez-moi DE VOUS DIRE CE QUE JE PENSE. JE crois que dès le premier coup"," en m'embrassant, j'achèverai DE VOUS DIRE CE QUE JE PENSE; JE ne veux point vous ouvrir mon","(706859, 706891)","(707660, 707691)"
Rousseau_Emile_3,"passer pour morte, les motifs DE TOUT CE QUE VOUS AVEZ FAIT depuis. Elle consentit à ce q",il faut prendre le contrepied DE TOUT CE QUE VOUS AVEZ FAIT pour conduire un enfant. Ne b,"(746298, 746327)","(707660, 707691)"
Rousseau_Julie_0,"étaient une excuse suffisante DE TOUT CE QUE VOUS AVEZ FAIT. 
Deux jours après l'arrivée ", a point trompé. Il est digne DE TOUT CE QUE VOUS AVEZ FAIT pour lui sans le bien connaît,"(347138, 347167)","(378050, 378079)"
Rousseau_Julie_1,"s d'avec ces gens intéressés, QUI NE SONT BONS QUE POUR EUX seuls, qui ne connoissent poi"," Au contraire, on rebute ceux QUI NE SONT BONS QUE POUR EUX. Pourquoi, leur dit-on, accor","(695694, 695723)","(378050, 378079)"
Sade_120_0,lui faire passer heureusement LE RESTE DE SES JOURS DANS UNE retraite loin du bruit etamp;,e s'était déterminée à passer LE RESTE DE SES JOURS DANS UN petit appartement secret qu'i,"(375595, 375625)","(204930, 204959)"
Sade_Aline_0,"les mains de ma chère Louise. IL N'Y AVAIT PAS DEUX HEURES QUE J'ÉTAIS parti, lorsqu'un homme avec l","ais quel épouvantable réveil! IL N’Y AVAIT PAS DEUX HEURES QUE J’ÉTAIS endormi, lorsque ma porte, s’","(349239, 349279)","(695825, 695865)"
Sade_Aline_1,"s l'intervalle de la réponse, JE FIS TOUT CE QUE JE PUS POUR empêcher mon père de faire au","s de me parler de sa passion, JE FIS TOUT CE QUE JE PUS POUR lui faire croire que je n’y é","(496530, 496560)","(695825, 695865)"
Sade_Aline_2,al le convainquit entièrement DE LA VÉRITÉ DE CE QUE JE LUI avais dit. Il m'en félicita; ,"notre entretien, si convaincu DE LA VÉRITÉ DE CE QUE JE LUI annonçais, qu’il me donna vin","(614135, 614164)","(695825, 695865)"
Sade_Aline_3,"itieuse des simples Matelots, NOUS NE PÛMES NOUS EMPÊCHER DE REMARQUER que dans leurs vaisseaux les ","e de cette légère absence, et NOUS NE PÛMES NOUS EMPÊCHER DE REMARQUER ma mère et moi, qu’il entrait","(664854, 664894)","(695825, 695865)"
Sade_Infortunes_0,"s l'intervalle de la réponse, JE FIS TOUT CE QUE JE PUS POUR empêcher mon père de faire au","e vais-je devenir, grand Dieu JE FIS TOUT CE QUE JE PUS POUR la calmer, mais rien n'y parv","(496530, 496560)","(180912, 180942)"
Sade_Justine_0,"ong-temps dans cet état; mais QUAND JE REPRIS MES SENS, JE ME TROUVAI entre les mains de deux ou tr"," de mort ? Quoi qu'il en fût, QUAND JE REPRIS MES SENS, JE ME TROUVAI dans un excellent lit et deux","(128126, 128165)","(401463, 401502)"
Segur_Correspondance_0,al le convainquit entièrement DE LA VÉRITÉ DE CE QUE JE LUI avais dit. Il m'en félicita; ," et après avoir été convaincu DE LA VÉRITÉ DE CE QUE JE LUI disais, il a tiré des conséqu","(614135, 614164)","(238615, 238644)"
