,Text in Riccoboni_MylordRivers,Text in B,Location in Riccoboni_MylordRivers,Location in B
Lagrave_Sophie_0," taire combien je suis blessé DU PEU DE CONFIANCE QUE VOUS M'AVEZ montre. Eh pourquoi, pourquoi","nt me prendre la main, et me dIT: JE SUIS FÂCHÉ DU PEU DE CONFIance que vous avez en moi; une","(61866, 61901)","(216023, 216056)"
Lagrave_Zabeth_0,ans le paquet adresse à James UN BILLET DE BANQUE DE CENT LIVRES STERLING. Mais cache-lui soigneusement,"au coup! Tiens, Noriss, voilà UN BILLET DE BANQUE DE CENT LIVRES STERLING. Amuse-toi, mon ami. Quand il","(83700, 83743)","(245095, 245138)"
LaPlace_Lydia_0,gent dans la plus belle femme DE LA DOUCEUR ET DE LA SENSIBILISE qui peuvent seules rendre sa ,"rprise qu'enchantée, à la vue DE LA DOUCEUR ET DE LA POLITESSE que respiraient toutes mes ac","(248541, 248575)","(23870, 23902)"
Leonard_Lettres_0,ent? eh vous le demande-t-on? NE VOUS AI-JE PAS DIT QUE jamais on ne vous le demander,"st-il écrié avec chaleur; eh! NE VOUS AI-JE PAS DIT QUE j'étais un insensé, que le dé","(260775, 260800)","(126037, 126062)"
Loaisel_Ainsi_0,"ans lady Mary, si le penchant DE TON CŒUR EST PLUS FORT QUE ta raison, j'aurois tort de l","usage, si une seule affection DE TON CŒUR EST PLUS FORTE QUE tout cet appareil moral, que ","(5604, 5633)","(355030, 355060)"
Louvet_Annee_0,"ent? eh vous le demande-t-on? NE VOUS AI-JE PAS DIT QUE JAMAIS ON NE vous le demanderait? 
Plus j'","Et c'est vous qui la répétez! NE VOUS AI-JE PAS DIT QUE JE NE vous croyais pas? -mais, mada","(260775, 260813)","(37330, 37361)"
Marmontel_Contes_0,"mer des sociétés différentes. ILS NE SE CHERCHAIENT, NI NE S'ÉVITAIENT, se rencontraient sans peine ",vi entre Fonrose et Adélaïde. ILS NE SE CHERCHAIENT NI NE S'ÉVITAIENT l'un l'autre; des regards où ,"(127883, 127923)","(331915, 331954)"
Riccoboni_LettreJuliette_0,"te du bonheur, je me voyais l'OBJET DE SES SOINS, DE SES PRÉFÉRENCES! Ah! pourquoi, pourquoi me su","'il est flatteur de se voir l'OBJET DE SES SOINS, DE SES PRÉFÉRENCES; d'imaginer qu'il ressent tou","(48598, 48636)","(55390, 55428)"
Riccoboni_LettreJuliette_1,"t et mouillant de ses pleurs: AU NOM DE TOUT CE QUI VOUS EST CHER, Madame, lui dit-il d'un ton ","nsentez à m'entendre, madame; AU NOM DE TOUT CE QUI VOUS EST CHER, permettez-moi de vous voir, ","(154792, 154827)","(55390, 55428)"
Riccoboni_LettresAdelaide_0,"se rappeler un véritable ami, DE CHERCHER DE LA CONSOLATION DANS SON cœur. J'aurois moins de peine",de ma sœur ne me permettait paS DE CHERCHER DE LA CONSOLATION DANS Son amitié; la découverte du se,"(37543, 37581)","(92688, 92726)"
Riccoboni_MissJenny_0,"tants de la Grande-Bretagne. 
PENDANT LE COURS DE MES PREMIERS VOYAGES je pensai partout comme je pe","role, et s'adressant à moi: "" PENDANT LE COURS DE MES PREMIERS VOYAGES, dit-il, je connus Sir James ","(50344, 50384)","(390497, 390537)"
Rousseau_Julie_0,"i la sensibilise est un bien? PEUT-ÊTRE AVEZ-VOUS RAISON DE LA redouter, de fuir la solitude",: “Courez à la fortune”; mais PEUT-ÊTRE AVEZ-VOUS RAISON DE LA dédaigner avec tant de trésor,"(200013, 200045)","(741177, 741209)"
Voltaire_Micromegas_0,ent? eh vous le demande-t-on? NE VOUS AI-JE PAS DIT QUE jamais on ne vous le demander, y a ici un peu de confusion; NE VOUS AI-JE PAS DIT QUE dansmes voyages j'avais toujo,"(260775, 260800)","(18140, 18165)"
