,Text in Crebillon_Conte,Text in B,Location in Crebillon_Conte,Location in B
Benoist_Elisabeth_0,'avait très-vivement aimée: s'IL ÉTAIT POSSIBLE QUE CE NE FÛT que la vanité du prince qui l," incapable de détour. Mais, s'IL ÉTAIT POSSIBLE QUE CE NE FÛT qu'un artifice de sa part, je","(170929, 170960)","(229393, 229424)"
Benoist_Elisabeth_1,"Je suis si confuse, seigneur, DE CE QUI VIENT DE SE PASSER, dit l'oie à Schézaddin, que ","; mais si tu avais été témoin DE CE QUI VIENT DE SE PASSER il y a une heure, tu me trouv","(252124, 252152)","(229393, 229424)"
Benouville_Pensees_0,"nt être, nous fassent oublier CE QUE NOUS VOULONS QU'ON NOUS CROIE, je me souvins, malgré mon tr","s discours nous font paraître CE QUE NOUS VOULONS QU'ON NOUS CROIE, mais nos actions nous montre","(479043, 479079)","(5834, 5870)"
Boufflers_Reine_0,"'aimer avec tant de vivacité? CE N'EST PAS CELA QUE JE PRÉTENDS dire, répondit le favori. Je ","drais bien être votre frère: (CE N'EST PAS CELA QUE JE VOULAIS dire,) et moi, je voudrais bi","(556549, 556582)","(3456, 3488)"
Cazotte_Diable_0,"épaules, et ne répondis rien. NOUS GARDÂMES QUELQUE TEMPS LE SILENCE. ENFIN, sire, me dit-elle, il est ta","ment le chemin de Naples. 
IV NOUS GARDÂMES QUELQUE TEMPS LE SILENCE ; ENFIN un des amis de Soberano le ro","(504882, 504927)","(21524, 21570)"
Charriere_Femmes_0,"iquement, répliqua-t-elle; et DANS CE QUE JE VIENS DE DIRE, il n'était nullement questio","rt prend la plume) Je ne vois DANS CE QUE JE VIENS DE DIRE que trois ou quatre articles,","(262923, 262951)","(211545, 211573)"
Chevrier_Colporteur_0," par les questions de la fée, JE SUIS SURPRIS QUE VOUS NE M'ENTENDIEZ pas. Rien n'est, à mon sens, "," livre, repartit la marquise? JE SUIS SURPRISE QUE VOUS NE ME L'AYEZ pas apporté dans le temps. C'","(202052, 202091)","(133768, 133806)"
Cottin_Claire_0,"x genoux de Tout-Ou-Rien, lui PRIT LA MAIN ET LA BAISA AVEC autant de transport que si l'"," sons au hasard. Frédéric m'a PRIS LA MAIN, ET LA BAISANT AVEC respect : « Est-il vrai, est-","(102309, 102338)","(51932, 51964)"
Cottin_Claire_1,", dût cet aveu tourner contre MOI, JE N'AI PAS LA FORCE DE vous le refuser. Ah! S'écria-","monde ici, répond-elle ? Pour MOI, JE N'AI PAS LA FORCE DE supporter la vue d'une plaie ","(534752, 534780)","(51932, 51964)"
Crebillon_Atheniennes_0, Je n'en ferai pourtant rien; CE N'EST PAS QUE JE NE SENTE ce procédé jusques au fond du,"œur, qu'une méprise de plus . CE N'EST PAS QUE JE NE SENTE que la promptitude dont jusqu","(193516, 193544)","(109298, 109326)"
Crebillon_Atheniennes_1,"hes? Dit le sultan; attendez: JE SUIS L'HOMME DU MONDE LE PLUS TROMPÉ, SI ELLES NE PARLENT pas comme nous. On ne peut pa","t'il répondu en soûpirant; et JE SUIS L'HOMME, DU MONDE, LE PLUS TROMPÉ SI ELLE NE LUI a pas inspiré la même passion","(224590, 224650)","(109298, 109326)"
Crebillon_Atheniennes_2,"ai dans le camp, où je passai LA PLUS GRANDE PARTIE DE LA NUIT à les haranguer, et à tâcher ",idice à Alcibiade. J'ai pâssé LA PLUS GRANDE PARTIE DE LA NUIT à faire des réflexions qui m',"(327531, 327563)","(109298, 109326)"
Crebillon_Atheniennes_3,"aurait après menée fort loin: MAIS SI VOUS ME PERMETTEZ DE VOUS LE DIRE, il me semble que vous avez é","ts, sans doute fort généreux, MAIS, SI VOUS ME PERMETTEZ DE VOUS LE DIRE, plus absurdes encore, ne son","(398020, 398061)","(109298, 109326)"
Crebillon_Atheniennes_4,s les expériences que je fis. JE N'AI PAS BESOIN DE VOUS DIRE qu'aucune me réussit; et je c,"s savez ce qui me conduisait, JE N'AI PAS BESOIN DE VOUS DIRE que le désirs de le soumettre","(427017, 427048)","(109298, 109326)"
Crebillon_Atheniennes_5,"te encore plus d'une affaire, DONT PEUT-ÊTRE VOUS NE VOUS TIREREZ pas si aisément que de celle-",", du danger le plus grand, et DONT, PEUT-ÊTRE VOUS NE VOUS DEFFIEZ pas assez, est de vous flatte","(624434, 624469)","(109298, 109326)"
Crebillon_Nuit_0,"it. Mais, madame, lui dit-il, IL EST, PERMETTEZ-MOI DE VOUS LE DIRE, un peu singulier que vous ne","ies, vous y tiendriez encore. IL EST, PERMETTEZ-MOI DE VOUS LE DIRE, bien singulier que m'aimant ","(163174, 163211)","(66400, 66437)"
Crebillon_Nuit_1," faire même le moindre bruit. QUAND TOUT CE QUE VOUS DITES SERAIT VRAI, reprit celle qui avait déjà ","CLITANDRE. 
Eh bien ! Madame, QUAND TOUT CE QUE VOUS DITES SERAIT VRAI, je n'en voudrais pas plus av","(218099, 218139)","(66400, 66437)"
Crebillon_Nuit_2,"Secondement, et d'ailleurs... ENFIN, QUE VOULEZ-VOUS QUE JE VOUS DISE? Je n'aime pas cela moi. Mais"," me crusse obligé de prendre. ENFIN, QUE VOULEZ-VOUS QUE JE VOUS DISE ? La tête me tourna, et si bi","(302872, 302911)","(66400, 66437)"
Crebillon_Nuit_3,"ois mes forces; je n'oubliais RIEN ENFIN DE TOUT CE QUI POUVAIT ranimer mes sujets accablés, ","i à ses genoux, et n'épargnai RIEN ENFIN DE TOUT CE QUI POUVAIT lui prouver que j'étais accab","(315251, 315284)","(66400, 66437)"
Diderot_Jacques_0,"e. Schézaddin en la revoyant; POUSSA UN CRI DE SURPRISE ET DE JOIE, et courut vers elle avec tou","eut pas plus tôt aperçu, que, POUSSANT UN CRI DE SURPRISE ET DE JOIE, il me dit : « Eh filleul, te","(51817, 51853)","(353077, 353115)"
Diderot_Jacques_1,"dant long-temps je l'ai fait, IL N'EN SERA NI PLUS NI MOINS. Ma fille qui était née avec ","us aurez assommé votre fille, IL N'EN SERA NI PLUS NI MOINS. Tout s'arrangera pour le mie","(267328, 267357)","(353077, 353115)"
Diderot_Neveu_0,"rer. Sire, répondit le visir, JE NE DEMANDERAIS PAS MIEUX QUE DE pouvoir faire ce que voudrait","à, car c'est le vrai. 
MOI.---JE NE DEMANDERAIS PAS MIEUX QUE DE vous en croire, si je n'étais","(454078, 454112)","(124732, 124766)"
Diderot_Religieuse_0,que vous recevez vos visites; ET JE VOUS AVOUE QUE JE NE saurais comment vous rendre g,ier moment ; elle m'éloigne ; ET JE VOUS AVOUE QUE JE NE suis pas en état de soutenir ,"(110055, 110081)","(423542, 423568)"
Dorat_Malheurs_0,"ne me montrezplus vos doutes. JE NE SUIS PAS ASSEZ HEUREUX POUR en avoir, madame, repartit le","nes, je ne l'ai jamais aimée, JE NE SUIS PAS ASSEZ HEUREUX POUR vous en offrir le sacrifice. ","(249330, 249363)","(146233, 146266)"
Dorat_Sacrifices_0,"e crois, dieume pardonne, que JE NE SAIS CE QUE JE DIS. Vous avez tort, dit la sulta"," c'est de lui écrire et de... JE NE SAIS CE QUE JE DIS; mais vous êtes indulgent, n'","(253935, 253959)","(9699, 9723)"
Dorat_Sacrifices_1,"pour en sortir plus contente. JE N'AI PAS, JE CROIS, BESOIN DE vous dire que j'étais d'une h"," moins qu'il sera possible... JE N'AI PAS, JE CROIS, BESOIN DE signer pour être reconnu. 
PA","(403238, 403270)","(9699, 9723)"
Dorat_Sacrifices_2,"i, cher prince, je vous aime! JE VOUS L'AI DIT, JE VOUS LE RÉPÈTE encore; et ne me reprocherois","me pas... n'importe... ce que JE VOUS AI DIT, JE VOUS LE RÉPÈTE; et si vous suivez mes consei","(554559, 554594)","(9699, 9723)"
Florian_Estelle_0,"aient déjà entretenus. Serrés DANS LES BRAS L'UN DE L'AUTRE, ILS soupiraient, et mêlaient à l'"," en se voyant, se précipitent DANS LES BRAS L'UN DE L'AUTRE; ILS restent long-temps embrassés ","(121993, 122027)","(129976, 130010)"
Fourqueux_Zely_0," seul. Cette fée est franche; ET JE SUIS L'HOMME DU MONDE LE PLUS trompé, si ce propos-là ne lu","le, Madame, lui répondis-je, “ET JE SUIS L'HOMME DU MONDE LE PLUS “heureux et le plus amoureux.","(166977, 167012)","(128678, 128713)"
Genlis_Adele_0,"lheureux qu'elle a pour vous, MAIS EN MÊME TEMPS, IL EST IMPOSSIBLE qu'elle ne l'use pas, et que ","ce, la grâce et la gaucherie; MAIS EN MÊME-TEMPS IL EST IMPOSSIBLE d'avoir plus d'esprit à seize","(139226, 139263)","(935292, 935328)"
Genlis_Adele_1,"autant de tout le reste: car, EN VÉRITÉ, JE NE CROIS PAS QUE depuis que l'on fait des cont","'on ne m'avait vue au bal, et EN VÉRITÉ, JE NE CROIS PAS QUE j'y retourne jamais. Ô l'insi","(437437, 437467)","(935292, 935328)"
Genlis_Chevaliers_0," dans son cœur. Livré enfin à TOUT CE QUE L'AMOUR PEUT INSPIRER DE désirs, de crainte et de dése",epris la parole pour lui dire TOUT CE QUE L'AMOUR PEUT INSPIRER DE passionné; ses larmes s'arrêt,"(236604, 236640)","(326085, 326121)"
Genlis_Chevaliers_1,"ortant de découvrir la cause: MAIS CE FUT EN VAIN QUE JE la cherchai, et tout ce que j"," tourner entièrement la tête. MAIS CE FUT EN VAIN QUE JE renouvelai mes questions, et ","(287225, 287251)","(326085, 326121)"
Genlis_Chevaliers_2,"nion qu'elle eût d'elle-même, IL NE LUI FUT PAS POSSIBLE DE présumer qu'elle eût fait sur","hant de cette étrange figure, IL NE LUI FUT PAS POSSIBLE DE soupçonner que ce pût être Ar","(572534, 572563)","(326085, 326121)"
Gerard_Comte_0,"une fête nocturne. Toutes les PERSONNES DE L'UN ET DE L'AUTRE SEXE que j'y admis, devaient y êtr","ercle brillant d'une foule de PERSONNES DE L'UN ET DE L'AUTRE SEXE, qui étalent à l'envi tous le","(394118, 394154)","(496447, 496483)"
Kimber_Thompson_0,"ensible, s'il n'eût pas pensé DE LA FAÇON DU MONDE LA PLUS extraordinaire, sur ce mouvem","usique, nous passâmes le jour DE LA FAÇON DU MONDE LA PLUS gracieuse. Il y eut le lendem","(2391, 2419)","(563212, 563240)"
Kimber_Thompson_1,"upportable cette tranquillité APRÈS LAQUELLE IL AVAIT SOUPIRÉ SI LONG-TEMPS. Sombre et rêveur,cherchant p",", de former l'heureuse union, APRÈS LAQUELLE IL AVAIT SOUPIRÉ SI LONG-TEMPS. J'appris toutes ces particul","(207291, 207336)","(563212, 563240)"
Kimber_Thompson_2,"e des mines, et de me lorgner DE LA FAÇON DU MONDE LA PLUS vive et la plus indécente. Je",montrai ce congé. Il me reçut DE LA FAÇON DU MONDE LA PLUS polie; je n'en fus pas surpri,"(240955, 240983)","(563212, 563240)"
Kimber_Thompson_3,e ne puis vous exprimer toute LA SATISFACTION QUE J'AI DE LE VOIR finir. ô beaux esprits! Dit l,"mon cœur, que toute entière à LA SATISFACTION QUE J'AI DE LE VOIR, j'oublie presque tous les ac","(243141, 243176)","(563212, 563240)"
Laclos_Liaisons_0,"hoses, et nous en dire moins. JE NE SAIS SI JE ME FAIS BIEN entendre; mais je crois que m"," reste, nous nous entendons. 
JE NE SAIS SI JE FAIS BIEN de vous dire qu'il m'a paru v","(166432, 166461)","(480508, 480534)"
Laclos_Liaisons_1, Je n'en ferai pourtant rien; CE N'EST PAS QUE JE NE SENTE ce procédé jusques au fond du,tions de grâces à lui rendre. CE N'EST PAS QUE JE NE SENTE fort bien qu'il vous eût été ,"(193516, 193544)","(480508, 480534)"
Laclos_Liaisons_2,"ent je le crois; mais encore, JE NE DOUTE PAS QUE CE NE SOIT la plus belle main de l'unive"," retour de Valmont. Pour moi, JE NE DOUTE PAS QUE CE NE SOIT, en grande partie, l'ouvrage ","(585035, 585065)","(480508, 480534)"
Lagrave_Zabeth_0,"empt d'ennui. Schézaddin, qui NE POUVAIT SE RÉSOUDRE À S'ÉLOIGNER D'UN LIEU que les plaisirs dont il y av", rage était dans son cœur; il NE POUVAIT SE RÉSOUDRE À S'ÉLOIGNER D'UN LIEU où il laissait ce qu'il avait,"(120580, 120625)","(125958, 126003)"
Lagrave_Zabeth_1,aché à cette confidence; mais ELLE ÉTAIT DANS UN DE CES MOMENT OÙ l'on se reproche comme un cri,e ne vous verrai plus! ...... ELLE ÉTAIT DANS UN DE CES MOMENT OÙ l'âme exaltée ne connaît plus,"(126447, 126482)","(125958, 126003)"
LaPlace_Collection_0,"ment, et d'ailleurs... enfin, QUE VOULEZ-VOUS QUE JE VOUS DISE? Je n'aime pas cela moi. Mais",", les yeux baignés de larmes, QUE „VOULEZ-VOUS QUE JE VOUS DISE? et que puis-je „répondre à u","(302879, 302911)","(248250, 248283)"
LaPlace_Collection_1,"fus sur le point de reprendre TOUT CE QUE JE VENAIS DE LUI DIRE: mais, sans compter que nous ",", et certifia à madame Duclos TOUT CE QUE JE VENAIS DE LUI DIRE. Elle ne répondit: plus que p","(390401, 390434)","(248250, 248283)"
LaPlace_Collection_2," cet aveu tourner contre moi, JE N'AI PAS LA FORCE DE VOUS le refuser. Ah! S'écria-t-il,"," „ma chère bonne, lui dis-je, JE N'AI PAS LA FORCE „DE VOUS parler; mais soyez assurée qu","(534757, 534785)","(248250, 248283)"
Leonard_Lettres_0,"aient déjà entretenus. Serrés DANS LES BRAS L'UN DE L'AUTRE, ILS soupiraient, et mêlaient à l'",: nous nous sommes précipités DANS LES BRAS L'UN DE L'AUTRE: IL avait peine à respirer. Est-e,"(121993, 122027)","(158740, 158773)"
Lesuire_Aventurier_0,patience que de vous raconter TOUT CE QUI SE PASSA DANS CE temps de trouble et de terreu,que façon le cours de ma vie. TOUT CE QUI SE PASSE DANS CE donjon terrible doit être cac,"(314857, 314885)","(662911, 662939)"
Lesuire_Crime_0,re! Tantôt on ne lui laissait PAS LE TEMPS DE FAIRE DES RÉFLEXIONS; tantôt on l'interrompait. Au,"e nourrir me sauver. Je n'avaiS PAS LE TEMPS DE FAIRE DES RÉFLEXIOns. 
J'examinai bien ma porte;","(25327, 25363)","(524876, 524912)"
Loaisel_Ainsi_0," figure a toujours tout gâté: SUR LA TERRE, ET DANS LES CIEUX, par-tout enfin, où j'ai été ","s les airs, au fond des eaux, SUR LA TERRE ET DANS LES CIEUX, tout est amour, affinité, at","(525728, 525759)","(39753, 39783)"
Louvet_Annee_0,"zaddin en la revoyant; poussa UN CRI DE SURPRISE ET DE JOIE, et courut vers elle avec tou",ai dans ma chambre à coucher. UN CRI DE SURPRISE ET DE JOIE m'échappa: ce prétendu vicomt,"(51824, 51853)","(250703, 250732)"
Louvet_Annee_1,donner un rendez-vous secret; MAIS COMME IL N'AURAIT PAS ÉTÉ DÉCENT QUE j'eusse paru savoir tous les ,"Ducange, mon ami, c'est vous; MAIS COMME IL N'AURAIT PAS ÉTÉ DÉCENT QUE vous vinssiez seule à Paris, ","(466158, 466199)","(250703, 250732)"
Louvet_Fin_0," Ah, madame! S'écria l'autre, SONGEZ-VOUS BIEN À CE QUE VOUS DITES, et votre haine peut-elle vou","t de cavalier? Moi, Monsieur? SONGEZ-VOUS BIEN À CE QUE VOUS DITES? Ah! cela est trop fort!…—Mad","(218580, 218616)","(18203, 18239)"
Louvet_Fin_1," sur les doigts. Oui, madame, RÉPONDIT-IL, DE L'AIR DU MONDE LE PLUS triste. Vous concevez donc, c","emanda la comtesse.—Pour moi, RÉPONDIT-IL DE L'AIR DU MONDE LE PLUS satisfait.—Monsieur, j'en sui","(358902, 358940)","(18203, 18239)"
Louvet_Fin_2,"ien que, de façon ou d'autre, CE N'EST PAS LA PREMIÈRE FOIS QUE cela lui arrive. 
histoire de", le croyais. Fatale marquise! CE N'EST PAS LA PREMIÈRE FOIS QUE tu fais tous nos malheurs!… L,"(371773, 371806)","(18203, 18239)"
Marmontel_Contes_0,"zaddin en la revoyant; poussa UN CRI DE SURPRISE ET DE JOIE, et courut vers elle avec tou","courus vite l'embrasser, avec UN CRI DE SURPRISE ET DE JOIE. Eh bien! Petite folle, me di","(51824, 51853)","(191866, 191895)"
Marmontel_Contes_1," me faire cette question, que JE NE SAIS PAS CE QUE C'EST QU'UN conte! Est-ce que l'on doit j", quel crime vous avez commis?-JE NE SAIS PAS CE QUE C'EST QU'UN crime: mais tout ce que nous ,"(302450, 302483)","(191866, 191895)"
Marmontel_Incas_0,"e. Schézaddin en la revoyant; POUSSA UN CRI DE SURPRISE ET DE JOIE, ET courut vers elle avec tout l'", les voiles d'un vaisseau. Il POUSSE UN CRI DE SURPRISE ET DE JOIE; ET tous les yeux se tournent ver,"(51817, 51857)","(202947, 202987)"
Marmontel_Incas_1,"ans les yeux de son amant que DE LA SURPRISE ET DE LA JOIE. Il lui sembla même, à l'ince","près arrive, dans l'égarement DE LA SURPRISE ET DE LA JOIE, ce fils si tendre et si chér","(127586, 127614)","(202947, 202987)"
Mercier_An_0,"zaddin en la revoyant; poussa UN CRI DE SURPRISE ET DE JOIE, et courut vers elle avec tou","r du nouveau monde! 
Je jetai UN CRI DE SURPRISE ET DE JOIE.---Oui, me répondit-on avec u","(51824, 51853)","(144682, 144711)"
Mercier_Jezennemours_0,"émoigna tant d'amour, qu'elle EUT TOUTES LES PEINES DU MONDE À SE souvenir de ses résolutions. ","dait à ce repas. Jezennemours EUT TOUTES LES PEINES DU MONDE À SE retirer: lui, qui, dans toute","(89397, 89432)","(37805, 37840)"
Mercier_Jezennemours_1,patience que de vous raconter TOUT CE QUI SE PASSA DANS CE temps de trouble et de terreu,"lui répétai-je, vous exprimer TOUT CE QUI SE PASSE DANS CE cœur; il n'est que trop vrai ","(314857, 314885)","(37805, 37840)"
Mercier_Jezennemours_2,", ce jour à jamais mémorable, QUE JE VIS POUR LA PREMIÈRE FOIS le général ennemi, qui, super","la chaise de poste. Ce fut-là QUE JE VIS, POUR LA PREMIÈRE FOIS, Monval. Il était seul; il me","(326566, 326598)","(37805, 37840)"
Mirabeau_Conversion_0," yeux de la fée, il continua, DU PLUS GRAND SANG-FROID DU MONDE, l'examen dont elle aurait vo","lève et la jette à vingt pas, DU PLUS GRAND SANG-FROID DU MONDE : mon homme, tout étonné, se ","(46984, 47017)","(48195, 48228)"
Mirabeau_Conversion_1,"aient déjà entretenus. Serrés DANS LES BRAS L'UN DE L'AUTRE, ILS soupiraient, et mêlaient à l'","ent seuls ; longtemps pressés DANS LES BRAS L'UN DE L'AUTRE, IL nous semblait que c'était pou","(121993, 122027)","(48195, 48228)"
Mirabeau_Rideau_0,"ddin se levant avec vivacité, LA PRIT DANS SES BRAS ET LA porta dans un petit apparteme",", je l'attirai sur le lit; il LA PRIT DANS SES BRAS ET LA mit à côté de moi; je la trou","(122609, 122636)","(74702, 74729)"
Nerciat_Aphrodites_0,"Je suis si confuse, seigneur, DE CE QUI VIENT DE SE PASSER, dit l'oie à Schézaddin, que ","e malheureux Comte avait été tÉMOIN DE CE QUI VIENT DE SE passer dans l'enceinte, si mal","(252124, 252152)","(277805, 277833)"
Nerciat_Etourdi_0,"s doute, reprit Schézaddin; l'HOMME DU MONDE QUI AURAIT LE MOINS à perdre, serait désespéré de","e qu'on appelle le moment . L'HOMME DU MONDE QUI AURAIT LE MOINS connu les femmes, l'aurait ég","(266481, 266515)","(169966, 170000)"
Nerciat_Felicia_0,"ns une si vive émotion, qu'il AVAIT TOUTES LES PEINES DU MONDE À SE tenir sur ses jambes; et l'oi","mais qui, malgré ses avances, AVAIT TOUTES LES PEINES DU MONDE À SE faufiler avec la soi-disant b","(234886, 234923)","(380481, 380518)"
Nerciat_Felicia_1," l'impatience d'être heureux (QUE DE LA MEILLEURE FOI DU MONDE, il prenait pour de l'amour) ", quel singulier hasard tandis QUE DE LA MEILLEURE FOI DU MONDE je veux m'empresser à secouri,"(464224, 464256)","(380481, 380518)"
Popeliniere_Daira_0,"ai dans le camp, où je passai LA PLUS GRANDE PARTIE DE LA NUIT à les haranguer, et à tâcher ",Nous passames elle etamp; moi LA PLUS GRANDE PARTIE DE LA NUIT à redire les mêmes choses; je,"(327531, 327563)","(43782, 43814)"
Prevost_Monde_0,patience que de vous raconter TOUT CE QUI SE PASSA DANS CE temps de trouble et de terreu,"urprend dans ses caresses, et TOUT CE QUI SE PASSE DANS CE cœur volage. Proprement il n'","(314857, 314885)","(337284, 337312)"
Prevost_Monde_1," du soupçon, n'oublia rien de TOUT CE QUI POUVAIT LA FORTIFIER DANS son esprit; et sans paraître ", et par conséquent d'éloigner TOUT CE QUI POUVAIT LA FORTIFIER DANS la sienne. Il s'y prit avec t,"(640526, 640563)","(337284, 337312)"
Puttelange_Roi_0,"i paraissait si honteuse, que SON PREMIER SOIN FUT DE FAIRE ÉVANOUIR le fantôme qui lui avait caus",res pour l'exercer dignement. SON PREMIER SOIN FUT DE FAIRE ENTERRER le roi défunt. Les seigneurs ,"(28680, 28718)","(27646, 27684)"
Retif_Paysanne_0,"vous n'eussiez assez mauvaise OPINION DE MOI, POUR CROIRE QUE JE puis sans aimer, accorder des","; sans cela, ayez assez bonne OPINION DE MOI, POUR CROIRE QUE JE l'observerais. Je ne fais don","(27439, 27473)","(470012, 470046)"
Retif_Paysanne_1," pense; plus il me semble que JE NE SAIS CE QUE JE VOUDRAIS. à tout prendre pourtant, c'e",! Edmond m'a bouleversé le sanG ; JE NE SAIS CE QUE JE fais. Tout à l'heure j'ai pris,"(55352, 55381)","(470012, 470046)"
Riccoboni_LettreJuliette_0,"l, c'est que vous me demandez CE QUE JE NE VEUX PAS DIRE. Assurément, répliqua-t-elle,",jamais pouvoir la finir; tout CE QUE JE NE VEUX PAS DIRE vient s'offrir à mon idée; le,"(44887, 44913)","(97614, 97640)"
Riccoboni_LettresAdelaide_0," pense; plus il me semble que JE NE SAIS CE QUE JE VOUDRAIS. à tout prendre pourtant, c'e","on... à présent, je voudrais... JE NE SAIS CE QUE JE VOUDRAis. Encore si vous étiez ici! ","(55352, 55381)","(224619, 224648)"
Riccoboni_MissJenny_0,"été à tout autre oie que lui, DANS LES CIRCONSTANCES OÙ IL SE TROUVAIT. Il espérait même, en cas que","s devoir lui représenter, que DANS LES CIRCONSTANCES OÙ IL SE TROUVAIT, son mariage avec moi était u","(592208, 592248)","(177950, 177990)"
Rousseau_Emile_0,"'autruche, vous concevez bien QUE J'EUS TOUTES LES PEINES DU MONDE à la croire vraie; car, enfin","mp; se défiait si peu de moi, QUE J'EUS TOUTES LES PEINES DU MONDE à lui faire apercevoir que je","(323115, 323151)","(327980, 328016)"
Rousseau_Julie_0, que j'en voudrais retrouver; CE N'EST PAS QUE JE NE SACHE QUE c'est précisément ce qui ne s,en moi ce dangereux penchant. CE N’EST PAS QUE JE NE SACHE QUE ton cœur est fait pour le mie,"(316319, 316351)","(163430, 163462)"
Rousseau_Julie_1,ertir le roi pour le conseil. IL PASSA LE RESTE DE LA JOURNÉE à s'impatienter immodérement ,"îner, on amène les enfants et ILS PASSENT LE RESTE DE LA JOURNÉE à la vigne. Avec quelle joie ","(350039, 350070)","(163430, 163462)"
Rousseau_Julie_2,s les expériences que je fis. JE N'AI PAS BESOIN DE VOUS DIRE qu'aucune me réussit; et je c, nouvelles avec impatience et JE N’AI PAS BESOIN DE VOUS DIRE combien vos lettres ont fait ,"(427017, 427048)","(163430, 163462)"
Sade_120_0," affaire; mais, en ce cas-là, VOUS AURIEZ BIEN PU VOUS DISPENSER DE me parler de lui. Comme ce pr","é mademoiselle,"" dit Durcet, ""VOUS AURIEZ BIEN PU VOUS DISPENSER DE relever ainsi les enfantillag","(454469, 454506)","(343435, 343472)"
Sade_120_1," ses mauvaises plaisanteries, IL N'EN FUT PAS DE MÊME DES regards tendres que, malgré s","emmes, il ne les toucha pas.) IL N'EN FUT PAS DE MÊME DES trois autres amis, relativeme","(514680, 514707)","(343435, 343472)"
Sade_Justine_0," pense; plus il me semble que JE NE SAIS CE QUE JE VOUDRAIS. à tout prendre pourtant, c'e","xcite cruellement, me dit-il, JE NE SAIS CE QUE JE VOUDRAIS lui faire. 
--Oh monsieur, di","(55352, 55381)","(516228, 516257)"
Sade_Philosophie_0,"dées et de mes sentiment, que JE NE PUIS VOUS DIRE À QUEL POINT je suis surprise, et choquée ","EUGÉNIE, d'abord à Dolmancé : JE NE PUIS VOUS DIRE À QUEL POINT vous me persuadez ; (s'adress","(173442, 173475)","(131646, 131679)"
Segur_Correspondance_0,"ensible, s'il n'eût pas pensé DE LA FAÇON DU MONDE LA PLUS extraordinaire, sur ce mouvem","e; il me remercia après cela, DE LA FAÇON DU MONDE LA PLUS touchante, de l'aimer encore.","(2391, 2419)","(592140, 592168)"
