,Text in Rousseau_Julie,Text in B,Location in Rousseau_Julie,Location in B
Benoist_Elisabeth_1," une fois, une seule fois, et PASSER LE RESTE DE MES JOURS À CONTEMPLER de loin ton asile, à t’adorer","arier, que j'étais réfolue de PASSER LE RESTE DE MES JOURS AUPRÈS de lui, et dans l'état de fil","(128089, 128130)","(368744, 368770)"
Benouville_Pensees_0,t valets sentent mutuellement QUE CE N’EST PAS LA PEINE DE se faire estimer les uns des ,"ire, sont devenus si communs, QUE CE N'EST PAS LA PEINE DE fatiguer les yeux par une lec","(926280, 926308)","(4459, 4487)"
Benouville_Pensees_1,"seur. Au contraire, on rebute CEUX QUI NE SONT BONS QUE POUR EUX. Pourquoi, leur dit-on, accor","ns. Pour moi je nomme avares, CEUX QUI NE SONT BONS QUE POUR EUX, de quelque manière qu'ils se","(932713, 932747)","(4459, 4487)"
Bernardin_Paul_0,ulier encore que vous donniez VOUS-MÊME DANS LE DÉFAUT QUE VOUS reprochez aux modernes auteur,"enir à tout. 
MOI Vous tombez VOUS-MÊME DANS LE DÉFAUT QUE VOUS leur reprochez. La passion vo","(582161, 582194)","(27961, 27994)"
Bernardin_Paul_1,"nt, j’ignore ce qu’il eût été POUR MOI, JE NE SAIS CE QUE j’aurois été moi-même. Tout c",PAUL Ma mère me l'a dit ; car POUR MOI JE NE SAIS CE QUE c'est que la naissance. Je ne,"(1320844, 1320871)","(27961, 27994)"
bible_0,oi-même. Je suis convaincu qu’IL N’EST PAS BON QUE L’HOMME SOIT SEUL. Les âmes humaines veulent êt,"r, l’Éternel Dieu avait dit : IL N’EST PAS BON QUE L’HOMME SOIT
SEUL ; je lui ferai une aide sembl","(418816, 418854)","(11754, 11792)"
bible_1,"elle. A l’égard de la prière, TOUS LES MATINS ET TOUS LES SOIRS je fais la mienne à haute voi","re ;

30 et pour se présenter TOUS LES MATINS ET TOUS LES SOIRS, afin de
célébrer et de louer","(1198774, 1198807)","(11754, 11792)"
bible_2,ui semble en ce moment étendu SUR LA FACE DE LA TERRE; ENFIN le voile de brouillard que le,"es royaumes des pays qui sont SUR LA FACE
DE LA TERRE.

18 ENFIN son trafic et son salaire ser","(1245329, 1245359)","(11754, 11792)"
Charriere_Femmes_0," mon ami; je quitte la plume, MAIS CROYEZ QUE JE NE VOUS QUITTE pas. 
BILLET J’écris, par un ","e n'y pas venir très souvent; MAIS CROYEZ QUE JE NE VOUS NÉGLIGERAI pas, et que j'irai vous trouv","(119685, 119718)","(140413, 140450)"
Chevrier_Colporteur_0,"posez les impressions réunies DE CE QUE JE VIENS DE VOUS décrire, et vous aurez quelqu","gazettes. Concluez, mon fils, DE CE QUE JE VIENS DE VOUS dire, que vous ne devez pas i","(98919, 98945)","(234890, 234916)"
Constant_Laure1_0,"ent ni estime, mais seulement DE LA POLITESSE ET DE L’USAGE DU MONDE; car d’ailleurs il n’est pas ",i se sont ruinés ont toujours DE LA POLITESSE ET DE L'USAGE DU MONDE; on voit à leur air triste et,"(524342, 524380)","(37359, 37397)"
Constant_Laure1_1,"rmir la sécurité du présent. 
JE SUIS ENTRÉ DANS TOUS LES DÉTAILS du ménage et j’ai par-tout vu",é avec le plus grand intérêt; JE SUIS ENTRÉE DANS TOUS LES DÉTAILS; j'ai voulu aller voir le mal,"(1126822, 1126857)","(37359, 37397)"
Constant_Laure2_0,"m’est pas possible. 
Avant de VOUS DIRE CE QUE JE PENSE DE CE fameux théâtre, que je vous r"," J'aurois beaucoup de peine à VOUS DIRE CE QUE JE PENSE DE CE mariage, et quelles sont nos ","(534450, 534481)","(32929, 32960)"
Cottin_Claire_0,"me! et toi, ma douce amie! et TOI, LA BIEN-AIMÉE DE MON CŒUR! toi dont à peine des mon enf"," enfants ! Et toi, mon Élise, TOI LA BIEN-AIMÉE DE MON CŒUR, quand viendras-tu, par ta pr","(361938, 361968)","(52627, 52656)"
Cottin_Claire_1,"JULIE Je vouloix vous décrire LA SCÈNE QUI VIENT DE SE PASSER, et qui a produit le billet q","ès elle. Comment vous peindre LA SCÈNE QUI VIENT DE SE PASSER ? Aujourd'hui, pour la premiè","(633288, 633319)","(52627, 52656)"
Cottin_Claire_2,"issez l’un ou l’autre. Alors, PRENANT LA MAIN DE SA FEMME ET LA mienne, il me dit en la serra",à vous repentir ? » M. d'Albe PREND LA MAIN DE SA FEMME ET LA couvre de larmes ; elle conti,"(845830, 845863)","(52627, 52656)"
Crebillon_Atheniennes_0,reprochez avec la même équité LE SOIN QUE JE PRENDS DE VOUS sauver des combats pénibles a,"ous adorerois toujours! Mais, LE SOIN QUE JE PRENDS DE VOUS dire à quel point vous m'êtes","(37988, 38017)","(464990, 465019)"
Crebillon_Atheniennes_1,"tendre et chère Julie, et sur LE RÉCIT DE CE QUI VIENT DE SE passer, connais, et partage l","e, lorsque je vous aurai fait LE RÉCIT DE CE QUI VIENT DE SE pâsser; et, peut-être, pourre","(277665, 277695)","(464990, 465019)"
Crebillon_Atheniennes_2,depuis près de six ans avec l’HOMME DU MONDE QUI M’EST LE PLUS CHER. Mon odieux secret me pèse de,"les dépôser dans le sein de l'HOMME, DU MONDE, QUI M'EST LE PLUS CHER. Je crois, au reste, que, dan","(791204, 791241)","(464990, 465019)"
Crebillon_Conte_0,en moi ce dangereux penchant. CE N’EST PAS QUE JE NE SACHE QUE ton cœur est fait pour le mie, que j'en voudrais retrouver; CE N'EST PAS QUE JE NE SACHE QUE c'est précisément ce qui ne s,"(163430, 163462)","(316319, 316351)"
Crebillon_Conte_1,"îner, on amène les enfants et ILS PASSENT LE RESTE DE LA JOURNÉE à la vigne. Avec quelle joie ",ertir le roi pour le conseil. IL PASSA LE RESTE DE LA JOURNÉE à s'impatienter immodérement ,"(1251094, 1251128)","(316319, 316351)"
Crebillon_Nuit_0,en moi ce dangereux penchant. CE N’EST PAS QUE JE NE SACHE que ton cœur est fait pour le,", je ne parle pas volontiers. CE N'EST PAS QUE JE NE SACHE qu'elle mérite peu de ménagem","(163430, 163458)","(22433, 22461)"
Crebillon_Nuit_1," départ, il me fit confidence DE CE QUI VENAIT DE SE PASSER, et comme je prévis où il en ","te. Elle me parut si humiliée DE CE QUI VENAIT DE SE PASSER, que je crus qu'étant aussi s","(297057, 297086)","(22433, 22461)"
Crebillon_Nuit_2," riant, mais j’y veux aller à MON TOUR. 
JE LUI DIS QUE JE vous avais donné une relation","ns, et paraissant en fureur à MON TOUR, JE LUI DIS QUE JE ne souffrirais pas qu'elle se","(844326, 844354)","(22433, 22461)"
Diderot_Jacques_0,é de vin n’est que l’effet de CE QUI SE PASSE AU FOND DE SON CŒUR dans les autres temps. Croira,"ître, je voudrais bien savoir CE QUI SE PASSA AU FOND DE SON ÂME, SINON dans le premier moment, du mo","(222749, 222784)","(26267, 26308)"
Diderot_Jacques_1, a point trompé. Il est digne DE TOUT CE QUE VOUS AVEZ FAIT POUR lui sans le bien connaître; v,ien obtenu qui vous dédommage DE TOUT CE QUE VOUS AVEZ FAIT POUR elle. » ( Ici Jacques se met ,"(378050, 378084)","(26267, 26308)"
Diderot_Neveu_0,"reux changement? Je l’ignore. CE QUE JE SAIS, C’EST QUE JE l’ai vivement désiré. Dieu se","que je ne m'en mêle pas. Tout CE QUE JE SAIS, C'EST QUE JE voudrais bien être un autre, ","(716078, 716106)","(20130, 20158)"
Diderot_Religieuse_0,", à mon amant, ou à moi-même. SANS SAVOIR CE QUE JE FAISAIS, JE choisis ma propre infortune. ","ar ma fenêtre, je me démenais SANS SAVOIR CE QUE JE FAISAIS ; JE me disais à moi-même en tress","(136340, 136373)","(227138, 227172)"
Doppet_Memoires_0,"plus; c’est que chacun se met SANS CESSE EN CONTRADICTION AVEC LUI-MÊME, sans qu’on s’avise de le tro","antôt les détestant, il était SANS CESSE EN CONTRADICTION AVEC LUI-MÊME; desirant aujourd'hui ce qu'i","(431389, 431430)","(101412, 101453)"
Doppet_Memoires_1,digne de vos recherches; mais CE N’EST PAS CHEZ LES GENS AVEC qui vous vivez que vous devez," Warens a trouvé des secours, CE N'EST PAS CHEZ LES GENS QUI lui avaient témoigné de l'ami","(583334, 583365)","(101412, 101453)"
Dorat_Malheurs_0,"rmes. Que dis-je, hélas! il n’EST POINT COUPABLE; C’EST MOI SEULE QUI LE SUIS; tous mes malheurs sont mon o",Et pourquoi? Peut-être elle n'EST POINT COUPABLE; C'EST MOI SEULE QUI LE SUIS! Je rougis de l'être! ... il ,"(134569, 134616)","(134232, 134279)"
Dorat_Malheurs_1,"d, malgré vos préjugés, qu’il EST DE TOUS LES HOMMES LE PLUS digne d’elle, et peut-être le","du duc De , à Ladi Sidley. 
c'EST DE TOUS LES HOMMES LE PLUS dissipé, le plus frivole en a","(289838, 289868)","(134232, 134279)"
Ducray_Cinquante_0,"Je ne t’épouserai jamais sans LE CONSENTEMENT DE MON PÈRE, MAIS JE n’en épouserai jamais un autr","e n'obtiendrai qu'à la longue LE CONSENTEMENT DE MON PÈRE; MAIS JE l'obtiendrai. J'ai, à Paris, ","(414905, 414941)","(260134, 260170)"
Fievee_Dot_0,n de ton crédit renaissant: c’EST TOUT CE QUE JE PUIS FAIRE pour que la fête ne se fasse ,"chargerai de son trousseau, c'EST TOUT CE QUE JE PUIS FAIRE.-On ne m'avait pas dit ça; ma","(1311519, 1311548)","(46932, 46961)"
Florian_Estelle_0, être gaie. Souvent on voyait DES LARMES DE JOIE COULER DE SES YEUX; elle contemplait sa cousine ,"le fidèle Médor. A cette vue, DES LARMES DE JOIE COULENT DE SES YEUX; son cœur palpite avec tant d","(1237337, 1237374)","(90242, 90280)"
Florian_Galatee_0, être gaie. Souvent on voyait DES LARMES DE JOIE COULER DE SES YEUX; elle contemplait sa cousine ,"au tout ce qu'elle contenait; DES LARMES DE JOIE COULENT DE SES YEUX: et la bergère, embarrassée d","(1237337, 1237374)","(29651, 29689)"
Fourqueux_Zely_0," s’élança sur ta pauvre amie: POUR LA PREMIÈRE FOIS DE MA VIE, JE reçus un soufflet qui ne fut "," mal; et si “vous voulez que, POUR LA PREMIÈRE FOIS “DE MA VIE, JE vous aie obligation, “faites-","(303643, 303678)","(71442, 71478)"
Genlis_Adele_0,"es perplexités, et conseillez-MOI. 
VOUS SAVEZ QUE JE NE SUIS entré dans votre maison que s",plus rien de caché pour vous; MAIS VOUS SAVEZ QUE JE NE SUIS pas précipitée dans mes jugem,"(283, 314)","(604048, 604078)"
Genlis_Adele_1,"ration précédente, et j’avoue QUE CE N’EST PAS SANS RAISON QUE vous êtes surpris de ce contr","jugez bien, mon cher vicomte, QUE CE N'EST PAS SANS RAISON QUE je me fais autant prier d'une","(39069, 39101)","(604048, 604078)"
Genlis_Adele_2,é de vin n’est que l’effet de CE QUI SE PASSE AU FOND DE son cœur dans les autres temp,que pour toute autre. Je sais CE QUI SE PASSE AU FOND DE votre âme... vous croyez qu'o,"(222749, 222775)","(604048, 604078)"
Genlis_Adele_3," au lit un peu tard, mon père EST ENTRÉ DANS MA CHAMBRE AVANT QUE JE FUSSE LEVÉE; il s’est assis à côté de mon"," de lassitude. Ce matin Adèle EST ENTRÉE DANS MA CHAMBRE AVANT QUE JE FUSSE LEVÉE, elle avait l'air agité, ému;","(307588, 307638)","(604048, 604078)"
Genlis_Chevaliers_0,point trompé. Il est digne de TOUT CE QUE VOUS AVEZ FAIT POUR lui sans le bien connaître; v,"t ce que j'ai souffert, après TOUT CE QUE VOUS AVEZ FAIT POUR moi, vous n'avez plus le droi","(378053, 378084)","(305117, 305148)"
Genlis_Chevaliers_1," sentir que je lui convenois, ET POUR LA PREMIÈRE FOIS DE SA VIE il prit un attachement. Ce go","t un moment toute son audace; ET, POUR LA PREMIÈRE FOIS DE SA VIE, un sentiment qui ressemblait","(728344, 728378)","(305117, 305148)"
Genlis_Chevaliers_2,"incèrement mon pauvre mari, j’AUROIS DONNÉ LA MOITIÉ DE MA VIE POUR passer l’autre avec lui; et p","a première lettre d'Abassa, j'AUROIS DONNÉ LA MOITIÉ DE MA VIE POUR une demi-heure de liberté; ma","(811011, 811048)","(305117, 305148)"
Genlis_Chevaliers_3,"’affligeait avant le temps et POUR LA PREMIÈRE FOIS DE MA VIE, JE CONNUS l’inquiétude et la tristesse."," dans une obscurité profonde. POUR LA PREMIÈRE FOIS DE MA VIE JE CONNUS la terreur. Mon imagination, ","(999067, 999109)","(305117, 305148)"
Genlis_Chevaliers_4,nte du pied. Nous arrivâmes à LA PORTE DU CABINET: ELLE ÉTAIT FERMÉE; il l’ouvrit brusquement. Mil," troubler. Enfin, il arrive à LA PORTE DU CABINET, ELLE ÉTAIT ENTRE'OUVERTE; il s'arrêta... dans ce momen","(1227738, 1227776)","(305117, 305148)"
Gerard_Comte_0,"ue la vie puisse être un mal, POUR NOUS ÔTER LE DROIT DE NOUS EN DÉFAIRE, ils disent ensuite qu’elle e","x et sur moi avec assez d'art POUR NOUS ÔTER LE DROIT DE NOUS EN PLAINDRE; il ridiculisa mon zèle, qu'u","(753871, 753913)","(21077, 21120)"
Gerard_Comte_1,"de beaucoup. 
Vous voyez, par CE QUE JE VIENS DE VOUS MARQUER du baron, que notre réconcili","t qu'il ignore, s'il se peut, CE QUE JE VIENS DE VOUS MARQUER; sa facilité à s'ouvrir avec ","(1247190, 1247221)","(21077, 21120)"
Gerard_Comte_2," M. de Wolmar. 
Est-on maître DE CROIRE OU DE NE PAS CROIRE? EST-CE un crime de n’avoir pas su bi","-il d'ailleurs en mon pouvoir DE CROIRE OU DE NE PAS CROIRE? 
EST-CE ma faute, si la vérité m'écha","(1450684, 1450721)","(21077, 21120)"
Jacquin_Parisiennes_0," je vous ai laissée maîtresse DE MON SORT, JE NE VOUS AI point laissée l’arbitre de mo"," capable, toute la bizarrerie DE MON SORT. 
JE NE VOUS AI que trop long„temps trompé, B","(74132, 74158)","(108820, 108847)"
Jacquin_Parisiennes_1, voilà mon sage bien préparé. IL NE S’AGIT PLUS QUE DE LE mettre à l’épreuve. Quoique l,"onheur. Après ce premier pas, IL NE S'AGIT PLUS QUE DE LE développer avec prudence. Il ","(322681, 322708)","(108820, 108847)"
Kimber_Thompson_0, a point trompé. Il est digne DE TOUT CE QUE VOUS AVEZ FAIT pour lui sans le bien connaît,"étaient une excuse suffisante DE TOUT CE QUE VOUS AVEZ FAIT. 
Deux jours après l'arrivée ","(378050, 378079)","(347138, 347167)"
Kimber_Thompson_1,"ne m’est pas possible. 
Avant DE VOUS DIRE CE QUE JE PENSE de ce fameux théâtre, que je ","e indifférence, permettez-moi DE VOUS DIRE CE QUE JE PENSE. Je crois que dès le premier ","(534447, 534475)","(347138, 347167)"
Laclos_Liaisons_0,". Demain vous serez contente, ET QUOI QUE VOUS EN PUISSIEZ DIRE, j’aurai moins fait que de pa","erais vraiment très effrayé ; ET QUOI QUE VOUS EN PUISSIEZ DIRE, je ne m'effraierais pas trop","(14736, 14769)","(297625, 297658)"
Laclos_Liaisons_1," de mourir LETTRE V. 
A JULIE PUISSANCES DU CIEL! J’AVAIS UNE ÂME POUR LA DOULEUR, DONNEZ-M’EN UNE POUR LA FÉLICITÉ. Amour, vie de l’âme, viens s","ont à la Marquise de Merteuil PUISSANCES DU CIEL, J'AVAIS UNE ÂME POUR LA DOULEUR ; DONNEZ-M'EN UNE POUR LA FÉLICITÉ ! C'est, je crois, le tendre ","(20252, 20337)","(297625, 297658)"
Laclos_Liaisons_2, que l’objet qui les inspire. QUE PUIS-JE VOUS DIRE DE PLUS jusqu’à l’épreuve qui peut m’,omme lui le véritable amour ? QUE PUIS-JE VOUS DIRE DE PLUS ? il le ressent tel qu'il l'i,"(825654, 825683)","(297625, 297658)"
Laclos_Liaisons_3,"traits de Madame de Wolmar et POUR LA PREMIÈRE FOIS DEPUIS MON RETOUR j’ai vu Julie en son absence,","nt. C'était hier ; je devais, POUR LA PREMIÈRE FOIS, DEPUIS MON RETOUR, souper hors de chez moi. Val","(986377, 986416)","(297625, 297658)"
Lagrave_Sophie_0,", à mon amant, ou à moi-même. SANS SAVOIR CE QUE JE FAISAIS, JE choisis ma propre infortune. ",e; ma sœur me pousse: je retouRNAIS SANS SAVOIR CE QUE JE FAISAis. Je lui présente le bras. A,"(136340, 136373)","(82241, 82274)"
Lagrave_Sophie_1,"i trouble ni crainte; et dans TOUT CE QUI SE PASSE EN MOI, la sincérité vis-à-vis de mo","us les genres! 
Je ne puis te PEINDRE, MON AMI, TOUT CE Qui se passe en moi ... L'amour","(1013950, 1013977)","(82241, 82274)"
Lagrave_Zabeth_0,"ou sachez être estimé d’elle. JE VOUS L’AI DÉJÀ DIT, JE NE connais point d’amour sans pu","..--Eh! point de remercîmens; JE VOUS L'AI DÉJÀ DIT, JE NE les aime pas. Allons voir ce ","(226903, 226931)","(313164, 313192)"
Lagrave_Zabeth_1,l’autre extrémité de Paris. J’AI ÉTÉ OBLIGÉ DE PRENDRE UN FIACRE POUR revenir plus promptement; c’e,"udite goutte m'a repris, et j'AI ÉTÉ OBLIGÉ DE PRENDRE UNE VOITURE POUR revenir. Mais mon fils vous r","(530031, 530070)","(313164, 313192)"
LaPlace_Collection_0," départ, il me fit confidence DE CE QUI VENAIT DE SE PASSER, ET COMME je prévis où il en allait ven","urait par moi la connaissance DE CE QUI VENAIT DE SE PASSER, ET QUE je n'entretiendrois madame la","(297057, 297096)","(406251, 406288)"
LaPlace_Collection_1," à ma mère de m’en servir, et CE QUI ME TOUCHA LE PLUS SENSIBLEMENT, FUT de m’apercevoir qu’il chercha","de le „partager„. 
Je ne sais CE QUI ME TOUCHA LE PLUS SENSIBLEMENT, OU de la lettre du chevalier, ou","(305636, 305678)","(406251, 406288)"
LaPlace_Collection_2,"z toutes mes faiblesses, mais JE N’AI PAS LA FORCE DE VOUS les dire. Cher Wolmar, c’est "," „ma chère bonne, lui dis-je, JE N'AI PAS LA FORCE „DE VOUS parler; mais soyez assurée qu","(1260227, 1260255)","(406251, 406288)"
LaPlace_Collection_3,"e; mais vous n’êtes rien. Ah! LUI DIS-JE, IL EST TROP VRAI. Tout ce que j’avais de bon m"," âme. “... Ah! ma chère mère, LUI „DIS-JE, IL EST TROP VRAI qu'on m'a trompée. Que „dites","(1272865, 1272893)","(406251, 406288)"
LaPlace_Collection_4,us deux ce que j’avais espéré DE L’UN ET DE L’AUTRE; ET VOUS avez trop bien justifié le ju,"epos? Vous devez avoir besoin DE L'UN ET „DE L'AUTRE, ET VOUS ne devez plus songer à quitte","(1356145, 1356175)","(406251, 406288)"
Leonard_Clementine_0,"y a plus; c’est que chacun se MET SANS CESSE EN CONTRADICTION AVEC LUI-même, sans qu’on s’avise de l","istraite, indifférente, et me MET SANS CESSE EN CONTRADICTION AVEC MOI-même? ô ma chère! Que cet éta","(431385, 431425)","(1354, 1394)"
Leonard_Clementine_1, MDE. DE WOLMAR A SAINT PREUX QUEL SENTIMENT DÉLICIEUX J’ÉPROUVE EN COMMENÇANT CETTE LETTRE! Voici la première fois de ma,"deviné? 
LETTRE 4 à la même. 
QUEL SENTIMENT DÉLICIEUX J'ÉPROUVE EN COMMENÇANT CETTE LETTRE! Elle te peindra ma joie. Je ","(1373622, 1373683)","(1354, 1394)"
Leonard_Lettres_0,"se déprave pour se soutenir. 
JE NE SAIS SI JE M’ABUSE; MAIS il me semble que le véritable",er des liens qui me blessent? JE NE SAIS SI JE M'ABUSE: MAIS j'ai du mariage l'opinion la ,"(223871, 223901)","(70305, 70335)"
Leonard_Lettres_1," philosophie qui lui apprit à SE JETER À LA TÊTE DU PREMIER VENU, lui apprenne encore à désobé","illes qui ont le cœur tendre, SE JETTENT À LA TÊTE DU PREMIER VENU, etamp; quand on ferme les po","(630062, 630096)","(70305, 70335)"
Lesuire_Aventurier_0,"aturellement avec les autres. JE RENCONTRAIS DE TEMPS EN TEMPS DES touffes obscures, impénétrabl",gne devenait trèsriante; mais JE RENCONTRAIS DE TEMPS EN TEMPS DES sauvages de couleur de cuivre,"(956260, 956296)","(423817, 423853)"
Lesuire_Aventurier_1,"t de gaieté; mais, en mettant LE PIED SUR LE SEUIL DE LA PORTE, le discours, la gaieté, tout","este mystère. A peine posé-je LE PIED SUR LE SEUIL DE LA PORTE, qu'une espèce d'Exempt m'abo","(1232546, 1232578)","(423817, 423853)"
Lesuire_Crime_0,sser volontairement la soirée DANS UN LIEU SI PEU DIGNE DE vous et de n’avoir pas fui de,"t'aurois pas laissée deux jourS DANS UN LIEU SI PEU DIGNE de toi. 
Je ne veux pas que le","(575315, 575343)","(284330, 284358)"
Lesuire_Crime_1,"z toutes mes faiblesses, mais JE N’AI PAS LA FORCE DE VOUS les dire. Cher Wolmar, c’est ","Vous me voyez “si accablée, quE JE N'AI PAS LA FORCE DE “VOus écrire. Je ne puis me passe","(1260227, 1260255)","(284330, 284358)"
Lesuire_Crime_2,n de ton crédit renaissant: c’EST TOUT CE QUE JE PUIS FAIRE POUR que la fête ne se fasse pas s,"r, qu'il en jouira noblement. C'EST “TOUT CE QUE JE PUIS FAIRE, POur le “présent; mais, par la s","(1311519, 1311553)","(284330, 284358)"
Loaisel_Ainsi_0,"se me flatter quelquefois que LE CIEL A MIS UNE CONFORMITÉ SECRÈTE ENTRE NOS AFFECTIONS, ainsi qu’entre nos goûts et ","ignez sourire avec tendresse. LE CIEL A MIS UNE CONFORMITÉ SECRÈTE ENTRE NOS AFFECTIONS, et nous étions destinés à ép","(3259, 3316)","(32574, 32631)"
Loaisel_Ainsi_1,"ois pas oublié. 
Ah! mon ami! QUE NE PUIS-JE FAIRE PASSER DANS VOTRE ÂME LE SENTIMENT DE BONHEUR ET DE PAIX QUI RÈGNE AU FOND DE LA MIENNE! Que ne puis-je vous apprendr","me fait. 
LETTRE 22 au même. 
QUE NE PUIS-JE FAIRE PASSER AU FOND DE VOTRE ÂME LE SENTIMENT DU BONHEUR ET DE PAIX QUI RÈGNE AU FOND DE LA MIENNE! Vous vous dites heureux, et ","(41537, 41645)","(32574, 32631)"
Loaisel_Ainsi_2,que la seule amitié auprès de CETTE UNION PARFAITE QUI JOINT À TOUTE L’ÉNERGIE DE L’AMITIÉ DES LIENS cent fois plus sacrés? Où son, conviennent et se préfèrent; CETTE UNION PARFAITE QUI JOINT À TOUTE L'ÉNERGIE DE L'AMITIÉ DES LIENS beaucoup plus forts et plus d,"(419159, 419229)","(32574, 32631)"
