,Text in Beaumont_Clarice,Text in B,Location in Beaumont_Clarice,Location in B
Dorat_Malheurs_1,"wton, et les heures que je pasSE AVEC CET AUTEUR, S'ÉCOULENT AVEC UNE Rapidité étonnante. Il faut que",cessité de vous en instruire. JE VOUS RÉPÈTE CE QUE JE VOUS AI DÉJÀ DIT; j'avais un désirs de repos q,"(206375, 206416)","(96568, 96603)"
Dorat_Sacrifices_0,"en que vous en excusiez d'autrES. AVEC LES MEILLEURES INTENTIONS DU MONDE, je suis sûre d'avoir souvent","tre position; et je pourrais, AVEC LES MEILLEURES INTENTIONS DU MONDE, ME TROMPER sur le genre de procédés qu'e","(36520, 36563)","(97409, 97460)"
Dorat_Sacrifices_1,", ou Warick; elle se nomme ChaRLOTTE, VOILÀ TOUT CE QUE JE Puis vous en dire. Cette jeune ","er, en inventer de nouvelles, VOILÀ TOUT CE QUE JE PUIS VOUS promettre, et ce qui doit vou","(44695, 44725)","(97409, 97460)"
Fievee_Dot_0,"se, et me saluant avec une grâCE BIEN SINGULIÈRE DANS UN HOMME DE SA sorte, il des-cendit, et dit a"," là, Alphonse? "" Lui dit-elle ASSEZ HAUT POUR QUE JE PUSSE L'ENTENDRE, sans même prêter l'oreille. ","(183940, 183979)","(111796, 111835)"
Genlis_Adele_0,"deux des per-sonnages; rassureZ-VOUS, JE N'AI QUE DU BIEN À VOUS en dire, l'une est la Duchess","us parle de Madame D'Ostalis, JE N'AI QUE DU BIEN À VOUS EN DIRE; elle se conduit toujours ave","(42867, 42901)","(58877, 58911)"
Genlis_Adele_1,"s-je, dans ces deux cas, ne me PAS REGARDER COMME LE PLUS MALHEUREUx de tous les hommes? Je sais ","eu calmé: je suis, me dit-il, LE PLUS MALHEUREUX DE TOUS LES HOMMES, j'ai manqué à mes résolution","(93175, 93212)","(58877, 58911)"
Genlis_Adele_2,"il souhaitait que mon père pût LUI PROCURER. TREVE DE BADINAGE, JE VOUS AI PROMIS DE La sincérité, je tiendrai ma pa","D'Aimeri au baron. De Paris. 
JE VOUS AI PROMIS DE LA SINCÉRITÉ, JE TIENDRAI MA PAROLE; mais souvenez-vous, monsieur","(126058, 126114)","(58877, 58911)"
Genlis_Adele_3,"e dit qu'ils ne partiroient quE LE LENDEMAIN, PARCE QUE MADAME DE LASTIC ÉTAIT EXTRÊ-MEMEnt fatiguée, et il me promit d",eurs; je priai son conducteur DE ME DONNER DE SES NOUVELLES AUSSI-TÔT QU'IL SERAIT ARRIVÉ à Paris; M De Valincourt m'éc,"(262423, 262482)","(58877, 58911)"
Genlis_Chevaliers_0,"rmes à ceux que vous lui con-nOISSEZ. QUEL SERAIT MON BONHEUR, SI JE pouvais espérer de joindre au","me: ah! Seigneur, lui dis-je, QUEL SERAIT MON BONHEUR, SI JE POUVAIS profiter d'un excès de bonté ","(47753, 47791)","(136634, 136672)"
Genlis_Chevaliers_1,"J'ai été si troublée depuis deUX JOURS, QUE JE N'AI PAS EU LE courage de vous annoncer les n","et tellement abattue ce soir, QUE JE N'AI PAS EU LE COURAGE DE descenre l'escalier.-Vous ête","(63822, 63854)","(136634, 136672)"
Genlis_Chevaliers_2,", parce qu'elle avait aidé à sA JEUNE MAÎTRESSE À ENFONCER Des armoires pour emporter des ","ace. Mes cris firent accourir TOUS LES GENS DE LA MAISON, ET Silo avec eux. Aussitôt que c","(193125, 193155)","(136634, 136672)"
Gerard_Comte_0,"s-je, dans ces deux cas, ne me PAS REGARDER COMME LE PLUS MALHEUREUx de tous les hommes? Je sais ","ture serait le moins libre et LE PLUS MALHEUREUX DE TOUS LES HOMMES. Crois-en, cher Valmont, la t","(93175, 93212)","(462886, 462923)"
Jacquin_Parisiennes_0,"oux? Et pourrais-je, dans ces DEUX CAS, NE ME PAS REGARDER COMME LE PLUS MALHEUREUx de tous les hommes? Je sais ","let, je ne balançai plus à me REGARDER COMME LE PLUS MALHEUREUX DE TOUS LES HOMMES: abandonné à la plus vive dou","(93160, 93212)","(110792, 110844)"
Kimber_Thompson_0,"e les mains de Madame votre mèRE, LA PLUS GRANDE PARTIE DE CE que vous avez d'argent, vous ","us traité indignement pendant LA PLUS GRANDE PARTIE DE CE CRUEL voyage. 
Lorsque je m'en plai","(35202, 35233)","(532459, 532492)"
Kimber_Thompson_1,"s-je, dans ces deux cas, ne me PAS REGARDER COMME LE PLUS MALHEUREUx de tous les hommes? Je sais "," perdre l'esprit; car je suis LE PLUS MALHEUREUX DE TOUS LES HOMMES. L'Irlande est ma patrie, mon","(93175, 93212)","(532459, 532492)"
Kimber_Thompson_2,ectueusement la porte jusqu'à CE QU'IL FÛT ENTRÉ AVEC SES deux compagnons. Je demandai e,montrai ce congé. Il me reçut DE LA FAÇON DU MONDE LA PLUS polie; je n'en fus pas surpri,"(327709, 327737)","(532459, 532492)"
Laclos_Liaisons_0," avez écrite, et a demandé si VOUS ÉTIEZ DÉTERMINÉE À LUI TENIR ce que vous lui promettiez. Il","teriez une femme honnête, qui NE DEMANDAIT PAS MIEUX QUE DE VOUS trouver tel et de vous rendre","(267222, 267256)","(106601, 106635)"
LaPlace_Collection_0,"raits de Madame, m'a découvert SON SEXE; LE BIJOU QU'ELLE M'A REMIS ENTre les mains, sa condi-discrét","me d'une nouvelle preuve de l'AMOUR QUE VOUS AVEZ L'UN POUR L'AUTRE, ET ne vous quitte maintenant que","(303528, 303569)","(88881, 88922)"
LaPlace_Collection_1,"r. Je m'exprime mal, mes remorDS SEMBLAIENT PRENDRE DE NOUVELLES forces à mesure que je tâchai","„une injure qui m'accable, et QUE JE N'AURAI JAMAIS LA FORCE DE supporter„... Madame Duclos s","(362601, 362635)","(88881, 88922)"
Leonard_Lettres_0,"si abattue, si effrayée, si huMILIÉE DE ME TROUVER EN DE TELLes circonstances, que je n'éta","chinalement, sans trop savoir CE QUI SE PASSAIT AUTOUR DE MOI; je le croyais même encore pr","(313250, 313281)","(10772, 10803)"
Leonard_Lettres_1,"s que du beau côté, et d'oubliER CE QUI POURRAIT DIMINUEr la bonne opinion que vous av","st-il écrié avec chaleur; eh! NE VOUS AI-JE PAS DIT QUE j'étais un insensé, que le dé","(344159, 344185)","(10772, 10803)"
Lesuire_Aventurier_0," billets que de lots. Il préteND QUE JE LUI RÉPONDIS: MILORD, JE N'AI pas l'honneur de vous connaît","pardonnez-moi cette remarque, JE N'AI PAS L'HONNEUR DE VOUS CONNAÎTRE, vous paroissez décidément vo","(122435, 122474)","(707525, 707564)"
Lesuire_Crime_0,"tention, moi qui donnerais de BON CŒUR, ET AVEC JOIE, LA DERNIÈRE goutte de mon sang, pour lui p","pour moi. Je “répandrai jusqu'À LA DERNIÈRE GOUTTE DE “MON SANG, POur que vous soyez heu“reux aut","(98638, 98674)","(450509, 450546)"
Louvet_Annee_0,"s que du beau côté, et d'oubliER CE QUI POURRAIT DIMINUER La bonne opinion que vous avez ","Et c'est vous qui la répétez! NE VOUS AI-JE PAS DIT QUE JE ne vous croyais pas? -mais, m","(344159, 344188)","(37330, 37358)"
Louvet_Fin_0,"n, et les heures que je passe AVEC CET AUTEUR, S'ÉCOULENT AVEC UNE RAPIDité étonnante. Il faut que je "," compte, je suis bien aise de VOUS RÉPÉTER CE QUE JE VOUS AI DÉJÀ DIT CENT fois: je ne me consolerais pa","(206378, 206420)","(122956, 123000)"
Marmontel_Belisaire_0,"irs de mettre fin à celles de MA MÈRE, QUI ME L'INS-PIRE. Qu'est-ce qui s'est opposé aux ","stinien, le premier mouvement DE LA NATURE, DANS LE CŒUR DE la fille de Bélisaire, fut le","(202278, 202307)","(229966, 229995)"
Marmontel_Contes_0,". Votre époux passe pour être LE PLUS HONNÊTE HOMME DU MONDE; MAIS on dit qu'il est de son pays,",t des mauvaises. C'était bien LE PLUS HONNÊTE HOMME DU MONDE! MAIS il n'avait précisément que le,"(15267, 15303)","(11595, 11631)"
Marmontel_Contes_1,"nt très-jolies, et l'ainée me DEMANDA DE LA MEILLEURE FOI DU MONde, s'il n'était pas vrai que ",": il s'endormait sur sa vertu DE LA MEILLEURE FOI DU MONDE.-IL avait raison, sans doute; et ","(43923, 43957)","(11595, 11631)"
Marmontel_Contes_2," été si troublée depuis deux jOURS, QUE JE N'AI PAS EU LE courage de vous annoncer les n","quand son départ?-je ne sais: JE N'AI PAS EU LE COURAGE DE le lui prescrire, et il n'a p","(63826, 63854)","(11595, 11631)"
Mirabeau_Rideau_0,"a ville, où l'on me bassina un FORT MAU-VAIS LIT. IL NE FUT PAS Possible de m'y faire rester; a",il tâchait de m'éloigner mais IL NE FUT PAS POSSIBLE DE M'Y FAIRE consentir: je n'écoutais rien,"(77426, 77461)","(218209, 218244)"
Morelly_Naufrage_0,"que je resterais dans une situATION ASSEZ TRISTE, SI J'AVAIS LE MAlheur de vous perdre. Tranquil",à revenir: que deviendrais-je SI J'AVAIS LE MALHEUR DE VOUS PERDRE par quelque accident funeste!,"(95010, 95046)","(104089, 104125)"
Nerciat_Felicia_0,"nt très-jolies, et l'ainée me DEMANDA DE LA MEILLEURE FOI DU MONde, s'il n'était pas vrai que ",sorte l'amour dont il brûlait DE LA MEILLEURE FOI DU MONDE. IL espérait de la surprendre agr,"(43923, 43957)","(483820, 483852)"
Popeliniere_Daira_0,", je m'étais jetée aux pieds dE MA MÈRE, ET JE BAIGNOIS SES HABits de mes larmes, sans avoir ","eille: je le vis en cet état, SANS AVOIR LA FORCE DE LUI PARLER... Daïra, me dit-il, après un","(161988, 162021)","(48451, 48484)"
Popeliniere_Daira_1,ui „ faisait il y a un mois le SEUL OBJET „ DE MES DÉSIRS NE M'EMPÊChe pas „ d'être jusqu'au tombe,"e part du monde qu'il habite, LE PLUS INFORTUNÉ DE TOUS LES HOMMES, j'ai cru mieux faire, de fla","(208628, 208666)","(48451, 48484)"
Prevost_Manon_0,"s-je, dans ces deux cas, ne me PAS REGARDER COMME LE PLUS MALHEUREUx de tous les hommes? Je sais ",ire ma félicité. Je me trouve LE PLUS MALHEUREUX DE TOUS LES HOMMES par cette même constance dont,"(93175, 93212)","(25100, 25137)"
Prevost_Monde_0,fidèle complaisant de mes caprICES; JE N'AI PAS ENCORE EU L'OCCASion de tâter de ce plaisir; en,"ux tuteur de Mlle Tekely, que JE N'AI PAS ENCORE EU L'OCCASION DE nommer, m'était venu voir le ","(38767, 38802)","(419262, 419297)"
Retif_Paysanne_0,"ine personne, que je fonde le CONSEIL QUE JE PRENDS LA LIBERTÉ de vous donner; il est appuyé","sant toute votre délicatesse, QUE JE PRENDS LA LIBERTÉ DE VOUS écrire : l'horreur que je vou","(47307, 47339)","(307154, 307186)"
Riccoboni_MissJenny_0,"si abattue, si effrayée, si huMILIÉE DE ME TROUVER EN DE TELLES CIRconstances, que je n'étais pas",ût été difficile d'apercevoir CE QUI SE PASSAIT AUTOUR DE MOI. NOUS sortîmes de chez le ministre.,"(313250, 313287)","(184206, 184243)"
Rosny_Firmin_0,"e je m'étais amu-sée à disputeR, MILORD AVAIT PRIS LE PARTI LE PLUS sage, c'était de faire partir ","es dangers de la rivalité, je PRIS LE PARTI LE PLUS SAGE, CELUI DE me faire aimer de plus en plu","(75420, 75458)","(30080, 30116)"
Rousseau_Emile_0,"e, au moins quatre à cinq annéES: CEPENDANT COMME RIEN N'EST PLUS INCErtain que la volonté de l'homm","her de ce terme à chaque âge, RIEN N'EST PLUS INCERTAIN QUE LA DURÉE de la vie de chaque homme en ","(94217, 94257)","(123214, 123252)"
Rousseau_Emile_1," grosse, et en vérité ce n'est PAS UNE CHOSE FORT AMUSANTE. JE NE Sais si je n'aimerais pas mieux","s: etamp; s'il fallait opter, JE NE SAIS SI JE N'AIMERAIS PAS MIEUX encore l'illusion des préjugé","(116391, 116428)","(123214, 123252)"
Rousseau_Emile_2,"hon-„ nête femme, et la plus vERTUEUSE „ FILLE DU MONDE. QUE N'ameno t-„ tu ici cette pauvre","ment des voyageurs. Monsieur, LUI DIT LE MAÎTRE DE LA MAISON, vous me paraissez un jeune h","(190816, 190848)","(123214, 123252)"
Rousseau_Julie_0,"urel qu'ils se fissent sentir AVEC PLUS DE FORCE, AU MOMENT OÙ mes désirs et mes craintes al"," de mon cœurs’élève, et tonne AVEC PLUS DE FORCE AU MOMENT OÙ j’étais prête à périr. L’aute","(1373, 1405)","(697389, 697420)"
Rousseau_Julie_1,", parce qu'elle avait aidé à sA JEUNE MAÎTRESSE À ENFONCER Des armoires pour emporter des ","e les travaux. Les dimanches, TOUS LES GENS DE LA MAISON ET même les voisins, hommes et f","(193125, 193155)","(697389, 697420)"
Rousseau_Julie_2,"olidité de votre amitié ne m'a POINT SURPRISE, NON PLUS que l'adresse avec laquelle vo",aujourd’hui de ma prévoyance. JE NE SUIS PLUS EN ÉTAT DE penser ni de résoudre; je ne ,"(247541, 247567)","(697389, 697420)"
Sade_120_0,. Dieu me garde de plus grands MALHEURS QUE DE CELUI D'ÊTRe pauvre; je n'ai pas besoin d,"la le motif de ses plaintes ; IL FAUT SI PEU DE CHOSES POUR déplaire à un libertin, tant ","(341190, 341218)","(248396, 248425)"
Sade_Aline_0,"ts que vous m'avez inspirés au MOMENT OÙ J'AI EU LE BONHEUR de vous connaître. 
( Lady Ha"," la veille également de celui OÙ J’AI EU LE BONHEUR DE VOUS rencontrer, pendant qu’elle m","(47947, 47976)","(106537, 106566)"
Sade_Aline_1," grosse, et en vérité ce n'est PAS UNE CHOSE FORT AMUSANTE. Je ne sais si je n'aimerais pas","e certaines gens m’inspirent, JE NE SAIS SI JE N’AIMERAIS PAS autant ceux qui, comme ma chè","(116391, 116422)","(106537, 106566)"
Sade_Infortunes_0," réponse à Bordeaux; je viens DE LA RECEVOIR, ET VOICI CE QU'Il m'apprend. Vous savez, ma ch",dinaire est d'endurcir ; soit QUE LA PLUS GRANDE PARTIE DE SES écarts nécessite une sorte d',"(338895, 338927)","(57516, 57548)"
Segur_Correspondance_0,"gré, et la parfaite estime, le VIF IN-TÉRÊT QUE JE PRENDS À TOUt ce qui vous touche, Mademois"," pas long-temps. Vous savez l'INTÉRÊT QUE JE PRENDS À TOUT CE QUI pourrait, cet hiver, vous emp","(46427, 46460)","(136449, 136484)"
Segur_Correspondance_1,"stions, lorsqu'il m'a quittée, EN ME RECOM-MANDANT LE SECRET ET LA diligence. Je n'ai pu trouver","rien de ce que je désire, que JE N'AI PU TROUVER LE MOMENT DE VOUS remercier de la dernière lett","(152767, 152803)","(136449, 136484)"
Senac_Emigre_0," entretenir. Nous nous sommes EMBARQUÉS PAR LE PLUS BEAU TEMPs du monde, et pour parler poé","de Wergentheim. 
Il a fait hieR LE PLUS BEAU TEMPS DU MONDE, et mon oncle, qui était de bon","(72755, 72786)","(371227, 371258)"
Souza_Adele_0,"vous entretenir. Nous nous somMES EMBARQUÉS PAR LE PLUS BEAU temps du monde, et pour parler","une calèche, et nous partîmes PAR LE PLUS BEAU TEMPS DU MONDE. Le grand air ranimait monsie","(72751, 72782)","(99304, 99335)"
Voisenon_Histoire_0,"ts que vous m'avez inspirés au MOMENT OÙ J'AI EU LE BONHEUR de vous connaître. 
( Lady Ha","tous les jours dans la maison OÙ J'AI EU LE BONHEUR DE VOUS rencontrer. C'est bien fait, ","(47947, 47976)","(7806, 7835)"
Voltaire_Candide_0," entretenir. Nous nous sommes EMBARQUÉS PAR LE PLUS BEAU TEMPs du monde, et pour parler poé",", et allons à Cadix ; il fait LE PLUS BEAU TEMPS DU MONDE, ET c'est un grand plaisir de voy","(72755, 72786)","(39935, 39966)"
Voltaire_Micromegas_0,"s que du beau côté, et d'oubliER CE QUI POURRAIT DIMINUEr la bonne opinion que vous av", y a ici un peu de confusion; NE VOUS AI-JE PAS DIT QUE dansmes voyages j'avais toujo,"(344159, 344185)","(18140, 18165)"
