,Text in Sade_Infortunes,Text in B,Location in Sade_Infortunes,Location in B
Diderot_Jacques_1,"us d'éclaircissement, je suis LE LENDEMAIN DÈS LA POINTE DU JOUR ramenée dans la prison de Lyo","pente par une petite échelle. LE LENDEMAIN, DÈS LA POINTE DU JOUR, avant que Bigre le père fût ","(269355, 269389)","(285085, 285114)"
Diderot_Neveu_0,"pour m'essuyer. 
Cependant il SE PROMENAIT EN LONG ET EN LARGE et me laissait faire, plus oc","plus renfoncé que de coutume, SE PROMENAIT EN LONG ET EN LARGE, le poing sous le menton. Mad","(101175, 101207)","(99942, 99974)"
Duclos_Acajou_0,"is-je donc tenir à la vie, et LE PLUS GRAND BONHEUR QUI PÛT M'ARRIVER n'était-il pas d'en sortir ? ", par fatuité. Il semblait que LE PLUS GRAND BONHEUR QUI PÛT ARRIVER à un Prince fût de perdre la ,"(196240, 196279)","(53550, 53587)"
Ducray_Cinquante_0,"ndrir... parle vrai, tu as vu TOUT CE QUI S'EST PASSÉ ENTRE CE jeune homme et moi, n'est-ce ",eux d'elle. Elle leur apprend TOUT CE QUI S'EST PASSÉ ENTRE CE Dormon et elle depuis qu'il e,"(58252, 58284)","(178452, 178484)"
Florian_Estelle_0,"ulté de rencontrer une place, LE MALHEUR QUE J'AVAIS EU DE MANGER le peu que je possédais pour ",intHippolyte. Je lui racontai LE MALHEUR QUE J'AVAIS EU DE PERDRE le bon Casimir. Sans l'instru,"(24625, 24660)","(140229, 140264)"
Fourqueux_Zely_0,"vous serez bien convaincue de TOUT CE QUE J'AI FAIT POUR VOUS, j'espère que je trouverai da","eu avantageusement pour “moi, TOUT CE QUE J'AI FAIT POUR VOUS. “J'avoue mon faible: je voul","(67458, 67489)","(140646, 140677)"
Genlis_Adele_0,a femme qui mourut de chagrin HUIT JOURS APRÈS LE DÉPART DE SON mari. Un ou deux parents qui ,"dre que pur et reconnaissant. HUIT JOURS APRÈS LE DÉPART DE SON oncle, tout-à-coup il tomba m","(4858, 4891)","(1171126, 1171159)"
Genlis_Adele_1,"nd vous serez bien convaincue DE TOUT CE QUE J'AI FAIT POUR vous, j'espère que je trouver","nfant, comme il me récompense DE TOUT CE QUE J'AI FAIT POUR lui! ... Il m'a promis de ne ","(67455, 67484)","(1171126, 1171159)"
Genlis_Chevaliers_0,"nd vous serez bien convaincue DE TOUT CE QUE J'AI FAIT POUR vous, j'espère que je trouver"," qui nous a perdus. Pour prix DE TOUT CE QUE J'AI FAIT POUR toi, donne-moi ta fille, et q","(67455, 67484)","(488592, 488621)"
Gerard_Comte_0,"évouées au mépris comme elle, IL N'EN EST PAS UNE SEULE QUI ne porte l'emblème de l'impos","e que nous leur avons donnée. IL N'EN EST PAS UNE SEULE, QUI ait une antiquité égale à cel","(72527, 72556)","(579155, 579185)"
Gorjy_Voyage_0,servez surtout rigoureusement CE QUE JE VAIS VOUS PRESCRIRE. AVEZ-vous un ami sûr dans cette au,rage et „l'adresse d'exécuter CE QUE JE VAIS „VOUS PRESCRIRE; JE vous réponds „que l'évènement,"(252795, 252830)","(92009, 92043)"
Jacquin_Parisiennes_0,"e vais-je devenir, grand Dieu JE FIS TOUT CE QUE JE PUS POUR la calmer, mais rien n'y parv",dans une inquiétude mortelle: JE FIS TOUT CE QUE JE PUS POUR rappeler ses sens égarés: je ,"(180912, 180942)","(47123, 47153)"
Kimber_Thompson_0,"e vais-je devenir, grand Dieu JE FIS TOUT CE QUE JE PUS POUR la calmer, mais rien n'y parv","s l'intervalle de la réponse, JE FIS TOUT CE QUE JE PUS POUR empêcher mon père de faire au","(180912, 180942)","(496530, 496560)"
Laclos_Liaisons_0,"nd vous serez bien convaincue DE TOUT CE QUE J'AI FAIT POUR vous, j'espère que je trouver","riez que je ne vous dise rien DE TOUT CE QUE J'AI FAIT POUR ça, et qui m'a donné tant de ","(67455, 67484)","(736474, 736503)"
LaPlace_Collection_0,", je leur racontai ingénument TOUT CE QUI M'ÉTAIT ARRIVÉ DEPUIS QUE J'ÉTAIS dans le monde. 
--Allons, Jas","evalier, par cette lettre, de TOUT CE QUI M'ÉTAIT ARRIVÉ DEPUIS QUE J'ÉTAIS partie de Paris, sans lui par","(59149, 59194)","(432182, 432227)"
Lesuire_Aventurier_0,"t cent mille écus de rentes. 
IL N'EN FALLUT PAS DAVANTAGE POUR FAIRE sa réputation ; l'aveuglement",ment une par“tie de plaisir.“ IL N'EN FALLUT PAS DAVANTAGE POUR ME FAIRE consentir à tout. „Je “suis p,"(14594, 14633)","(352950, 352992)"
Lesuire_Aventurier_1,"elquefois l'orgueil de croire QUE JE NE LUI ÉTAIS PAS INDIFFÉRENTE, mais combien l'excès de ses ",ux de ma compagne me disoient QUE JE NE LUI ÉTAIS PAS INDIFFÉRENT. Je ne pus m'empêcher de lui ,"(69467, 69503)","(352950, 352992)"
Lesuire_Aventurier_2,nstant vous ouvrir à mes yeux SI VOUS NE VOULEZ PAS QUE JE me révolte contre vos lois De,"du ton le plus déterminé, que SI VOUS “NE VOULEZ PAS QUE JE vous serve, comme “ci-devant,","(149852, 149880)","(352950, 352992)"
Lesuire_Aventurier_3,"e vais-je devenir, grand Dieu JE FIS TOUT CE QUE JE PUS POUR LA calmer, mais rien n'y parvint",mais.“Cette menace m'effraya; JE FIS TOUT CE QUE JE PUS POUR LA faire changer de résolution; ,"(180912, 180945)","(352950, 352992)"
Lesuire_Aventurier_4,s mains d'un marquis débauché QUI ME DONNE CENT COUPS DE NERF DE BŒUF pour ne vouloir pas empoisonn,"t, il est plus lourd à porter QUE CENT COUPS DE NERF DE BŒUF. Il sortit, en fermant bien m","(274917, 274956)","(352950, 352992)"
Loaisel_Comtesse_0,"ent à la tête pour lui donner DE LA FORCE ET DE LA LÉGITIMITÉ, elle me peint comme une fill","uleurs, la comtesse reprenait DE LA FORCE ET DE LA SANTÉ. Elle dut son rétablissement ","(268226, 268257)","(139631, 139657)"
Loaisel_Lucile_0,"ent à la tête pour lui donner DE LA FORCE ET DE LA LÉGITIMITÉ, elle me peint comme une fill","douleurs, la comtesse reprenaiT DE LA FORCE ET DE LA SANté. Elle dut son rétablissemen","(268226, 268257)","(138353, 138379)"
Louvet_Annee_0,"it la malheureuse prisonnière EN SE PRÉCIPITANT DANS LES BRAS DE Mme de Lorsange... toi, ma sœ","frirai? Interrompit Dorothée, EN SE PRÉCIPITANT DANS LES BRAS DE son amant. Mon cher Derneval!","(279072, 279106)","(522232, 522266)"
Louvet_Fin_0,"ntrée pour la première fois ; JE NE PUS M'EMPÊCHER DE FRÉMIR EN revoyant ces lieux, mon impru",isage d'un mince carton; mais JE NE PUS M'EMPÊCHER DE FRÉMIR EN reconnaissant le frac anglais,"(94941, 94974)","(199756, 199789)"
Marmontel_Contes_0," une petite robe en désordre, LA PLUS JOLIE FIGURE DU MONDE, ET l'air bien écolière ; elle co","e l'esprit, la meilleure âme, LA PLUS JOLIE FIGURE DU MONDE, ET sa petite pacotille, était ar","(11113, 11146)","(358779, 358812)"
Marmontel_Incas_0,"servir de victime... 
--Voilà TOUT CE QUE JE PUIS POUR VOUS, mon enfant, continua ce vila","e, savez-vous qui je suis, et TOUT CE QUE JE PUIS POUR VOUS? Je n'ai point d'armes, mais ","(29295, 29324)","(500563, 500592)"
Mirabeau_Rideau_0,"des excursions si meurtrières SUR TOUTES LES PARTIES DE MON CORPS, par des morsures enfin si se","sences, il portait ses lèvres SUR TOUTES LES PARTIES DE MON CORPS, sans en excepter une seule; ","(145469, 145504)","(16414, 16449)"
Mirabeau_Rideau_1,"q ou six coups à tour de bras SUR TOUTES LES PARTIES DE MON CORPS. 
--Voilà comme tu seras trai"," lèvres ardentes se portaient SUR TOUTES LES PARTIES DE. MON CORPS. Nous avions, l'un et l'autre","(218747, 218782)","(16414, 16449)"
Nerciat_Aphrodites_0," une petite robe en désordre, LA PLUS JOLIE FIGURE DU MONDE, ET l'air bien écolière ; elle co"," dix.--C'est un nouveau reçu dE LA PLUS JOLIE FIGURE DU MONDE, et qui en porte un de neuf pou","(11113, 11146)","(225168, 225201)"
Nerciat_Felicia_0,"du désir que j'avais de voler AU-DEVANT DE TOUT CE QUI POUVAIT lui plaire, il ne se pouvait ","ts m'intéressèrent, et je fus AU-DEVANT DE TOUT CE QUI POUVAIT la justifier. Je compris que,","(68963, 68995)","(162456, 162488)"
Puttelange_Roi_0,érangeait prodigieusement. Je PRENAIS QUELQUEFOIS LA LIBERTÉ DE LUI REPRÉSENTER TOUS les inconvénients de sa condu,"lieues à la ronde. 
Lorsqu'on PRENAIT QUELQUEFOIS LA LIBERTÉ DE LUI REPRÉSENTER, DANS les termes les plus respectue","(69934, 69988)","(40494, 40549)"
Retif_Paysanne_0,"eur de ce pernicieux exemple, ELLE DIT QU'ELLE AIMERAIT MIEUX MOURIR QUE de le suivre et refusa décidé"," ce qu'il y avait de pis ; et ELLE M'A DIT, QU'ELLE AIMERAIT MIEUX MOURIR QUE d'en ouvrir la bouche : car e","(7183, 7225)","(3935, 3982)"
Retif_Paysanne_1,"excursions si meurtrières sur TOUTES LES PARTIES DE MON CORPS, PAR des morsures enfin si semblab","r, et ce malheureux fouillait TOUTES LES PARTIES DE MON CORPS, PAR ces criminels hommages. Je su","(145473, 145509)","(3935, 3982)"
Rousseau_Julie_0,", c'est là notre secret, mais TOUT CE QUE JE PUIS TE DIRE, c'est que discrète ou non, i", est bien près de l’évidence. TOUT CE QUE JE PUIS TE DIRE pour ta consolation c’est qu’,"(173656, 173683)","(298087, 298114)"
Sade_120_0," en refuser aucun ; il entre, IL FERME AVEC SOIN LA PORTE, ET se jetant auprès de moi dans ",". Dès que nous sommes entrés, IL FERME AVEC SOIN LA PORTE, ET m'ayant encore considérée un ","(75631, 75662)","(304693, 304724)"
Sade_120_1,"être vierge à votre âge, et n'EST-CE PAS UNE ESPÈCE DE MIRACLE qui ne pouvait pas se prolong","ropagation de notre espèce, n'EST-CE PAS UNE ESPÈCE DE MIRACLE, que nous devons sans cesse a","(138590, 138622)","(304693, 304724)"
Sade_Aline_0,"évouées au mépris comme elle, IL N'EN EST PAS UNE SEULE QUI NE porte l'emblème de l'impostur", alors deviendraient soldats: IL N’EN EST PAS UN SEUL QUI NE préférât la mort à l’idée de ,"(72527, 72559)","(544323, 544353)"
Sade_Aline_1,"ur d'attendre à mon âge ? Que CECI NE CHANGE RIEN À NOS PROJETS, JE t'en supplie, et que nous ayo", plus jolies… . Eh bien! mais CELA NE CHANGE RIEN À NOS PROJETS… . JE t’enverrai toujours prendre c,"(86740, 86777)","(544323, 544353)"
Sade_Aline_2,"ommence par te jurer d'avance SUR TOUT CE QUE J'AI DE PLUS SACRÉ au monde qu'ou j'y mourrai, o","eurs genoux, je vous proteste SUR-TOUT CE QUE J’AI DE PLUS SACRÉ que je ne parlerai jamais de ","(163270, 163304)","(544323, 544353)"
Sade_Aline_3,"aël en se remettant, j'ai cru QUE POUR LA PREMIÈRE FOIS DE MA VIE, j'échouerais en les obtenant","e besoin que j’en ai est tel, QUE POUR LA PREMIÈRE FOIS DE MA VIE, je ne sais pas même si je vo","(188585, 188620)","(544323, 544353)"
Sade_Aline_4,ité dans lequel je suis née à PLUS DE CINQUANTE MILLES LIVRES DE RENTE. T'imagines-tu que dans cette,"i quelques années en paix, de PLUS DE CINQUANTE MILLE LIVRES DE RENTES à Londres, qu’il avait choisi","(246042, 246082)","(544323, 544353)"
Sade_Justine_0,"our sur l'obscurité des voies DONT LA PROVIDENCE SE SERT POUR PARVENIR AUX FINS QU'ELLE SE PROPOSE SUR L'HOMME, ET DE TRACER D'APRÈS CELA QUELQUE PLAN DE CONDUITE QUI PÛT FAIRE CONNAÎTRE À CE MALHEUREUX INDIVIDU BIPÈDE, perpétuellement ballotté par","rait de développer les moyens DONT LA PROVIDENCE SE SERT POUR PARVENIR AUX FINS QU'ELLE SE PROPOSE SUR L'HOMME, ET DE TRACER, D'APRÈS CELA, QUELQUES PLANS DE CONDUITE QUI PUSSENT FAIRE CONNAÎTRE À CE MALHEUREUX INDIVIDU BIPÈDE la manière dont il faut qu'il","(81, 269)","(76, 272)"
Sade_Justine_1," qu'il faut qu'il tienne pour PRÉVENIR LES CAPRICES BIZARRES DE CETTE FATALITÉ À LAQUELLE ON DONNE VINGT NOMS DIFFÉRENTS, SANS ÊTRE ENCORE PARVENU à la définir. 
Car si, partan","e épineuse de la vie, afin de PRÉVENIR LES CAPRICES BIZARRES DE CETTE FATALITÉ À LAQUELLE ON DONNE VINGT NOMS DIFFÉRENTS, SANS ÊTRE ENCORE PARVENU ni à la connaître, ni à la dé","(490, 606)","(76, 272)"
Sade_Justine_2," définir. 
Car si, partant de NOS CONVENTIONS SOCIALES ET NE S'ÉCARTANT JAMAIS du respect qu'on nous inculqu","r. 
Si, plein de respect pour NOS CONVENTIONS SOCIALES, ET NE S'ÉCARTANT JAMAIS des digues qu'elles nous impo","(641, 689)","(76, 272)"
Sade_Justine_3,"ontré que des épines, lorsque LES MÉCHANTS NE CUEILLAIENT QUE DES ROSES, DES GENS PRIVÉS D'UN FONDS DE VERTU ASSEZ CONSTATÉ POUR SE METTRE AU-DESSUS des réflexions fournies par c","ncontré que des ronces, quand LES MÉCHANTS NE CUEILLAIENT QUE DES ROSES, DES GENS PRIVÉS D'UN FOND DE VERTUS ASSEZ CONSTATÉ POUR SE METTRE AU-DESSUS de ces remarques ne calculero","(882, 1000)","(76, 272)"
Sade_Justine_4,"lculeront-ils pas qu'alors il VAUT MIEUX S'ABANDONNER AU TORRENT QUE D'Y RÉSISTER, NE DIRONT-ILS PAS QUE LA VERTU TELLE BELLE QU'ELLE soit, quand malheureusement e","lculeront-ils pas alors qu'il VAUT MIEUX S'ABANDONNER AU TORRENT QUE D'Y RÉSISTER ? NE DIRONT-ILS PAS QUE LA VERTU, QUELQUE BELLE QU'ELLE soit, devient pourtant le plu","(1091, 1194)","(76, 272)"
Sade_Justine_5," malheureusement elle devient TROP FAIBLE POUR LUTTER CONTRE LE VICE, devient le plus mauvais part","prendre, quand elle se trouve TROP FAIBLE POUR LUTTER CONTRE LE VICE, et que dans un siècle entièr","(1236, 1274)","(76, 272)"
Sade_Justine_6,"is parti qu'on puisse prendre ET QUE DANS UN SIÈCLE ENTIÈREMENT CORROMPU LE PLUS SÛR EST DE FAIRE COMME LES AUTRES ? UN PEU PLUS INSTRUITS SI L'ON VEUT, ET ABUSANT DES LUMIÈRES QU'ILS ONT ACQUISES, NE DIRONT-ILS PAS AVEC L'ANGE JESRAD DE ZADIG QU'IL N'Y A AUCUN MAL DONT IL NE NAISSE UN BIEN ; n'ajouteront-ils pas à cela","e pour lutter contre le vice, ET QUE DANS UN SIÈCLE ENTIÈREMENT CORROMPU, LE PLUS SÛR EST DE FAIRE COMME LES AUTRES ? UN PEU PLUS INSTRUITS, SI L'ON VEUT, ET ABUSANT DES LUMIÈRES QU'ILS ONT ACQUISES, NE DIRONT-ILS PAS AVEC L'ANGE JESRAD, DE ZADIG, QU'IL N'Y A AUCUN MAL DONT IL NE NAISSE UN BIEN, et qu'ils peuvent, d'après c","(1327, 1588)","(76, 272)"
Sade_Justine_7," d'après cela il devient égal AU PLAN GÉNÉRAL QUE TEL OU TEL SOIT BON OU MÉCHANT DE PRÉFÉRENCE ; QUE SI LE MALHEUR PERSÉCUTE LA VERTU, ET QUE LA PROSPÉRITÉ ACCOMPAGNE PRESQUE TOUJOURS LE VICE, LA CHOSE ÉTANT ÉGALE AUX VUES DE LA NATURE, IL VAUT INFINIMENT MIEUX PRENDRE PARTI PARMI LES MÉCHANTS QUI PROSPÈRENT QUE PARMI LES VERTUEUX QUI PÉRISSENT ? IL EST DONC IMPORTANT DE PRÉVENIR CES SOPHISMES dangereux de la philosophie, ","ils pas qu'il est indifférent AU PLAN GÉNÉRAL, QUE TEL OU TEL SOIT BON OU MÉCHANT DE PRÉFÉRENCE ; QUE SI LE MALHEUR PERSÉCUTE LA VERTU ET QUE LA PROSPÉRITÉ ACCOMPAGNE LE CRIME, LES CHOSES ÉTANT ÉGALES AUX VUES DE LA NATURE, IL VAUT INFINIMENT MIEUX PRENDRE PARTI PARMI LES MÉCHANTS QUI PROSPÈRENT, QUE PARMI LES VERTUEUX QUI ÉCHOUENT ? IL EST DONC IMPORTANT DE PRÉVENIR CES SOPHISMES dangereux d'une fausse philos","(1874, 2240)","(76, 272)"
Sade_Justine_8," les vertueux qui périssent ? IL EST DONC IMPORTANT DE PRÉVENIR CES SOPHISMES DANGEREUX DE LA PHILOSOPHIE, ESSENTIEL DE FAIRE VOIR QUE LES EXEMPLES DE la vertu malheureuse présenté","i les vertueux qui échouent ? IL EST DONC IMPORTANT DE PRÉVENIR CES SOPHISMES DANGEREUX D'UNE FAUSSE PHILOSOPHIE ; ESSENTIEL DE FAIRE VOIR QUE LES EXEMPLES DE vertu malheureuse, présentés ","(2193, 2313)","(76, 272)"
Sade_Justine_9,"e voir que les exemples de la VERTU MALHEUREUSE PRÉSENTÉS À UNE ÂME CORROMPUE DANS LAQUELLE IL RESTE ENCORE POURTANT QUELQUES BONS PRINCIPES, PEUVENT RAMENER CETTE ÂME AU BIEN TOUT AUSSI SÛREMENT QUE SI ON LUI EÛT OFFERT DANS CETTE ROUTE DE LA VERTU LES PALMES LES PLUS BRILLANTES ET LES PLUS FLATTEUSES RÉCOMPENSES. IL EST CRUEL SANS DOUTE D'AVOIR À PEINDRE UNE FOULE DE MALHEURS ACCABLANT LA FEMME DOUCE ET SENSIBLE QUI RESPECTE LE MIEUX LA VERTU, ET D'UNE AUTRE part la plus brillante fortun","aire voir que les exemples de VERTU MALHEUREUSE, PRÉSENTÉS À UNE ÂME CORROMPUE, DANS LAQUELLE IL RESTE POURTANT QUELQUES BONS PRINCIPES, PEUVENT RAMENER CETTE ÂME AU BIEN TOUT AUSSI SÛREMENT QUE SI ON LUI EÛT MONTRÉ DANS CETTE ROUTE DE LA VERTU LES PALMES LES PLUS BRILLANTES ET LES PLUS FLATTEUSES RÉCOMPENSES. IL EST CRUEL SANS DOUTE D'AVOIR À PEINDRE UNE FOULE DE MALHEURS ACCABLANT LA FEMME DOUCE ET SENSIBLE QUI RESPECTE LE MIEUX LA VERTU, ET D'UNE AUTRE part l'affluence des prospéri","(2317, 2751)","(76, 272)"
Sade_Justine_10,"ment que si on lui eût offert DANS CETTE ROUTE DE LA VERTU LES PALMES LES PLUS BRILLANTES ET LES PLUS FLATTEUSES RÉCOMPENSES. IL EST CRUEL SANS DOUTE D'AVOIR À PEINDRE UNE FOULE DE MALHEURS ACCABLANT LA FEMME DOUCE ET SENSIBLE QUI RESPECTE LE MIEUX LA VERTU, ET D'UNE AUTRE PART la plus brillante fortune che","ment que si on lui eût montré DANS CETTE ROUTE DE LA VERTU LES PALMES LES PLUS BRILLANTES ET LES PLUS FLATTEUSES RÉCOMPENSES. IL EST CRUEL SANS DOUTE D'AVOIR À PEINDRE UNE FOULE DE MALHEURS ACCABLANT LA FEMME DOUCE ET SENSIBLE QUI RESPECTE LE MIEUX LA VERTU, ET D'UNE AUTRE PART l'affluence des prospérités s","(2508, 2756)","(76, 272)"
Sade_Justine_11,"t-on former quelque remords d'AVOIR ÉTABLI UN FAIT, D'OÙ IL RÉSULTERA POUR LE SAGE QUI LIT AVEC FRUIT LA LEÇON SI UTILE DE LA SOUMISSION AUX ORDRES DE LA PROVIDENCE, une partie du développement ","es ? Pourra-t-on être fâché d'AVOIR ÉTABLI UN FAIT, D'OÙ IL RÉSULTERA POUR LE SAGE QUI LIT AVEC FRUIT LA LEÇON SI UTILE DE LA SOUMISSION AUX ORDRES DE LA PROVIDENCE, et l'avertissement fatal que","(2988, 3122)","(76, 272)"
Sade_Justine_12, de ses plus secrètes énigmes ET L'AVERTISSEMENT FATAL QUE C'EST SOUVENT POUR NOUS RAMENER À NOS DEVOIRS QUE LE CIEL FRAPPE À CÔTÉ DE NOUS les êtres qui paraissent même," aux ordres de la providence, ET L'AVERTISSEMENT FATAL QUE C'EST SOUVENT POUR NOUS RAMENER À NOS DEVOIRS QUE LE CIEL FRAPPE À CÔTÉ DE NOUS l'être qui nous paraît le mie","(3181, 3289)","(76, 272)"
Sade_Justine_13,"triste et misérable Justine. 
MME LA COMTESSE DE LORSANGE ÉTAIT UNE DE CES PRÊTRESSES DE VÉNUS, DONT LA FORTUNE EST L'OUVRAGE D'UNE figure enchanteresse, de beau","ons dû mettre sous ses yeux. 
MME LA COMTESSE DE LORSANGE ÉTAIT UNE DE CES PRÊTRESSES DE VÉNUS DONT LA FORTUNE EST L'OUVRAGE D'UNE jolie figure et de beaucoup d","(3585, 3686)","(76, 272)"
Sade_Justine_14,"d'inconduite et de fourberie, ET DONT LES TITRES QUELQUE POMPEUX QU'ILS SAIENT NE SE TROUVENT QUE DANS LES ARCHIVES DE CYTHÈRE, FORGÉS PAR L'IMPERTINENCE QUI LES PREND ET SOUTENUS PAR LA SOTTE CRÉDULITÉ QUI LES DONNE. 
BRUNE, fort vive, une belle taille,"," et de beaucoup d'inconduite, ET DONT LES TITRES, QUELQUE POMPEUX QU'ILS SAIENT, NE SE TROUVENT QUE DANS LES ARCHIVES DE CYTHÈRE, FORGÉS PAR L'IMPERTINENCE QUI LES PREND, ET SOUTENUS PAR LA SOTTE CRÉDULITÉ QUI LES DONNE : BRUNE, une belle taille, des yeux d","(3751, 3945)","(76, 272)"
Sade_Justine_15,"ieuse, de l'esprit et surtout CETTE INCRÉDULITÉ DE MODE QUI, PRÊTANT UN SEL DE PLUS AUX PASSIONS, FAIT RECHERCHER AVEC bien plus de soin la femme en","d'une singulière expression ; CETTE INCRÉDULITÉ DE MODE, QUI, PRÊTANT UN SEL DE PLUS AUX PASSIONS, FAIT RECHERCHER AVEC plus de soin les femmes en qu","(4044, 4132)","(76, 272)"
Sade_Justine_16,"rçant de la rue Saint-Honoré, ELLE AVAIT ÉTÉ ÉLEVÉE AVEC UNE SŒUR PLUS JEUNE QU'ELLE DE TROIS ANS DANS UN DES meilleurs couvents de Paris, "," très gros banquier de Paris, ELLE AVAIT ÉTÉ ÉLEVÉE AVEC UNE SŒUR NOMMÉE JUSTINE, PLUS JEUNE QU'ELLE DE TROIS ANS, DANS UNE DES plus célèbres abbayes de cett","(4308, 4387)","(76, 272)"
Sade_Justine_17,"ts de Paris, où jusqu'à l'âge DE QUINZE ANS, AUCUN CONSEIL, AUCUN MAÎTRE, AUCUN bon livre, aucun talent ne lu"," où jusqu'à l'âge de douze et DE QUINZE ANS, AUCUN CONSEIL, AUCUN MAÎTRE, AUCUN livre, aucun talent n'avaient","(4434, 4483)","(76, 272)"
Sade_Justine_18,"nt ne lui avait été refusé. A CETTE ÉPOQUE FATALE POUR LA VERTU D'UNE JEUNE FILLE, TOUT LUI MANQUA DANS UN SEUL JOUR. UNE BANQUEROUTE AFFREUSE PRÉCIPITA SON PÈRE DANS UNE SITUATION SI cruelle que tout ce qu'il put","l'autre de ces deux sœurs. 
A CETTE ÉPOQUE FATALE POUR LA VERTU DE DEUX JEUNES FILLES, TOUT LEUR MANQUA DANS UN SEUL JOUR : UNE BANQUEROUTE AFFREUSE PRÉCIPITA LEUR PÈRE DANS UNE SITUATION SI cruelle, qu'il en périt de ch","(4535, 4688)","(76, 272)"
Sade_Justine_19," maîtresses de leurs actions. MME DE LORSANGE QUI SE NOMMAIT ALORS JULIETTE ET DONT LE CARACTÈRE ET L'ESPRIT ÉTAIENT À FORT PEU DE CHOSE PRÈS AUSSI FORMÉS QU'À l'âge de trente ans, époque o","enir ce qu'elles voudraient. 
MME DE LORSANGE, QUI SE NOMMAIT POUR LORS JULIETTE, ET DONT LE CARACTÈRE ET L'ESPRIT ÉTAIENT, À FORT PEU DE CHOSE PRÈS, AUSSI FORMÉS QU'À trente ans, âge qu'elle attei","(5171, 5300)","(76, 272)"
Sade_Justine_20,"t lors de l'anecdote que nous RACONTONS, NE PARUT SENSIBLE QU'AU PLAISIR D'ÊTRE LIBRE, SANS RÉFLÉCHIR UN INSTANT AUX CRUELS REVERS QUI BRISAIENT SES CHAÎNES. POUR JUSTINE, sa sœur, venant d'atteindre ","de l'histoire que nous allons RACONTER, NE PARUT SENSIBLE QU'AU PLAISIR D'ÊTRE LIBRE, SANS RÉFLÉCHIR UN INSTANT AUX CRUELS REVERS QUI BRISAIENT SES CHAÎNES. POUR JUSTINE, âgée, comme nous l'avons dit","(5371, 5511)","(76, 272)"
