,Text in Diderot_Jacques,Text in B,Location in Diderot_Jacques,Location in B
Crebillon_Conte_0,"eut pas plus tôt aperçu, que, POUSSANT UN CRI DE SURPRISE ET DE JOIE, il me dit : « Eh filleul, te","e. Schézaddin en la revoyant; POUSSA UN CRI DE SURPRISE ET DE JOIE, et courut vers elle avec tou","(353077, 353115)","(51817, 51853)"
Crebillon_Conte_1,"us aurez assommé votre fille, IL N'EN SERA NI PLUS NI MOINS. Tout s'arrangera pour le mie","dant long-temps je l'ai fait, IL N'EN SERA NI PLUS NI MOINS. Ma fille qui était née avec ","(470205, 470234)","(51817, 51853)"
Crebillon_Nuit_0,"se rien entre eux qui ne soit EN TOUT BIEN ET EN TOUT HONNEUR. 
-- Tu es un bon homme --Cel","procher. C'est, je vous jure, EN TOUT BIEN ET EN TOUT HONNEUR que je vous propose... 
CIDAL","(160209, 160240)","(51130, 51161)"
Crebillon_Nuit_1,"ussi ? 
LE MARQUIS Et réussi, JE NE SAURAIS VOUS EXPRIMER À QUEL POINT. N'aurez-vous pas compassion ","avez dit que vous m'aimez, et JE NE SAURAIS VOUS EXPRIMER À QUEL POINT j'en suis blessé. 
CIDALISE, ","(240120, 240160)","(51130, 51161)"
Diderot_Neveu_0," serais arraché les cheveux : IL N'EN AURAIT ÉTÉ NI PLUS NI MOINS, et mon bienfaiteur eût été c"," bu largement (car après tout IL N'EN AURAIT ÉTÉ NI PLUS NI MOINS, messire Gaster est un person","(9055, 9090)","(99182, 99217)"
Diderot_Neveu_1,"lez-moi donc dame Marguerite, EST-CE QUE VOUS VOUS TROUVEZ MAL ? 
MARGUERITE Non, mon enfant","t me dit : --- Qu'avez-vous ? EST-CE QUE VOUS VOUS TROUVEZ MAL ? 
MOI.---Un peu, mais cela p","(372556, 372588)","(99182, 99217)"
Diderot_Neveu_2,"t ce ressort là... ? 
JACQUES JE VEUX QUE LE DIABLE M'EMPORTE SI je conçois qu'il puisse jouer",I.---De la raison tant mieux. JE VEUX QUE LE DIABLE M'EMPORTE SI j'y tâche. Cela va comme je t,"(460321, 460355)","(99182, 99217)"
Diderot_Neveu_3,"goutte, bénite ou non bénite. EST-CE QUE VOUS NE VOUS ÊTES pas aperçu que j'étais hydrop","auvage j'en suis fou. 
MOI.---EST-CE QUE VOUS NE VOUS OCCUPEREZ pas sérieusement d'arrêter en","(468029, 468057)","(99182, 99217)"
Diderot_Religieuse_0,"ppelé votre ami... 
LE MAÎTRE VOUS NE SAVEZ PAS CE QUE C'EST QUE le nom d'ami donné par un sup","eur ; je ne demande rien. 
---VOUS NE SAVEZ PAS CE QUE C'EST QUE la peine, le travail, l'indig","(292838, 292872)","(54069, 54103)"
Diderot_Religieuse_1,"ux duquel le jansénisme était LE PLUS GRAND DE TOUS LES CRIMES, et la soumission à la bulle ",eu. Songez que le parjure est LE PLUS GRAND DE TOUS LES CRIMES ; que vous l'avez déjà commis,"(321290, 321322)","(54069, 54103)"
Diderot_Religieuse_2,"lez-moi donc dame Marguerite, EST-CE QUE VOUS VOUS TROUVEZ MAL ? 
MARGUERITE Non, mon enfant","e, lui dis-je, qu'avez-vous ? EST-CE QUE VOUS VOUS TROUVEZ MAL ? Que faut-il que je fasse ? ","(372556, 372588)","(54069, 54103)"
Diderot_Religieuse_3,t elle baignait ma plaie ; j'éTAIS ASSIS SUR LE BORD DE MON lit ; elle avait un genou en ," coudes pour les soutenir. J'éTAIS ASSISE SUR LE BORD DE SON lit, et je ne faisais rien ; ","(483619, 483648)","(54069, 54103)"
Diderot_Supplement_0,arrivé ?--Ce qui m'est arrivé EST-CE QUE VOUS NE LE VOYEZ pas ? On m'avait envoyé achet,"B . Là, sur cette table. 
A . EST-CE QUE VOUS NE ME LE CONFIEREZ pas ? 
B . Non ; mais nous po","(137259, 137286)","(11786, 11820)"
Diderot_Supplement_1,"ncipes... À boire... 
JACQUES JE NE SAIS CE QUE C'EST QUE des principes, sinon des règl","s offres. 
Orou répliqua : ---JE NE SAIS CE QUE C'EST QUE la chose que tu appelles reli","(152846, 152873)","(11786, 11820)"
Diderot_Supplement_2,attestèrent de leur constance UN CIEL QUI N'EST PAS UN INSTANT LE MÊME ; tout passait en eux et auto,"x êtres de chair, à la face d'UN CIEL QUI N'EST PAS UN INSTANT LE MÊME, sous des antres qui menacent","(195310, 195350)","(11786, 11820)"
Doppet_Memoires_0, de près ce qui se passe dans LES REPLIS LES PLUS SECRETS DE SON âme et à ne s'en imposer sur ," tombeau: elle va vous ouvrir LES REPLIS LES PLUS SECRETS DE SON cœur, mais elle le fera sans ","(189685, 189719)","(9407, 9441)"
Dorat_Malheurs_0,"x sur vous et vous parler. Ah SI VOUS POUVIEZ LIRE AU FOND DE MON cœur, et voir combien mes fau","peut-être il vous toucherait, SI VOUS POUVIEZ LIRE AU FOND DE MON âme, si vous pouviez savoir c","(268849, 268884)","(146531, 146566)"
Dorat_Sacrifices_0,"x sur vous et vous parler. Ah SI VOUS POUVIEZ LIRE AU FOND DE MON CŒUR, ET voir combien mes fautes passé","et le temps de votre absence. SI VOUS POUVIEZ LIRE AU FOND DE MON CŒUR, ET savoir à quel point il vous e","(268849, 268893)","(16200, 16244)"
Dulaurens_Imirce_0,"lez-moi donc dame Marguerite, EST-CE QUE VOUS VOUS TROUVEZ MAL ? 
MARGUERITE Non, mon enfant",". hélas... mon cœur s'en va---EST-CE QUE VOUS VOUS TROUVEZ MAL, Monsieur Dressant? Mes appas","(372556, 372588)","(355070, 355102)"
Florian_Estelle_0,"teur et courtier d'usure) qui SE PRÉCIPITENT DANS LES BRAS L'UN DE L'AUTRE... « EH c'est vous, monsieur le cheva","es deux bergers en se voyant, SE PRÉCIPITENT DANS LES BRAS L'UN DE L'AUTRE; ILS restent long-temps embrassés ","(394387, 394439)","(129961, 130010)"
Genlis_Adele_0,"ître, je voudrais bien savoir CE QUI SE PASSA AU FOND DE son âme, sinon dans le premie",que pour toute autre. Je sais CE QUI SE PASSE AU FOND DE votre âme... vous croyez qu'o,"(26267, 26293)","(1273428, 1273454)"
Genlis_Chevaliers_0,"vais entendu pendant la nuit, IL NE ME FUT PAS DIFFICILE DE DEVINER ce qui se traitait là. Je tou",utre étaient chargés de fers: IL NE ME FUT PAS DIFFICILE DE DEVINER que c'étaient là les malheure,"(55455, 55492)","(258409, 258446)"
Genlis_Chevaliers_1,"ger. J'ai cent fois essayé... JE NE FERMAI PAS L'ŒIL DE LA NUIT... 
LE MAÎTRE Non, non, dis-m"," amoureux de tous les hommes. JE NE FERMAI PAS L'ŒIL DE LA NUIT; je me levai avec le jour, et","(142323, 142356)","(258409, 258446)"
Gerard_Comte_0,"elle, il ne m'aime plus ... » JE NE VOUS FERAI POINT LE DÉTAIL DE TOUTES nos extravagances quand on no",dans la maison de notre père. JE NE VOUS FERAI POINT LE DÉTAIL DE TOUT ce que nous eûmes à souffrir.,"(210821, 210863)","(271452, 271492)"
Gorjy_Voyage_0,"s que tu descendras. 
JACQUES JE SUIS SÛR QUE VOUS NE DITES pas vrai. Comment, Monsieur, "," . . . „voilà l'heure. . . .--JE SUIS SÛR „QUE VOUS NE PENSERIEZ pas à „dormir, s'il y avait à","(292473, 292502)","(54009, 54043)"
Kimber_Thompson_0,n peut apprendre. Le fait est QUE NOUS EÛMES BIEN DE LA PEINE à regagner le village. Le fai,"tant, contre notre ordinaire, QUE NOUS EÛMES BIEN DE LA PEINE à gagner nos apartemens. Sir ","(376326, 376357)","(244495, 244526)"
Kimber_Thompson_1,ien obtenu qui vous dédommage DE TOUT CE QUE VOUS AVEZ FAIT pour elle. » ( Ici Jacques se,"étaient une excuse suffisante DE TOUT CE QUE VOUS AVEZ FAIT. 
Deux jours après l'arrivée ","(431767, 431796)","(244495, 244526)"
Kimber_Thompson_2,"nt de tous les valets, et que JE SUIS LE PLUS MALHEUREUX DE TOUS LES maîtres ? 
JACQUES N'est-il p", sans en perdre l'esprit; car JE SUIS LE PLUS MALHEUREUX DE TOUS LES hommes. L'Irlande est ma patr,"(489839, 489877)","(244495, 244526)"
Laclos_Liaisons_0,", répondit l'orateur du coin, QUI NE DEMANDAIT PAS MIEUX QUE DE pérorer. M. Aubertot, une de ","specteriez une femme honnête, QUI NE DEMANDAIT PAS MIEUX QUE DE vous trouver tel et de vous r","(92896, 92929)","(106597, 106630)"
Laclos_Liaisons_1,"elle, il ne m'aime plus ... » JE NE VOUS FERAI POINT LE DÉTAIL de toutes nos extravagances q","i mes injustices à réparer ? 
JE NE VOUS FERAI POINT LE DÉTAIL des faits ou des raisons qui ","(210821, 210853)","(106597, 106630)"
Lagrave_Sophie_0,"t ce ressort là... ? 
JACQUES JE VEUX QUE LE DIABLE M'EMPORTE SI JE conçois qu'il puisse jouer sa", pas un commencement pompeux? ... JE VEUX QUE LE DIABLE M'EMPORTE Si je ne l'aime réellement. Est,"(460321, 460358)","(56191, 56228)"
Lagrave_Zabeth_0,ce que tu n'es pas ma femme ? EST-CE QUE JE NE SUIS PAS ton mari ? Est-ce qu'un mari ,femme? Que m'importe? dit-il: EST-CE QUE JE NE SUIS PAS mon maître? il gardera ses mi,"(32893, 32918)","(150069, 150094)"
Lagrave_Zabeth_1,"e pour le reste de sa vie. 
--LE MAL N'EST PEUT-ÊTRE PAS AUSSI GRAND QUE VOUS LE croyez. 
--Le coup a été effr",solent ensemble. Partons..... LE MAL N'EST PEUT-ÊTRE PAS AUSSI GRAND QUE VOUS LE supposez. On voit mieux de pr,"(149921, 149971)","(150069, 150094)"
LaPlace_Collection_0,"nuit dans une maison écartée. LE LENDEMAIN, DÈS LA POINTE DU JOUR, mon capitaine, après avoir e","édictions sur mon entreprise. LE LENDEMAIN, DÈS LA POINTE DU JOUR, on vint, comme il me l'avait","(106511, 106546)","(378488, 378523)"
LaPlace_Collection_1,"s ennemis... 
JACQUES Madame, VOUS NE SAVEZ PAS CE QUE VOUS dites ; il y en a de bons, il","ous n'avez encore rien vu, et VOUS „NE SAVEZ PAS CE QUE VOUS perdriez, peut-être, „en reno","(176578, 176607)","(378488, 378523)"
Lesuire_Aventurier_0,"ace, avec injonction expresse DE SE RENDRE SUR-LE-CHAMP À SON poste, et défense de s'en élo","voir le général, lui fit dire DE SE RENDRE SUR LE CHAMP À SON armée. 
Il pesta beaucoup con","(102035, 102066)","(433715, 433746)"
Lesuire_Crime_0,"ppelé votre ami... 
LE MAÎTRE VOUS NE SAVEZ PAS CE QUE C'EST QUE le nom d'ami donné par un sup","ur me “parle, vous, malheureux, VOUS NE “SAVEZ PAS CE QUE C'EST Que l'honneur.“ 
ependant les p","(292838, 292872)","(714370, 714405)"
Lesuire_Crime_1,"r et courtier d'usure) qui se PRÉCIPITENT DANS LES BRAS L'UN DE L'AUTRE... « Eh c'est vous, monsieur ","t; c'était mon amant. Nous nouS PRÉCIPITÂMES DANS LES BRAS L'UN DE L'AUTre, malgré la présence de notr","(394390, 394431)","(714370, 714405)"
Loaisel_Comtesse_0,"t reconnaissant qu'elle était SANS SENTIMENT ET PRESQUE SANS VIE, IL la prit par le milieu du corp"," et reste, quelques instants, SANS SENTIMENT ET PRESQUE SANS VIE. IL revient à lui; mais pour sent","(264985, 265023)","(90758, 90796)"
Loaisel_Lucile_0,"t reconnaissant qu'elle était SANS SENTIMENT ET PRESQUE SANS VIE, IL la prit par le milieu du corp","n, et reste, quelques instants, SANS SENTIMENT ET PRESQUE SANS VIE. Il revient à 
lui; mais pour s","(264985, 265023)","(89841, 89879)"
Louvet_Annee_0,"te lever, je crois ? 
JACQUES ET QUE VOULEZ-VOUS QUE JE FASSE là ? 
LE MAÎTRE Je veux que t"," je ne saurais vous le dire! -ET QUE VOULEZ-VOUS QUE JE FASSE à cela, moi? -je vous demande","(121187, 121218)","(287819, 287850)"
Louvet_Annee_1,arrivé ?--Ce qui m'est arrivé EST-CE QUE VOUS NE LE VOYEZ pas ? On m'avait envoyé achet," mademoiselle, lui ai-je dit, EST-CE QUE VOUS NE LE CONNAISSEZ pas? "" elle a répondu: si fai","(137259, 137286)","(287819, 287850)"
Louvet_Fin_0,"e vin , de Collé...--Lecteur, VOUS NE SAVEZ CE QUE VOUS DITES ; à force de vouloir montrer "," qu'elle m'avertît! Monsieur, VOUS NE SAVEZ CE QUE VOUS DITES; on ne doit pas m'avertir, ca","(431912, 431943)","(84609, 84640)"
Marmontel_Contes_0,"se rien entre eux qui ne soit EN TOUT BIEN ET EN TOUT HONNEUR. 
-- Tu es un bon homme --Cel","itre à la main, aller donner, EN TOUT BIEN ET EN TOUT HONNEUR, cent soufflets à l'insolente","(160209, 160240)","(285013, 285044)"
Marmontel_Contes_1,"ppelé votre ami... 
LE MAÎTRE VOUS NE SAVEZ PAS CE QUE C'EST QUE le nom d'ami donné par un sup","rit Artenice. Ah! Mon enfant, VOUS NE SAVEZ PAS CE QUE C'EST QUE de céder à un homme avec qui ","(292838, 292872)","(285013, 285044)"
Mercier_An_0,"nd tu te portes mal. 
JACQUES JE SUIS BIEN AISE DE SAVOIR QUE vous êtes humain ; ce n'est p","uauté de leurs ministres. 
---JE SUIS BIEN AISE DE SAVOIR QUE les choses sont ainsi. J'aime","(120791, 120822)","(68134, 68165)"
Mercier_Jezennemours_0,"s un mauvais poète ; et comme JE NE VOUS CROIS PAS ASSEZ ROBUSTE pour entendre la vérité, vous","s avez sans doute perdue; car JE NE VOUS CROIS PAS ASSEZ ABANDONNÉ, pour avoir suivi de cœur les","(62860, 62894)","(181564, 181600)"
Mirabeau_Conversion_0,"ès tristes, mon cher Le Brun. MAIS IL NE S'AGIT PAS DE CELA ; écoutez-moi, j'aurais un mo","ore mieux vaut lui que rien ; MAIS IL NE S'AGIT PAS DE CELA, je vous parle d'un trésor : ","(394674, 394703)","(19906, 19935)"
Mirabeau_Rideau_0,te ; et Mme de La Pommeraye n'EUT RIEN DE PLUS PRESSÉ QUE DE témoigner à nos deux dévotes ,"que nous fûmes debout, elle n'EUT RIEN DE PLUS PRESSÉ QUE DE passer à l'examen de cet outi","(232909, 232939)","(152845, 152875)"
Morelly_Naufrage_0,"teur et courtier d'usure) qui SE PRÉCIPITENT DANS LES BRAS L'UN DE L'AUTRE... « Eh c'est vous, monsieur ",euvent croire leurs yeux; ils SE PRÉCIPITENT DANS LES BRAS L'UN DE L'AUTRE; leurs visages se couvrent de,"(394387, 394431)","(197352, 197396)"
Nerciat_Aphrodites_0,"utume. On se trouve une bande DE JEUNES GARÇONS ET DE JEUNES FILLES ; on boit, on rit, on danse ;","rière lui marchent sept coupleS DE JEUNES GARÇONS ET DE JEUNES FILLes ajustés de même, mais avec ","(361251, 361288)","(237779, 237816)"
Nerciat_Felicia_0," lamentations jusqu'à demain, IL N'EN SERA NI PLUS NI MOINS. 
-- Qu'allons-nous faire ? 
","alier, lui répondis-je ; mais IL N'EN SERA NI PLUS NI MOINS, vous ne saurez pas encore pa","(53469, 53498)","(361549, 361578)"
Retif_Paysanne_0,"t un incident, l'histoire est LE RÉCIT DE TOUT CE QUI S'EST PASSÉ pendant qu'ils s'aimaient. 
J","là, ma chère bonne amie sœur, LE RÉCIT DE TOUT CE QUI S'EST PASSÉ en cette occasion. Présentez,","(448356, 448391)","(176785, 176820)"
Riccoboni_LettreJuliette_0,"deux mains, je la remerciais, JE NE SAVAIS QUE LUI DIRE, JE ne savais comment je lui témo",y; elle l'a fixé près de moi; JE NE SAVAIS QUE LUI DIRE; JE l'ai prié de chanter; il a la,"(483959, 483988)","(75862, 75891)"
Riccoboni_LettresAdelaide_0,ce que tu n'es pas ma femme ? EST-CE QUE JE NE SUIS PAS ton mari ? Est-ce qu'un mari ,"eure, un esprit fort prévoyant. EST-CE QUE JE NE SUIS Pas auprès de Madame De Sancerr","(32893, 32918)","(179711, 179736)"
Rousseau_Emile_0,"out à l'heure ? 
L'HÔTESSE Et QUI EST-CE QUI NE SE FÂCHERAIT pas ? La pauvre créature ne l","n, quel amour il nous inspire QUI EST-CE QUI NE SE DIT pas: J'en voudrais avoir fait","(154920, 154950)","(781906, 781930)"
Rousseau_Emile_1,ien obtenu qui vous dédommage DE TOUT CE QUE VOUS AVEZ FAIT POUR elle. » ( Ici Jacques se met ,il faut prendre le contrepied DE TOUT CE QUE VOUS AVEZ FAIT POUR conduire un enfant. Ne balanc,"(431767, 431801)","(781906, 781930)"
Rousseau_Julie_0,"ous dis, sachez m'en beaucoup DE CE QUE JE NE VOUS DIS PAS. 
Tandis que nos deux théolog","nnûtes la mienne, jugez aussi DE CE QUE JE NE VOUS DIS PAS moi-même. Ah! milord, vos yeu","(10462, 10490)","(785569, 785597)"
Rousseau_Julie_1,"é du lit de Jacques, celui-ci NE LUI LAISSA PAS LE TEMPS DE parler. « J'ai tout entendu »", une honte pareille. Son mari NE LUI LAISSA PAS LE TEMPS DE fuir. Il courut à elle dans u,"(64855, 64884)","(785569, 785597)"
Sade_120_0,t un moment où presque toutes LES JEUNES FILLES ET LES JEUNES GARÇONS tombent dans la mélancolie ; , détermina de constater enfin LES JEUNES FILLES ET LES JEUNES GARÇONS que l'on pouvait mettre au ra,"(313273, 313312)","(706344, 706383)"
Sade_Aline_0,ence. Le commissaire ricanait EN PASSANT LA MAIN SOUS LE MENTON de la jeune fille qui s'était,"ant sur ses lèvres, il me dit EN ME PASSANT LA MAIN SOUS LE MENTON, que j’étais une petite fille","(327388, 327421)","(1139299, 1139335)"
Sade_Infortunes_0,"nuit dans une maison écartée. LE LENDEMAIN, DÈS LA POINTE DU JOUR, mon capitaine, après avoir e","us d'éclaircissement, je suis LE LENDEMAIN DÈS LA POINTE DU JOUR ramenée dans la prison de Lyo","(106511, 106546)","(269355, 269389)"
Sade_Justine_0,"ger. J'ai cent fois essayé... JE NE FERMAI PAS L'ŒIL DE LA NUIT... 
LE MAÎTRE Non, non, dis-m","oulait me dire cet homme, que JE NE FERMAI PAS L'ŒIL DE LA NUIT. J'arrive enfin à l'adresse i","(142323, 142356)","(452624, 452657)"
Sade_Philosophie_0,"ncipes... À boire... 
JACQUES JE NE SAIS CE QUE C'EST QUE des principes, sinon des règl","sque nous voulons raisonner ; JE NE SAIS CE QUE C'EST QUE le cœur, moi, je n'appelle ai","(152846, 152873)","(329907, 329934)"
Segur_Correspondance_0,", monsieur, et sur lesquels j'ESPÈRE QUE VOUS AUREZ LA BONTÉ DE me dire votre avis.--Aimez-vo","vous, avant de partir, mais j'ESPÈRE QUE VOUS AUREZ LA BONTÉ DE m'écrire à Sens. J'y serai le","(62410, 62443)","(563975, 564008)"
Souza_Adele_0,"t seul. 
JACQUES J'y rêverais LE RESTE DE MA VIE, QUE JE NE le devinerais pas ; j'en aura","; mais elle a tant influé sur LE RESTE DE MA VIE, QUE JE NE puis m'empêcher de vous en di","(85096, 85125)","(60885, 60914)"
Voisenon_Histoire_0,"vais raison ; mais je te jure QUE JE N'AI PAS LE BONHEUR DE mentir. 
--Cela est inconceva","ne pensez, madame. Sans doute QUE JE N'AI PAS LE BONHEUR DE vous plaire; je vois que je v","(422797, 422826)","(40072, 40101)"
Voltaire_Candide_0," paraisse également possible, JACQUES N'ÉTAIT PAS DE CET AVIS : IL n'y avait réellement de possi"," tout était on ne peut mieux. JACQUES N'ÉTAIT PAS DE CET AVIS. « IL faut bien, disait-il, que les","(38496, 38532)","(18977, 19014)"
Voltaire_Homme_0," peu de chose. 
BIGRE LE FILS JE VOUS AI DÉJÀ DIT QUE JE ne buvais pas. 
MOI Eh bien s","ritu Sancto. 
---Eh monsieur, JE VOUS AI DÉJÀ DIT QUE JE n'entends pas le latin ; expl","(360013, 360039)","(59681, 59707)"
Voltaire_Homme_1,"s sur ma passion. Il m'apprit QUE LE PÈRE ET LA MÈRE, ALARMÉS de mes assiduités, avaient fa"," moindre apparence de preuve, QUE LE PÈRE ET LA MÈRE, AIDÉS de deux de leurs filles, avai","(415046, 415077)","(59681, 59707)"
