,Text in Rousseau_Emile,Text in B,Location in Rousseau_Emile,Location in B
Cottin_Claire_1,"icte des cris, des mouvement, DES GESTES, QUI DONNENT UN COURS AUX ESPRITS ETAMP; SONT DIVERSION à la passion: tant qu'on s'ag","te des cris, des mouvement et DES GESTES QUI DONNENT UN COURS AUX ESPRITS, ET FONT DIVERSION à la douleur ; mais il s'est ","(1419818, 1419884)","(61659, 61699)"
Crebillon_Atheniennes_0," en m'embrassant, j'achèverai DE VOUS DIRE CE QUE JE PENSE; je ne veux point vous ouvrir",", au reste, vous me permettez DE VOUS DIRE CE QUE JE PENSE, les sens de Théodote ont ave","(805147, 805175)","(361153, 361181)"
Crebillon_Conte_0,"mp; se défiait si peu de moi, QUE J'EUS TOUTES LES PEINES DU MONDE à lui faire apercevoir que je","'autruche, vous concevez bien QUE J'EUS TOUTES LES PEINES DU MONDE à la croire vraie; car, enfin","(327980, 328016)","(323115, 323151)"
Diderot_Jacques_0,il faut prendre le contrepied DE TOUT CE QUE VOUS AVEZ FAIT POUR conduire un enfant. Ne balanc,ien obtenu qui vous dédommage DE TOUT CE QUE VOUS AVEZ FAIT POUR elle. » ( Ici Jacques se met ,"(873970, 874004)","(431767, 431801)"
Diderot_Neveu_0,"s?... je n'en sais rien; mais CE QUE JE SAIS, C'EST QUE JE ne reverrais de ma vie celui ","que je ne m'en mêle pas. Tout CE QUE JE SAIS, C'EST QUE JE voudrais bien être un autre, ","(1265523, 1265551)","(20130, 20158)"
Diderot_Supplement_0,"père, de commander à l'enfant CE QUI NE LUI EST BON À RIEN. 
Avant que les préjugés etam",". Il ne te donnera jamais que CE QUI NE LUI EST BON À RIEN, et te demandera toujours ce ","(143606, 143634)","(61079, 61107)"
Doppet_Memoires_0,"pas mêler. Le sage Locke, qui AVAIT PASSÉ UNE PARTIE DE SA VIE à l'étude de la médecine, rec","sans l'avoir connue; mon père AVAIT PASSÉ UNE PARTIE DE SA VIE au service, il était peu prop","(56321, 56353)","(14839, 14871)"
Doppet_Memoires_1, mais en différentes mesures. LE PLUS HEUREUX EST CELUI QUI SOUFFRE LE MOINS de peines; le plus misérable ,"humain. 
§ XII. 
Du bonheur. 
LE PLUS HEUREUX EST CELUI QUI SOUFFRE LE MOINS. 
(*) Peu de gens sont conten","(128027, 128073)","(14839, 14871)"
Dorat_Sacrifices_0," Vous lui dites sans cesse: "" TOUT CE QUE JE VOUS DEMANDE EST pour votre avantage; mais vou","é-je l'acheter de la mienne. 
TOUT CE QUE JE VOUS DEMANDE, C'EST de solliciter mon retour chez","(440938, 440969)","(364273, 364307)"
Ducray_Cinquante_0,'être fort savant pour sentir QUE TOUTE LA PRUDENCE HUMAINE NE PEUT lui répondre si dans une heur,"vénements si extraordinaires, QUE TOUTE LA PRUDENCE HUMAINE NE PEUT ni les calculer, ni les prévo","(582582, 582619)","(284890, 284927)"
Fievee_Dot_0," Vous lui dites sans cesse: "" TOUT CE QUE JE VOUS DEMANDE EST pour votre avantage; mais vou",t où ma bouche le prononçait. TOUT CE QUE JE VOUS DEMANDE EST de ne pas voir Suzette avant ,"(440938, 440969)","(38001, 38032)"
Genlis_Adele_0,"ternelle ne se supplée point. CELLE QUI NOURRIT L'ENFANT D'UNE AUTRE AU LIEU DU SIEN EST UNE MAUVAISE MÈRE: COMMENT SERA-T-ELLE UNE BONNE NOURRICE? Elle pourra le devenir, mais"," il dit entre'autres choses: ""CELLE QUI NOURRIT L'ENFANT D'UNE AUTRE AU LIEU DU SIEN, EST UNE MAUVAISE MÈRE; COMMENT SERA-T-ELLE UNE BONNE NOURRICE? "" Cette phrase vous inspire ","(24625, 24741)","(145339, 145456)"
Genlis_Adele_1,"ais accepté son offre, etamp; QUE J'EUSSE ERRÉ DANS MA MÉTHODE, C'ÉTAIT UNE ÉDUCATION MANQUÉE; SI J'AVAIS RÉUSSI, C'EÛT ÉTÉ BIEN PIS, SON FILS AURAIT RENIE SOIN TITRE, IL N'EÛT PLUS VOULU ÊTRE PRINCE. 
Je suis trop. pénétré de la","té son offre, ajoute-t-il, et QUE J'EUSSE ERRÉ DANS MA MÉTHODE, C'ÉTAIT UNE ÉDUCATION MANQUÉE. SI J'AVAIS RÉUSSI, C'EÛT ÉTÉ BIEN PIS; SON FILS AURAIT RENIÉ SON TITRE, IL N'EÛT PLUS VOULU ÊTRE PRINCE."" Et pourquoi aurait-il renon","(40515, 40684)","(145339, 145456)"
Genlis_Adele_2,"atteindra pas l'âge d'homme. 
QUE FAUT-IL DONC: PENSER DE CETTE ÉDUCATION BARBARE qui sacrifie le présent à un "," malheureux; ensuite il dit: ""QUE FAUT-IL DONC PENSER DE CETTE ÉDUCATION BARBARE... etc."" Cette imitation n'es","(123597, 123648)","(145339, 145456)"
Genlis_Adele_3," compter ni sur la naissance, NI SUR LA SANTÉ, NI SUR LES RICHESSES; MONTREZ-LUI TOUTES LES vicissitudes de la fortune; c","En lui apprenant à ne compter NI SUR LA SANTÉ NI SUR LES RICHESSES, MONTREZ-LUI TOUTES LES ressources, qui, dans les plu","(582053, 582114)","(145339, 145456)"
Genlis_Adele_4,"ompe, c'est malgré moi. Celui QUI LIT AU FOND DE MON CŒUR sait bien que je n'aime pas m","es! Mais que m'importe! Dieu, QUI LIT AU FOND DE MON CŒUR, me tiendra compte de mes pro","(855602, 855629)","(145339, 145456)"
Genlis_Chevaliers_0,"s yeux sur lui-même, il verra CE QUE VOUS AVEZ FAIT POUR LUI; quand il pourra se comparer ","rche: il m'a répondu qu'après CE QUE VOUS AVEZ FAIT POUR LUI, il vous l'aurait offerte, s'","(612896, 612926)","(73859, 73889)"
Genlis_Chevaliers_1,faut prendre le contrepied de TOUT CE QUE VOUS AVEZ FAIT POUR conduire un enfant. Ne balanc,"t ce que j'ai souffert, après TOUT CE QUE VOUS AVEZ FAIT POUR moi, vous n'avez plus le droi","(873973, 874004)","(73859, 73889)"
Gerard_Comte_0,"NSPIRÉ La raison vous apprend QUE LE TOUT EST PLUS GRAND QUE SA PARTIE; mais moi je vous apprends, d"," général, qu'il n'est évident QUE LE TOUT EST PLUS GRAND QUE SA PARTIE? Est-il moins évident et moin","(821352, 821392)","(340499, 340539)"
Gerard_Comte_1," est un mensonge, qu'il l'est QUE LA PARTIE EST PLUS GRANDE QUE LE TOUT. 
L'INSPIRÉ Quelle différence","etite portion du genre humain QUE LA PARTIE EST PLUS GRANDE QUE LE TOUT, que la même chose peut-être ","(823363, 823404)","(340499, 340539)"
Gorjy_Voyage_0,"Voisine, gardez-vous-en bien. NE VOYEZ VOUS PAS QUE C'EST UN petit libertin qu'on a chassé"," Monsieur, „de vous déranger. NE VOYEZ-VOUS „PAS QUE C'EST UN homme saoul„? 
“Qu'importe? E","(267405, 267435)","(64557, 64588)"
Jacquin_Parisiennes_0,"itique, comme le pensent ceux QUI NE JUGENT DES LIVRES QUE PAR leurs titres: c'est le plus b","térieur qui les environne, ou QUI NE JUGENT DES LIVRES QUE PAR la relieure. La dissection du","(9722, 9754)","(120033, 120065)"
Kimber_Thompson_0," Vous lui dites sans cesse: "" TOUT CE QUE JE VOUS DEMANDE EST pour votre avantage; mais vou","lère contre vous, mon enfant: TOUT CE QUE JE VOUS DEMANDE, C'EST de me confier votre embarras,","(440938, 440969)","(173286, 173320)"
Kimber_Thompson_1, seul qui m'en peut guérir. J'AI FAIT CE QUE J'AI PU POUR atteindre à la vérité; mais s,"t chagrine etamp; „alarmée, j'AI FAIT CE QUE J'AI PU POUR „modérer ses soupçons; mais m","(803129, 803156)","(173286, 173320)"
Kimber_Thompson_2," en m'embrassant, j'achèverai DE VOUS DIRE CE QUE JE PENSE; JE ne veux point vous ouvrir mon","e indifférence, permettez-moi DE VOUS DIRE CE QUE JE PENSE. JE crois que dès le premier coup","(805147, 805179)","(173286, 173320)"
Kimber_Thompson_3,il faut prendre le contrepied DE TOUT CE QUE VOUS AVEZ FAIT pour conduire un enfant. Ne b,"passer pour morte, les motifs DE TOUT CE QUE VOUS AVEZ FAIT depuis. Elle consentit à ce q","(873970, 873999)","(173286, 173320)"
Laclos_Liaisons_0,"rte, je voulus entrer; mais à PEINE EUS-JE FAIT QUELQUES PAS, QUE je m'arrêtai. En apercevant l","n fus assuré, je la suivis. A PEINE EUS-JE FAIT QUELQUES PAS, QUE, soit qu'elle me reconnût, so","(305970, 306005)","(96671, 96706)"
Laclos_Liaisons_1,"'être clair, simple et froid; LE TEMPS NE VIENDRA QUE TROP TÔT de prendre un autre langage. ","en savourer la douceur ! Ah ! LE TEMPS NE VIENDRA QUE TROP TÔT, où, dégradée par sa chute, e","(410315, 410347)","(96671, 96706)"
Lagrave_Sophie_0,'homme de regarder comme sien TOUT CE QUI EST EN SON POUVOIR. En ce sens le principe de Ho,e sa femme; il fait pour elle TOUT CE QUI EST EN SON POUVOIR pour la rendre heureuse; mais,"(152207, 152237)","(10162, 10192)"
Lagrave_Sophie_1,'être fort savant pour sentir QUE TOUTE LA PRUDENCE HUMAINE NE PEUT lui répondre si dans une heur,oumettre à tout. Je me persuadE PLUS QUE JAMAIS QUE TOUTE LA PRUDENce humaine ne peut rien contre,"(582582, 582619)","(10162, 10192)"
Lagrave_Zabeth_0,"'en pas mêler. Le sage Locke, QUI AVAIT PASSÉ UNE PARTIE DE SA VIE à l'étude de la médecine, rec","ademoiselle de Saint-Silvain, QUI AVAIT PASSÉ UNE PARTIE DE SA VIE dans les chagrins, pouvait à ","(56317, 56353)","(394777, 394813)"
LaPlace_Collection_0,"es autres corps, nous n'avons RIEN DE PLUS PRESSÉ QUE DE FAIRE une machine semblable à celle","on. 
Byam, en arrivant, n'eut RIEN DE PLUS PRESSÉ QUE DE FAIRE châtier cruellement les nègre","(431048, 431080)","(137876, 137908)"
Lesuire_Crime_0, seul qui m'en peut guérir. J'AI FAIT CE QUE J'AI PU POUR atteindre à la vérité; mais s,iré qu'il la fixât sur moi. J'AI FAIT CE QUE J'AI PU POUR attirer ses regards. Son œil ,"(803129, 803156)","(44206, 44233)"
Loaisel_Ainsi_0,"rter à lui? 
Il est donc vrai QUE L'HOMME EST LE ROI DE LA TERRE qu'il habite; car non seuleme",ourrir. Ah! C'est par l'amour QUE L'HOMME EST LE ROI DE LA TERRE; il est le signe de sa supéri,"(750464, 750498)","(41639, 41673)"
Loaisel_Ainsi_1,"ou trois principales langues; APRÈS Y AVOIR VU CE QU'IL Y A DE VRAIMENT curieux, soit en histoire nat", de la terre de Madame De V). APRÈS AVOIR VU CE QU'IL Y A DE PLUS curieux dans le parc qui est ,"(1359130, 1359171)","(41639, 41673)"
Loaisel_Comtesse_0,"sentiment du bonheur écrase l'HOMME, IL N'EST PAS ASSEZ FORT POUR LE supporter. 
Il y a bien peu d","subjugue! ... vous accablez l'HOMME, IL N'EST PAS ASSEZ FORT POUR VOUS supporter. 
Voyez la tendre L","(1371363, 1371401)","(24413, 24453)"
Loaisel_Lucile_0,"sentiment du bonheur écrase l'HOMME, IL N'EST PAS ASSEZ FORT POUR LE supporter. 
Il y a bien peu d","t subjugue!... vous accablez 
L'HOMME, IL N'EST PAS ASSEZ FORT POUR VOus supporter. 
Voyez la tendre","(1371363, 1371401)","(23317, 23357)"
Louvet_Annee_0," défiait si peu de moi, que j'EUS TOUTES LES PEINES DU MONDE À LUI FAIRE APERCEVOIR que je le trichais. Enfin j'e"," nom, chez M Du Portail. J'ai EU TOUTES LES PEINES DU MONDE À LUI FAIRE COMPRENDRE que cela n'était pas raisonna","(327986, 328039)","(57856, 57908)"
Louvet_Annee_1,"ur des idées que je n'ai pas. CE QUE JE SAIS BIEN, C'EST QUE l'identité du moi ne se prolo"," vicomte est redoutable; mais CE QUE JE SAIS BIEN, C'EST QUE ce n'est pas là, ce n'est pas","(768728, 768758)","(57856, 57908)"
Louvet_Fin_0,"naçante: Ce que je ferais?... JE N'EN SAIS RIEN; MAIS CE QUE JE SAIS, c'est que je ne reverrais de","pporter l'excès de la mienne? JE N'EN SAIS RIEN; MAIS CE QUE JE SAIS bien, c'est que j'allois, tou","(1265499, 1265537)","(1448, 1486)"
Maistre_Voyage_0,"aliment, dont il ne faut user QUE LE MOINS QU'IL EST POSSIBLE. IL importe que les enfants s'acc",'ailleurs je n'y pense jamais QUE LE MOINS QU'IL M'EST POSSIBLE. IL me suffit d'avoir donné le pl,"(104039, 104074)","(24278, 24315)"
Maistre_Voyage_1,raissois profondément occupe. IL N'EN FALLAIT PAS TANT POUR LE déterminer. Il ne manqua pas ,"aient demander des nouvelles: IL N'EN FALLAIT PAS TANT POUR LE mettre décidément au lit. 
Le","(265490, 265522)","(24278, 24315)"
Marmontel_Contes_0,mettre en crédit; etamp; pour MOI JE NE VOIS RIEN DE PLUS sot que ces enfants avec qui ,"n guerrier, ni bon soldat.-et MOI, JE NE VOIS RIEN DE PLUS gauche, de plus maussade qu'u","(158767, 158794)","(119566, 119594)"
Marmontel_Contes_1,der personne. Fille charmante IL N'EST PLUS TEMPS DE FEINDRE: VOUS voilà déclarée en dépit de vo,"ente où vous m'avez mise; car IL N'EST PLUS TEMPS DE FEINDRE. VOUS m'avez donné la vie, vous pou","(1195269, 1195305)","(119566, 119594)"
Merard_Bergeries_0,"mp; se défiait si peu de moi, QUE J'EUS TOUTES LES PEINES DU MONDE à lui faire apercevoir que je",son congé. Tu ne croirais pas QUE J'EUS TOUTES LES PEINES DU MONDE à m'en débarrasser; j'avais b,"(327980, 328016)","(23711, 23747)"
Mercier_An_0,"abitude etamp; d'obstination. ILS NE SONT POINT L'OUVRAGE DE LA nature, mais de la nourrice, ","ument dont l'œil est étonné : ILS NE SONT POINT L'OUVRAGE DE LA force, du nombre de la dextér","(100856, 100889)","(258970, 259003)"
Mercier_Jezennemours_0,de routes pour s'égarer. Mais IL N'APPARTIENT PAS À TOUT LE MONDE DE SAVOIR ne point agir. Dans l'inquiét,z...-ne crois pas plaisanter; IL N'APPARTIENT PAS À TOUT LE MONDE DE SAVOIR être voluptueux; c'est une ma,"(1267139, 1267184)","(16835, 16880)"
Mirabeau_Rideau_0,"au lieu de répondre, se lève, LUI PASSE UN BRAS AUTOUR DU COU, lui donne un baiser sur la j","idité, elle appela Vernol et, LUI PASSANT UN BRAS AUTOUR DU COU, elle pencha sa tête sur ses ","(1262111, 1262142)","(183859, 183892)"
Morelly_Naufrage_0,"s, les rivières sont chaudes; IL N'EN EST PAS DE MÊME DES SOURCES, qui n'ont pas reçu le contac",rdons pas à la perdre de vue. IL N'EN EST PAS DE MÊME DES CŒURS que la Nature a faits pour go,"(284490, 284525)","(120806, 120839)"
Morelly_Naufrage_1," elle se venge dès cette vie. VOUS ETAMP; VOS ERREURS, Ô NATIONS ÊTES SES MINISTRES. Elle emploie les maux que vo"," la Justice suprême se venge, VOUS ETAMP; VOS ERREURS, Ô NATIONS! ÊTES SES MINISTRES; sans donc, je le repète, que","(771297, 771350)","(120806, 120839)"
Nerciat_Aphrodites_0,"p; que c'est en ce sens qu'il NE FAUT PAS DISPUTER DES GOÛTS. 
LE goût est naturel à tous les h"," morceaux de musique. 
La ComtESSE. 
IL NE FAUT PAS DISPUTER DES goûts. 
Le Marquis. 
On aurait","(945184, 945219)","(444135, 444170)"
Nerciat_Etourdi_0,e la vanité qu faut préserver UN JEUNE HOMME ENTRANT DANS LE MONDE: il cède plus aux penchants d,"ns-les dans leurs progrès. 
"" UN JEUNE HOMME ENTRE DANS LE MONDE avec un mérite naissant, qui ","(914963, 914999)","(105795, 105829)"
Nerciat_Felicia_0," d'irritation. Éloignez d'eux AVEC LE PLUS GRAND SOIN LES DOMESTIQUES qui les agacent, les irritent",s ces suspensoirs était faite AVEC LE PLUS GRAND SOIN. LES PANNEAUX qui servaient d'issue s'ouvra,"(90763, 90802)","(350953, 350990)"
Retif_Paysanne_0,n'acquerrait aucune justesse. IL NE FAUT PAS NON PLUS QUE l'enfant passe tout d'un coup,"ce naturelle l'offusquerait ; IL NE FAUT PAS NON PLUS QUE les choses à faire, quelques ","(330189, 330216)","(371872, 371899)"
Retif_Paysanne_1," crains qu'elle ne tourne à l'UN OU À L'AUTRE, ET PEUT-ÊTRE À TOUS LES DEUX. Crains l'attrait spécieux du","z désunis, vous êtes perdus l'UN OU L'AUTRE, ET PEUT-ÊTRE TOUS LES DEUX. Je vous donnerai de bouche u","(402160, 402205)","(371872, 371899)"
Retif_Paysanne_2,'être fort savant pour sentir QUE TOUTE LA PRUDENCE HUMAINE NE PEUT lui répondre si dans une heur,"s vous y eussent réduite ; ce QUE TOUTE LA PRUDENCE HUMAINE NE PEUT quelquefois prévoir. Vous, po","(582582, 582619)","(371872, 371899)"
Retif_Paysanne_3,"ferais?... je n'en sais rien; MAIS CE QUE JE SAIS, C'EST QUE je ne reverrais de ma vie cel","de, et les grandes compagnies : MAIS CE QUE JE SAIS, C'EST Que tous ceux qui nous connaiss","(1265518, 1265548)","(371872, 371899)"
Riccoboni_Histoire_0,"eune homme, etamp; u'on grave AU FOND DE SON CŒUR LE SOUVENIR de ce qu'ont dit. 
Jusqu'ici ",étouffer les remords qu'élève AU FOND DE SON CŒUR LE SOUVENIR d'une femme sensible et malhe,"(891275, 891306)","(58897, 58928)"
Rousseau_Julie_0,"he naturelle au cœur humain. 
VOILA CE QUE J'AI TÂCHÉ DE FAIRE dans toutes les difficultés q", et non d’un esprit de parti. VOILÀ CE QUE J’AI TÂCHÉ DE FAIRE par l’avis de quelque gens éc,"(42695, 42727)","(458846, 458878)"
Rousseau_Julie_1,"; bave pour toute réponse. 
A CONSIDÉRER L'ENFANCE EN ELLE-MÊME, Y A-T-IL AU MONDE UN ÊTRE PLUS FAIBLE, PLUS MISÉRABLE, PLUS À LA MERCI DE TOUT CE QUI L'ENVIRONNE, QUI AIT SI GRAND BESOIN DE PITIÉ, de soins, de protection, qu'"," qu’il n’est qu’un enfant. 
A CONSIDÉRER L’ENFANCE EN ELLE-MÊME, Y A-T-IL AU MONDE UN ÊTRE PLUS FAIBLE, PLUS MISÉRABLE, PLUS À LA MERCI DE TOUT CE QUI L’ENVIRONNE, QUI AIT SI GRAND BESOIN DE PITIÉ, d’amour, de protection, qu’u","(155728, 155894)","(458846, 458878)"
Rousseau_Julie_2,"p; un air si touchant qu'afin QUE TOUT CE QUI L'APPROCHE S'INTÉRESSE À SA FAIBLESSE ETAMP; S'EMPRESSE À LE SECOURIR? QU'Y A-T-IL DONC DE PLUS CHOQUANT, DE PLUS CONTRAIRE À L'ORDRE, QUE DE VOIR UN ENFANTS IMPÉRIEUX ETAMP; MUTIN COMMANDER À TOUT CE QUI l'entoure etamp; prendre impu","e et un air si touchant, afin QUE TOUT CE QUI L’APPROCHE S’INTÉRESSE À SA FAIBLESSE ET S’EMPRESSE À LE SECOURIR? QU’Y A-T-IL DONC DE PLUS CHOQUANT, DE PLUS CONTRAIRE À L’ORDRE, QUE DE VOIR UN ENFANT IMPÉRIEUX ET MUTIN, COMMANDER À TOUT CE QUI l’entoure, prendre impudemmen","(156024, 156244)","(458846, 458878)"
Rousseau_Julie_3,"r un enfants impérieux etamp; MUTIN COMMANDER À TOUT CE QUI L'ENTOURE ETAMP; PRENDRE IMPUDEMMENT LE TON DE MAÎTRE AVEC CEUX QUI N'ONT QU'À L'ABANDONNER POUR LE FAIRE périr? 
D'autre part, qui ne ","e voir un enfant impérieux et MUTIN, COMMANDER À TOUT CE QUI L’ENTOURE, PRENDRE IMPUDEMMENT UN TON DE MAÎTRE AVEC CEUX QUI N’ONT QU’À L’ABANDONNER POUR LE FAIRE périr et d’aveugles parents a","(156215, 156350)","(458846, 458878)"
Rousseau_Julie_4,ons pour maxime incontestable QUE LES PREMIERS MOUVEMENTS DE LA NATURE SONT TOUJOURS droits: il n'y a point de per," qu’il demanderait, persuadée QUE LES PREMIERS MOUVEMENT DE LA NATURE SONT TOUJOURS bons et salutaires. Mais je n","(168277, 168331)","(458846, 458878)"
Rousseau_Julie_5," nature donne au cerveau d'un ENFANTS CETTE SOUPLESSE QUI LE REND PROPRE À RECEVOIR TOUTES SORTES D'IMPRESSIONS, CE N'EST PAS POUR QU'ON Y GRAVE DES NOMS DE ROIS, DES DATES, DES TERMES DE BLASON, DE SPHÈRE, DE GÉOGRAPHIE, ETAMP; TOUS CES MOTS SANS AUCUN SENS pour son âge etamp; sans aucu","nature a donné au cerveau des ENFANTS CETTE SOUPLESSE QUI LE REND PROPRE À RECEVOIR TOUTES SORTES D’IMPRESSIONS, CE N’EST PAS POUR QU’ON Y GRAVE DES NOMS DE ROIS, DES DATES, DES TERMES DE BLASON, DE SPHÈRE, DE GÉOGRAPHIE ET TOUS CES MOTS SANS AUCUN SENS pour leur âge et sans aucune ","(229886, 230114)","(458846, 458878)"
Rousseau_Julie_6,"sphère, de géographie, etamp; TOUS CES MOTS SANS AUCUN SENS POUR SON ÂGE ETAMP; SANS AUCUNE UTILITÉ POUR QUELQUE ÂGE QUE CE SOIT; DONT ON ACCABLE SA triste etamp; stérile enfance",", de sphère, de géographie et TOUS CES MOTS SANS AUCUN SENS POUR LEUR ÂGE ET SANS AUCUNE UTILITÉ POUR QUELQUE ÂGE QUE CE SOIT, DONT ON ACCABLE LEUR triste et stérile enfance; ma","(230085, 230203)","(458846, 458878)"
Rousseau_Julie_7,t on accable sa triste etamp; STÉRILE ENFANCE; MAIS C'EST POUR QUE TOUTES LES IDÉES qu'il peut concevoir etamp; q,ont on accable leur triste et STÉRILE ENFANCE; MAIS C’EST POUR QUE TOUTES LES IDÉES relatives à l’état de l’homme,"(230218, 230271)","(458846, 458878)"
