,Text in LaPlace_Collection,Text in B,Location in LaPlace_Collection,Location in B
Chevrier_Colporteur_0,"efforts auprès d'Onahal, pour LA METTRE DANS LE CAS DE NE pouvoir rien refuser de ce qu","ère trop féconde, on vient de LA METTRE DANS LE CAS DE NE plus faire d'enfants. Parbleu","(44675, 44702)","(7299, 7326)"
Constant_Laure1_0,"votre rang, et regardons tout CE QUI VIENT DE SE PASSER, COMME non avenu. 
Ce discours ne fa",des consolations. Cachons lui CE QUI VIENT DE SE PASSER ENTRE nous; qu'elle ne puisse pas s,"(134715, 134747)","(95778, 95809)"
Constant_Laure1_1,"retournai à ma chambre, moins OCCUPÉE DE TOUT CE QUE JE VENAIS d'apprendre, que de la lettre","nfermer dans ma chambre, bien OCCUPÉE DE TOUT CE QUE JE VENAIS d'entendre. J'aurois bien de ","(367045, 367077)","(95778, 95809)"
Constant_Laure2_0,n allait rendre compte au roi DE CE QUI VENAIT DE SE PASSER. On suppliait enfin le prince, suppliai qu'on ne parlât poinT DE CE QUI VENAIT DE SE PASSer; bientôt je restai seule av,"(51633, 51662)","(107694, 107723)"
Constant_Laure2_1,"ner; je me croyais abandonnée DE TOUT LE MONDE, ET JE PENSAIS QUE je n'aurois plus d'autre comp",e sûre que ce plaisir a l'apprOBATION DE TOUT LE MONDE; ET JE Pense que je ferais plaisir à m,"(228791, 228826)","(107694, 107723)"
Cottin_Claire_0,"ns à votre rang, et regardons TOUT CE QUI VIENT DE SE PASSER, comme non avenu. 
Ce discour",i-même... Je voulais t'écrire TOUT CE QUI VIENT DE SE PASSER ; mais je ne le puis : ma mai,"(134710, 134740)","(110485, 110515)"
Crebillon_Atheniennes_0,"avoir qui vous convient, que „JE NE DOUTE POINT QUE VOUS NE continuiez à „cultiver le peu","cher Alcibiade, non seulement JE NE DOUTE POINT QUE VOUS NE m'aimiez, mais je ne me conna","(222799, 222828)","(74235, 74264)"
Crebillon_Atheniennes_1, ne sais si j'aurai pourtant „LA FORCE DE VOUS DIRE COMBIEN JE VOUS AIME; „et je prends le parti de vo,"pouvoir pas aujourd'hui avoir LA FORCE DE VOUS DIRE COMBIEN JE VOUS AIME: mais l'amour et vous, êtes e","(297857, 297899)","(74235, 74264)"
Crebillon_Atheniennes_2,e flattée de cette situation. IL NE FUT PLUS QUESTION QUE DE prendre les mesures nécessair,"nyme. Tout convenu entre eux, IL NE FUT PLUS QUESTION QUE DE me faire voir ma victime ui, ","(356233, 356263)","(74235, 74264)"
Crebillon_Atheniennes_3,ras qu'allaient me causer les ENGAGEMENTS QUE JE VENAIS DE PRENDRE AVEC le père... et même avec le co," hâtée de vous instruire de l'ENGAGEMENT QUE JE VENAIS DE PRENDRE AVEC Thrazylle, lorsqu'il m'était ","(371682, 371723)","(74235, 74264)"
Crebillon_Conte_0,", les yeux baignés de larmes, QUE „VOULEZ-VOUS QUE JE VOUS DISE? et que puis-je „répondre à u","ment, et d'ailleurs... enfin, QUE VOULEZ-VOUS QUE JE VOUS DISE? Je n'aime pas cela moi. Mais","(248250, 248283)","(302879, 302911)"
Crebillon_Conte_1,", et certifia à madame Duclos TOUT CE QUE JE VENAIS DE LUI DIRE. Elle ne répondit: plus que p","fus sur le point de reprendre TOUT CE QUE JE VENAIS DE LUI DIRE: mais, sans compter que nous ","(402000, 402033)","(302879, 302911)"
Crebillon_Conte_2," „ma chère bonne, lui dis-je, JE N'AI PAS LA FORCE „DE VOUS parler; mais soyez assurée qu"," cet aveu tourner contre moi, JE N'AI PAS LA FORCE DE VOUS le refuser. Ah! S'écria-t-il,","(442033, 442062)","(302879, 302911)"
Crebillon_Nuit_0,n allait rendre compte au roi DE CE QUI VENAIT DE SE PASSER. On suppliait enfin le prince,"te. Elle me parut si humiliée DE CE QUI VENAIT DE SE PASSER, que je crus qu'étant aussi s","(51633, 51662)","(134705, 134734)"
Diderot_Jacques_0," à son retour de la chasse, n'EUT RIEN DE PLUS PRESSÉ QUE DE courir chez Imoinda. Avec que",te ; et Mme de La Pommeraye n'EUT RIEN DE PLUS PRESSÉ QUE DE témoigner à nos deux dévotes ,"(29228, 29258)","(232909, 232939)"
Diderot_Jacques_1,"nuai-je; vous vous attristez? EST-CE QUE VOUS „NE SERIEZ PAS encore content? Non, mademois","lus dangereux des ennemis. 
--EST-CE QUE VOUS NE SERIEZ PAS tenté de le voir ? 
-- Nullem","(316607, 316637)","(232909, 232939)"
Diderot_Jacques_2,"édictions sur mon entreprise. LE LENDEMAIN, DÈS LA POINTE DU JOUR, on vint, comme il me l'avait","pente par une petite échelle. LE LENDEMAIN, DÈS LA POINTE DU JOUR, avant que Bigre le père fût ","(378488, 378523)","(232909, 232939)"
Diderot_Religieuse_0,"e m'importuner; je me croyais ABANDONNÉE DE TOUT LE MONDE, ET JE pensais que je n'aurois plus ","ais qu'elle était fort mal et ABANDONNÉE DE TOUT LE MONDE, ET JE ne pouvais quitter. Vous pens","(228780, 228814)","(392470, 392504)"
Diderot_Religieuse_1,z envoyé par lui des „lettres QUE VOUS AVEZ EU LA BONTÉ DE m'écrire: „il s'est servi de ,"nédiction de votre maison. Ce QUE VOUS AVEZ EU LA BONTÉ DE m'apprendre de vous, de madem","(303606, 303634)","(392470, 392504)"
Doppet_Memoires_0," que je me félicitai moi-même DE CE QUE JE VENAIS DE FAIRE. “Le chevalier, „me disais-je",je faisais.... Sans me douter DE CE QUE JE VENAIS DE FAIRE... je fus l'épouse de M. de W,"(301799, 301827)","(31311, 31339)"
Doppet_Memoires_1,"t je viens de rendre compte. 
FIN DE LA PREMIÈRE PARTIE. 
MÉMOIRES DE CÉCILE.SECONDE PARTIE. 
Malgr","orce d'abandonner ma patrie. 
FIN DE LA PREMIÈRE PARTIE. 
MÉMOIRES DE MADAME DE WARENS. SECONDE PAR","(333191, 333230)","(31311, 31339)"
Dorat_Malheurs_0,"t qu'elle vous avait informée DE „TOUT CE QUE JE VIENS DE VOUS apprendre. Jugez, „mademoisel","e aimera cette femme là. Mais DE TOUT CE QUE JE VIENS DE VOUS citer, rien n'a été sérieux q","(337639, 337671)","(221156, 221187)"
Dorat_Malheurs_1,"sse, dès lors, l'aveu sincère DE TOUT CE QUI SE PASSAIT DANS mon âme. Ce ne fut point le d","amant, juge de mon effroi, et DE TOUT CE QUI SE PASSAIT EN moi à cette proposition! J'ai","(429232, 429262)","(221156, 221187)"
Dorat_Sacrifices_0,"En vérité vous me tourmentez „PLUS QUE JE NE PUIS VOUS LE DIRE, et je n'ai jamais été comme ",ait point affecté... il l'est PLUS QUE JE NE PUIS VOUS LE DIRE. Quelle femme vous rendez mal,"(319445, 319477)","(227251, 227283)"
Florian_Galatee_0,"ns à votre rang, et regardons TOUT CE QUI VIENT DE SE PASSER, comme non avenu. 
Ce discour","mpêche de rapporter à ton ami TOUT CE QUI VIENT DE SE PASSER, en mettant le nom de celle q","(134710, 134740)","(71461, 71491)"
Genlis_Adele_0,"e la part du prince, en avait EXPRIMÉ SA RÉCONNAISSANCE DANS LES TERMES LES PLUS tendres; en vain le vieil ama"," seules, Adèle et moi, elle m'EXPRIMA SA RÉCONNAISSANCE DANS LES TERMES LES PLUS touchant. Vous m'avez donné, ","(25888, 25938)","(1197314, 1197364)"
Genlis_Adele_1,"loya tout ce que l'amitié lui INSPIRA DE PLUS TENDRE ET DE PLUS persuasif, pour l'engager à s","ant tout ce que l'amitié peut INSPIRER DE PLUS TENDRE ET DE PLUS touchant. M De Valmont, jusqu","(137263, 137296)","(1197314, 1197364)"
Genlis_Chevaliers_0,"loya tout ce que l'amitié lui INSPIRA DE PLUS TENDRE ET DE PLUS persuasif, pour l'engager à s",ce que la réconnaissance peut INSPIRER DE PLUS TENDRE ET DE PLUS touchant. Quand les deux chev,"(137263, 137296)","(55673, 55707)"
Genlis_Chevaliers_1,"tendîmes arriver une voiture. JE NE DOUTAI POINT QUE CE NE FÛT madame Duclos, et je ne me tr", frappa doucement à la porte; JE NE DOUTAI POINT QUE CE NE FÛT mon père. On ouvrit la porte;,"(400770, 400802)","(55673, 55707)"
Genlis_Chevaliers_2,"ect. En effet cette personne, TELLE QUE JE VIENS DE LA DÉPEINDRE, alla bien au-delà des ordres","ns cet espace de cinq années, TELLE QUE JE VIENS DE LA DÉPEINDRE; enfin la fortune, qui avait ","(410852, 410886)","(55673, 55707)"
Genlis_Chevaliers_3,t de mon cœur. J'aurois voulu PASSER LES JOURS ET LES NUITS ENTIÈRES auprès de ma chère Agathe. En,"uitter son malheureux ami, et PASSA LES JOURS ET LES NUITS ENTIÈRES au chevet de son lit. Dans la","(485648, 485686)","(55673, 55707)"
Gerard_Comte_0,"s son espèce. Elles possédant TOUT CE QUI EST DU RESSORT DE ce que nous appelons Beauté, ","
En deux mots, ma fille, dans TOUT CE QUI EST DU RESSORT DE l'entendement humain, des idé","(11795, 11824)","(128292, 128321)"
Gerard_Comte_1," raison et la vertu faisaient DANS SON ESPRIT ET DANS SON CŒUR. Il m'apprenait, avec douleur","lémens à ton fils, d'en jeter DANS SON ESPRIT ET DANS SON CŒUR les premières semences? Sont-","(424322, 424354)","(128292, 128321)"
Gerard_Comte_2,au père.... toutes les peines DE MON ESPRIT ET DE MON CŒUR. Je me flattai qu'il ne dédai,"issant, formaient déjà autour DE MON ESPRIT ET DE MON CŒUR comme un double rempart, qu'i","(519046, 519074)","(128292, 128321)"
Gerard_Comte_3," Je vous paroîs, sans „doute, LE PLUS COUPABLE ET LE PLUS MÉPRISABLE „DE TOUS LES hommes? et, sur une apparence","acré caractère, que je serais LE PLUS COUPABLE ET LE PLUS VIL DE TOUS LES hommes, si je pouvais encore ","(526024, 526075)","(128292, 128321)"
Jacquin_Parisiennes_0,"de ravissement, aussi flatté „DE LA CONFIANCE DONT VOUS M'HONOREZ, QUE „d'être cru capable de concou"," Mais ne serait-ce pas abuser DE LA CONFIANCE DONT VOUS M'HONOREZ, QUE de vous importuner de vous fa","(188640, 188680)","(55794, 55834)"
Kimber_Thompson_0,"las! j'ai tout perdu„, furent LES SEULES PAROLES QUE JE PUS PRONONCER DANS ma douleur: je les répétai so","oit en abondance de mes yeux, LES SEULES PAROLES QUE JE PUS PRONONCER DANS les intervalles de mes mouvem","(205743, 205787)","(469972, 470016)"
Kimber_Thompson_1,"es, mépris pour le chevalier, EN UN MOT TOUT CE QUI POUVAIT tourmenter mon esprit et mon ","ncier, la nature de ma dette, EN UN MOT TOUT CE QUI POUVAIT les instruire de mon affaire.","(348898, 348927)","(469972, 470016)"
Kimber_Thompson_2,"imes bientôt la vie commune. 
IL Y AVAIT DÉJÀ LONG-TEMPS QUE JE N'AVAIS REÇU de lettres du chevalier de Be","t en lambeaux autour de moi. 
IL Y AVAIT DÉJÀ LONG-TEMPS QUE JE N'AVAIS PLUS de souliers; mais les pieds m","(553941, 553987)","(469972, 470016)"
