,Text in Dorat_Sacrifices,Text in B,Location in Dorat_Sacrifices,Location in B
Gerard_Comte_0,"ve faibles aujourd'hui! Après TOUT CE QUE JE VIENS DE DIRE, ai-je besoin de vous nommer ","çoivent. 
Ajoute, ma fille, à TOUT CE QUE JE VIENS DE DIRE, les prestiges de la déclamat","(5333, 5361)","(495834, 495862)"
Gerard_Comte_1,ons-nous fait à l'envi contre LES DROITS DE LA NATURE ET DE l'amour! En vain je m'encoura,"ontrera un dieu, le défenseur DES DROITS DE LA NATURE ET DE la religion, également intére","(198378, 198407)","(495834, 495862)"
Jacquin_Parisiennes_0,"er à mon sentiment. Une autre GRÂCE QUE JE VOUS DEMANDE, C'EST DE lui écrire et de... je ne sai","vre les ordres d'Hortence! La GRÂCE QUE JE VOUS DEMANDE, C'EST DE m'apprendre où est Julie. 
Ma","(9643, 9678)","(321727, 321762)"
Kimber_Thompson_0,"é-je l'acheter de la mienne. 
TOUT CE QUE JE VOUS DEMANDE, C'EST DE solliciter mon retour chez mo","lère contre vous, mon enfant: TOUT CE QUE JE VOUS DEMANDE, C'EST DE me confier votre embarras, af","(364273, 364310)","(173286, 173323)"
Laclos_Liaisons_0,"ui ne pouvait échapper qu'à l'AMOUR LE PLUS TENDRE, ET LE PLUS résolu à tous les sacrifices.","l'assurance et l'hommage de l'AMOUR LE PLUS TENDRE ET LE PLUS respectueux. 
De ... ce 26 ao","(18466, 18498)","(167364, 167395)"
Laclos_Liaisons_1,er dans la salle d'audience . JE NE PUS M'EMPÊCHER DE RIRE EN la traversant. Elle était ple,"a mère et un de la fille ; et JE NE PUS M'EMPÊCHER DE RIRE, EN trouvant dans tous deux litté","(118672, 118703)","(167364, 167395)"
Laclos_Liaisons_2,"M De Valois; il vous acquitte DE TOUT CE QUE J'AI FAIT POUR vous. 
PARTIE 2 LETTRE 16 Du ","riez que je ne vous dise rien DE TOUT CE QUE J'AI FAIT POUR ça, et qui m'a donné tant de ","(259159, 259188)","(167364, 167395)"
Lagrave_Zabeth_0,"ne m'aime pas... n'importe... CE QUE JE VOUS AI DIT, JE VOUS le répète; et si vous suivez ","j'aie de préjugés. Vous savez CE QUE JE VOUS AI DIT? JE VOUS aime tendrement, et vous rega","(97106, 97136)","(15320, 15350)"
Lagrave_Zabeth_1,"onsieur, c'est un parti pris. JE NE VEUX PLUS ENTENDRE PARLER DE l'amour (même du vôtre), je n",'ai bien aimé mon frère; mais JE NE VEUX PLUS ENTENDRE PARLER DE lui! Qu'il reste avec sa lady,"(112626, 112660)","(15320, 15350)"
LaPlace_Collection_0,ait point affecté... il l'est PLUS QUE JE NE PUIS VOUS LE DIRE. Quelle femme vous rendez mal,"En vérité vous me tourmentez „PLUS QUE JE NE PUIS VOUS LE DIRE, et je n'ai jamais été comme ","(227251, 227283)","(319445, 319477)"
