,Text in Genlis_Chevaliers,Text in B,Location in Genlis_Chevaliers,Location in B
Crebillon_Conte_0,sa le presser davantage; mais IL PASSA LE RESTE DE LA JOURNÉE dans l'état le plus cruel. En,ertir le roi pour le conseil. IL PASSA LE RESTE DE LA JOURNÉE à s'impatienter immodérement ,"(50695, 50726)","(350039, 350070)"
Crebillon_Conte_1,niquement le reste du jour et LA PLUS GRANDE PARTIE DE LA NUIT; je me promis à moi-même de r,"même la générosité d'attendre LA PLUS GRANDE PARTIE DE LA NUIT, qu'il se rendit digne des mi","(109479, 109511)","(350039, 350070)"
Crebillon_Conte_2,"as blessé, avait fait éclater LA JOIE LA PLUS VIVE ET LA plus touchante. Elle s'est tr","embarras et à son inquiétude, LA JOIE LA PLUS VIVE ET LES plus tendres transports. Je n","(275667, 275693)","(350039, 350070)"
Crebillon_Conte_3," tourner entièrement la tête. MAIS CE FUT EN VAIN QUE JE renouvelai mes questions, et ",ontés que j'ai eues pour eux. MAIS CE FUT EN VAIN QUE JE lui demandai pour moi la même,"(362542, 362568)","(350039, 350070)"
Crebillon_Conte_4," Armoflède, qui, de son côté, NE FUT PAS MÉDIOCREMENT SURPRISE DE VOIR Ogier en habit de berger. Ce ","inistre en aurait le démenti, NE FUT PAS MÉDIOCREMENT SURPRIS DE VOIR la plus grande partie des sén","(382045, 382085)","(350039, 350070)"
Crebillon_Nuit_0,niquement le reste du jour et LA PLUS GRANDE PARTIE DE LA NUIT; je me promis à moi-même de r,"hommes, qui sont ici, a passé LA PLUS GRANDE PARTIE DE LA NUIT dans ma chambre ? Auriez-vous","(109479, 109511)","(14956, 14988)"
Diderot_Jacques_0,utre étaient chargés de fers: IL NE ME FUT PAS DIFFICILE DE DEVINER que c'étaient là les malheure,"vais entendu pendant la nuit, IL NE ME FUT PAS DIFFICILE DE DEVINER ce qui se traitait là. Je tou","(258409, 258446)","(55455, 55492)"
Diderot_Jacques_1," amoureux de tous les hommes. JE NE FERMAI PAS L'ŒIL DE LA NUIT; je me levai avec le jour, et","ger. J'ai cent fois essayé... JE NE FERMAI PAS L'ŒIL DE LA NUIT... 
LE MAÎTRE Non, non, dis-m","(359248, 359281)","(55455, 55492)"
Diderot_Religieuse_0,"e son palais, en lui laissant UN BILLET QUI NE CONTENAIT QUE CES MOTS: Maria ne veut point être un ","dis la main, et l'on me donna UN BILLET QUI NE CONTENAIT QUE CES MOTS : « Combien vous m'avez inqui","(414825, 414864)","(117156, 117195)"
Doppet_Memoires_0,"cette confidence. Ce discours FUT UN COUP DE FOUDRE POUR MOI, et dans cet instant me conva","re maître. 
A ce discours qui FUT UN COUP DE FOUDRE POUR MOI, jugez de quel sentiment fut ","(376597, 376627)","(29834, 29864)"
Dorat_Malheurs_0,onnu mes sentiment pour vous: JE N'EN AI PAS EU LA FORCE... voilà le tort que je me re,e son ignorance rend heureux! JE N'EN AI PAS EU LA FORCE. Cependant l'image de Madame ,"(150645, 150671)","(168722, 168748)"
Dorat_Sacrifices_0," qui nous a perdus. Pour prix DE TOUT CE QUE J'AI FAIT POUR toi, donne-moi ta fille, et q","M De Valois; il vous acquitte DE TOUT CE QUE J'AI FAIT POUR vous. 
PARTIE 2 LETTRE 16 Du ","(488592, 488621)","(259159, 259188)"
Ducray_Cinquante_0,"r, Olivier, poursuivit-il, et PLUS QUE VOUS NE PENSEZ: JE VOUS ai vu à l'armée, je vous ai v","s votre cœur, et j'y vois.... PLUS QUE VOUS NE PENSEZ.--JE VOUS jure pourtant, madame, que mo","(135339, 135371)","(135179, 135212)"
Ducray_Cinquante_1,"cette confidence. Ce discours FUT UN COUP DE FOUDRE POUR MOI, et dans cet instant me conva"," pour jamais.“ 
“Cette lettre FUT UN COUP DE FOUDRE POUR MOI. Je me rendis à la prison, où","(376597, 376627)","(135179, 135212)"
Ducray_Cinquante_2,"ent entendues et recueillies. LE RESTE DE LA SOIRÉE SE PASSA tristement; toutes les dames,","qu'il ambitionnait le moins. 
LE RESTE DE LA SOIRÉE SE PASSA ainsi en doux entretiens, et ","(761103, 761133)","(135179, 135212)"
Fievee_Dot_0,ons de me préparer d'avance à LA CONDUITE QUE JE DEVAIS TENIR POUR démasquer entièrementArmoflèd,"il ne serait plus, me traçait LA CONDUITE QUE JE DEVAIS TENIR POUR achever l'éducation de notre ","(444198, 444234)","(18365, 18401)"
Florian_Estelle_0,"t fini, le jeune homme courut SE JETER DANS LES BRAS DE SA MÈRE, qu'on avait déposée et attac","obéit, vient saluer son père, SE JETTE DANS LES BRAS DE SA MÈRE qu'elle presse fortement cont","(259802, 259835)","(46402, 46435)"
Florian_Estelle_1,"n'était pas dénué de charmes, ET POUR LA PREMIÈRE FOIS DEPUIS SON MALHEUR, il éprouvait une émotion viv"," de ses jours, lui dit adieu, ET POUR LA PREMIÈRE FOIS DEPUIS SON MALHEUR, Némorin put enfin pleurer. 
","(769434, 769477)","(46402, 46435)"
Florian_Galatee_0, d'essayer de les franchir; j'AUROIS DONNÉ LA MOITIÉ DE MA VIE POUR me retrouver encore quelques ,"souffrais pendant ce récit. J'AUROIS DONNÉ LA MOITIÉ DE MA VIE POUR être au lendemain, pour aller","(171924, 171961)","(45033, 45070)"
Florian_Galatee_1," l'ébène, étaient détachés et FLOTTAIENT SUR SES ÉPAULES; SES BRAS NUS, d'une blancheur éblouissante",ses longs cheveux en désordre FLOTTAIENT SUR SES ÉPAULES; SES BRAS NUS et nerveux pressaient Élicio ,"(268239, 268279)","(45033, 45070)"
Fourqueux_Zely_0, dans une obscurité profonde. POUR LA PREMIÈRE FOIS DE MA VIE JE connus la terreur. Mon imagin," mal; et si “vous voulez que, POUR LA PREMIÈRE FOIS “DE MA VIE, JE vous aie obligation, “faites-","(617645, 617679)","(71442, 71478)"
Fourqueux_Zely_1,"r et sa fortune et sa patrie. JE N'AI PAS LE DROIT DE M'EN plaindre, mais cet oubli de s",", cela ne dépend pas de moi: “JE N'AI PAS LE DROIT DE L'EN empêcher; “et, pourvu qu'il n","(633715, 633743)","(71442, 71478)"
Genlis_Adele_0,"ui place au rang des préjugés LES SENTIMENT DE LA NATURE ET L'AMOUR de la patrie, et ces maximes ","voilà donc déjà, sans compter LES SENTIMENT DE LA NATURE ET L'AMOUR, deux espèces d'amitié très-d","(22935, 22972)","(416238, 416275)"
Genlis_Adele_1,"cher ce funeste secret; après TOUT CE QUE VOUS AVEZ VU, JE suis enfin forcé de vous le r","parole de ne lui rien dire de TOUT CE QUE VOUS AVEZ VU; JE vous la donne, répondis-je. E","(50307, 50335)","(416238, 416275)"
Genlis_Adele_2,"s remerciement à Isambard, et AVEC LES EXPRESSIONS DE LA PLUS VIVE ET DE LA PLUS TENDRE RÉCONNAISSANCE. Comme Isambard ne répondit r","ndre le bénir et le remercier AVEC LES EXPRESSIONS DE LA PLUS VIVE ET DE LA PLUS TENDRE RÉCONNAISSANCE. Au son de sa voix, nous vîme","(269073, 269145)","(416238, 416275)"
Genlis_Adele_3,"as blessé, avait fait éclater LA JOIE LA PLUS VIVE ET LA PLUS touchante. Elle s'est trouvée","ttendu, j'aurois dû ressentir LA JOIE LA PLUS VIVE ET LA PLUS pure; mais j'avais souffert t","(275667, 275698)","(416238, 416275)"
Genlis_Adele_4,ace briguée depuis long-temps PAR TOUT CE QU'IL Y AVAIT DE PLUS illustre à sa cour; place à l," de l'Italie, me fut demandée PAR TOUT CE QU'IL Y AVAIT DE PLUS distingué dans Rome. Depuis l","(315051, 315084)","(416238, 416275)"
Genlis_Adele_5,"u pour ne pas lire facilement TOUT CE QUI SE PASSAIT DANS SON ÂME, ET pour n'être pas certain que d","e paraître ignorer absolument TOUT CE QUI SE PASSAIT DANS SON ÂME, ET avec un air de simplicité et ","(326331, 326370)","(416238, 416275)"
Genlis_Adele_6,"ait douce et si délicate, que JE NE DOUTAI PAS QU'ELLE NE FÛT charmante; mais je m'aperçus ","ès-bavarde, et par conséquent JE NE DOUTAIS PAS QU'ELLE NE FÛT très-capable de mentir, et de","(355307, 355338)","(416238, 416275)"
Genlis_Adele_7," qui nous a perdus. Pour prix DE TOUT CE QUE J'AI FAIT POUR toi, donne-moi ta fille, et q","nfant, comme il me récompense DE TOUT CE QUE J'AI FAIT POUR lui! ... Il m'a promis de ne ","(488592, 488621)","(416238, 416275)"
Genlis_Adele_8,"reux Olivier; voilà, Diaulas, LA SEULE PREUVE DE RÉCONNAISSANCE QUE VOUS PUISSIEZ LUI donner. Allez, seigneur, répo","tort, si ce n'est vous? C'est LA SEULE PREUVE DE RÉCONNAISSANCE QUE VOUS PUISSIEZ LUI donner. Avez-vous le droit d'","(514635, 514690)","(416238, 416275)"
Genlis_Adele_9,"ul avec son ami, lui fit part DE TOUT CE QUI VENAIT DE SE PASSER. Barmécide admira la modérati","teur, plus surpris que touché DE TOUT CE QUI VENAIT DE SE PASSER, prit alors une véritable par","(1029733, 1029767)","(416238, 416275)"
Gerard_Comte_0,"l'honneur, en exigeant de moi LE PLUS GRAND DE TOUS LES SACRIFICES, m'ordonne de vous résister! ","lus sensible; il nous arrache LE PLUS GRAND DE TOUS LES SACRIFICES, et nous force encore à le bé","(139384, 139420)","(543521, 543557)"
Gerard_Comte_1,. Ordalie était affaiblie par LA QUANTITÉ DE SANG QU'ELLE AVAIT PERDUE; mais sa blessure était extrê,"entièrement sa raison. Malgré LA QUANTITÉ DE SANG QU'ELLE AVAIT PERDU, l'ardeur de la fièvre lui do","(179188, 179228)","(543521, 543557)"
Gorjy_Voyage_0,da avec une sorte de timidité QUE JE NE LUI AVAIS JAMAIS VUE. J'avais composé mon visage d,"t une contenance respectueuse QUE JE NE LUI AVAIS JAMAIS VUE; et, m'abordant, en tenant le","(148023, 148053)","(38886, 38916)"
Jacquin_Parisiennes_0,"d'un tel crime. Il lui conta, EN PEU DE MOTS, TOUT CE QUI S'ÉTAIT PASSÉ; Olivier l'écouta froidement;","tification. 
Je lui rapportai EN PEU DE MOTS TOUT CE QUI S'ÉTAIT PASSÉ depuis son départ de Paris: j","(45886, 45927)","(309266, 309306)"
Jacquin_Parisiennes_1,"dit heureux et satisfait pour LE RESTE DU JOUR. LE LENDEMAIN, JE desirai passionnément qu'Abas",on agitation: je m'en occupai LE RESTE DU JOUR: LE LENDEMAIN JE me rendis chez Madame de Roug,"(595225, 595259)","(309266, 309306)"
Kimber_Thompson_0,la belle Célanire: il voulait PARTIR SUR LE CHAMP POUR ALLER CHERCHER et rejoindre Olivier; mais Ch,"ines du monde à l'empêcher de PARTIR SUR LE CHAMP POUR ALLER CHERCHER ce malheureux, etamp; le puni","(21337, 21376)","(344831, 344870)"
Kimber_Thompson_1,niquement le reste du jour et LA PLUS GRANDE PARTIE DE LA NUIT; je me promis à moi-même de r,sse d'amour pour nous occuper LA PLUS GRANDE PARTIE DE LA NUIT à parler ensemble de notre bo,"(109479, 109511)","(344831, 344870)"
Kimber_Thompson_2,"ment pour Olivier, et lui fit LE RÉCIT DE TOUT CE QUI S'ÉTAIT passé entre eux; elle insista","gleterre, je lui fis moi-même LE RÉCIT DE TOUT CE QUI M'ÉTAIT arrivé depuis l'instant fatal","(875738, 875769)","(344831, 344870)"
Laclos_Liaisons_0,"nom de mon indigne ravisseur; TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE, dans une de nos solennités r"," perdre que de la surprendre. TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE, placée par M. de Valmont ent","(184248, 184288)","(619365, 619405)"
Laclos_Liaisons_1," qui nous a perdus. Pour prix DE TOUT CE QUE J'AI FAIT POUR toi, donne-moi ta fille, et q","riez que je ne vous dise rien DE TOUT CE QUE J'AI FAIT POUR ça, et qui m'a donné tant de ","(488592, 488621)","(619365, 619405)"
Lagrave_Sophie_0,"nd homme connut aisément tout CE QUI SE PASSAIT DANS MON CŒUR, IL EN parut vivement touché; et dan",esse. J'ai senti la nécessité DE LUI DISSIMULER CE QUI SE PASSAIT DANS mon cœur; il m'en coûtait de ,"(140577, 140615)","(147099, 147139)"
Lagrave_Sophie_1, ce seul mot me fit connaître TOUT CE QUI SE PASSAIT DANS SON âme; le plus éloquent discour,"x fixément arrêtés sur lui, je POUVAIS JUGER DE TOUT CE QUI Se passait dans son âme. 
Enfin","(167835, 167866)","(147099, 147139)"
Lagrave_Sophie_2,"it de lumière, qui fit passer DANS LE FOND DE MON CŒUR LA plus douce espérance! Cette j","onte et le dépit se sont fait VIOLEMMENT SENTIR DANS LE FONd de mon cœur. 
La rage s'étai","(176437, 176464)","(147099, 147139)"
Lagrave_Sophie_3,"dèle: je le serrai long-temps DANS MES BRAS EN VERSANT UN TORRENT DE LARMES, et lorsqu'il m'eut quitté, j","écipita hors de cette voiture, ET VINT SE JETER DANS MES BRAS EN VERSANT UN torrent de larmes. Je la pres","(632276, 632321)","(147099, 147139)"
Lagrave_Zabeth_0," pouvait voir facilement tout CE QUI SE PASSAIT DANS LA CHAMBRE, par le moyen d'une petite ou"," dessus, en tournant le dos à CE QUI SE PASSAIT DANS LA CHAMBRE. Quand la table fut couverte,","(51413, 51446)","(271611, 271644)"
Lagrave_Zabeth_1,"nom de mon indigne ravisseur; TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE, dans une de nos solennités r","t: je ne puis vous en donner. TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE la vieille femme chez laquell","(184248, 184288)","(271611, 271644)"
Lagrave_Zabeth_2,"t fini, le jeune homme courut SE JETER DANS LES BRAS DE SA mère, qu'on avait déposée et ","e objection. Cette bonne Anna SE JETA DANS LES BRAS DE SA tante, et lui avoua, en cacha","(259802, 259830)","(271611, 271644)"
LaPlace_Collection_0,ce que la réconnaissance peut INSPIRER DE PLUS TENDRE ET DE PLUS touchant. Quand les deux chev,"loya tout ce que l'amitié lui INSPIRA DE PLUS TENDRE ET DE PLUS persuasif, pour l'engager à s","(55673, 55707)","(137263, 137296)"
LaPlace_Collection_1,doucit l'horreur de mon sort! IL NE M'ÉTAIT PLUS POSSIBLE DE RÉPANDRE des larmes; le saisissement e," était sans remède. En effet, IL NE M'ÉTAIT PLUS POSSIBLE DE ME REFUSER à des arrangement que j'avais","(102065, 102104)","(137263, 137296)"
LaPlace_Collection_2, frappa doucement à la porte; JE NE DOUTAI POINT QUE CE NE FÛT mon père. On ouvrit la porte;,"tendîmes arriver une voiture. JE NE DOUTAI POINT QUE CE NE FÛT madame Duclos, et je ne me tr","(184785, 184817)","(137263, 137296)"
LaPlace_Collection_3,t avec tout le sentiment de l'AMITIÉ LA PLUS TENDRE ET LA PLUS exaltée; en me parlant d'elle,"ur, qu'elle conçut pour moi l'AMITIÉ LA PLUS TENDRE ET LA PLUS confiante. Je fus d'autant pl","(187588, 187620)","(137263, 137296)"
LaPlace_Collection_4, et le cœur également remplis DE TOUT CE QUE JE VENAIS D'ENTENDRE. Je passai près d'un mois de ,lui ai rendu un compte „exact DE TOUT CE QUE JE VENAIS D'APPRENDRE: „je l'en ai trouvée aussi in,"(205154, 205189)","(137263, 137296)"
LaPlace_Collection_5,"que j'ai souffert, après tout CE QUE VOUS AVEZ FAIT POUR MOI, vous n'avez plus le droit de","l y a tant de générosité dans CE QUE „VOUS AVEZ FAIT POUR MOI, que je serais injuste, „si j","(305122, 305152)","(137263, 137296)"
LaPlace_Lydia_0,"Armoflède répondit brièvement AVEC UN SON DE VOIX SI DOUX et si plaintif, qu'Isambard, ",", avec un accent si flatteur, AVEC UN SON DE VOIX SI DOUX, que toutes les fibres de mon","(270272, 270299)","(20113, 20140)"
Leonard_Clementine_0,"ans ses bras! Non, crois-moi, CE N'EST POINT LE DÉPIT QUI ME FAIT PARLER: je ne m'abuse plus maintenan",e je l'observe de sang-froid. CE N'EST POINT LE DÉPIT QUI ME FAIT PARLER: hélas! Il n'en est peut-être,"(855905, 855947)","(3909, 3951)"
Leonard_Lettres_0,"s et n'entendais plus rien de CE QUI SE PASSAIT AUTOUR DE MOI, lorsque tout à coup une port","chinalement, sans trop savoir CE QUI SE PASSAIT AUTOUR DE MOI; je le croyais même encore pr","(125953, 125984)","(10772, 10803)"
Leonard_Lettres_1,"ini, le jeune homme courut se JETER DANS LES BRAS DE SA MÈRE, qu'on avait déposée et attac","u'elle avait fait, elle s'est JETÉE DANS LES BRAS DE SA MÈRE. Madame de Saint-Cyran la cou","(259805, 259835)","(10772, 10803)"
Leonard_Lettres_2,"mais le voile fut enlevé; et, PARÉE DE TOUS LES DONS DE LA NATURE, et de tous les charmes de la"," qui me faisait parler: vous, PARÉE DE TOUS LES DONS DE LA NATURE, chère à toute une ville, l'i","(589468, 589503)","(10772, 10803)"
Lesuire_Aventurier_0,niquement le reste du jour et LA PLUS GRANDE PARTIE DE LA NUIT; je me promis à moi-même de r,". Il avait neigé, sans doute, LA PLUS GRANDE PARTIE DE LA NUIT, l'on voit sous quel fardeau ","(109479, 109511)","(284086, 284118)"
Lesuire_Aventurier_1, fit asseoir à côté d'elle: l'AIR ÉTAIT EMBAUMÉ DU PARFUM DES FLEURS qui nous environnaient; la lu," traversant les feuillages. L'AIR ÉTAIT EMBAUMÉ DU PARFUM DES FLEURS. Je pressai, dans mes bras, m","(149563, 149601)","(284086, 284118)"
Lesuire_Crime_0,oi-même de renfermer à jamais DANS LE FOND DE MON CŒUR LE sentiment impérieux qui le re,"le mariage, que je contracteraI DANS LE FOND DE MON CŒUR. 
Le Comte de Rouéville, à Frédé","(109559, 109586)","(650343, 650372)"
Lesuire_Crime_1,"nom de mon indigne ravisseur; TOUT CE QUE JE PUIS VOUS DIRE, c'est que, dans une de nos s","crupules? 
“Voilà, mon bon ami, TOUT CE QUE JE PUIS VOUS DIre, pour le présent, sur ce su","(184248, 184277)","(650343, 650372)"
Lesuire_Crime_2,"araissait être un pêcheur, et UN JEUNE HOMME DE LA FIGURE LA PLUS intéressante, et décoré des m"," quand j'en ai besoin. J'y voiS UN JEUNE-HOMME, DE LA FIGURE LA PLus douce la plus agréable, qui","(230101, 230136)","(650343, 650372)"
Louvet_Annee_0,"plupart de mes lecteurs. Car, DANS CE SIÈCLE DE LUMIÈRES ET DE sensibilité , l'amitié se man","duel est la plus respectable. DANS CE SIÈCLE DE LUMIÈRES ET DE philosophie, la férocité des ","(20800, 20832)","(122184, 122216)"
Louvet_Annee_1,"nom de mon indigne ravisseur; TOUT CE QUE JE PUIS VOUS DIRE, C'EST que, dans une de nos solennit","e absolument, me répondit-il: TOUT CE QUE JE PUIS VOUS DIRE, C'EST qu'hier au soir, vous sortiez","(184248, 184284)","(122184, 122216)"
Louvet_Annee_2,"us, puisque vous êtes blessé, ET QUE JE NE LE SUIS PAS. Je vous exhorte à vous défie","t que je fais le connaisseur, ET QUE JE NE LE SUIS PAS. -comment donc?-comment, made","(273401, 273425)","(122184, 122216)"
Louvet_Annee_3,"r sur ses jambes tremblantes; JE LA PRIS DANS MES BRAS, ET je l'entraînai hors du bois: ","us, mille choses à se dire. "" JE LA PRIS DANS MES BRAS ET la portai dans ma chambre: qu","(330081, 330109)","(122184, 122216)"
Louvet_Fin_0," peu d'instants j'allois être LE PLUS INFORTUNÉ DES HOMMES, JE NE voyais plus que son abattemen","nérale! Oui, je suis en effet LE PLUS INFORTUNÉ DES HOMMES… JE NE la verrai plus… Non content d","(162321, 162356)","(264992, 265027)"
Maistre_Voyage_0,ienne. Que devins-je alors en SERRANT POUR LA PREMIÈRE FOIS DANS MES bras et contre mon sein cet o,"ler du bonheur d'un amant qui SERRE POUR LA PREMIÈRE FOIS, DANS SES bras, une épouse vertueuse? p","(165904, 165942)","(9613, 9650)"
Marmontel_Belisaire_0,"ime et fidèle, l'enthousiasme DE LA GLOIRE ET DE LA VERTU, où trouverai-je des modèles ","me à la source de la sagesse, DE LA GLOIRE ET DE LA VERTU. Vous honorez trop ma vieille","(1138, 1165)","(54872, 54899)"
Marmontel_Contes_0,"nd homme connut aisément tout CE QUI SE PASSAIT DANS MON CŒUR, il en parut vivement touché;",aisser éclater sur mon visage CE QUI SE PASSAIT DANS MON CŒUR! Vous auriez vu bien autre ch,"(140577, 140608)","(203328, 203359)"
Marmontel_Contes_1," foudroyantes, je sentis tout MON SANG SE GLACER DANS MES VEINES... MES yeux se couvrirent d'un voile","poux dans mes bras. Je sentis MON SANG SE GLACER DANS MES VEINES; MES genoux ployèrent sous moi, et","(450275, 450316)","(203328, 203359)"
Marmontel_Contes_2,"essivement, affermissoient en MOI LA PLUS CHÈRE ET LA PLUS audacieuse espérance: enfin j","ami, dit Hortense, voilà pour MOI LA PLUS CHÈRE ET LA PLUS touchante de tes leçons. J'av","(582672, 582700)","(203328, 203359)"
Marmontel_Incas_0,"e sceau auprès de son lit; il LEVA LES MAINS VERS LE CIEL, AVEC l'expression de la plus vive ","eureux étendus sur les bancs, LEVER LES MAINS VERS LE CIEL, AVEC des plaintes lamentables, ou ","(52823, 52856)","(244807, 244841)"
Merard_Bergeries_0,"du jardin: Célanire s'arrête; ELLE VEUT PARLER, LA PAROLE EXPIRE SUR SES LÈVRES: elle lève vers le ciel ses m","ssent, un soupir lui échappe; ELLE VEUT PARLER, LA PAROLE EXPIRE SUR SES LÈVRES, ses forces l'abandonnent, el","(165702, 165751)","(28961, 29010)"
Mercier_Jezennemours_0,"t un moment toute son audace; ET, POUR LA PREMIÈRE FOIS DE SA VIE, un sentiment qui ressemblait","cœur de l'homme; elle aimait, ET POUR LA PREMIÈRE FOIS DE SA VIE: elle voulait donc s'attacher","(432576, 432611)","(75548, 75582)"
Morelly_Naufrage_0,d'assujettir à leurs caprices LES DROITS LES PLUS SACRÉS DE LA NATURE et de l'amour... c'est ainsi ," qui vient de les en combler, LES DROITS LES PLUS SACRÉS DE LA NATURE. Ils déplient leurs voiles, l","(593995, 594034)","(412791, 412830)"
Nerciat_Aphrodites_0," moment toute son audace; et, POUR LA PREMIÈRE FOIS DE SA VIE, un sentiment qui ressemblait",s'avise de prendre la chose de TRAVERS; POUR LA PREMIÈRE FOIS de sa vie il vient à s'imagin,"(432580, 432611)","(500530, 500561)"
Nerciat_Etourdi_0,"t un moment toute son audace; ET, POUR LA PREMIÈRE FOIS DE SA VIE, un sentiment qui ressemblait","eut parler, sa voix s'éteint. ET POUR LA PREMIÈRE FOIS DE SA VIE elle reçoit et donne mille ba","(432576, 432611)","(62682, 62716)"
Nerciat_Felicia_0,"rbare; mais je dissimulai, et JE NE M'OCCUPAI PLUS QUE DES MOYENS DE ravir ce qu'il me refusait si","ents ainsi pris avec Monrose, JE NE M'OCCUPAI PLUS QUE DES MOYENS DE bien envelopper le chevalier ","(224337, 224375)","(318389, 318427)"
Nerciat_Felicia_1,"s remerciement à Isambard, et AVEC LES EXPRESSIONS DE LA PLUS VIVE et de la plus tendre réconnai",n ; il me serra dans ses bras AVEC LES EXPRESSIONS DE LA PLUS VIVE tendresse ; mais j'y répondis,"(269073, 269109)","(318389, 318427)"
Popeliniere_Daira_0,niquement le reste du jour et LA PLUS GRANDE PARTIE DE LA NUIT; je me promis à moi-même de r,Nous passames elle etamp; moi LA PLUS GRANDE PARTIE DE LA NUIT à redire les mêmes choses; je,"(109479, 109511)","(43782, 43814)"
Prevost_Manon_0,"nd homme connut aisément tout CE QUI SE PASSAIT DANS MON CŒUR, il en parut vivement touché;", deux mains pour y développer CE QUI SE PASSAIT DANS MON CŒUR. Je n'osais rappeler ce que j,"(140577, 140608)","(29222, 29253)"
Prevost_Manon_1, sentis mes forces défaillir; CEPENDANT JE CONSERVAI ASSEZ DE PRÉSENCE D'ESPRIT POUR connaître toute l'horreur de ,"r tous mes maux par la mort. 
CEPENDANT JE CONSERVAI ASSEZ DE PRÉSENCE D'ESPRIT POUR vouloir examiner auparavant s","(185776, 185830)","(29222, 29253)"
Prevost_Manon_2, et je vis couler ses larmes; JE REPRIS LA PAROLE POUR LUI DIRE tout ce que l'amour peut insp,"e je n'en avais pas à perdre, JE REPRIS LA PAROLE POUR LUI DIRE que j'étais touché de toutes ","(326051, 326084)","(29222, 29253)"
Prevost_Manon_3,us étonné et le plus amoureux DE TOUS LES HOMMES. JE NE FERMAI pas l'œil de la nuit; je me l, traiter comme le plus infâme DE TOUS LES HOMMES : JE NE MÉRITE pas des noms si durs. C'est l,"(359228, 359260)","(29222, 29253)"
Prevost_Monde_0,"ente et frappée; ses discours NE FIRENT PAS LA MOINDRE IMPRESSION SUR l'esprit d'Olivier: au reste,","ça de réveiller ma tendresse, NE FIRENT PAS LA MOINDRE IMPRESSION SUR mon cœur. Tout semblait gliss","(102525, 102564)","(156656, 156695)"
Prevost_Monde_1,"d besoin... ici elle soupira, ET SANS ME LAISSER LE TEMPS DE RÉPONDRE: je suis née, poursuivit-elle","connaissez-vous le comte de ? ET SANS ME LAISSER LE TEMPS DE RÉPONDRE; c'est moi-même, ajouta-t-il.","(359848, 359887)","(156656, 156695)"
Prevost_Monde_2,"de leur voyage, il les traita AVEC AUTANT DE GRÂCES QUE DE POLITESSE; Isambard même, quoique exces","ieur, conclut Mademoiselle De AVEC AUTANT DE GRÂCES QUE DE POLITESSE, les deux femmes que vous voy","(528834, 528872)","(156656, 156695)"
Prevost_Monde_3,"dons de la nature, et de tous LES CHARMES DE LA JEUNESSE ET DE LA pudeur, Abassa parut à mes ye","u mérite, animé peut-être par LES CHARMES DE LA JEUNESSE ET DE LA beauté, a pu me faire sortir ","(589516, 589551)","(156656, 156695)"
Retif_Paysanne_0,"nom de mon indigne ravisseur; TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE, dans une de nos solennités r"," jamais d'entrer par lettre ; TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE si j'ai fait manquer le maria","(184248, 184288)","(18833, 18873)"
Retif_Paysanne_1,"t avec tout le sentiment de l'AMITIÉ LA PLUS TENDRE ET LA PLUS EXALTÉE; en me parlant d'elle, ses pl"," crise est passée : c'est à l'AMITIÉ LA PLUS TENDRE ET LA PLUS VIVE à t'en féliciter. Mais, chère","(187588, 187628)","(18833, 18873)"
Reveroni_Pauliska_0,conversation. Ils m'apprirent QUE LA PLUS GRANDE PARTIE DE CES arbres était consacrée aux di,"i su depuis, le croirait-on ? QUE LA PLUS GRANDE PARTIE DE CES infâmes scélérats avait été é","(193466, 193498)","(148729, 148761)"
Riccoboni_Histoire_0, ce seul mot me fit connaître TOUT CE QUI SE PASSAIT DANS SON âme; le plus éloquent discour,n lui montrant qu'elle savait TOUT CE QUI SE PASSAIT DANS SON âme. Par cette conduite elle ,"(167835, 167866)","(117667, 117698)"
Riccoboni_LettreJuliette_0,"s tant de fois, qu'elle s'est POUR JAMAIS GRAVÉE DANS MA MÉMOIRE: JE SUIS certain que vous serez charmé",chagrins que j'ai sentis sont POUR JAMAIS GRAVÉS DANS MA MÉMOIRE. JE SUIS bien éloignée de désirer qu'i,"(366950, 366993)","(15573, 15616)"
Riccoboni_LettreJuliette_1," sincère autant que sensible; JE NE DOIS ME PLAINDRE QUE DE MOI-MÊME... ah! 
Seigneur, interrompit","ais vous avez raison, madame, JE NE DOIS ME PLAINDRE QUE DE MOI-MÊME; je serais trop heureux si j'","(426795, 426833)","(15573, 15616)"
Riccoboni_LettresAdelaide_0," peuvent désirer que l'oubli; TOUT CE QU'IL M'EST POSSIBLE DE VOUS DIRE, seigneur, c'est que vous voy",; je vous ai dit sur le marquiS TOUT CE QU'IL M'EST POSSIBLE DE VOUS DIre: mes sentiment à son égard ,"(177987, 178028)","(128565, 128606)"
Riccoboni_LettresAdelaide_1, dans une obscurité profonde. POUR LA PREMIÈRE FOIS DE MA VIE JE connus la terreur. Mon imagin,"faire la possession d'un autre. POUR LA PREMIÈRE FOIS DE MA VIE, je me suis dit avec complaisan","(617645, 617679)","(128565, 128606)"
