,Text in Crebillon_Nuit,Text in B,Location in Crebillon_Nuit,Location in B
LaPlace_Collection_0,"sse obligé de prendre. Enfin, QUE VOULEZ-VOUS QUE JE VOUS DISE ? La tête me tourna, et si bi",", les yeux baignés de larmes, QUE „VOULEZ-VOUS QUE JE VOUS DISE? et que puis-je „répondre à u","(111496, 111528)","(248250, 248283)"
Leonard_Clementine_0," me paraît tout simple ; mais CE QUE JE NE CONÇOIS PAS, C'EST QU'APRÈS VOUS ayez été la trouver dans sa c","ancher les jours de sa fille? CE QUE JE NE CONÇOIS PAS, C'EST QUE VOUS ayez pu mettre au mondecette ","(35118, 35163)","(68356, 68396)"
Lesuire_Aventurier_0,"hommes, qui sont ici, a passé LA PLUS GRANDE PARTIE DE LA NUIT dans ma chambre ? Auriez-vous",". Il avait neigé, sans doute, LA PLUS GRANDE PARTIE DE LA NUIT, l'on voit sous quel fardeau ","(14956, 14988)","(284086, 284118)"
Lesuire_Crime_0,"fices à faire que nous-mêmes, JE NE VOIS PAS À PROPOS DE QUOI l'on voudrait qu'elle se rapp", elle dans ce gentil bercail. JE NE VOIS PAS À PROPOS DE QUOI cette folle s'expose à tant d,"(7044, 7075)","(217574, 217605)"
Loaisel_Ainsi_0,"assurément très fâchée contre VOUS, IL M'EST IMPOSSIBLE DE NE PAS rire de la singularité de ce ","t paru une chimère; auprès de VOUS IL EST IMPOSSIBLE DE NE PAS croire à sa réalité. 
LETTRE ","(55484, 55519)","(22822, 22854)"
Louvet_Fin_0,"e l'est en effet. 
CIDALISE. 
CE QUE JE NE COMPRENDS PAS, C'EST qu'une femme, telle que vous ","u moins lui sont nécessaires. CE QUE JE NE COMPRENDS PAS, C'EST qu'après avoir tout récemment","(35942, 35975)","(247736, 247769)"
Louvet_Fin_1,"ose... 
CIDALISE. 
Après tout CE QUE JE VIENS DE VOUS DIRE, ce serait à moi une assez be", qu'elle baisa; pardonnez-moi CE QUE JE VIENS DE VOUS DIRE; pardonnez-moi les étourderie,"(51208, 51236)","(247736, 247769)"
Marmontel_Contes_0,"r à lui, et les dispositions, OÙ JE ME TROUVE, NE ME PERMETTENT PAS DE craindre qu'il puisse à prése"," partie, madame: la situation OÙ JE ME TROUVE NE ME PERMET PAS DE vous amuser plus long-temps.-","(26599, 26639)","(242616, 242651)"
Marmontel_Contes_1,"procher. C'est, je vous jure, EN TOUT BIEN ET EN TOUT HONNEUR que je vous propose... 
CIDAL","itre à la main, aller donner, EN TOUT BIEN ET EN TOUT HONNEUR, cent soufflets à l'insolente","(51130, 51161)","(242616, 242651)"
Merard_Bergeries_0," propose... 
CIDALISE. 
Après TOUT CE QUE JE VIENS DE VOUS dire, ce serait à moi une ass","Marton; repasse en ton esprit TOUT CE QUE JE VIENS DE TE dire. 
marton, seule. 
Ah! po","(51203, 51231)","(100828, 100854)"
Mercier_An_0,"Je brulois de me rengager, et SI VOUS ME PERMETTEZ DE VOUS LE DIRE, mon cœur, qu'à votre entrée ",", lui dis-je, votre religion, SI VOUS ME PERMETTEZ DE VOUS LE DIRE, est à peu près celle des anc","(23381, 23417)","(117571, 117607)"
Morelly_Naufrage_0,". 
Assûrément, si vous croyez TOUT CE QUE VOUS VENEZ DE ME DIRE, vous avez jusques à présent ","ois rien compris, sage Ami, à TOUT CE QUE VOUS VENEZ DE ME DIRE, si vous ne m'aviez précédemm","(19052, 19085)","(352248, 352281)"
Nerciat_Aphrodites_0,"sse obligé de prendre. Enfin, QUE VOULEZ-VOUS QUE JE VOUS DISE ? La tête me tourna, et si bi","rer d'agrément. 
Mad. Durut. 
QUE VOULEZ-VOUS QUE JE VOUS DISE, Madame!--Il est galant-homme","(111496, 111528)","(13741, 13773)"
Nerciat_Felicia_0," propose... 
CIDALISE. 
Après TOUT CE QUE JE VIENS DE VOUS dire, ce serait à moi une ass"," persécuter. Si vous aviez su TOUT CE QUE JE VIENS DE VOUS révéler, auriez-vous eu la cr","(51203, 51231)","(421103, 421131)"
Popeliniere_Daira_0,"hommes, qui sont ici, a passé LA PLUS GRANDE PARTIE DE LA NUIT dans ma chambre ? Auriez-vous",Nous passames elle etamp; moi LA PLUS GRANDE PARTIE DE LA NUIT à redire les mêmes choses; je,"(14956, 14988)","(43782, 43814)"
Retif_Paysanne_0,"sûrément, si vous croyez tout CE QUE VOUS VENEZ DE ME DIRE, VOUS avez jusques à présent agi bi","er d'écarts ! oui, en vérité, CE QUE VOUS VENEZ DE DIRE VOUS est dicté par la sagesse même","(19057, 19091)","(197262, 197292)"
Retif_Paysanne_1," expliquer. Je lui ai répondu AVEC TOUT LE RESPECT QUE J'AI POUR son sexe, et tout le mépris q","faut-il écrire à vos parents, AVEC TOUT LE RESPECT QUE J'AI POUR vous ; je vais écrire ?... Vo","(45530, 45564)","(197262, 197292)"
Retif_Paysanne_2,e tendrement dans ses bras .) MAIS COMMENT VOULEZ-VOUS QUE JE VOUS croie lorsque je vous vois éc,vous le pardonnerais aisément ! MAIS COMMENT VOULEZ-VOUS QUE JE VOus pardonne le mal que vous av,"(89224, 89260)","(197262, 197292)"
Reveroni_Pauliska_0,"ment très fâchée contre vous, IL M'EST IMPOSSIBLE DE NE PAS RIRE DE la singularité de ce qui m'ar","'hui que le danger est passé, IL M'EST IMPOSSIBLE DE NE PAS SOURIRE DE la figure comique que prit à ","(55490, 55527)","(146765, 146805)"
Riccoboni_LettresFanni_0,"ment très fâchée contre vous, IL M'EST IMPOSSIBLE DE NE PAS RIRE de la singularité de ce qui m","te émue, et puis de rire; car IL EST IMPOSSIBLE DE NE PAS RIRE d'une telle sottise. 
à minui","(55490, 55524)","(47787, 47819)"
Riccoboni_MylordRivers_0,"ous dire, c'est que vous êtes DE TOUS LES HOMMES DU MONDE CELUI que j'estime le plus, et que ","oin. 
Sur mon honneur, il est DE TOUS LES HOMMES DU MONDE CELUI qui m'inspire le plus d'éloig","(70111, 70144)","(7915, 7948)"
Rousseau_Julie_0,", je ne parle pas volontiers. CE N'EST PAS QUE JE NE SACHE qu'elle mérite peu de ménagem",en moi ce dangereux penchant. CE N’EST PAS QUE JE NE SACHE que ton cœur est fait pour le,"(22433, 22461)","(163430, 163458)"
Rousseau_Julie_1,"te. Elle me parut si humiliée DE CE QUI VENAIT DE SE PASSER, que je crus qu'étant aussi s"," départ, il me fit confidence DE CE QUI VENAIT DE SE PASSER, et comme je prévis où il en ","(134705, 134734)","(163430, 163458)"
Rousseau_Julie_2,"ns, et paraissant en fureur à MON TOUR, JE LUI DIS QUE JE ne souffrirais pas qu'elle se"," riant, mais j’y veux aller à MON TOUR. 
JE LUI DIS QUE JE vous avais donné une relation","(141285, 141312)","(163430, 163458)"
Sade_120_0,". 
CLITANDRE. 
Je ne sais pas SI C'EST LA PREMIÈRE FOIS QUE JE la loüe ; mais ce qu'il y a d","r jouir de ce spectacle, mais SI C'EST LA PREMIÈRE FOIS QUE JE vois ce beau fessier, je prot","(2111, 2143)","(718914, 718946)"
Sade_Aline_0,"ose... 
CIDALISE. 
Après tout CE QUE JE VIENS DE VOUS DIRE, ce serait à moi une assez be","us offrir pour le présent que CE QUE JE VIENS DE VOUS DIRE, acceptez-le, croyez-moi, ou ","(51208, 51236)","(82801, 82829)"
Segur_Correspondance_0,"e l'est en effet. 
CIDALISE. 
CE QUE JE NE COMPRENDS PAS, C'EST qu'une femme, telle que vous ","ni pour personne. Entre nous, CE QUE JE NE COMPRENDS PAS, C'EST qu'on ne lui ait pas cherché ","(35942, 35975)","(64832, 64865)"
Segur_Correspondance_1,me le dire. Il y a long-temps QUE JE NE DOUTE PAS QUE JE NE vous sois l'homme du monde le,"t ses raisons sont si bonnes, QUE JE NE DOUTE PAS QUE JE NE l'obtienne. J'ai vu une lettr","(59636, 59665)","(64832, 64865)"
Segur_Correspondance_2,"egret, et que ce soit l'homme DU MONDE, QUI VOUS AIME LE PLUS tendrement, que vous accablie","qu'elle a servi à la personne DU MONDE QUI VOUS AIME LE PLUS. 
LETTRE XVII. 
Paris, 1726 J","(84173, 84204)","(64832, 64865)"
Segur_Correspondance_3,"mpter la différence qu'il y a ENTRE VOTRE FAÇON DE PENSER ET LA sienne, vous n'avez pas les m",a qu'il y a tant de sympathie ENTRE VOTRE FAÇON DE PENSER ET LA mienne qu'il ne me serait pas,"(132938, 132971)","(64832, 64865)"
Senac_Emigre_0,"ose... 
CIDALISE. 
Après tout CE QUE JE VIENS DE VOUS DIRE, ce serait à moi une assez be","nt insensibles. Que conclure dE CE QUE JE VIENS DE VOUS DIre, sinon, que rien n'est dura","(51208, 51236)","(445832, 445860)"
Souza_Adele_0," propose... 
CIDALISE. 
Après TOUT CE QUE JE VIENS DE VOUS DIRE, ce serait à moi une assez be","si inattendu. Je lui racontai TOUT CE QUE JE VIENS DE VOUS DIRE; il s'attendrit avec moi, et,","(51203, 51236)","(82387, 82420)"
Tiphaigne_Amilec_0,e dire. Il y a long-temps que JE NE DOUTE PAS QUE JE NE vous sois l'homme du monde le," ce cornet. Mais de ce petit nOMBRE MÊME, JE NE DOUTE Pas que je ne fois encore oblig","(59640, 59665)","(29018, 29043)"
Voltaire_Candide_0," sujet de colère. 
CIDALISE. 
DE QUOI VOUS AVISEZ-VOUS AUSSI, DE vous opiniâtrer à entrer dans","it au chirurgien : « Mon bon, DE QUOI VOUS AVISEZ-VOUS AUSSI DE disséquer un hérétique ? Ne s","(55702, 55736)","(174305, 174338)"
Voltaire_Princesse_0,"Comte, je suis votre amie, et JE CROIS QUE VOUS NE DOUTEZ PAS de ma discrétion. Puisque le ","ra de battre les deux autres, JE CROIS QUE VOUS NE DOUTEZ PAS qu'il n'en vienne à bout aisé","(21859, 21890)","(22023, 22054)"
