,Text in Beauharnais_Lettres,Text in B,Location in Beauharnais_Lettres,Location in B
Diderot_Neveu_0,"xions qu'au milieu du tumulte DE LA VILLE ET DE LA COUR, j'étais si loin de faire. In", la partie la plus importante DE LA VILLE ET DE LA COUR. Nos opulents dans tous les é,"(54981, 55006)","(59982, 60007)"
Dorat_Sacrifices_0,"ir .... Je ne me rappelle, de LA LETTRE QUE JE VOUS AI ÉCRITE, que le serment d'aimer, d'id", si je vous suis fidèle! Dans LA LETTRE QUE JE VOUS AI ÉCRITE avant de sortir du village de,"(148792, 148823)","(341427, 341458)"
Fourqueux_Zely_0,"père! c'en est donc fait! ... POUR LA PREMIÈRE FOIS DE MA VIE, JE suis profondément triste. L'e"," mal; et si “vous voulez que, POUR LA PREMIÈRE FOIS “DE MA VIE, JE vous aie obligation, “faites-","(50402, 50437)","(71442, 71478)"
Genlis_Adele_0,"emont, avec la réconnaissance LA PLUS TOUCHANTE ET LA PLUS NOBLE. Combien la dignité de son re","e s'embellir par l'expression LA PLUS TOUCHANTE ET LA PLUS NOBLE; le ton ferme de sa voix, la ","(26926, 26960)","(359110, 359144)"
Genlis_Adele_1,"ma fille! Dieu! ô Dieu! ... C'EST DANS LES BRAS DE SON PÈRE QU'ELLE se retrouve. 
Malgré les horr"," Cécile, mais je savais que c'EST DANS LES BRAS DE SON PÈRE QU'ELLE a rendu le dernier soupir, et","(42008, 42045)","(359110, 359144)"
Genlis_Adele_2,La Marquise ne put continuer; SES YEUX SE REMPLIRENT DE LARMES: ELLE me serra contre son sein; et ,". elle rougit, elle pâlit, et SES YEUX SE REMPLIRENT DE LARMES; ELLE fit un mouvement pour se leve","(112023, 112061)","(359110, 359144)"
Genlis_Adele_3,es découvertes: secondez-moi. JE NE DOUTE POINT DE VOTRE ZÈLE; je l'attends de votre amitié,"tion m'était bien nécessaire. JE NE DOUTE POINT DE VOTRE RAISON, je compte sur vos promesses;","(126340, 126371)","(359110, 359144)"
Genlis_Chevaliers_0,"père! c'en est donc fait! ... POUR LA PREMIÈRE FOIS DE MA VIE, JE suis profondément triste. L'e", dans une obscurité profonde. POUR LA PREMIÈRE FOIS DE MA VIE JE connus la terreur. Mon imagin,"(50402, 50437)","(617645, 617679)"
Gerard_Comte_0,"ursuivent .... C'est un père, LE PÈRE LE PLUS TENDRE ET LE plus malheureux que je pleure","TRE 25 D'Émilie au marquis. Ô LE PÈRE LE PLUS TENDRE, ET LE meilleur de tous les amis! Qu","(82691, 82719)","(401547, 401576)"
Kimber_Thompson_0,"veillaient, en mon absence, à TOUT CE QUI SE PASSAIT DANS LA prison où était renfermé l'ét","net, d'où je pouvais entendre TOUT CE QUI SE PASSAIT DANS LA salle. Il n'y avait pas long-","(78374, 78404)","(96865, 96895)"
Lagrave_Sophie_0,": c'est en lui apprenant tout CE QUI SE PASSE DANS SON CŒUR, que je le forcerai de se réu",ouve qu'elle redoute que je ne LISE CE QUI SE PASSE DANS SOn cœur. A qui l'ouvrira-t-elle,"(139967, 139996)","(75611, 75640)"
Lagrave_Zabeth_0,"i en faisait perdre le prix. 
LA PLUS GRANDE PARTIE DE SA FORTUNE était déjà dissipée, et l'aut",elle de Fermon à son château. LA PLUS GRANDE PARTIE DE SA FORTUNE venait de sa femme; et il éta,"(11675, 11710)","(4326, 4361)"
Loaisel_Comtesse_0,"iterait plus que vos mépris. 
JE NE VOUS CACHE POINT, QUE JE désapprouve votre conduite en","nte à me donner la “main; car JE NE VOUS CACHE POINT QUE JE “l'aime, et qu'elle a fait su","(105360, 105390)","(31174, 31203)"
Loaisel_Lucile_0,"iterait plus que vos mépris. 
JE NE VOUS CACHE POINT, QUE JE désapprouve votre conduite en","ente à me donner la main; car 
“JE NE VOUS CACHE POINT QUE je l'aime, “et qu'elle a fait ","(105360, 105390)","(30119, 30148)"
Louvet_Annee_0,"dé. Il m'aborda avec mystère, ET DEMANDA À ME PARLER SANS TÉMOINS. DÈS QUE nous fûmes seuls, ses larmes ","u se présente dans mon palais ET DEMANDE À ME PARLER SANS TÉMOINS. DÈS QUE mes gens se sont retirés, il ","(37133, 37177)","(137669, 137713)"
Louvet_Fin_0,"est, tant de malheurs, malgré TOUTES LES VERTUS ET TOUS LES CHARMES, tant d'atrocités, tant de pe","qui, réunissant en elle seule TOUTES LES VERTUS ET TOUS LES CHARMES, était infiniment supérieure ","(80206, 80243)","(350693, 350730)"
Marmontel_Belisaire_0,"itude: c'est en lui apprenant TOUT CE QUI SE PASSE DANS SON cœur, que je le forcerai de s", prince attentif et présent à TOUT CE QUI SE PASSE DANS SON empire. Mais le détail en est,"(139962, 139991)","(126057, 126086)"
Marmontel_Contes_0,"xions qu'au milieu du tumulte DE LA VILLE ET DE LA COUR, j'étais si loin de faire. In",toutes les anecdotes galantes DE LA VILLE ET DE LA COUR: quel était l'amant de la vei,"(54981, 55006)","(374433, 374458)"
Mercier_An_0,"cher Dom Lope, adieu. 
P. S. 
JE N'AI PAS BESOIN DE VOUS DIRE QUE le secret de Sidley est le mi","et non sur un caprice bigot. 
JE N'AI PAS BESOIN DE VOUS DIRE QUE nos respects les accompagnent","(96636, 96671)","(105739, 105774)"
Mercier_Jezennemours_0,"je garderois le silence! moi! MAIS, JE NE SUIS POINT FAIT POUR être délateur. Il est une jus",aisir singulier à l'entendre; MAIS JE NE SUIS POINT FAIT POUR aspirer à son cœur: elle me c,"(77703, 77735)","(38697, 38728)"
Mercier_Jezennemours_1,"iterait plus que vos mépris. 
JE NE VOUS CACHE POINT, QUE JE désapprouve votre conduite en","e main qui lui était offerte) JE NE VOUS CACHE POINT QUE JE suis sans pain, sans amis, sa","(105360, 105390)","(38697, 38728)"
Nerciat_Etourdi_0,"xions qu'au milieu du tumulte DE LA VILLE ET DE LA COUR, j'étais si loin de faire. In","re, on les croirait confident DE LA VILLE ET DE LA COUR. Rien ne se fait pour eux der","(54981, 55006)","(153855, 153880)"
Prevost_Manon_0,"ir .... Je ne me rappelle, de LA LETTRE QUE JE VOUS AI ÉCRITE, que le serment d'aimer, d'id","je me suis figuré que c'était LA LETTRE QUE JE VOUS AI ÉCRITE sous les yeux de M. G M , et ","(148792, 148823)","(231815, 231846)"
Riccoboni_LettresAdelaide_0,"père! c'en est donc fait! ... POUR LA PREMIÈRE FOIS DE MA VIE, JE SUIS profondément triste. L'extrêm","faire la possession d'un autre. POUR LA PREMIÈRE FOIS DE MA VIE, JE ME SUis dit avec complaisance, avec","(50402, 50442)","(209816, 209859)"
Riccoboni_LettresFanni_0,"rité de ses offres, la vérité DES SENTIMENT QUE VOUS AVEZ FAIT NAÎTRE en elle. Je vous ai entretenu","nserver la plus solide partie DES SENTIMENT QUE VOUS AVEZ FAIT NAÎTRE dans mon cœur. Vos avantages,","(75583, 75622)","(142068, 142107)"
Riccoboni_MissJenny_0,"ler pour ses jours. Stéphanie CHERCHAIT EN VAIN LES MOYENS DE L'ARRACHER à des objets tristes, importu","'un coup, dans le temps où il CHERCHAIT EN VAIN LES MOYENS DE ROMPRE ses engagements, et de m'enle","(28515, 28557)","(355776, 355814)"
Rousseau_Emile_0,"cher Dom Lope, adieu. 
P. S. 
JE N'AI PAS BESOIN DE VOUS DIRE que le secret de Sidley est l","; cela fut fait à l'instant. 
JE N'AI PAS BESOIN DE VOUS DIRE comment je me conduisis dans ","(96636, 96667)","(1490421, 1490452)"
Rousseau_Julie_0,"père! c'en est donc fait! ... POUR LA PREMIÈRE FOIS DE MA VIE, JE suis profondément triste. L'e"," s’élança sur ta pauvre amie: POUR LA PREMIÈRE FOIS DE MA VIE, JE reçus un soufflet qui ne fut ","(50402, 50437)","(303643, 303678)"
Rousseau_Julie_1,"cher Dom Lope, adieu. 
P. S. 
JE N'AI PAS BESOIN DE VOUS DIRE que le secret de Sidley est l", nouvelles avec impatience et JE N’AI PAS BESOIN DE VOUS DIRE combien vos lettres ont fait ,"(96636, 96667)","(303643, 303678)"
Sade_Aline_0,"père! c'en est donc fait! ... POUR LA PREMIÈRE FOIS DE MA VIE, JE suis profondément triste. L'e","soin que j’en ai est tel, que POUR LA PREMIÈRE FOIS DE MA VIE, JE ne sais pas même si je vous o","(50402, 50437)","(1430283, 1430318)"
Sade_Philosophie_0,"Almanza de se joindre à elle, SE PRÉCIPITANT DANS LES BRAS DE MADAME de Céléria, dont les pleurs s","e t'en rassasierai. 
EUGÉNIE, SE PRÉCIPITANT DANS LES BRAS DE MME de Saint-Ange : Oh ma bonne, ","(94741, 94779)","(72183, 72218)"
Senac_Emigre_0,"spoir .... Je ne me rappelle, DE LA LETTRE QUE JE VOUS AI ÉCRITE, que le serment d'aimer, d'id","ier, un instant après le déparT DE LA LETTRE QUE JE VOUS AI ÉCRIte, mon oncle s'est mis à la f","(148789, 148823)","(653327, 653361)"
