,Text in Lesuire_Aventurier,Text in B,Location in Lesuire_Aventurier,Location in B
Beaumont_Clarice_1,"'apprenez-vous? Je vous jure, QUE JE NE “SAVAIS PAS UN MOT de cela. On m'avait “demandé ","t un assez mauvais dîner, que NOS CAMA-RADES MANGERENT AVec autant d'appétit et de gaie","(167328, 167356)","(224902, 224928)"
Benoist_Elisabeth_0,figure. Le Cardinal s'écria: „IL NE NOUS EST “PLUS POSSIBLE DE rien cacher au Chevalier.{?K}, l'un sur l'autre. Maintenant IL NE NOUS EST PLUS POSSIBLE DE les détourner. Mais l'absence,"(11520, 11552)","(3394, 3425)"
Bernardin_Chaumiere_0,"ous voyons sur votre char?“ A CES MOTS, LES LARMES ME VINRENT AUX YEUX à mon tour. „Elle n'est plus ","reux qu'un empereur.En disant CES MOTS, LES LARMES ME VINRENT AUX YEUX; et tombant à genoux, je reme","(1072777, 1072817)","(55004, 55044)"
Berquin_Enfants_0,"donnait sur le grand chemin. 
JE PASSAI LE SEUIL DE LA PORTE, pour regarder cette grande r",". 
Oui, c'est lui, c'est lui. JE PASSAIS LE SEUIL DE LA PORTE: voilà qu'il s'approche de mo","(964389, 964419)","(43112, 43143)"
bible_0,"ar en bas, et par les veines; AFIN QUE CE QUI A ÉTÉ DIT PAR l'oracle fût accompli: Cliste","s habits, en jetant le
sort ; AFIN QUE CE QUI A ÉTÉ DIT PAR le prophète s’accomplît : Ils","(209307, 209336)","(3676038, 3676067)"
Cazotte_Diable_0,rcevoir que vous fuyez Paris. JE NE VOUS DEMANDE POINT VOTRE SECRET: mais aurois-je le bonheur de," amis de Soberano le rompt. « JE NE VOUS DEMANDE POINT VOTRE SECRET, Alvare ; mais il faut que vo","(703417, 703454)","(21607, 21644)"
Charriere_Femmes_0,"dre.“ „Ah! Madame, s'écria le MARI, IL “N'EST PAS QUESTION DE CELA.. Vous avez “là des idées... ",". 
-Oui et non, Mademoiselle; MAIS IL N'EST PAS QUESTION DE CELA: quelqu'un, qui a un très gra","(192912, 192948)","(107623, 107657)"
Charriere_Lausanne_0,"x, à travers mon déguisement. QUELLE JOIE JE VIS BRILLER DANS SES regards! Elle était plongée d","le parti d'y retourner. Ciel! QUELLE JOIE JE VIS BRILLER DANS SES yeux!-Vous revenez, vous reve","(196035, 196070)","(162898, 162933)"
Chevrier_Colporteur_0,"u sur son corps nu: il entend DE GRANDS ÉCLATS DE RIRE, LE BRUIT de vingt fouets, qui lui rapp","me D'Erbigny, annoncèrent par DE GRANDS ÉCLATS DE RIRE LE PLAISIR de leur surprise. L'aventure ","(451865, 451899)","(148487, 148522)"
Constant_Laure2_0,s m'affligez de parler ainsi. JE NE SAIS CE QUE VOUS VOULEZ DIRE. Jn'ai pas mis le pied dans a,"e veux pas en essaier un autre. JE NE SAIS CE QUE VOUS VOULEZ DIre, Mademoiselle, mais j'ai bi","(823391, 823425)","(77134, 77168)"
Crebillon_Atheniennes_0,"e lui recommande en mourant.“ JE NE PUIS VOUS EN DIRE DAVANTAGE, ma Princesse. Permettez-moi ","la liberté que je désir; mais JE NE PUIS VOUS EN DIRE DAVANTAGE sur cela, que je ne sache si ","(258460, 258493)","(216963, 216996)"
Crebillon_Atheniennes_1,". Il avait neigé, sans doute, LA PLUS GRANDE PARTIE DE LA NUIT, l'on voit sous quel fardeau ",idice à Alcibiade. J'ai pâssé LA PLUS GRANDE PARTIE DE LA NUIT à faire des réflexions qui m',"(284086, 284118)","(216963, 216996)"
Crebillon_Conte_0,". Il avait neigé, sans doute, LA PLUS GRANDE PARTIE DE LA NUIT, l'on voit sous quel fardeau ","ai dans le camp, où je passai LA PLUS GRANDE PARTIE DE LA NUIT à les haranguer, et à tâcher ","(284086, 284118)","(327531, 327563)"
Crebillon_Nuit_0,". Il avait neigé, sans doute, LA PLUS GRANDE PARTIE DE LA NUIT, l'on voit sous quel fardeau ","hommes, qui sont ici, a passé LA PLUS GRANDE PARTIE DE LA NUIT dans ma chambre ? Auriez-vous","(284086, 284118)","(14956, 14988)"
Diderot_Jacques_0,"le? Vous ne voyez donc rien? “VOUS NE VOUS ÊTES PAS APERÇU QUE, “depuis plusieurs jours, je ",ite ou non bénite. Est-ce que VOUS NE VOUS ÊTES PAS APERÇU QUE j'étais hydrophobe ?... » Ah ,"(177813, 177845)","(468040, 468072)"
Diderot_Neveu_0, Elle m'entretint toujours du TON LE PLUS GRAVE ET LE PLUS sérieux. Sa conversation étai,"igu, et descend les autres au TON LE PLUS GRAVE ET LE PLUS bas, faisant l'octave ou même","(49686, 49714)","(141775, 141803)"
Diderot_Religieuse_0,"subitement dans ma situation. JE LUI DIS, DU FOND DE MON CŒUR, que je regrettais l'état de ","es que je venais de réciter. 
JE LUI DIS : « DU FOND DE MON CŒUR ; ce sont mes pensées et mes ","(851788, 851819)","(175868, 175902)"
Doppet_Memoires_0,"matin, quand je réfléchis sur CE QUE JE VENAIS DE FAIRE, JE me dis: „que penseroit-on de ",faisais.... Sans me douter de CE QUE JE VENAIS DE FAIRE... JE fus l'épouse de M. de Warens:,"(496800, 496829)","(31314, 31345)"
Dorat_Malheurs_0,"z, vous-même, “de générosité. JE VOUS RENDS VOTRE LIBERTÉ; JE VOUS rends mes bonnes grâces. “Com","trez dans vos premiers liens; JE VOUS RENDS VOTRE LIBERTÉ, JE VOUS implore contre moi; et dans q","(191849, 191885)","(309320, 309356)"
Dorat_Sacrifices_0,"serteur, qu'on disait décoré “DE LA PLUS JOLIE FIGURE DU MONDE, par “le pouvoir du Diable au",e; ils prétendent qu'elle est DE LA PLUS JOLIE FIGURE DU MONDE; je n'ai point vu cela. Ils s,"(233740, 233772)","(42437, 42469)"
Dorat_Sacrifices_1,"mbre, quand e se présentoit.) JE NE PUS M'EMPÊCHER DE RIRE, EN songeant que de malheureux mi",er dans la salle d'audience . JE NE PUS M'EMPÊCHER DE RIRE EN la traversant. Elle était ple,"(346899, 346931)","(42437, 42469)"
Fourqueux_Zely_0,"seigneur, lui “répondis-je, c'EST CE QUE JE NE SOUFFRIRAI “PAS; JE suis, aussi-bien que vous, en","ra vous bannir d'ici, “mais c'EST CE QUE JE NE SOUFFRIRAI PAS: “JE vous apporte de l'argent, je ","(9201, 9237)","(23824, 23860)"
Genlis_Adele_0,"e veux m'en fier à vous-même. QUOI QU'IL EN SOIT, JE SUIS CHARMÉ de vous voir agréer le choix ","pas été sans danger pour lui: QUOI QU'IL EN SOIT, JE SUIS SORTI de la maison d'Alexis Stezen,","(193048, 193082)","(621867, 621900)"
Genlis_Adele_1," à m'évanouir, à perdre toute CONNAISSANCE. J'IGNORE COMBIEN DE TEMPS JE RESTAI DANS CET ÉTAT. Je commençai enfin à m'éveil"," pieds sans mouvement et sans CONNAISSANCE. J'IGNORE COMBIEN DE TEMPS JE RESTAI DANS CET ÉTAT. Hélas, je ne devais revenir ","(598732, 598795)","(621867, 621900)"
Genlis_Adele_2,"ïde est"" elle à la Bastille?--JE N'AI PAS LE "" TEMPS DE VOUS dire tout cela, me "" répondit","ter: ce détail est trop long, JE N'AI PAS LE TEMPS DE VOUS en instruire à présent, mais ","(670411, 670441)","(621867, 621900)"
Genlis_Adele_3,t émerveillé; que voulez-vous DIRE? IL EST VRAI QUE JE NE lui ai pas regardé au usexe. ,ait paru dans le monde depuis DIX ANS; IL EST VRAI QUE JE NE remarquais rien dans la comte,"(730902, 730929)","(621867, 621900)"
Genlis_Chevaliers_0,". Il avait neigé, sans doute, LA PLUS GRANDE PARTIE DE LA NUIT, l'on voit sous quel fardeau ",niquement le reste du jour et LA PLUS GRANDE PARTIE DE LA NUIT; je me promis à moi-même de r,"(284086, 284118)","(109479, 109511)"
Genlis_Chevaliers_1,"e désir. Cette chère personne NE POUVAIT SE SOUTENIR SUR SES JAMBES; à la fin du jour, elle voulu","erver. En parlant ainsi, elle NE POUVAIT SE SOUTENIR SUR SES JAMBES tremblantes; je la pris dans ","(606846, 606883)","(109479, 109511)"
Genlis_Chevaliers_2,endait vivante à mes yeux. C'éTAIT TOUT CE QUE JE POUVAIS FAIRE dans une cellule; car les Cha,"eline; je l'ai recueillie, c'éTAIT TOUT CE QUE JE POUVAIS FAIRE; je n'ai point de fortune, et","(975876, 975909)","(109479, 109511)"
Gerard_Comte_0,"ienfaits; ils sont “au-dessus DE TOUS LES DONS, ET DE TOUS LES “trésors. Le plaisir et la gl","z-vous, ô le plus respectable DE TOUS LES AMIS ET DE TOUS LES pères! Vous m'avez déjà telle","(42847, 42879)","(647921, 647952)"
Gerard_Comte_1,"me montrant qui va en Italie, QUI SAIT CE QUE C'EST QUE DE courir le monde, qui, à son p","hommes, un homme de douleurs, QUI SAIT CE QUE C'EST QUE DE souffrir. Son visage était co","(706535, 706563)","(647921, 647952)"
Gerard_Comte_2,"ce de temps. Cet effort était AU-DESSUS DES FORCES DE LA NATURE. 
Sa générosité le soutenoit ","faits merveilleux, évidemment AU DESSUS DES FORCES DE LA NATURE, tous bienfaisant, tous utile","(906101, 906134)","(647921, 647952)"
Jacquin_Parisiennes_0,mais.“Cette menace m'effraya; JE FIS TOUT CE QUE JE PUS POUR la faire changer de résolutio,dans une inquiétude mortelle: JE FIS TOUT CE QUE JE PUS POUR rappeler ses sens égarés: je ,"(505270, 505300)","(47123, 47153)"
Jacquin_Parisiennes_1,", qui se jette sur nous, pour NOUS ARRACHER DES BRAS L'UN DE L'AUTRE. „Ah! cher Merveil, tu vis, s",on amour! Nous avions peine à NOUS ARRACHER DES BRAS L'UN DE L'AUTRE: cependant la crainte que l'i,"(636733, 636771)","(47123, 47153)"
Kimber_Thompson_0," Je fus poussé si subitement, QUE JE N'EUS PAS LE TEMPS DE m'accrocher à rien, ni de fai","de baisers, apliqués si drus, QUE JE N'EUS PAS LE TEMPS DE me débarrasser. Je n'eus pas ","(140320, 140348)","(197556, 197584)"
Kimber_Thompson_1,e une seconde fois l'usage de MES SENS. JE REGARDAI AUTOUR DE MOI: on m'avait étendu sur de la ,"it au lit. Quand j'eus repris MES SENS, JE REGARDAI AUTOUR DE MOI, etamp; je vis Miss Louise au","(313278, 313313)","(197556, 197584)"
Kimber_Thompson_2,mais.“Cette menace m'effraya; JE FIS TOUT CE QUE JE PUS POUR la faire changer de résolutio,"s l'intervalle de la réponse, JE FIS TOUT CE QUE JE PUS POUR empêcher mon père de faire au","(505270, 505300)","(197556, 197584)"
Laclos_Liaisons_0,"inal, je délivrerai sa sœur. “JE PRIS MON PARTI SUR-LE-CHAMP, et je vis plus de plaisir da",scendre sa femme de chambre : JE PRIS MON PARTI SUR LE CHAMP ; je feignis un saignement de,"(40727, 40757)","(169317, 169347)"
Laclos_Liaisons_1,", qui me perca jusqu'à l'âme. JAMAIS JE NE L'AVAIS TROUVÉE SI BELLE. 
Julie disparut de mon cœur.", j'ai revu ma sensible prude. JAMAIS JE NE L'AVAIS TROUVÉE SI BELLE. Cela devait être ainsi : le ,"(580828, 580865)","(169317, 169347)"
Laclos_Liaisons_2,"me proposer de me réjouir! 
“ CE N'EST PAS-LÀ CE QUE JE VEUX DIRE, “répondit-il; je veux vous a","is te voir à ma place... Non, CE N'EST PAS LÀ CE QUE JE VEUX DIRE, car sûrement je ne voudrais ","(626317, 626352)","(169317, 169347)"
Lagrave_Zabeth_0,"e lui recommande en mourant.“ JE NE PUIS VOUS EN DIRE DAVANTAGE, ma Princesse. Permettez-moi ", allaient vous accabler! mais JE NE PUIS VOUS EN DIRE DAVANTAGE. Quand vous serez remise de t,"(258460, 258493)","(283035, 283068)"
Lagrave_Zabeth_1," le lit, nous nous endormîmes DANS LES BRAS L'UN DE L'AUTRE. NOTRE SOMMEIL fut aussi profond qu'une léth","éressantes filles se jetèrent DANS LES BRAS L'UNE DE L'AUTRE, ET furent long-temps sans pouvoi","(353701, 353745)","(283035, 283068)"
Lagrave_Zabeth_2,"ïde est"" elle à la Bastille?--JE N'AI PAS LE "" TEMPS DE VOUS DIRE TOUT CELA, me "" répondit le Guichetier;","is expliquez-vous, mon fils?--JE N'AI PAS LE TEMPS DE VOUS DIRE TOUT CELA: j'écoute ma mère; cela est b","(670411, 670456)","(283035, 283068)"
Leonard_Lettres_0,ux de ma compagne me disoient QUE JE NE LUI ÉTAIS PAS INDIFFÉRENT. Je ne pus m'empêcher de lui ," d'une aimable rougeur je vis QUE JE NE LUI ÉTAIS PAS INDIFFÉRENT. 
Nous passions des jours tra","(495496, 495531)","(236317, 236352)"
Lesuire_Crime_0," Princesse? Non; mon Adélaïde EST, POUR MOI, AU-DESSUS DE TOUTES LES Princesses; elle m'est d'auta","e? Ce n'est pas une Reine. EllE EST, POUR MOI, AU-DESSUS DE TOUTES Les Reines. C'est une jeune fil","(21842, 21880)","(289733, 289771)"
Lesuire_Crime_1,", avec tant de constance, que JE VINS À BOUT DE FAIRE VOLER EN ÉCLATS, LA malheureuse piège. Alors je v","ndît entre mes cuisses. 
Enfin, JE VINS À BOUT DE FAIRE VOLER, EN ÉCLATS, la trappe attachée par un verr","(33714, 33757)","(289733, 289771)"
Lesuire_Crime_2,"bes, et l'on me repoussait, à COUPS DE PIEDS, EN DISANT: „VEUX-TU T'EN ALLER, VILAIN CHIEN!“ JE me rencognois sous le lit, sa","s me regarder, me donnaient deS COUPS DE PIED, EN DISANT: „VEUX“TU T'EN ALLER, VILAIN CHIEN?“ 
Je me trouvai bientôt enfermé,","(101728, 101793)","(289733, 289771)"
Lesuire_Crime_3,"tté, traîné dans les prisons, CHARGÉ DE CHAÎNES, PRÉCIPITÉ DANS UN CACHOT, plongé dans l'horreur et dan","malgré tous mes efforts, je fuS CHARGÉ DE CHAÎNES, PRÉCIPITÉ DANS UN CACHot. Là, me trouvant au comble ","(105720, 105763)","(289733, 289771)"
Lesuire_Crime_4,mais.“Cette menace m'effraya; JE FIS TOUT CE QUE JE PUS POUR la faire changer de résolutio,imagina que j'en étais le père. JE FIS TOUT CE QUE JE PUS POur détruire cette fausse opini,"(505270, 505300)","(289733, 289771)"
Loaisel_Ainsi_0,"obile, recueilli en moimême. „EST-CE UN SONGE, ME DISAIS-JE? 
“EST-ce une réalité?“ 
Je rouvris ","e, sont venus s'en emparer. "" EST-CE UN SONGE, ME DISAIS-JE? EST-il concevable, imaginable que","(599615, 599651)","(191267, 191301)"
Louvet_Annee_0,"lée; elle avait même une robe DE LA MÊME ÉTOFFE ET DE LA MÊME façon qu'une pareille, dont m","si je ne me suis pas trompée, DE LA MÊME ÉTOFFE ET DE LA MÊME couleur que ce charmant habit","(39486, 39517)","(253127, 253158)"
Louvet_Annee_1," ici, me “répondit-elle; elle VOUS FAIT CHERCHER “DE TOUS LES CÔTÉS. Vous avez déjà dû “recevoir ","aître, hâtez-vous. M le baron VOUS A FAIT CHERCHER DE TOUS LES CÔTÉS: désespéré de votre absence, ","(97269, 97306)","(253127, 253158)"
Louvet_Annee_2,". „Ah! “c'est fait de moi, s'éCRIA-T-IL; MON DIEU! “AYEZ PITIÉ DE MOI.“--„Qu'on aille “chercher le "," genoux: "" ô ciel! ô ciel! S'éCRIA-T-IL, MON DIEU! AYEZ PITIÉ DE MOI! Dieu tout-puissant, conserve","(208372, 208411)","(253127, 253158)"
Louvet_Fin_0,"uatre cents ans. A ce propos, JE NE PUS RETENIR UN GRAND ÉCLAT DE RIRE; cet homme singulier me dit, "," muet de surprise; mais enfin JE NE PUS RETENIR UN GRAND ÉCLAT DE RIRE. «Dis-moi, belle enfant, depu","(562059, 562099)","(57615, 57655)"
Louvet_Fin_1," la Duchesse de Valamos, avec JE NE SAIS QUOI DE PLUS GAI, DE plus spirituel, de plus sémil","tien, dans toute sa personne, JE NE SAIS QUOI DE PLUS IMPOSANT, DE plus fier, qui étonne sans ef","(685345, 685376)","(57615, 57655)"
Maistre_Voyage_0,"s. J'eus beru le questionner, IL NE ME RÉPONDIT PAS UN MOT. IL AVAIT ses ordres. Ma solitude devin",. Quelle tête! quel animal!»--IL NE RÉPONDIT PAS UN MOT: IL N'AVAIT rien répondu la veille à une ,"(690106, 690144)","(37017, 37054)"
Marmontel_Contes_0,"me proposer de me réjouir! 
“ CE N'EST PAS-LÀ CE QUE JE VEUX DIRE, “répondit-il; je veux vous a",tends à rien.-vous avez tort; CE N'EST PAS LÀ CE QUE JE VEUX DIRE. Vous avez de quoi séduire un,"(626317, 626352)","(241461, 241496)"
Marmontel_Contes_1,pas inconnue; elle avait même JE NE SAIS QUOI DE TENDRE QUI PÉNÉTOIT jusques dans mon cœur. „Ma ch,harme la vue: cette couleur a JE NE SAIS QUOI DE TENDRE QUI VA jusqu'à l'âme: et je vous tro,"(929180, 929218)","(241461, 241496)"
Marmontel_Incas_0," poésie, la musique, tous les ARTS QUI FONT LE CHARME DE LA société: j'y joignis les math","avaux; les productions de nos ARTS QUI FONT LE CHARME DE LA vie, des secrets pour aider n","(339921, 339950)","(528460, 528489)"
Mercier_An_0,"ouvelle. „Ah! ma chère reine, DIS-JE EN “MOI-MÊME, JE SUIS la cause de ton mal“heur! On ","es papiers publics. Eh, quoi! DIS-JE EN MOI-MÊME, JE SUIS donc devenu bien vieux sans m","(510707, 510735)","(14276, 14303)"
Mercier_Jezennemours_0,"t, d'un ton absolu et décidé, QUE JE NE LUI AVAIS JAMAIS VU prendre. On nous proposa, du ","humble, respectueuxet soumis, QUE JE NE LUI AVAIS JAMAIS VU, il dit: très-digne et très-r","(8847, 8876)","(101540, 101569)"
Mercier_Jezennemours_1,que façon le cours de ma vie. TOUT CE QUI SE PASSE DANS CE donjon terrible doit être cac,"lui répétai-je, vous exprimer TOUT CE QUI SE PASSE DANS CE cœur; il n'est que trop vrai ","(662911, 662939)","(101540, 101569)"
Mirabeau_Conversion_0, du peuple Gnôme ou Alfondon. JE NE REVENAIS PAS DE MON ÉTONNEMENT de voir qu'une mine fût un sé,"guait dans la conversation... JE NE REVENAIS PAS DE MON ÉTONNEMENT. 
Cependant je n'ai jamais ai","(324223, 324259)","(124404, 124440)"
Mirabeau_Rideau_0,"lui dis: „quoi qu'il en“soit, JE NE SERAI PLUS DANS LE CAS DE souf“frir que d'aussi belles ",ue tu me mènes à la campagne: JE NE SERAI PLUS DANS LE CAS DE me trouver avec eux. Partons ,"(504448, 504479)","(95746, 95777)"
Nerciat_Aphrodites_0,"serteur, qu'on disait décoré “DE LA PLUS JOLIE FIGURE DU MONDE, par “le pouvoir du Diable au","uf, dix.--C'est un nouveau reçU DE LA PLUS JOLIE FIGURE DU MONde, et qui en porte un de neuf","(233740, 233772)","(225165, 225197)"
Nerciat_Aphrodites_1,"ïde est"" elle à la Bastille?--JE N'AI PAS LE "" TEMPS DE VOUS dire tout cela, me "" répondit"," moi? 
Mad. Durut. 
Pour qui dONC!... JE N'AI PAS LE TEMPS de vous donner moi-même avec ","(670411, 670441)","(225165, 225197)"
Nerciat_Etourdi_0,"moyenne distance, je me mis à POUSSER LES CRIS LES PLUS AIGUS, EN élevant les bras au ciel. On ","à courir dans le corridor, en POUSSANT LES CRIS LES PLUS AIGUS. 
EN les voyant sortir effrayées, ","(603502, 603537)","(94679, 94716)"
Nerciat_Etourdi_1,"'idée qu'on aoit de ma folie, SI JE N'AVAIS PAS LE BONHEUR DE mourir, je serais condamné àu","s aussi volage que l'amour.---SI JE N'AVAIS PAS LE BONHEUR DE vous connaître, je répondrais","(891914, 891945)","(94679, 94716)"
Nerciat_Felicia_0," qui, de leur côté, croyaient AUSSI, DE LA MEILLEURE FOI DU MONDE, les hommes d'une espèce au d","e, malgré les griefs, donnait AUSSI DE LA MEILLEURE FOI DU MONDE des marques d'un vif intérêt.","(547996, 548031)","(258525, 258559)"
Nerciat_Felicia_1,"mbarrassés; je me crus arrêté DANS CE MOMENT, UN VIOLENT ACCÈS DE douleur serra mon cœur effray", que le vieux beau-père avait DANS CE MOMENT UN VIOLENT ACCÈS DE certaine colique à laquelle i,"(747321, 747356)","(258525, 258559)"
Popeliniere_Daira_0,". Il avait neigé, sans doute, LA PLUS GRANDE PARTIE DE LA NUIT, l'on voit sous quel fardeau ",Nous passames elle etamp; moi LA PLUS GRANDE PARTIE DE LA NUIT à redire les mêmes choses; je,"(284086, 284118)","(43782, 43814)"
Popeliniere_Daira_1,"endions réellement, depuis un MOIS, DANS LES ENTRAILLES DE LA TERRE. Il ne m'était pas permis de ","a sur la mienne, ou précipite-MOI DANS LES ENTRAILLES DE LA TERRE, etamp; m'anéantis pour jamai","(357221, 357258)","(43782, 43814)"
Prevost_Manon_0,"nocence et une franchise sans PAREILLES. NOUS ÉTIONS, L'UN ET L'AUTRE, DANS UN âge bien digne d'indulgence: ","t proférer moi-même une seule PAROLE, NOUS ÉTIONS L'UN ET L'AUTRE DANS UNE des plus tristes situations d","(47773, 47821)","(293417, 293461)"
Prevost_Manon_1,n n'est plus vrain; j'ajoutai TOUT CE QUE JE PUS IMAGINER DE plus convaincant pour prouver, me voir employer à son usage TOUT CE QUE JE PUS IMAGINER DE moins incommode. J'échauffais,"(825818, 825848)","(293417, 293461)"
Prevost_Monde_0,que façon le cours de ma vie. TOUT CE QUI SE PASSE DANS CE donjon terrible doit être cac,"urprend dans ses caresses, et TOUT CE QUI SE PASSE DANS CE cœur volage. Proprement il n'","(662911, 662939)","(337284, 337312)"
Prevost_Monde_1, que rien n'est plus vrain; j'AJOUTAI TOUT CE QUE JE PUS IMAGINER DE plus convaincant pour prouver,"ait encore la tête tournée, j'AJOUTAI TOUT CE QUE JE PUS IMAGINER DE vif et d'attendrissant. Le mo","(825810, 825848)","(337284, 337312)"
Retif_Paysanne_0,rouver que je lui ressemble; “CEPENDANT JE NE CROIS PAS QUE VOUS M'AYEZ “jamais vue.“ Je rougis encor,"ine est diablement éveillée ! CEPENDANT, JE NE CROIS PAS QUE VOUS AYEZ encore eu plus d'un amant ou ","(488874, 488915)","(154693, 154733)"
Retif_Paysanne_1, les autresu. Je lui racontai DE POINT EN POINT TOUT CE QUE j'avais souffert depuis que l,"e, je m'en vais vous répondre DE POINT EN POINT À TOUT CE QUE vous me demandez, et vous écr","(796871, 796900)","(154693, 154733)"
Reveroni_Pauliska_0,"it pas permis de la craindre. JE PRIS SUR LE CHAMP MON PARTI; , loin de redouter le trépas","minuit, sous le vestibule. 
» JE PRIS SUR-LE CHAMP MON PARTI. Je coupai adroitement une pa","(598498, 598528)","(186698, 186728)"
Riccoboni_LettreJuliette_0,"fus poussé si subitement, que JE N'EUS PAS LE TEMPS DE M'ACCROCHER à rien, ni de faire aucune ré","net, où j'entrevis une femme: JE N'EUS PAS LE TEMPS DE LA bien distinguer; un mouvement","(140324, 140360)","(148615, 148642)"
Riccoboni_LettresAdelaide_0,"ïde est"" elle à la Bastille?--JE N'AI PAS LE "" TEMPS DE VOUS dire tout cela, me "" répondit"," cher comte, pour vous dire quE JE N'AI PAS LE TEMPS DE VOus écrire. Je pars à l'instant","(670411, 670441)","(52134, 52162)"
Riccoboni_MissJenny_0,"it “remonter le char; j'étais SI HORS DE MOI-MÊME, QUE JE manquai de tomber et de “me f","s bras, si émue, si troublée, SI HORS DE MOI-MÊME, QUE JE ne pouvais m'opposer aux tend","(152705, 152732)","(351775, 351802)"
Rosny_Firmin_0,émoignai quelques attentions. IL N'EN FALLAIT PAS DAVANTAGE POUR FAIRE prendre feu à ce laid personn, inscrit sur la fatale liste. IL N'EN FALLAIT PAS DAVANTAGE POUR FAIRE prononcer sa condamnation ; c,"(448554, 448594)","(159558, 159598)"
Rousseau_Julie_0,gne devenait trèsriante; mais JE RENCONTRAIS DE TEMPS EN TEMPS DES sauvages de couleur de cuivre,"aturellement avec les autres. JE RENCONTRAIS DE TEMPS EN TEMPS DES touffes obscures, impénétrabl","(423817, 423853)","(956260, 956296)"
Rousseau_Julie_1,"este mystère. A peine posé-je LE PIED SUR LE SEUIL DE LA PORTE, qu'une espèce d'Exempt m'abo","t de gaieté; mais, en mettant LE PIED SUR LE SEUIL DE LA PORTE, le discours, la gaieté, tout","(755091, 755123)","(956260, 956296)"
Sade_120_0,"vous “a accusé d'avoir séduit LA FEMME ET LA “FILLE DE CE Duc. On ajoute, même, des “ch","quée, il fit trouver chez lui LA FEMME ET LA FILLE DE CE malheureux, tout était bien f","(232821, 232848)","(39178, 39204)"
Sade_120_1,"serteur, qu'on disait décoré “DE LA PLUS JOLIE FIGURE DU MONDE, par “le pouvoir du Diable au","2 de long, il avait 30 ans et DE LA PLUS JOLIE FIGURE DU MONDE. Briseeul avait un hochet si ","(233740, 233772)","(39178, 39204)"
Sade_Aline_0,"me proposer de me réjouir! 
“ CE N'EST PAS-LÀ CE QUE JE VEUX DIRE, “répondit-il; je veux vous a","ssibe à Dieu. 
Le curé . Non, CE N’EST PAS LÀ CE QUE JE VEUX DIRE; on vous soupçonne de quelque","(626317, 626352)","(223187, 223222)"
