,Text in Retif_Paysanne,Text in B,Location in Retif_Paysanne,Location in B
Louvet_Fin_0,"blement éveillée ! Cependant, JE NE CROIS PAS QUE VOUS AYEZ encore eu plus d'un amant ou ",donc?—Une jeune personne dont JE NE CROIS PAS QUE VOUS AYEZ entendu parler.—Vous l'appele,"(154704, 154733)","(81681, 81710)"
Louvet_Fin_1,". c'est vous, ma divinité ! c'EST VOUS QUE J'AI LE BONHEUR DE REVOIR, et de votre aveu !... Mais, ","coupés: «Quoi! belle dame,… c'EST VOUS… QUE J'AI… LE BONHEUR DE REVOIR!… Que les temps… sont changés","(678846, 678884)","(81681, 81710)"
Louvet_Fin_2,"prendre. « Il faut le garder, SI TU NE VEUX PAS QUE JE sois au désespoir d'avoir fav","l nous cause? Tiens, mon ami, SI TU NE VEUX PAS QUE JE succombe à mon chagrin, hâte-","(683858, 683882)","(81681, 81710)"
Maistre_Voyage_0,"uicide y est également, en ce QU'IL FAUDRAIT ÊTRE FOU, POUR NE PAS compter sur la possibilité d'","nt si rares, si clair-semées, QU'IL FAUDRAIT ÊTRE FOU POUR NE PAS s'arrêter, se détourner même ","(382963, 382999)","(7080, 7115)"
Marmontel_Belisaire_0,"ar la main. Et dès qu'elle a éTÉ SUR LE SEUIL DE LA PORTE, avec cette grâce que tu lui ","s, dès le point du jour, ont éTÉ SUR LE SEUIL DE LA PORTE. à la fin nous vous possédons","(39545, 39572)","(30495, 30522)"
Marmontel_Belisaire_1,on mari et sur ta santé. Tout CE QUI M'APPROCHE ET TOUT CE QUI a rapport à moi s'en est aper," la séduction. Il ne voit que CE QUI L'APPROCHE; ET TOUT CE QUI l'approche, lui répète sans c","(184349, 184381)","(30495, 30522)"
Marmontel_Contes_0," jamais d'entrer par lettre ; TOUT CE QUE JE PUIS VOUS DIRE, c'est que si j'ai fait manqu",encore plus malheureux: c'est TOUT CE QUE JE PUIS VOUS DIRE. Ne vous offensez pas de mon ,"(18833, 18862)","(331125, 331154)"
Marmontel_Contes_1,"is qu'il en prît de l'humeur, JE LUI FERAIS VOIR QUE JE NE SUIS pas au dépourvu. Car, ma très","rétendu me mener à la lisière,JE LUI FERAI VOIR QUE JE NE SUIS plus un enfant. Dès ce moment","(231104, 231137)","(331125, 331154)"
Marmontel_Contes_2,"s à tout ce qui vous regarde. JE SUIS AU COMBLE DE LA JOIE, qu'Edmée soit ma belle-sœur,","bel effort de résolution!-ah! JE SUIS AU COMBLE DE LA JOIE!-et votre joie est une folie,","(257642, 257670)","(331125, 331154)"
Marmontel_Contes_3," de ma famille. Dans le fond, JE SAIS TOUT CE QUE JE VOUS DOIS : la moitié de ma fortune ne ","avez combien il m'en a coûté.-JE SAIS TOUT CE QUE JE VOUS DOIS; mais, mon cher Célicour, vou","(500115, 500147)","(331125, 331154)"
Merard_Bergeries_0,"s à tout ce qui vous regarde. JE SUIS AU COMBLE DE LA JOIE, qu'Edmée soit ma belle-sœur,","seule. 
Je vais donc le voir. JE SUIS AU COMBLE DE LA JOIE et de l'inquiétude. 
(apercev","(257642, 257670)","(96213, 96241)"
Mercier_Jezennemours_0," d'éclat à vos charmes : avec LA SIMPLICITÉ DE LA NATURE, ILS SONT trop sûrs de tout soumettre. ","apprêté, et tenant beaucoup à LA SIMPLICITÉ DE LA NATURE, ILS SONT plus doux et plus touchant.Il","(217213, 217249)","(50541, 50577)"
Mercier_Jezennemours_1,"îtresse... Je suis accourue à SON SECOURS. MAIS... IL N'ÉTAIT PLUS TEMPS. J'ai vu M. Lagouache, fier d","etait des cris, il appelait à SON SECOURS, MAIS IL N'ÉTAIT PLUS TEMPS; tantôt il semblait englouti,","(545600, 545642)","(50541, 50577)"
Mirabeau_Rideau_0,"me, de ne pas faire à autrui, CE QUE NOUS NE VOUDRIONS PAS QU'ON NOUS fît ; dès qu'une fois nous av"," et ne point faire aux autres CE QUE NOUS NE VOUDRIONS PAS QU'ON NOUS lit. Tu vois, ma chère, que c","(330464, 330503)","(62191, 62230)"
Mirabeau_Rideau_1,"aire d'une séance. Ah Dieu !... DE TOUT CE QUE JE POSSÉDAIS, il ne me reste plus que le fon","ur eût une entière jouissance DE TOUT CE QUE JE POSSÉDAIS. IL m'examinait, il m'admirait; s","(780703, 780734)","(62191, 62230)"
Montesquieu_Arsace_0,"blement éveillée ! Cependant, JE NE CROIS PAS QUE VOUS AYEZ encore eu plus d'un amant ou ",". Quoique je vous aie vaincu, JE NE CROIS PAS QUE VOUS M'AYEZ cédé en courage; je vous prie","(154704, 154733)","(60440, 60471)"
Nerciat_Aphrodites_0,"laisir à moi qu'on me trompe, IL NE FAUT PAS DISPUTER DES GOÛTS. L'égoïsme est un vice partou","res morceaux de musique. 
La COMTESSE. 
IL NE FAUT PAS DISPUTER des goûts. 
Le Marquis. 
On a","(616760, 616793)","(444132, 444165)"
Prevost_Manon_0,"de Mlle Manon, je veux dire d'APRÈS TOUT CE QUE JE LUI AI conté, tantôt en l'excusant, ","reste-t-il à faire pour elle, APRÈS TOUT CE QUE JE LUI AI sacrifié ? Cependant elle m'a","(3821, 3848)","(100822, 100849)"
Prevost_Manon_1,"u Marquis, à Ursule. 
L'amant LE PLUS TENDRE ET LE PLUS RESPECTUEUX, malgré les apparences contra","s tous les sentiments du fils LE PLUS TENDRE ET LE PLUS RESPECTUEUX. 
Mais il me semble... que vo","(306213, 306250)","(100822, 100849)"
Prevost_Monde_0,"re de voir qui empoisonnerait LE RESTE DE SA VIE, S'IL AVAIT l'atrocité de se satisfaire. ","eurs, quelle consolation pour LE RESTE DE SA VIE, S'IL AVAIT sans cesse à ses côtés, ou de","(224739, 224769)","(11117, 11147)"
Prevost_Monde_1,"s. « Vous êtes un galant homme, LUI DIS-JE, ET JE NE VEux pas vous tromper. Vous m'av","ix d'une femme? Je n'entends, LUI DIS-JE, ET JE NE VEUX entendre que vous. Non, le mo","(831322, 831347)","(11117, 11147)"
Riccoboni_LettreJuliette_0,que je sois. Car je sais que jE NE DIS PAS UN MOT QUI NE SOit écouté. Si je ne puis faire,"fatiguent par leurs soins, et NE DISENT PAS UN MOT QUI NE SOIT un fade compliment. Il nous a","(809997, 810026)","(2726, 2758)"
Riccoboni_LettresAdelaide_0,"x, ou passionnément généreux, VOTRE TRÈS HUMBLE ET TRÈS OBÉISSANT SERVITEUR. ** ***. 
Après avoir lu ce s","a plus vive et la plus ardente, VOTRE TRÈS-HUMBLE ET TRÈS-OBÉISSANT SERVITEur, Charles Morinzer. Votre ré","(190371, 190416)","(237805, 237850)"
