,Text in Florian_Estelle,Text in B,Location in Florian_Estelle,Location in B
Leonard_Lettres_0,"it, vient saluer son père, se JETTE DANS LES BRAS DE SA MÈRE qu'elle presse fortement cont","u'elle avait fait, elle s'est JETÉE DANS LES BRAS DE SA MÈRE. Madame de Saint-Cyran la cou","(46405, 46435)","(157452, 157482)"
Leonard_Lettres_1,"deux bergers en se voyant, se PRÉCIPITENT DANS LES BRAS L'UN DE L'AUTRE; ILS restent long-temps embrassés ",ait Faldoni: nous nous sommes PRÉCIPITÉS DANS LES BRAS L'UN DE L'AUTRE: IL avait peine à respirer. Est-e,"(129964, 130010)","(157452, 157482)"
Louvet_Annee_0,"lle les lut, et sourit. Méril SE CRUT LE PLUS HEUREUX DES HOMMES. 
Il se trompait. La constant","ai ma joue de bonne grâce, il SE CRUT LE PLUS HEUREUX DES HOMMES; si j'avais voulu'écouter, je","(78866, 78900)","(65395, 65429)"
Mirabeau_Conversion_0," en se voyant, se précipitent DANS LES BRAS L'UN DE L'AUTRE; ILS restent long-temps embrassés ","ent seuls ; longtemps pressés DANS LES BRAS L'UN DE L'AUTRE, IL nous semblait que c'était pou","(129976, 130010)","(202671, 202704)"
Morelly_Naufrage_0,"es deux bergers en se voyant, SE PRÉCIPITENT DANS LES BRAS L'UN DE L'AUTRE; ils restent long-temps embra",euvent croire leurs yeux; ils SE PRÉCIPITENT DANS LES BRAS L'UN DE L'AUTRE; leurs visages se couvrent de,"(129961, 130005)","(197352, 197396)"
Reveroni_Pauliska_0,"eux princes, parce que l'un a JOUÉ UN GRAND RÔLE DANS L'HISTOIRE DE Languedoc, et l'autre a fait ","Roi de Hongrie, il doit avoir JOUÉ UN GRAND RÔLE DANS L'HISTOIRE DE la scélératesse Russe. 
Nous ","(195605, 195642)","(21127, 21164)"
Rousseau_Julie_0,"le fidèle Médor. A cette vue, DES LARMES DE JOIE COULENT DE SES YEUX; son cœur palpite avec tant d", être gaie. Souvent on voyait DES LARMES DE JOIE COULER DE SES YEUX; elle contemplait sa cousine ,"(90242, 90280)","(1237337, 1237374)"
Sacy_Amours_0,"armes dans ses yeux, et n'ose LUI DEMANDER LE SUJET DE SON VOYAGE. Couvert d'une pâleur mortell","facile, la fait approcher; ellE LUI DEMANDE LE SUJET DE SON VOYAge. Alors, déposant au pied de","(115491, 115526)","(15392, 15426)"
Sade_Aline_0,"tourments; Mon cœur abonde en SENTIMENT, MAIS MON ESPRIT NE PEUT LES RENDRE. Taisons-nous, craignons d'of","ons; mon cœur suffit pour les SENTIR, MAIS MON ESPRIT NE PEUT LES RENDRE. 
Je ne vis point Léonore le ","(78608, 78653)","(302374, 302416)"
Sade_Philosophie_0,"est d'accord pour bâiller. 
A DIEU NE PLAISE QUE JE VEUILLE NIER ou diminuer le mérite des égl"," réflexions plus étendues. 
À DIEU NE PLAISE QUE JE VEUILLE ATTAQUER ou détruire ici le serment du","(1597, 1631)","(262741, 262779)"
Senac_Emigre_0,"s ne venez pas à son secours; CAR JE NE SUIS PAS ASSEZ GRAND pour tuer un loup, mais je le"," point de vous souvenir de moi, CAR JE NE SUIS PAS ASSEZ INSENsé pour exiger et attendre d'u","(60238, 60268)","(629505, 629537)"
Voltaire_Homme_0,"ls parcouraient notre patrie, LE FER ET LA FLAMME À LA MAIN. Je les cherche pour qu'ils m","our aller s'établir ailleurs, LE FER ET LA FLAMME À LA MAIN. 
L'HOMME AUX QUARANTE ÉCUS. ","(151428, 151457)","(25447, 25476)"
