,Text in Arnaud_Matinees,Text in B,Location in Arnaud_Matinees,Location in B
Arnaud_Sentiment_3,"hanie, Géminvile relevait un oIL PRESQUE ÉTEINT ; IL NE LUI ÉChappait que ces mots : « C'est","t par effacer: était-il seul, IL NE LUI ÉCHAPPAIT QUE CES MOTS: le temps est bien rapide! 
E","(65705, 65737)","(250164, 250199)"
Arnaud_Sentiment_4," affreuse vérité! · Seroit-ce LÀ CET ÊTRE QUI SE DÉCORE DU NOM D'HOMME? IL N'ESt pas possible; non, il n'est ",", vous me rendrez mon fils... IL N'EST PAS POSSIBLE, NON, IL N'EST PAS POSSIBLE qu'il voie et qu'il entende v","(114003, 114052)","(250164, 250199)"
Arnaud_Sentiment_5,"lord, si je pleure, mais je ne PUIS RETENIR MES LARMES.BRAVE HOMme! brave homme! (lui dit Sind","e retenant avec transport, et EN LE SERRANT DANS SES BRAS; VOUS voyez votre azyle, votre fort","(330848, 330882)","(250164, 250199)"
Beauharnais_Lettres_0,"r le nom de mon époux; ajoutez, SUR CET OBJET, AUX REPRÉSENTATions de mon père : non, je ne ","derois le silence! moi! Mais, JE NE SUIS POINT FAIT POUR ÊTRE délateur. Il est une justice ","(222906, 222938)","(77709, 77740)"
Beaumont_Clarice_0,"situation inattendue. Vous ne DEVEZ PAS DOUTER DU VIF INTÉRÊT QUE JE PRENDS À TOUT ce qui vous regarde. 
Mademoi"," à son gré, et la parfaite estIME, LE VIF IN-TÉRÊT QUE JE PRENDS À TOUT CE QUI VOUs touche, Mademoiselle, me fai","(35180, 35232)","(46420, 46472)"
Benouville_Pensees_0,"miss, est à quelques pas d'ici AVEC UNE VOITURE TOUTE PRÊTE...-Portez-lui cette lettre..."," de ne m'en point offenser, c'EST TOUT CE QUE JE PUIS FAIRE pour le service du Public. Au","(293907, 293936)","(1115, 1144)"
Bernardin_Chaumiere_0," mon cher monsieur Dolimon , vOUS TENEZ-LÀ UN LANGAGE BIEN NEUF pour mon oreille! Eh! dites-m","rassure mieux que la science. DITES-MOI, JE VOUS PRIE, DE QUELLE secte vous êtes; car vous n'ê","(138674, 138707)","(32396, 32430)"
bible_0,"vec avidité sur les portraits DE SON PÈRE ET DE SA MÈRE , elle les pressait contre so"," Mériba.

9 C’est lui qui dit DE SON PÈRE ET DE SA MÈRE : Je ne l’ai point vu, et
qui","(3890, 3915)","(875212, 875237)"
bible_1,"?-Mistriss, je le désirerais sI C'EST SON AVANTAGE, MAIS pour moi j'ai réglé ma destiné","nes à
ne pas penser autrement QUE CE QUE JE VIENS DE VOUS écrire ; de peur que
vous ne ","(411921, 411948)","(875212, 875237)"
Cottin_Claire_0,"s votre sein, répandre des larMES, VOUS LE VOYEZ, QU'IL NE 'M'EST PLUS possible de retenir. Mon proj","pire ; si ce cri de mon cœur, QU'IL NE M'EST PLUS POSSIBLE DE RETENIR, t'apprend une faible partie ","(36662, 36702)","(131468, 131507)"
Crebillon_Atheniennes_0,"i considérable à vous procurer , ET QUI VOUS METTRA EN ÉTAt d'acquitter votre dette , si","confidence à la première; et, SI CE N'EST PAS MOI QUI VOUS mets dans un état si violent,","(192003, 192031)","(781719, 781747)"
Crebillon_Atheniennes_1," Il est vrai que ma fermeté un'ABANDONNAIT, ET QUE J'Ai pris , si je puis le dire, l","joüer avec lui l'inconstance, JE NE SAIS SI JE NE SERAIS pas plus à plaindre de lui do","(361444, 361468)","(781719, 781747)"
Crebillon_Conte_0,"as un supplice moins violent : L'IINAGE D'ELISABETH ÉTAIT CONTINuellement devant ses yeux , et","es-là, elle n'avait pas aimé; ET IL NE LUI ÉTAIT PAS POSSIBLE DE penser, dans cette occasion, ","(278153, 278187)","(155523, 155557)"
Crebillon_Conte_1,"e. Le vieillard est, livré à lA FUREUR. BEDMER S'EMPRESSE de raconter en peu de mots tou","Je suis si confuse, seigneur, DE CE QUI VIENT DE SE PASSER, dit l'oie à Schézaddin, que ","(310511, 310539)","(155523, 155557)"
Crebillon_Conte_2,"éance me défendt-elle d'écrire ? COMME JE LUI AUROIS ENVOYÉ TOUTE MOn âme ! Sinderson, à ces parol"," pour Plus-Vert-Que-Pré , qui AVAIT TOUTES LES PEINES DU MONDE À EN obtenir une réponse et un reg","(343032, 343070)","(155523, 155557)"
Diderot_Religieuse_0,"ylord, un des gentilshommes viVANT DANS VOS DÉPENDANCES, VIENT de mourir: il était veuf, et ",: on ne conçoit guère comment UNE FILLE DE DIX-SEPT À DIX-HUIT ans a pu se porter à cette ex,"(330190, 330222)","(57315, 57347)"
Dorat_Sacrifices_0,"nsultée, je me » suis consultéE: JE NE VOUS CÈDE» RAI POINT, JE ME Surmonterai » moi-même ; non, j","ne retournerai avec lui. Non, NON, JE NE QUITTERAI POINT LA MAISON du meilleur des hommes; je pa","(292907, 292945)","(282013, 282049)"
Ducray_Cinquante_0,"nte J'adore la Divinité. in.: 
UNE SORTE D'ENCHANTEMENT S'ESt emparé de la femme la plus a","e vingt-trois ans, était bien LA FEMME LA PLUS AIMABLE ET LA meilleure que j'eusse jamais ","(97103, 97133)","(193573, 193603)"
Fievee_Dot_0,"miss, est à quelques pas d'ici AVEC UNE VOITURE TOUTE PRÊTE...-Portez-lui cette lettre...","chargerai de son trousseau, c'EST TOUT CE QUE JE PUIS FAIRE.-On ne m'avait pas dit ça; ma","(293907, 293936)","(46932, 46961)"
Florian_Galatee_0,"ouvert, en quelque sorte , des OMBRES DU LA MORT, APPUYÉ SUR LE bras de son ami , et traînant ","'il fallait prendre. Nisida s'APPUIE SUR LE BRAS DE SON AMANT; ET Tircis, Damon et Élicio les g","(72320, 72354)","(97253, 97288)"
Genlis_Adele_0,"vec avidité sur les portraits DE SON PÈRE ET DE SA MÈRE , elle les pressait contre so",ur d'être élevé loin des yeux DE SON PÈRE ET DE SA MÈRE; son devoir est de les chérir,"(3890, 3915)","(1292579, 1292604)"
Genlis_Chevaliers_0,"t,) je n'ignore point que vous ÊTES LE DIGNE AMI DE MONSIEUR ET DE MADAME Géminvile : je vais vous faire","'opinion, ni de sentiment, et JE VAIS VOUS FAIRE UN AVEU QUI VOUS PROUVERA que, malgré tous vos charmes,","(141826, 141870)","(650276, 650320)"
Genlis_Chevaliers_1,"dée, si vous ne donnez la main À DOLIMON , QUI PEUTÊTRE , APRÈS MOn ami , est le seul homme sur ","i, lui dit-il, s'il existe un HOMME SUR LA TERRE QUI SOIT DIGNE DE Béatrix, c'est sans doute ce ","(187175, 187211)","(650276, 650320)"
Jacquin_Parisiennes_0, veut amener la conversation sUR L'OBJET DONT IL EST REMPLI : MADame Géminyile ne lui répond qu,demoiselle d'Auraigniac ne me RÉPONDIT QUE PAR UN TORRENT DE LARMES. Le dépit d'un refus que je n,"(182050, 182085)","(214216, 214253)"
Laclos_Liaisons_0,moi. Sans doute il ne m'appartIENT PAS DE NOURRIR UN SENTIMENT qui ne peut que vous rendre ma," n'ose plus vous entretenir d'UN SENTIMENT QUI NE PEUT QUE VOUS être à charge, s'il ne vous i","(37281, 37314)","(113403, 113436)"
Lagrave_Sophie_0,"on unique » partage; et, de ce MOMENT, JE ME » DÉVOUE À UN REPROCHE ÉTERNEL ; » jugez de l'empire que vou","e vous estime: je vous crois iNCAPABLE D'ABUSER DE L'EMPIRE QUE VOUS AVEz sur mon âme. 
Je vous ai vu ","(230760, 230805)","(152662, 152704)"
Lagrave_Sophie_1,"a faveur, c'est un désirs consTANT DE LUI FAIRE DU BIEN ET d'ajouter même au service de p","sa raison, déjà solide pour soN ÂGE, ET LE GOÛT QUE J'AI EU le bonheur de lui inspirer, a","(338749, 338778)","(152662, 152704)"
Lagrave_Zabeth_0,"vec avidité sur les portraits DE SON PÈRE ET DE SA MÈRE , elle les pressait contre so","les croisées de l'appartement DE SON PÈRE ET DE SA MÈRE. Ces lieux, témoins de son en","(3890, 3915)","(30424, 30449)"
Lagrave_Zabeth_1,"apper un torrentde larmes. 
) --EH! MADEMOISELLE, JE VOUS l'ai déjà dit, je ne puis fair","..--Eh! point de remercîmens; JE VOUS L'AI DÉJÀ DIT, JE NE les aime pas. Allons voir ce ","(57450, 57478)","(30424, 30449)"
LaPlace_Collection_0, m'est cher ?..... Madame LaurOI VIENDRA ELLE-MÊME VOUS CONFIRMer ce que je viens de vous app," vous avait informée de „tout CE QUE JE VIENS DE VOUS APPRENDRE. Jugez, „mademoiselle, combie","(81004, 81037)","(337648, 337681)"
Lesuire_Crime_0,"vec avidité sur les portraits DE SON PÈRE ET DE SA MÈRE , elle les pressait contre so","e à le détruire dans l'esprit DE SON PÈRE ET DE SA MÈRE, afin que l'héritage leur res","(3890, 3915)","(148151, 148176)"
Lesuire_Crime_1,"miss, est à quelques pas d'ici AVEC UNE VOITURE TOUTE PRÊTE...-Portez-lui cette lettre...","r, qu'il en jouira noblement. C'EST “TOUT CE QUE JE PUIS FAIre, pour le “présent; mais, pa","(293907, 293936)","(148151, 148176)"
Louvet_Annee_0,"uple si malheureux se chérissaIT PLUS QUE JAMAIS. .."" .. 
JE te le redis souvent, (en se j",urs. Elle m'avait quitté pour SE JETER DANS LES BRAS DE SON père; le cruel vit ma douleur,"(145198, 145228)","(143277, 143306)"
Louvet_Annee_1,"eux!-J'implore une seule faveuR DE VOTRE AMITIÉ, JE VOUS ÉCRIRai, et vous me donnerez de vos","mais quand je leur ai demandé DE VOS NOUVELLES ET DE CELLES DE mademoiselle votre sœur, ils ","(157179, 157211)","(143277, 143306)"
Louvet_Fin_0," ( et à ces mots il perd l'usaGE DES SENS, IL EST TOMBÉ SANS CONNAISSAnce dans les bras de son ami q","dernier effort de l'amour, je TOMBAI SANS CONNAISSANCE DANS LES BRAS DE la comtesse, qui, pour le mom","(41936, 41976)","(274153, 274194)"
Marmontel_Contes_0,"yal avait eu soin de faire aveRTIR DORNEUIL ,QUI S'EMPRESSe d'arriver : il se jette dans"," de la fureur à la tendresse, IL SE JETTE DANS LES BRAS DE son fils. Oui, lui dit-il, je","(89097, 89125)","(173535, 173563)"
Marmontel_Contes_1,"un supplice moins violent : l'IINAGE D'ELISABETH ÉTAIT CONTINuellement devant ses yeux , et",avoir tardé à s'en instruire! IL NE LUI ÉTAIT PAS POSSIBLE DE croire sa femme innocente; ma,"(278156, 278187)","(173535, 173563)"
Marmontel_Incas_0,"nous aimerons. (Et elle serraiT SON ÉPOUX CONTRE SON SEIN EN L'INONdant de ses larmes. 
) Est-il ","bant à ses pieds, tout baigné DE SES LARMES, EST-IL POSSIBLE QUE le refus d'être ingrat, perfi","(109102, 109139)","(174832, 174866)"
Merard_Bergeries_0,y a-t-il qualité pareilled celLELÀ ? SONGEZ QUE C'EST POUR LA dernière fois que je vous comm,", âme „des cœurs sensibles, c'EST POUR LA „DERNIÈRE FOIS QUE JE viens t'importuner; daigne ne","(61716, 61748)","(35274, 35307)"
Mercier_An_0,"e dit que ces mots, à voix basSE, À SON AMI:-NON, ASSURÉMENT VOUS ne m'en avez point imposé, et ",leur élément. Le gouvernement EST BIEN AU-DESSUS DE TOUT CE QUE l'on peut dire : il ne craint,"(342618, 342654)","(50267, 50300)"
Mercier_Jezennemours_0,"striss ? Oui, ma chère fille , (EN LA SERRANT DANS SES BRAs, et essuyant ses larmes, ) c","montrez-le-moi tel qu'il est, JE VOUS LE DEMANDE AU NOM DE la vérité; faites-moi l'aveu ","(411589, 411617)","(169214, 169242)"
Mirabeau_Rideau_0,"rerais passer ma vie auprès de VOUS.---STÉPHANIE, TU M'ES TROp chère, pour que je me refuse","je t'abandonne à toi-même, et TU M'ES TROP CHÈRE POUR QUE JE ne cherche pas à te ménager a","(32894, 32925)","(79176, 79206)"
Mirabeau_Rideau_1,"à une ivresse d'âme dont il esT IMPOSSIBLE DE DONNER SEULEMEnt une idée.-Oui, Blansey, je ","out ce que nous avons fait et TOUT CE QUE TU M'AS DIT: JE NE lui cache rien, ma confiance ","(370055, 370085)","(79176, 79206)"
Nerciat_Aphrodites_0,"e. Le vieillard est, livré à lA FUREUR. BEDMER S'EMPRESSE de raconter en peu de mots tou","e malheureux Comte avait été tÉMOIN DE CE QUI VIENT DE SE passer dans l'enceinte, si mal","(310511, 310539)","(277805, 277833)"
Nerciat_Etourdi_0,"ue ces mots, à voix basse, à sON AMI:-NON, ASSURÉMENT VOUS ne m'en avez point imposé, et ","es, je goûterais des plaisirs BIEN AU DESSUS DE TOUT CE QUE j'avais jusques ici éprouvé. ","(342625, 342654)","(156064, 156093)"
Nerciat_Felicia_0,"éance me défendt-elle d'écrire ? COMME JE LUI AUROIS ENVOYÉ TOUTE MOn âme ! Sinderson, à ces parol","mais qui, malgré ses avances, AVAIT TOUTES LES PEINES DU MONDE À SE faufiler avec la soi-disant b","(343032, 343070)","(380481, 380518)"
Prevost_Monde_0,"vec avidité sur les portraits DE SON PÈRE ET DE SA MÈRE , elle les pressait contre so","qu'elle voyait, par l'exemple DE SON PÈRE ET DE SA MÈRE, qu'il était bien triste de p","(3890, 3915)","(187423, 187448)"
Retif_Paysanne_0,"vec avidité sur les portraits DE SON PÈRE ET DE SA MÈRE , elle les pressait contre so","pourrait-il goûter, après la mORT DE SON PÈRE ET DE SA mère, que nous avons tués !apr","(3890, 3915)","(985229, 985254)"
Riccoboni_LettresFanni_0,"miss, est à quelques pas d'ici AVEC UNE VOITURE TOUTE PRÊTE...-Portez-lui cette lettre..."," m'inquiéter, me chagriner, c'EST TOUT CE QUE JE PUIS FAIRE. Ah! Pourquoi vous ai-je aimé","(293907, 293936)","(57805, 57834)"
Riccoboni_MissJenny_0, m'est cher ?..... Madame LaurOI VIENDRA ELLE-MÊME VOUS CONFIRMer ce que je viens de vous app,e ce manuscrit d'où j'ai tiré CE QUE JE VIENS DE VOUS APPRENDRE; et Lidy m'a souvent répété d,"(81004, 81037)","(67964, 67997)"
Riccoboni_MissJenny_1,"yal avait eu soin de faire aveRTIR DORNEUIL ,QUI S'EMPRESSe d'arriver : il se jette dans","mais elle le toucha vivement. IL SE JETA DANS LES BRAS DE son frère, il y pleura long-t","(89097, 89125)","(67964, 67997)"
Rousseau_Julie_0,envie d'avoir avec toi un entrETIEN DES PLUS IMPORTANTS. JE ne te le cacherai point; je ne,". Je ne suis plus le même, et NE TE VOIS PLUS LA MÊME. JE NE te vois plus comme autrefois ","(249917, 249947)","(71299, 71329)"
Rousseau_Julie_1,"miss, est à quelques pas d'ici AVEC UNE VOITURE TOUTE PRÊTE...-Portez-lui cette lettre...",n de ton crédit renaissant: c’EST TOUT CE QUE JE PUIS FAIRE pour que la fête ne se fasse ,"(293907, 293936)","(71299, 71329)"
Sade_Aline_0,"é qui jaillit de l'âme,) parloNS DE NOTRE AMOUR; JE FERAI Le bonheur de tout ce que j'ai ","ie vu; mon honneur, … ma vie, TOUT CE QUE J’AI DE PLUS CHER, dût-il être compromis, il fa","(83014, 83043)","(1392558, 1392587)"
Sade_Infortunes_0,"ice, pour s'être liés à d'autrES ENFANTS QUI N'AVAIENT PAS LEURS HEUREUSES QUALItés ! Il est impossible de se ",nt j'eus le plus à souffrir ; IL EST IMPOSSIBLE DE SE FIGURER JUSQU'À QUEL POINT ce scélérat portait la cruaut,"(204135, 204185)","(174993, 175043)"
Sade_Justine_0,"us maîtrisée par un sentiment QU'IL NE LUI ÉTAIT PLUS POSSIBLE DE vaincre , de combattre même, ","ces horreurs, et sentant bien QU'IL NE LUI ÉTAIT PLUS POSSIBLE DE se contenir : --Allons, Thérè","(14760, 14795)","(518363, 518398)"
Sade_Philosophie_0," mon cher monsieur Dolimon , vOUS TENEZ-LÀ UN LANGAGE BIEN NEUF pour mon oreille! Eh! dites-m","ller mes idées sur tout cela, DITES-MOI, JE VOUS PRIE, DE QUEL œil vous voyez l'objet qui se","(138674, 138707)","(332796, 332828)"
Segur_Correspondance_0,"ation inattendue. Vous ne deveZ PAS DOUTER DU VIF INTÉRÊT QUE JE PRENDS À TOUT ce qui vous regarde. 
Mademoi","nnuie? Oubliez-vous le tendre INTÉRÊT QUE JE PRENDS À TOUT CE QUI VOUS REGARDE? vos malheurs me désespèrent,","(35184, 35232)","(497589, 497637)"
Senac_Emigre_0,"miss, est à quelques pas d'ici AVEC UNE VOITURE TOUTE PRÊTE...-Portez-lui cette lettre..."," état, et le médecin désespère. C'EST TOUT CE QUE JE PUIS Faire que de rester un quart d'","(293907, 293936)","(750528, 750557)"
Souza_Adele_0,"uple si malheureux se chérissaIT PLUS QUE JAMAIS. .."" .. 
JE te le redis souvent, (en se j"," vis s'élancer de la voiture, SE JETER DANS LES BRAS DE SON amie, l'embrasser, lui demand","(145198, 145228)","(5248, 5277)"
