,Text in Riccoboni_MissJenny,Text in B,Location in Riccoboni_MissJenny,Location in B
Louvet_Annee_0,"présenta à milord. Il me prit DANS SES BRAS; ET ME PRESSANT CONTRE SON SEIN, il répéta en pleurant les pr","dors pas! "" elle se précipita DANS MES BRAS, ET ME PRESSA CONTRE SON SEIN. "" dieux! S'écria-t-elle, ave","(81671, 81716)","(39245, 39288)"
Louvet_Annee_1,"s elle le toucha vivement. Il SE JETA DANS LES BRAS DE SON frère, il y pleura long-temps",urs. Elle m'avait quitté pour SE JETER DANS LES BRAS DE SON père; le cruel vit ma douleur,"(375999, 376027)","(39245, 39288)"
Mercier_Jezennemours_0,"eur de mes derniers instants. CE N'EST PAS POUR MOI QUE JE vous implore, c'est pour l'in","i j'ose embrasser vos genoux, CE N'EST PAS POUR MOI QUE JE viens vous prier, c'estpour v","(408081, 408109)","(141156, 141184)"
Prevost_Manon_0," invitation pressante d'aller LE VOIR AVANT LA FIN DU JOUR, si je le pouvais sans trop m",lus de chercher les moyens de LE VOIR AVANT LA FIN DU JOUR. Je retournai sur-le-champ au,"(405109, 405137)","(81398, 81426)"
Prevost_Monde_0," avec Lidy, qu'un petit bruit SE FIT ENTENDRE. LA PORTE DE MON cabinet s'ouvrit, Sir James p","ndroit par quelque bruit, qui SE FIT ENTENDRE À LA PORTE DE MON antichambre. Mais, l'attribua","(218474, 218506)","(430124, 430157)"
Riccoboni_Histoire_0,"s elle le toucha vivement. Il SE JETA DANS LES BRAS DE SON frère, il y pleura long-temps","e, en finissant cette lettre, SE JETA DANS LES BRAS DE SON mari, et, le serrant avec une","(375999, 376027)","(86876, 86904)"
Riccoboni_LettreJuliette_0," chantai, il se montra charmé DE LA DOUCEUR ET DE LA FLEXIBILITÉ de ma voix. Passant de mes lo",it un sexe a-t-il de se jouer DE LA DOUCEUR ET DE LA BONTÉ de l'autre?Si l'usage a rendu,"(139234, 139268)","(39202, 39230)"
Riccoboni_LettreJuliette_1,"seoir, se plaça entre elle et MOI, PRIT UNE DE MES MAINS, LA baisa plusieurs fois; et aprè","alua, sans lever les yeux sur MOI, PRIT UNE DE MES MAINS, LA serra doucement, me conduisit","(187184, 187214)","(39202, 39230)"
Riccoboni_LettreJuliette_2,"cipes; "" et tombant à genoux, LES YEUX ET LES MAINS ÉLEVÉS VERS LE CIEL: "" dieu juste! Dieu puissant!","s ma triste incertitude, j'ai LES YEUX ET LES MAINS ÉLEVÉS VERS LE CIEL; je me rappelle à tous moment","(238486, 238527)","(39202, 39230)"
Riccoboni_LettresAdelaide_0,"r sa médiation; et déjà je me DIS, DANS LA SINCÉRITÉ DE MON CŒUR, votre tendre amie. La Comtes","pas votre air grave: je vous lE DIS DANS LA SINCÉRITÉ DE MON CŒur, l'idée d'un mari me ferait","(296054, 296088)","(196197, 196230)"
Riccoboni_LettresFanni_0,"us plaire, me disait-elle, si UN HOMME SI AIMABLE, SI DIGNE D'ÊTRE AIMÉ, vous trouve insensible? Sa t","dée qu'il était dans le monde UN HOMME SI AIMABLE,SI DIGNE D'ÊTRE AIMÉ! Il fallait vous connaître po","(109976, 110017)","(87594, 87634)"
Riccoboni_LettresFanni_1,outes mes paroles exprimaient DE LA HAINE ET DU MÉPRIS POUR Milord Danby. Ma fièvre se ra,uisqu'elle a pu vous défendre DE LA HAINE ET DU MÉPRIS POUR une femme que vous avez si vi,"(255314, 255343)","(87594, 87634)"
Riccoboni_MylordRivers_0," motifs de votre éloignement, JE NE SAIS SI JE DOIS ME PLAINDRE de vous, et n'accuse encore q",as l'histoire aussi gaiement. JE NE SAIS SI JE DOIS PLAINDRE Edmond ou le féliciter. S'il ,"(40772, 40805)","(97113, 97143)"
Rousseau_Julie_0,aissait souhaiter avec ardeur DE LE VOIR ET DE LUI PARLER. Milord s'attendrit beaucoup ,"n tel gendre. Je vous défends DE LE VOIR ET DE LUI PARLER de votre vie, et cela autant ","(450524, 450551)","(308758, 308785)"
Rousseau_Julie_1,"es méditations, je retrouvois AU FOND DE MON CŒUR TOUS LES MOUVEMENT que je venais d'y condamner. ", inattendu! ô comme il ranime AU FOND DE MON CŒUR TOUS LES MOUVEMENT impétueux que ta présence y f,"(472482, 472520)","(308758, 308785)"
Sade_Aline_0," peignit sur tous ses traits. IL PRIT UNE DE MES MAINS, ET LA pressant doucement: "" que voi","utes les parties mises à nud; IL PRIT UNE DE MES MAINS ET LA porta sur lui, mais je la ret","(157545, 157576)","(1137689, 1137719)"
Segur_Correspondance_0," revoir; cependant j'envoyois TOUS LES JOURS SAVOIR DE SES NOUVELLES, et lui fis deux ou trois cou"," à la porte de la Le Couvreur TOUS LES JOURS, SAVOIR DE SES NOUVELLES. Elle a fait d'Argental exécu","(414121, 414159)","(541181, 541220)"
Souza_Adele_0,"s elle le toucha vivement. Il SE JETA DANS LES BRAS DE SON frère, il y pleura long-temps"," vis s'élancer de la voiture, SE JETER DANS LES BRAS DE SON amie, l'embrasser, lui demand","(375999, 376027)","(5248, 5277)"
Voisenon_Histoire_0,"re, si elle pouvait augmenter LE BONHEUR DE L'UN ET DE L'AUTRE. Miladi était allée à six mil"," précautions aussi sages pour LE BONHEUR DE L'UN ET DE L'AUTRE, on nous maria: la troisième ","(466829, 466861)","(12993, 13025)"
Voltaire_Princesse_0,"eu! Ah mon dieu! Répétoit-il, JE SUIS LE PLUS MALHEUREUX DES HOMMES! "" ses exclamations me surpri",vec un indigne roi d'Égypte : JE SUIS LE PLUS MALHEUREUX DES HOMMES ; j'ai perdu mon père et le p,"(397211, 397248)","(75444, 75481)"
