,Text in Jacquin_Parisiennes,Text in B,Location in Jacquin_Parisiennes,Location in B
Kimber_Thompson_1,nçai plus à me regarder comme LE PLUS MALHEUREUX DE TOUS LES HOMMES: abandonné à la plus vive dou," perdre l'esprit; car je suis LE PLUS MALHEUREUX DE TOUS LES HOMMES. L'Irlande est ma patrie, mon","(110807, 110844)","(496530, 496560)"
Kimber_Thompson_2,demoiselle d'Auraigniac ne me RÉPONDIT QUE PAR UN TORRENT DE LARMES. Le dépit d'un refus que je n,"ce qu'il méritait. 
Je ne lui RÉPONDIS QUE PAR UN TORRENT DE LARMES, ils partirent. Ma tante ma c","(214216, 214253)","(496530, 496560)"
Laclos_Liaisons_0,"de votre “ardeur.„ 
Frappé de CE QUE JE VENAIS DE LIRE, JE demandai a Hortence, si elle ",", qui me disait lui-même tout CE QUE JE VENAIS DE LIRE. JE ne me suis endormie que bien ","(311355, 311383)","(66527, 66555)"
Lagrave_Sophie_0,"r me sera toujours délicieux, JE SUIS LE PLUS HEUREUX DES HOMMES: aimé d'une personne charmant","TERIVE au Chevalier DE VALBELLE. 
OUI, MON AMI, JE SUIS LE PLUS heureux des hommes; je possède","(60499, 60533)","(301886, 301920)"
LaPlace_Collection_0," Mais ne serait-ce pas abuser DE LA CONFIANCE DONT VOUS M'HONOREZ, QUE de vous importuner de vous fa","de ravissement, aussi flatté „DE LA CONFIANCE DONT VOUS M'HONOREZ, QUE „d'être cru capable de concou","(55794, 55834)","(188640, 188680)"
Leonard_Lettres_0,"affreux pour tout ce que nous REGARDIONS COMME LE DERNIER DEGRÉ DE LA FÉLICITÉ. 
Une triste expérience me co","pinion la plus sublime: je le REGARDE COMME LE DERNIER DEGRÉ DE LA FÉLICITÉ humaine, quand il est fondé s","(253991, 254039)","(70385, 70430)"
Lesuire_Aventurier_0,dans une inquiétude mortelle: JE FIS TOUT CE QUE JE PUS POUR rappeler ses sens égarés: je ,mais.“Cette menace m'effraya; JE FIS TOUT CE QUE JE PUS POUR la faire changer de résolutio,"(47123, 47153)","(505270, 505300)"
Lesuire_Aventurier_1,on amour! Nous avions peine à NOUS ARRACHER DES BRAS L'UN DE L'AUTRE: cependant la crainte que l'i,", qui se jette sur nous, pour NOUS ARRACHER DES BRAS L'UN DE L'AUTRE. „Ah! cher Merveil, tu vis, s","(71153, 71191)","(505270, 505300)"
Lesuire_Crime_0,dans une inquiétude mortelle: JE FIS TOUT CE QUE JE PUS POUR rappeler ses sens égarés: je ,imagina que j'en étais le père. JE FIS TOUT CE QUE JE PUS POur détruire cette fausse opini,"(47123, 47153)","(880636, 880666)"
Lesuire_Crime_1,"eur, me dit-il en m'abordant, LE PLUS MALHEUREUX DES HOMMES: J'AI PERDU pour toujours ma chère Juqu'h","licite; mais, pour moi, je suiS LE “PLUS MALHEUREUX DES HOMMES, J'AI “PERdu tout ce que j'avais, quatre","(101715, 101756)","(880636, 880666)"
Loaisel_Ainsi_0,"e pour me remettre chez moi. 
JE ME DONNERAI BIEN DE GARDE DE FAIRE usage des offres de service q","ussi couru que vous le dites, JE ME DONNERAI BIEN DE GARDE DE FAIRE un larcin qui m'attirerait ta","(159107, 159144)","(152805, 152842)"
Maistre_Voyage_0,te espéce de rage qui m'avait SI SOUVENT MIS HORS DE MOI-MÊME. Que dis-je? j'étais surpris ,"rchesini , cette voix qui m'a SI SOUVENT MIS HORS DE MOI-MÊME,--oui, je l'aurais entendue s","(113571, 113602)","(64549, 64580)"
Marmontel_Contes_0,e Ministre avait paru surpris DE LA DEMANDE QU'IL LUI AVAIT FAITE pour moi cette Charge: il me ,"t surpris. Alcimon, préoccupé DE LA DEMANDE QU'IL LUI AVAIT FAITE, et impatient de voir arriver","(124181, 124216)","(505243, 505278)"
Marmontel_Contes_1," comme la source du Bonheur. 
IL FAUT SI PEU DE CHOSE POUR occuper notre cœur, qu'il est","l faut, me disait-il souvent, IL FAUT SI PEU DE CHOSE POUR troubler le bonheur d'une âme","(147547, 147575)","(505243, 505278)"
Mercier_Jezennemours_0,"d'indifference, Mademoiselle; EST-IL POSSIBLE DE VOUS VOIR SANS la perdre? Que peuvent les ch",t fois plus cher que le mien: EST-IL POSSIBLE DE VOUS VOIR SANS désirer de vous parler; un mo,"(20327, 20360)","(136396, 136429)"
Nerciat_Felicia_0,é que la passion seule anime; JAMAIS JE N'AVAIS RIEN VU DE SI beau de si voluptueux: à chaq,"e perdis absolument la carte. JAMAIS JE N'AVAIS RIEN VU DE SI désirable que Géronimo, dans ","(46787, 46818)","(215291, 215322)"
Nerciat_Felicia_1,du père de mon amie) me reçut AVEC LES DÉMONSTRATIONS DE LA PLUS VIVE tendresse: instruit de mon tr,"e le serrais contre mon sein, AVEC LES DÉMONSTRATIONS DE LA PLUS VIVE inquiétude. L'adolescent me c","(175954, 175993)","(215291, 215322)"
Nerciat_Felicia_2,confident etamp; son conseil: IL NE FAISAIT RIEN SANS MON ATTACHE: je l'aurois fait changer en ,"i ne voulait que son bonheur. IL NE FAISAIT RIEN SANS MON ATTACHE, il n'avait pas une pensée sa","(256116, 256151)","(215291, 215322)"
Popeliniere_Daira_0," davantage dans le précipice: ALLER ME JETER AUX PIEDS DE MON PÈRE, pour lui découvrir la cause ","a vie. Mon premier soin fut d'ALLER ME JETER AUX PIEDS DE MON PÈRE; je parcourus le Château, le ","(192201, 192237)","(214269, 214305)"
Prevost_Manon_0,"d'avantage: si je vous aimais MOINS, JE NE TROUVERAIS QUE DU PLAISIR DANS le voyage dont je viens de re"," attentions qu'il aurait pour MOI, JE NE TROUVERAIS QUE DU PLAISIR DANS ma solitude. « Ah ! du plaisi","(78523, 78566)","(119231, 119272)"
Retif_Paysanne_0," d'un Amant plein d'ardeur, à TOUT CE QUE LE SENTIMENT A DE PLUS voluptueux: tout...... Mais d","te et je me suis abandonnée à TOUT CE QUE LE SENTIMENT A DE PLUS recherché, de plus délicieux.","(56861, 56895)","(675734, 675768)"
Riccoboni_LettreJuliette_0,"nçai plus à me regarder comme LE PLUS MALHEUREUX DE TOUS LES HOMMES: ABANDONNÉ à la plus vive douleur, je ne","rer, adorer celle qui me rend LE PLUS MALHEUREUX DE TOUS LES HOMMES. AH! La pauvre Lady D'Ossery, que","(110807, 110855)","(169738, 169779)"
Riccoboni_LettresAdelaide_0,"r me sera toujours délicieux, JE SUIS LE PLUS HEUREUX DES HOMMES: aimé d'une personne charmant","r que je sens? ... je l'épouse; JE SUIS LE PLUS HEUREUX DES HOMMes? "" Madame De Termes s'étonn","(60499, 60533)","(166852, 166886)"
Riccoboni_LettresFanni_0,"peut que troubler d'avantage: SI JE VOUS AIMAIS MOINS, JE NE trouverais que du plaisir dan"," fait sentir si vivement, que SI JE VOUS AIMAIS MOINS, JE NE senterois qu'elle; mais rien ","(78505, 78535)","(64982, 65012)"
Rousseau_Emile_0,"te tendresse, je m'insinuerai DE PLUS EN PLUS DANS SA CONFIANCE, je lui arracherai ce secret ","pargnerai rien pour m'établir DE PLUS EN PLUS DANS SA CONFIANCE, pour me rendre de plus en pl","(105772, 105805)","(901390, 901423)"
Rousseau_Julie_0,"donner le même nom au trouble DONT JE NE SUIS PAS LE MAÎTRE depuis notre départ de Paris,",est pourtant encore un secret DONT JE NE SUIS PAS LE MAÎTRE. J’ajouterai seulement que si,"(22937, 22966)","(782268, 782297)"
Sade_120_0," comme la source du Bonheur. 
IL FAUT SI PEU DE CHOSE POUR occuper notre cœur, qu'il est","la le motif de ses plaintes ; IL FAUT SI PEU DE CHOSES POUR déplaire à un libertin, tant ","(147547, 147575)","(248396, 248425)"
Sade_120_1,"ec une pétulance insoutenable POUR TOUT AUTRE QUE POUR UN DISCIPLE. Tes preuves sont faites, che","eût pu devenir une jouissance POUR TOUT AUTRE, QUE POUR UN ENFANT tel que Zélamir ; pas assez f","(232734, 232770)","(248396, 248425)"
Sade_Aline_0,dans une inquiétude mortelle: JE FIS TOUT CE QUE JE PUS POUR rappeler ses sens égarés: je ,"s de me parler de sa passion, JE FIS TOUT CE QUE JE PUS POUR lui faire croire que je n’y é","(47123, 47153)","(773313, 773343)"
Sade_Infortunes_0,dans une inquiétude mortelle: JE FIS TOUT CE QUE JE PUS POUR rappeler ses sens égarés: je ,"e vais-je devenir, grand Dieu JE FIS TOUT CE QUE JE PUS POUR la calmer, mais rien n'y parv","(47123, 47153)","(180912, 180942)"
Souza_Adele_0,"r me sera toujours délicieux, JE SUIS LE PLUS HEUREUX DES HOMMES: aimé d'une personne charmant","ous apprendre aujourd'hui que JE SUIS LE PLUS HEUREUX DES HOMMES. 
Je viens de l'autel. Adèle ","(60499, 60533)","(286533, 286567)"
Tiphaigne_Galligenes_0,"osez-vous-en sur ma prudence: VOUS JOUIREZ DE TOUS LES AVANTAGES DE LA FINANCE, sans être regardé comme un F","ns, ou que nous faisons agir, NOUS JOUIRIONS DE TOUS LES AVANTAGES DE LA MAGNANIMITÉ, sans avoir un seul homme mag","(202841, 202889)","(148713, 148767)"
Voltaire_Princesse_0,"eur, me dit-il en m'abordant, LE PLUS MALHEUREUX DES HOMMES: J'AI PERDU pour toujours ma chère Juqu'h","ndigne roi d'Égypte : je suis LE PLUS MALHEUREUX DES HOMMES ; J'AI PERDU mon père et le phénix, et l'e","(101715, 101756)","(75452, 75494)"
