,Text in Lagrave_Sophie,Text in B,Location in Lagrave_Sophie,Location in B
Crebillon_Nuit_0,".. Je t'avoue qu'il me déplut AU-DELÀ DE TOUT CE QUE JE PUIS dire. 
Trouves-tu, mon amie, ","souviens que pour la mépriser AU-DELÀ DE TOUT CE QUE JE POURRAIS dire. 
CIDALISE. 
Cruel ! J'a","(15463, 15493)","(7879, 7913)"
Diderot_Jacques_0, pas un commencement pompeux? ... JE VEUX QUE LE DIABLE M'EMPORTE Si je ne l'aime réellement. Est,"t ce ressort là... ? 
JACQUES JE VEUX QUE LE DIABLE M'EMPORTE SI JE conçois qu'il puisse jouer sa","(56191, 56228)","(460321, 460358)"
Diderot_Neveu_0, pas un commencement pompeux? ... JE VEUX QUE LE DIABLE M'EMPORTe si je ne l'aime réellement. ,I.---De la raison tant mieux. JE VEUX QUE LE DIABLE M'EMPORTE SI j'y tâche. Cela va comme je t,"(56191, 56225)","(130218, 130252)"
Diderot_Religieuse_0,e; ma sœur me pousse: je retouRNAIS SANS SAVOIR CE QUE JE FAISAis. Je lui présente le bras. A,"ar ma fenêtre, je me démenais SANS SAVOIR CE QUE JE FAISAIS ; JE me disais à moi-même en tress","(82241, 82274)","(227138, 227172)"
Diderot_Religieuse_1,"..--Oh! non; allez-vous-en, moN CHER CHEVALIER; JE VOUS LE DEMANDE EN GRÂCE. JE DEMANDAI UN BAISER.--JE LE Veux bien, dit-elle; mais donne","ez point cette mortification, JE VOUS LE DEMANDE EN GRÂCE. 
---NON, NON, CELA NE SE PEUT ; VOUS ME FERIEZ QUELQUE TRACASSERIE AVEC CET HOMME-LÀ, ET JE N'EN VEUX POINT AVOIR. 
---NON, CHÈRE MÈRE, JE NE VOUS EN FERAI POINT ---PROMETTEZ-MOI DONC... CELA EST INUTILE, VOUS VIENDREZ DEMAIN MATIN DANS MA CHAMBRE, VOUS VOUS ACCUSEREZ À MOI : VOUS N'AVEZ COMMIS AUCUNE FAUTE, DONT JE NE PUISSE VOUS RÉCONCILIER ET VOUS ABSOUDRE ; ET VOUS COMMUNIEREZ AVEC LES AUTRES. ALLEZ. » JE ME RETIRAI DONC, ET J'ÉTAIS DANS MA CELLULE, TRISTE, INQUIÈTE, RÊVEUSE, NE SACHANT QUEL PARTI PRENDRE, SI J'IRAIS AU P. LEMOINE MALGRÉ MA SUPÉRIEURE, SI JE M'EN TIENDRAIS À SON ABSOLUTION LE LENDEMAIN, ET SI JE FERAIS MES DÉVOTIONS AVEC LE RESTE DE LA MAISON, OU SI JE M'ÉLOIGNERAIS DES SACREMENTS, QUOI QU'ON EN PÛT DIRE. LORSQU'ELLE RENTRA, ELLE S'ÉTAIT CONFESSÉE, ET LE P. LEMOINE LUI AVAIT DEMANDÉ POURQUOI IL NE M'AVAIT POINT APERÇUE, SI J'ÉTAIS MALADE ; JE NE SAIS CE QU'ELLE LUI AVAIT RÉPONDU, MAIS LA FIN DE CELA, C'EST QU'IL M'ATTENDAIT AU CONFESSIONNAL. « ALLEZ-Y DONC, ME DIT-ELLE, PUISQU'IL LE FAUT, MAIS ASSUREZ-MOI QUE VOUS VOUS TAIREZ. » J'HÉSITAIS, ELLE INSISTAIT, « EH FOLLE, ME DISAIT-ELLE, QUEL MAL VEUX-TU QU'IL Y AIT À TAIRE CE QU'IL N'Y A POINT EU DE MAL À FAIRE ? 
---ET QUEL MAL Y A-T-IL À LE DIRE ? LUI RÉPONDIS-JE. 
---AUCUN, MAIS IL Y A DE L'INCONVÉNIENT. QUI SAIT L'IMPORTANCE QUE CET HOMME PEUT Y METTRE ? ASSUREZ-MOI DONC... » JE BALANÇAI ENCORE ; MAIS ENFIN JE M'ENGAGEAI À NE RIEN DIRE, S'IL NE ME QUESTIONNAIT PAS, ET J'ALLAI. 
JE ME CONFESSAI, ET JE ME TUS ; MAIS LE DIRECTEUR M'INTERROGEA, ET JE NE DISSIMULAI RIEN. IL ME FIT MILLE, DEMANDES SINGULIÈRES, AUXQUELLES JE NE COMPRENDS RIEN ENCORE À PRÉSENT QUE JE ME LES RAPPELLE. IL ME TRAITA AVEC INDULGENCE ; MAIS IL S'EXPRIMA SUR LA SUPÉRIEURE DANS DES TERMES QUI ME FIRENT FRÉMIR ; IL L'APPELA INDIGNE, LIBERTINE, MAUVAISE RELIGIEUSE, FEMME PERNICIEUSE, ÂME CORROMPUE ; ET M'ENJOIGNIT, SOUS PEINE DE PÉCHÉ MORTEL, DE NE ME TROUVER JAMAIS SEULE AVEC ELLE, ET DE NE SOUFFRIR AUCUNE DE SES CARESSES. 
« MAIS, MON PÈRE, LUI DIS-JE, C'EST MA SUPÉRIEURE ; ELLE PEUT ENTRER CHEZ MOI, M'APPELER CHEZ ELLE QUAND IL LUI PLAÎT. 
---JE LE SAIS, JE LE SAIS, ET J'EN SUIS DÉSOLÉ. CHÈRE ENFANT, ME DIT-IL, LOUÉ SOIT DIEU QUI VOUS A PRÉSERVÉE JUSQU'À PRÉSENT SANS OSER M'EXPLIQUER AVEC VOUS PLUS CLAIREMENT, DANS LA CRAINTE DE DEVENIR MOI-MÊME LE COMPLICE DE VOTRE INDIGNE SUPÉRIEURE, ET DE FANER, PAR LE SOUFFLE EMPOISONNÉ QUI SORTIRAIT MALGRÉ MOI DE MES LÈVRES, UNE FLEUR DÉLICATE, QU'ON NE GARDE FRAÎCHE ET SANS TACHE JUSQU'À L'ÂGE OÙ VOUS ÊTES, QUE PAR UNE PROTECTION SPÉCIALE DE LA PROVIDENCE, JE VOUS ORDONNE DE FUIR VOTRE SUPÉRIEURE, DE REPOUSSER LOIN DE VOUS SES CARESSES, DE NE JAMAIS ENTRER SEULE CHEZ ELLE, DE LUI FERMER VOTRE PORTE, SURTOUT LA NUIT ; DE SORTIR DE VOTRE LIT, SI ELLE ENTRE CHEZ VOUS MALGRÉ VOUS ; D'ALLER DANS LE CORRIDOR, D'APPELER S'IL LE FAUT, DE DESCENDRE TOUTE NUE JUSQU'AU PIED DES AUTELS, DE REMPLIR LA MAISON DE VOS CRIS, ET DE FAIRE TOUT CE QUE L'AMOUR DE DIEU, LA CRAINTE DU CRIME, LA SAINTETÉ DE VOTRE ÉTAT ET L'INTÉRÊT DE VOTRE SALUT VOUS INSPIRERAIENT, SI SATAN EN PERSONNE SE PRÉSENTAIT À VOUS ET VOUS POURSUIVAIT. OUI, MON ENFANT, SATAN ; C'EST SOUS CET ASPECT QUE JE SUIS CONTRAINT DE VOUS MONTRER VOTRE SUPÉRIEURE ; ELLE EST ENFONCÉE DANS L'ABÎME DU CRIME, ELLE CHERCHE À VOUS Y PLONGER ; ET VOUS Y SERIEZ DÉJÀ PEUT-ÊTRE AVEC ELLE, SI VOTRE INNOCENCE MÊME NE L'AVAIT REMPLIE DE TERREUR, ET NE L'AVAIT ARRÊTÉE. » PUIS LEVANT LES YEUX AU CIEL, IL S'ÉCRIA : « MON DIEU CONTINUEZ DE PROTÉGER CETTE ENFANT... DITES AVEC MOI : SATANA, VADE RETRÒ, APAGE, SATANA . SI CETTE MALHEUREUSE VOUS INTERROGE, DITES-LUI TOUT, RÉPÉTEZ-LUI MON DISCOURS ; DITES-LUI QU'IL VAUDRAIT MIEUX QU'ELLE NE FÛT PAS NÉE, OU QU'ELLE SE PRÉCIPITÂT SEULE AUX ENFERS PAR UNE MORT VIOLENTE. 
---MAIS, MON PÈRE, LUI RÉPLIQUAI-JE, VOUS L'AVEZ ENTENDUE ELLE-MÊME TOUT À L'HEURE. » IL NE ME RÉPONDIT RIEN ; MAIS POUSSANT UN SOUPIR PROFOND, IL PORTA SES BRAS CONTRE UNE DES PAROIS DU CONFESSIONNAL, ET APPUYA SA TÊTE DESSUS COMME UN HOMME PÉNÉTRÉ DE DOULEUR : IL DEMEURA QUELQUE TEMPS DANS CET ÉTAT. JE NE SAVAIS QUE PENSER ; LES GENOUX ME TREMBLAIENT ; J'ÉTAIS DANS UN TROUBLE, UN DÉSORDRE QUI NE SE CONÇOIT PAS. TEL SERAIT UN VOYAGEUR QUI MARCHERAIT DANS LES TÉNÈBRES ENTRE DES PRÉCIPICES QU'IL NE VERRAIT PAS, ET QUI SERAIT FRAPPÉ DE TOUT CÔTÉ PAR DES VOIX SOUTERRAINES QUI LUI CRIERAIENT : « C'EST FAIT DE TOI » ME REGARDANT ENSUITE AVEC UN AIR TRANQUILLE, MAIS ATTENDRI, IL ME DIT : « AVEZ-VOUS DE LA SANTÉ ? 
---OUI, MON PÈRE. 
---NE SERIEZ-VOUS PAS TROP INCOMMODÉE D'UNE NUIT QUE VOUS PASSERIEZ SANS DORMIR ? 
---NON, MON PÈRE. 
---EH BIEN ME DIT-IL, VOUS NE VOUS COUCHEREZ POINT CELLE-CI ; AUSSITÔT APRÈS VOTRE COLLATION VOUS IREZ DANS L'ÉGLISE, VOUS VOUS PROSTERNEREZ AU PIED DES AUTELS, VOUS Y PASSEREZ LA NUIT EN PRIÈRES. VOUS NE SAVEZ PAS LE DANGER QUE VOUS AVEZ COURU : VOUS REMERCIEREZ DIEU DE VOUS EN AVOIR GARANTIE ; ET DEMAIN VOUS APPROCHEREZ DE LA SAINTE TABLE AVEC TOUTES LES AUTRES RELIGIEUSES. JE NE VOUS DONNE POUR PÉNITENCE QUE DE VOUS TENIR LOIN DE VOTRE SUPÉRIEURE, ET QUE DE REPOUSSER SES CARESSES EMPOISONNÉES. ALLEZ ; JE VAIS DE MON CÔTÉ UNIR MES PRIÈRES AUX VÔTRES. COMBIEN VOUS M'ALLEZ CAUSER D'INQUIÉTUDES JE SENS TOUTES LES SUITES DU CONSEIL QUE JE VOUS DONNE ; MAIS JE VOUS LE DOIS, ET JE ME LE DOIS À MOI-MÊME. DIEU EST LE MAÎTRE ; ET NOUS N'AVONS QU'UNE LOI. » JE NE ME RAPPELLE, MONSIEUR, QUE TRÈS-IMPARFAITEMENT TOUT CE QU'IL ME DIT. À PRÉSENT QUE JE COMPARE SON DISCOURS TEL QUE JE VIENS DE VOUS LE RAPPORTER, AVEC L'IMPRESSION TERRIBLE QU'IL ME LIT, JE N'Y TROUVE PAS DE COMPARAISON ; MAIS CELA VIENT DE CE QU'IL EST BRISÉ, DÉCOUSU ; QU'IL Y MANQUE BEAUCOUP DE CHOSES QUE JE N'AI PAS RETENUES, PARCE QUE JE N'Y ATTACHAIS AUCUNE IDÉE DISTINCTE, ET QUE JE NE VOYAIS ET NE VOIS ENCORE AUCUNE IMPORTANCE À DES CHOSES SUR LESQUELLES IL SE RÉCRIAIT AVEC LE PLUS DE VIOLENCE. PAR EXEMPLE, QU'EST-CE QU'IL TROUVAIT DE SI ÉTRANGE DANS LA SCÈNE DU CLAVECIN ? N'Y A-T-IL PAS DES PERSONNES SUR LESQUELLES LA MUSIQUE FAIT LA PLUS VIOLENTE IMPRESSION ? ON M'A DIT À MOI-MÊME QUE CERTAINS AIRS, CERTAINES MODULATIONS CHANGEAIENT ENTIÈREMENT MA PHYSIONOMIE : ALORS J'ÉTAIS TOUT À FAIT HORS DE MOI, JE NE SAVAIS PRESQUE PAS CE QUE JE DEVENAIS ; JE NE CROIS PAS QUE J'EN FUSSE MOINS INNOCENTE. POURQUOI N'EN EÛT-IL PAS ÉTÉ DE MÊME DE MA SUPÉRIEURE, QUI ÉTAIT CERTAINEMENT, MALGRÉ TOUTES SES FOLIES ET SES INÉGALITÉS, UNE DES FEMMES LES PLUS SENSIBLES QU'IL Y EÛT AU MONDE ? ELLE NE POUVAIT ENTENDRE UN RÉCIT UN PEU TOUCHANT SANS FONDRE EN LARMES ; QUAND JE LUI RACONTAI MON HISTOIRE, JE LA MIS DANS UN ÉTAT À FAIRE PITIÉ. QUE NE LUI FAISAIT-IL UN CRIME AUSSI DE SA COMMISÉRATION ? ET LA SCÈNE DE LA NUIT, DONT IL ATTENDAIT L'ISSUE AVEC UNE FRAYEUR MORTELLE... CERTAINEMENT CET HOMME EST TROP SÉVÈRE. 
QUOI QU'IL EN SOIT, J'EXÉCUTAI PONCTUELLEMENT CE QU'IL M'AVAIT PRESCRIT, ET DONT IL AVAIT SANS DOUTE PRÉVU LA SUITE IMMÉDIATE. TOUT AU SORTIR DU CONFESSIONNAL, J'ALLAI ME PROSTERNER AU PIED DES AUTELS ; J'AVAIS LA TÊTE TROUBLÉE D'EFFROI ; J'Y DEMEURAI JUSQU'À SOUPER. LA SUPÉRIEURE, INQUIÈTE DE CE QUE J'ÉTAIS DEVENUE, M'AVAIT FAIT APPELER ; ON LUI AVAIT RÉPONDU QUE J'ÉTAIS EN PRIÈRE. ELLE S'ÉTAIT MONTRÉE PLUSIEURS FOIS À LA PORTE DU CHŒUR ; MAIS J'AVAIS FAIT SEMBLANT DE NE LA POINT APERCEVOIR. L'HEURE DU SOUPER SONNA ; JE ME RENDIS AU RÉFECTOIRE ; JE SOUPAI À LA HÂTE ; ET LE SOUPER FINI, JE REVINS AUSSITÔT À L'ÉGLISE ; JE NE PARUS POINT À LA RÉCRÉATION DU SOIR ; À L'HEURE DE SE RETIRER ET DE SE COUCHER JE NE REMONTAI POINT. LA SUPÉRIEURE N'IGNORAIT PAS CE QUE J'ÉTAIS DEVENUE. LA NUIT ÉTAIT FORT AVANCÉE ; TOUT ÉTAIT EN SILENCE DANS LA MAISON, LORSQU'ELLE DESCENDIT AUPRÈS DE MOI. L'IMAGE SOUS LAQUELLE LE DIRECTEUR ME L'AVAIT MONTRÉE, SE RETRAÇA À MON IMAGINATION ; LE TREMBLEMENT ME PRIT, JE N'OSAI LA REGARDER, JE CRUS QUE JE LA VERRAIS AVEC UN VISAGE HIDEUX, ET TOUT ENVELOPPÉE DE FLAMMES, ET JE DISAIS AU DEDANS DE MOI : « SATANA, VADE RETRÒ, APAGE, SATANA . MON DIEU, CONSERVEZ-MOI, ÉLOIGNEZ DE MOI CE DÉMON. » ELLE SE MIT À GENOUX, ET APRÈS AVOIR PRIÉ QUELQUE TEMPS, ELLE ME DIT : « SAINTE-SUZANNE, QUE FAITES-VOUS ICI ? 
--- MADAME, VOUS LE VOYEZ. 
--- SAVEZ-VOUS L'HEURE QU'IL EST ? 
--- OUI, MADAME. 
---POURQUOI N'ÊTES-VOUS PAS RENTRÉE CHEZ VOUS À L'HEURE DE LA RETRAITE ? 
---C'EST QUE JE ME DISPOSAIS À CÉLÉBRER DEMAIN LE GRAND JOUR. 
---VOTRE DESSEIN ÉTAIT DONC DE PASSER ICI LA NUIT ? 
--- OUI, MADAME. 
---ET QUI EST-CE QUI VOUS L'A PERMIS ? 
--- LE DIRECTEUR ME L'A ORDONNÉ. 
--- LE DIRECTEUR N'A RIEN À ORDONNER CONTRE LA RÈGLE DE LA MAISON ; ET MOI, JE VOUS ORDONNE DE VOUS ALLER COUCHER. 
---MADAME, C'EST LA PÉNITENCE QU'IL M'A IMPOSÉE. 
---VOUS LA REMPLACEREZ PAR D'AUTRES ŒUVRES. 
---CELA N'EST PAS À MON CHOIX. 
---ALLONS, ME DIT-ELLE, MON ENFANT, VENEZ. LA FRAÎCHEUR DE L'ÉGLISE PENDANT LA NUIT VOUS INCOMMODERA ; VOUS PRIEREZ DANS VOTRE CELLULE. » APRÈS CELA, ELLE VOULUT ME PRENDRE PAR LA MAIN ; MAIS JE M'ÉLOIGNAI AVEC VITESSE. « VOUS ME FUYEZ, ME DIT-ELLE. 
--- OUI, MADAME, JE VOUS FUIS. » RASSURÉE PAR LA SAINTETÉ DU LIEU, PAR LA PRÉSENCE DE LA DIVINITÉ, PAR L'INNOCENCE DE MON CŒUR, J'OSAI LEVER LES YEUX SUR ELLE ; MAIS À PEINE L'EUS-JE APERÇUE, QUE JE POUSSAI UN GRAND CRI ET QUE JE ME MIS À COURIR DANS LE CHŒUR COMME UNE INSENSÉE, EN CRIANT : « LOIN DE MOI, SATAN ... » ELLE NE ME SUIVAIT POINT, ELLE RESTAIT À SA PLACE, ET ELLE ME DISAIT, EN TENDANT DOUCEMENT SES DEUX BRAS VERS MOI, ET DE LA VOIX LA PLUS TOUCHANTE ET LA PLUS DOUCE : « QU'AVEZ-VOUS ? D'OÙ VIENT CET EFFROI ? ARRÊTEZ. JE NE SUIS POINT SATAN, JE SUIS VOTRE SUPÉRIEURE ET VOTRE AMIE. » JE M'ARRÊTAI, JE RETOURNAI ENCORE LA TÊTE VERS ELLE, ET JE VIS QUE J'AVAIS ÉTÉ EFFRAYÉE PAR UNE APPARENCE BIZARRE QUE MON IMAGINATION AVAIT RÉALISÉE ; C'EST QU'ELLE ÉTAIT PLACÉE, PAR RAPPORT À LA LAMPE DE L'ÉGLISE, DE MANIÈRE QU'IL N'Y AVAIT QUE SON VISAGE ET QUE L'EXTRÉMITÉ DE SES MAINS QUI FUSSENT ÉCLAIRÉES, ET QUE LE RESTE ÉTAIT DANS L'OMBRE, CE QUI LUI DONNAIT UN ASPECT SINGULIER. UN PEU REVENUE À MOI, JE ME JETAI DANS UNE STALLE. ELLE S'APPROCHA, ELLE ALLAIT S'ASSEOIR DANS LA STALLE VOISINE, LORSQUE JE ME LEVAI ET ME PLAÇAI DANS LA STALLE AU-DESSOUS. JE VOYAGEAI AINSI DE STALLE EN STALLE, ET ELLE AUSSI JUSQU'À LA DERNIÈRE : LÀ, JE M'ARRÊTAI, ET JE LA CONJURAI DE LAISSER DU MOINS UNE PLACE VIDE ENTRE ELLE ET MOI. 
« JE LE VEUX BIEN, » ME DIT-ELLE. 
Nous nous assîmes toutes de","(287131, 287209)","(227138, 227172)"
Dorat_Malheurs_0,oup de ressemblance avec sa sœUR. JE NE SAIS PAS POURQUOI JE ME suis mis dans la tête que Monr,exte là me donne de l'humeur. JE NE SAIS PAS POURQUOI JE M'Y SUIS arrêtée; il me déplaît... en ,"(71413, 71447)","(173901, 173936)"
Dorat_Malheurs_1,"
M. de Beauregard ne se doute NULLEMENT DE CE QUI SE PASSE DANs mon cœur. Il a pris son appa", résister toujours? Je frémis DE CE QUI SE PASSE DANS MON CŒUR. Que mon sentiment est tyrann,"(105059, 105091)","(173901, 173936)"
Dorat_Malheurs_2,"pour vous regarder. En disant CES MOTS, JE PRIS UNE DE SES MAINS, que je couvris de mille baise","n la haine. Alors, saisissant UNE DE SES MAINS QUE JE COUVRE DE baisers, calmez-vous, lui dis","(231422, 231457)","(173901, 173936)"
Ducray_Cinquante_0,oumettre à tout. Je me persuadE PLUS QUE JAMAIS QUE TOUTE LA PRUDENce humaine ne peut rien contre,"vénements si extraordinaires, QUE TOUTE LA PRUDENCE HUMAINE NE PEUT ni les calculer, ni les prévo","(186299, 186336)","(284890, 284927)"
Dulaurens_Imirce_0,ment que je lui avais inspirés. IL FIT LE MÊME EFFET SUR Mon cœur; sa vue m'avait souven,gane m'affecta gracieusement; IL FIT LE MÊME EFFET SUR MON compagnon. La faim nous aigui,"(34865, 34893)","(56773, 56801)"
Fievee_Dot_0,sser l'espoir d'un jour heureuX.. .MAIS LE CIEL LIT DANS Le fond de mon cœur; il est tém,". ah, madame! Si vous pouviez LIRE DANS LE FOND DE MON CŒUR, vous sauriez qu'un amour inv","(193817, 193845)","(36567, 36596)"
Florian_Estelle_0,ue je me suis adressé à M. DarCY POUR CONNAÎTRE LA CAUSE DU FROID ACCUEil que l'on a fait à ce cheval,"is de revenir à mes idées sur LA CAUSE DU FROID ACCUEIL QUE L'ON FAIT aux pastorales. 
Je pense que","(145703, 145744)","(3106, 3145)"
Florian_Galatee_0,"ue: Je suis bien heureux, MadaME; C'EST AUJOURD'HUI ... LE PLUS ... BEAU JOUR ... DE ma vie ... Ce son de voix si t","bat et de son heureuse fin. C'EST AUJOURD'HUI LE PLUS BEAU JOUR DE MA VIE: j'ai retrouvé ma Téolinde, j","(86156, 86211)","(133625, 133668)"
Genlis_Adele_0,"atter.--Adieu. Donnez-moi des NOUVELLES DE TOUT CE QUI VOUS INTéresse, et croyez à la sincère","part aussi de vos plaisirs et DE TOUT CE QUI VOUS INTÉRESSE, ET mandez-moi si votre brouiller","(94290, 94323)","(114612, 114645)"
Genlis_Adele_1,"er, se précipita hors de cette VOITURE, ET VINT SE JETER DANS MES BRAS EN VERSANT UN torrent de larmes. Je la pres","sité de Madame De Valmont, et SE JETANT DANS SES BRAS EN VERSANT UN TORRENT DE LARMES: ""apprenez, lui dit-elle, tou","(260973, 261027)","(114612, 114645)"
Genlis_Adele_2,"embrasser mademoiselle de BeauREGARD, S'ARRÊTA, ET FUT SE JETER DAns les bras de son père. 
Ces ","eurs, se leva impétueusement, ET FUT SE JETER DANS LES BRAS DE SON grand-père... je ne puis vous","(297578, 297614)","(114612, 114645)"
Genlis_Chevaliers_0,esse. J'ai senti la nécessité DE LUI DISSIMULER CE QUI SE PASSAIT DANS mon cœur; il m'en coûtait de ,"nd homme connut aisément tout CE QUI SE PASSAIT DANS MON CŒUR, IL EN parut vivement touché; et dan","(147099, 147139)","(140577, 140615)"
Genlis_Chevaliers_1,"x fixément arrêtés sur lui, je POUVAIS JUGER DE TOUT CE QUI Se passait dans son âme. 
Enfin", ce seul mot me fit connaître TOUT CE QUI SE PASSAIT DANS SON âme; le plus éloquent discour,"(210816, 210847)","(140577, 140615)"
Genlis_Chevaliers_2,"onte et le dépit se sont fait VIOLEMMENT SENTIR DANS LE FONd de mon cœur. 
La rage s'étai","it de lumière, qui fit passer DANS LE FOND DE MON CŒUR LA plus douce espérance! Cette j","(217745, 217774)","(140577, 140615)"
Genlis_Chevaliers_3,"écipita hors de cette voiture, ET VINT SE JETER DANS MES BRAS EN VERSANT UN torrent de larmes. Je la pres","dèle: je le serrai long-temps DANS MES BRAS EN VERSANT UN TORRENT DE LARMES, et lorsqu'il m'eut quitté, j","(260982, 261027)","(140577, 140615)"
Gerard_Comte_0, crois qu'on m'en a dégoûtée. AH! QUE NE SUIS-JE PRÈS DE toi! je serais plus heureuse.,"n fils. Mon fils, ô mon fils, QUE NE SUIS-JE PRÈS DE TOI! Que ta situation présente me","(72962, 72988)","(715844, 715870)"
Jacquin_Parisiennes_0,"TERIVE au Chevalier DE VALBELLE. 
OUI, MON AMI, JE SUIS LE PLUS heureux des hommes; je possède","r me sera toujours délicieux, JE SUIS LE PLUS HEUREUX DES HOMMES: aimé d'une personne charmant","(301886, 301920)","(60499, 60533)"
Kimber_Thompson_0," Beauregard, qui est bien loin D'IMAGINER CE QUI SE PASSE DAns nos cœurs. Le changement qu",s sans pouvoir rendre si-bien CE QUI SE PASSE DANS NOS CŒURS. Notre sexe moins familiarisé,"(111119, 111149)","(746757, 746787)"
Laclos_Liaisons_0,oup de ressemblance avec sa sœUR. JE NE SAIS PAS POURQUOI JE ME suis mis dans la tête que Monr,"tait toute autre chose : mais JE NE SAIS PAS POURQUOI JE ME SUIS toujours mise à trembler, et ","(71413, 71447)","(401680, 401714)"
