,Text in Diderot_Neveu,Text in B,Location in Diderot_Neveu,Location in B
Diderot_Jacques_0," bu largement (car après tout IL N'EN AURAIT ÉTÉ NI PLUS NI MOINS, messire Gaster est un person"," serais arraché les cheveux : IL N'EN AURAIT ÉTÉ NI PLUS NI MOINS, et mon bienfaiteur eût été c","(99182, 99217)","(9055, 9090)"
Diderot_Jacques_1,"t me dit : --- Qu'avez-vous ? EST-CE QUE VOUS VOUS TROUVEZ MAL ? 
MOI.---Un peu, mais cela p","lez-moi donc dame Marguerite, EST-CE QUE VOUS VOUS TROUVEZ MAL ? 
MARGUERITE Non, mon enfant","(120750, 120782)","(9055, 9090)"
Diderot_Jacques_2,I.---De la raison tant mieux. JE VEUX QUE LE DIABLE M'EMPORTE SI j'y tâche. Cela va comme je t,"t ce ressort là... ? 
JACQUES JE VEUX QUE LE DIABLE M'EMPORTE SI je conçois qu'il puisse jouer","(130218, 130252)","(9055, 9090)"
Diderot_Jacques_3,"auvage j'en suis fou. 
MOI.---EST-CE QUE VOUS NE VOUS OCCUPEREZ pas sérieusement d'arrêter en","goutte, bénite ou non bénite. EST-CE QUE VOUS NE VOUS ÊTES pas aperçu que j'étais hydrop","(143516, 143549)","(9055, 9090)"
Diderot_Religieuse_0,"musements, il vous en coûtera QUELQUES LIVRES DE SUCRE ET DE CAFÉ.---C'est un homme sévère, qui","rieure ; et elle trouva, pour QUELQUES LIVRES DE SUCRE ET DE CAFÉ, une religieuse qui prit sa p","(32584, 32619)","(208557, 208592)"
Ducray_Cinquante_0,"ez-vous ? 
MOI.---Je rêve que TOUT CE QUE VOUS VENEZ DE DIRE EST plus spécieux que solide. Mai"," mon indignation?...--Madame, TOUT CE QUE VOUS VENEZ DE ME DIRE EST tellement obscur pour moi, qu","(48050, 48084)","(163354, 163391)"
Dulaurens_Imirce_0,"t me dit : --- Qu'avez-vous ? EST-CE QUE VOUS VOUS TROUVEZ MAL ? 
MOI.---Un peu, mais cela p",". hélas... mon cœur s'en va---EST-CE QUE VOUS VOUS TROUVEZ MAL, Monsieur Dressant? Mes appas","(120750, 120782)","(355070, 355102)"
Genlis_Adele_0,"ut un malheureux instant, car VOUS SAVEZ QUE JE NE SUIS PAS sujet à avoir du sens commun,","rien de caché pour vous; mais VOUS SAVEZ QUE JE NE SUIS PAS précipitée dans mes jugement,","(28545, 28574)","(604053, 604082)"
Genlis_Adele_1,"ez-vous ? 
MOI.---Je rêve que TOUT CE QUE VOUS VENEZ DE DIRE EST plus spécieux que solide. Mai","présent, mais je sens combien TOUT CE QUE VOUS VENEZ DE DIRE EST juste et raisonnable, et je v","(48050, 48084)","(604053, 604082)"
Gerard_Comte_0,"e n'en sortira pas qu'elle ne SOIT AU-DESSUS DE TOUTE DIFFICULTÉ, ET cela ne sera pas aussi long q","ète, mais qui, pris ensemble, SONT AU DESSUS DE TOUTE DIFFICULTÉ ET de toute objection. Quelle sa","(51764, 51802)","(751697, 751734)"
Laclos_Liaisons_0,"ce qui peut arriver ? 
LUI.---CE N'EST PAS LÀ CE QUE JE crains ; cela n'arrivera pas.","is te voir à ma place... Non, CE N'EST PAS LÀ CE QUE JE veux dire, car sûrement je ne","(28030, 28055)","(219673, 219698)"
Laclos_Liaisons_1," nous nous en tirons. 
MOI.---VOUS VOUS ÊTES DONNÉ BIEN DE LA PEINE POUR me montrer que vous étiez for","nceny, je ne vous dirai rien. VOUS VOUS ÊTES DONNÉ BIEN DE LA PEINE POUR vous en instruire, n'est-il p","(41739, 41781)","(219673, 219698)"
Lagrave_Sophie_0,I.---De la raison tant mieux. JE VEUX QUE LE DIABLE M'EMPORTE SI j'y tâche. Cela va comme je t, pas un commencement pompeux? ... JE VEUX QUE LE DIABLE M'EMPORTe si je ne l'aime réellement. ,"(130218, 130252)","(56191, 56225)"
Lagrave_Zabeth_0,"iens que je ne m'en mêle pas. TOUT CE QUE JE SAIS, C'EST QUE JE VOUDRAIS bien être un autre, au hasard","e que je vois pas bien clair. TOUT CE QUE JE SAIS, C'EST QUE JE SUIS bien fâchée de tout ce qui se","(20125, 20167)","(248272, 248310)"
Lesuire_Aventurier_0,"ce qui peut arriver ? 
LUI.---CE N'EST PAS LÀ CE QUE JE crains ; cela n'arrivera pas.","me proposer de me réjouir! 
“ CE N'EST PAS-LÀ CE QUE JE veux dire, “répondit-il; je v","(28030, 28055)","(626317, 626342)"
Marmontel_Belisaire_0,persécuter un homme de génie. JE NE VOUS AI PAS DIT QUE le génie fût indivisiblement ,"l ne s'ennuie; mais, mon ami, JE NE VOUS AI PAS DIT QUE régner fût un passe-temps. Pe","(13484, 13509)","(171848, 171873)"
Marmontel_Contes_0,"ce qui peut arriver ? 
LUI.---CE N'EST PAS LÀ CE QUE JE crains ; cela n'arrivera pas.",tends à rien.-vous avez tort; CE N'EST PAS LÀ CE QUE JE veux dire. Vous avez de quoi ,"(28030, 28055)","(241461, 241486)"
Marmontel_Contes_1, la partie la plus importante DE LA VILLE ET DE LA COUR. Nos opulents dans tous les é,toutes les anecdotes galantes DE LA VILLE ET DE LA COUR: quel était l'amant de la vei,"(59982, 60007)","(241461, 241486)"
Merard_Bergeries_0," je glanais un peu là-dessus. AVANT QUE DE SE RENDRE AU LIEU du supplice, il fallait se ch","jour arrive enfin; et Philis, AVANT QUE DE SE RENDRE AU LIEU où s'assemblent ses compagnes","(105147, 105177)","(31325, 31355)"
Morelly_Naufrage_0,"ez-vous ? 
MOI.---Je rêve que TOUT CE QUE VOUS VENEZ DE DIRE est plus spécieux que solide.","ois rien compris, sage Ami, à TOUT CE QUE VOUS VENEZ DE ME DIRE, si vous ne m'aviez précédemm","(48050, 48080)","(352248, 352281)"
Nerciat_Etourdi_0, la partie la plus importante DE LA VILLE ET DE LA COUR. Nos opulents dans tous les é,"re, on les croirait confident DE LA VILLE ET DE LA COUR. Rien ne se fait pour eux der","(59982, 60007)","(153855, 153880)"
Nerciat_Felicia_0,"us, que je lui donnais. Il s'éTAIT INTRODUIT, JE NE SAIS COMMENT, DANS QUELQUES maisons honnêtes, où il avait","ment. Lambert, ce jour-là, s'éTAIT INTRODUIT, JE NE SAIS COMMENT, DANS LA maison ; cependant l'évanouis","(4895, 4944)","(20958, 21001)"
Rousseau_Emile_0,"que je ne m'en mêle pas. Tout CE QUE JE SAIS, C'EST QUE JE voudrais bien être un autre, ","s?... je n'en sais rien; mais CE QUE JE SAIS, C'EST QUE JE ne reverrais de ma vie celui ","(20130, 20158)","(1265523, 1265551)"
Rousseau_Julie_0,"que je ne m'en mêle pas. Tout CE QUE JE SAIS, C'EST QUE JE voudrais bien être un autre, ","reux changement? Je l’ignore. CE QUE JE SAIS, C’EST QUE JE l’ai vivement désiré. Dieu se","(20130, 20158)","(716078, 716106)"
Sade_Aline_0,"iens que je ne m'en mêle pas. TOUT CE QUE JE SAIS, C'EST QUE je voudrais bien être un autr","us dire de quel pays je suis, TOUT CE QUE JE SAIS, C’EST QUE ma mère est arrière-petite-fi","(20125, 20155)","(1035256, 1035286)"
Sade_Infortunes_0,"plus renfoncé que de coutume, SE PROMENAIT EN LONG ET EN LARGE, le poing sous le menton. Mad","pour m'essuyer. 
Cependant il SE PROMENAIT EN LONG ET EN LARGE et me laissait faire, plus oc","(99942, 99974)","(101175, 101207)"
Segur_Correspondance_0,"iens que je ne m'en mêle pas. TOUT CE QUE JE SAIS, C'EST QUE je voudrais bien être un autr","viens point de l'y avoir vue. TOUT CE QUE JE SAIS, C'EST QUE c'est une femme de bonne mais","(20125, 20155)","(246554, 246584)"
Segur_Correspondance_1," pauvre Dumesnil ne sait plus CE QU'ELLE DIT NI CE QU'ELLE FAIT... Allons, mademoiselle, pren",qu'à lui dire qu'elle ne sait CE QU'ELLE DIT NI CE QU'ELLE FAIT. Je suis prête à lui jeter un,"(49338, 49371)","(246554, 246584)"
Senac_Emigre_0,"que je ne m'en mêle pas. Tout CE QUE JE SAIS, C'EST QUE JE voudrais bien être un autre, ","n revient à dire avec Socrate : CE QUE JE SAIS, C'EST QUE je ne sais rien . La plupart d","(20130, 20158)","(441530, 441558)"
