,Text in Montesquieu_Arsace,Text in B,Location in Montesquieu_Arsace,Location in B
Loaisel_Ainsi_5,"eur partout répandue, étaient DES TÉMOIGNAGES CONTINUELS DE NOTRE BONHEUR. TANTÔT ARDASIRE ÉTAIT UNE BERGÈRE QUI, SANS PARURE ET SANS ORNEMENTS, SE MONTRAIT À MOI AVEC SA NAÏVETÉ NATURELLE; TANTÔT JE la voyais telle qu'elle était","uceur par-tout répandue, sont DES TÉMOIGNAGES CONTINUELS DE NOTRE BONHEUR. TANTÔT EUGÉNIE EST UNE BERGÈRE QUI, SANS PARURE ET SANS ORNEMENT, SE MONTRE À MOI AVEC SA NAÏVETÉ NATURELLE; TANTÔT JE la vois telle qu'elle était, ","(16465, 16634)","(50649, 50698)"
Loaisel_Ainsi_6,"sans ornements, se montrait à MOI AVEC SA NAÏVETÉ NATURELLE; TANTÔT JE LA VOYAIS TELLE QU'ELLE était lorsque j'étais enchant","et sans ornement, se montre à MOI AVEC SA NAÏVETÉ NATURELLE; TANTÔT JE LA VOIS TELLE QU'ELLE était, lorsqu'elle m'enchanta","(16594, 16658)","(50649, 50698)"
Loaisel_Ainsi_7,"mployaient la pourpre de Tyr. TOUTE LA MAISON GOÛTAT UNE JOIE NAÏVE. NOUS DESCENDIONS AVEC PLAISIR À L'ÉGALITÉ DE LA NATURE; NOUS ÉTIONS HEUREUX, ET nous voulions vivre avec des ","e me témoigne leur maîtresse. TOUTE LA MAISON GOÛTE UNE JOIE NAÏVE. NOUS DESCENDONS AVEC PLAISIR À L'ÉGALITÉ DE LA NATURE; NOUS SOMMES HEUREUX, ET nous voulons vivre avec des g","(16843, 16961)","(50649, 50698)"
Loaisel_Ainsi_8,"ons heureux, et nous voulions VIVRE AVEC DES GENS QUI LE FUSSENT. LE BONHEUR FAUX REND LES HOMMES DURS ET SUPERBES, ET CE BONHEUR NE SE COMMUNIQUE POINT. LE VRAI BONHEUR LES REND DOUX ET SENSIBLES, ET CE BONHEUR SE PARTAGE TOUJOURS. Je me souviens qu'Ardasire f","mmes heureux, et nous voulons VIVRE AVEC DES GENS QUI LE SAIENT. LE BONHEUR FAUX REND LES HOMMES DURS ET SUPERBES, ET CE BONHEUR NE SE COMMUNIQUE POINT; LE VRAI BONHEUR LES REND DOUX ET SENSIBLES, ET CE BONHEUR SE PARTAGE TOUJOURS. Sans doute que l'effet natur","(16976, 17177)","(50649, 50698)"
Loaisel_Ainsi_9," aimions, Ardasire et moi; et SANS DOUTE QUE L'EFFET NATUREL DE L'AMOUR EST DE RENDRE HEUREUX CEUX QUI S'AIMENT. MAIS CETTE BIENVEILLANCE GÉNÉRALE QUE NOUS TROUVONS DANS tous ceux qui sont autour de "," bonheur se partage toujours. SANS DOUTE QUE L'EFFET NATUREL DE L'AMOUR EST DE RENDRE HEUREUX CEUX QUI S'AIMENT; MAIS CETTE BIENVEILLANCE GÉNÉRALE QUE NOUS TROUVONS DANS ceux qui nous entourent, peut","(43107, 43246)","(50649, 50698)"
Loaisel_Ainsi_10, la paix. Nous aurions compté NOS ANNÉES PAR LE RENOUVELLEMENT DES FLEURS ET DES FRUITS; NOUS AURIONS PERDU NOS ANNÉES DANS LA RAPIDITÉ D'UNE VIE HEUREUSE. J'aurois vu tous les jours A,e et la paix; nous compterons NOS ANNÉES PAR LE RENOUVELLEMENT DES FLEURS ET DES FRUITS; NOUS PERDRONS NOS ANNÉES DANS LA RAPIDITÉ D'UNE VIE HEUREUSE. Je verrai tous les jours Eug,"(44575, 44699)","(50649, 50698)"
Louvet_Fin_0,". Quoique je vous aie vaincu, JE NE CROIS PAS QUE VOUS M'AYEZ cédé en courage; je vous prie",donc?—Une jeune personne dont JE NE CROIS PAS QUE VOUS AYEZ entendu parler.—Vous l'appele,"(60440, 60471)","(81681, 81710)"
Retif_Paysanne_0,princesse fut fermée. Je pris TOUT CE QUE JE PUS EMPORTER D'OR ET de pierreries. Je fis prendre,", qui m'attendait rue Béthisi , TOUT CE QUE JE PUS EMPORTER, et je quittai chambre, hôtesse","(12659, 12694)","(832932, 832963)"
Sade_Aline_0," et encore plus d'y répondre. SES YEUX SE REMPLIRENT DE LARMES, ET l'eunuque en fut attendri. So","ur seul s’est chargé de moi ; SES YEUX SE REMPLIRENT DE LARMES, … ET elle se livra à la plus profo","(2923, 2959)","(1560180, 1560218)"
Souza_Adele_0,"il y a des impatiences. C'est QUE, COMME NOTRE ESPRIT EST UNE SUITE D'IDÉES, NOTRE CŒUR EST UNE SUITE DE DÉSIRS. Quand nous sentons que notre"," 25 juillet. 
Montesquieu dit QUE, ""COMME NOTRE ESPRIT EST UNE SUITE D'IDÉES, NOTRE CŒUR EST UNE SUITE DE DÉSIRS."" Je l'éprouve, Henri; car, d","(22720, 22801)","(84860, 84942)"
