,Text in Lagrave_Zabeth,Text in B,Location in Lagrave_Zabeth,Location in B
bible_0,"ie de préjugés. Vous savez ce QUE JE VOUS AI DIT? JE VOUS aime tendrement, et vous rega","ttra en mémoire
toutes celles QUE JE VOUS AI DITES.

27 JE VOUS laisse la paix ; je vous donn","(15323, 15350)","(4002980, 4003013)"
Cazotte_Ollivier_0,"as répondre à sa mère: il lui FIT UNE PROFONDE RÉVÉRENCE, ET SE RETIRA. Il remonta dans son appartem"," "" en finissant ainsi, Badine FIT UNE PROFONDE RÉVÉRENCE ET SE RETIRA.Enguerrand et Barin continuèr","(243903, 243943)","(61584, 61623)"
Charriere_Lausanne_0," ne puis vous en donner. Tout CE QUE JE PUIS VOUS DIRE, C'EST QUE LA vieille femme chez laquelle v","'aime par dessus toute chose. CE QUE JE PUIS VOUS DIRE, C'EST QUE LA société, qui dispense les hom","(285901, 285939)","(70007, 70045)"
Constant_Laure1_0,"t: je ne puis vous en donner. TOUT CE QUE JE PUIS VOUS DIRE, c'est que la vieille femme c","Omment, ma chère amie! malgré TOUT CE QUE JE PUIS VOUS DIRE, vous avouez tout uniment que","(285896, 285925)","(40664, 40693)"
Cottin_Claire_0,"t de rire général: la Dupuis, POUR LA PREMIÈRE FOIS DE SA VIE, se trouva déconcertée. Elle "," Frédéric éprouve de l'amitié POUR LA PREMIÈRE FOIS DE SA VIE, et doit l'exprimer avec viva","(46741, 46772)","(46177, 46208)"
Cottin_Claire_1,"ric; pardon, ma tendre maman. JE NE SUIS PAS MAÎTRE DE MON premier mouvement; mais, avec","BILLLET. 
FRÉDÉRIC À CLAIRE. 
JE NE SUIS PAS MAÎTRE DE MON amour, je le suis de ma vie ;","(101965, 101993)","(46177, 46208)"
Cottin_Claire_2,"vez être étonné, monsieur, de TOUT CE QUI VIENT DE SE PASSER vis-à-vis de vous? La mission",i-même... Je voulais t'écrire TOUT CE QUI VIENT DE SE PASSER ; mais je ne le puis : ma mai,"(297686, 297716)","(46177, 46208)"
Crebillon_Atheniennes_0,"e que je vois pas bien clair. TOUT CE QUE JE SAIS, C'EST QUE je suis bien fâchée de tout c","ression votre âme en recevra: TOUT CE QUE JE SAIS, C'EST QUE rien ne peut changer la mienn","(248272, 248302)","(119639, 119669)"
Crebillon_Atheniennes_1,s qui allaient vous accabler! MAIS JE NE PUIS VOUS EN DIRE DAVANTAGE. Quand vous serez remise de t,"oute la liberté que je désir; MAIS JE NE PUIS VOUS EN DIRE DAVANTAGE sur cela, que je ne sache si ","(283030, 283068)","(119639, 119669)"
Crebillon_Conte_0, rage était dans son cœur; il NE POUVAIT SE RÉSOUDRE À S'ÉLOIGNER D'UN LIEU où il laissait ce qu'il avait,"empt d'ennui. Schézaddin, qui NE POUVAIT SE RÉSOUDRE À S'ÉLOIGNER D'UN LIEU que les plaisirs dont il y av","(125958, 126003)","(120580, 120625)"
Crebillon_Conte_1,e ne vous verrai plus! ...... ELLE ÉTAIT DANS UN DE CES MOMENT OÙ l'âme exaltée ne connaît plus,aché à cette confidence; mais ELLE ÉTAIT DANS UN DE CES MOMENT OÙ l'on se reproche comme un cri,"(200403, 200438)","(120580, 120625)"
Crebillon_Nuit_0," avec son fils, le cœur serré DE CE QUI VENAIT DE SE PASSER. 
Zabeth resta près de sa tan","te. Elle me parut si humiliée DE CE QUI VENAIT DE SE PASSER, que je crus qu'étant aussi s","(197963, 197992)","(134705, 134734)"
Diderot_Jacques_0,femme? Que m'importe? dit-il: EST-CE QUE JE NE SUIS PAS mon maître? il gardera ses mi,ce que tu n'es pas ma femme ? EST-CE QUE JE NE SUIS PAS ton mari ? Est-ce qu'un mari ,"(150069, 150094)","(32893, 32918)"
Diderot_Jacques_1,solent ensemble. Partons..... LE MAL N'EST PEUT-ÊTRE PAS AUSSI GRAND QUE VOUS LE supposez. On voit mieux de pr,"e pour le reste de sa vie. 
--LE MAL N'EST PEUT-ÊTRE PAS AUSSI GRAND QUE VOUS LE croyez. 
--Le coup a été effr","(312937, 312987)","(32893, 32918)"
Diderot_Neveu_0,"e que je vois pas bien clair. TOUT CE QUE JE SAIS, C'EST QUE JE SUIS bien fâchée de tout ce qui se","iens que je ne m'en mêle pas. TOUT CE QUE JE SAIS, C'EST QUE JE VOUDRAIS bien être un autre, au hasard","(248272, 248310)","(20125, 20167)"
Diderot_Religieuse_0,mme qui la rendra malheureuse POUR LE RESTE DE SA VIE; ET vous savez aussi bien que moi,t : un cachot sera sa demeure POUR LE RESTE DE SA VIE ; ET c'est aussi le sort qui m'att,"(148560, 148587)","(366167, 366195)"
Diderot_Religieuse_1," ménager quelque intelligence DANS LA MAISON DE MON PÈRE, M'Y INTRODUIRE, et tâcher de m'emparer de qu","t de mon service. J'ai appris DANS LA MAISON DE MON PÈRE À TRAVAILLER ; et au couvent, à obéir ; je","(180124, 180166)","(366167, 366195)"
Diderot_Religieuse_2,ns utile dans la circonstance OÙ VOUS VOUS TROUVEZ. JE NE PUIS vous en dire davantage pour l,sible que je le suis à l'état OÙ VOUS VOUS TROUVEZ. JE NE PUIS que m'intéresser de plus en p,"(285571, 285603)","(366167, 366195)"
Doppet_Memoires_0,larmes: elle lui fit entendre QUE LE CRI DE SA CONSCIENCE COMMENÇAIT à la tourmenter; qu'elle ne p,"e de sang-froid en n'écoutant QUE LE CRI DE SA CONSCIENCE. 
VOUS la reconnaitrez à ce caractèr","(57607, 57645)","(9940, 9974)"
Dorat_Malheurs_0,"ardonne; car j'en sens autant DANS LE FOND DE MON CŒUR. 
IL est impossible de rendre ce q","mbattu mon penchant. Enseveli DANS LE FOND DE MON CŒUR, IL n'avait point encore paru aux","(339682, 339711)","(126500, 126528)"
Dorat_Malheurs_1,e..... Je ne puis rendre tout CE QUI SE PASSE DANS MON CŒUR! cœur! Pauvre Zabeth!... La t,sister toujours? Je frémis de CE QUI SE PASSE DANS MON CŒUR. Que mon sentiment est tyrann,"(349756, 349785)","(126500, 126528)"
Dorat_Sacrifices_0,"j'aie de préjugés. Vous savez CE QUE JE VOUS AI DIT? JE VOUS aime tendrement, et vous rega","ne m'aime pas... n'importe... CE QUE JE VOUS AI DIT, JE VOUS le répète; et si vous suivez ","(15320, 15350)","(97106, 97136)"
Duclos_Acajou_0,"l ne voulait jamais quitter. 
LE LECTEUR SE RAPPELLE SANS DOUTE QUE John ilton, son oncle, fut si",ion devint vive et brillante. LE LECTEUR ATTENTIF SE RAPPELLE SANS DOUTE QUE les lunettes de la Fée servai,"(230172, 230209)","(52977, 53023)"
Ducray_Cinquante_0,"a dans ses bras; et son cœur, POUR LA PREMIÈRE FOIS DEPUIS LONG-TEMPS, éprouva une vraie jouissance","tiés la bonne Jeannette, qui, POUR LA PREMIÈRE FOIS DEPUIS LONG-TEMPS, retrouva les cœurs de ses bi","(72613, 72652)","(82616, 82655)"
Fievee_Dot_0,"ue je me porte bien? Morbleu, DIT-IL, EN SE FROTTANT LES MAINS, je ne serai pas fâché de cou"," ami.-Eh bien! C'est arrangé, DIT-IL EN SE FROTTANT LES MAINS. Aussi bien divers employés d","(339457, 339489)","(138774, 138805)"
Florian_Estelle_0,"'un mouvement précipité, vint SE JETER DANS LES BRAS DE SA tante. Enneric s'avance promp","obéit, vient saluer son père, SE JETTE DANS LES BRAS DE SA mère qu'elle presse fortement","(69949, 69977)","(46402, 46430)"
Florian_Galatee_0,"vez être étonné, monsieur, de TOUT CE QUI VIENT DE SE PASSER vis-à-vis de vous? La mission","mpêche de rapporter à ton ami TOUT CE QUI VIENT DE SE PASSER, en mettant le nom de celle q","(297686, 297716)","(71461, 71491)"
Fourqueux_Zely_0,"j'aie de préjugés. Vous savez CE QUE JE VOUS AI DIT? JE vous aime tendrement, et vous","ns convenus “ensemble de tout CE QUE JE VOUS AI “DIT, ET nous ne voulions que vous “ép","(15320, 15345)","(42167, 42193)"
Genlis_Adele_0,"'un mouvement précipité, vint SE JETER DANS LES BRAS DE SA tante. Enneric s'avance promp","t, Cécile, baignée de pleurs, SE JETA DANS LES BRAS DE SA sœur, et la pressant contre s","(69949, 69977)","(151146, 151173)"
Genlis_Adele_1," un peu d'inclination. Zabeth FUT SE JETER DANS LES BRAS DE SON père, et l'embrassa tendremen","s, se leva impétueusement, et FUT SE JETER DANS LES BRAS DE SON grand-père... je ne puis vous","(89456, 89489)","(151146, 151173)"
Genlis_Adele_2,"mais d'autre qu'elle. Zabeth, POUR LA PREMIÈRE FOIS DE SA VIE, rougit, et sentit palpiter s","t la solitude, me fuyait, et, POUR LA PREMIÈRE FOIS DE SA VIE, paraissait craindre de se tr","(128668, 128699)","(151146, 151173)"
Genlis_Adele_3,"xistence trop pénible, et que JE N'AI PLUS LE COURAGE DE SUPPORTER ....--Le temps ... dit Enneri","z mon deuil? ... Il est vrai, JE N'AI PLUS LE COURAGE DE SUPPORTER la vie, mais ce dieu qui nous","(153494, 153530)","(151146, 151173)"
Genlis_Adele_4," dans cette lettre, le priait DE NE PAS NÉGLIGER DE LUI FAIRE tenir celles de son cher Enne","r le chevalier de Valmont, et DE NE PAS NÉGLIGER DE LUI FAIRE voir le logement destiné à mo","(223826, 223857)","(151146, 151173)"
Genlis_Chevaliers_0," dessus, en tournant le dos à CE QUI SE PASSAIT DANS LA CHAMBRE. Quand la table fut couverte,"," pouvait voir facilement tout CE QUI SE PASSAIT DANS LA CHAMBRE, par le moyen d'une petite ou","(271611, 271644)","(51413, 51446)"
Genlis_Chevaliers_1,"t: je ne puis vous en donner. TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE la vieille femme chez laquell","nom de mon indigne ravisseur; TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE, dans une de nos solennités r","(285896, 285936)","(51413, 51446)"
Genlis_Chevaliers_2,", vont être punis. L'une sera ENFERMÉE POUR LE RESTE DE SES JOURS, et l'autre va partir pour le","x, cette abominable femme fut ENFERMÉE POUR LE RESTE DE SES JOURS. Le médecin répondit de la vi","(290566, 290601)","(51413, 51446)"
Gerard_Comte_0,"n ordre de me faire enfermer. JE N'AI EU QUE LE TEMPS DE passer dans ce pays, pour évi","toutes les forces me manquer; JE N'AI EU QUE LE TEMPS DE jeter un cri, et j'ai perdu p","(187801, 187827)","(104465, 104491)"
Gerard_Comte_1,"et se précipita à ses genoux. TOUT CE QUE JE VIENS DE DIRE avait été si prompt, que MM. ","çoivent. 
Ajoute, ma fille, à TOUT CE QUE JE VIENS DE DIRE, les prestiges de la déclamat","(372276, 372304)","(104465, 104491)"
Kimber_Thompson_0,"persuader M. de Saint-Silvain QUE TOUT LE RESTE DE LA MAISON: enfin, il fallut paraître. E","qui la vit partir, aussi bien QUE TOUT LE RESTE DE LA MAISON, sans rien soupçonner de ce q","(46364, 46394)","(85533, 85563)"
Laclos_Liaisons_0,th. Comment pourrai-je jamais RECONNAÎTRE TOUT CE QUE VOUS FAITES POUR MOI! ...--Eh! qui ne s'intéresser,"cieuse, et je ne sais comment RECONNAÎTRE TOUT CE QUE VOUS FAITES POUR MOI. Adieu, je vais écrire tout d","(284464, 284508)","(416863, 416907)"
Laclos_Liaisons_1,"t: je ne puis vous en donner. TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE la vieille femme chez laquell"," perdre que de la surprendre. TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE, placée par M. de Valmont ent","(285896, 285936)","(416863, 416907)"
Lagrave_Sophie_0,"hez vous, et j'aurai la force DE RENFERMER DANS LE PLUS PROFOND DE MON CŒUR, tous les déplaisirs que je p",.. C'est en vain que j'avais pROMIS DE RENFERMER DANS LE PLUS PROFOND DE MOn cœur les sentiment que vous ,"(86733, 86778)","(89686, 89731)"
Lagrave_Sophie_1," un peu d'inclination. Zabeth FUT SE JETER DANS LES BRAS DE SON PÈRE, et l'embrassa tendrement: ce","rasser mademoiselle de BeauregARD, S'ARRÊTA, ET FUT SE JETER DANS LEs bras de son père. 
Ces deux ","(89456, 89494)","(89686, 89731)"
LaPlace_Collection_0," avec son fils, le cœur serré DE CE QUI VENAIT DE SE PASSER. 
Zabeth resta près de sa tan",n allait rendre compte au roi DE CE QUI VENAIT DE SE PASSER. On suppliait enfin le prince,"(197963, 197992)","(51633, 51662)"
Lesuire_Aventurier_0, allaient vous accabler! mais JE NE PUIS VOUS EN DIRE DAVANTAGE. Quand vous serez remise de t,"e lui recommande en mourant.“ JE NE PUIS VOUS EN DIRE DAVANTAGE, ma Princesse. Permettez-moi ","(283035, 283068)","(258460, 258493)"
Lesuire_Aventurier_1,"éressantes filles se jetèrent DANS LES BRAS L'UNE DE L'AUTRE, ET furent long-temps sans pouvoi"," le lit, nous nous endormîmes DANS LES BRAS L'UN DE L'AUTRE. NOTRE SOMMEIL fut aussi profond qu'une léth","(319170, 319204)","(258460, 258493)"
Lesuire_Aventurier_2,"is expliquez-vous, mon fils?--JE N'AI PAS LE TEMPS DE VOUS DIRE TOUT CELA: j'écoute ma mère; cela est b","ïde est"" elle à la Bastille?--JE N'AI PAS LE "" TEMPS DE VOUS DIRE TOUT CELA, me "" répondit le Guichetier;","(364359, 364402)","(258460, 258493)"
Lesuire_Crime_0,"les croisées de l'appartement DE SON PÈRE ET DE SA MÈRE. Ces lieux, témoins de son en","e à le détruire dans l'esprit DE SON PÈRE ET DE SA MÈRE, afin que l'héritage leur res","(30424, 30449)","(148151, 148176)"
Loaisel_Ainsi_0,"it jours, ne {??}put résister PLUS LONG-TEMPS; ELLE TOMBA {??}ÉVANOUIE DANS les bras de sa femme-de-chamb","e et de courage ne peut durer PLUS LONG-TEMPS; ELLE TOMBE ÉVANOUIE DANS un sillon, et reste trois heu","(202192, 202237)","(117766, 117807)"
Louvet_Annee_0," En disant ces mots, elle fut SE JETER DANS LES BRAS DE SON PÈRE, LE couvrit de caresses, en fonda",urs. Elle m'avait quitté pour SE JETER DANS LES BRAS DE SON PÈRE; LE cruel vit ma douleur amère et,"(120562, 120600)","(143277, 143315)"
Louvet_Annee_1,"t: je ne puis vous en donner. TOUT CE QUE JE PUIS VOUS DIRE, C'EST que la vieille femme chez laq","e absolument, me répondit-il: TOUT CE QUE JE PUIS VOUS DIRE, C'EST qu'hier au soir, vous sortiez","(285896, 285932)","(143277, 143315)"
Louvet_Annee_2,"ma chère Zabeth, lui ont fait VERSER DES TORRENT DE LARMES. ELLE ME CHARGE de vous dire que son cœur épr","as lui dire où j'allais, elle VERSA DES TORRENTS DE LARMES, ELLE S'EFFORÇA de me retenir. Je commençais ","(310201, 310245)","(143277, 143315)"
Louvet_Annee_3,"mais, tout vieux que je suis, JE NE SERAI PAS FÂCHÉ DE VOIR en masse les originaux de la ","ste et consolant. D'ailleurs, JE NE SERAI PAS FÂCHÉ DE VOIR comment celle qui m'a exposé ","(312682, 312711)","(143277, 143315)"
Louvet_Annee_4,"éressantes filles se jetèrent DANS LES BRAS L'UNE DE L'AUTRE, ET furent long-temps sans pouvoi","val. "" nous nous précipitâmes DANS LES BRAS L'UN DE L'AUTRE, ET cet embrassement réciproque f","(319170, 319204)","(143277, 143315)"
Marmontel_Contes_0,"mme une maison de désolation. DANS LE FOND DE SON CŒUR, ELLE plaignait M. de Saint-Silvain",anquille reconnaissance: mais DANS LE FOND DE SON CŒUR ELLE n'était que trop sensible au ,"(23976, 24006)","(158800, 158829)"
Marmontel_Contes_1,"peu d'inclination. Zabeth fut SE JETER DANS LES BRAS DE SON père, et l'embrassa tendremen"," la fureur à la tendresse, il SE JETTE DANS LES BRAS DE SON fils. Oui, lui dit-il, je te ","(89460, 89489)","(158800, 158829)"
Marmontel_Contes_2,"t ces mots, elle fut se jeter DANS LES BRAS DE SON PÈRE, LE couvrit de caresses, en fonda","arée et hors d'elle-même vola DANS LES BRAS DE SON PÈRE; LE jeune Timante, encore plus ép","(120571, 120600)","(158800, 158829)"
Marmontel_Incas_0,invisible m'a fait passer. Je NE DOUTE POINT QUE CE NE FÛT celle de mon père. J'ai fait ,"entrer ce religieuxvénérable, NE DOUTA POINT QUE CE NE FÛT encore un nouveau martyr de l","(187484, 187512)","(152534, 152562)"
Mercier_Jezennemours_0,"t de rire général: la Dupuis, POUR LA PREMIÈRE FOIS DE SA VIE, se trouva déconcertée. Elle ","r de l'homme; elle aimait, et POUR LA PREMIÈRE FOIS DE SA VIE: elle voulait donc s'attacher","(46741, 46772)","(75551, 75582)"
Mercier_Jezennemours_1,"crut pouvoir répondre du cœur DE SON AMI, ET FIT TOUS SES EFFORTS POUR tranquilliser le cœur de Zabe","t rapprocher son âme de celle DE SON AMANT, ET FIT TOUS SES EFFORTS POUR combler l'intervalle qui les ","(194687, 194727)","(75551, 75582)"
Mirabeau_Conversion_0,".--Comment, mort? dit Zabeth; MAIS JE NE VEUX PAS QUE TU meures: et, en disant cela, e",". Dis donc, petit fripon ?... MAIS JE NE VEUX PAS QUE TU sortes. Julie restera avec to","(64750, 64776)","(42877, 42903)"
Mirabeau_Rideau_0,"prouver la plus vive douleur. ELLE LA PRIT DANS SES BRAS, ET ne pouvait cesser de la press","ntôt. Comme elle était forte, ELLE LA PRIT DANS SES BRAS ET la coucha sur le lit; Isabell","(189236, 189266)","(138897, 138926)"
Morelly_Naufrage_0,"es; et, en fort peu de temps, ELLE SE TROUVA DANS LES BRAS DE son cher Enneric. Il l'attend","se, quand reprenant ses sens, ELLE SE TROUVE DANS LES BRAS DE celui qu'elle aime! 
Plus éto","(139926, 139957)","(193410, 193441)"
Nerciat_Etourdi_0,"t de rire général: la Dupuis, POUR LA PREMIÈRE FOIS DE SA VIE, se trouva déconcertée. Elle "," parler, sa voix s'éteint. Et POUR LA PREMIÈRE FOIS DE SA VIE elle reçoit et donne mille ba","(46741, 46772)","(62685, 62716)"
Nerciat_Felicia_0," devez être étonné, monsieur, DE TOUT CE QUI VIENT DE SE PASSER vis-à-vis de vous? La mission",; qu'il soit la cause directe DE TOUT CE QUI VIENT DE SE PASSER et qu'à cet égard elle ait li,"(297683, 297716)","(36097, 36130)"
Nerciat_Felicia_1,"éressantes filles se jetèrent DANS LES BRAS L'UNE DE L'AUTRE, ET furent long-temps sans pouvoi", furent tomber sur l'ottomane DANS LES BRAS L'UN DE L'AUTRE ET reprirent haleine en attendan,"(319170, 319204)","(36097, 36130)"
Prevost_Manon_0,"se mit à boire et à fumer. Il NE DIT PAS UN SEUL MOT DE la journée, et finit par s'en","igée jusqu'à pleurer, et vous NE ME DITES PAS UN SEUL MOT DE vos peines ! » Elle ne me rép","(147615, 147640)","(32909, 32939)"
Prevost_Manon_1," de sa tante: elle ne pouvait LA VOIR DANS L'ÉTAT OÙ ELLE ÉTAIT, sans éprouver la plus vive d"," y en avait beaucoup encore à LA VOIR DANS L'ÉTAT OÙ ELLE ÉTAIT en ma présence, sans lui dire","(165471, 165504)","(32909, 32939)"
Prevost_Monde_0,"ent contre son sein, et jura, DANS LE FOND DE SON CŒUR, QUE rien au monde ne lui ferait a","moiselle De Créon était moins DANS LE FOND DE SON CŒUR, QUE dans son imagination; c'est-à","(8762, 8791)","(288057, 288086)"
Prevost_Monde_1,échirant d'une femme mourante QUI LUI AVAIT TENU LIEU DE MÈRE! Son courage était à chaque i,"ui connaissais pour une femme QUI LUI AVAIT TENU LIEU DE MÈRE, m'ayant fait craindre quelqu","(191836, 191867)","(288057, 288086)"
Retif_Paysanne_0,"t: je ne puis vous en donner. TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE la vieille femme chez laquell"," jamais d'entrer par lettre ; TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE si j'ai fait manquer le maria","(285896, 285936)","(18833, 18873)"
Retif_Paysanne_1,"s, madame Dubreuil, qui avait PRIS POUR ELLE LA PLUS TENDRE AMITIÉ, lui demanda où elle comptait","nnue particulièrement, elle a PRIS POUR ELLE LA PLUS TENDRE AMITIÉ, une estime sincère, et tous ","(307090, 307126)","(18833, 18873)"
Retif_Paysanne_2,rtera le nez et les oreilles. JE LUI AI DIT QUE JE NE voulais le revoir que muni de,que penser de cette démarche. JE LUI AI DIT QUE JE NE croyais pas que les deux fugi,"(367454, 367477)","(18833, 18873)"
Riccoboni_Histoire_0,"peu d'inclination. Zabeth fut SE JETER DANS LES BRAS DE SON PÈRE, et l'embrassa tendrement: ce","e, en finissant cette lettre, SE JETA DANS LES BRAS DE SON MARI, et, le serrant avec une tend","(89460, 89494)","(86876, 86909)"
Riccoboni_LettresAdelaide_0,"t de rire général: la Dupuis, POUR LA PREMIÈRE FOIS DE SA VIE, se trouva déconcertée. Elle "," prétend en savoir la raison. POUR LA PREMIÈRE FOIS DE SA VIE elle se tait, elle est impéné","(46741, 46772)","(11531, 11562)"
Riccoboni_LettresAdelaide_1,femme? Que m'importe? dit-il: EST-CE QUE JE NE SUIS PAS mon maître? il gardera ses mi,"eure, un esprit fort prévoyant. EST-CE QUE JE NE SUIS Pas auprès de Madame De Sancerr","(150069, 150094)","(11531, 11562)"
Riccoboni_MissJenny_0,"e s'était levée, et avait été SE JETER DANS LES BRAS DE CET homme, qui, une fois entré, é"," laissa couler des larmes; et SE JETANT DANS LES BRAS DE CET ami généreux: "" ô mon père! L","(36078, 36107)","(51600, 51630)"
