,Text in Ducray_Cinquante,Text in B,Location in Ducray_Cinquante,Location in B
Genlis_Adele_0,"apier. M. de Verneuil le lut, SE PROMENA À GRANDS PAS DANS LA CHAMBRE, et s'écria: Race humaine!...","on sur l'esprit du prince, il SE PROMENA À GRANDS PAS DANS LA CHAMBRE avec beaucoup d'agitation; en","(109526, 109565)","(1189236, 1189275)"
Genlis_Adele_1," mon indignation?...--Madame, TOUT CE QUE VOUS VENEZ DE ME DIRE EST tellement obscur pour moi, qu","présent, mais je sens combien TOUT CE QUE VOUS VENEZ DE DIRE EST juste et raisonnable, et je v","(163354, 163391)","(1189236, 1189275)"
Genlis_Chevaliers_0,"s votre cœur, et j'y vois.... PLUS QUE VOUS NE PENSEZ.--JE VOUS jure pourtant, madame, que mo","r, Olivier, poursuivit-il, et PLUS QUE VOUS NE PENSEZ: JE VOUS ai vu à l'armée, je vous ai v","(135179, 135212)","(135339, 135371)"
Genlis_Chevaliers_1,"à cette époque redoutable; et MOI, CE FUT EN VAIN QUE JE pressai mon père de passer ch"," tourner entièrement la tête. MAIS CE FUT EN VAIN QUE JE renouvelai mes questions, et ","(192640, 192666)","(135339, 135371)"
Genlis_Chevaliers_2," pour jamais.“ 
“Cette lettre FUT UN COUP DE FOUDRE POUR MOI. Je me rendis à la prison, où","cette confidence. Ce discours FUT UN COUP DE FOUDRE POUR MOI, et dans cet instant me conva","(278151, 278181)","(135339, 135371)"
Genlis_Chevaliers_3,"qu'il ambitionnait le moins. 
LE RESTE DE LA SOIRÉE SE PASSA ainsi en doux entretiens, et ","ent entendues et recueillies. LE RESTE DE LA SOIRÉE SE PASSA tristement; toutes les dames,","(325122, 325152)","(135339, 135371)"
Gerard_Comte_0,: ils ont crié: A l'assassin; JE N'AI EU QUE LE TEMPS DE me sauver. Je pars; je ne sai,"toutes les forces me manquer; JE N'AI EU QUE LE TEMPS DE jeter un cri, et j'ai perdu p","(272740, 272766)","(104465, 104491)"
Kimber_Thompson_0," mon indignation?...--Madame, TOUT CE QUE VOUS VENEZ DE ME DIRE est tellement obscur pour moi","amp; de mes chagrins actuels. TOUT CE QUE VOUS VENEZ DE DIRE, s'écria M. Bellair, ne me pe","(163354, 163387)","(354331, 354361)"
Kimber_Thompson_1,"nse, et me faisait sentir que DE TOUS LES MALHEURS QUI POUVAIENT M'ARRIVER, celui de le fuir, de me sépa","uérir de ses idées de crainte DE TOUS LES MALHEURS QUI POUVAIENT M'ARRIVER. 
Un jour mon père me tira à ","(263385, 263429)","(354331, 354361)"
Kimber_Thompson_2,jeûna; puis Jeannette raconta TOUT CE QUI LUI ÉTAIT ARRIVÉ DEPUIS sa séparation de Cécile. Les ," 
Il me fit aussi le récit de TOUT CE QUI LUI ÉTAIT ARRIVÉ DEPUIS notre séparation, j'eus la jo","(326207, 326242)","(354331, 354361)"
Laclos_Liaisons_0,votre obligeant accueil; mais JE VOUS PRIE DE CROIRE QUE JE n'aurai point l'indiscrétion ," histoire de cette nuit : car JE VOUS PRIE DE CROIRE QUE JE ne perds pas mon temps. 
L'av","(131259, 131288)","(278058, 278087)"
Laclos_Liaisons_1,: ils ont crié: A l'assassin; JE N'AI EU QUE LE TEMPS DE me sauver. Je pars; je ne sai,"s aux yeux tout de suite ; et JE N'AI EU QUE LE TEMPS DE me détourner, pour empêcher q","(272740, 272766)","(278058, 278087)"
Lagrave_Zabeth_0,"tiés la bonne Jeannette, qui, POUR LA PREMIÈRE FOIS DEPUIS LONG-TEMPS, retrouva les cœurs de ses bi","a dans ses bras; et son cœur, POUR LA PREMIÈRE FOIS DEPUIS LONG-TEMPS, éprouva une vraie jouissance","(82616, 82655)","(72613, 72652)"
Lagrave_Zabeth_1,"qui me consume, peu m'importe LE COIN DE LA TERRE QUE J'HABITE; tout séjour m'est parfaiteme",uelle maison suis-je?Quel est LE COIN DE LA TERRE QUE J'HABITE?... Oui pourra me secourir da,"(138751, 138783)","(72613, 72652)"
Lesuire_Crime_0,une douzaine de jeunes femmes TOUTES PLUS JOLIES LES UNES QUE LES AUTRES. D'Eranville y remarqua bient,"ne, au moins, de Demoiselles, TOUTES PLUS JOLIES LES UNES QUE LES AUTRES, qui formaient le plus charma","(13830, 13872)","(159381, 159423)"
Lesuire_Crime_1,"bonté-là? mais c'est la bonté DE TOUT LE MONDE, ÇA; TOUT LE MONDE vous estime; et moi, je fais ","lui. Il débauche les maîtresseS DE TOUT LE MONDE, TOUT LE MONde lui en veut. Il est gentil,","(85700, 85735)","(159381, 159423)"
Louvet_Annee_0,"nd. 
Briceval se tait. Cécile SE JETTE DANS LES BRAS DE SON amie: elle ne veut point prof",urs. Elle m'avait quitté pour SE JETER DANS LES BRAS DE SON père; le cruel vit ma douleur,"(394468, 394497)","(143277, 143306)"
Louvet_Fin_0,"le infernale maison? ...--Oh, CE N'EST PAS LA PREMIÈRE FOIS QUE madame joue et perd!... 
Je s", le croyais. Fatale marquise! CE N'EST PAS LA PREMIÈRE FOIS QUE tu fais tous nos malheurs!… L,"(378074, 378107)","(241672, 241705)"
Marmontel_Contes_0,"dans le sein de sa famille, n'AVAIT PAS MANQUÉ DE FAIRE PART DE SON BONHEUR à cette amie de son enfance, ", lui en témoigna rien. Elle n'AVAIT PAS MANQUÉ DE FAIRE PART DE SON MARIAGE à cet essaim de connaissances,"(313984, 314029)","(419243, 419288)"
Marmontel_Incas_0,"ortune est faite, mon enfant: IL NE TIENT QU'À TOI DE RETROUVER tes parents.--Mes parents? Qu",respectent sans les craindre. IL NE TIENT QU'À TOI DE ME VOIR à tes pieds; mais commence pa,"(224447, 224480)","(317548, 317579)"
Mercier_Jezennemours_0,"s? que voulez-vous?--Entendre UN SEUL MOT DE VOTRE BOUCHE, ET JE me retire. Ce mot?...--Est-il","sirer de vous parler; un mot, UN SEUL MOT DE VOTRE BOUCHE, ET JE serai le plus fortuné des hom","(160611, 160645)","(136462, 136496)"
Nerciat_Aphrodites_0,"ir un gage; eh bien, mon ami, IL NE FAUT JAMAIS JURER DE RIEN!--Qu'entends-je? tu serais en","s pas Bougre) qu'en fait d'extRAVAGANCE IL NE FAUT JAMAIS JURer de rien, et qu'il n'y a que","(50112, 50143)","(519755, 519786)"
Nerciat_Etourdi_0,"oncer un été superbe, résolut DE NE PAS DIFFÉRER PLUS LONG-TEMPS son vovage aux îles, voyage q", de la revoir. Elle me répond DE NE PAS DIFFÉRER PLUS LONG-TEMPS de me rendre chez elle où ell,"(302623, 302657)","(186835, 186869)"
Prevost_Manon_0,"rd rompt à la fin ce silence: MADEMOISELLE, LUI DIT-IL AVEC UN RICANEMENT forcé, comment se porte notre"," disposition. « Mademoiselle, MADEMOISELLE, LUI DIT-IL AVEC UN SOURIRE forcé, j'ouvre en effet les y","(84926, 84969)","(195586, 195626)"
Prevost_Manon_1,jeûna; puis Jeannette raconta TOUT CE QUI LUI ÉTAIT ARRIVÉ DEPUIS sa séparation de Cécile. Les ,"u fait. » Elle m'apprit alors TOUT CE QUI LUI ÉTAIT ARRIVÉ DEPUIS qu'elle avait trouvé G M , qu","(326207, 326242)","(195586, 195626)"
Retif_Paysanne_0,"vénements si extraordinaires, QUE TOUTE LA PRUDENCE HUMAINE NE PEUT ni les calculer, ni les prévo","s vous y eussent réduite ; ce QUE TOUTE LA PRUDENCE HUMAINE NE PEUT quelquefois prévoir. Vous, po","(284890, 284927)","(649155, 649192)"
Riccoboni_Histoire_0,us que Saint-Brice qui voyage ET CHERCHE À SE DISTRAIRE DE SES CHAGRINS. Garde-toi d'annoncer mon ret,"aissance à tant de tendresse; ET, CHERCHANT À SE DISTRAIRE DE SES CHAGRINS, il se livra tout entier à ce","(125284, 125325)","(118863, 118907)"
Riccoboni_MylordRivers_0,le charmait tout le monde par LES GRÂCES DE SA FIGURE ET LES QUALITÉS DE son cœur. D'Eranville savait ,s cesse elle entendait vanter LES GRÂCES DE SA FIGURE ET LES CHARMES DE son esprit. Mais dans l'âge o,"(55448, 55490)","(263360, 263401)"
Rousseau_Emile_0,"vénements si extraordinaires, QUE TOUTE LA PRUDENCE HUMAINE NE PEUT ni les calculer, ni les prévo",'être fort savant pour sentir QUE TOUTE LA PRUDENCE HUMAINE NE PEUT lui répondre si dans une heur,"(284890, 284927)","(582582, 582619)"
Rousseau_Julie_0,"e n'obtiendrai qu'à la longue LE CONSENTEMENT DE MON PÈRE; MAIS JE l'obtiendrai. J'ai, à Paris, ","Je ne t’épouserai jamais sans LE CONSENTEMENT DE MON PÈRE, MAIS JE n’en épouserai jamais un autr","(260134, 260170)","(414905, 414941)"
Sade_120_0,"même, du moins je le crains, “DANS LE MOMENT OÙ JE VOUS ÉCRIS. Je “suis seul, et peut-être ","uis vous certifier, c'est que DANS LE MOMENT, OÙ JE VOUS PARLE, je voudrais une putain très ","(17936, 17967)","(505274, 505306)"
Sade_Aline_0,", à qui sans doute elle avait FAIT PLUS DE MAL QUE DE BIEN. 
La sœur Emilie vint la voir","moteur, comme nous lui voyons FAIRE PLUS DE MAL QUE DE BIEN, nous ne pouvons le regarder ","(42779, 42807)","(985631, 985660)"
Sade_Aline_1," saison. Pour Jeannette, amie DU REPOS ET DE LA SOLITUDE, ELLE ne fut pas fâchée de quitter ","je l’adorerai dans le silence DU REPOS ET DE LA SOLITUDE, ELLE et ce Dieu confondus dans mon","(83286, 83318)","(985631, 985660)"
Sade_Aline_2,"apier. M. de Verneuil le lut, SE PROMENA À GRANDS PAS DANS LA CHAMBRE, et s'écria: Race humaine!...","ir de prendre garde à moi; il SE PROMENA À GRANDS PAS DANS LA CHAMBRE, sans que la douleur s’imprim","(109526, 109565)","(985631, 985660)"
Sade_Infortunes_0,eux d'elle. Elle leur apprend TOUT CE QUI S'EST PASSÉ ENTRE CE Dormon et elle depuis qu'il e,"ndrir... parle vrai, tu as vu TOUT CE QUI S'EST PASSÉ ENTRE CE jeune homme et moi, n'est-ce ","(178452, 178484)","(58252, 58284)"
