,Text in Louvet_Annee,Text in B,Location in Louvet_Annee,Location in B
Crebillon_Atheniennes_1,i; je finissais par l'assurer DE L'AMOUR LE PLUS TENDRE ET LE PLUS respectueux; je lui jurais qu," la plus digne à tous égards, DE L'AMOUR LE PLUS TENDRE, ET LE PLUS constant. Il était de si bonn","(164003, 164039)","(292927, 292961)"
Crebillon_Atheniennes_2,"possible, mon ami; votre sœur EST LE CHEF-D'ŒUVRE DE LA NATURE et de l'éducation.-Rosambert,","our la sottise, et la beauté, EST LE CHEF D'ŒUVRE DE LA NATURE; mais si jamais femme n'eût m","(219339, 219371)","(292927, 292961)"
Crebillon_Conte_0,ai dans ma chambre à coucher. UN CRI DE SURPRISE ET DE JOIE m'échappa: ce prétendu vicomt,"zaddin en la revoyant; poussa UN CRI DE SURPRISE ET DE JOIE, et courut vers elle avec tou","(250703, 250732)","(51824, 51853)"
Crebillon_Conte_1,"Ducange, mon ami, c'est vous; MAIS COMME IL N'AURAIT PAS ÉTÉ DÉCENT QUE vous vinssiez seule à Paris, ",donner un rendez-vous secret; MAIS COMME IL N'AURAIT PAS ÉTÉ DÉCENT QUE j'eusse paru savoir tous les ,"(481013, 481054)","(51824, 51853)"
Diderot_Jacques_0,"ient: c'est m le arquis de B, QUI S'EST FAIT UNE BOSSE AU FRONT! 
dès que les deux démons qui","force de rire. L'autre fille, QUI S'EST FAIT UNE BOSSE AU FRONT, est appuyée contre la portiè","(77465, 77498)","(338533, 338566)"
Diderot_Jacques_1,ai dans ma chambre à coucher. UN CRI DE SURPRISE ET DE JOIE m'échappa: ce prétendu vicomt,"lus tôt aperçu, que, poussant UN CRI DE SURPRISE ET DE JOIE, il me dit : « Eh filleul, te","(250703, 250732)","(338533, 338566)"
Diderot_Religieuse_0,a bien tourmentés avant-hier.-JE N'AI PAS FERMÉ L'ŒIL DE LA NUIT! Laissons cela cependant... q,"il jour, nos sœurs dorment... JE N'AI PAS FERMÉ L'ŒIL DE LA NUIT ; je voudrais dormir, et je n","(191204, 191238)","(357144, 357178)"
Dorat_Malheurs_0,ions vigilants qui pussent me RENDRE COMPTE DE TOUT CE QUI SE serait passé; de faire suivre,e développer. Je ne puis vous RENDRE COMPTE DE TOUT CE QUI SE passe en moi. Si je lutte con,"(144997, 145028)","(65344, 65375)"
Dorat_Sacrifices_0, je ne m'en soucie: cependant JE NE SERAIS PAS FÂCHÉE DE LA mettre à l'épreuve; il va vou,"t? Elle a osé être ma rivale; JE NE SERAI PAS FÂCHÉE DE LA tourmenter un peu, le tout po","(29563, 29592)","(130551, 130579)"
Ducray_Cinquante_0,urs. Elle m'avait quitté pour SE JETER DANS LES BRAS DE SON père; le cruel vit ma douleur,"nd. 
Briceval se tait. Cécile SE JETTE DANS LES BRAS DE SON amie: elle ne veut point prof","(143277, 143306)","(394468, 394497)"
Florian_Estelle_0,"ai ma joue de bonne grâce, il SE CRUT LE PLUS HEUREUX DES HOMMES; si j'avais voulu'écouter, je","lle les lut, et sourit. Méril SE CRUT LE PLUS HEUREUX DES HOMMES. 
Il se trompait. La constant","(65395, 65429)","(78866, 78900)"
Fourqueux_Zely_0,"s de ma douleur... -mon fils, JE N'AI PLUS QU'UN MOT À VOUS DIRE. Préparez-vous à réparer les ","m, et soyez-moi plus fidèle. “JE N'AI PLUS QU'UN MOT À VOUS DIRE: “vous m'aimez, je n'en puis ","(465172, 465206)","(82447, 82481)"
Fourqueux_Zely_1,"e repoussa d'un air irrésolu. JE ME JETAI À SES PIEDS, ET LUI MONTRANT une bourse encore pleine d'or","étré de la plus vive passion, JE ME JETAI À SES PIEDS, ET LUI PRENANT une de ses belles mains, je l","(538991, 539031)","(82447, 82481)"
Genlis_Adele_0,"Point du tout; je veux savoir CE QUE VOUS PENSEZ DE LA PIÈCE. Le Comte. Permettez, madame.","s'il vous plaît, et dites-moi CE QUE VOUS PENSEZ DE LA PIÈCE du vicomte? ... Je ne puis, d","(87385, 87415)","(266052, 266082)"
Genlis_Adele_1,urs. Elle m'avait quitté pour SE JETER DANS LES BRAS DE SON père; le cruel vit ma douleur,"e leva impétueusement, et fut SE JETER DANS LES BRAS DE SON grand-père... je ne puis vous","(143277, 143306)","(266052, 266082)"
Genlis_Adele_2,"e absolument, me répondit-il: TOUT CE QUE JE PUIS VOUS DIRE, c'est qu'hier au soir, vous ","désirs d'en savoir davantage: TOUT CE QUE JE PUIS VOUS DIRE, répondit-il, c'est que ce je","(144267, 144296)","(266052, 266082)"
Genlis_Adele_3,"e, mon ami; votre sœur est le CHEF-D'ŒUVRE DE LA NATURE ET DE L'ÉDUCATION.-Rosambert, ce chef-d'œuvre e","e, cette petite merveille, ce CHEF-D'ŒUVRE DE LA NATURE ET DE L'ÉDUCATION; je vais contenter votre curi","(219346, 219389)","(266052, 266082)"
Genlis_Chevaliers_0,"duel est la plus respectable. DANS CE SIÈCLE DE LUMIÈRES ET DE philosophie, la férocité des ","plupart de mes lecteurs. Car, DANS CE SIÈCLE DE LUMIÈRES ET DE sensibilité , l'amitié se man","(122184, 122216)","(20800, 20832)"
Genlis_Chevaliers_1," toujours vaincus, l'urbanité DE SES MŒURS, LA DOUCEUR DE SON CARACTÈRE, fixaient l'attention, comman","ire des deux sexes. La pureté DE SES MŒURS, LA DOUCEUR DE SON CARACTÈRE, la simplicité et la modestie","(126398, 126439)","(20800, 20832)"
Gerard_Comte_0,elle ne me répondit pas; mais SES LARMES RECOMMENCÈRENT À COULER AVEC PLUS D'ABONDANCE:-ma chère maman! Quand pourra, toutes deux trop long-temps. SES LARMES RECOMMENCÈRENT À COULER AVEC PLUS D'ABONDANCE. Se contraignant pour en susp,"(267254, 267310)","(402930, 402986)"
Kimber_Thompson_0,"scendîmes dans la cuisine, où NOUS PASSÂMES LE RESTE DE LA JOURNÉE. Quelle soirée! Mon cher Faub",", nous firent mille caresses, NOUS PASSÂMES LE RESTE DE LA JOURNÉE dans la joie. Pour moi, si j'","(165932, 165968)","(743329, 743365)"
Laclos_Liaisons_0,"i; je finissais par l'assurer DE L'AMOUR LE PLUS TENDRE ET LE PLUS RESPECTUEUX; je lui jurais que, dès qu'el","nce, l'assurance et l'hommage DE L'AMOUR LE PLUS TENDRE ET LE PLUS RESPECTUEUX. 
De ... ce 26 août 17... 
*S","(164003, 164051)","(167359, 167407)"
Laclos_Liaisons_1,"n frère, je la lui remettrai, ET JE VOUS ASSURE QUE JE NE parlerai de rien à personne. "," vous voir quand je voudrai ; ET JE VOUS ASSURE QUE JE NE voudrai pas, quand vous agire","(278107, 278134)","(167359, 167407)"
Laclos_Liaisons_2,"sieur qui paie, je l'ai, et j'AI DE BONNES RAISONS POUR NE PAS te dire son nom; toi, tu es l","demandez plus une chose que j'AI DE BONNES RAISONS POUR NE PAS faire, et que pourtant il me ","(431921, 431953)","(167359, 167407)"
Lagrave_Zabeth_0,urs. Elle m'avait quitté pour SE JETER DANS LES BRAS DE SON PÈRE; LE cruel vit ma douleur amère et," En disant ces mots, elle fut SE JETER DANS LES BRAS DE SON PÈRE, LE couvrit de caresses, en fonda","(143277, 143315)","(120562, 120600)"
Lagrave_Zabeth_1,"e absolument, me répondit-il: TOUT CE QUE JE PUIS VOUS DIRE, C'EST qu'hier au soir, vous sortiez","t: je ne puis vous en donner. TOUT CE QUE JE PUIS VOUS DIRE, C'EST que la vieille femme chez laq","(144267, 144303)","(120562, 120600)"
Lagrave_Zabeth_2,"as lui dire où j'allais, elle VERSA DES TORRENTS DE LARMES, ELLE S'EFFORÇA de me retenir. Je commençais ","ma chère Zabeth, lui ont fait VERSER DES TORRENT DE LARMES. ELLE ME CHARGE de vous dire que son cœur épr","(340718, 340762)","(120562, 120600)"
Lagrave_Zabeth_3,"ste et consolant. D'ailleurs, JE NE SERAI PAS FÂCHÉ DE VOIR comment celle qui m'a exposé ","mais, tout vieux que je suis, JE NE SERAI PAS FÂCHÉ DE VOIR en masse les originaux de la ","(488831, 488860)","(120562, 120600)"
Lagrave_Zabeth_4,"val. "" nous nous précipitâmes DANS LES BRAS L'UN DE L'AUTRE, ET cet embrassement réciproque f","éressantes filles se jetèrent DANS LES BRAS L'UNE DE L'AUTRE, ET furent long-temps sans pouvoi","(523606, 523639)","(120562, 120600)"
LaPlace_Collection_0,"imère. "" Sophie! M'écriai-je, JE SENS BIEN QUE JE VOUS AIME; mais avez-vous partagé mon t","vous „devez bien m'aimer! car JE SENS BIEN QUE JE „VOUS AIME plus que ma sœur elle-même, e","(5682, 5711)","(298624, 298654)"
LaPlace_Collection_1,sés; je lui racontais ensuite TOUT CE QUI M'ÉTAIT ARRIVÉ DEPUIS LE MOMENT DE notre séparation jusqu'à celu,"pable„. Je lui racontai alors TOUT CE QUI M'ÉTAIT ARRIVÉ DEPUIS LE MOMENT DE cette cruelle séparation, les","(163794, 163840)","(298624, 298654)"
Leonard_Lettres_0,Et c'est vous qui la répétez! NE VOUS AI-JE PAS DIT QUE je ne vous croyais pas? -mais,"st-il écrié avec chaleur; eh! NE VOUS AI-JE PAS DIT QUE j'étais un insensé, que le dé","(37330, 37355)","(126037, 126062)"
Lesuire_Aventurier_0,"si je ne me suis pas trompée, DE LA MÊME ÉTOFFE ET DE LA MÊME couleur que ce charmant habit","lée; elle avait même une robe DE LA MÊME ÉTOFFE ET DE LA MÊME façon qu'une pareille, dont m","(253127, 253158)","(39486, 39517)"
Lesuire_Aventurier_1,"lle pour la laisser échapper. JE PRENDS MON PARTI SUR-LE-CHAMP, et résolu de donner quelque ","e sous le lit; on m'aperçoit. JE PRENDS MON PARTI, SUR-LE-CHAMP. Je sors de ce pénible asile;","(592349, 592381)","(39486, 39517)"
Lesuire_Aventurier_2," genoux: "" ô ciel! ô ciel! S'éCRIA-T-IL, MON DIEU! AYEZ PITIÉ DE MOI! Dieu tout-puissant, conserve",". „Ah! “c'est fait de moi, s'éCRIA-T-IL; MON DIEU! “AYEZ PITIÉ DE MOI.“--„Qu'on aille “chercher le ","(635205, 635243)","(39486, 39517)"
Lesuire_Crime_0,sque qui s'attache à nos pas? JE CRAINS BIEN QUE CE NE SOIT le comte; sortons de la foule,"emple, “ma petite Pauline; maiS JE CRAINS BIEN “QUE CE NE SOit un mauvais sujet. Le “conna","(68679, 68708)","(229679, 229709)"
Lesuire_Crime_1,iens; je jure que je verserai JUSQU'À LA DERNIÈRE GOUTTE DE MON SANG POUR chasser de la Pologne des étr," sacrés pour moi. Je “répandraI JUSQU'À LA DERNIÈRE GOUTTE DE “MON SANG, POur que vous soyez heu“reux aut","(323944, 323987)","(229679, 229709)"
Lesuire_Crime_2,"l pas vrai?-mais, monsieur...-TOUT CE QUE JE PUIS VOUS DIRE, ma belle dame, c'est qu'à ce","ent instruits, repartis-je, de “TOUT CE QUE JE PUIS VOUS DIre; vous me “détaillez exactem","(495520, 495549)","(229679, 229709)"
Loaisel_Ainsi_0,"re tranquille. Dès que je fus RENTRÉ CHEZ MOI, JE ME MIS AU LIT et m'endormis profondément. I","e pour regagner mon quartier. RENTRÉ CHEZ MOI, JE ME MIS AU LIT. Madame De V sut que j'étais ","(54126, 54159)","(362959, 362992)"
Loaisel_Comtesse_0,"ible, mon ami; votre sœur est LE CHEF-D'ŒUVRE DE LA NATURE ET de l'éducation.-Rosambert, ce"," suffit de dire qu'elle était LE CHEF-D'ŒUVRE DE LA NATURE, ET que si elle avait existé au t","(219343, 219374)","(9870, 9902)"
Loaisel_Lucile_0,"ible, mon ami; votre sœur est LE CHEF-D'ŒUVRE DE LA NATURE ET de l'éducation.-Rosambert, ce","il suffit de dire qu'elle étaiT LE CHEF-D'ŒUVRE DE LA NATURE, et que si elle avait existé au","(219343, 219374)","(8864, 8896)"
Louvet_Fin_0,"si le vicomte est redoutable; MAIS CE QUE JE SAIS BIEN, C'EST QUE ce n'est pas là, ce n'est pas","la mienne? Je n'en sais rien; MAIS CE QUE JE SAIS BIEN, C'EST QUE j'allois, tout nu, me jeter h","(255566, 255601)","(1467, 1502)"
Louvet_Fin_1,"a folie.-fort bien, monsieur, RÉPONDIT LA MARQUISE EN RETIRANT SA MAIN; je ne veux pas en savoir dav","ce et de ma joie. «Chevalier, RÉPONDIT LA MARQUISE EN RETIRANT SA MAIN qu'apparemment je serrois tro","(497726, 497766)","(1467, 1502)"
Louvet_Fin_2,"toute sa personne est répandu JE NE SAIS QUEL AIR DE DIGNITÉ, QUI semble leur dire: "" honorez u"," autrefois remplie de grâces, JE NE SAIS QUEL AIR DE DIGNITÉ QUI n'appartient point aux amours","(553395, 553430)","(1467, 1502)"
Marmontel_Contes_0,"un baiser brûlant. "" Faublas, EST-CE LÀ CE QUE VOUS M'AVEZ promis? "" me dit-elle d'une v","i se prosternait à ses pieds, EST-CE LÀ CE QUE VOUS M'AVIEZ promis: pardonnez, dit le vie","(41400, 41428)","(153381, 153410)"
Marmontel_Contes_1,urs. Elle m'avait quitté pour SE JETER DANS LES BRAS DE SON père; le cruel vit ma douleur," la fureur à la tendresse, il SE JETTE DANS LES BRAS DE SON fils. Oui, lui dit-il, je te ","(143277, 143306)","(153381, 153410)"
Marmontel_Contes_2,"e absolument, me répondit-il: TOUT CE QUE JE PUIS VOUS DIRE, c'est qu'hier au soir, vous ",encore plus malheureux: c'est TOUT CE QUE JE PUIS VOUS DIRE. Ne vous offensez pas de mon ,"(144267, 144296)","(153381, 153410)"
Marmontel_Contes_3," et ma femme, j'allais revoir CE QUE J'AVAIS DE PLUS CHER AU MONDE; et cependant, mon cher Faubl","our me détacher enfin de tout CE QUE J'AVAIS DE PLUS CHER AU MONDE; mais cette folie, vous l'ave","(367055, 367091)","(153381, 153410)"
Marmontel_Incas_0,ai dans ma chambre à coucher. UN CRI DE SURPRISE ET DE JOIE m'échappa: ce prétendu vicomt,iles d'un vaisseau. Il pousse UN CRI DE SURPRISE ET DE JOIE; et tous les yeux se tournent,"(250703, 250732)","(202954, 202983)"
Mercier_Jezennemours_0,"l faudra donc que je t'adore!-SI VOUS NE VOULEZ PAS ÊTRE UNE ingrate, il le faudra. "" cett","u fils du diable, choisissez; SI VOUS NE VOULEZ PAS ÊTRE UN saint, je vous abandonne; je ","(186033, 186063)","(109804, 109833)"
Mercier_Jezennemours_1," et ma femme, j'allais revoir CE QUE J'AVAIS DE PLUS CHER AU MONDE; et cependant, mon cher Faubl","ute ma vie; que j'avais perdu CE QUE J'AVAIS DE PLUS CHER AU MONDE, mon amante, que j'allois épo","(367055, 367091)","(109804, 109833)"
Mercier_Jezennemours_2,"ur! Un jeune parisien, engagé POUR LA PREMIÈRE FOIS DE SA VIE dans une promenade sur mer, n","s mouvement de son cœur, sut, POUR LA PREMIÈRE FOIS DE SA VIE, leur en imposer, parce qu'il","(567848, 567879)","(109804, 109833)"
Mirabeau_Rideau_0,gilants qui pussent me rendre COMPTE DE TOUT CE QUI SE SERAIT PASSÉ; de faire suivre Pulauski par,"ttais qu'Isabelle me rendrait COMPTE DE TOUT CE QUI SE SERAIT PASSÉ, je me consolai et je partici","(145004, 145041)","(134147, 134184)"
Nerciat_Aphrodites_0,oi qui vous ai fait connaître LA MARQUISE? IL EST VRAI QUE JE ne prévoyais pas le malin tou," ), à Bruxelles, à Fribourg. 
LA MARQUISE. 
IL EST VRAI QUE JE n'en ai guères été contente l","(107289, 107320)","(184715, 184747)"
Nerciat_Aphrodites_1,et du choix de son successeur DÉPENDENT LE BONHEUR OU LE MALHEUR DE nos concitoyens. De tous les ,"ffaire du plus grand intérêt, D'OÙ PEUT DÉPENDRE LE BONHEUR OU LE malheur de ma vie. 
Mad. Durut","(134586, 134623)","(184715, 184747)"
Nerciat_Aphrodites_2,"ur! Un jeune parisien, engagé POUR LA PREMIÈRE FOIS DE SA VIE dans une promenade sur mer, n",s'avise de prendre la chose de TRAVERS; POUR LA PREMIÈRE FOIS de sa vie il vient à s'imagin,"(567848, 567879)","(184715, 184747)"
Nerciat_Etourdi_0,"ur! Un jeune parisien, engagé POUR LA PREMIÈRE FOIS DE SA VIE dans une promenade sur mer, n"," parler, sa voix s'éteint. Et POUR LA PREMIÈRE FOIS DE SA VIE elle reçoit et donne mille ba","(567848, 567879)","(62685, 62716)"
Nerciat_Felicia_0," commencements, ne finît fort MAL. JE NE VIS RIEN DE MIEUX À FAIRE QUE DE donner au cocher du marquis l","prévenue, pouvait me seconder MAL. JE NE VIS RIEN DE MIEUX À FAIRE QUE DE détourner quelque pièce essen","(45537, 45580)","(165597, 165640)"
Popeliniere_Daira_0,"s de ma douleur... -mon fils, JE N'AI PLUS QU'UN MOT À VOUS DIRE. Préparez-vous à réparer les ","épliquer. Fille! continua-il, JE N'AI PLUS QU'UN MOT À VOUS DIRE, etamp; ce mot seul doit vous","(465172, 465206)","(76772, 76806)"
Retif_Paysanne_0,"e absolument, me répondit-il: TOUT CE QUE JE PUIS VOUS DIRE, C'EST qu'hier au soir, vous sortiez"," jamais d'entrer par lettre ; TOUT CE QUE JE PUIS VOUS DIRE, C'EST que si j'ai fait manquer le m","(144267, 144303)","(18833, 18869)"
Retif_Paysanne_1,"sais par l'assurer de l'amour LE PLUS TENDRE ET LE PLUS RESPECTUEUX; je lui jurais que, dès qu'el","u Marquis, à Ursule. 
L'amant LE PLUS TENDRE ET LE PLUS RESPECTUEUX, malgré les apparences contra","(164014, 164051)","(18833, 18869)"
Retif_Paysanne_2,"malheureuse amie: "" monsieur, JE NE VOUS DEMANDE PAS QUI VOUS ÊTES; mais vous permettrez au moin",mmener votre amie dès ce soir : JE NE VOUS DEMANDE PAS QUI VOUS ÊTes ; la conversation que je vi,"(264505, 264541)","(18833, 18869)"
Reveroni_Pauliska_0," que je ne connaissais point; JE NE PUS ME DÉFENDRE D'UN MOUVEMENT D'EFFROI. La marquise, qui devina ce q","aître ceux qui m'entouraient. JE NE PUS ME DÉFENDRE D'UN MOUVEMENT D'EFFROI. Tantôt j'imaginais que, dans","(42150, 42195)","(258294, 258339)"
Riccoboni_Histoire_0,urs. Elle m'avait quitté pour SE JETER DANS LES BRAS DE SON père; le cruel vit ma douleur,"e, en finissant cette lettre, SE JETA DANS LES BRAS DE SON mari, et, le serrant avec une","(143277, 143306)","(86876, 86904)"
Riccoboni_LettreJuliette_0,us me ferez compagnie. Croyez QUE PERSONNE NE VOUS AIME AUTANT QUE votre chère maman. La marquis,"cela, dites-vous à vous-même, QUE PERSONNE NE VOUS AIME AUTANT QUE moi. 
LETTRE 2 mercredi, de c","(57554, 57590)","(2372, 2408)"
Riccoboni_MissJenny_0,"dors pas! "" elle se précipita DANS MES BRAS, ET ME PRESSA CONTRE SON SEIN. "" dieux! S'écria-t-elle, ave","présenta à milord. Il me prit DANS SES BRAS; ET ME PRESSANT CONTRE SON SEIN, il répéta en pleurant les pr","(39245, 39288)","(81671, 81716)"
Riccoboni_MissJenny_1,urs. Elle m'avait quitté pour SE JETER DANS LES BRAS DE SON père; le cruel vit ma douleur,"s elle le toucha vivement. Il SE JETA DANS LES BRAS DE SON frère, il y pleura long-temps","(143277, 143306)","(81671, 81716)"
Riccoboni_MylordRivers_0,"Et c'est vous qui la répétez! NE VOUS AI-JE PAS DIT QUE JE NE vous croyais pas? -mais, mada","ent? eh vous le demande-t-on? NE VOUS AI-JE PAS DIT QUE JAMAIS ON NE vous le demanderait? 
Plus j'","(37330, 37361)","(260775, 260813)"
Rosny_Firmin_0,"é des infortunes de sa fille, SENSIBLE AU SERVICE IMPORTANT QUE JE VENAIS DE LUI RENDRE, il embrassait Lodoïska; et m","'eusse sur la terre. Le Comte SENSIBLE AU SERVICE IMPORTANT QUE JE VENAIS DE LUI RENDRE, avait converti sa haine en t","(321830, 321887)","(58758, 58815)"
Rousseau_Emile_0," nom, chez M Du Portail. J'ai EU TOUTES LES PEINES DU MONDE À LUI FAIRE COMPRENDRE que cela n'était pas raisonna"," défiait si peu de moi, que j'EUS TOUTES LES PEINES DU MONDE À LUI FAIRE APERCEVOIR que je le trichais. Enfin j'e","(57856, 57908)","(327986, 328039)"
Rousseau_Emile_1," vicomte est redoutable; mais CE QUE JE SAIS BIEN, C'EST QUE ce n'est pas là, ce n'est pas","ur des idées que je n'ai pas. CE QUE JE SAIS BIEN, C'EST QUE l'identité du moi ne se prolo","(255571, 255601)","(327986, 328039)"
Rousseau_Julie_0," vicomte est redoutable; mais CE QUE JE SAIS BIEN, C'EST QUE ce n'est pas là, ce n'est pas","e j’aurois été moi-même. Tout CE QUE JE SAIS BIEN, C’EST QUE, si sa mauvaise étoile me l’e","(255571, 255601)","(1320900, 1320930)"
Sade_120_0,"e absolument, me répondit-il: TOUT CE QUE JE PUIS VOUS DIRE, c'est qu'hier au soir, vous ","faire rouer, messieurs, c'est TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl","(144267, 144296)","(428067, 428096)"
Sade_120_1,"répondre à cette question-là: TOUT CE QUE JE PUIS VOUS DIRE, c'est qu'il a, pour cacher s","z-vous et soyez docile, c'est TOUT CE QUE JE PUIS VOUS DIRE.""---Grancourt obéit et dans u","(159413, 159442)","(428067, 428096)"
Sade_Aline_0,"e absolument, me répondit-il: TOUT CE QUE JE PUIS VOUS DIRE, c'est qu'hier au soir, vous ","sés à des collatéraux … c’est TOUT CE QUE JE PUIS VOUS DIRE, qui que ce fut que vous inte","(144267, 144296)","(273080, 273109)"
Sade_Aline_1," et ma femme, j'allais revoir CE QUE J'AVAIS DE PLUS CHER AU MONDE; et cependant, mon cher Faubl",mais en restant je manquais à CE QUE J’AVAIS DE PLUS CHER AU MONDE; ce malheur là n’était-il pas,"(367055, 367091)","(273080, 273109)"
Sade_Infortunes_0,"frirai? Interrompit Dorothée, EN SE PRÉCIPITANT DANS LES BRAS DE son amant. Mon cher Derneval!","it la malheureuse prisonnière EN SE PRÉCIPITANT DANS LES BRAS DE Mme de Lorsange... toi, ma sœ","(522232, 522266)","(279072, 279106)"
Sade_Philosophie_0,"e absolument, me répondit-il: TOUT CE QUE JE PUIS VOUS DIRE, c'est qu'hier au soir, vous ","us ferez sera bienfait, c'est TOUT CE QUE JE PUIS VOUS DIRE ; elle va suivre ma lettre de","(144267, 144296)","(343588, 343617)"
