,Text in Sade_Aline,Text in B,Location in Sade_Aline,Location in B
Berquin_Enfants_0,"papier sur lequel j’écrivais. VOUS LE VOYEZ; IL FAUT QUE JE change de page, et la friponn",r assez pour vous substanter. VOUS LE VOYEZ: IL FAUT QUE JE paye le morceau de pain que v,"(71288, 71317)","(157806, 157835)"
bible_0,"réussi; qu’elle s’échapperait DE LA MAISON DE SON PÈRE, ET viendrait s’ensevelir toute v","tir la jeune fille à la porte DE LA MAISON DE SON
PÈRE, ET les gens de la ville l’assomm","(32878, 32906)","(821088, 821116)"
bible_1,"s vous offrir pour le présent QUE CE QUE JE VIENS DE VOUS dire, acceptez-le, croyez-moi","nes à
ne pas penser autrement QUE CE QUE JE VIENS DE VOUS écrire ; de peur que
vous ne ","(82797, 82824)","(821088, 821116)"
bible_2,"s éclaircissement. 
Il exista DANS TOUS LES SIÈCLES ET DANS TOUS LES pays, une classe d’hommes qui"," mystère qui avait été caché, DANS TOUS LES SIÈCLES ET DANS
TOUS LES temps, mais qu’il a maintenan","(669141, 669179)","(821088, 821116)"
Charriere_Femmes_0,"me, et sur-tout la nécessité; IL NE FAUT PAS SE CONTENTER DE crier aux hommes, que la vert",", c'est vrai, allais-je dire; IL NE FAUT PAS SE CONTENTER DE louvoyer, il faut, à force de","(635009, 635039)","(177457, 177487)"
Charriere_Femmes_1," héritière légitime des biens DU COMTE ET DE LA COMTESSE DE Kerneuil. 
Ces résolutions pr",ssible de dire: voilà le fils DU COMTE ET DE LA COMTESSE DE Horst; voilà celui de Henri e,"(754574, 754603)","(177457, 177487)"
Charriere_Lausanne_0,"us offrir pour le présent que CE QUE JE VIENS DE VOUS DIRE, acceptez-le, croyez-moi, ou ","rte que vive, elle me raconta CE QUE JE VIENS DE VOUS DIRE.-Mais, maman, disait-elle, co","(82801, 82829)","(90357, 90385)"
Charriere_Lausanne_1," la veille également de celui OÙ J’AI EU LE BONHEUR DE VOUS rencontrer, pendant qu’elle m",aire depuis le premier moment OÙ J'AI EU LE BONHEUR DE VOUS voir. Plus silencieuse que vo,"(106537, 106566)","(90357, 90385)"
Constant_Laure1_0,"th de Kerneuil, douée de tous LES AGRÉMENT DE LA FIGURE ET DE L’ESPRIT, mais fille d’une mère qui ne",avantages que peuvent „donner LES AGRÉMENT DE LA FIGURE ET „DE L'ESPRIT. Vous ne feriez une „reforme ,"(272206, 272246)","(91415, 91456)"
Constant_Laure2_0, par les plus rudes combats…. JE SERAIS BIEN PLUS HEUREUSE SI JE ne sentais rien. Que je suis ,"vous faites, je vous en prie, JE SERAIS BIEN PLUS HEUREUSE SI JE pouvais avoir vos avis. 
J'ai","(250518, 250552)","(22561, 22595)"
Constant_Laure2_1," passés à des collatéraux … c’EST TOUT CE QUE JE PUIS VOUS DIRE, qui que ce fut que vous inte","ment heureux qui se présente, C'EST TOUT CE QUE JE PUIS VOUS DIre; il faut bien vous laisser ","(273076, 273109)","(22561, 22595)"
Crebillon_Atheniennes_0,"répondre au curé, car tu sais QUE JE NE PENSE PAS COMME LUI, SUR ce luxe que tu blâmes aussi q","'ouvrage de Cléophon, j'avoüe QUE JE NE PENSE PAS COMME LUI SUR tous les points; et que, par ","(121793, 121827)","(706742, 706775)"
Crebillon_Atheniennes_1,"is. Et elles se sont rejetées DANS LES BRAS L’UNE DE L’AUTRE, ET leurs larmes ont encore arros"," dont nous nous étions jettés DANS LES BRAS L'UN DE L'AUTRE, ET qui n'avait été pour chacun d","(136091, 136125)","(706742, 706775)"
Crebillon_Atheniennes_2,éciproque et le plus sincère; IL NE FUT PLUS QUESTION QUE DE nous arranger; Dom Gaspard m’,"nyme. Tout convenu entre eux, IL NE FUT PLUS QUESTION QUE DE me faire voir ma victime ui, ","(803283, 803313)","(706742, 706775)"
Crebillon_Atheniennes_3,"qu’il fût nuit, je remarquai, AVEC LE PLUS GRAND SOIN, TOUS LES abords de cette maison, et vo",reçu de sa mère de la dérober AVEC LE PLUS GRAND SOIN À TOUS LES yeux. Cette même mère s'était,"(1171667, 1171700)","(706742, 706775)"
Crebillon_Conte_0,t je vais vous les indiquer…. VOUS SAVEZ QUE JE NE SUIS PAS mal en fille; je me déguisera,"sir, vous me connaissez, moi, VOUS SAVEZ QUE JE NE SUIS PAS tracassier; faites-moi un pla","(299869, 299898)","(560961, 560990)"
Crebillon_Conte_1,"né avec un peu d’imagination, IL EST BIEN DIFFICILE DE NE PAS succomber; quelques-uns de ce","mme ne se défend qu'à regret, IL EST BIEN DIFFICILE DE NE PAS penser aussi que l'on peut to","(835784, 835815)","(560961, 560990)"
Crebillon_Nuit_0,"us offrir pour le présent que CE QUE JE VIENS DE VOUS DIRE, acceptez-le, croyez-moi, ou ","ose... 
CIDALISE. 
Après tout CE QUE JE VIENS DE VOUS DIRE, ce serait à moi une assez be","(82801, 82829)","(51208, 51236)"
Crebillon_Nuit_1,"c la promesse de ne rien dire DE CE QUI VENAIT DE SE PASSER. Partez, monsieur, me dit le ","te. Elle me parut si humiliée DE CE QUI VENAIT DE SE PASSER, que je crus qu'étant aussi s","(223921, 223950)","(51208, 51236)"
Diderot_Jacques_0,"ant sur ses lèvres, il me dit EN ME PASSANT LA MAIN SOUS LE MENTON, que j’étais une petite fille",ence. Le commissaire ricanait EN PASSANT LA MAIN SOUS LE MENTON de la jeune fille qui s'était,"(1139299, 1139335)","(327388, 327421)"
Diderot_Neveu_0,"ssibe à Dieu. 
Le curé . Non, CE N’EST PAS LÀ CE QUE JE veux dire; on vous soupçonne ","ce qui peut arriver ? 
LUI.---CE N'EST PAS LÀ CE QUE JE crains ; cela n'arrivera pas.","(223187, 223212)","(28030, 28055)"
Diderot_Neveu_1,t je vais vous les indiquer…. VOUS SAVEZ QUE JE NE SUIS PAS mal en fille; je me déguisera,"ut un malheureux instant, car VOUS SAVEZ QUE JE NE SUIS PAS sujet à avoir du sens commun,","(299869, 299898)","(28030, 28055)"
Diderot_Religieuse_0,"us offrir pour le présent que CE QUE JE VIENS DE VOUS DIRE, acceptez-le, croyez-moi, ou ","faire... S'il arrivait, après CE QUE JE VIENS DE VOUS DIRE, que j'eusse le courage..., e","(82801, 82829)","(140862, 140890)"
Diderot_Religieuse_1,"r le soir cette femme au Roi, COMME SI J’AVAIS EU LE DESSEIN DE la destiner à mes plaisirs: l"," de m'y mettre ; on me tenait COMME SI J'AVAIS EU LE DESSEIN DE fuir. On chanta le Veni, Crea","(470776, 470809)","(140862, 140890)"
Diderot_Religieuse_2," amie, il faut s’y résoudre … QUE LA VOLONTÉ DE DIEU SOIT FAITE; … va prendre quelqu’heures d", vous arrivera ? » Elle dit : QUE LA VOLONTÉ DE DIEU SOIT FAITE. Je la priai de me montrer ce,"(1566563, 1566596)","(140862, 140890)"
Dorat_Malheurs_0, quelle voix se fait entendre AU FOND DE MON CŒUR…. JE NE sais quel organe secret sembl,"amie, tous ces tourments sont AU FOND DE MON CŒUR! JE NE le verrai donc plus! Ma lettr","(12246, 12273)","(145081, 145107)"
Dorat_Malheurs_1,"ari, et elle en est adorée. C’EST DANS L’ASILE DU REPOS ET DE l’innocence, c’est à la campa",e suis pas... non... cruel! J'ENTRE DANS L'ASILE DU REPOS ET DE la paix. Puissent la force de,"(71592, 71623)","(145081, 145107)"
Dorat_Sacrifices_0,"us offrir pour le présent que CE QUE JE VIENS DE VOUS DIRE, acceptez-le, croyez-moi, ou ","tageais vos vœux? ... Oubliez CE QUE JE VIENS DE VOUS DIRE; oubliez tant d'abaissement, ","(82801, 82829)","(379070, 379098)"
Duclos_Acajou_0,"architecture, le voilà maçon; MAIS, NI LES UNS, NI LES AUTRES, ne sont mercenaires, on les ", sont trop vifs l'exagerent ; MAIS NI LES UNS NI LES AUTRES n'aiment les réflexions : c'e,"(579361, 579392)","(3304, 3333)"
Ducray_Cinquante_0,"is. Et elles se sont rejetées DANS LES BRAS L’UNE DE L’AUTRE, ET leurs larmes ont encore arros",". Ces deux amies se serrèrent DANS LES BRAS L'UNE DE L'AUTRE, EMBRASSÈRENT leurs parents, leurs bienfait","(136091, 136125)","(90511, 90555)"
Ducray_Cinquante_1,foi…. Le président s’est jeté DANS LES BRAS DE SA FEMME ET l’embrassant avec la plus ext,nd de voiture que pour tomber DANS LES BRAS DE SA FEMME ET de sa belle-mère. Le petit Au,"(201838, 201866)","(90511, 90555)"
Florian_Estelle_0,"ons; mon cœur suffit pour les SENTIR, MAIS MON ESPRIT NE PEUT LES RENDRE. 
Je ne vis point Léonore le ","tourments; Mon cœur abonde en SENTIMENT, MAIS MON ESPRIT NE PEUT LES RENDRE. Taisons-nous, craignons d'of","(302374, 302416)","(78608, 78653)"
Florian_Galatee_0," passés à des collatéraux … c’EST TOUT CE QUE JE PUIS VOUS dire, qui que ce fut que vous",", et une vaine réconnaissance EST TOUT CE QUE JE PUIS VOUS offrir. Vous pouvez nous raco","(273076, 273104)","(61177, 61205)"
Fourqueux_Zely_0,"e en pleurs, et m’a prodiguée LES CHOSES LES PLUS TENDRES ET LES PLUS flatteuses; en vérité, mon am",en-tôt ses sens pour lui dire LES CHOSES LES PLUS TENDRES ET LES PLUS touchantes. Le Juge discret e,"(262889, 262928)","(74258, 74297)"
Fourqueux_Zely_1,"nneurs, achetés aux dépens de CE QUE J’AI DE PLUS CHER AU MONDE? Dussai je être le plus malhe","r pour “mon Epoux pour sauver CE QUE J'AI “DE PLUS CHER AU MONDE. 
“Madame, dit Zély, j'avoue ","(1093727, 1093760)","(74258, 74297)"
Genlis_Adele_0,oges…. Aline s’est précipitée DANS LES BRAS DE SA MÈRE ET l’a accablée de caresses….—Ce,"ûle du désirs de se retrouver DANS LES BRAS DE SA MÈRE ET de son père... à ces mots, la","(139886, 139913)","(1078670, 1078697)"
Genlis_Adele_1,"ant la honte, c’est le comble DE L’ESPRIT ET DE LA DÉLICATESSE… . IL y a pourtant encore quelque c","ois une excellente éducation, DE L'ESPRIT ET DE LA DÉLICATESSE; IL ne parle point à un vieillard","(771293, 771331)","(1078670, 1078697)"
Genlis_Adele_2,"utes les parties mises à nud; IL PRIT UNE DE MES MAINS ET LA porta sur lui, mais je la ret","ur éclairât moins son visage) IL PRIT UNE DE MES MAINS, ET LA serra fortement dans les sien","(1137689, 1137719)","(1078670, 1078697)"
Genlis_Chevaliers_0,"sés à des collatéraux … c’est TOUT CE QUE JE PUIS VOUS DIRE, QUI que ce fut que vous interroge","nom de mon indigne ravisseur; TOUT CE QUE JE PUIS VOUS DIRE, C'EST que, dans une de nos solennit","(273080, 273114)","(184248, 184284)"
Genlis_Chevaliers_1,"ffre obligeante de son aînée, QUE DANS LE CAS OÙ ELLE N’AURAIT pas une autre fortune; mais e","este de sa suite, en ajoutant QUE, DANS LE CAS OÙ ELLE N'IRAIT pas les rejoindre le lendemai","(753105, 753137)","(184248, 184284)"
Genlis_Chevaliers_2," de cette aventure… . Non, m’éCRIAI-JE, EN LA SAISISSANT DANS MES BRAS… . Non, je ne mangerai pas le","u château... eh, pourquoi? M'éCRIAI-JE EN LA SAISISSANT DANS MES BRAS... ah! Répondit-elle, parce q","(952870, 952910)","(184248, 184284)"
Genlis_Chevaliers_3,"nsport, recevrai-je enfin ici LE PRIX DE TOUT CE QUE JE FAIS POUR te mériter; Ah! répondis-je, ","u'ils sentiront véritablement LE PRIX DE TOUT CE QUE JE FAIS POUR eux... mais, seigneur, repris","(1172095, 1172130)","(184248, 184284)"
Genlis_Chevaliers_4,"soin que j’en ai est tel, que POUR LA PREMIÈRE FOIS DE MA VIE, JE ne sais pas même si je vous o", dans une obscurité profonde. POUR LA PREMIÈRE FOIS DE MA VIE JE connus la terreur. Mon imagin,"(1430283, 1430318)","(184248, 184284)"
Gerard_Comte_0, quelle voix se fait entendre AU FOND DE MON CŒUR…. JE NE SAIS quel organe secret semble m’a,"s d'attendrissement portoient AU FOND DE MON CŒUR JE NE SAIS quoi de doux, que j'eusse pré","(12246, 12278)","(204140, 204170)"
Gerard_Comte_1," ce bon peuple dans le chemin DE LA VERTU ET DE LA VÉRITÉ?… «Souverain des Cieux, si je"," qui s'est montée à l'unisson DE LA VERTU ET DE LA VÉRITÉ! Fatiguée, dégoutée de ces re","(650602, 650629)","(204140, 204170)"
Gerard_Comte_2,"ont ces honneurs, achetés aux DÉPENS DE CE QUE J’AI DE PLUS CHER au monde? Dussai je être le p","i voulait me la ravir; qu'aux DÉPENS DE CE QUE J'AI DE PLUS CHER, je prenne la défense du pays","(1093717, 1093751)","(204140, 204170)"
Gerard_Comte_3,"monte ou que je meure —Cruel, AYEZ PITIÉ DE MOI! AYEZ PITIÉ DE MON père et de vous; ne nous engl","le, mais Dieu clément et bon, AYEZ PITIÉ DE MOI,... AYEZ PITIÉ DE MON fils! 
LETTRE 48 Du comte de ","(1099190, 1099226)","(204140, 204170)"
Jacquin_Parisiennes_0,"s de me parler de sa passion, JE FIS TOUT CE QUE JE PUS POUR lui faire croire que je n’y é",dans une inquiétude mortelle: JE FIS TOUT CE QUE JE PUS POUR rappeler ses sens égarés: je ,"(773313, 773343)","(47123, 47153)"
Kimber_Thompson_0,"on de ces contrées, j’imagine QUE VOUS NE SEREZ PAS FÂCHÉ D’APPRENDRE quelques détails sur la maniè",re cœur m'est connue; je sais QUE VOUS NE SEREZ PAS FÂCHÉ D'APPRENDRE comment une malheureuse aband,"(361574, 361613)","(391414, 391453)"
Kimber_Thompson_1,"s de me parler de sa passion, JE FIS TOUT CE QUE JE PUS POUR lui faire croire que je n’y é","s l'intervalle de la réponse, JE FIS TOUT CE QUE JE PUS POUR empêcher mon père de faire au","(773313, 773343)","(391414, 391453)"
Kimber_Thompson_2,"notre entretien, si convaincu DE LA VÉRITÉ DE CE QUE JE LUI annonçais, qu’il me donna vin",al le convainquit entièrement DE LA VÉRITÉ DE CE QUE JE LUI avais dit. Il m'en félicita; ,"(1115422, 1115451)","(391414, 391453)"
Kimber_Thompson_3,"e de cette légère absence, et NOUS NE PÛMES NOUS EMPÊCHER DE REMARQUER ma mère et moi, qu’il entrait","itieuse des simples Matelots, NOUS NE PÛMES NOUS EMPÊCHER DE REMARQUER que dans leurs vaisseaux les ","(1465630, 1465670)","(391414, 391453)"
Laclos_Liaisons_0,"rts et si doux! Aline, Aline, CROYEZ-VOUS DONC QUE JE PUISSE VIVRE sans les retrouver? Et cepend", souffre encore en ce moment. CROYEZ-VOUS DONC QUE JE PUISSE VIVRE et ne plus être aimé de vous ,"(14256, 14292)","(189387, 189423)"
Laclos_Liaisons_1,"’impossibe à Dieu. 
Le curé . NON, CE N’EST PAS LÀ CE QUE JE VEUX DIRE; on vous soupçonne de quelque","oudrais te voir à ma place... NON, CE N'EST PAS LÀ CE QUE JE VEUX DIRE, car sûrement je ne voudrais ","(223182, 223222)","(189387, 189423)"
Laclos_Liaisons_2,"sez-y; calmez-vous, et croyez QUE J’AI FAIT POUR VOUS TOUT CE qui pouvait dépendre de moi. ","moi ; je veux vous convaincre QUE J'AI FAIT POUR VOUS TOUT CE que je pouvais faire. 
Je vou","(328152, 328183)","(189387, 189423)"
Laclos_Liaisons_3, qu’elle ne règne point après LUI. IL N’EN EST PAS DE MÊME DE ses dix-huit grands vassaux; , donc se mettre à l'aise avec LUI. IL N'EN EST PAS DE MÊME DE Valmont : on le garde diffici,"(428005, 428036)","(189387, 189423)"
Lagrave_Sophie_0,e cette importante recherche; NE NÉGLIGE RIEN DE TOUT CE QUI PEUT te la faire faire avec autant,s. Un mari qui m'adore et qui NE NÉGLIGE RIEN DE TOUT CE QUI PEUT flatter les fantaisies d'une ,"(169977, 170012)","(431, 466)"
Lagrave_Sophie_1,"ginez pas, continua-t-il, que LES SENTIMENT QUE VOUS AVEZ FAIT NAÎTRE en moi puissent me permettre ",er dans le plus profond de mon CŒUR LES SENTIMENT QUE VOUS Y AVEZ FAIT naître ... Oh! croyez que mon ,"(791597, 791636)","(431, 466)"
Lagrave_Sophie_2,le pour Cadix où l’appelaient DES AFFAIRES DE LA PLUS GRANDE IMPORTANCE. Il était parti depuis une he,laire nous a dit qu'il était à DIJON POUR DES AFFAIRES DE LA PLUS GRANDe importance; qu'il espérait l,"(923598, 923639)","(431, 466)"
Lagrave_Sophie_3,ntl’état decette chère fille; JE LUI AI DIT QUE JE CROYAIS PRUDENT DE la laisser quelques jours tra," émue. 
J'ai été hier chez le COMTE D'AUTERIVE; JE LUI AI DIT QUE JE croyais prudent de hâter le ma","(1503236, 1503275)","(431, 466)"
Lagrave_Zabeth_0,"is. Et elles se sont rejetées DANS LES BRAS L’UNE DE L’AUTRE, ET leurs larmes ont encore arros","prouver ..... Ils se jetèrent DANS LES BRAS L'UN DE L'AUTRE, ET confondirent leurs larmes. Hé","(136091, 136125)","(86847, 86880)"
Lagrave_Zabeth_1,"il faudrait que je n’eus plus UNE GOUTTE DE SANG DANS LES VEINES, pour qu’une telle infamie se","orbleu! et tant qu'il coulera UNE GOUTTE DE SANG DANS LES VEINES du père et du fils, elle serv","(151557, 151591)","(86847, 86880)"
Lagrave_Zabeth_2,"e la manière dont on en use. 
TOUT CE QUE JE VIENS DE DIRE, continua le Portugais en ter","et se précipita à ses genoux. TOUT CE QUE JE VIENS DE DIRE avait été si prompt, que MM. ","(465907, 465935)","(86847, 86880)"
LaPlace_Collection_0,"e séparer de mon adversaire. 
CE FUT À PEU PRÈS VERS CE TEMPS que mon père fut employé dans"," chercha vainement l'entrée. 
CE FUT À-PEU-PRÈS VERS CE TEMPS là, que le commerce amena dan","(27559, 27590)","(64507, 64538)"
LaPlace_Collection_1,"c la promesse de ne rien dire DE CE QUI VENAIT DE SE PASSER. Partez, monsieur, me dit le ","urait par moi la connaissance DE CE QUI VENAIT DE SE PASSER, et que je n'entretiendrois m","(223921, 223950)","(64507, 64538)"
LaPlace_Collection_2,"prendre des nouvelles de tout CE QUI M’ÉTAIT LE PLUS CHER AU MONDE, toutes ces raisons me décidè","n elle employa le souvenir de CE QUI M'ÉTAIT LE PLUS CHER AU MONDE, pour me distraire du projet ","(1227951, 1227987)","(64507, 64538)"
LaPlace_Lydia_0,"c’est l’affaire du hasard, et LE PLUS GRAND DE TOUS LES TORTS est de se plaindre…. Eh! s’im","e ajouter, qu'après l'amour, (LE PLUS GRAND DE TOUS LES MAÎTRES!) c'est à mes conversations a","(251382, 251413)","(39478, 39511)"
Leonard_Clementine_0," instant, Aline plus libre se JETTE AUX PIEDS DE SA MÈRE, ET LES baise tous deux avec respect,","d'un sentiment nouveau, s'est JETÉE AUX PIEDS DE SA MÈRE, ET LES a mouillés de ses pleurs. Mad","(1525900, 1525934)","(59999, 60033)"
Leonard_Lettres_0,de bonne foi…. Le président s’EST JETÉ DANS LES BRAS DE SA femme et l’embrassant avec la,"ce qu'elle avait fait, elle s'EST JETÉE DANS LES BRAS DE SA mère. Madame de Saint-Cyran l","(201829, 201857)","(157448, 157477)"
Leonard_Lettres_1," la place de l’autre, afin de FAIRE LE BONHEUR DE SA FILLE; QU’en conséquence de cette résol","e lui ai demandé s'il voulait FAIRE LE BONHEUR DE SA FILLE. QUI en doute, s'est-il écrié? j'a","(227545, 227577)","(157448, 157477)"
Lesuire_Aventurier_0,"ssibe à Dieu. 
Le curé . Non, CE N’EST PAS LÀ CE QUE JE VEUX DIRE; on vous soupçonne de quelque","me proposer de me réjouir! 
“ CE N'EST PAS-LÀ CE QUE JE VEUX DIRE, “répondit-il; je veux vous a","(223187, 223222)","(626317, 626352)"
Lesuire_Crime_0," passés à des collatéraux … c’EST TOUT CE QUE JE PUIS VOUS DIRE, qui que ce fut que vous inte"," des autres, Le Repentir. 
“C'EST TOUT CE QUE JE PUIS VOUS “DIRE pour le présent.“ Quoi qu'il ","(273076, 273109)","(8433, 8467)"
Lesuire_Crime_1," honneurs, achetés aux dépens DE CE QUE J’AI DE PLUS CHER AU MONDE? Dussai je être le plus malhe","emps, des auteurs de mes jours, DE CE QUE J'AI DE PLUS CHER AU MONde; mais par qui, bon Dieu! vo","(1093724, 1093760)","(8433, 8467)"
Loaisel_Ainsi_0,oint…. Je ne sais quelle voix SE FAIT ENTENDRE AU FOND DE MON CŒUR…. Je ne sais quel organe secr,"outer l'aimable espérance qui SE FAIT ENTENDRE AU FOND DE MON CŒUR, et de regarder comme un don ","(12229, 12265)","(12781, 12817)"
Loaisel_Comtesse_0,"il faudrait que je n’eus plus UNE GOUTTE DE SANG DANS LES VEINES, pour qu’une telle infamie se","c fruit. “Tant que nous avons UNE GOUTTE DE SANG “DANS LES VEINES, tant qu'il nous reste des “f","(151557, 151591)","(65808, 65843)"
Loaisel_Lucile_0,"il faudrait que je n’eus plus UNE GOUTTE DE SANG DANS LES VEINES, pour qu’une telle infamie se","vec fruit. Tant que nous “avonS UNE GOUTTE DE SANG DANS LES “VEINes, tant qu'il nous reste des ","(151557, 151591)","(64776, 64811)"
Louvet_Annee_0,"épouse de ne se mêler en rien DE CE QUI SE PASSE CHEZ MOI. Madame de Senneval, qui, com",mment ne suis-je pas instruit DE CE QUI SE PASSE CHEZ MOI? Pourquoi ne m'avertissez-vou,"(183862, 183889)","(258128, 258155)"
Louvet_Annee_1,mais en restant je manquais à CE QUE J’AVAIS DE PLUS CHER AU MONDE; ce malheur là n’était-il pas," et ma femme, j'allais revoir CE QUE J'AVAIS DE PLUS CHER AU MONDE; et cependant, mon cher Faubl","(1179154, 1179190)","(258128, 258155)"
Louvet_Fin_0,"rouver de quoi vivre, et avec CE QUE VOUS AVEZ LA BONTÉ DE leur donner, ils seront assur"," de votre écolière.—Monsieur, CE QUE VOUS AVEZ LA BONTÉ DE me dire est très propre à m'e","(139324, 139352)","(93909, 93937)"
Louvet_Fin_1,"nneurs, achetés aux dépens de CE QUE J’AI DE PLUS CHER AU MONDE? Dussai je être le plus malhe","urs où je laisse au désespoir CE QUE J'AI DE PLUS CHER AU MONDE! Mon cœur alors se serre, je ","(1093727, 1093760)","(93909, 93937)"
Maistre_Voyage_0,"En existe-t-il sous le ciel?… LA CHOSE DU MONDE LA PLUS SIMPLE, est d’être née pour les reve","aurait, au contraire, peindre LA CHOSE DU MONDE LA PLUS SIMPLE sans que l'âme y emploie tout","(250874, 250906)","(50562, 50594)"
Marmontel_Belisaire_0,n le nourrit ainsi en détail. IL EN EST DE MÊME DE LA table des chefs et des prêtes,croît au milieu des douleurs. IL EN EST DE MÊME DE LA vertu. Pour attirer les cœurs,"(449881, 449904)","(87319, 87342)"
Marmontel_Contes_0,"ssibe à Dieu. 
Le curé . Non, CE N’EST PAS LÀ CE QUE JE VEUX DIRE; ON VOUS SOUPÇONNE de quelque supercherie. 
Clau","tends à rien.-vous avez tort; CE N'EST PAS LÀ CE QUE JE VEUX DIRE. VOUS AVEZ de quoi séduire une femme, as","(223187, 223241)","(241461, 241507)"
