,Text in Gerard_Comte,Text in B,Location in Gerard_Comte,Location in B
bible_0,"moi, dira-t-il au réprouvé: j'AI EU FAIM, ET VOUS NE M'AVEZ PAS DONNÉ À MANGER; J'AI EU SOIF, ET VOUS NE M'AVEZ PAS DONNÉ À BOIRE; j'ai été sans logement, et v","le et à
ses anges ;

42 Car j’AI EU FAIM, ET VOUS NE M’AVEZ PAS DONNÉ À MANGER ; J’AI EU
SOIF, ET VOUS NE M’AVEZ PAS DONNÉ À BOIRE ;

43 J’étais étranger, et vo","(634070, 634169)","(3661286, 3661386)"
bible_1,"e m'avez pas revêtu; j'ai été MALADE ET EN PRISON, ET VOUS NE M'AVEZ POINT visité: car je vous le dis en"," ne m’avez pas vêtu ; j’étais MALADE ET EN PRISON, ET VOUS NE M’AVEZ
PAS visité.

44 Et ceux-là lui ré","(634289, 634333)","(3661286, 3661386)"
bible_2,"es apôtres, m'a été donnée au CIEL ET SUR LA TERRE. ALLEZ DONC, INSTRUISEZ TOUS LES PEUPLES, LES BAPTISANT AU NOM DU PÈRE, et du fils, et du saint-espr","uissance m’est
donnée dans le CIEL ET SUR LA TERRE ;

19 ALLEZ DONC ET INSTRUISEZ TOUTES LES NATIONS, LES BAPTISANT AU NOM DU
PÈRE, du Fils et du Saint-Esprit ;","(833492, 833583)","(3661286, 3661386)"
bible_3," baptisant au nom du père, et DU FILS, ET DU SAINT-ESPRIT, ET LEUR APPRENANT À OBSERVER TOUTES LES CHOSES QUE JE VOUS AI COMMANDÉES; ET VOICI que je suis avec vous tous le","les baptisant au nom du
Père, DU FILS ET DU SAINT-ESPRIT ;

20 ET LEUR APPRENANT À GARDER TOUT CE QUE JE VOUS AI COMMANDÉ ; ET
VOICI, je suis toujours avec vous j","(833588, 833699)","(3661286, 3661386)"
bible_4,"ui n'aimerait pas un tel Dieu DE TOUT SON CŒUR, DE TOUTE SON âme, de toutes ses forces, ne","e que
lui,

33 et que l’aimer DE TOUT SON CŒUR, DE TOUTE SON intelligence, de toute
son âm","(921650, 921680)","(3661286, 3661386)"
bible_5,"t un oracle du sauveur, que "" CELUI QUI EST FIDÈLE DANS LES PETITES CHOSES le sera aussi dans les grande","les tabernacles éternels.

10 CELUI QUI EST FIDÈLE DANS LES PETITES CHOSES sera aussi fidèle dans
les gr","(930048, 930092)","(3661286, 3661386)"
bible_6,"e réprouvé par Jésus-Christ: ""JE NE SUIS PAS COMME LE RESTE DES HOMMES"". Loin d'elle ces vivacités d"," je
te rends grâces de ce que JE NE SUIS PAS COMME LE RESTE DES HOMMES, qui
sont ravisseurs, injuste","(934309, 934349)","(3661286, 3661386)"
Boufflers_Reine_0,"e étroite, et s'avançait vers MOI. JE ME LEVAI POUR ALLER À SA RENCONTRE: il m'aperçut à son tour, et ","e qui se passait au-dedans de MOI, JE ME LEVAI POUR ALLER À SA RENCONTRE. Chaque pas que je faisais, l","(158876, 158918)","(2643, 2685)"
Cazotte_Ollivier_0,"euse, si, en mourant, je puis VOUS RENDRE LE REPOS QUE JE VOUS ai ravi sans le vouloir. 
Jug","i qu'il me faut combattre, et VOUS RENDRE LE REPOS QUE JE VOUS ôtai à tous par un instant de","(409646, 409678)","(26270, 26302)"
Charriere_Lausanne_0,"que je tenais toujours secret AVEC D'AUTANT MOINS DE SCRUPULE, QUE JE ne prends ces sortes de libér","dmirâtes hier; vous le pouvez AVEC D'AUTANT MOINS DE SCRUPULE, QUE JE suis résolue à me réserver la","(639756, 639795)","(215211, 215250)"
Crebillon_Atheniennes_0,"eu! Dictez moi, à son retour, CE QUE VOUS VOULEZ QUE JE FASSE pour le toucher et pour vous ","e n'aille point vous trouver, CE QUE VOUS VOULEZ QUE JE FASSE. Faites moi aussi, la grâce d","(197959, 197990)","(727827, 727858)"
Crebillon_Conte_0,"ercle brillant d'une foule de PERSONNES DE L'UN ET DE L'AUTRE SEXE, qui étalent à l'envi tous le","une fête nocturne. Toutes les PERSONNES DE L'UN ET DE L'AUTRE SEXE que j'y admis, devaient y êtr","(496447, 496483)","(394118, 394154)"
Crebillon_Nuit_0,"ma chère Émilie, sans risquer DE VOUS ENNUYER ET DE VOUS DÉPLAIRE, je vais encore vous entreten","ne pas réussir, et la crainte DE VOUS ENNUYER ET DE VOUS DÉPLAIRE en vous poursuivant avec cett","(681526, 681561)","(23671, 23706)"
Diderot_Jacques_0,dans la maison de notre père. JE NE VOUS FERAI POINT LE DÉTAIL DE TOUT ce que nous eûmes à souffrir.,"elle, il ne m'aime plus ... » JE NE VOUS FERAI POINT LE DÉTAIL DE TOUTES nos extravagances quand on no","(271452, 271492)","(210821, 210863)"
Dorat_Malheurs_0,"s d'attendrissement portoient AU FOND DE MON CŒUR JE NE sais quoi de doux, que j'euss","amie, tous ces tourments sont AU FOND DE MON CŒUR! JE NE le verrai donc plus! Ma lettr","(204140, 204165)","(145081, 145107)"
Dorat_Sacrifices_0,"çoivent. 
Ajoute, ma fille, à TOUT CE QUE JE VIENS DE DIRE, les prestiges de la déclamat","ve faibles aujourd'hui! Après TOUT CE QUE JE VIENS DE DIRE, ai-je besoin de vous nommer ","(495834, 495862)","(5333, 5361)"
Ducray_Cinquante_0,"toutes les forces me manquer; JE N'AI EU QUE LE TEMPS DE jeter un cri, et j'ai perdu p",: ils ont crié: A l'assassin; JE N'AI EU QUE LE TEMPS DE me sauver. Je pars; je ne sai,"(104465, 104491)","(272740, 272766)"
Dulaurens_Imirce_0,"ces animalcules, qui sont des MILLIONS DE FOIS PLUS PETITS QU'UN GRAIN DE poussière; ils ont leur tête,",illiers de petites roues cent MILLIONS DE FOIS PLUS PETITES QU'UN GRAIN DE sable. Le vide ou ce que tu a,"(34051, 34094)","(285284, 285328)"
Dulaurens_Imirce_1,"ui me semble être le résultat DE LA JUSTESSE DE L'ESPRIT, ET DE la vivacité du sentiment. La ","ons honnête homme est l'effet DE LA JUSTESSE DE L'ESPRIT ET DE l'équité du cœur. 
« Le cousi","(130102, 130135)","(285284, 285328)"
Fievee_Dot_0,"que sa vertu lui reste. ""Mais DANS TOUTES LES SITUATIONS DE LA VIE, la vertu a des privations pé","nts, la modestie, sont utiles DANS TOUTES LES SITUATIONS DE LA VIE. Notre devoir est de les ense","(368432, 368468)","(5106, 5142)"
Florian_Galatee_0,"sez le baron de Lausane; mais VOUS NE LE CONNAISSEZ PAS COMME MOI: cet homme charmant, l'homme "," faire l'aveu de votre amour? VOUS NE LE CONNAISSEZ PAS COMME MOI, lui répondit Élicio; il a dé","(19253, 19288)","(89896, 89931)"
Genlis_Adele_0,"s que l'agitation continuelle DE MON ESPRIT ET DE MON CŒUR, aidée du secours d'en haut, ","ent que la situation actuelle DE MON ESPRIT ET DE MON CŒUR. 
Les projets que j'ai exécut","(87000, 87028)","(572446, 572474)"
Genlis_Adele_1,"toutes les forces me manquer; JE N'AI EU QUE LE TEMPS DE jeter un cri, et j'ai perdu p","ce m'abandonnant entièrement, JE N'AI EU QUE LE TEMPS DE crier à moi, Mouche , et j'ai","(104465, 104491)","(572446, 572474)"
Genlis_Adele_2,"ture serait le moins libre et LE PLUS MALHEUREUX DE TOUS LES HOMMES. Crois-en, cher Valmont, la t","eu calmé: je suis, me dit-il, LE PLUS MALHEUREUX DE TOUS LES HOMMES, j'ai manqué à mes résolution","(462886, 462923)","(572446, 572474)"
Genlis_Adele_3,"ous ai écrite, ma chère bonne AMIE, J'ATTENDS AVEC IMPATIENCE DE VOS NOUVELLES; et, au gré de mes désirs, qu"," me seconde. 
Adieu, ma chère AMIE; J'ATTENDS AVEC IMPATIENCE DE VOS NOUVELLES de Spa; je suis sûre que vous","(680768, 680816)","(572446, 572474)"
Genlis_Adele_4,Personne ne se défiait encore DE CE QUI S'ÉTAIT PASSÉ ENTRE NOUS; ET les raisonnement que formait ,"alis venait de lui faire part DE CE QUI S'ÉTAIT PASSÉ ENTRE NOUS, ET je ne pouvais deviner le suje","(766764, 766802)","(572446, 572474)"
Genlis_Chevaliers_0,"a-t-on, n'a pas l'imagination SI VIVE ET LE CŒUR SI TENDRE"". Eh, quel intérêt ceux là pr","s; et lui, dont la tête était SI VIVE ET LE CŒUR SI TENDRE, devait l'être moins que tout","(300561, 300589)","(281285, 281313)"
Genlis_Chevaliers_1,"ture serait le moins libre et LE PLUS MALHEUREUX DE TOUS LES HOMMES. Crois-en, cher Valmont, la t",répétois qu'elle me laisserat LE PLUS MALHEUREUX DE TOUS LES HOMMES: là-dessus elle tira de sa po,"(462886, 462923)","(281285, 281313)"
Kimber_Thompson_0,"ture serait le moins libre et LE PLUS MALHEUREUX DE TOUS LES HOMMES. Crois-en, cher Valmont, la t"," perdre l'esprit; car je suis LE PLUS MALHEUREUX DE TOUS LES HOMMES. L'Irlande est ma patrie, mon","(462886, 462923)","(603704, 603741)"
Laclos_Liaisons_0,"toutes les forces me manquer; JE N'AI EU QUE LE TEMPS DE jeter un cri, et j'ai perdu p","s aux yeux tout de suite ; et JE N'AI EU QUE LE TEMPS DE me détourner, pour empêcher q","(104465, 104491)","(443887, 443913)"
Laclos_Liaisons_1,dans la maison de notre père. JE NE VOUS FERAI POINT LE DÉTAIL de tout ce que nous eûmes à s,"i mes injustices à réparer ? 
JE NE VOUS FERAI POINT LE DÉTAIL des faits ou des raisons qui ","(271452, 271484)","(443887, 443913)"
Lagrave_Sophie_0," ce que je dois à mon prince, CE QUE JE ME DOIS À MOI-MÊME: ET sur quoi fondé? Sur ce que vo",ns des démarches tout-à-fait cONTRAIRES À CE QUE JE ME DOIS À moi-même et à M. de Beauregar,"(645255, 645287)","(116243, 116274)"
Lagrave_Zabeth_0,"toutes les forces me manquer; JE N'AI EU QUE LE TEMPS DE jeter un cri, et j'ai perdu p","n ordre de me faire enfermer. JE N'AI EU QUE LE TEMPS DE passer dans ce pays, pour évi","(104465, 104491)","(187801, 187827)"
Lagrave_Zabeth_1,"çoivent. 
Ajoute, ma fille, à TOUT CE QUE JE VIENS DE DIRE, les prestiges de la déclamat","et se précipita à ses genoux. TOUT CE QUE JE VIENS DE DIRE avait été si prompt, que MM. ","(495834, 495862)","(187801, 187827)"
LaPlace_Collection_0,"s que l'agitation continuelle DE MON ESPRIT ET DE MON CŒUR, aidée du secours d'en haut, ",au père.... toutes les peines DE MON ESPRIT ET DE MON CŒUR. Je me flattai qu'il ne dédai,"(87000, 87028)","(519046, 519074)"
Leonard_Clementine_0,"mpé? N'aurait-il voulu que me METTRE SANS CESSE EN CONTRADICTION AVEC MOI-MÊME, que m'amorcer et me séduire ","istraite, indifférente, et me MET SANS CESSE EN CONTRADICTION AVEC MOI-MÊME? ô ma chère! Que cet état me ","(385645, 385693)","(1354, 1399)"
Leonard_Clementine_1,un jour m'expliquer avec lui. JE TENAIS UNE DE SES MAINS QUE j'arrosois de mes pleurs: che,"tais à genoux devant elle, et JE TENAIS UNE DE SES MAINS QUE je collois sur mes lèvres. El","(641518, 641548)","(1354, 1399)"
Lesuire_Aventurier_0," respect... un vieillard! ... EST-CE UN HOMME? EST-CE UN dieu, sous la forme d'un mort","qui en voulaient au gé“néral? EST-CE UN HOMME? EST-CE UNE bête? 
“Oh! le hideux objet! ","(555941, 555967)","(432927, 432954)"
Lesuire_Aventurier_1,"hommes, un homme de douleurs, QUI SAIT CE QUE C'EST QUE DE souffrir. Son visage était co","me montrant qui va en Italie, QUI SAIT CE QUE C'EST QUE DE courir le monde, qui, à son p","(664313, 664341)","(432927, 432954)"
Lesuire_Aventurier_2,"faits merveilleux, évidemment AU DESSUS DES FORCES DE LA NATURE, tous bienfaisant, tous utile","ce de temps. Cet effort était AU-DESSUS DES FORCES DE LA NATURE. 
Sa générosité le soutenoit ","(743202, 743235)","(432927, 432954)"
Lesuire_Crime_0,"
En deux mots, ma fille, dans TOUT CE QUI EST DU RESSORT DE L'ENTENDEMENT humain, des idées claires, de","mes, la Philosophie, les Arts, “TOUT CE QUI EST DU RESSORT DE L'ESPRit “humain. Sa Majesté a conçu","(128292, 128335)","(659957, 659995)"
Loaisel_Ainsi_0,"aison même; elles le sont par LA VOIX DE LA CONSCIENCE ET LE CRI DE la nature. Oui, tous les homm","e la vie sociale, qui étouffe LA VOIX DE LA CONSCIENCE ET LE CRI DE l'humanité; tout vous permet ","(932093, 932130)","(6276, 6313)"
Louvet_Annee_0, toutes deux trop long-temps. SES LARMES RECOMMENCÈRENT À COULER AVEC PLUS D'ABONDANCE. Se contraignant pour en susp,elle ne me répondit pas; mais SES LARMES RECOMMENCÈRENT À COULER AVEC PLUS D'ABONDANCE:-ma chère maman! Quand pourra,"(402930, 402986)","(267254, 267310)"
Louvet_Fin_0,"matière? Même réponse encore, JE N'EN SAIS RIEN. MAIS CE QUE JE crois savoir, c'est qu'en sup","pporter l'excès de la mienne? JE N'EN SAIS RIEN; MAIS CE QUE JE sais bien, c'est que j'allois","(394015, 394048)","(1448, 1481)"
Louvet_Fin_1, toutes deux trop long-temps. SES LARMES RECOMMENCÈRENT À COULER AVEC PLUS D'ABONDANCE. Se contraignant pour en susp,"e plus sensible à mon cœur.» 
MES LARMES RECOMMENCÈRENT À COULER AVEC PLUS D'ABONDANCE. Adélaïde pleurait aussi; mai","(402930, 402986)","(1448, 1481)"
Marmontel_Belisaire_0,"opos, le poison de l'impureté ET TOUS LES EXCÈS DE LA LICENCE à côté de l'irréligion? Eh, m"," la honte, l'audace du crime, ET TOUS LES EXCÈS DE LA LICENCE qu'autorise l'impunité. Tel e","(540141, 540172)","(111055, 111086)"
Marmontel_Contes_0,"x de ma soumission, seigneur, JE NE VOUS DEMANDE QU'UNE GRÂCE, C'EST d'éclairer mon fils. 
LETTRE ",", vous mériter mieux que moi! JE NE VOUS DEMANDE QU'UNE GRÂCE, C'EST de vouloir bien accepter ces ","(50689, 50727)","(51284, 51322)"
Marmontel_Contes_1, prenaient sans effort le ton DE LA SAGESSE ET DE LA RAISON qu'elle nous inspirait; et il,"roëne, est une copie exagérée DE LA SAGESSE ET DE LA RAISON; et je ne vois rien dans éléo","(171771, 171800)","(51284, 51322)"
Marmontel_Contes_2," puisque sa vertu lui reste. ""MAIS DANS TOUTES LES SITUATIONS DE LA VIE, la vertu a des privations pé","ue le ciel ordonnera de nous; MAIS DANS TOUTES LES SITUATIONS DE LA VIE, et jusqu'à mon dernier soupi","(368427, 368468)","(51284, 51322)"
Marmontel_Incas_0,"qu'envers Dieu, le premier et LE PLUS GRAND DE TOUS LES BIENFAITEURS, qu'il nous sera permis d'êtr","ssible. L'oubli sera pour eux LE PLUS GRAND DE TOUS LES BIENFAITS. "" "" vous ne pensez donc pas,","(920062, 920100)","(172966, 173001)"
Mercier_Jezennemours_0," sainte, qui peut seule faire TON REPOS ET TON BONHEUR. JE NE croirai pas du moins que tu s","e sa présence: je ne veux que TON REPOS ET TON BONHEUR, JE NE veux que te plaire et t'aimer","(466728, 466759)","(261182, 261213)"
Nerciat_Aphrodites_0," respect... un vieillard! ... EST-CE UN HOMME? EST-CE UN DIEU, sous la forme d'un mortel? Q","e. 
La Duchesse, s'exaltant. 
EST-CE UN HOMME? EST-CE UN DIEU? ( Elle saisit avec transport","(555941, 555972)","(52735, 52766)"
Nerciat_Felicia_0,"x de ma soumission, seigneur, JE NE VOUS DEMANDE QU'UNE GRÂCE, C'EST d'éclairer mon fils. 
LETTRE ","e, rien ne m'y fera renoncer. JE NE VOUS DEMANDE QU'UNE GRÂCE, C'EST de ne pas me mépriser quand v","(50689, 50727)","(339377, 339415)"
Nerciat_Felicia_1,"avec tous ses faux principes, ET TANT D'AUTRES DANS LE MÊME GENRE: car c'est un grand et danger", l'aventure du pauvre Sylvino ET TANT D'AUTRES DANS LE MÊME GENRE vous rendent prudents. Là-bas,"(533736, 533771)","(339377, 339415)"
Popeliniere_Daira_0,"ion eût duré plus long-temps, JE NE SAIS SI JE N'AUROIS PAS eu à craindre pour l'état où ",quelque nouvelle catastrophe! JE NE SAIS SI JE N'AUROIS PAS mieux fait de ne point surviv,"(411498, 411527)","(221493, 221522)"
Prevost_Manon_0,"andent quelque détermination, LE PARTI LE PLUS SAGE EST DE se déterminer par ce qui nous", remède fort incertain. Ainsi LE PARTI LE PLUS SAGE EST DE le prévenir en quittant Chail,"(261844, 261872)","(203606, 203634)"
Prevost_Monde_0,", mais qui n'avait rien perdu DES GRÂCES DE LA JEUNESSE ET DE LA vigueur de l'âge mûr. Sans êt","le sang de Tekely, décoré par LES GRÂCES DE LA JEUNESSE ET DE LA beauté, n'eussent pas droit d","(158348, 158382)","(697411, 697445)"
Puttelange_Roi_0,"a naïve simplicité, joint aux CHARMES DE LA FIGURE TOUTES LES GRÂCES de l'esprit et tout le bon se","la première jeunesse tous les CHARTES DE LA FIGURE, TOUTES LES GRÂCES du corps, avec la justesse, l","(2590, 2628)","(68944, 68983)"
Retif_Paysanne_0,"t qu'il ignore, s'il se peut, CE QUE JE VIENS DE VOUS MARQUER; sa facilité à s'ouvrir avec ",", j'ajouterai quelque chose à CE QUE JE VIENS DE VOUS MARQUER : on m'a dit que vous n'aviez","(25070, 25101)","(156114, 156145)"
Retif_Paysanne_1,"nds, ne faites pas aux autres CE QUE VOUS NE VOUDRIEZ PAS QU'ON VOUS FÎT; faites-leur ce que vous voud","ature, ne faites pas à autrui CE QUE VOUS NE VOUDRIEZ PAS QU'ON VOUS FIT ; faites du bien, pour qu'on ","(134984, 135026)","(156114, 156145)"
Retif_Paysanne_2,"t annonce un culte nouveau, l'ADORATION EN ESPRIT ET EN VÉRITÉ. IL voit avec une sorte de transp","tation dans le culte, au lieu D'ADORER EN ESPRIT ET EN VÉRITÉ : Ils sont acharitables, vindicat","(740353, 740389)","(156114, 156145)"
Reveroni_Pauliska_0,", mais qui n'avait rien perdu DES GRÂCES DE LA JEUNESSE ET DE LA vigueur de l'âge mûr. Sans êt","é et hideux, me semblait paré DES GRÂCES DE LA JEUNESSE ET DE LA beauté ? Le Baron parut jouir","(158348, 158382)","(62198, 62232)"
Riccoboni_Histoire_0,"ur les hommes que doit porter AU FOND DE SON CŒUR LE SOUVENIR D'UN dieu, qui, en leur faveur, s'",étouffer les remords qu'élève AU FOND DE SON CŒUR LE SOUVENIR D'UNE femme sensible et malheureuse,"(710767, 710803)","(58897, 58934)"
Riccoboni_MissJenny_0,"le lui cacher. Elle désirait, DÈS LES PREMIERS JOURS DE SA MALADIE, de recevoir les derniers sac","louait cent livres sterlings. DÈS LES PREMIERS JOURS DE SA MALADIE, cette femme s'était hâtée d'","(755587, 755623)","(224443, 224479)"
Riccoboni_MissJenny_1,"ns cet état, la pitié succéda AU FOND DE MON CŒUR À TOUS LES sentiment de fureur et de hai","es méditations, je retrouvois AU FOND DE MON CŒUR TOUS LES mouvement que je venais d'y c","(765822, 765852)","(224443, 224479)"
Rosny_Firmin_0,", mais qui n'avait rien perdu DES GRÂCES DE LA JEUNESSE ET DE LA vigueur de l'âge mûr. Sans êt",s rien vu de si beau : toutes LES GRÂCES DE LA JEUNESSE ET DE LA beauté se trouvaient réunies ,"(158348, 158382)","(8531, 8565)"
Rousseau_Emile_0," général, qu'il n'est évident QUE LE TOUT EST PLUS GRAND QUE SA PARTIE? Est-il moins évident et moin","NSPIRÉ La raison vous apprend QUE LE TOUT EST PLUS GRAND QUE SA PARTIE; mais moi je vous apprends, d","(340499, 340539)","(821352, 821392)"
Rousseau_Emile_1,"etite portion du genre humain QUE LA PARTIE EST PLUS GRANDE QUE LE TOUT, que la même chose peut-être "," est un mensonge, qu'il l'est QUE LA PARTIE EST PLUS GRANDE QUE LE TOUT. 
L'INSPIRÉ Quelle différence","(526081, 526122)","(821352, 821392)"
Rousseau_Julie_0,"x et sur moi avec assez d'art POUR NOUS ÔTER LE DROIT DE NOUS EN PLAINDRE; il ridiculisa mon zèle, qu'u","ue la vie puisse être un mal, POUR NOUS ÔTER LE DROIT DE NOUS EN DÉFAIRE, ils disent ensuite qu’elle e","(21077, 21120)","(753871, 753913)"
Rousseau_Julie_1,"t qu'il ignore, s'il se peut, CE QUE JE VIENS DE VOUS MARQUER; sa facilité à s'ouvrir avec ","de beaucoup. 
Vous voyez, par CE QUE JE VIENS DE VOUS MARQUER du baron, que notre réconcili","(25070, 25101)","(753871, 753913)"
Rousseau_Julie_2,"-il d'ailleurs en mon pouvoir DE CROIRE OU DE NE PAS CROIRE? 
EST-CE ma faute, si la vérité m'écha"," M. de Wolmar. 
Est-on maître DE CROIRE OU DE NE PAS CROIRE? EST-CE un crime de n’avoir pas su bi","(241894, 241932)","(753871, 753913)"
Sade_Aline_0,"s d'attendrissement portoient AU FOND DE MON CŒUR JE NE SAIS quoi de doux, que j'eusse pré", quelle voix se fait entendre AU FOND DE MON CŒUR…. JE NE SAIS quel organe secret semble m’a,"(204140, 204170)","(12246, 12278)"
Sade_Aline_1," qui s'est montée à l'unisson DE LA VERTU ET DE LA VÉRITÉ! Fatiguée, dégoutée de ces re"," ce bon peuple dans le chemin DE LA VERTU ET DE LA VÉRITÉ?… «Souverain des Cieux, si je","(304322, 304349)","(12246, 12278)"
Sade_Aline_2,"i voulait me la ravir; qu'aux DÉPENS DE CE QUE J'AI DE PLUS CHER, je prenne la défense du pays","ont ces honneurs, achetés aux DÉPENS DE CE QUE J’AI DE PLUS CHER au monde? Dussai je être le p","(338874, 338908)","(12246, 12278)"
Sade_Aline_3,"le, mais Dieu clément et bon, AYEZ PITIÉ DE MOI,... AYEZ PITIÉ DE MON fils! 
LETTRE 48 Du comte de ","monte ou que je meure —Cruel, AYEZ PITIÉ DE MOI! AYEZ PITIÉ DE MON père et de vous; ne nous engl","(754332, 754371)","(12246, 12278)"
Sade_Infortunes_0,"e que nous leur avons donnée. IL N'EN EST PAS UNE SEULE, QUI ait une antiquité égale à cel","évouées au mépris comme elle, IL N'EN EST PAS UNE SEULE QUI ne porte l'emblème de l'impos","(579155, 579185)","(72527, 72556)"
Segur_Correspondance_0,"et sans l'avoir appris, était LE PLUS POLI DE TOUS LES HOMMES. Par le seul esprit de bienve","ituel, le plus propre à tout, LE PLUS POLI DE TOUS LES HOMMES, lui disait-on. Il ne se reco","(210394, 210425)","(392573, 392604)"
Senac_Emigre_0,"çoivent. 
Ajoute, ma fille, à TOUT CE QUE JE VIENS DE DIRE, les prestiges de la déclamat","es sérieuses et composées. MalGRÉ TOUT CE QUE JE VIENS DE dire, j'espère que votre socié","(495834, 495862)","(707712, 707740)"
Tiphaigne_Galligenes_0,"le privations et mille peines DANS TOUT LE COURS DE SA VIE; elle le rend faible, délicat"," pu lui reprocher d'avoir eu, DANS TOUT LE COURS DE SA VIE, un seul ami. Son cœur ignora","(122928, 122956)","(204458, 204486)"
Voisenon_Histoire_0," ce que je dois à mon prince, CE QUE JE ME DOIS À MOI-MÊME: ET sur quoi fondé? Sur ce que vo","dans vos motifs; mais je sais CE QUE JE DOIS À MOI-MÊME, ET je vous défends de me revoir.","(645255, 645287)","(39846, 39875)"
