,Text in Voltaire_Princesse,Text in B,Location in Voltaire_Princesse,Location in B
Lesuire_Aventurier_0,emple avait été dédié était à PEU PRÈS DANS LE GOÛT DE CELUI QU'ON adora depuis à Lampsaque. Non,dions. C'était là un voyage à PEU PRÈS DANS LE GOÛT DE CELUI QU'ON fait faire aux récipiendaires,"(48342, 48378)","(356535, 356571)"
Loaisel_Comtesse_0,"elle pourrait aller en Arabie EXÉCUTER LES DERNIÈRES VOLONTÉS DE SON OISEAU, et que la justice des dieux "," encore. 
Ce serviteur fidèle EXÉCUTA LES DERNIÈRES VOLONTÉS DE SON MAÎTRE, et l'inhuma, dans le silence","(46162, 46207)","(179833, 179877)"
Loaisel_Lucile_0,"elle pourrait aller en Arabie EXÉCUTER LES DERNIÈRES VOLONTÉS DE SON OISEAU, et que la justice des dieux ","nt encore. 
Ce serviteur fidèlE EXÉCUTA LES DERNIÈRES VOLONTÉS DE SON MAÎTre, et l'inhuma, à côté de l'i","(46162, 46207)","(178293, 178337)"
Maistre_Voyage_0,"adame, lui dit le phénix, est LA CHOSE DU MONDE LA PLUS SIMPLE. Il n'est pas plus surprenant","aurait, au contraire, peindre LA CHOSE DU MONDE LA PLUS SIMPLE sans que l'âme y emploie tout","(56210, 56242)","(50562, 50594)"
Marmontel_Incas_0,"lui avoir donné deux baisers, IL LUI PARLA EN CES MOTS : « MA CHÈRE fille, vous n'avez pu trouver"," et en silence devant l'inca, IL LUI PARLE EN CES MOTS: "" DIGNE fils du dieu que je sers, si ","(41104, 41141)","(53375, 53408)"
Morelly_Naufrage_0,r de l'état de votre santé et DE TOUT CE QUI SE PASSAIT À BABYLONE ; il comptait revenir bientôt,es gens exprès pour l'avertir DE TOUT CE QUI SE PASSAIT; ETAMP; il est aisé de juger combien,"(66135, 66171)","(220791, 220823)"
Riccoboni_MissJenny_0,vec un indigne roi d'Égypte : JE SUIS LE PLUS MALHEUREUX DES HOMMES ; j'ai perdu mon père et le p,"eu! Ah mon dieu! Répétoit-il, JE SUIS LE PLUS MALHEUREUX DES HOMMES! "" ses exclamations me surpri","(75444, 75481)","(397211, 397248)"
Rousseau_Emile_0,"ans qu'il soit de la partie : TOUT CE QUE JE VOUS DEMANDE, C'EST QUE votre grand aumônier boive av"," Vous lui dites sans cesse: "" TOUT CE QUE JE VOUS DEMANDE EST POUR votre avantage; mais vous n'ê","(50844, 50882)","(440938, 440974)"
Rousseau_Julie_0,"ouris, environnés et pénétrés DE LA GLOIRE ET DE LA FÉLICITÉ célestes. 
CHAPITRE VI. 
SUIT",", tu vis maintenant au séjour DE LA GLOIRE ET DE LA FÉLICITÉ; tu vis; et moi, livré eau re","(39354, 39384)","(607813, 607843)"
Sade_120_0,"ard, enflammèrent sa passion. DÈS QUE TOUT LE MONDE FUT RETIRÉ, elle lui écrivit un petit bi"," attendait depuis longtemps ; DÈS QUE TOUT LE MONDE FUT ARRANGÉ, elle poursuivit le récit de ","(102960, 102992)","(620357, 620390)"
Sade_Aline_0,"adame, lui dit le phénix, est LA CHOSE DU MONDE LA PLUS SIMPLE. Il n'est pas plus surprenant","En existe-t-il sous le ciel?… LA CHOSE DU MONDE LA PLUS SIMPLE, est d’être née pour les reve","(56210, 56242)","(250874, 250906)"
Segur_Correspondance_0,"la entrer au plus vite ; j'ai DES CHOSES DE LA DERNIÈRE CONSÉQUENCE À LUI dire, et je veux que vous y s", elle trouvera un homme qui a DES CHOSES DE LA DERNIÈRE CONSÉQUENCE À LUI apprendre. Comme c'était préc,"(64271, 64314)","(535213, 535256)"
Voltaire_Homme_0, raison qu'il n'y avait nulle PROPORTION ENTRE LES DÉLITS ET LES PEINES. On faisait quelquefois souff,"dérés en tout ; mettons de la PROPORTION ENTRE LES DÉLITS ET LES PEINES. 
Pardonnons à ce pauvre Jean","(117450, 117491)","(88235, 88276)"
