,Text in Voltaire_Candide,Text in B,Location in Voltaire_Candide,Location in B
Constant_Laure1_0,"ieur, lui répondit le savant, JE NE PENSE RIEN DE TOUT CELA : je trouve que tout va de tr","ement, que je vous assure que JE NE PENSE RIEN DE TOUT CELA: jamais l'idée de mariage ne ","(127780, 127809)","(41211, 41240)"
Constant_Laure1_1,"'en savais autant que lui, et QUE JE N'AVAIS BESOIN DE PERSONNE POUR être ignorant. 
--- Ah ! voil","é, de faire voir à mon cousin QUE JE N'AVAIS BESOIN DE PERSONNE POUR me garder, n'y entra pour rie","(153809, 153847)","(41211, 41240)"
Cottin_Claire_0,Empire. » Cunégonde se jeta à SES PIEDS ET LES BAIGNA DE LARMES ; il fut inflexible. « Maître," » Frédéric s'est précipité à SES PIEDS, ET LES BAIGNANT DE LARMES : « Je partirai, s'est-il écr","(178536, 178569)","(141700, 141736)"
Crebillon_Conte_0," fouettés dans un auto-da-fé, JE NE VOIS PAS QUE VOUS PUISSIEZ l'emporter sur moi ; ajoutez ","foi qu'elle vous le sacrifie, JE NE VOIS PAS QUE VOUS PUISSIEZ, avec raison, vous plaindre d","(43810, 43842)","(349327, 349359)"
Crebillon_Nuit_0,"it au chirurgien : « Mon bon, DE QUOI VOUS AVISEZ-VOUS AUSSI DE disséquer un hérétique ? Ne s"," sujet de colère. 
CIDALISE. 
DE QUOI VOUS AVISEZ-VOUS AUSSI, DE vous opiniâtrer à entrer dans","(174305, 174338)","(55702, 55736)"
Diderot_Jacques_0," tout était on ne peut mieux. JACQUES N'ÉTAIT PAS DE CET AVIS. « IL faut bien, disait-il, que les"," paraisse également possible, JACQUES N'ÉTAIT PAS DE CET AVIS : IL n'y avait réellement de possi","(18977, 19014)","(38496, 38532)"
Kimber_Thompson_0," le surprit davantage, et qui LUI FIT LE PLUS DE PLAISIR, CE FUT le palais des sciences, dans ","nt de preuves. Une des choses QUI ME FIT LE PLUS DE PLAISIR, CE FUT de recevoir une lettre de mon","(94084, 94118)","(688392, 688429)"
Laclos_Liaisons_0," en physique et en morale.--- JE VOUS AIME DE TOUT MON CŒUR, disait Cunégonde ; mais j'ai"," peine. 
Adieu, mon cher ami. JE VOUS AIME DE TOUT MON CŒUR. Je vous aimerai toute ma vie","(42745, 42774)","(362735, 362764)"
LaPlace_Collection_0,"né de tout ce qu'il avait vu, DE TOUT CE QU'IL AVAIT SOUFFERT, ET encore plus de la charité de ","inda de son extrême fidélité, DE TOUT CE QU'IL AVAIT SOUFFERT, ET de tout ce qu'il lui avait di","(28223, 28258)","(39695, 39730)"
LaPlace_Collection_1, ; avançons ; vous allez être LE PLUS HEUREUX DE TOUS LES HOMMES. Quel plaisir auront Los Padr,"s, je me croirai, sans doute, LE PLUS HEUREUX DE TOUS LES HOMMES.... Mais, je vous en „donne i","(64619, 64653)","(39695, 39730)"
Mirabeau_Conversion_0,"raison et de la justice. Pour MOI, JE NE VOIS RIEN DE SI divin que Los Padres, qui fon","marche bien extraordinaire.---MOI, JE NE VOIS RIEN DE SI naturel.---Je me croyais à l'","(64357, 64383)","(75270, 75296)"
Prevost_Monde_0,"n de physique expérimentale à LA FEMME DE CHAMBRE DE SA MÈRE, petite brune très jolie et t","erchait. Il reconnut aisément LA FEMME-DE-CHAMBRE DE SA MÈRE, et cette vue acheva de le me","(3356, 3386)","(136263, 136293)"
Puttelange_Roi_0," retournant dans sa métairie, FIT DE PROFONDES RÉFLEXIONS SUR LE DISCOURS du Turc. Il dit à Pangloss et","ettre les plus inouis des forfAITS. 
LE ROI GUIOT FIT DE PROFONDES RÉFLEXions sur le discours de l'homm","(185933, 185976)","(105696, 105739)"
Riccoboni_LettreJuliette_0," en physique et en morale.--- JE VOUS AIME DE TOUT MON CŒUR, disait Cunégonde ; mais j'ai"," faire un livre aussi. Adieu, JE VOUS AIME DE TOUT MON CŒUR. 
LETTRE 16 jeudi, à Vinchest","(42745, 42774)","(79657, 79686)"
Riccoboni_LettresFanni_0," en physique et en morale.--- JE VOUS AIME DE TOUT MON CŒUR, disait Cunégonde ; mais j'ai","ne veux pas tout dire. Adieu. JE VOUS AIME DE TOUT MON CŒUR. Lettre 13. 
vendredi à midi.","(42745, 42774)","(12505, 12534)"
Sade_120_0,"ntinuez », dit Candide. 
Elle REPRIT AINSI LE FIL DE SON HISTOIRE : « UN capitaine bulgare entra, il m"," donc s'étant arrangé, Duclos REPRIT AINSI LE FIL DE SON HISTOIRE.---""UN jour,"" dit cette belle fille,","(32366, 32408)","(599816, 599858)"
Segur_Correspondance_0," en physique et en morale.--- JE VOUS AIME DE TOUT MON CŒUR, disait Cunégonde ; mais j'ai","adame; dites-vous souvent que JE VOUS AIME DE TOUT MON CŒUR. 
LETTRE XX. 
Madrid, 29 août","(42745, 42774)","(80630, 80659)"
Senac_Emigre_0,", et allons à Cadix ; il fait LE PLUS BEAU TEMPS DU MONDE, ET c'est un grand plaisir de voy","de Wergentheim. 
Il a fait hieR LE PLUS BEAU TEMPS DU MONDE, et mon oncle, qui était de bon","(39935, 39966)","(371227, 371258)"
