,Text in Sade_Justine,Text in B,Location in Sade_Justine,Location in B
Genlis_Chevaliers_0,"oulait me dire cet homme, que JE NE FERMAI PAS L'ŒIL DE LA NUIT. J'arrive enfin à l'adresse i"," amoureux de tous les hommes. JE NE FERMAI PAS L'ŒIL DE LA NUIT; je me levai avec le jour, et","(452624, 452657)","(359248, 359281)"
Kimber_Thompson_0," de mort ? Quoi qu'il en fût, QUAND JE REPRIS MES SENS, JE ME TROUVAI dans un excellent lit et deux","ong-temps dans cet état; mais QUAND JE REPRIS MES SENS, JE ME TROUVAI entre les mains de deux ou tr","(401463, 401502)","(128126, 128165)"
Laclos_Liaisons_0,"ler, monsieur ? répondis-je ; JE NE DEMANDE PAS MIEUX QUE DE rendre ceux que la décence et","edevenez donc aimable. Tenez, JE NE DEMANDE PAS MIEUX QUE DE vous trouver charmant ; et dè","(28904, 28934)","(725437, 725467)"
Lagrave_Zabeth_0,"ame, vous ici m'écriai-je. 
--TOUT CE QUI VIENT DE SE PASSER est mon ouvrage, me répondit ","vez être étonné, monsieur, de TOUT CE QUI VIENT DE SE PASSER vis-à-vis de vous? La mission","(581044, 581074)","(297686, 297716)"
LaPlace_Collection_0,"t pas sans mérite à vos yeux, JE NE VOUS DEMANDE POUR TOUTE RÉCOMPENSE que de me conduire avec vous ","e vous l'accorde d'avance, et JE „NE VOUS DEMANDE, POUR TOUTE FAVEUR, que la „licence de faire val","(101048, 101088)","(247686, 247724)"
LaPlace_Collection_1,"pire, je ne me repentis point DE CE QUE JE VENAIS DE FAIRE... Rodin, m'ayant fait habill"," que je me félicitai moi-même DE CE QUE JE VENAIS DE FAIRE. “Le chevalier, „me disais-je","(198967, 198995)","(247686, 247724)"
Leonard_Lettres_0,uefois la faiblesse de croire QUE JE NE LUI ÉTAIS PAS INDIFFÉRENTE. Mais combien l'excès de ses ," d'une aimable rougeur je vis QUE JE NE LUI ÉTAIS PAS INDIFFÉRENT. 
Nous passions des jours tra","(125550, 125586)","(236317, 236352)"
Leonard_Lettres_1,"
Mais non seulement, Thérèse, TOUS LES PEUPLES DE LA TERRE JOUIRENT des droits les plus étendus s",d'une autre vie a existé chez TOUS LES PEUPLES DE LA TERRE; TOUTES les bouches l'ont publié; tou,"(438716, 438753)","(236317, 236352)"
Lesuire_Aventurier_0,ait cent mille écus de rente. IL N'EN FALLAIT PAS DAVANTAGE POUR FAIRE sa réputation ; l'aveuglement,émoignai quelques attentions. IL N'EN FALLAIT PAS DAVANTAGE POUR FAIRE prendre feu à ce laid personn,"(17127, 17167)","(448554, 448594)"
Lesuire_Aventurier_1,"âmes plus qu'à nous reposer. 
IL Y A DES MOMENTS DANS LA VIE OÙ l'on se trouve fort riche san"," vous me plaindrez peut-être. IL Y A DES MOMENT, DANS LA VIE, OÙ la tentation est au-dessus de","(99470, 99503)","(448554, 448594)"
Lesuire_Crime_0,"le compagne dans les pleurs ; JE FIS CE QUE JE PUS POUR LA calmer, mais il n'est pas ais","silence, un torrent de larmes. 
JE FIS CE QUE JE PUS POUR la consoler, il me semblait qu","(374482, 374510)","(817956, 817984)"
Loaisel_Comtesse_0,"urcil épais, l'œil vif, l'air DE LA FORCE ET DE LA SANTÉ, mais en même temps du libert","uleurs, la comtesse reprenait DE LA FORCE ET DE LA SANTÉ. Elle dut son rétablissement ","(175526, 175552)","(139631, 139657)"
Loaisel_Lucile_0,"urcil épais, l'œil vif, l'air DE LA FORCE ET DE LA SANTÉ, mais en même temps du libert","douleurs, la comtesse reprenaiT DE LA FORCE ET DE LA SANté. Elle dut son rétablissemen","(175526, 175552)","(138353, 138379)"
Marmontel_Contes_0,"ux que vous exigez de moi. 
--LA CHOSE DU MONDE LA PLUS RIDICULE sans doute, ma chère Thérèse,","; et un mari tel que le mien, LA CHOSE DU MONDE LA PLUS RIDICULE et la plus affligeante pour m","(325663, 325697)","(179800, 179834)"
Marmontel_Incas_0,"nt et ouvrant la porte, voilà TOUT CE QUE JE PUIS POUR VOUS ; consentez-y, ou délivrez-mo","e, savez-vous qui je suis, et TOUT CE QUE JE PUIS POUR VOUS? Je n'ai point d'armes, mais ","(33102, 33131)","(500563, 500592)"
Mercier_An_0,telle avait été la récompense DE TOUT CE QUE JE VENAIS DE faire pour ce malheureux ; et,rsai avec plusieurs personnes DE TOUT CE QUE JE VENAIS DE voir d'entendre : ils étaient,"(104242, 104269)","(286131, 286158)"
Mercier_Jezennemours_0,"out de jamais dire un mot, et DE CE QUE JE TE DIS, ET de ce que tu vas voir. 
Il ét",n jour par toi-même la vérité DE CE QUE JE TE DIS. ET ma bouche et mon cœur lui rép,"(181196, 181219)","(249334, 249357)"
Mirabeau_Rideau_0,ait été la récompense de tout CE QUE JE VENAIS DE FAIRE POUR ce malheureux ; et portant l',"désirais qu'elle fit pour moi CE QUE JE VENAIS DE FAIRE POUR elle; mais mon papa, couvrant","(104250, 104280)","(38942, 38972)"
Morelly_Naufrage_0,"
Mais non seulement, Thérèse, TOUS LES PEUPLES DE LA TERRE JOUIRENT des droits les plus étendus s",ue la Providence voulant unir TOUS LES PEUPLES DE LA TERRE PAR les liens d'une mutuelle corr,"(438716, 438753)","(270129, 270161)"
Nerciat_Aphrodites_0,"us avisez de dire un seul mot DE CE QUI VIENT DE SE PASSER, en vous chargeant des crimes","e malheureux Comte avait été tÉMOIN DE CE QUI VIENT DE SE passer dans l'enceinte, si mal","(599453, 599481)","(277805, 277833)"
Nerciat_Etourdi_0," et tu connaîtras de tous les PLAISIRS LE PLUS VIF ET LE PLUS piquant. 
Roland sortit en di","ré pour désigner également le PLAISIR LE PLUS VIF ET LE PLUS vrai, et la colère la mieux c","(511104, 511135)","(96325, 96355)"
Nerciat_Felicia_0,du désir que j'avais de voler AU-DEVANT DE TOUT CE QUI POUVAIT lui plaire ; il ne se pouvait,"ts m'intéressèrent, et je fus AU-DEVANT DE TOUT CE QUI POUVAIT la justifier. Je compris que,","(125074, 125106)","(162456, 162488)"
Prevost_Manon_0,"fiée de leur conduite. 
-- Ah MONSIEUR, LUI DIS-JE EN TREMBLANT, VOUS me faites frémir, où me menez"," 
Enfin j'ouvris la bouche. « MONSIEUR, LUI DIS-JE EN TREMBLANT, VOUS êtes un bon père. Vous m'avez","(479397, 479436)","(278954, 278993)"
Prevost_Monde_0,"cheminons à pied vers Bondy. 
IL ÉTAIT ENVIRON CINQ HEURES DU SOIR lorsque nous entrâmes dans la",ommage à sa fidèle maîtresse. IL ÉTAIT ENVIRON CINQ HEURES DU SOIR. Mon laquais vint m'avertir q,"(103003, 103039)","(352819, 352855)"
Puget_Periphas_0,es grâces et de la volupté... IL NE SAIT PLUS OÙ IL EN EST ; son ivresse est au point de,A ce vacarme Hyperion fremit. IL NE SAIT PLUS OÙ IL EN EST: les siens l'ignorent encore ,"(185911, 185939)","(293196, 293224)"
Retif_AntiJustine_0,le avait été la récompense de TOUT CE QUE JE VENAIS DE FAIRE pour ce malheureux ; et porta,"hez mon père, je lui racontai TOUT CE QUE JE VENAIS DE FAIRE. « Il ne faut pas, me dit-il,","(104245, 104275)","(228157, 228187)"
Retif_Paysanne_0,"urtout de jamais dire un mot, ET DE CE QUE JE TE DIS, et de ce que tu vas voir. 
I","ment je leur parlerai de toi, ET DE CE QUE JE TE DIS ici en finissant. 
Il n'y a q","(181193, 181215)","(178990, 179012)"
Retif_Paysanne_1,sant fortement cette partie ; JE N'AI JAMAIS RIEN VU DE SI bien attaché : ce sera divin ,"'avoir une réponse favorable. JE N'AI JAMAIS RIEN VU DE SI beau que vos yeux, comme je n","(568029, 568057)","(178990, 179012)"
Rosny_Firmin_0,ait cent mille écus de rente. IL N'EN FALLAIT PAS DAVANTAGE POUR FAIRE sa réputation ; l'aveuglement, inscrit sur la fatale liste. IL N'EN FALLAIT PAS DAVANTAGE POUR FAIRE prononcer sa condamnation ; c,"(17127, 17167)","(159558, 159598)"
Rousseau_Emile_0,"ilà dérangé. Si l'égoïsme est LA PREMIÈRE LOI DE LA NATURE, C'EST bien sûrement plus qu'ailleur","'impossibilité d'y vivre; car LA PREMIÈRE LOI DE LA NATURE EST le soin de se conserver. 
Ain","(338385, 338420)","(488844, 488876)"
Rousseau_Emile_1," l'inquiétude se réveillèrent DANS MON CŒUR. 
--IL FAUT QUE JE sache comment vous êtes faite"," moment. emporte vos discours DANS MON CŒUR, IL FAUT QUE JE les médite. Si, après m'être ","(394871, 394903)","(488844, 488876)"
Rousseau_Emile_2,"ous l'allez voir, mon enfant, LUI DIT LE MAÎTRE DE LA MAISON en l'attirant brusquement ver","ment des voyageurs. Monsieur, LUI DIT LE MAÎTRE DE LA MAISON, vous me paraissez un jeune h","(571635, 571665)","(488844, 488876)"
Rousseau_Julie_0,"tres à qui elle est refusée ? JE NE SUIS DONC PAS TOUT À FAIT malheureuse, puisqu'il en est","et ton honneur est en sûreté: JE NE SUIS DONC PAS TOUT-À-FAIT misérable. 
Ne manque pas au ","(386903, 386934)","(288203, 288234)"
Rousseau_Julie_1,"re ma complice ? Je te sauve, IL EST PLUS FORT QUE MOI DE te voir échouer sans cesse da","ent que vous m’avez donné, qu’IL EST PLUS FORT QUE MOI DE raisonnement et qu’il ne faut","(582816, 582843)","(288203, 288234)"
Sade_120_0,"nde avait seize ans ; c'était UNE DES PLUS BELLES BLONDES QU'IL FÛT POSSIBLE DE VOIR, des traits vraiment délicieu"," demander une nommée Rosalie, UNE DES PLUS BELLES BLONDES QU'IL FÛT POSSIBLE DE VOIR, je fus curieuse d'observer c","(273609, 273663)","(220322, 220376)"
Sade_120_1," une habitation ; c'est donc, AINSI QUE JE VIENS DE LE DIRE, par une trappe donnant dans "," moins que dans le cas forcé, AINSI QUE JE VIENS DE LE DIRE, il fallait que ce fussent de","(278709, 278738)","(220322, 220376)"
Sade_120_2,"de de la sorte d'organisation QUE NOUS AVONS REÇUE DE LA NATURE Cela posé, je le demande, de ","dégrade tout à fait la fierté QUE NOUS AVONS REÇUE DE LA NATURE, avec tous les défauts \[dis-","(326117, 326150)","(220322, 220376)"
Sade_120_3,"au sein du crime Que dis-je ? IL EST DONC VRAI QUE LE CRIME seul l'éveille et le décide, ",","" dit le duc, en s'écriant, ""IL EST DONC VRAI QUE LE CRIME a par lui-même un tel attrait","(456073, 456102)","(220322, 220376)"
Sade_Aline_0,"eut résulter de cette liqueur OÙ NOUS AVONS LA FOLIE D'ATTACHER TANT DE PRIX, elle nous en permet la perte","étrir cette fleur imaginaire, OÙ NOUS AVONS LA FOLIE D’ATTACHER TANT DE PRIX; de cette règle sont pourtant","(74577, 74623)","(434707, 434753)"
Sade_Aline_1," les supposer, qui ne dépende DE LA SORTE D'ORGANISATION QUE NOUS AVONS REÇUE DE LA NATURE Cela posé, je le demande, de ","qu’elle n’est que le résultat DE LA SORTE D’ORGANISATION QUE NOUS AVONS REÇUE DE LA NATURE, que chaque genre d’organisat","(326090, 326150)","(434707, 434753)"
Sade_Aline_2,"ne personne de quinze ans, de LA FIGURE LA PLUS AGRÉABLE ET LA PLUS délicate : elle leva ses beau","ans, taillé comme Hercule, et LA FIGURE LA PLUS AGRÉABLE ET LA PLUS animée: on l’appelait Rompa-T","(364021, 364058)","(434707, 434753)"
Sade_Aline_3,ino en se retirant ; j'ai cru QUE POUR LA PREMIÈRE FOIS DE MA VIE j'échouerais près du port... ,"e besoin que j’en ai est tel, QUE POUR LA PREMIÈRE FOIS DE MA VIE, je ne sais pas même si je vo","(368804, 368839)","(434707, 434753)"
Sade_Aline_4," je devais finir mes jours, à PLUS DE CINQUANTE MILLE LIVRES DE RENTE. Je te le répète, ma chère, j","i quelques années en paix, de PLUS DE CINQUANTE MILLE LIVRES DE RENTES à Londres, qu’il avait choisi","(546145, 546184)","(434707, 434753)"
Sade_Infortunes_0,"rait de développer les moyens DONT LA PROVIDENCE SE SERT POUR PARVENIR AUX FINS QU'ELLE SE PROPOSE SUR L'HOMME, ET DE TRACER, D'APRÈS CELA, QUELQUES PLANS DE CONDUITE QUI PUSSENT FAIRE CONNAÎTRE À CE MALHEUREUX INDIVIDU BIPÈDE la manière dont il faut qu'il","our sur l'obscurité des voies DONT LA PROVIDENCE SE SERT POUR PARVENIR AUX FINS QU'ELLE SE PROPOSE SUR L'HOMME, ET DE TRACER D'APRÈS CELA QUELQUE PLAN DE CONDUITE QUI PÛT FAIRE CONNAÎTRE À CE MALHEUREUX INDIVIDU BIPÈDE, perpétuellement ballotté par","(76, 272)","(81, 269)"
Sade_Infortunes_1,"e épineuse de la vie, afin de PRÉVENIR LES CAPRICES BIZARRES DE CETTE FATALITÉ À LAQUELLE ON DONNE VINGT NOMS DIFFÉRENTS, SANS ÊTRE ENCORE PARVENU ni à la connaître, ni à la dé"," qu'il faut qu'il tienne pour PRÉVENIR LES CAPRICES BIZARRES DE CETTE FATALITÉ À LAQUELLE ON DONNE VINGT NOMS DIFFÉRENTS, SANS ÊTRE ENCORE PARVENU à la définir. 
Car si, partan","(355, 471)","(81, 269)"
Sade_Infortunes_2,"r. 
Si, plein de respect pour NOS CONVENTIONS SOCIALES, ET NE S'ÉCARTANT JAMAIS des digues qu'elles nous impo"," définir. 
Car si, partant de NOS CONVENTIONS SOCIALES ET NE S'ÉCARTANT JAMAIS du respect qu'on nous inculqu","(535, 584)","(81, 269)"
Sade_Infortunes_3,"ncontré que des ronces, quand LES MÉCHANTS NE CUEILLAIENT QUE DES ROSES, DES GENS PRIVÉS D'UN FOND DE VERTUS ASSEZ CONSTATÉ POUR SE METTRE AU-DESSUS de ces remarques ne calculero","ontré que des épines, lorsque LES MÉCHANTS NE CUEILLAIENT QUE DES ROSES, DES GENS PRIVÉS D'UN FONDS DE VERTU ASSEZ CONSTATÉ POUR SE METTRE AU-DESSUS des réflexions fournies par c","(693, 811)","(81, 269)"
Sade_Infortunes_4,"lculeront-ils pas alors qu'il VAUT MIEUX S'ABANDONNER AU TORRENT QUE D'Y RÉSISTER ? NE DIRONT-ILS PAS QUE LA VERTU, QUELQUE BELLE QU'ELLE soit, devient pourtant le plu","lculeront-ils pas qu'alors il VAUT MIEUX S'ABANDONNER AU TORRENT QUE D'Y RÉSISTER, NE DIRONT-ILS PAS QUE LA VERTU TELLE BELLE QU'ELLE soit, quand malheureusement e","(864, 971)","(81, 269)"
Sade_Infortunes_5,"u'elle soit, devient pourtant LE PLUS MAUVAIS PARTI QU'ON PUISSE PRENDRE, quand elle se trouve trop fa","utter contre le vice, devient LE PLUS MAUVAIS PARTI QU'ON PUISSE PRENDRE et que dans un siècle entière","(995, 1037)","(81, 269)"
Sade_Infortunes_6,"e pour lutter contre le vice, ET QUE DANS UN SIÈCLE ENTIÈREMENT CORROMPU, LE PLUS SÛR EST DE FAIRE COMME LES AUTRES ? UN PEU PLUS INSTRUITS, SI L'ON VEUT, ET ABUSANT DES LUMIÈRES QU'ILS ONT ACQUISES, NE DIRONT-ILS PAS AVEC L'ANGE JESRAD, DE ZADIG, QU'IL N'Y A AUCUN MAL DONT IL NE NAISSE UN BIEN, et qu'ils peuvent, d'après c","is parti qu'on puisse prendre ET QUE DANS UN SIÈCLE ENTIÈREMENT CORROMPU LE PLUS SÛR EST DE FAIRE COMME LES AUTRES ? UN PEU PLUS INSTRUITS SI L'ON VEUT, ET ABUSANT DES LUMIÈRES QU'ILS ONT ACQUISES, NE DIRONT-ILS PAS AVEC L'ANGE JESRAD DE ZADIG QU'IL N'Y A AUCUN MAL DONT IL NE NAISSE UN BIEN ; n'ajouteront-ils pas à cela","(1100, 1365)","(81, 269)"
Sade_Infortunes_7,"ils pas qu'il est indifférent AU PLAN GÉNÉRAL, QUE TEL OU TEL SOIT BON OU MÉCHANT DE PRÉFÉRENCE ; QUE SI LE MALHEUR PERSÉCUTE LA VERTU ET QUE LA PROSPÉRITÉ ACCOMPAGNE LE CRIME, LES CHOSES ÉTANT ÉGALES AUX VUES DE LA NATURE, IL VAUT INFINIMENT MIEUX PRENDRE PARTI PARMI LES MÉCHANTS QUI PROSPÈRENT, QUE PARMI LES VERTUEUX QUI ÉCHOUENT ? IL EST DONC IMPORTANT DE PRÉVENIR CES SOPHISMES dangereux d'une fausse philos"," d'après cela il devient égal AU PLAN GÉNÉRAL QUE TEL OU TEL SOIT BON OU MÉCHANT DE PRÉFÉRENCE ; QUE SI LE MALHEUR PERSÉCUTE LA VERTU, ET QUE LA PROSPÉRITÉ ACCOMPAGNE PRESQUE TOUJOURS LE VICE, LA CHOSE ÉTANT ÉGALE AUX VUES DE LA NATURE, IL VAUT INFINIMENT MIEUX PRENDRE PARTI PARMI LES MÉCHANTS QUI PROSPÈRENT QUE PARMI LES VERTUEUX QUI PÉRISSENT ? IL EST DONC IMPORTANT DE PRÉVENIR CES SOPHISMES dangereux de la philosophie, ","(1530, 1883)","(81, 269)"
Sade_Infortunes_8,"i les vertueux qui échouent ? IL EST DONC IMPORTANT DE PRÉVENIR CES SOPHISMES DANGEREUX D'UNE FAUSSE PHILOSOPHIE ; ESSENTIEL DE FAIRE VOIR QUE LES EXEMPLES DE vertu malheureuse, présentés "," les vertueux qui périssent ? IL EST DONC IMPORTANT DE PRÉVENIR CES SOPHISMES DANGEREUX DE LA PHILOSOPHIE, ESSENTIEL DE FAIRE VOIR QUE LES EXEMPLES DE la vertu malheureuse présenté","(1836, 1964)","(81, 269)"
Sade_Infortunes_9,"aire voir que les exemples de VERTU MALHEUREUSE, PRÉSENTÉS À UNE ÂME CORROMPUE, DANS LAQUELLE IL RESTE POURTANT QUELQUES BONS PRINCIPES, PEUVENT RAMENER CETTE ÂME AU BIEN TOUT AUSSI SÛREMENT QUE SI ON LUI EÛT MONTRÉ DANS CETTE ROUTE DE LA VERTU LES PALMES LES PLUS BRILLANTES ET LES PLUS FLATTEUSES RÉCOMPENSES. IL EST CRUEL SANS DOUTE D'AVOIR À PEINDRE UNE FOULE DE MALHEURS ACCABLANT LA FEMME DOUCE ET SENSIBLE QUI RESPECTE LE MIEUX LA VERTU, ET D'UNE AUTRE part l'affluence des prospéri","e voir que les exemples de la VERTU MALHEUREUSE PRÉSENTÉS À UNE ÂME CORROMPUE DANS LAQUELLE IL RESTE ENCORE POURTANT QUELQUES BONS PRINCIPES, PEUVENT RAMENER CETTE ÂME AU BIEN TOUT AUSSI SÛREMENT QUE SI ON LUI EÛT OFFERT DANS CETTE ROUTE DE LA VERTU LES PALMES LES PLUS BRILLANTES ET LES PLUS FLATTEUSES RÉCOMPENSES. IL EST CRUEL SANS DOUTE D'AVOIR À PEINDRE UNE FOULE DE MALHEURS ACCABLANT LA FEMME DOUCE ET SENSIBLE QUI RESPECTE LE MIEUX LA VERTU, ET D'UNE AUTRE part la plus brillante fortun","(1965, 2394)","(81, 269)"
Sade_Infortunes_10,"ment que si on lui eût montré DANS CETTE ROUTE DE LA VERTU LES PALMES LES PLUS BRILLANTES ET LES PLUS FLATTEUSES RÉCOMPENSES. IL EST CRUEL SANS DOUTE D'AVOIR À PEINDRE UNE FOULE DE MALHEURS ACCABLANT LA FEMME DOUCE ET SENSIBLE QUI RESPECTE LE MIEUX LA VERTU, ET D'UNE AUTRE PART l'affluence des prospérités s","ment que si on lui eût offert DANS CETTE ROUTE DE LA VERTU LES PALMES LES PLUS BRILLANTES ET LES PLUS FLATTEUSES RÉCOMPENSES. IL EST CRUEL SANS DOUTE D'AVOIR À PEINDRE UNE FOULE DE MALHEURS ACCABLANT LA FEMME DOUCE ET SENSIBLE QUI RESPECTE LE MIEUX LA VERTU, ET D'UNE AUTRE PART la plus brillante fortune che","(2151, 2399)","(81, 269)"
