,Text in Prevost_Monde,Text in B,Location in Prevost_Monde,Location in B
Charriere_Femmes_0,"erchait. Il reconnut aisément LA FEMME-DE-CHAMBRE DE SA MÈRE, et cette vue acheva de le me","n cousin, celui-ci va trouver LA FEMME DE CHAMBRE DE SA MÈRE, qui avait été sa nourrice et","(136263, 136293)","(93374, 93404)"
Constant_Laure1_0,"ndra de moi le nouveau lustre DE LA FORTUNE ET DE LA VERTU. J'étais incertaine, il y a d","puisqu'il dépendra du hasard, DE LA FORTUNE ET DE LA VERTU des hommes. Je sais que vous ","(284210, 284238)","(189084, 189112)"
Constant_Laure2_0,"olitaire recula d'étonnement. JE NE DOUTAI PAS QUE CE NE FÛT une partie concertée, pour le","x que l'on porte aujourd'hui; JE NE DOUTAI PAS QUE CE NE FUT une épigramme, sur ce que je ","(175482, 175512)","(20442, 20472)"
Cottin_Claire_0,"urprend dans ses caresses, et TOUT CE QUI SE PASSE DANS CE cœur volage. Proprement il n'","u'il m'a vue, mais qu'il sait TOUT CE QUI SE PASSE DANS MON cœur. J'avais espéré pourtant","(337284, 337312)","(140010, 140039)"
Crebillon_Atheniennes_0,"ttre mon départ au lendemain, LA LIAISON QUE JE VENAIS DE FORMER avec lui, ne m'aurait pas per","il n'entrerait pour rien dans LA LIAISON QUE JE VENAIS DE FORMER. Je vis, à n'en pouvoirplus d","(216661, 216695)","(203216, 203250)"
Crebillon_Conte_0,"urprend dans ses caresses, et TOUT CE QUI SE PASSE DANS CE cœur volage. Proprement il n'",patience que de vous raconter TOUT CE QUI SE PASSA DANS CE temps de trouble et de terreu,"(337284, 337312)","(314857, 314885)"
Crebillon_Conte_1, et par conséquent d'éloigner TOUT CE QUI POUVAIT LA FORTIFIER DANS la sienne. Il s'y prit avec t," du soupçon, n'oublia rien de TOUT CE QUI POUVAIT LA FORTIFIER DANS son esprit; et sans paraître ","(459387, 459424)","(314857, 314885)"
Diderot_Religieuse_0," de , fils de m le comte de , LIEUTENANT-GÉNÉRAL DES ARMÉES DU ROI, ET RICHE de cinquante mille livres de "," et militaire de Saint-Louis, LIEUTENANT GÉNÉRAL DES ARMÉES DU ROI ET GOUVERNEUR de l'École royale militaire. ","(225725, 225771)","(17609, 17659)"
Diderot_Religieuse_1," vous prier de la reconduire, POUR LE RESTE DE SA VIE, DANS son cher asile d'Odenbourg. E","une créature innocente jetée, POUR LE RESTE DE SA VIE, DANS le fond d'un cachot. Secourez","(509385, 509414)","(17609, 17659)"
Doppet_Memoires_0, nous alarmer pour elle: mais JE NE CONNAISSAIS PAS ENCORE LA SOURCE des vrais dangers; et je me s," dans un genre de détails que JE NE CONNAISSAIS PAS ENCORE. A LA VUE des théâtres, je substituai c","(456309, 456347)","(67830, 67868)"
Dorat_Sacrifices_0,", soyez-le donc par moi-même. IL Y A SIX ANS QUE JE SUIS ENTRÉ DANS cette maison; c'est pour moi ","t n'en est pas moins agitée. 
IL Y A SIX ANS QUE JE SUIS ENTRÉ DANS le monde. L'ardeur de m'avanc","(102582, 102619)","(1336, 1373)"
Dorat_Sacrifices_1,"fidélité de mes soins. Ainsi, DANS UN ÂGE OÙ L'ON SE CONNAÎT À PEINE, et d'un sexe qui n'est capab",". j'ai prononcé en tremblant, DANS UN ÂGE OÙ L'ON SE CONNAÎT À PEINE, un serment que je détestai t","(422039, 422077)","(1336, 1373)"
Fievee_Dot_0,"uer beaucoup plus long-temps, SANS QUE JE FUSSE TENTÉ DE L'INTERROMPRE. Dès les premiers mots, son e",parler bien long-temps encore SANS QUE JE FUSSE TENTÉE DE L'INTERROMPRE; trop de réflexions m'agitaie,"(103833, 103873)","(30682, 30723)"
Genlis_Adele_0,"qu'elle voyait, par l'exemple DE SON PÈRE ET DE SA MÈRE, qu'il était bien triste de p",ur d'être élevé loin des yeux DE SON PÈRE ET DE SA MÈRE; son devoir est de les chérir,"(187423, 187448)","(1292579, 1292604)"
Genlis_Adele_1,"urprend dans ses caresses, et TOUT CE QUI SE PASSE DANS CE cœur volage. Proprement il n'"," ... Vous ne pouvez concevoir TOUT CE QUI SE PASSE DANS MON cœur, non; quoique vous le co","(337284, 337312)","(1292579, 1292604)"
Genlis_Chevaliers_0,dant ma réponse fut vague; et LE SERMENT QUE JE VENAIS DE FAIRE commençant à me causer de l'e,"rit dans les siens, et répéta LE SERMENT QUE JE VENAIS DE FAIRE. 
Dans cet instant, le bruit ","(23017, 23050)","(489767, 489800)"
Genlis_Chevaliers_1,"ieur, conclut Mademoiselle De AVEC AUTANT DE GRÂCES QUE DE POLITESSE, les deux femmes que vous voy","de leur voyage, il les traita AVEC AUTANT DE GRÂCES QUE DE POLITESSE; Isambard même, quoique exces","(327423, 327461)","(489767, 489800)"
Genlis_Chevaliers_2,"u mérite, animé peut-être par LES CHARMES DE LA JEUNESSE ET DE LA beauté, a pu me faire sortir ","dons de la nature, et de tous LES CHARMES DE LA JEUNESSE ET DE LA pudeur, Abassa parut à mes ye","(422865, 422900)","(489767, 489800)"
Gerard_Comte_0,. Je le voyais comme enséveli DANS LES OMBRES DE LA MORT; ET quoique son poulx eût repris ,nfaiteur; et que je précipite DANS LES OMBRES DE LA MORT CELUI qui m'a donné le jour? Est-il,"(26627, 26657)","(339113, 339145)"
Gerard_Comte_1,"les jours; et c'en était une, QUI VENAIT DE SE PASSER SOUS MES yeux. Nouveau sujet d'exercic","à vivre comme elle! 
Après ce QUI VENAIT DE SE PASSER SOUS MES ieux, et qui, malgré le coura","(59967, 59999)","(339113, 339145)"
Kimber_Thompson_0,"de la religion, s'il n'avait éTÉ LA SOURCE DE TOUS LES MALHEURS de ma famille et des miens. M",s dans ce fatal moment qui a éTÉ LA SOURCE DE TOUS LES MALHEURS que j'ai essuyés par la suite,"(106233, 106266)","(294841, 294874)"
Laclos_Liaisons_0,"re. Mais auparavant, souffrez QUE JE NE PERDE PAS DE VUE l'espérance que vous m'avez d"," celle de la petite Volanges, QUE JE NE PERDS PAS DE VUE, j'ai pris le parti de me fai","(399548, 399574)","(185871, 185897)"
Laclos_Liaisons_1,"e parut avec la supérieure. à PEINE AVAIS-JE EU LE TEMPS DE distinguer ses traits, dans l","e est tombée dans mes bras. A PEINE AVAIS-JE EU LE TEMPS DE l'y recevoir, que, se dégagea","(429325, 429354)","(185871, 185897)"
Lagrave_Sophie_0,"ises au couvent. à la vérité, DEUX RUISSEAUX DE LARMES COULAIENT SUR SES JOUES; mais lorsque ses yeux se fur","chevalier, il était méconnaissABLE; DEUX RUISSEAUX DE LARMES COULAIENT SUR SES joues décolorées; il me tenai","(680882, 680930)","(86848, 86896)"
Lagrave_Sophie_1,"rincipes. Si je ne lisais pas TOUT CE QUI SE PASSAIT DANS SON cœur, j'en connaissais si par","x fixément arrêtés sur lui, je POUVAIS JUGER DE TOUT CE QUI Se passait dans son âme. 
Enfin","(761470, 761501)","(86848, 86896)"
Lagrave_Zabeth_0,"qu'elle voyait, par l'exemple DE SON PÈRE ET DE SA MÈRE, qu'il était bien triste de p","les croisées de l'appartement DE SON PÈRE ET DE SA MÈRE. Ces lieux, témoins de son en","(187423, 187448)","(30424, 30449)"
Lagrave_Zabeth_1,"ui connaissais pour une femme QUI LUI AVAIT TENU LIEU DE MÈRE, m'ayant fait craindre quelqu",échirant d'une femme mourante QUI LUI AVAIT TENU LIEU DE MÈRE! Son courage était à chaque i,"(752398, 752429)","(30424, 30449)"
LaPlace_Collection_0,"ment diminua si peu, qu'ayant EMPLOYÉ LE RESTE DU JOUR ET LE LENDEMAIN à me procurer un puissant sop",es fis partir sur le champ. J'EMPLOYAI LE RESTE DU JOUR ET LE LENDEMAIN avec bien plus de tranquillit,"(119236, 119276)","(377083, 377124)"
Lesuire_Aventurier_0,"urprend dans ses caresses, et TOUT CE QUI SE PASSE DANS CE cœur volage. Proprement il n'",que façon le cours de ma vie. TOUT CE QUI SE PASSE DANS CE donjon terrible doit être cac,"(337284, 337312)","(662911, 662939)"
Lesuire_Aventurier_1,"ait encore la tête tournée, j'AJOUTAI TOUT CE QUE JE PUS IMAGINER DE vif et d'attendrissant. Le mo", que rien n'est plus vrain; j'AJOUTAI TOUT CE QUE JE PUS IMAGINER DE plus convaincant pour prouver,"(365330, 365368)","(662911, 662939)"
Lesuire_Crime_0,"qu'elle voyait, par l'exemple DE SON PÈRE ET DE SA MÈRE, qu'il était bien triste de p","e à le détruire dans l'esprit DE SON PÈRE ET DE SA MÈRE, afin que l'héritage leur res","(187423, 187448)","(148151, 148176)"
Marmontel_Belisaire_0, dans la composition desquels TOUTES LES LOIS DE LA NATURE ET DE la raison sont anéanties.Vous,"l'industrie, fouler aux pieds TOUTES LES LOIS DE LA NATURE ET DE l'équité, et chercher dans la","(263192, 263226)","(25784, 25818)"
Marmontel_Contes_0,"a rapidité de sa marche, dans LE CHEMIN DE L'HONNEUR ET DE LA fortune. Ma chaise, où je ren",de honteux aux yeux du monde: LE CHEMIN DE L'HONNEUR ET DE LA vertu est ouvert pour vous; e,"(55417, 55448)","(497118, 497149)"
Mercier_Jezennemours_0,"urprend dans ses caresses, et TOUT CE QUI SE PASSE DANS CE CŒUR volage. Proprement il n'aime ","lui répétai-je, vous exprimer TOUT CE QUI SE PASSE DANS CE CŒUR; il n'est que trop vrai que c","(337284, 337317)","(169995, 170028)"
Mercier_Jezennemours_1,"e parut avec la supérieure. à PEINE AVAIS-JE EU LE TEMPS DE distinguer ses traits, dans l",dans la profondeur du bois. à-PEINE AVAIS-JE EU LE TEMPS DE regarder pourquoi il prenait ,"(429325, 429354)","(169995, 170028)"
Nerciat_Felicia_0,"e j'arrosai de mes larmes; et PASSANT LES BRAS AUTOUR DE LUI, JE LE tins étroitement embrassé, pe"," trouver en dormant ; j'avais PASSÉ MES BRAS AUTOUR DE LUI ; JE LE serrais contre mon sein, avec","(158021, 158058)","(298505, 298541)"
Nerciat_Felicia_1,"entre hommes: ou bien, reprit-IL APRÈS UN MOMENT DE RÉFLEXION, VOUS me trahirez, si vous l'aimez ","plus sage que moi, répliqua-t-IL, APRÈS UN MOMENT DE RÉFLEXION, VOUS avez deviné tout ce que je pe","(305404, 305441)","(298505, 298541)"
Prevost_Manon_0,"esur le quai du grand sérail, UN PEU AU-DESSUS DE LA PORTE DE la marine. Un reste de jour, ",ous rendîmes dans un carrosse UN PEU AU-DESSOUS DE LA PORTE DE l'hôpital. Nous n'y fûmes pas,"(669222, 669253)","(164802, 164834)"
Prevost_Manon_1,"ez juste sur notre situation. NON, LUI DIS-JE; IL NE FAUT PAS nous en faire un ennemi: son "," l'envie de les renouveler. « NON, LUI DIS-JE, IL NE FAUT PAS l'irriter par une brusquerie ","(720115, 720146)","(164802, 164834)"
Prevost_Manon_2,"pes. Si je ne lisais pas tout CE QUI SE PASSAIT DANS SON CŒUR, j'en connaissais si parfaite",e manière qui me fit juger de CE QUI SE PASSAIT DANS SON CŒUR. « Mais quel moyen prendrons-,"(761475, 761506)","(164802, 164834)"
Retif_Paysanne_0,"eurs, quelle consolation pour LE RESTE DE SA VIE, S'IL AVAIT sans cesse à ses côtés, ou de","re de voir qui empoisonnerait LE RESTE DE SA VIE, S'IL AVAIT l'atrocité de se satisfaire. ","(11117, 11147)","(224739, 224769)"
Reveroni_Pauliska_0," et le sang de Tekely, décoré PAR LES GRÂCES DE LA JEUNESSE ET DE LA BEAUTÉ, n'eussent pas droit de comma","re âgé et hideux, me semblait PARÉ DES GRÂCES DE LA JEUNESSE ET DE LA BEAUTÉ ? Le Baron parut jouir un ins","(697407, 697452)","(62193, 62239)"
Riccoboni_Histoire_0,"s osé lever les yeux sur lui, DANS LA CRAINTE DE RENCONTRER LES SIENS, et retenant jusqu'à mon hale","eux, et n'osa plus les lever, DANS LA CRAINTE DE RENCONTRER LES SIENS: elle était si émue qu'elle a","(104176, 104215)","(29710, 29749)"
Riccoboni_LettresAdelaide_0,"à ces vertueuses larmes! Elle NE ME RÉPONDIT QUE PAR UNE PROFONDE INCLINATION, ET je remarquai, avec un redoubl","vous effraient. "" M De SancerrE NE RÉPONDIT QUE PAR UNE PROFONDE INCLINATION; et prenant la plume, il signa.","(324155, 324206)","(61285, 61333)"
Riccoboni_MissJenny_0,"ndroit par quelque bruit, qui SE FIT ENTENDRE À LA PORTE DE MON antichambre. Mais, l'attribua"," avec Lidy, qu'un petit bruit SE FIT ENTENDRE. LA PORTE DE MON cabinet s'ouvrit, Sir James p","(430124, 430157)","(218474, 218506)"
Rosny_Firmin_0,"le sang de Tekely, décoré par LES GRÂCES DE LA JEUNESSE ET DE LA BEAUTÉ, n'eussent pas droit de comma",s rien vu de si beau : toutes LES GRÂCES DE LA JEUNESSE ET DE LA BEAUTÉ se trouvaient réunies à celle,"(697411, 697452)","(8531, 8572)"
Sade_120_0,pte multiplicité d'aventures. CE N'ÉTAIT PAS LA PREMIÈRE FOIS QUE les mêmes idées m'occupaient.,"s suites firent découvrir que CE N'ÉTAIT PAS LA PREMIÈRE FOIS QUE cela arrivait, et l'on sut qu","(32300, 32335)","(421626, 421661)"
Sade_120_1,"épouser; non, interrompis-je; CE N'EST PAS CE QUE JE VOUS promets; mais vous seriez si ","donc,"" ""terminez donc,"" ""mais CE N'EST PAS CE QUE JE VOUS demande,""---et autres propos ","(189265, 189292)","(421626, 421661)"
Sade_Aline_0,"ans le récit de l'hermite, et JE LA PRIAI DE NE PAS OUBLIER cette circonstance. Ma questi","e fuite qu’après mes couches, JE LA PRIAI DE NE PAS M’OUBLIER et de disposer tout pour ce m","(555992, 556021)","(106141, 106172)"
Sade_Justine_0,ommage à sa fidèle maîtresse. IL ÉTAIT ENVIRON CINQ HEURES DU SOIR. Mon laquais vint m'avertir q,"cheminons à pied vers Bondy. 
IL ÉTAIT ENVIRON CINQ HEURES DU SOIR lorsque nous entrâmes dans la","(352819, 352855)","(103003, 103039)"
Senac_Emigre_0,"ais le marquis de , fils de m LE COMTE DE , LIEUTENANT-GÉNÉRAL DES ARMÉES DU ROI, et riche de cinquante mille ","nterie. Adieu. 
LETTRE XLIV. 
LE COMTE DE *** LIEUTENANT-GÉNÉRAL DES ARMÉES DU ROI de France au Marquis de St. A","(225711, 225761)","(233965, 234017)"
Senac_Emigre_1,"dépit dont il faisait l'aveu, ET JE ME CONTENTAI DE LUI DIRE, QUE la meilleure vengeance serait","e me démasquer ; je le refusai, ET JE ME CONTENTAI DE LUI DIRE Que j'irais trois jours après c","(356286, 356321)","(233965, 234017)"
Souza_Adele_0,"ettait toute la tendresse, et QUE SA MÈRE LUI AVAIT RECOMMANDÉ DE respecter comme un père. Le c"," long-temps, sous le prétexte QUE SA MÈRE LUI AVAIT RECOMMANDÉ DE ne recevoir personne pendant ","(307182, 307217)","(174880, 174915)"
Tiphaigne_Galligenes_0,"urprend dans ses caresses, et TOUT CE QUI SE PASSE DANS CE cœur volage. Proprement il n'",. Que ne puis-je „t'expliquer TOUT CE QUI SE PASSE DANS „MON cœur; mais je ne le conçois p,"(337284, 337312)","(52534, 52564)"
Voltaire_Candide_0,"erchait. Il reconnut aisément LA FEMME-DE-CHAMBRE DE SA MÈRE, et cette vue acheva de le me","n de physique expérimentale à LA FEMME DE CHAMBRE DE SA MÈRE, petite brune très jolie et t","(136263, 136293)","(3356, 3386)"
Voltaire_Homme_0,"ns pas sur dessentimens, dont JE VOUS AI DÉJÀ DIT QUE JE n'ai jamais bien connu la nat","ritu Sancto. 
---Eh monsieur, JE VOUS AI DÉJÀ DIT QUE JE n'entends pas le latin ; expl","(432020, 432046)","(59681, 59707)"
