,Text in Nerciat_Aphrodites,Text in B,Location in Nerciat_Aphrodites,Location in B
Crebillon_Conte_1,une conquête; on m'avait juré LES PLUS BELLES CHOSES DU MONDE: IL faut que mon compte se trouve,"suivait, eut le temps de voir LES PLUS BELLES CHOSES DU MONDE. IL en fut d'abord si ébloui, qu'","(61067, 61102)","(302879, 302911)"
Crebillon_Nuit_0,"rer d'agrément. 
Mad. Durut. 
QUE VOULEZ-VOUS QUE JE VOUS DISE, Madame!--Il est galant-homme","sse obligé de prendre. Enfin, QUE VOULEZ-VOUS QUE JE VOUS DISE ? La tête me tourna, et si bi","(13741, 13773)","(111496, 111528)"
Diderot_Jacques_0,"rière lui marchent sept coupleS DE JEUNES GARÇONS ET DE JEUNES FILLes ajustés de même, mais avec ","utume. On se trouve une bande DE JEUNES GARÇONS ET DE JEUNES FILLES ; on boit, on rit, on danse ;","(237779, 237816)","(361251, 361288)"
Diderot_Religieuse_0,"pêcher d'examiner le porteur, DE LA TÊTE AUX PIEDS AVEC UNE excessive attention: il fait "," Quelquefois, en me regardant DE LA TÊTE AUX PIEDS, AVEC UN air de complaisance que je n'","(192893, 192922)","(256580, 256609)"
Dorat_Malheurs_0,"Valcreux. 
Voilà, par exemple, CE QUE JE NE CONÇOIS PAS. COMMENT, Après une douzaine de réalités ","mper; cela crie vengeance, et JE NE CONÇOIS PAS COMMENT, APRÈS UN pareil tour, vous avez la bon","(311713, 311750)","(11999, 12034)"
Dorat_Sacrifices_0,"t expiré. ( bas à elle-même ) JE NE SAIS PLUS CE QUE JE DIS. 
Alfonse. 
J'apprenais le co",pétition d'opéra-comique! ... JE NE SAIS PLUS CE QUE JE DIS; je ne sais trop ce que je de,"(201926, 201955)","(16531, 16560)"
Dorat_Sacrifices_1,"uf, dix.--C'est un nouveau reçU DE LA PLUS JOLIE FIGURE DU MONde, et qui en porte un de neuf",e; ils prétendent qu'elle est DE LA PLUS JOLIE FIGURE DU MONDE; je n'ai point vu cela. Ils s,"(225165, 225197)","(16531, 16560)"
Dorat_Sacrifices_2,"ieux, que qui que ce soit au mONDE, CE QU'IL LUI FAUT POUR ÊTRE Heureux. Vous ferez très bien d",t elle qui avertit le cœur de CE QU'IL LUI FAUT POUR ÊTRE HEUREUX; c'est elle qui fait rêver un,"(271280, 271315)","(16531, 16560)"
Duclos_Acajou_0,"re que.... 
La Comtesse, avec CHALEUR. 
QUE VOUS N'AVEZ PAS LE Sens commun: que vous êtes mati","jou ? C'est, répliqua la Fée, QUE VOUS N'AVEZ PAS LE SENS COMMUN. Belle conclusion, dit Acajou","(455592, 455626)","(58311, 58345)"
Ducray_Cinquante_0,"lamour baise respectueusement LA MAIN DE SA BIEN-FAITRICE, ET se dispose à suivre Mad. Duru","Ecoutez-moi? 
Jeannette baise LA MAIN DE SA BIEN-FAITRICE, ET celle-ci continue: Vous vous ","(116148, 116179)","(75457, 75488)"
Genlis_Adele_0,"je n'oserais vous contredire, IL N'EN EST PAS MOINS VRAI QUE ma Tante pensant à me procure",d'un bonheur plus grand; mais IL N'EN EST PAS MOINS VRAI QUE son état n'est qu'une végétat,"(26264, 26294)","(118524, 118554)"
Genlis_Adele_1,", et je commence à comprendre QUE JE N'AI PAS LE SENS COMMUN: pouvant me comparer à la Dam"," et tout-à-coup je m'aperçois QUE JE N'AI PAS LE SENS COMMUN, et que je suis complètement ","(174104, 174134)","(118524, 118554)"
Genlis_Adele_2,"uf, dix.--C'est un nouveau reçU DE LA PLUS JOLIE FIGURE DU MONDE, et qui en porte un de neuf pou","ize ans, d'être moins occupée DE LA PLUS JOLIE FIGURE DU MONDE, ET d'annoncer un meilleur nature","(225165, 225201)","(118524, 118554)"
Genlis_Adele_3," moi? 
Mad. Durut. 
Pour qui dONC!... JE N'AI PAS LE TEMPS de vous donner moi-même avec ","ter: ce détail est trop long, JE N'AI PAS LE TEMPS DE VOUS en instruire à présent, mais ","(354819, 354847)","(118524, 118554)"
Genlis_Chevaliers_0,s'avise de prendre la chose de TRAVERS; POUR LA PREMIÈRE FOIS de sa vie il vient à s'imagin," moment toute son audace; et, POUR LA PREMIÈRE FOIS DE SA VIE, un sentiment qui ressemblait","(500530, 500561)","(432580, 432611)"
Gerard_Comte_0,"e. 
La Duchesse, s'exaltant. 
EST-CE UN HOMME? EST-CE UN DIEU? ( Elle saisit avec transport"," respect... un vieillard! ... EST-CE UN HOMME? EST-CE UN DIEU, sous la forme d'un mortel? Q","(52735, 52766)","(555941, 555972)"
Kimber_Thompson_0,"dame, il durera tout le temps QUE J'AURAI LE BONHEUR DE VOUS VOIR. 
La Marquise, sans humeur. 
","i-tôt que ma lettre, je crois QUE „J'AURAI LE BONHEUR DE VOUS Y VOIR. Je suis „votre affectionnée ","(199232, 199267)","(497394, 497432)"
Laclos_Liaisons_0," moi? 
Mad. Durut. 
Pour qui dONC!... JE N'AI PAS LE TEMPS de vous donner moi-même avec ",a. Vous êtes bien heureux que JE N'AIE PAS LE TEMPS DE VOUS gronder davantage. N'allez pa,"(354819, 354847)","(204087, 204116)"
Lagrave_Sophie_0,"'y prend: Mad. Durut. 
Malgré TOUT LE RESPECT QUE JE VOUS DOIS, Mad. la Duchesse, vous me pe","le chevalier!Je vous dirai donC, MONSIEUR, AVEC TOUT LE RESPECt que je vous dois, qu'elle es","(46986, 47018)","(257748, 257780)"
LaPlace_Collection_0,"rer d'agrément. 
Mad. Durut. 
QUE VOULEZ-VOUS QUE JE VOUS DISE, Madame!--Il est galant-homme",", les yeux baignés de larmes, QUE „VOULEZ-VOUS QUE JE VOUS DISE? et que puis-je „répondre à u","(13741, 13773)","(248250, 248283)"
Lesuire_Aventurier_0,"e. 
La Duchesse, s'exaltant. 
EST-CE UN HOMME? EST-CE UN Dieu? ( Elle saisit avec tran","qui en voulaient au gé“néral? EST-CE UN HOMME? EST-CE UNE bête? 
“Oh! le hideux objet! ","(52735, 52761)","(432927, 432954)"
Lesuire_Aventurier_1," moi? 
Mad. Durut. 
Pour qui dONC!... JE N'AI PAS LE TEMPS de vous donner moi-même avec ","ïde est"" elle à la Bastille?--JE N'AI PAS LE "" TEMPS DE VOUS dire tout cela, me "" répondit","(354819, 354847)","(432927, 432954)"
Lesuire_Crime_0,"t expiré. ( bas à elle-même ) JE NE SAIS PLUS CE QUE JE dis. 
Alfonse. 
J'apprenais l","du bon sens furent éteintes, oÙ JE NE SAIS PLUS CE QUE je fis moimême; qui l'eût cru,","(201926, 201951)","(426219, 426244)"
Lesuire_Crime_1,"ux quêteur un baiser humide. 
) VOILÀ TOUT CE QUE JE PUIS FAire pour son service. 
Belamou","'il en jouira noblement. C'est “TOUT CE QUE JE PUIS FAIRE, POur le “présent; mais, par la s","(366946, 366976)","(426219, 426244)"
Loaisel_Ainsi_0,"sesles dire, Ange de plaisir! QUI QUE CE SOIT AU MONDE NE te fera perdre une cause que ","ent adorée. Le vœu d'affliger QUI QUE CE SOIT AU MONDE, NE se trouva jamais parmi les de","(134504, 134531)","(158324, 158352)"
Loaisel_Ainsi_1," achevait de me farfouiller. 
JE N'AI PAS LA FORCE DE QUITTER cette chambre: Pétronille vie","cablé. Adieu, mon cher comte; JE N'AI PAS LA FORCE DE CONTINUER. 
LETTRE 48 à Madame De V. 
j","(159491, 159522)","(158324, 158352)"
Loaisel_Ainsi_2,oup de ces âmes à la glace que RÉBUTE TOUT CE QUI SEMBLE AVOIR POur objet d'émouvoir le cœur; b,"Dans tout ce que l'on me dit, TOUT CE QUI SEMBLE AVOIR POUR OBJET de me détourner d'elle, m'y a","(340250, 340285)","(158324, 158352)"
Louvet_Annee_0," ), à Bruxelles, à Fribourg. 
LA MARQUISE. 
IL EST VRAI QUE JE n'en ai guères été contente l",oi qui vous ai fait connaître LA MARQUISE? IL EST VRAI QUE JE ne prévoyais pas le malin tou,"(184715, 184747)","(107289, 107320)"
Louvet_Annee_1,s'avise de prendre la chose de TRAVERS; POUR LA PREMIÈRE FOIS de sa vie il vient à s'imagin,"ur! Un jeune parisien, engagé POUR LA PREMIÈRE FOIS DE SA VIE dans une promenade sur mer, n","(500530, 500561)","(107289, 107320)"
Marmontel_Belisaire_0, mille louis sont bien perdus: CE N'EST PAS CE QUI L'AFFLIGE LE PLUS. Chacun des sept gagnans reçoit,"et la faiblesse de ses murs n'EST PAS CE QUI M'AFFLIGE LE PLUS. À ROME, les lois qui regnaient au de","(269152, 269192)","(115683, 115723)"
Marmontel_Contes_0," dix.--C'est un nouveau reçu dE LA PLUS JOLIE FIGURE DU MONDE, et qui en porte un de neuf pou","e l'esprit, la meilleure âme, LA PLUS JOLIE FIGURE DU MONDE, ET sa petite pacotille, était ar","(225168, 225201)","(358779, 358812)"
Marmontel_Contes_1," Beaudéduit. = Ne vous pressez PAS, LUI DIT ELLE APRÈS LUI AVOIR laissé le soin de l'enfilade, "," vice. Pensez-vous, monsieur, LUI DIT-ELLE, APRÈS LUI AVOIR LAISSÉ traiter aussi légèrement qu'i","(248212, 248247)","(358779, 358812)"
Mercier_Jezennemours_0,"erait moins extravagant. -- ( IL TIRE DE SON PORTE-FEUILLE UN ASSIGNAT de 300 livres, et le lui donn","vement Monval: tiens, lis, et IL TIRA DE SON PORTE-FEUILLE UNE LETTRE de Florimonde; elle était dat","(45269, 45309)","(281313, 281352)"
Mercier_Jezennemours_1,s'avise de prendre la chose de TRAVERS; POUR LA PREMIÈRE FOIS de sa vie il vient à s'imagin,"s mouvement de son cœur, sut, POUR LA PREMIÈRE FOIS DE SA VIE, leur en imposer, parce qu'il","(500530, 500561)","(281313, 281352)"
Nerciat_Etourdi_0,s'avise de prendre la chose de TRAVERS; POUR LA PREMIÈRE FOIS de sa vie il vient à s'imagin," parler, sa voix s'éteint. Et POUR LA PREMIÈRE FOIS DE SA VIE elle reçoit et donne mille ba","(500530, 500561)","(62685, 62716)"
Nerciat_Felicia_0,"n moment je retourne à Paris, SI VOUS N'AVEZ RIEN DE MIEUX À FAIRE que de m'y suivre, nous pourr","e remettre ; mais, messieurs, SI VOUS N'AVEZ RIEN DE MIEUX À FAIRE, trouvez-vous à deux heures a","(57316, 57352)","(471138, 471174)"
Puttelange_Roi_0,"ait s'empêcher de dire à mes cOLLINES LES PLUS JOLIES CHOSES DU Monde, et même de les baiser en","enchantait. Tous les jours je NE MANQUAIS PAS DE LUI DIRE LES PLUs jolies choses du monde, et d","(391598, 391633)","(135632, 135667)"
Retif_Paysanne_0,"res morceaux de musique. 
La COMTESSE. 
IL NE FAUT PAS DISPUTER des goûts. 
Le Marquis. 
On a","laisir à moi qu'on me trompe, IL NE FAUT PAS DISPUTER DES GOÛTS. L'égoïsme est un vice partou","(444132, 444165)","(616760, 616793)"
Riccoboni_LettresAdelaide_0," moi? 
Mad. Durut. 
Pour qui dONC!... JE N'AI PAS LE TEMPS de vous donner moi-même avec "," cher comte, pour vous dire quE JE N'AI PAS LE TEMPS DE VOus écrire. Je pars à l'instant","(354819, 354847)","(52134, 52162)"
Rousseau_Emile_0," morceaux de musique. 
La ComtESSE. 
IL NE FAUT PAS DISPUTER DES goûts. 
Le Marquis. 
On aurait","p; que c'est en ce sens qu'il NE FAUT PAS DISPUTER DES GOÛTS. 
LE goût est naturel à tous les h","(444135, 444170)","(945184, 945219)"
Rousseau_Julie_0,", et je commence à comprendre QUE JE N'AI PAS LE SENS COMMUN: pouvant me comparer à la Dam","ut le monde, à toi peut-être, QUE JE N’AI PAS LE SENS COMMUN, qui pis est pas le moindre e","(174104, 174134)","(157158, 157188)"
Rousseau_Julie_1,"e malheureux Comte avait été tÉMOIN DE CE QUI VIENT DE SE passer dans l'enceinte, si mal"," chère Julie, et sur le récit DE CE QUI VIENT DE SE PASSER, connais, et partage les sent","(277805, 277833)","(157158, 157188)"
Rousseau_Julie_2,"Valcreux. 
Voilà, par exemple, CE QUE JE NE CONÇOIS PAS. COMMENT, Après une douzaine de réalités ","eau réduire ces exagérations, JE NE CONÇOIS PAS COMMENT, APRÈS UNE union si tendre, on peut se v","(311713, 311750)","(157158, 157188)"
Rousseau_Julie_3,s'avise de prendre la chose de TRAVERS; POUR LA PREMIÈRE FOIS DE sa vie il vient à s'imaginer ,"ntir que je lui convenois, et POUR LA PREMIÈRE FOIS DE SA VIE IL prit un attachement. Ce goût ","(500530, 500564)","(157158, 157188)"
Sade_120_0,"uf, dix.--C'est un nouveau reçU DE LA PLUS JOLIE FIGURE DU MONde, et qui en porte un de neuf","2 de long, il avait 30 ans et DE LA PLUS JOLIE FIGURE DU MONDE. Briseeul avait un hochet si ","(225165, 225197)","(89536, 89568)"
Sade_Aline_0,"aut être juste. 
Mad. Durut. 
TOUT CELA EST BEL ET BON.--MAIS est-il juste aussi que cette "," dit effrontément Clémentine, TOUT CELA EST BEL ET BON, MAIS je vous dis encore une fois, ","(94557, 94588)","(927372, 927402)"
Sade_Aline_1,a première à s'y soustraire!„ JE NE FINIRAIS PAS SI JE TE RAPPORTAIS tout ce qui s'est dit. Ce que,", d’un parent incommode … Oh! JE NE FINIRAI PAS SI JE TE DÉTAILLAIS tous les différents services ","(149856, 149894)","(927372, 927402)"
Sade_Infortunes_0," dix.--C'est un nouveau reçu dE LA PLUS JOLIE FIGURE DU MONDE, et qui en porte un de neuf pou"," une petite robe en désordre, LA PLUS JOLIE FIGURE DU MONDE, ET l'air bien écolière ; elle co","(225168, 225201)","(11113, 11146)"
Sade_Justine_0,"e malheureux Comte avait été tÉMOIN DE CE QUI VIENT DE SE passer dans l'enceinte, si mal","us avisez de dire un seul mot DE CE QUI VIENT DE SE PASSER, en vous chargeant des crimes","(277805, 277833)","(599453, 599481)"
Sade_Philosophie_0,"t expiré. ( bas à elle-même ) JE NE SAIS PLUS CE QUE JE DIS. 
Alfonse. 
J'apprenais le co","uve... Je suis hors de moi... JE NE SAIS PLUS CE QUE JE DIS, ni ce que je fais... quelle ","(201926, 201955)","(34352, 34381)"
Senac_Emigre_0,"s, à Fribourg. 
La Marquise. 
IL EST VRAI QUE JE N'EN AI guères été contente lors de m",", et la retrouver avec la santÉ ; IL EST VRAI QUE JE N'En ai pas vu qui fussent affect","(184729, 184755)","(745953, 745979)"
Voisenon_Histoire_0,"r vous, mon beau Monsieur: j'y CONSENS. JE N'AI PAS LE BONHEur de vous imiter en tout; car","ensez, madame. Sans doute que JE N'AI PAS LE BONHEUR DE VOUS plaire; je vois que je vous i","(437353, 437383)","(40076, 40106)"
