,Text in Riccoboni_Histoire,Text in B,Location in Riccoboni_Histoire,Location in B
Marmontel_Contes_0,"iez, assurément,madame, c'est PORTER LA BONTÉ AUSSI LOIN QU'ELLE PEUT ALLER. Madame de Cressy, impatienté","l'ai pleuré: c'est, je crois, PORTER LA BONTÉ D'ÂME AUSSI LOIN QU'ELLE PEUT ALLER. Enfin, rendue à moi-même, je","(127082, 127127)","(76426, 76477)"
Mirabeau_Rideau_0," pu vous le faire deviner? Il PARAÎT AVOIR DE LA CONFIANCE ET DE L'AMITIÉ POUR vous, ne sauriez-vous m'instr",de tout ce qu'elle fait: elle PARAÎT AVOIR DE LA CONFIANCE ET DE L'AMITIÉ POUR toi; aussitôt que tu sauras à,"(104783, 104831)","(99209, 99257)"
Prevost_Monde_0,"eux, et n'osa plus les lever, DANS LA CRAINTE DE RENCONTRER LES SIENS: elle était si émue qu'elle a","s osé lever les yeux sur lui, DANS LA CRAINTE DE RENCONTRER LES SIENS, et retenant jusqu'à mon hale","(29710, 29749)","(104176, 104215)"
Retif_AntiJustine_0,"e, en finissant cette lettre, SE JETA DANS LES BRAS DE SON mari, et, le serrant avec une",me par une fente... Conquette SE JETA DANS LES BRAS DE TIMORI. Mais il était malade. La bel,"(86876, 86904)","(101063, 101094)"
Riccoboni_LettreJuliette_0,"u'elle tenait embrassée, elle SE MIT À PLEURER AVEC TOUTES LES MARQUES D'UNE DOULEUR excessive. Le marquis, honteu","t son visage dans ma robe, il SE MIT À PLEURER, AVEC TOUTES LES MARQUES D'UNE DOULEUR inexprimable. Ses larmes et c","(52243, 52297)","(61721, 61776)"
Riccoboni_MissJenny_0,"e, en finissant cette lettre, SE JETA DANS LES BRAS DE SON mari, et, le serrant avec une","s elle le toucha vivement. Il SE JETA DANS LES BRAS DE SON frère, il y pleura long-temps","(86876, 86904)","(375999, 376027)"
Rosny_Firmin_0,"x ne voulait point abandonner UNE DE SES MAINS DONT IL S'ÉTAIT saisi, qu'ellen'eût prononcé ","lainval pressait sur son cœur UNE DE SES MAINS, DONT IL S'ÉTAIT emparé. Cette vue redoubla ma","(40620, 40652)","(34123, 34156)"
Rousseau_Emile_0,étouffer les remords qu'élève AU FOND DE SON CŒUR LE SOUVENIR d'une femme sensible et malhe,"eune homme, etamp; u'on grave AU FOND DE SON CŒUR LE SOUVENIR de ce qu'ont dit. 
Jusqu'ici ","(58897, 58928)","(891275, 891306)"
Rousseau_Julie_0,"irs, quoique je me croie sûre DE MON CŒUR, JE NE VEUX PLUS vous regarder, de crainte qu'","enir sage. Malgré la sécurité DE MON CŒUR, JE NE VEUX PLUS être juge en ma propre cause,","(90668, 90696)","(740177, 740205)"
Sade_Aline_0,t ma parole m'engage à éviter DE VOUS VOIR ET DE VOUS PARLER; je n'abuserai point de l'ind," pour prouver l’impossibilité DE VOUS VOIR ET DE VOUS PARLER; ces détours, trop absurdes, ","(36611, 36641)","(333760, 333790)"
Segur_Correspondance_0,", un peu rassurée à sa vue, n'AYANT PAS LA FORCE DE SE SOUTENIR, s'appuya contre un arbre; et","lle s'assit sur une chaise, n'AYANT PAS LA FORCE DE SE SOUTENIR, et elle m'embrassait et me d","(52097, 52130)","(568037, 568070)"
Souza_Adele_0,"e, en finissant cette lettre, SE JETA DANS LES BRAS DE SON mari, et, le serrant avec une"," vis s'élancer de la voiture, SE JETER DANS LES BRAS DE SON amie, l'embrasser, lui demand","(86876, 86904)","(5248, 5277)"
Tiphaigne_Galligenes_0,"maîtresse. Le marquis, charmé DE LA DÉCOUVERTE QU'IL VENAIT DE FAIRE, était bien éloigné de songer","nnut pas d'abord tout le prix DE LA DÉCOUVERTE QU'IL VENAIT DE FAIRE. Peu de temps après, le Verse","(57812, 57850)","(46607, 46645)"
