,Text in Lesuire_Crime,Text in B,Location in Lesuire_Crime,Location in B
Charriere_Lausanne_0," autres, Le Repentir. 
“C'est TOUT CE QUE JE PUIS VOUS “DIRE pour le présent.“ Quoi qu'il ","ule dont je sois susceptible. TOUT CE QUE JE PUIS VOUS DIRE, madame, touchant milord, c'e","(8437, 8467)","(141417, 141446)"
Charriere_Lausanne_1," y a déjà long-temps que je n'AI EU LE BONHEUR DE VOUS VOIR, ô la plus tendre des mères. ",depuis le premier moment où j'AI EU LE BONHEUR DE VOUS VOIR. Plus silencieuse que vous av,"(180019, 180048)","(141417, 141446)"
Chevrier_Colporteur_0,", pour recevoir ma chère Laure. JE RETOURNAI, DEUX JOURS APRÈS, CHEZ le dur Concierge, pour lui dem",". Ma batterie étant disposée, JE RETOURNAI DEUX JOURS APRÈS CHEZ LE mari et chez la femme; et aya","(827463, 827502)","(47121, 47158)"
Constant_Laure1_0,"ent instruits, repartis-je, de “TOUT CE QUE JE PUIS VOUS DIRE; VOus me “détaillez exactement to","Omment, ma chère amie! malgré TOUT CE QUE JE PUIS VOUS DIRE, VOUS avouez tout uniment que vous ","(521499, 521534)","(40664, 40699)"
Constant_Laure2_0," des autres, Le Repentir. 
“C'EST TOUT CE QUE JE PUIS VOUS “DIRE pour le présent.“ Quoi qu'il ","ment heureux qui se présente, C'EST TOUT CE QUE JE PUIS VOUS DIre; il faut bien vous laisser ","(8433, 8467)","(78630, 78663)"
Constant_Laure2_1,"re; mais “expliquez-moi donc, JE VOUS PRIE, CE “QUE C'EST QUE ces dons surnaturels qu'on “v"," eu de si mauvais secours; ditES-MOI, JE VOUS PRIE, CE QUE C'est que l'amie intime d'un ho","(164709, 164740)","(78630, 78663)"
Cottin_Claire_0, j'étais retiré dans un coin; JE NE LE PERDAIS PAS DE VUE; mais je semblois ne pas le v, assez tranquille ; cependant JE NE LE PERDAIS PAS DE VUE : tout à coup je me suis aper,"(52065, 52092)","(153645, 153672)"
Crebillon_Atheniennes_0,"emple, “ma petite Pauline; maiS JE CRAINS BIEN “QUE CE NE SOit un mauvais sujet. Le “conna","t; et à laquelle, d'ailleurs, JE CRAINS BIEN QUE CE NE SOIT paselles qui perdent le plus.","(229679, 229709)","(693355, 693384)"
Crebillon_Conte_0,"Vous me voyez “si accablée, quE JE N'AI PAS LA FORCE DE “VOus écrire. Je ne puis me passe"," cet aveu tourner contre moi, JE N'AI PAS LA FORCE DE VOUS le refuser. Ah! S'écria-t-il,","(418912, 418941)","(534757, 534785)"
Crebillon_Nuit_0," pourtant quelque différence, ENTRE VOTRE FAÇON DE PENSER ET LA MIENNE. Vous me croyez un peu impie,","mpter la différence qu'il y a ENTRE VOTRE FAÇON DE PENSER ET LA SIENNE, vous n'avez pas les mêmes be","(69433, 69473)","(132938, 132978)"
Diderot_Jacques_0,"ur me “parle, vous, malheureux, VOUS NE “SAVEZ PAS CE QUE C'EST Que l'honneur.“ 
ependant les p","ppelé votre ami... 
LE MAÎTRE VOUS NE SAVEZ PAS CE QUE C'EST QUE le nom d'ami donné par un sup","(714370, 714405)","(292838, 292872)"
Diderot_Religieuse_0,"ur me “parle, vous, malheureux, VOUS NE “SAVEZ PAS CE QUE C'EST Que l'honneur.“ 
ependant les p","eur ; je ne demande rien. 
---VOUS NE SAVEZ PAS CE QUE C'EST QUE la peine, le travail, l'indig","(714370, 714405)","(54069, 54103)"
Dorat_Malheurs_0,"ut miel. “Méfiez-vous de lui, JE NE VOUS EN DIS “PAS DAVANTAGE.“ 
Cela suffit bien; qu'il vi","ent, M De Syrcé l'accompagne: JE NE VOUS EN DIS PAS DAVANTAGE. Je suis pénétrée de terreur.","(189911, 189943)","(323805, 323836)"
Dorat_Sacrifices_0," ferais de tout mon cœur, “et QUE CE SERAIT, POUR MOI, LA PLUS “belle partie de plaisir. Lev","lus vous lire; et vous sentez QUE CE SERAIT POUR MOI LA PLUS affreuse des privations. 
PAR","(79066, 79098)","(306993, 307023)"
Duclos_Acajou_0,"bien, répondis-je à “cet homme, QUE VOUS N'AVEZ PAS LE SENS “COMMun, ni vous ni vos Anglois. 
“","jou ? C'est, répliqua la Fée, QUE VOUS N'AVEZ PAS LE SENS COMMUN. Belle conclusion, dit Acajou","(571036, 571071)","(58311, 58345)"
Ducray_Cinquante_0,"ne, au moins, de Demoiselles, TOUTES PLUS JOLIES LES UNES QUE LES AUTRES, qui formaient le plus charma",une douzaine de jeunes femmes TOUTES PLUS JOLIES LES UNES QUE LES AUTRES. D'Eranville y remarqua bient,"(159381, 159423)","(13830, 13872)"
Ducray_Cinquante_1,"lui. Il débauche les maîtresseS DE TOUT LE MONDE, TOUT LE MONde lui en veut. Il est gentil,","bonté-là? mais c'est la bonté DE TOUT LE MONDE, ÇA; TOUT LE MONDE vous estime; et moi, je fais ","(552243, 552274)","(13830, 13872)"
Fievee_Dot_0,"r, qu'il en jouira noblement. C'EST “TOUT CE QUE JE PUIS FAIre, pour le “présent; mais, pa","chargerai de son trousseau, c'EST TOUT CE QUE JE PUIS FAIRE.-On ne m'avait pas dit ça; ma","(656934, 656964)","(46932, 46961)"
Florian_Galatee_0," des autres, Le Repentir. 
“C'EST TOUT CE QUE JE PUIS VOUS “dire pour le présent.“ Quoi ",", et une vaine réconnaissance EST TOUT CE QUE JE PUIS VOUS offrir. Vous pouvez nous raco","(8433, 8461)","(61177, 61205)"
Florian_Galatee_1,"ait devenue ma mère. Ici je fuS FRAPPÉ COMME D'UN COUP DE FOUDRE. Je frissonnai, je pâlis. Le Ju","esse, et la fuite de mon ami. FRAPPÉ COMME D'UN COUP DE FOUDRE, JE partis sur-le-champ pour alle","(941133, 941169)","(61177, 61205)"
Fourqueux_Zely_0," des autres, Le Repentir. 
“C'EST TOUT CE QUE JE PUIS VOUS “dire pour le présent.“ Quoi ","“retenez bien mes conseils, c'EST TOUT “CE QUE JE PUIS VOUS laisser. Je vous “ai enlevé d","(8433, 8461)","(14294, 14323)"
Fourqueux_Zely_1,"s, des auteurs de mes jours, dE CE QUE J'AI DE PLUS CHER AU MONde; mais par qui, bon Dieu! vo","r pour “mon Epoux pour sauver CE QUE J'AI “DE PLUS CHER AU MONDE. 
“Madame, dit Zély, j'avoue ","(356620, 356653)","(14294, 14323)"
Genlis_Adele_0,"ir, avec ces propos ambigus? CE QUI ME FAISAIT LE PLUS DE PEINE, C'EST Que les deux chers auteurs de m"," poursuivit Adèle, que ce qui LUI FAISAIT LE PLUS DE PEINE, C'EST QUE sa pauvre mère était bien mal","(372866, 372908)","(95321, 95360)"
Genlis_Adele_1,"res. Pendant cette exécution, J'AI ENTENDU DE GRANDS ÉCLATS DE RIRE, Qui ne venaient plus d'eux; mai","ppartement; avant d'entrer, j'AI ENTENDU DE GRANDS ÉCLATS DE RIRE QUI m'ont un peu rassurée sur l'é","(674307, 674347)","(95321, 95360)"
Genlis_Adele_2,"crupules? 
“Voilà, mon bon ami, TOUT CE QUE JE PUIS VOUS DIre, pour le présent, sur ce su","désirs d'en savoir davantage: TOUT CE QUE JE PUIS VOUS DIRE, répondit-il, c'est que ce je","(798028, 798057)","(95321, 95360)"
Genlis_Chevaliers_0," autres, Le Repentir. 
“C'est TOUT CE QUE JE PUIS VOUS “DIRE pour le présent.“ Quoi qu'il ","nom de mon indigne ravisseur; TOUT CE QUE JE PUIS VOUS DIRE, c'est que, dans une de nos s","(8437, 8467)","(184248, 184277)"
Genlis_Chevaliers_1," quand j'en ai besoin. J'y voiS UN JEUNE-HOMME, DE LA FIGURE LA PLus douce la plus agréable, qui","araissait être un pêcheur, et UN JEUNE HOMME DE LA FIGURE LA PLUS intéressante, et décoré des m","(874496, 874532)","(184248, 184277)"
Gerard_Comte_0,"emps, des auteurs de mes jours, DE CE QUE J'AI DE PLUS CHer au monde; mais par qui, bon","it me la ravir; qu'aux dépens DE CE QUE J'AI DE PLUS CHER, je prenne la défense du pays","(356617, 356644)","(338881, 338908)"
Jacquin_Parisiennes_0,imagina que j'en étais le père. JE FIS TOUT CE QUE JE PUS POur détruire cette fausse opini,dans une inquiétude mortelle: JE FIS TOUT CE QUE JE PUS POUR rappeler ses sens égarés: je ,"(880636, 880666)","(47123, 47153)"
Jacquin_Parisiennes_1,"licite; mais, pour moi, je suiS LE “PLUS MALHEUREUX DES HOMMES, J'AI “PERdu tout ce que j'avais, quatre","eur, me dit-il en m'abordant, LE PLUS MALHEUREUX DES HOMMES: J'AI PERDU pour toujours ma chère Juqu'h","(914150, 914193)","(47123, 47153)"
Kimber_Thompson_0,iré qu'il la fixât sur moi. J'AI FAIT CE QUE J'AI PU POUR ATTIRER ses regards. Son œil s'est ar,"t chagrine etamp; „alarmée, j'AI FAIT CE QUE J'AI PU POUR „MODÉRER ses soupçons; mais ma sincéri","(44206, 44241)","(297908, 297944)"
Kimber_Thompson_1,"ous avons été seuls: „Hé “bien, MON FILS, A DIT MON PÈRE, VOUS “VOus croyez bien noble. Apprenez"," les informer de mon affaire. MON FILS, ME DIT MON PÈRE, VOUS VOUS êtes conduit imprudemment, en","(378785, 378821)","(297908, 297944)"
Kimber_Thompson_2," me promettant de rendre comptE DE CE QUE JE LUI AVAIS Dit. 
Sur-le-champ, j'écrivis à",quit entièrement de la vérité DE CE QUE JE LUI AVAIS DIT. Il m'en félicita; mais en mê,"(572231, 572257)","(297908, 297944)"
Kimber_Thompson_3,"nt; là, elle se jeta de nouveaU DANS MES BRAS. JE LA PRESSAI CONTRE Mon cœur, avec un attendrisseme","re existence. Enfin la serant DANS MES BRAS, JE LA PRESSAI CONTRE MON in, j'imprimai sur ses joues ","(755658, 755697)","(297908, 297944)"
Laclos_Liaisons_0,"content.... Enfin tu vois que JE N'AI PAS PERDU MON TEMPS, DEPUIS que je suis à Paris. Je tombe",", je crois, mon chef-d'œuvre. JE N'AI PAS PERDU MON TEMPS DEPUIS votre dernière lettre, et j'a","(50144, 50179)","(240364, 240398)"
Laclos_Liaisons_1,en effacer jusqu'au souvenir? JE FAIS TOUT CE QUE JE PEUX pour cela. Je travaille sans ,". Enfin, il est bien vrai que JE FAIS TOUT CE QUE JE PEUX, et que je voudrais pouvoir e","(178922, 178949)","(240364, 240398)"
Laclos_Liaisons_2,"ne ma “bénédiction apostolique, JE PRIE “DIEU QU'IL VOUS AIT EN SA SAINte garde.“ 
Je copiai, le mieu"," 
Sur ce, mon cher Chevalier, JE PRIE DIEU QU'IL VOUS AIT EN SA SAINTE et digne garde. 
Du château d","(302938, 302979)","(240364, 240398)"
Laclos_Liaisons_3,"ent instruits, repartis-je, de “TOUT CE QUE JE PUIS VOUS DIre; vous me “détaillez exactem"," perdre que de la surprendre. TOUT CE QUE JE PUIS VOUS DIRE, c'est que, placée par M. de ","(521499, 521528)","(240364, 240398)"
Laclos_Liaisons_4," il vous ex“pliquera tout cela, MIEUX QUE JE NE “POURRAIS LE FAIre.“ 
Suite. 
J'eus occasion d","es bulletins vous instruisent MIEUX QUE JE NE POURRAIS LE FAIRE, ma chère amie, du fâcheux ét","(540553, 540587)","(240364, 240398)"
Laclos_Liaisons_5,"en se précipitant “sur moi, quE JE VOUS EMBRASSE DE “TOUT MON CŒur! Que je suis heureux, “que ","reuse. 
Adieu, mon cher ami ; JE VOUS EMBRASSE DE TOUT MON CŒUR. 
Paris ce 4 décembre 17... 
","(627603, 627637)","(240364, 240398)"
Lagrave_Sophie_0,"nne, et même le fien propre. 
IL EST VRAI QU'IL EST BIEN JEUNE; et qu'on ne peut guère décid","air d'embarras qui lui fait toRT: IL EST VRAI QU'IL EST BIEN Jeune; c'est un enfant, mais un","(11067, 11099)","(72360, 72392)"
Lagrave_Sophie_1,"débauche, qui me font rougir; ET, POUR COMBLE DE MALHEUR, JE SUIS exactement sans un sou. Voilà","s en proie à toutes les agitatIONS; ET, POUR COMBLE DE MALHEUR, Je suis aimée ... c'en est un b","(171590, 171625)","(72360, 72392)"
Lagrave_Sophie_2,"'ai échappé à tout. 
Cela étaiT AU-DESSUS DES FORCES HUMAINES, JE CROis à la Providence. 
Je desiro","r Sophie et ne pouvoir la possÉDER, EST AU-DESSUS DES FORCES HUMAINES .... 
Je crois que ma sœur voit av","(600982, 601021)","(72360, 72392)"
Lagrave_Sophie_3," jeta de nouveau dans mes bras. JE LA PRESSAI CONTRE MON CŒUR, AVec un attendrissement inexprim", dans mes bras en versant un tORRENT DE LARMES. JE LA PRESSAI COntre mon cœur avec la plus dou,"(755673, 755708)","(72360, 72392)"
Lagrave_Zabeth_0," autres, Le Repentir. 
“C'est TOUT CE QUE JE PUIS VOUS “DIRE pour le présent.“ Quoi qu'il ","t: je ne puis vous en donner. TOUT CE QUE JE PUIS VOUS DIRE, c'est que la vieille femme c","(8437, 8467)","(285896, 285925)"
LaPlace_Collection_0,"deux femmes de distinction. 
„DÈS QUE JE FUS SEULE AVEC ELLES, je leur demandai pardon, à g","e Cécile, me dit la comtesse, DÈS QUE JE FUS SEULE „AVEC ELLE, il faut que je te dise des n","(128428, 128459)","(475818, 475849)"
LaPlace_Collection_1,"ça. Je tombai dans leurs bras. 
NOUS RESTÂMES QUELQUE TEMPS DANS CETTE ATTITUde, le cœur serré, sans pouvoi",'elle me tendait avec effort. NOUS RESTÂMES QUELQUE TEMPS DANS CETTE ATTITUDE touchante: Ma chère Cécile! m,"(593236, 593283)","(475818, 475849)"
LaPlace_Lydia_0,"lui “ravir son honneur. Tu t'eS JOUE DE CE “QU'IL Y A DE PLUS SACré, pour un but “aussi indigne","ieux dons de la nature, et se JOUE DE CE QU'IL Y A DE PLUS SACRÉ parmi les hommes, pour élever","(722814, 722849)","(5966, 6000)"
Leonard_Lettres_0,ssant faire peu d'attention à CE QUI SE PASSAIT AUTOUR DE LUI. Je lui ai adressé la parole ,"chinalement, sans trop savoir CE QUI SE PASSAIT AUTOUR DE MOI; je le croyais même encore pr","(44444, 44475)","(10772, 10803)"
Leonard_Lettres_1,"me son libérateur; mais ensuitE ELLE S'EST JETÉE DANS LES BRAS de la Sœur qu'elle servoit, qu","née de ce qu'elle avait fait, ELLE S'EST JETÉE DANS LES BRAS DE sa mère. Madame de Saint-Cyra","(321184, 321217)","(10772, 10803)"
Leonard_Lettres_2,"ns la désolation de la nature. 
POUR MOI, TU SAIS QUE JE ne suis pas né craintif, ni su","en seras que plus à plaindre. POUR MOI, TU SAIS QUE JE NE peux rien dans tout cela: si ","(694414, 694441)","(10772, 10803)"
Lesuire_Aventurier_0,"e? Ce n'est pas une Reine. EllE EST, POUR MOI, AU-DESSUS DE TOUTES Les Reines. C'est une jeune fil"," Princesse? Non; mon Adélaïde EST, POUR MOI, AU-DESSUS DE TOUTES LES Princesses; elle m'est d'auta","(289733, 289771)","(21842, 21880)"
Lesuire_Aventurier_1,"ndît entre mes cuisses. 
Enfin, JE VINS À BOUT DE FAIRE VOLER, EN ÉCLATS, la trappe attachée par un verr",", avec tant de constance, que JE VINS À BOUT DE FAIRE VOLER EN ÉCLATS, LA malheureuse piège. Alors je v","(530376, 530420)","(21842, 21880)"
Lesuire_Aventurier_2,"s me regarder, me donnaient deS COUPS DE PIED, EN DISANT: „VEUX“TU T'EN ALLER, VILAIN CHIEN?“ 
Je me trouvai bientôt enfermé,","bes, et l'on me repoussait, à COUPS DE PIEDS, EN DISANT: „VEUX-TU T'EN ALLER, VILAIN CHIEN!“ JE me rencognois sous le lit, sa","(680511, 680576)","(21842, 21880)"
Lesuire_Aventurier_3,"it mille caresses. 
J'entrevis, DANS SES YEUX, LES RAYONS DE LA JOie; sa vie défaillantesembloit","ur; et fit presque'étinceler, DANS MES YEUX, LES RAYONS DE LA JOIE. „Voilà, me dis-je, “une situ","(730532, 730568)","(21842, 21880)"
Lesuire_Aventurier_4,"aure, peut-être enterrée, commE MOI, DANS LES ENTRAILLES DE LA TERre, ou descendue au tombeau pa","endions réellement, depuis un MOIS, DANS LES ENTRAILLES DE LA TERRE. Il ne m'était pas permis de ","(751683, 751719)","(21842, 21880)"
Lesuire_Aventurier_5,"tre, vinrent s'emparer de nous, NOUS ARRACHER DES BRAS L'UN DE L'AUTre. O séparation cruelle! 
Je ",", qui se jette sur nous, pour NOUS ARRACHER DES BRAS L'UN DE L'AUTRE. „Ah! cher Merveil, tu vis, s","(834077, 834115)","(21842, 21880)"
Lesuire_Aventurier_6,"tienne, où il y a une épidémie; DE SORTE QUE JE ME TROUVE SEUL, DANS un moment où j'aurois besoin d"," porte, sans entrer avec moi, DE SORTE QUE JE ME TROUVE SEUL, DANS UNE nuit profonde, au milieu d'un","(869591, 869630)","(21842, 21880)"
Louvet_Annee_0," autres, Le Repentir. 
“C'est TOUT CE QUE JE PUIS VOUS “DIRE pour le présent.“ Quoi qu'il ","e absolument, me répondit-il: TOUT CE QUE JE PUIS VOUS DIRE, c'est qu'hier au soir, vous ","(8437, 8467)","(144267, 144296)"
Louvet_Annee_1," sacrés pour moi. Je “répandraI JUSQU'À LA DERNIÈRE GOUTTE DE “MON SANG, POur que vous soyez heu“reux aut",iens; je jure que je verserai JUSQU'À LA DERNIÈRE GOUTTE DE MON SANG POUR chasser de la Pologne des étr,"(450501, 450546)","(144267, 144296)"
Louvet_Annee_2,"ent instruits, repartis-je, de “TOUT CE QUE JE PUIS VOUS DIre; vous me “détaillez exactem","l pas vrai?-mais, monsieur...-TOUT CE QUE JE PUIS VOUS DIRE, ma belle dame, c'est qu'à ce","(521499, 521528)","(144267, 144296)"
Louvet_Fin_0,"s, des auteurs de mes jours, dE CE QUE J'AI DE PLUS CHER AU MONde; mais par qui, bon Dieu! vo","urs où je laisse au désespoir CE QUE J'AI DE PLUS CHER AU MONDE! Mon cœur alors se serre, je ","(356620, 356653)","(167609, 167642)"
Louvet_Fin_1,"du bon sens furent éteintes, oÙ JE NE SAIS PLUS CE QUE je fis moimême; qui l'eût cru,","ous vous ferez mal,… mon ami… JE NE SAIS PLUS CE QUE JE vous disais.—Que vous vous ét","(426219, 426244)","(167609, 167642)"
Louvet_Fin_2,"es genoux, qui “fond en larmes, QUI TE CONJURE DE NE “PAS L'ABANDONNer sur le bord de la “tombe, o","ir.—Faublas, c'est une amante QUI TE CONJURE DE NE PAS L'ABANDONNER!» Le baron, qui me vit encore","(567238, 567276)","(167609, 167642)"
Maistre_Voyage_0,font “couler le sang les larmeS SUR LA “SURFACE DE LA TERRE. Ils sont honorés; “ une pauvre ,"le des hommes qui fourmillent SUR LA SURFACE DE LA TERRE, IL n'en est pas un seul--non, pa","(837336, 837368)","(1369, 1399)"
Marmontel_Contes_0," des autres, Le Repentir. 
“C'EST TOUT CE QUE JE PUIS VOUS “DIRE pour le présent.“ Quoi qu'il ",uis encore plus malheureux: c'EST TOUT CE QUE JE PUIS VOUS DIRE. Ne vous offensez pas de mon ,"(8433, 8467)","(331121, 331154)"
Marmontel_Contes_1,"r, qu'il en jouira noblement. C'EST “TOUT CE QUE JE PUIS FAIRE, POur le “présent; mais, par la s","e lieutenance d'infanterie, c'EST TOUT CE QUE JE PUIS FAIRE POUR vous. Jacquaut lui répondit a","(656934, 656970)","(331121, 331154)"
Marmontel_Contes_2,"lation de la nature. 
Pour moi, TU SAIS QUE JE NE SUIS Pas né craintif, ni superstitie","eux enfants sans fortune; car TU SAIS QUE JE NE SUIS PAS riche, et que leur père était","(694424, 694450)","(331121, 331154)"
Marmontel_Contes_3,"ur me “parle, vous, malheureux, VOUS NE “SAVEZ PAS CE QUE C'EST Que l'honneur.“ 
ependant les p","rit Artenice. Ah! Mon enfant, VOUS NE SAVEZ PAS CE QUE C'EST QUE de céder à un homme avec qui ","(714370, 714405)","(331121, 331154)"
Marmontel_Incas_0,"s, des auteurs de mes jours, dE CE QUE J'AI DE PLUS CHER AU MONde; mais par qui, bon Dieu! vo"," Le ciel réunit dans mes bras CE QUE J'AI DE PLUS CHER AU MONDE. Ah! S'il est possible, aidez","(356620, 356653)","(277956, 277989)"
Merard_Bergeries_0,"e cour est charmante, qu'elle A EU TOUTES LES PEINES DU MONDE À S'en détacher. 
Elle a déjà, aut",ngé. Tu ne croirais pas que j'EUS TOUTES LES PEINES DU MONDE À M'EN débarrasser; j'avais beau cha,"(324658, 324694)","(23717, 23754)"
Merard_Bergeries_1,"s, des auteurs de mes jours, dE CE QUE J'AI DE PLUS CHER au monde; mais par qui, bon Di","érir! 
Silvie. 
J'en jure par CE QUE J'AI DE PLUS CHER, PAR mon amour. 
colin. 
Je puis d","(356620, 356647)","(23717, 23754)"
Mercier_Jezennemours_0," vieillard, si je puis avoir “LE BONHEUR DE VOUS PLAIRE, JE VOUS “ferai votre fortune.“ Ah! la",it que je ne soupire qu'après LE BONHEUR DE VOUS PLAIRE; JE VOUS adore et c'est sans aucune au,"(110660, 110694)","(141046, 141080)"
Mercier_Jezennemours_1,"ut miel. “Méfiez-vous de lui, JE NE VOUS EN DIS “PAS DAVANTAGE.“ 
Cela suffit bien; qu'il vi","ous connaître réciproquement. JE NE VOUS EN DIS PAS DAVANTAGE...-monsieur, reprit Jezennemo","(189911, 189943)","(141046, 141080)"
Mirabeau_Conversion_0,"du bon sens furent éteintes, oÙ JE NE SAIS PLUS CE QUE je fis moimême; qui l'eût cru,"," tous mes sens... Je tremble, JE NE SAIS PLUS CE QUE JE chante... Allons donc, me dit","(426219, 426244)","(63159, 63184)"
Mirabeau_Rideau_0,"l de la décision de sa famille. ELLE TOMBA DANS UNE MALADIE DE LANGUEur, qui commença à faire crain","ps après la mort de son père, ELLE TOMBA DANS UNE MALADIE DE LANGUEUR dont elle eut beaucoup de pei","(383172, 383211)","(80543, 80582)"
Nerciat_Aphrodites_0,"résenter votre petit mémoire. TOUT CE QUE JE PUIS FAIRE POUR le présent, c'est de vous rem","ux quêteur un baiser humide. 
) VOILÀ TOUT CE QUE JE PUIS FAire pour son service. 
Belamou","(183074, 183104)","(366946, 366976)"
Nerciat_Aphrodites_1,"bien, répondis-je à “cet homme, QUE VOUS N'AVEZ PAS LE SENS “COMMUN, ni vous ni vos Anglois. 
“Allo","re que.... 
La Comtesse, avec CHALEUR. 
QUE VOUS N'AVEZ PAS LE SENS Commun: que vous êtes matière, ","(571036, 571075)","(366946, 366976)"
Nerciat_Etourdi_0,". Ils veulent me donner pour éPOUSE À UN JEUNE-HOMME DE DIX-SEPT ans, moi qui en ai vingt. C'e",poussé le scrupule jusques à éPOUSER UN JEUNE HOMME DE DIX-SEPT ans pour pouvoir goûter sans ,"(70539, 70573)","(118675, 118708)"
Nerciat_Felicia_0,. Nous sommes trop avancés “l'UN VIS-À-VIS DE L'AUTRE; NOUS NE “pouvons plus nous voir que l,"ous dire... À table, placés l'UN VIS-À-VIS DE L'AUTRE, NOUS NE mangeâmes presque pas. Je sen","(200426, 200458)","(65708, 65740)"
Nerciat_Felicia_1," par terre, de Gênes à Lyon, oÙ JE N'AI PAS EU LE BONHEUR de te trouver, mon ami, ni le ","s délices extraordinaires que JE N'AI PAS EU LE BONHEUR DE connaître. Quand on est bien,","(403988, 404016)","(65708, 65740)"
Prevost_Manon_0," étage. Je voulais me sauver; JE MESUROIS, DES YEUX, LA HAUTEUR DES FENÊTRES. Tout-à-coup, je vois entrer ",ment de sortir de ma chambre. JE MESURAI DES YEUX LA HAUTEUR DES FENÊTRES. Ne voyant nulle possibilité ,"(123595, 123641)","(43032, 43075)"
