,Text in Mercier_Jezennemours,Text in B,Location in Mercier_Jezennemours,Location in B
Fourqueux_Zely_0,"c une grâce et un enjouement, QUI POUR LA PREMIÈRE FOIS DE MA VIE, me fit rire de bon cœur en p","nt de mal; et si “vous voulez QUE, POUR LA PREMIÈRE FOIS “DE MA VIE, je vous aie obligation, “fai","(105251, 105286)","(71437, 71474)"
Genlis_Adele_0,"cœur de l'homme; elle aimait, ET POUR LA PREMIÈRE FOIS DE SA VIE: elle voulait donc s'attacher","chait la solitude, me fuyait, ET, POUR LA PREMIÈRE FOIS DE SA VIE, paraissait craindre de se tr","(75548, 75582)","(696843, 696878)"
Genlis_Adele_1,"e s'enfonça dans un escalier, OÙ JE LA PERDIS DE VUE. JE demeurai quelque-temps immobi",", entra dans un petit sentier OÙ JE LA PERDIS DE VUE; JE l'appelai deux ou trois fois,","(137419, 137445)","(696843, 696878)"
Genlis_Chevaliers_0,"cœur de l'homme; elle aimait, ET POUR LA PREMIÈRE FOIS DE SA VIE: elle voulait donc s'attacher","t un moment toute son audace; ET, POUR LA PREMIÈRE FOIS DE SA VIE, un sentiment qui ressemblait","(75548, 75582)","(432576, 432611)"
Gerard_Comte_0,"e sa présence: je ne veux que TON REPOS ET TON BONHEUR, JE NE veux que te plaire et t'aimer"," sainte, qui peut seule faire TON REPOS ET TON BONHEUR. JE NE croirai pas du moins que tu s","(261182, 261213)","(466728, 466759)"
Jacquin_Parisiennes_0,t fois plus cher que le mien: EST-IL POSSIBLE DE VOUS VOIR SANS désirer de vous parler; un mo,"d'indifference, Mademoiselle; EST-IL POSSIBLE DE VOUS VOIR SANS la perdre? Que peuvent les ch","(136396, 136429)","(20327, 20360)"
Kimber_Thompson_0,dans la profondeur du bois. à-PEINE AVAIS-JE EU LE TEMPS DE regarder pourquoi il prenait ,"er tout ce que nous avions. A PEINE AVAIS-JE EU LE TEMPS DE prendre mon habit, que la por","(224088, 224117)","(735459, 735488)"
Laclos_Liaisons_0,"ne! Ah! Connoissez moi mieux; JE VOUS RESPECTE AUTANT QUE JE VOUS adore, et les désirs de mon a",umilier ! vous avilir ! quand JE VOUS RESPECTE AUTANT QUE JE VOUS chéris ; quand je n'ai connu ,"(167270, 167305)","(657308, 657343)"
Lagrave_Sophie_0," seul mot de votre bouche, et JE SERAI LE PLUS FORTUNÉ DES HOMMES, et vous ne vous repentirez j","s arrangement sont pris, et avANT PEU DE JOURS, JE SERAI LE PLUS fortuné des hommes. Oui, mon a","(136494, 136529)","(227697, 227732)"
Lagrave_Sophie_1,dans la profondeur du bois. à-PEINE AVAIS-JE EU LE TEMPS DE regarder pourquoi il prenait ,"UREGARD après son enlèvement, ÉCRITS PAR ELLE. 
APEINE AVAIS-je eu le temps de m'a percevo","(224088, 224117)","(227697, 227732)"
Lagrave_Zabeth_0,"r de l'homme; elle aimait, et POUR LA PREMIÈRE FOIS DE SA VIE: elle voulait donc s'attacher","t de rire général: la Dupuis, POUR LA PREMIÈRE FOIS DE SA VIE, se trouva déconcertée. Elle ","(75551, 75582)","(46741, 46772)"
Lagrave_Zabeth_1,"t rapprocher son âme de celle DE SON AMANT, ET FIT TOUS SES EFFORTS POUR combler l'intervalle qui les ","crut pouvoir répondre du cœur DE SON AMI, ET FIT TOUS SES EFFORTS POUR tranquilliser le cœur de Zabe","(79958, 80000)","(46741, 46772)"
Lagrave_Zabeth_2, songe: j'étais dans l'état d'UN HOMME QUI SE RÉVEILLE ET QUI porte sur tous les objets qui," et j'avoue que je suis comme UN HOMME QUI SE RÉVEILLE, ET QUI a fait des rêves fatigans. Je","(149991, 150022)","(46741, 46772)"
LaPlace_Collection_0," que me causait son discours, JE NE PUS M'EMPÊCHER DE RIRE DE ce singulier contraste. Allon","ondit-il, ce serait dommage„! JE NE PUS M'EMPÊCHER DE RIRE DE cette saillie; mais je lui di","(200263, 200294)","(275012, 275043)"
LaPlace_Collection_1,urds le long de la charmille. JE N'ATTENDIS PAS LONG-TEMPS LA DIVINITÉ de mon cœur; elle s'offritenv,vais données de ma tendresse. JE N'ATTENDIS PAS LONG-TEMPS LA VISITE de madame la comtesse de Beau,"(209441, 209481)","(275012, 275043)"
Leonard_Lettres_0,"érêt: c'est une femme, enfin, DIGNE DES RESPECTS DE TOUTE LA TERRE, et qui, pour la peindre en u","ttu. Homme bienfaisant etamp; DIGNE DES RESPECTS DE TOUTE LA TERRE! C'est vous que j'implore, et","(35070, 35106)","(51131, 51167)"
Lesuire_Aventurier_0,"humble, respectueuxet soumis, QUE JE NE LUI AVAIS JAMAIS VU, il dit: très-digne et très-r","t, d'un ton absolu et décidé, QUE JE NE LUI AVAIS JAMAIS VU prendre. On nous proposa, du ","(101540, 101569)","(8847, 8876)"
Lesuire_Aventurier_1,"eurais, j'invoquois la grâce; JE FAISAIS LES PLUS GRANDS EFFORTS POUR me persuader que je conservoi",ant d'une pareille situation; JE FAISAIS LES PLUS GRANDS EFFORTS POUR en venir à bout. Je me flatte,"(116373, 116412)","(8847, 8876)"
Lesuire_Crime_0,it que je ne soupire qu'après LE BONHEUR DE VOUS PLAIRE; JE VOUS adore et c'est sans aucune au," vieillard, si je puis avoir “LE BONHEUR DE VOUS PLAIRE, JE VOUS “ferai votre fortune.“ Ah! la","(141046, 141080)","(110660, 110694)"
Lesuire_Crime_1,"ous connaître réciproquement. JE NE VOUS EN DIS PAS DAVANTAGE...-monsieur, reprit Jezennemo","ut miel. “Méfiez-vous de lui, JE NE VOUS EN DIS “PAS DAVANTAGE.“ 
Cela suffit bien; qu'il vi","(304444, 304475)","(110660, 110694)"
Loaisel_Ainsi_0,"ement les plus vives émotions DE LA JOIE ET DE LA DOULEUR, Monval, qui cherchait à se d",'écoule dans les alternatives DE LA JOIE ET DE LA DOULEUR: je ne suis plus heureux que ,"(3394, 3421)","(183848, 183875)"
Loaisel_Comtesse_0,"e main qui lui était offerte) JE NE VOUS CACHE POINT QUE JE suis sans pain, sans amis, sa","nte à me donner la “main; car JE NE VOUS CACHE POINT QUE JE “l'aime, et qu'elle a fait su","(304774, 304803)","(31174, 31203)"
Loaisel_Lucile_0,"e main qui lui était offerte) JE NE VOUS CACHE POINT QUE JE suis sans pain, sans amis, sa","ente à me donner la main; car 
“JE NE VOUS CACHE POINT QUE je l'aime, “et qu'elle a fait ","(304774, 304803)","(30119, 30148)"
Louvet_Annee_0,"u fils du diable, choisissez; SI VOUS NE VOULEZ PAS ÊTRE UN saint, je vous abandonne; je ","l faudra donc que je t'adore!-SI VOUS NE VOULEZ PAS ÊTRE UNE ingrate, il le faudra. "" cett","(109804, 109833)","(186033, 186063)"
Louvet_Annee_1,"ute ma vie; que j'avais perdu CE QUE J'AVAIS DE PLUS CHER AU MONDE, mon amante, que j'allois épo"," et ma femme, j'allais revoir CE QUE J'AVAIS DE PLUS CHER AU MONDE; et cependant, mon cher Faubl","(232857, 232893)","(186033, 186063)"
Louvet_Annee_2,"s mouvement de son cœur, sut, POUR LA PREMIÈRE FOIS DE SA VIE, leur en imposer, parce qu'il","ur! Un jeune parisien, engagé POUR LA PREMIÈRE FOIS DE SA VIE dans une promenade sur mer, n","(339021, 339052)","(186033, 186063)"
Louvet_Fin_0,"imonde! Dit-il, en soupirant, ET SE CACHANT LE VISAGE DANS SON sein, la probité m'impose un ","uprès, elle se pencha sur moi ET SE CACHA LE VISAGE DANS MON sein, qu'elle arrosa de ses l","(76181, 76213)","(335059, 335089)"
Marmontel_Contes_0,"ute ma vie; que j'avais perdu CE QUE J'AVAIS DE PLUS CHER AU MONDE, mon amante, que j'allois épo","our me détacher enfin de tout CE QUE J'AVAIS DE PLUS CHER AU MONDE; mais cette folie, vous l'ave","(232857, 232893)","(339096, 339132)"
Nerciat_Aphrodites_0,"r de l'homme; elle aimait, et POUR LA PREMIÈRE FOIS DE SA VIE: elle voulait donc s'attacher",s'avise de prendre la chose de TRAVERS; POUR LA PREMIÈRE FOIS de sa vie il vient à s'imagin,"(75551, 75582)","(500530, 500561)"
Nerciat_Etourdi_0,"cœur de l'homme; elle aimait, ET POUR LA PREMIÈRE FOIS DE SA VIE: ELLE voulait donc s'attacher ce cœ","eut parler, sa voix s'éteint. ET POUR LA PREMIÈRE FOIS DE SA VIE ELLE reçoit et donne mille baisers","(75548, 75588)","(62682, 62721)"
Nerciat_Felicia_0,"c une grâce et un enjouement, QUI POUR LA PREMIÈRE FOIS DE MA VIE, me fit rire de bon cœur en p",erment d'une ardeur éternelle QUE POUR LA PREMIÈRE FOIS DE MA VIE j'avais le bonheur de ne pas ,"(105251, 105286)","(75492, 75527)"
Nerciat_Felicia_1," que me causait son discours, JE NE PUS M'EMPÊCHER DE RIRE DE ce singulier contraste. Allon",tu viens de me sauver la vie. JE NE PUS M'EMPÊCHER DE RIRE DE l'importance que je voyais at,"(200263, 200294)","(75492, 75527)"
Prevost_Manon_0,"n enchantement, il vit où il éTAIT, ET CE QU'ON VOULAIT DE LUI. Indigné, il n'en devint quep",au travers de la porte qui c'éTAIT ET CE QU'ON VOULAIT DE LUI. Je fus obligé de me nommer ;,"(25381, 25413)","(146523, 146554)"
Prevost_Monde_0,"lui répétai-je, vous exprimer TOUT CE QUI SE PASSE DANS CE CŒUR; il n'est que trop vrai que c","urprend dans ses caresses, et TOUT CE QUI SE PASSE DANS CE CŒUR volage. Proprement il n'aime ","(169995, 170028)","(337284, 337317)"
Prevost_Monde_1,dans la profondeur du bois. à-PEINE AVAIS-JE EU LE TEMPS DE regarder pourquoi il prenait ,"e parut avec la supérieure. à PEINE AVAIS-JE EU LE TEMPS DE distinguer ses traits, dans l","(224088, 224117)","(337284, 337317)"
Retif_Paysanne_0,"apprêté, et tenant beaucoup à LA SIMPLICITÉ DE LA NATURE, ILS SONT plus doux et plus touchant.Il"," d'éclat à vos charmes : avec LA SIMPLICITÉ DE LA NATURE, ILS SONT trop sûrs de tout soumettre. ","(50541, 50577)","(217213, 217249)"
Retif_Paysanne_1,"ous connaître réciproquement. JE NE VOUS EN DIS PAS DAVANTAGE...-monsieur, reprit Jezennemo",lace d'une honnête fille ?... JE NE VOUS EN DIS PAS DAVANTAGE ; mais cette petite drôlesse-,"(304444, 304475)","(217213, 217249)"
Riccoboni_LettresAdelaide_0,"r de l'homme; elle aimait, et POUR LA PREMIÈRE FOIS DE SA VIE: ELLE voulait donc s'attacher ce cœ"," prétend en savoir la raison. POUR LA PREMIÈRE FOIS DE SA VIE ELLE se tait, elle est impénétrabl","(75551, 75588)","(11531, 11567)"
Riccoboni_LettresFanni_0,"nnemours, d'une voix basse et LES YEUX BAISSÉS: NON; JE NE SUIS PAS fait pour porter le desespoir","cher amant, les mains jointes LES YEUX BAISSÉS: NON, JE NE SUIS PAS digne de vous regarder. Il fa","(320071, 320108)","(104664, 104701)"
Riccoboni_MissJenny_0,"i j'ose embrasser vos genoux, CE N'EST PAS POUR MOI QUE JE viens vous prier, c'estpour v","eur de mes derniers instants. CE N'EST PAS POUR MOI QUE JE vous implore, c'est pour l'in","(141156, 141184)","(408081, 408109)"
Rosny_Firmin_0,"ouvenir du temps et des lieux OÙ JE VOUS VIS POUR LA PREMIÈRE FOIS; changez mon cœur, comme vous",œur est à vous depuis le jour OÙ JE VOUS VIS POUR LA PREMIÈRE FOIS. J'ai cru devoir vous laisser,"(365788, 365824)","(26428, 26464)"
Rousseau_Emile_0,z...-ne crois pas plaisanter; IL N'APPARTIENT PAS À TOUT LE MONDE DE SAVOIR être voluptueux; c'est une ma,de routes pour s'égarer. Mais IL N'APPARTIENT PAS À TOUT LE MONDE DE SAVOIR ne point agir. Dans l'inquiét,"(16835, 16880)","(1267139, 1267184)"
Rousseau_Julie_0,"cœur de l'homme; elle aimait, ET POUR LA PREMIÈRE FOIS DE SA VIE: elle voulait donc s'attacher"," sentir que je lui convenois, ET POUR LA PREMIÈRE FOIS DE SA VIE il prit un attachement. Ce go","(75548, 75582)","(728344, 728378)"
Sade_Aline_0,"ute ma vie; que j'avais perdu CE QUE J'AVAIS DE PLUS CHER AU MONDE, mon amante, que j'allois épo",mais en restant je manquais à CE QUE J’AVAIS DE PLUS CHER AU MONDE; ce malheur là n’était-il pas,"(232857, 232893)","(1179154, 1179190)"
Sade_Infortunes_0,"c une grâce et un enjouement, QUI POUR LA PREMIÈRE FOIS DE MA VIE, me fit rire de bon cœur en p","aël en se remettant, j'ai cru QUE POUR LA PREMIÈRE FOIS DE MA VIE, j'échouerais en les obtenant","(105251, 105286)","(188585, 188620)"
Sade_Justine_0,"c une grâce et un enjouement, QUI POUR LA PREMIÈRE FOIS DE MA VIE, me fit rire de bon cœur en p",ino en se retirant ; j'ai cru QUE POUR LA PREMIÈRE FOIS DE MA VIE j'échouerais près du port... ,"(105251, 105286)","(368804, 368839)"
Sade_Justine_1,"allait mal: car, c'était pour LA PREMIÈRE FOIS DE MA VIE QUE JE ceignois une pareille arme, e","prit aigrement cet homme dur. LA PREMIÈRE FOIS DE MA VIE QUE JE vous vois, c'est au milieu d'","(218420, 218453)","(368804, 368839)"
Segur_Correspondance_0,"rrasse, quoique je sache très-BIEN QUE CE NE SOIT PAS UN fardeau pour ton cœur. Je par","rticulier, jugeant qu'il faut BIEN QUE CE NE SOIT PAS UN secret en cette cour. Vous m'","(41367, 41393)","(118528, 118554)"
Senac_Emigre_0," méditez-lesbien pour voir si VOUS NE VOUS ÊTES PAS TROMPÉ, ET si vous y reconnaitrez toujou","ui adressait un protecteur.---VOUS NE VOUS ÊTES PAS TROMPÉ, ET je répondrai à votre confianc","(173618, 173650)","(239052, 239084)"
Senac_Emigre_1,"ai jamais cessé de vous aimer DEPUIS LE PREMIER INSTANT QUE JE VOUS AI VUE, j'ai traîné une vie horrible","our vous le répéter mille fois. DEPUIS LE PREMIER INSTANT QUE JE VOUS AI Vue, il ne s'en est pas écoulé ","(369342, 369386)","(239052, 239084)"
Souza_Adele_0,"humble, respectueuxet soumis, QUE JE NE LUI AVAIS JAMAIS VU, IL dit: très-digne et très-révér","ec un sérieux presque sévère, QUE JE NE LUI AVAIS JAMAIS VU, IL m'a prouvé qu'il fallait rapp","(101540, 101573)","(166640, 166673)"
