,Text in Anonyme_Etourdi,Text in B,Location in Anonyme_Etourdi,Location in B
Crebillon_Atheniennes_2,"e que des sermens de ce genre NE SONT JAMAIS POUR NOUS QU'UN JARGON D'USAGE ET DE CONVENTION AUQUEL UNE FEMME SENSÉE N'AJOUTE AUCUNE FOI PENDANT QUE NOUS LE LUI PARLONS, ET DONT ELLE NE SE SOUVIENT PAS PLUS QUE NOUS-MÊMES, dès que les mouvement qui le","pris à témoin tous les dieux, NE SONT JAMAIS POUR NOUS QU'UN JARGON D'USAGE ET DE CONVENTION AUQUEL UNE FEMME SENSÉE NE CROIT POINT PENDANT QUE NOUS LE LUI PARLONS, ET DONT ELLE NE SE SOUVIENT PAS PLUS QUE NOUS-MÊMES, lorsque le mouvement qui nou","(182184, 182375)","(219433, 219674)"
Crebillon_Conte_0,"e qu'on appelle le moment . L'HOMME DU MONDE QUI AURAIT LE MOINS connu les femmes, l'aurait ég","s doute, reprit Schézaddin; l'HOMME DU MONDE QUI AURAIT LE MOINS à perdre, serait désespéré de","(169966, 170000)","(266481, 266515)"
Diderot_Neveu_0,"re, on les croirait confident DE LA VILLE ET DE LA COUR. Rien ne se fait pour eux der", la partie la plus importante DE LA VILLE ET DE LA COUR. Nos opulents dans tous les é,"(153855, 153880)","(59982, 60007)"
Dorat_Malheurs_0,"rsées. Je ne suis plus à moi, JE NE SAIS CE QUE JE VEUX. Suspendue entre deux mouveme",ois aussi loin que l'amour... JE NE SAIS CE QUE JE VEUX; mais je sais que mon agitati,"(144034, 144059)","(122739, 122764)"
Dorat_Sacrifices_0," ne puis vous dire, Monsieur, CE QUE JE VOUDRAIS ME CACHER À MOI-MÊME, me répondit-elle ; je la pre","au de *. 
Comment vous avouer CE QUE JE VOUDRAIS ME CACHER À MOI-MÊME? Comment dévoiler sa honte? .","(172548, 172587)","(233866, 233905)"
Ducray_Cinquante_0, de la revoir. Elle me répond DE NE PAS DIFFÉRER PLUS LONG-TEMPS de me rendre chez elle où ell,"oncer un été superbe, résolut DE NE PAS DIFFÉRER PLUS LONG-TEMPS son vovage aux îles, voyage q","(186835, 186869)","(302623, 302657)"
Florian_Galatee_0," me laisser voir mes devoirs. JE PARTIS SUR LE CHAMP POUR ALLER JOINDRE mon père. 
cherche des yeux, ","pé comme d'un coup de foudre, JE PARTIS SUR-LE-CHAMP POUR ALLER M'INFORMER moi-même de tous mes malheurs","(27989, 28030)","(103424, 103468)"
Genlis_Adele_0,"eut parler, sa voix s'éteint. ET POUR LA PREMIÈRE FOIS DE SA VIE elle reçoit et donne mille ba","chait la solitude, me fuyait, ET, POUR LA PREMIÈRE FOIS DE SA VIE, paraissait craindre de se tr","(62682, 62716)","(696843, 696878)"
Genlis_Adele_1,"ut mon bonheur à posséder des SUPERBES CHEVAUX, LES VOITURES LES PLUS ÉLÉGANTES et les plus nouvelles ; à avo","x, des habits magnifiques, de SUPERBES CHEVAUX, LES VOITURES LES PLUS ÉLÉGANTES, une petite maison bien reche","(199378, 199427)","(696843, 696878)"
Genlis_Chevaliers_0,"eut parler, sa voix s'éteint. ET POUR LA PREMIÈRE FOIS DE SA VIE elle reçoit et donne mille ba","t un moment toute son audace; ET, POUR LA PREMIÈRE FOIS DE SA VIE, un sentiment qui ressemblait","(62682, 62716)","(432576, 432611)"
Kimber_Thompson_0,"yen placé vis-à-vis sa fille. JE N'OSAIS LEVER LES YEUX SUR ELLE, et ne pouvais pas en même te", trouvé dans un tel embarras; JE N'OSAIS LEVER LES YEUX SUR ELLE; un transport de joie mêlé de,"(112678, 112712)","(257654, 257688)"
Laclos_Liaisons_0,"et un numéro qu'on me nomma ; CE FUT TOUT CE QUE JE PUS obtenir. Les domestiques, me "," cœur me battait si fort, que CE FUT TOUT CE QUE JE PUS faire que de répondre que oui","(92742, 92767)","(71970, 71995)"
Lagrave_Sophie_0,"r lui... Mais que pensez-vous DE L'AVEU QUE JE VOUS FAIS ? POUR moi, j'en ai honte ! Et plus ","u'allez-vous penser de moi, moN AMI, ET DE L'AVEU QUE JE VOus fais de mon goût naissant p","(124542, 124575)","(93900, 93929)"
Lagrave_Zabeth_0," parler, sa voix s'éteint. Et POUR LA PREMIÈRE FOIS DE SA VIE elle reçoit et donne mille ba","t de rire général: la Dupuis, POUR LA PREMIÈRE FOIS DE SA VIE, se trouva déconcertée. Elle ","(62685, 62716)","(46741, 46772)"
LaPlace_Collection_0,", il est brûlant et sensible, ET SI JE SUIS ASSEZ MALHEUREUSE POUR ne pas inspirer au Chevalier "," persécutions de sa „famille; ET, SI JE SUIS ASSEZ MALHEUREUSE POUR „qu'il soit capable de change","(128033, 128069)","(372794, 372831)"
Leonard_Lettres_0,"rsées. Je ne suis plus à moi, JE NE SAIS CE QUE JE VEUX. Suspendue entre deux mouveme", Ayez pitié de mon égarement! JE NE SAIS CE QUE JE VEUX; je ne me reconnais plus; tou,"(144034, 144059)","(16132, 16157)"
Lesuire_Aventurier_0,"à courir dans le corridor, en POUSSANT LES CRIS LES PLUS AIGUS. 
EN les voyant sortir effrayées, ","moyenne distance, je me mis à POUSSER LES CRIS LES PLUS AIGUS, EN élevant les bras au ciel. On ","(94679, 94716)","(603502, 603537)"
Lesuire_Aventurier_1,"s aussi volage que l'amour.---SI JE N'AVAIS PAS LE BONHEUR DE vous connaître, je répondrais","'idée qu'on aoit de ma folie, SI JE N'AVAIS PAS LE BONHEUR DE mourir, je serais condamné àu","(102497, 102528)","(603502, 603537)"
Lesuire_Crime_0,poussé le scrupule jusques à éPOUSER UN JEUNE HOMME DE DIX-SEPT ans pour pouvoir goûter sans ,". Ils veulent me donner pour éPOUSE À UN JEUNE-HOMME DE DIX-SEPT ans, moi qui en ai vingt. C'e","(118675, 118708)","(70539, 70573)"
Louvet_Annee_0,"n faire brêche. Je les sommai UNE SECONDE FOIS DE SE RETIRER ; COMME ils furent sourds à ma voix, ","e maîtresse, qui leur ordonne UNE SECONDE FOIS DE SE RETIRER. "" COMMENT avez-vous mis le feu ici? Cri","(30405, 30443)","(583171, 583212)"
Marmontel_Contes_0," présenté, et dont la maison éTAIT LE RENDEZ-VOUS DE TOUS LES ÉTOURDIS, et de toutes les femmes gala", maison de Madame De Bellune éTAIT LE RENDEZ-VOUS DE TOUS LES ÉTOURDIS de la ville et de la cour; et,"(116753, 116793)","(439963, 440003)"
Marmontel_Contes_1,"re, on les croirait confident DE LA VILLE ET DE LA COUR. Rien ne se fait pour eux der","dez-vous de tous les étourdis DE LA VILLE ET DE LA COUR; et son secret, pour les atti","(153855, 153880)","(439963, 440003)"
Mercier_An_0,"es, je goûterais des plaisirs BIEN AU DESSUS DE TOUT CE QUE j'avais jusques ici éprouvé. ", élément. Le gouvernement est BIEN AU-DESSUS DE TOUT CE QUE l'on peut dire : il ne craint,"(156064, 156093)","(50271, 50300)"
Mercier_Jezennemours_0,"eut parler, sa voix s'éteint. ET POUR LA PREMIÈRE FOIS DE SA VIE ELLE reçoit et donne mille baisers","cœur de l'homme; elle aimait, ET POUR LA PREMIÈRE FOIS DE SA VIE: ELLE voulait donc s'attacher ce cœ","(62682, 62721)","(75548, 75588)"
Mirabeau_Rideau_0,"le, comme si tu eusses ignoré CE QUE JE VIENS DE T'APPRENDRE, ET je me charge du reste, ce ser","uvert ce mystère. Elle ignore CE QUE JE VIENS DE T'APPRENDRE, ET tu dois garder ma confidence.","(167360, 167394)","(54362, 54396)"
Nerciat_Aphrodites_0," parler, sa voix s'éteint. Et POUR LA PREMIÈRE FOIS DE SA VIE elle reçoit et donne mille ba",s'avise de prendre la chose de TRAVERS; POUR LA PREMIÈRE FOIS de sa vie il vient à s'imagin,"(62685, 62716)","(500530, 500561)"
