,Text in Arnaud_Sentiment,Text in B,Location in Arnaud_Sentiment,Location in B
Crebillon_Conte_1,u'elle communique à son fils. IL Y AVAIT PLUS DE HUIT JOURS QUE BENTLEY était éloigné de ces deux cré,"ustice aux femmes de ma cour. IL Y AVAIT PLUS DE HUIT JOURS QUE MA VENGEANCE était commencée; et, si j'en ","(420541, 420582)","(13796, 13832)"
Crebillon_Conte_2,"s; Richard continue: la seule GRÂCE QUE JE VOUS DEMANDE, C'EST DE me pardonner, c'est d'implore","capable de balancer. L'unique GRÂCE QUE JE VOUS DEMANDE, C'EST DE ne pas différer ma métamorpho","(607013, 607048)","(13796, 13832)"
Crebillon_Conte_3,d entièrement de vous. Hélas! JE NE VOUS AI PAS ENCORE DIT à quel point je vous adorois.,"t Schah-Baham, pardonnez-moi, JE NE VOUS AI PAS ENCORE DIT le quart de ce que j'ai vu là","(659717, 659745)","(13796, 13832)"
Diderot_Jacques_0,"ment coupable; l'innocence, l'UN DES PLUS BEAUX PRÉSENTS DU CIEL, leur fut retirée; ils cédère","e à vous à lui faire détester UN DES PLUS BEAUX PRÉSENTS DU CIEL ? Par où ai-je mérité, moi, d","(539927, 539961)","(253422, 253456)"
Diderot_Jacques_1,d entièrement de vous. Hélas! JE NE VOUS AI PAS ENCORE DIT à quel point je vous adorois.," ? 
--Assurément ; est-ce que JE NE VOUS L'AI PAS ENCORE DIT ? 
-- Non. Elle est bien aima","(659717, 659745)","(253422, 253456)"
Diderot_Religieuse_0,"s mots, Sidneyavec des larmes QUI COULAIENT LE LONG DE SES JOUES, presse l'étranger dans ses b","t, et se ramassait en gouttes QUI COULAIENT LE LONG DE SES JOUES ; ses bras, sans mouvement, p","(762863, 762897)","(214602, 214636)"
Diderot_Religieuse_1,s voyez que je sais me taire. CE N'EST PAS LÀ CE QUE VOUS M'AVIEZ PROMIS. J'ai fait tout ce que l'huma,"Autant qu'elle l'a voulu. 
---CE N'EST PAS LÀ CE QUE VOUS M'AVIEZ PROMIS. 
---Je ne vous ai rien promi","(930263, 930305)","(214602, 214636)"
Doppet_Memoires_0, terme d'une année; il ajoûta QU'IL ÉTAIT DE LA PLUS GRANDE IMPORTANCE POUR sa tranquillité et son honneu,on père; il lui avait suggeré QU'IL ÉTAIT DE LA PLUS GRANDE IMPORTANCE QUE sa fille s'adonnat sérieuseme,"(391151, 391196)","(17816, 17860)"
Dorat_Malheurs_0,n trouble vous instruit assez DE CE QUI SE PASSE DANS MON CŒUR. Il y a long-temps que je brû, résister toujours? Je frémis DE CE QUI SE PASSE DANS MON CŒUR. Que mon sentiment est tyrann,"(304192, 304224)","(182623, 182655)"
Dorat_Sacrifices_0,un ton familier? N'allez-vous PAS VOUS METTRE DANS LA TÊTE QUE je vous dois du respect?-Je v,"re tous deux; et puis n'allez PAS VOUS METTRE DANS LA TÊTE, QUE vous ayez entrepris une conqu","(70544, 70576)","(29920, 29953)"
Dorat_Sacrifices_1,"rlez, ma sœur, ma chère sœur, JE VOUS EN CONJURE AU NOM DE notre amitié; bannissez avec "," extrême; ne l'augmentez pas, JE VOUS EN CONJURE: AU NOM DE votre amour, au nom de l'amit","(102576, 102604)","(29920, 29953)"
Dorat_Sacrifices_2,"peut dire davantage, et tombe DANS LES BRAS DE SON PÈRE QUI était resté immobile d'étonne","archer, est aussi-tôt qu'elle DANS LES BRAS DE SON PÈRE, QUI les caresse, les baise tour-à","(150923, 150952)","(29920, 29953)"
Dorat_Sacrifices_3,"Ce sont mes dernières larmes, MON DERNIER SOUPIR QUE JE VOUS ENVOIE. Adieu, adieu pour toujours, "," les horreurs du néant. C'est MON DERNIER SOUPIR QUE JE VOUS ENVOIE. Encore un coup, ne me plaign","(777535, 777572)","(29920, 29953)"
Ducray_Cinquante_0,nte: elle fait un effort pour SE JETER DANS LES BRAS DE SON PÈRE; elle s'écrie: eh bien! Mon p,"nd. 
Briceval se tait. Cécile SE JETTE DANS LES BRAS DE SON AMIE: elle ne veut point profiter ","(62552, 62586)","(394468, 394502)"
Fievee_Dot_0,"nt, tandis que le lord Thaley SE PROMENAIT À GRANDS PAS DANS LA CHAMBRE, agité de fureur. Allons, dit","out mon être. Madame Depréval SE PROMENAIT À GRANDS PAS DANS LA CHAMBRE, s'adressant différentes phra","(71204, 71245)","(131362, 131403)"
Fievee_Dot_1,"on, apprécie chaque ligne, et DÉCIDE DU BONHEUR OU DU MALHEUR DE mes jours, oui, de ma vie ent","ère à celle d'un objet adoré, DÉCIDE DU BONHEUR OU DU MALHEUR DE la vie. Vous n'avez jamais ai","(169937, 169971)","(131362, 131403)"
Florian_Estelle_0,"tendri pour cet infortuné; il LE PREND DANS SES BRAS, LE RAPPELLE À LA VIE; James ouvre les yeux, pousse","pas évanoui. Raimond accourt, LE PREND DANS SES BRAS, LE RAPPELLE À LA VIE. Le berger ouvre les yeux et ","(55855, 55899)","(36622, 36666)"
Florian_Estelle_1, éperduement la divine Julie; JE MOURRAIS MILLE FOIS PLUTÔT QUE DE cesser de l'adorer; c'est un ,"s plus chère que la vie, mais JE MOURRAIS MILLE FOIS, PLUTÔT QUE DE résister au moindre désir de ","(768762, 768798)","(36622, 36666)"
Florian_Estelle_2,"eurs petits villages situés à PEU DE DISTANCE LES UNS DES AUTRES,Adelson reprend ainsi: je sui"," pierres posées dans l'eau, à PEU DE DISTANCE LES UNES DES AUTRES, étaient le seul chemin pour ","(848442, 848476)","(36622, 36666)"
Florian_Galatee_0,"Lucie, en tendant à D'Estival UNE DE SES MAINS QU'IL PRESSE DANS les siennes, et qu'il couvre ","genoux devant elle, et saisit UNE DE SES MAINS QU'IL PRESSE CONTRE ses lèvres. Galatée, surprise","(143643, 143677)","(92287, 92323)"
Fourqueux_Zely_0,nté de vous adorer en secret. VINGT FOIS J'AI ÉTÉ SUR LE POINT DE me précipiter à vos genoux: l,"u rapport à “vos affaires, et VINGT FOIS J'AI ÉTÉ “SUR LE POINT DE vous obliger à m'en “faire co","(682201, 682236)","(120985, 121021)"
Genlis_Adele_0,nte: elle fait un effort pour SE JETER DANS LES BRAS DE SON père; elle s'écrie: eh bien! ,"e leva impétueusement, et fut SE JETER DANS LES BRAS DE SON grand-père... je ne puis vous","(62552, 62581)","(364639, 364668)"
Genlis_Adele_1,"cet aveu! Vous m'avez inspiré LA TENDRESSE LA PLUS VIVE, ET LA PLUS pure; chaque jour vous prête ","utée, tous les témoignages de LA TENDRESSE LA PLUS VIVE ET LA PLUS passionnée. Voilà ce que j'ai","(180197, 180234)","(364639, 364668)"
Genlis_Adele_2,"es agréments de Julie; adorée DE SON PÈRE ET DE SA MÈRE, elle les aimait de même.On s",ur d'être élevé loin des yeux DE SON PÈRE ET DE SA MÈRE; son devoir est de les chérir,"(250164, 250189)","(364639, 364668)"
Genlis_Adele_3,rouble vous instruit assez de CE QUI SE PASSE DANS MON CŒUR. Il y a long-temps que je brû,"Vous ne pouvez concevoir tout CE QUI SE PASSE DANS MON CŒUR, non; quoique vous le connais","(304195, 304224)","(364639, 364668)"
Genlis_Adele_4," souvenez-vous que Clovis est LE PLUS TENDRE, ET LE PLUS PASSIONNÉ des amants: mais n'oubliez po","ute la délicatesse de l'amant LE PLUS TENDRE ET LE PLUS PASSIONNÉ; il aime véritablement, et po","(487835, 487871)","(364639, 364668)"
Genlis_Chevaliers_0,ste de ma vie; je devais être LE PLUS INFORTUNÉ DES HOMMES. MAIS CE n'était pas assez de souffrir,"pleurer! ... Je suis à jamais LE PLUS INFORTUNÉ DES HOMMES, MAIS CE cœur déchiré n'a pas tout per","(165085, 165122)","(102215, 102252)"
Genlis_Chevaliers_1,"une éternité de tourments! 
À CES MOTS, ELLE LAISSE TOMBER SA TÊTE SUR ses mains, et verse un torren","e l'éternité! ... En achevant CES MOTS, ELLE LAISSA TOMBER SA TÊTE SUR son sein, et elle cessa de pa","(314682, 314722)","(102215, 102252)"
Genlis_Chevaliers_2,"ley; il tombe sur une chaise, EN LEVANT LES MAINS AU CIEL, ET sans avoir la force de s'expr","s, considéraient ce spectacle EN LEVANT LES MAINS AU CIEL, ET en comblant de bénédictions l","(409277, 409308)","(102215, 102252)"
Genlis_Chevaliers_3,"ableau de désolation; il sort EN VERSANT UN TORRENT DE LARMES, ET en recommandant fortement Nan","rrai long-temps dans mes bras EN VERSANT UN TORRENT DE LARMES, ET lorsqu'il m'eut quitté, je me","(423637, 423672)","(102215, 102252)"
Genlis_Chevaliers_4,"sentit le besoin de découvrir CE QUI SE PASSAIT DANS SON CŒUR. Bell, au milieu des pleurs e","ne, il n'aurait pu dissimuler CE QUI SE PASSAIT DANS SON CŒUR. Connoissant sa faiblesse, et","(546614, 546645)","(102215, 102252)"
Genlis_Chevaliers_5,"vais pas été élevée, ajoute-t-ELLE EN VERSANT UN TORRENT DE LARMES, pour remplir des fonctions a","de tous les hommes, s'écria-t-ELLE EN VERSANT UN TORRENT DE LARMES, cher Olivier, en croirai-je ","(582977, 583013)","(102215, 102252)"
Genlis_Chevaliers_6,"joie universelle est répandue DANS LE CHÂTEAU.-UNE JOIE UNIVERSELLE! TOUT LE MONDE est content, quand je suis da","sse. Le retour de Mirva causa DANS LE CHÂTEAU UNE JOIE UNIVERSELLE; TOUT LE MONDE s'intéressait à lui, et depui","(895365, 895417)","(102215, 102252)"
Gerard_Comte_0, vertu? La première reine fut LA PLUS BELLE ET LA PLUS VERTUEUSE des femmes. Fanny mériterait ,"ce qu'elle nous a paru, l'âme LA PLUS BELLE ET LA PLUS VERTUEUSE? Quoi, de simples délations p","(27323, 27357)","(713923, 713957)"
Gorjy_Voyage_0,Salvini; il donnait la main à UNE JEUNE PERSONNE DE QUINZE OU SEIZE ans: le peintre reste interdi,"s finissions de goûter, parut UNE JEUNE PERSONNE DE QUINZE OU SEIZE ans, mais qui, au lieu d'avoi","(843097, 843134)","(12958, 12995)"
Jacquin_Parisiennes_0,"anifester: oui, c'est moi qui AI ENFONCÉ LE POIGNARD DANS LE SEIN de Lucie; je sens l'excès de "," tourment: c'est moi qui vous AI ENFONCÉ LE POIGNARD DANS LE SEIN, sans pouvoir réussir dans me","(152829, 152864)","(324306, 324341)"
Laclos_Liaisons_0,"rnière fois que je vous vois, QUE JE VOUS PARLE, QUE JE VOUS expose une âme... monsieur...","cette démarche : mais il faut QUE JE VOUS PARLE, QUE JE VOUS instruise. Vous me plaindrez,","(185891, 185921)","(235291, 235321)"
Lagrave_Sophie_0,n trouble vous instruit assez DE CE QUI SE PASSE DANS MON CŒUR. IL y a long-temps que je brûle d,"
M. de Beauregard ne se doute NULLEMENT DE CE QUI SE PASSE DANS MOn cœur. Il a pris son appartem","(304192, 304228)","(105059, 105095)"
Lagrave_Sophie_1,"enneville; il couvrait une de SES MAINS DE BAISERS ET DE LARMES. Oh! Ma divine bienfaitrice, ","pieds en entrant dans l'appartEMENT, DE COUVRIR SES MAINS DE BAisers et de larmes, et de dire","(699101, 699134)","(105059, 105095)"
Lagrave_Zabeth_0,"u'elle cesse de l'apercevoir, ELLE TOMBE ÉVANOUIE DANS LES BRAS DE SA mère. 
Nos érudits et nos phi",put résister plus long-temps; ELLE TOMBA {??}ÉVANOUIE DANS LES BRAS DE SA femme-de-chambre. Son père pr,"(37969, 38008)","(202209, 202252)"
Lagrave_Zabeth_1,nte: elle fait un effort pour SE JETER DANS LES BRAS DE SON PÈRE; elle s'écrie: eh bien! Mon p,"dre peine. Zabeth soupira, et SE JETA DANS LES BRAS DE SON PÈRE, qui éprouva, dans ce moment,","(62552, 62586)","(202209, 202252)"
Lagrave_Zabeth_2,rouble vous instruit assez de CE QUI SE PASSE DANS MON CŒUR. Il y a long-temps que je brû,e..... Je ne puis rendre tout CE QUI SE PASSE DANS MON CŒUR! cœur! Pauvre Zabeth!... La t,"(304195, 304224)","(202209, 202252)"
Lagrave_Zabeth_3," mon père... tant que j'aurai UNE GOUTTE DE SANG DANS LES VEINES, réplique Daumal en élevant l","orbleu! et tant qu'il coulera UNE GOUTTE DE SANG DANS LES VEINES du père et du fils, elle serv","(311760, 311794)","(202209, 202252)"
Lagrave_Zabeth_4,"se relève de cet accablement:-IL FAUT QUE JE LA VOIE, QUE JE voie Batilde; Edmond, conduis","s seuls que je puisse suivre. IL FAUT QUE JE LA VOIE, QUE JE me jette à ses pieds, et que ","(451285, 451315)","(202209, 202252)"
LaPlace_Collection_0," qu'il m'aime, je le chérirai DANS LE FOND DE MON CŒUR... JE serai la plus heureuse des fe","vais regret de ne pas trouver DANS LE FOND DE MON CŒUR, JE lui tins à-peu près ce discou","(538055, 538085)","(513245, 513273)"
Leonard_Lettres_0,"satisfaire! Après cet aveu, c'EST LA DERNIÈRE FOIS QUE JE VOUS vois, que je vous parle, que ","us m'en occuper, etamp; que c'EST LA DERNIÈRE FOIS QUE JE VOUS parle. Je feignois de le quit","(185852, 185884)","(65999, 66031)"
Leonard_Lettres_1,"des larmes; Richard continue: LA SEULE GRÂCE QUE JE VOUS DEMANDE, C'EST de me pardonner, c'est d'impl","e formés: il faut y renoncer: LA SEULE GRÂCE QUE JE VOUS DEMANDE, C'EST d'épargner d'autres victimes!","(607004, 607045)","(65999, 66031)"
Leonard_Lettres_2,verrai donc plus Adelson! ... JE VOUS EN CONJURE AU NOM DE CETTE compassion qu'on accorderoit ,tez pas avec tant de rigueur; JE VOUS EN CONJURE AU NOM DE CETTE tendre mère qui m'a bénie à s,"(963491, 963525)","(65999, 66031)"
Leonard_Lettres_3,"vouloir point me pardonner, c'EST LA DERNIÈRE FOIS QUE JE VOUS importunerai. Puisse ma mort ",rriez que deuil désolation. C'EST LA DERNIÈRE FOIS QUE JE VOUS écris. Qu'aurois-je à vous di,"(1055422, 1055454)","(65999, 66031)"
Lesuire_Aventurier_0,"on ouvrage, s'écrie Thaley! C'EST MOI QUI SUIS LA CAUSE DE leur infortune! Oh! Ils auron","e à votre funeste mystere? 
C'EST MOI QUI SUIS LA CAUSE DE vote mort à tous deux. Chere ","(81979, 82007)","(883611, 883639)"
Lesuire_Aventurier_1,"du dans beaucoup de sociétés; IL N'AVAIT PAS EU LE TEMPS DE se connaître, d'entrer dans s","i le soudoyoit. Ieureusement, IL N'AVAIT PAS EU LE TEMPS DE la faire partir. Je t'en envo","(383929, 383958)","(883611, 883639)"
Lesuire_Crime_0,"es agréments de Julie; adorée DE SON PÈRE ET DE SA MÈRE, elle les aimait de même.On s","e à le détruire dans l'esprit DE SON PÈRE ET DE SA MÈRE, afin que l'héritage leur res","(250164, 250189)","(148151, 148176)"
Lesuire_Crime_1,ant; pardonnez à un transport DONT JE N'AI PAS ÉTÉ LE MAÎTRE: JE me suis indigné contre le sor,onnez un instant d'emportement “DONT JE N'AI PAS ÉTÉ LE MAÎTRE. Je vais “me bannir de votre as,"(305230, 305264)","(148151, 148176)"
Lesuire_Crime_2,"ut des travailleurs... tenez, TOUT CE QUE JE PUIS FAIRE POUR vous, est de vous faire la ch","'il en jouira noblement. C'est “TOUT CE QUE JE PUIS FAIRE, POur le “présent; mais, par la s","(592347, 592377)","(148151, 148176)"
Loaisel_Ainsi_0,"-votre bonheur! Ah! Monsieur! IL N'EST PAS EN MON POUVOIR DE faire votre bonheur, ni le mi","s une sorte de langueur, dont IL N'EST PAS EN MON POUVOIR DE la faire sortir. Au commencem","(184098, 184128)","(145110, 145140)"
Loaisel_Ainsi_1, de mes coupables égarements; JE N'AI PAS LA FORCE DE REJETER cette lettre fatale; elle ach,"cablé. Adieu, mon cher comte; JE N'AI PAS LA FORCE DE CONTINUER. 
LETTRE 48 à Madame De V. 
j","(190873, 190904)","(145110, 145140)"
Loaisel_Ainsi_2,"et m'écouter. Il continue, en TENANT UNE DE MES MAINS DANS LES siennes: je voulais m'imposer", l'endroit où tu étais assise TENANT UNE DE MES MAINS DANS LA tienne; où j'étais jaloux du ,"(218053, 218085)","(145110, 145140)"
Loaisel_Comtesse_0,"is mourir! Non, chère épouse, TU NE MOURRAS POINT: TU VIVRAS POUR être aimée, pour être adorée ","i achever de mourir“.--„Non, “TU NE MOURRAS POINT; TU VIVRAS POUR remplir “les invariables dess","(140015, 140050)","(164418, 164453)"
Loaisel_Lucile_0,"is mourir! Non, chère épouse, TU NE MOURRAS POINT: TU VIVRAS POUR être aimée, pour être adorée ","i “achever de mourir“. -- „Non, TU “NE MOURRAS POINT; TU VIVRAS POur “remplir les invariables de","(140015, 140050)","(162860, 162896)"
Louvet_Annee_0,xpirante: elle fait un effort POUR SE JETER DANS LES BRAS DE SON PÈRE; elle s'écrie: eh bien! Mon p,toujours. Elle m'avait quitté POUR SE JETER DANS LES BRAS DE SON PÈRE; le cruel vit ma douleur amèr,"(62547, 62586)","(143272, 143311)"
Louvet_Annee_1,"vec une sévérité scrupuleuse; ET CE QUI N'EST PAS MOINS DIGNE d'éloges, et ce qu'on peut re","ésenter à mon esprit troublé; ET, CE QUI N'EST PAS MOINS DIGNE de remarque, je m'avisai de v","(79284, 79315)","(143272, 143311)"
Louvet_Annee_2,"Mélanie essuyera vos larmes. 
CE FURENT LES DERNIERS MOTS QUE PRONONÇA Lucie; on peut dire que sa ja","partout ma chère Dorliska "" , CE FURENT LES DERNIERS MOTS QUE PRONONÇA Lodoïska mourante. Moi, depui","(144656, 144696)","(143272, 143311)"
Louvet_Fin_0,"n'ai jamais vu mon papa; tout CE QUE JE SAIS BIEN, C'EST QUE c'est lui qui nous a tous ren","enne? Je n'en sais rien; mais CE QUE JE SAIS BIEN, C'EST QUE j'allois, tout nu, me jeter h","(83938, 83968)","(1472, 1502)"
Louvet_Fin_1,"ant, jusqu'au dernier soupir, QUE JE VOUS AIME, QUE JE VOUS adore, que je ne vis que pour","ndresse et de réconnaissance! QUE JE VOUS AIME! QUE JE VOUS remercie!» 
Tout en lui parla","(641240, 641269)","(1472, 1502)"
Louvet_Fin_2,"rt; que faut-il que je fasse?-JE VOUS L'AI DÉJÀ DIT, MONSIEUR: QUE vous cédiez à mes conseils; i","une raison! je le crois bien! JE VOUS AI DÉJÀ DIT, MONSIEUR, QUE je ne voulais pas être dérang","(896053, 896089)","(1472, 1502)"
Marmontel_Contes_0, ne me désavouerez pas: c'est UN DES PLUS RICHES ET DES PLUS brillant partis de l'Angleter,"me année, lorsque son père, l'UN DES PLUS RICHES ET DES PLUS honnêtescitoyens de Mégare, l","(43269, 43299)","(117562, 117592)"
Marmontel_Contes_1,nte: elle fait un effort pour SE JETER DANS LES BRAS DE SON père; elle s'écrie: eh bien! ," la fureur à la tendresse, il SE JETTE DANS LES BRAS DE SON fils. Oui, lui dit-il, je te ","(62552, 62581)","(117562, 117592)"
Marmontel_Contes_2,"ait la plume, et la reprenait EN LEVANT LES YEUX AU CIEL, ET les reportant sur le papier i","oir. à ces mots, il s'éloigna EN LEVANT LES YEUX AU CIEL, ET en poussant un profond soupir","(425435, 425465)","(117562, 117592)"
