,Text in Arnaud_Epoux,Text in B,Location in Arnaud_Epoux,Location in B
Benoist_Elisabeth_1,mera jamais que toi: il n'est QUE LA MORT QUI PUISSE NOUS SÉPARER... nous séparer! Le tombeau m," autre... consentir, il n'y a QUE LA MORT QUI PUISSE NOUS SÉPARER desormais, je le sens: si j'i","(163558, 163593)","(20162, 20190)"
Benouville_Pensees_0,e ne rien dire à ton père sur TOUT CE QUE JE VIENS DE TE révéler? Songe qu'il y va de , tu dois être déjà convaincu dE TOUT CE QUE JE VIENS DE te dire; aussi j'en parle moin,"(57948, 57974)","(173729, 173755)"
bible_0,"re ces bijoux médiocres, non, IL NE SERA PAS DIT QUE JE me sois servi de pareilles re","is
maintenant l’Éternel dit : IL NE SERA PAS DIT QUE JE fasse cela ; car
j’honorerai ","(207487, 207512)","(1122683, 1122708)"
Cazotte_Ollivier_0,saient). Mon cœur m'a éclairé SUR LE PARTI QUE JE DOIS PRENDRE; je serai sans doute heureuse, ne me permet pas de balancer SUR LE PARTI QUE JE DOIS PRENDRE. Ordonnez à vos gens de me su,"(238607, 238639)","(5855, 5887)"
Charriere_Femmes_0,"u? Tout, répond mon épouse; c'EST PARCE QUE JE T'AIME, QUE JE me livre à des alarmes qui em","émoin que je l'aime, et que c'EST PARCE QUE JE L'AIME QUE JE l'ai fait pleurer. 
-Nous ven","(149721, 149752)","(55922, 55952)"
Charriere_Lausanne_0,"claireroit sur l'avenir? Tout CE QUE JE PUIS VOUS DIRE, C'EST QUE mes yeux ne s'arrêtaient que ","'aime par dessus toute chose. CE QUE JE PUIS VOUS DIRE, C'EST QUE la société, qui dispense les ","(93945, 93980)","(70007, 70042)"
Charriere_Lausanne_1,souvent Laurence; il est vrai QUE JE NE LA TROUVAIS PLUS SEULE; son père ou sa sœur étaient ,"'établit si bien chezCaliste, QUE JE NE LA TROUVAIS PLUS SEULE avec son nouvel amant. Il fut","(299883, 299915)","(70007, 70042)"
Constant_Laure1_0,"ous éclaireroit sur l'avenir? TOUT CE QUE JE PUIS VOUS DIRE, c'est que mes yeux ne s'arrê","Omment, ma chère amie! malgré TOUT CE QUE JE PUIS VOUS DIRE, vous avouez tout uniment que","(93940, 93969)","(40664, 40693)"
Cottin_Claire_0,"ous réclamerois-je en vain, ô LE PLUS GRAND ET LE MEILLEUR DES êtres, quand je n'ai recours ","résentera. Enfin, en devenant LE PLUS GRAND ET LE MEILLEUR DES hommes, forcez ma conscience ","(258617, 258649)","(130966, 130998)"
Crebillon_Nuit_0,"fois de s'allier à la mienne; MAIS LES TEMPS SONT CHANGÉS! ET À CE mot, il lui échappe un profon","olontairement cette justice ; MAIS LES TEMPS SONT CHANGÉS, ET CE serait en vain qu'aujourd'hui","(25841, 25877)","(78646, 78680)"
Diderot_Jacques_0,"ut donc assez pénétrante pour LIRE AU FOND DE MON CŒUR, ET y saisir ces mouvement confus","us parler. Ah si vous pouviez LIRE AU FOND DE MON CŒUR, ET voir combien mes fautes passé","(208419, 208447)","(268865, 268893)"
Dorat_Malheurs_0,"c tous mes malheurs, apprends QUE J'AI ÉTÉ SUR LE POINT DE perdre plus que la vie, qu'on",me devenir d'autant plus cher QUE J'AI ÉTÉ SUR LE POINT DE le trahir. Madame De Syrcé es,"(55548, 55576)","(40526, 40554)"
Dorat_Malheurs_1," Je ne sais, réplique-t-elle, CE QUE JE DIS, NI CE QUE JE VEUX! JE sais... que je suis la plus i","en plains! Je ne sais plus ni CE QUE JE DIS, NI CE QUE JE VEUX; JE suis bien digne de pitié... v","(85222, 85258)","(40526, 40554)"
Dorat_Malheurs_2,"moin, l'objet, pour ressentir CE QUI SE PASSA DANS MON ÂME! HÉLAS! Que la douleur n'a-t-elle un",sister toujours? Je frémis de CE QUI SE PASSE DANS MON CŒUR. Que mon sentiment est tyrann,"(183232, 183267)","(40526, 40554)"
Dorat_Sacrifices_0,s la plus malheureuse... mais JE NE VOUS ÉCRIS POINT POUR VOUS entretenir de mes peines... i,"n parti est pris, commandeur. JE NE VOUS ÉCRIS POINT POUR VOUS demander conseil, mais pour v","(19341, 19373)","(261965, 261997)"
Duclos_Acajou_0,"indigne de leur être associé; JE SUIS UN OBJET DE MÉPRIS, POUR eux, pour la société,pour tou","eule Tête perdue par l'amour, JE SUIS UN OBJET DE MÉPRIS POUR les autres. La Tête continuai","(332775, 332807)","(49367, 49398)"
Genlis_Adele_0,"... ah! Mon pauvre *! Tu sais QUE JE T'AIME COMME MON PROPRE FILS, si tu voyais les larmes que ",up d'espérances; il voit bien QUE JE L'AIME COMME MON PROPRE FILS; mais je me plais quelquefois,"(36250, 36285)","(1356379, 1356414)"
Genlis_Chevaliers_0,"ous éclaireroit sur l'avenir? TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE mes yeux ne s'arrêtaient que ","nom de mon indigne ravisseur; TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE, dans une de nos solennités r","(93940, 93980)","(184248, 184288)"
Genlis_Chevaliers_1,mande en vain Mademoiselle *; MON SANG SE GLACE DANS MES VEINES; je m'écrie tout haut: il n'e," foudroyantes, je sentis tout MON SANG SE GLACER DANS MES VEINES... mes yeux se couvrirent d'u","(110050, 110083)","(184248, 184288)"
Genlis_Chevaliers_2,"chère Agathe, je t'en conjure PAR TOUT CE QU'IL Y A DE PLUS SACRÉ, par notre amour, ne m'accomp","x et baignée de larmes, jura, PAR TOUT CE QU'IL Y A DE PLUS SACRÉ, d'exécuter fidèlement cette ","(178973, 179008)","(184248, 184288)"
Gerard_Comte_0,"sez-tôt; je te devrai la vie; JE TE PROMETS... TOUT CE QUE TU exigeras, si je suis content ",combattent et les détruisent. JE TE PROMETS TOUT CE QUE TU voudras; car en te promettant,"(50485, 50516)","(777570, 777598)"
Jacquin_Parisiennes_0,"r; ils pleuraient tous trois. JE SUIS AU COMBLE DE MES VŒUX, s'écrie mon épouse! Tous nos",ituation présente de mon âme: JE SUIS AU COMBLE DE MES VŒUX: assuré de posséder le cœur d,"(391556, 391585)","(90133, 90162)"
Kimber_Thompson_0,"aient à leur dernier période; IL SE FIT EN MOI UNE SI prodigieuse révolution, que l","evins plus tranquille; etamp; IL SE FIT EN MOI UN SI grand changement, qu'au bout ","(273359, 273382)","(314655, 314677)"
Kimber_Thompson_1,"ce parent dans le tombeau, et LA PLUS GRANDE PARTIE DE SON BIEN dissipée par l'exécuteur test","u a fait perdre en un instant LA PLUS GRANDE PARTIE DE SON BIEN, d'avoir assez de courage eta","(319939, 319972)","(314655, 314677)"
Laclos_Liaisons_0,"-là le sujet de vos chagrins! JE NE VOUS CACHERAI PAS QUE JE viens à Paris, de la part mêm",vant que j'aie pu le joindre. JE NE VOUS CACHERAI PAS QUE JE l'ai trouvé un peu changé. Ma,"(35470, 35500)","(570399, 570429)"
Laclos_Liaisons_1,"ous éclaireroit sur l'avenir? TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE mes yeux ne s'arrêtaient que "," perdre que de la surprendre. TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE, placée par M. de Valmont ent","(93940, 93980)","(570399, 570429)"
Lagrave_Sophie_0,me regardait avec étonnement. JE NE SAIS SI JE VOUS AI dit que nous demeurions à Avi,"ma sœur pour la quitter dans cE MOMENT-CI. 
JE NE SAIS si je vous ai parlé d'un chev","(267624, 267648)","(124495, 124519)"
Lagrave_Zabeth_0,"ous éclaireroit sur l'avenir? TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE mes yeux ne s'arrêtaient que ","t: je ne puis vous en donner. TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE la vieille femme chez laquell","(93940, 93980)","(285896, 285936)"
Lagrave_Zabeth_1,"t de peines...mais, monsieur, JE VOUS L'AI DÉJÀ DIT, JE NE me suis point présentée ici d","..--Eh! point de remercîmens; JE VOUS L'AI DÉJÀ DIT, JE NE les aime pas. Allons voir ce ","(98344, 98372)","(285896, 285936)"
Leonard_Lettres_0,vez-vous bien qu'Agathe...? C'EST UN ANGE DESCENDU SUR LA TERRE... je veux bien consentir à v,; il répétait avec emphâse: c'EST UN ANGE DESCENDU SUR LA TERRE pour la félicité des hommes! ,"(69339, 69372)","(64976, 65009)"
Leonard_Lettres_1,"er; elle tombe dans mes bras, COUVERTE DE LA PÂLEUR DE LA MORT; j'appelle à son secours; moi",oyant le visage de votre amie COUVERT DE LA PÂLEUR DE LA MORT. Ses femmes l'ont secourue; j,"(184620, 184652)","(64976, 65009)"
Lesuire_Aventurier_0,"ur mes pas: parlez, parlez... QUE VOULEZ-VOUS QUE JE FASSE? -QUE vous gardiez un profond silen","r ami; répondit la Princesse, QUE VOULEZ-VOUS QUE JE FASSE LE Votre Adélaïde s'est sauvée, ","(58876, 58910)","(761204, 761235)"
