,Text in Segur_Correspondance,Text in B,Location in Segur_Correspondance,Location in B
Crebillon_Conte_0,"n, qu'elle n'avait pas trouvé TOUT CE QUE JE LUI AVAIS DIT de cette maison; car il est v","prévu, très-onéreuses. Malgré TOUT CE QUE JE LUI AVAIS DIT, en consentant à lui donner c","(92508, 92536)","(475290, 475318)"
Crebillon_Conte_1," Si ma lettre va jusqu'à lui, JE NE DOUTE PAS QU'IL NE VOUS en remercie; je crois que le ","oucher, reprit la sultane, et JE NE DOUTE PAS QU'IL NE VOUS donne satisfaction; mais je c","(150959, 150988)","(475290, 475318)"
Crebillon_Conte_2,"ais s'il aurait pu réchapper; MAIS CE QU'IL Y A DE SÛR, C'EST QUE le pauvre homme fut bientôt e","t, je n'en serais point mort; MAIS CE QU'IL Y A DE SÛR C'EST QUE je ne m'en serais pas mieux p","(490940, 490975)","(475290, 475318)"
Crebillon_Conte_3,"i vous êtes équitable, croyez QU'IL NE M'EST PAS POSSIBLE DE VOUS aimer plus que je vous aime. ","vement, je pense mille choses QU'IL NE M'EST PAS POSSIBLE DE VOUS écrire. Je vous aime, Manzaïd","(532404, 532439)","(475290, 475318)"
Crebillon_Nuit_0,"ni pour personne. Entre nous, CE QUE JE NE COMPRENDS PAS, C'EST qu'on ne lui ait pas cherché ","e l'est en effet. 
CIDALISE. 
CE QUE JE NE COMPRENDS PAS, C'EST qu'une femme, telle que vous ","(64832, 64865)","(35942, 35975)"
Crebillon_Nuit_1,"t ses raisons sont si bonnes, QUE JE NE DOUTE PAS QUE JE NE l'obtienne. J'ai vu une lettr",me le dire. Il y a long-temps QUE JE NE DOUTE PAS QUE JE NE vous sois l'homme du monde le,"(150132, 150161)","(35942, 35975)"
Crebillon_Nuit_2,"viens point de l'y avoir vue. TOUT CE QUE JE SAIS, C'EST QUE c'est une femme de bonne mais","e quoi me faire ce reproche ? TOUT CE QUE JE SAIS, C'EST QUE si je trouvais la même expres","(246554, 246584)","(35942, 35975)"
Crebillon_Nuit_3,a qu'il y a tant de sympathie ENTRE VOTRE FAÇON DE PENSER ET LA mienne qu'il ne me serait pas,"mpter la différence qu'il y a ENTRE VOTRE FAÇON DE PENSER ET LA sienne, vous n'avez pas les m","(556236, 556269)","(35942, 35975)"
Diderot_Jacques_0,"rez que, sans l'avoir mérité, IL NE TIENDRAIT QU'À MOI DE ME DONNER UN grand air ici, les dames croy","ur, combien je suis obligeant IL NE TIENDRAIT QU'À MOI DE DONNER UN coup de fouet aux chevaux qui","(30900, 30940)","(104380, 104417)"
Diderot_Jacques_1, suis bien en train de jaser; VOILÀ CE QUE C'EST QUE DE NE point manger et ne point dorm,"r intervalles, lui disait : « VOILÀ CE QUE C'EST QUE DE NE pas veiller à la conduite de ","(308491, 308519)","(104380, 104417)"
Diderot_Neveu_0,"viens point de l'y avoir vue. TOUT CE QUE JE SAIS, C'EST QUE c'est une femme de bonne mais","iens que je ne m'en mêle pas. TOUT CE QUE JE SAIS, C'EST QUE je voudrais bien être un autr","(246554, 246584)","(20125, 20155)"
Diderot_Neveu_1,qu'à lui dire qu'elle ne sait CE QU'ELLE DIT NI CE QU'ELLE FAIT. Je suis prête à lui jeter un," pauvre Dumesnil ne sait plus CE QU'ELLE DIT NI CE QU'ELLE FAIT... Allons, mademoiselle, pren","(493265, 493298)","(20125, 20155)"
Diderot_Religieuse_0,". 
Il y a long-temps, madame, QUE JE N'AI EU L'HONNEUR DE VOUS ÉCRIRE; mais je ne suis point seule ", combien j'ai souffert depuis QUE JE N'AI EU L'HONNEUR DE VOUS ÉCRIRE Je n'ai jamais pu prendre sur,"(224010, 224049)","(422533, 422572)"
Dorat_Malheurs_0,"reusement beaucoup trop tard. CE QUE JE VOUS AI DIT CENT FOIS, je vous le répéterai: dès le","re la nôtre. Voilà, monsieur, CE QUE JE VOUS AI DIT CENT FOIS, et ce qu'il ne faudrait jama","(531172, 531203)","(16878, 16909)"
Dorat_Malheurs_1,"ien. Vous pouvez être assurée DE TOUT CE QUE JE VIENS DE VOUS conter, je le tiens d'un ami ","e aimera cette femme là. Mais DE TOUT CE QUE JE VIENS DE VOUS citer, rien n'a été sérieux q","(541510, 541541)","(16878, 16909)"
Dorat_Sacrifices_0,"s que je dois; mais je crains PLUS QUE JE NE PUIS VOUS LE DIRE, qu'on ne me puisse accuser d",ait point affecté... il l'est PLUS QUE JE NE PUIS VOUS LE DIRE. Quelle femme vous rendez mal,"(21333, 21365)","(227251, 227283)"
Dorat_Sacrifices_1,"hevée. Vous pouvez juger, par CE QUE JE VIENS DE VOUS DIRE, que, si je vous suis inconnu","tageais vos vœux? ... Oubliez CE QUE JE VIENS DE VOUS DIRE; oubliez tant d'abaissement, ","(325385, 325413)","(227251, 227283)"
Ducray_Cinquante_0,"ns sentir qu'elle pourra; car IL N'EST PAS EN MON POUVOIR DE la gâter, en la flattant de s","-Pour celui-là, mademoiselle, IL N'EST PAS EN MON POUVOIR DE vous satisfaire: je suis fâch","(63785, 63815)","(365710, 365740)"
Fievee_Dot_0,"brasse de tout mon cœur; et c'EST TOUT CE QUE JE PUIS FAIRE, affligée comme je le suis. 
","chargerai de son trousseau, c'EST TOUT CE QUE JE PUIS FAIRE.-On ne m'avait pas dit ça; ma","(56493, 56522)","(46932, 46961)"
Fourqueux_Zely_0,"le de me souvenir de vous, et DE TOUT CE QUE JE VOUS AI ouï dire, est une des plus gr","ous étions convenus “ensemble DE TOUT CE QUE JE VOUS AI “dit, et nous ne voulions que","(362288, 362313)","(42159, 42184)"
Genlis_Adele_0,"se, la camarera prit la reine PAR LE BRAS, ET LA FIT ENTRER DANS sa chambre. Ce sont des usage","ots, Madame DeLimours la prit PAR LE BRAS ET LA FIT ENTRER DANS une très-belle chambre à couc","(9589, 9623)","(1195840, 1195873)"
Genlis_Adele_1,rce que vous me parlerez plus DE VOUS ET DE TOUT CE QUI VOUS touche; car je prétends que v,"te amie; parlez-moi davantage DE VOUS ET DE TOUT CE QUI VOUS environne, ou je vous parlera","(73936, 73966)","(1195840, 1195873)"
Genlis_Chevaliers_0," je dois; mais je crains plus QUE JE NE PUIS VOUS LE DIRE, qu'on ne me puisse accuser d","tion... j'en fus plus touchée QUE JE NE PUIS VOUS LE DIRE... en achevant ces paroles, l","(21338, 21365)","(705711, 705738)"
Gerard_Comte_0,"ituel, le plus propre à tout, LE PLUS POLI DE TOUS LES HOMMES, lui disait-on. Il ne se reco","et sans l'avoir appris, était LE PLUS POLI DE TOUS LES HOMMES. Par le seul esprit de bienve","(392573, 392604)","(210394, 210425)"
Gorjy_Voyage_0,"er dans sa chambre, elle vint AU-DEVANT DE MOI AVEC UN AIR de gaîté extraordinaire, et m","hapeau de paille. Elle courut AU DEVANT DE MOI AVEC UN AIR épanoui, et m'engagea à prend","(83544, 83572)","(11506, 11534)"
Kimber_Thompson_0," et après avoir été convaincu DE LA VÉRITÉ DE CE QUE JE LUI disais, il a tiré des conséqu",al le convainquit entièrement DE LA VÉRITÉ DE CE QUE JE LUI avais dit. Il m'en félicita; ,"(238615, 238644)","(614135, 614164)"
Kimber_Thompson_1,. J'allai hier à la Bastille; JE FIS TOUT MON POSSIBLE POUR LE voir. Jamais mon ami Joncas n,"x réflexions les plus amères. JE FIS TOUT MON POSSIBLE POUR LE tranquilliser, il reprit son ","(273809, 273841)","(614135, 614164)"
Laclos_Liaisons_0,charmant l'aime de bien bonne FOI; C'EST LA SEULE PERSONNE QUI M'AIT fait croire à l'inclination n,out de suite de l'amitié pour MOI. C'EST LA SEULE PERSONNE QUI M'AIT un peu parlé dans la soirée. ,"(141020, 141058)","(18468, 18506)"
Laclos_Liaisons_1,"royez, s'il vous plaît, qu'on NE PEUT ÊTRE PLUS SENSIBLE QUE JE LE SUIS aux bontés dont vous m'honore","vel à madame de Volanges. 
On NE PEUT ÊTRE PLUS SENSIBLE QUE JE LE SUIS, madame, à la confiance que v","(264282, 264323)","(18468, 18506)"
Laclos_Liaisons_2,'argent: elles sont si bonnes QUE JE N'AI PAS BESOIN DE VOUS les expliquer fort au long; c,"ai pas pu refuser. 
J'imagine QUE JE N'AI PAS BESOIN DE VOUS recommander le secret vis-à-v","(296755, 296785)","(18468, 18506)"
Laclos_Liaisons_3,r d'attirer chez elle l'élite DE LA COUR ET DE LA VILLE. Les hommes les plus distingu,ent fixé sur elle l'attention DE LA COUR ET DE LA VILLE ; son amant en partageait l'h,"(336907, 336932)","(18468, 18506)"
Laclos_Liaisons_4,"E VII. 
Paris, 1727 J'ai reçu LA LETTRE QUE VOUS M'AVEZ FAIT L'HONNEUR DE M'ÉCRIRE; JE ne puis vous dire assez tout ","ue j'ai remis à M. de Valmont LA LETTRE QUE VOUS M'AVEZ FAIT L'HONNEUR DE M'ÉCRIRE. JE l'ai gardée quatre jours, mal","(446410, 446466)","(18468, 18506)"
Laclos_Liaisons_5, à retordre. N'allez pas dire CE QUE JE VOUS DIS-LÀ; MAIS madame votre sœur a eu grand ,'entendrez-vous pas trop bien CE QUE JE VOUS DIS LÀ ; MAIS pourquoi n'êtes-vous pas ici ,"(494723, 494750)","(18468, 18506)"
Laclos_Liaisons_6,"ais des efforts qui me tuent. TOUT CE QUE JE PUIS VOUS PROMETTRE, c'est de ne rien épargner po"," perdre que de la surprendre. TOUT CE QUE JE PUIS VOUS DIRE, c'est que, placée par M. de ","(555778, 555812)","(18468, 18506)"
Lagrave_Sophie_0,"geole, s'en tirent très-bien. JE NE SAIS SI JE VOUS AI mandé que M. 
de la Ferrière ","ma sœur pour la quitter dans cE MOMENT-CI. 
JE NE SAIS si je vous ai parlé d'un chev","(565418, 565442)","(124495, 124519)"
Lagrave_Zabeth_0,". 
Madrid, premier mai 1680. 
TOUT CE QUE JE PUIS VOUS DIRE de la reine, c'est qu'elle co","t: je ne puis vous en donner. TOUT CE QUE JE PUIS VOUS DIRE, c'est que la vieille femme c","(59642, 59671)","(285896, 285925)"
Lagrave_Zabeth_1," je prends plus d'intérêt que JE NE PUIS VOUS LE DIRE. 
JE vis avant-hier M. 
de Coulang","et que je meure à ses pieds!--JE NE PUIS VOUS LE DIRE, JE l'ignore. Il n'en demanda pas","(222863, 222891)","(285896, 285925)"
LaPlace_Collection_0,"orts, il doit l'être au moins DE METTRE SOUS LES YEUX DU LECTEUR tout ce qui peut contribuer à","e, il paraît assez nécessaire DE METTRE SOUS LES YEUX DU LECTEUR un tableau racourci des mœurs","(329713, 329747)","(9885, 9919)"
LaPlace_Collection_1,"II. 
Paris, 1726 J'ai reçu la LETTRE QUE VOUS AVEZ EU LA BONTÉ DE M'ÉCRIRE de votre campagne: je ne dout",us m'avez envoyé par lui des „LETTRES QUE VOUS AVEZ EU LA BONTÉ DE M'ÉCRIRE: „il s'est servi de la permis,"(413535, 413579)","(9885, 9919)"
LaPlace_Collection_2,"ien. Vous pouvez être assurée DE TOUT CE QUE JE VIENS DE VOUS conter, je le tiens d'un ami ","t qu'elle vous avait informée DE „TOUT CE QUE JE VIENS DE VOUS apprendre. Jugez, „mademoisel","(541510, 541541)","(9885, 9919)"
LaPlace_Collection_3,"ends part à votre affliction. JE CONNAIS LA BONTÉ DE VOTRE CŒUR; VOUS serez toujours affligée, de q","e. Mais non, ma chère Cécile: JE CONNAIS „LA BONTÉ DE VOTRE CŒUR, VOUS en seriez moins „heureuse....","(549305, 549344)","(9885, 9919)"
Leonard_Lettres_0,rrive malheur à cet homme-là; JE SENS QUE JE NE POURRAI SUPPORTER cet horrible chagrin. Il est , vous dis plus de me quitter; JE SENS QUE JE NE POURRAIS SUPPORTER votre perte: mais au nom du c,"(511805, 511840)","(39056, 39092)"
Lesuire_Crime_0,". 
Madrid, premier mai 1680. 
TOUT CE QUE JE PUIS VOUS DIRE de la reine, c'est qu'elle co"," autres, Le Repentir. 
“C'est TOUT CE QUE JE PUIS VOUS “DIRE pour le présent.“ Quoi qu'il ","(59642, 59671)","(8437, 8467)"
Lesuire_Crime_1,"re, en me séparant de vous; j'AI FAIT CE QUE J'AI PU, POUR que vous ne vissiez pas coule",iré qu'il la fixât sur moi. J'AI FAIT CE QUE J'AI PU POUR attirer ses regards. Son œil ,"(554629, 554657)","(8437, 8467)"
Lesuire_Crime_2,a qu'il y a tant de sympathie ENTRE VOTRE FAÇON DE PENSER ET LA MIENNE qu'il ne me serait pas possib," pourtant quelque différence, ENTRE VOTRE FAÇON DE PENSER ET LA MIENNE. Vous me croyez un peu impie,","(556236, 556276)","(8437, 8467)"
Loaisel_Ainsi_0,"ns sentir qu'elle pourra; car IL N'EST PAS EN MON POUVOIR DE LA gâter, en la flattant de sott","s une sorte de langueur, dont IL N'EST PAS EN MON POUVOIR DE LA faire sortir. Au commencement","(63785, 63818)","(145110, 145143)"
Louvet_Annee_0,". 
Madrid, premier mai 1680. 
TOUT CE QUE JE PUIS VOUS DIRE de la reine, c'est qu'elle co","e absolument, me répondit-il: TOUT CE QUE JE PUIS VOUS DIRE, c'est qu'hier au soir, vous ","(59642, 59671)","(144267, 144296)"
Louvet_Annee_1," un habile sauteur. 
Polixène SE MIT À RIRE DE TOUT SON CŒUR. Mon philosophe sortit de dép"," le marquis nous vit rire, et SE MIT À RIRE DE TOUT SON CŒUR.) oh! Reprit-il, je vous l'ai","(390166, 390196)","(144267, 144296)"
Louvet_Annee_2," trouverai à Sens. Mandez-moi DE VOS NOUVELLES ET DE CELLES DE madame P..... 
Sa sciatique m","mais quand je leur ai demandé DE VOS NOUVELLES ET DE CELLES DE mademoiselle votre sœur, ils ","(564283, 564315)","(144267, 144296)"
Louvet_Fin_0,car je prends un très-sincère INTÉRÊT À TOUT CE QUI VOUS TOUCHE: JE vous demande en grâce de fair,"«Cette dame, qui prend un vif INTÉRÊT À TOUT CE QUI VOUS TOUCHE, M'A DIT…—Vous a dit!… Mon père, vous ","(161951, 161988)","(2577, 2619)"
Louvet_Fin_1,e sont rien en comparaison de TOUT CE QUE JE VOUS DIS. NE me parlez point d'argent ni d, demander si je songe à vous? TOUT CE QUE JE VOUS DIS NE prouve-t-il pas que votre ami,"(311611, 311638)","(2577, 2619)"
Louvet_Fin_2,"ame, de ma joie. J'aurai donc LE PLAISIR DE VOUS VOIR ET DE VOUS embrasser bientôt: j'ignore e",e.—Elle me connaît?—Elle a eu LE PLAISIR DE VOUS VOIR ET DE VOUS parler.—Où cela?—Voilà ce que,"(552782, 552816)","(2577, 2619)"
Marmontel_Contes_0,"brasse de tout mon cœur; et c'EST TOUT CE QUE JE PUIS FAIRE, affligée comme je le suis. 
","e lieutenance d'infanterie, c'EST TOUT CE QUE JE PUIS FAIRE pour vous. Jacquaut lui répon","(56493, 56522)","(352138, 352167)"
Marmontel_Contes_1,"comprendre, si ce n'est qu'il EST LE PLUS HONNÊTE HOMME DU MONDE, ET le plus propre à bien servir ","mpêche pas de le respecter; c'EST LE PLUS HONNÊTE HOMME DU MONDE, ET ce qu'il a fait pour mesenfan","(110955, 110993)","(352138, 352167)"
Marmontel_Contes_2,ut la constance de s'entendre DIRE LES CHOSES DU MONDE LES PLUS outrageantes; on le traita de,i; et ses yeux semblaient lui DIRE LES CHOSES DU MONDE LES PLUS obligeantes: mais était-ce le,"(457108, 457141)","(352138, 352167)"
Marmontel_Incas_0,"ée et interdite; il l'arrêta, NE DOUTANT POINT QUE CE NE FÛT quelqu'aventurier déguisé, et","entrer ce religieuxvénérable, NE DOUTA POINT QUE CE NE FÛT encore un nouveau martyr de l","(425367, 425397)","(152534, 152562)"
Mercier_An_0," un visage et une physionomie AU DESSUS DE TOUT CE QUE L'ON PEUT DIRE; des yeux animés, une grâce p",ent. Le gouvernement est bien AU-DESSUS DE TOUT CE QUE L'ON PEUT DIRE : il ne craint point les plum,"(154876, 154915)","(50276, 50315)"
Mercier_Jezennemours_0,"rticulier, jugeant qu'il faut BIEN QUE CE NE SOIT PAS UN secret en cette cour. Vous m'","rrasse, quoique je sache très-BIEN QUE CE NE SOIT PAS UN fardeau pour ton cœur. Je par","(118528, 118554)","(41367, 41393)"
Mirabeau_Rideau_0,turelle; j'ai été surprise de CE QUE JE LUI AI ENTENDU DIRE là-dessus; mais que deviendra,"es, et qui m'engage à répéter CE QUE JE LUI AI ENTENDU DIRE souvent! Dès mon enfance, je ","(141119, 141148)","(10295, 10324)"
Morelly_Naufrage_0, dont le loisir et la sagesse SONT AU DESSUS DE TOUT CE QUE L'ON EN PEUT dire. Il me paraît avoir bien,"e de la conduite de ce Poëme, SONT AU-DESSUS DE TOUT CE QUE J'EN POURRAIS dire, ô Sublime Sultane! Tout","(269339, 269381)","(34525, 34568)"
Nerciat_Etourdi_0,lheureuse d'en être éloignée. JE NE SAIS CE QUE JE VEUX. Pourquoi ma passion n'est-el,"rsées. Je ne suis plus à moi, JE NE SAIS CE QUE JE VEUX. Suspendue entre deux mouveme","(558326, 558351)","(144034, 144059)"
Nerciat_Felicia_0,". Vous pouvez être assurée de TOUT CE QUE JE VIENS DE VOUS conter, je le tiens d'un ami "," persécuter. Si vous aviez su TOUT CE QUE JE VIENS DE VOUS révéler, auriez-vous eu la cr","(541513, 541541)","(421103, 421131)"
Popeliniere_Daira_0,ire qu'elle ne prendra jamais LE PARTI DE SE JETER DANS UN couvent. Cette histoire vous ,", etamp; lui ont fait prendre LE PARTI DE SE JETER DANS UNE si terrible réforme; etamp; l","(136063, 136091)","(212947, 212976)"
Prevost_Manon_0,"er dans sa chambre, elle vint AU-DEVANT DE MOI AVEC UN AIR de gaîté extraordinaire, et m","entendu rentrer, ne fût venue AU-DEVANT DE MOI AVEC UN AIR d'impatience et des plaintes ","(83544, 83572)","(190182, 190210)"
Puttelange_Roi_0,"is, 30 juillet 1700. 
Tout ce QUE VOUS ME FAITES LA GRÂCE DE ME DIRE est vrai, madame; cependant o","sposait de ses armnées selon sA VOLONTÉ. СЕ QUE VOUS ME FAITES LA GRâce de me dire , peut être vra","(238803, 238841)","(100965, 101003)"
Retif_AntiJustine_0,"que dix-huit ans. Il y aurait BIEN DES CHOSES À VOUS DIRE LÀ-DESSUS. 
Il y a deux ans qu'il mouru"," moi et Timori ?---J'ai aussi BIEN DES CHOSES À VOUS DIRE LÀ-DESSUS, mon ange, mais nous allons s","(100414, 100451)","(79694, 79731)"
Retif_Paysanne_0,". 
Madrid, premier mai 1680. 
TOUT CE QUE JE PUIS VOUS DIRE de la reine, c'est qu'elle co"," jamais d'entrer par lettre ; TOUT CE QUE JE PUIS VOUS DIRE, c'est que si j'ai fait manqu","(59642, 59671)","(18833, 18862)"
Retif_Paysanne_1,"petite duchesse un mérite qui LUI FAIT BIEN DE L'HONNEUR DANS MON ESPRIT, c'est qu'elle a un goût si n","ance jamais : cette partie-ci LUI FAIT BIEN DE L'HONNEUR DANS MON ESPRIT, et s'il ne change pas... » E","(214943, 214985)","(18833, 18862)"
Riccoboni_Histoire_0,"lle s'assit sur une chaise, n'AYANT PAS LA FORCE DE SE SOUTENIR, et elle m'embrassait et me d",", un peu rassurée à sa vue, n'AYANT PAS LA FORCE DE SE SOUTENIR, s'appuya contre un arbre; et","(568037, 568070)","(52097, 52130)"
Riccoboni_LettreJuliette_0,"adame; dites-vous souvent que JE VOUS AIME DE TOUT MON CŒUR. 
LETTRE XX. 
Madrid, 29 août 1680. 
J"," faire un livre aussi. Adieu, JE VOUS AIME DE TOUT MON CŒUR. 
LETTRE 16 jeudi, à Vinchester. 
la r","(80630, 80668)","(79657, 79695)"
Riccoboni_LettresAdelaide_0,"adame; dites-vous souvent que JE VOUS AIME DE TOUT MON CŒUR. 
LETTRE XX. 
Madrid, 29 août",ur être entendu. Voici le fait. JE VOUS AIME DE TOUT MON CŒur. J'ai fait deux fois le tou,"(80630, 80659)","(236732, 236761)"
Riccoboni_LettresAdelaide_1,à Paris qu'au mois d'octobre. JE VIENS DE RECEVOIR UNE LETTRE DU jeune guidon ; il s'adresse à," en dirai davantage. 
LETTRE 59 JE VIENS DE RECEVOIR UNE LETTRE du Marquis De Montalais. Ah qu","(150007, 150041)","(236732, 236761)"
Riccoboni_LettresFanni_0,"adame; dites-vous souvent que JE VOUS AIME DE TOUT MON CŒUR. 
LETTRE XX. 
Madrid, 29 août 1680. 
J","ne veux pas tout dire. Adieu. JE VOUS AIME DE TOUT MON CŒUR. LETTRE 13. 
vendredi à midi. 
vous m","(80630, 80668)","(12505, 12542)"
Riccoboni_LettresFanni_1,"ame, de ma joie. J'aurai donc LE PLAISIR DE VOUS VOIR ET DE VOUS embrasser bientôt: j'ignore e", de ma vie saient remplis par LE PLAISIR DE VOUS VOIR ET DE VOUS entendre. Mais qu'il était jo,"(552782, 552816)","(12505, 12542)"
Riccoboni_MissJenny_0," à la porte de la Le Couvreur TOUS LES JOURS, SAVOIR DE SES NOUVELLES. Elle a fait d'Argental exécu"," revoir; cependant j'envoyois TOUS LES JOURS SAVOIR DE SES NOUVELLES, et lui fis deux ou trois cou","(541181, 541220)","(414121, 414159)"
Rousseau_Emile_0,a faire souvenir de leur dire TOUT CE QUI EST LE PLUS PROPRE à les gagner. Quand je vous d,"gardes, etamp; par conséquent TOUT CE QUI EST LE PLUS PROPRE à m'effrayer. 
N'entends-je a","(40259, 40289)","(302361, 302391)"
Rousseau_Julie_0,"brasse de tout mon cœur; et c'EST TOUT CE QUE JE PUIS FAIRE, affligée comme je le suis. 
",n de ton crédit renaissant: c’EST TOUT CE QUE JE PUIS FAIRE pour que la fête ne se fasse ,"(56493, 56522)","(1311519, 1311548)"
